table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_fields,field_agricultural_sciences,field_biological_and_biomedical_sciences,field_computer_and_information_sciences,field_engineering,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_health_sciences,field_mathematics_and_statistics,field_natural_resources_and_conservation,field_physical_sciences,field_psychology,field_social_sciences,field_other
7843,r023,All institutions -> Washington State U.,All institutions,Washington State U.,2,22,"['2,332', '']","['1,196', '']","['357', '']","['18', '']","['259', '']","['24', '']","['250', '']","['6', '']","['23', '']","['126', '']","['39', '']","['34', '']","['0', '']"
7843,r024,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,23,"['2,204', '']","['735', '']","['174', '']","['38', '']","['743', '']","['31', '']","['167', '']","['9', '']","['33', '']","['214', '']","['41', '']","['20', '']","['0', '']"
7843,r025,All institutions -> Mississippi State U.,All institutions,Mississippi State U.,2,24,"['2,191', '']","['1,085', '']","['97', '']","['11', '']","['530', '']","['28', '']","['219', '']","['12', '']","['18', '']","['90', '']","['23', '']","['78', '']","['0', '']"
7843,r026,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,25,"['2,142', '']","['0', '']","['397', '']","['39', '']","['392', '']","['120', '']","['883', '']","['0', '']","['78', '']","['164', '']","['28', '']","['18', '']","['22', '']"
7843,r027,All institutions -> Cornell U.,All institutions,Cornell U.,2,26,"['2,117', '']","['583', '']","['899', '']","['12', '']","['179', '']","['4', '']","['15', '']","['2', '']","['36', '']","['296', '']","['13', '']","['10', '']","['68', '']"
7843,r028,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,27,"['2,070', '']","['0', '']","['627', '']","['37', '']","['261', '']","['210', '']","['494', '']","['27', '']","['28', '']","['276', '']","['53', '']","['57', '']","['0', '']"
7843,r029,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,28,"['1,882', '']","['12', '']","['534', '']","['4', '']","['449', '']","['42', '']","['496', '']","['5', '']","['6', '']","['166', '']","['28', '']","['79', '']","['62', '']"
7843,r030,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,29,"['1,867', '']","['2', '']","['674', '']","['19', '']","['149', '']","['8', '']","['771', '']","['6', '']","['0', '']","['129', '']","['28', '']","['77', '']","['4', '']"
7843,r031,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,30,"['1,861', '']","['0', '']","['334', '']","['0', '']","['0', '']","['0', '']","['1,330', '']","['0', '']","['0', '']","['0', '']","['0', '']","['4', '']","['193', '']"
7843,r032,All institutions -> U. Maryland<sup>a</sup>,All institutions,U. Maryland<sup>a</sup>,2,31,"['1,861', '']","['209', '']","['445', '']","['14', '']","['259', '']","['3', '']","['673', '']","['*', '']","['0', '']","['155', '']","['30', '']","['45', '']","['27', '']"
7843,r033,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,32,"['1,835', '']","['3', '']","['718', '']","['22', '']","['191', '']","['14', '']","['609', '']","['15', '']","['0', '']","['187', '']","['45', '']","['31', '']","['0', '']"
7843,r034,"All institutions -> Rutgers, State U. New Jersey, New Brunswick",All institutions,"Rutgers, State U. New Jersey, New Brunswick",2,33,"['1,803', '']","['266', '']","['563', '']","['10', '']","['150', '']","['30', '']","['614', '']","['0', '']","['35', '']","['54', '']","['55', '']","['26', '']","['0', '']"
7843,r035,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,34,"['1,785', '']","['0', '']","['251', '']","['117', '']","['647', '']","['47', '']","['0', '']","['8', '']","['0', '']","['498', '']","['0', '']","['32', '']","['185', '']"
7843,r036,All institutions -> U. Utah,All institutions,U. Utah,2,35,"['1,718', '']","['0', '']","['449', '']","['55', '']","['229', '']","['79', '']","['657', '']","['2', '']","['0', '']","['185', '']","['27', '']","['33', '']","['2', '']"
7843,r037,All institutions -> U. Arizona,All institutions,U. Arizona,2,36,"['1,692', '']","['328', '']","['324', '']","['10', '']","['122', '']","['183', '']","['169', '']","['3', '']","['50', '']","['387', '']","['16', '']","['33', '']","['68', '']"
7843,r038,All institutions -> North Dakota State U.,All institutions,North Dakota State U.,2,37,"['1,683', '']","['1,370', '']","['72', '']","['4', '']","['89', '']","['4', '']","['20', '']","['0', '']","['16', '']","['60', '']","['11', '']","['6', '']","['32', '']"
7843,r039,All institutions -> Stanford U.,All institutions,Stanford U.,2,38,"['1,679', '']","['0', '']","['512', '']","['26', '']","['243', '']","['53', '']","['512', '']","['6', '']","['8', '']","['268', '']","['21', '']","['17', '']","['13', '']"
7843,r040,All institutions -> Virginia Polytechnic Institute and State U.,All institutions,Virginia Polytechnic Institute and State U.,2,39,"['1,659', '']","['455', '']","['205', '']","['7', '']","['507', '']","['19', '']","['307', '']","['1', '']","['71', '']","['59', '']","['9', '']","['2', '']","['15', '']"
7843,r041,"All institutions -> U. California, Irvine",All institutions,"U. California, Irvine",2,40,"['1,611', '']","['0', '']","['443', '']","['60', '']","['267', '']","['41', '']","['408', '']","['17', '']","['0', '']","['220', '']","['50', '']","['105', '']","['0', '']"
7843,r042,"All institutions -> U. Nebraska, Lincoln",All institutions,"U. Nebraska, Lincoln",2,41,"['1,610', '']","['915', '']","['232', '']","['10', '']","['125', '']","['9', '']","['99', '']","['0', '']","['47', '']","['97', '']","['12', '']","['62', '']","['3', '']"
7843,r043,All institutions -> Iowa State U.,All institutions,Iowa State U.,2,42,"['1,587', '']","['1,057', '']","['191', '']","['4', '']","['170', '']","['2', '']","['2', '']","['2', '']","['8', '']","['90', '']","['4', '']","['7', '']","['49', '']"
7843,r044,"All institutions -> Washington U., Saint Louis",All institutions,"Washington U., Saint Louis",2,43,"['1,475', '']","['0', '']","['548', '']","['4', '']","['118', '']","['21', '']","['659', '']","['1', '']","['0', '']","['95', '']","['11', '']","['17', '']","['0', '']"
7843,r045,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,44,"['1,463', '']","['0', '']","['204', '']","['41', '']","['469', '']","['42', '']","['83', '']","['3', '']","['0', '']","['158', '']","['36', '']","['26', '']","['402', '']"
7843,r046,All institutions -> U. Texas M. D. Anderson Cancer Center,All institutions,U. Texas M. D. Anderson Cancer Center,2,45,"['1,460', '']","['0', '']","['1,460', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7843,r047,"All institutions -> U. Tennessee, Knoxville",All institutions,"U. Tennessee, Knoxville",2,46,"['1,447', '']","['968', '']","['58', '']","['24', '']","['267', '']","['0', '']","['0', '']","['1', '']","['40', '']","['67', '']","['3', '']","['9', '']","['10', '']"
7843,r048,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,47,"['1,425', '']","['73', '']","['417', '']","['27', '']","['49', '']","['32', '']","['611', '']","['12', '']","['0', '']","['134', '']","['32', '']","['39', '']","['0', '']"
7843,r049,"All institutions -> Louisiana State U., Baton Rouge",All institutions,"Louisiana State U., Baton Rouge",2,48,"['1,411', '']","['592', '']","['142', '']","['2', '']","['252', '']","['158', '']","['15', '']","['7', '']","['39', '']","['147', '']","['11', '']","['27', '']","['21', '']"
7843,r050,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,49,"['1,384', '']","['0', '']","['425', '']","['1', '']","['449', '']","['109', '']","['65', '']","['*', '']","['0', '']","['168', '']","['50', '']","['61', '']","['56', '']"
7843,r051,All institutions -> U. Chicago,All institutions,U. Chicago,2,50,"['1,296', '']","['0', '']","['583', '']","['12', '']","['69', '']","['29', '']","['369', '']","['5', '']","['0', '']","['176', '']","['38', '']","['12', '']","['2', '']"
7843,r052,All institutions -> Wichita State U.,All institutions,Wichita State U.,2,51,"['1,293', '']","['0', '']","['18', '']","['0', '']","['1,221', '']","['8', '']","['6', '']","['0', '']","['0', '']","['26', '']","['5', '']","['7', '']","['2', '']"
7843,r053,"All institutions -> U. Virginia, Charlottesville",All institutions,"U. Virginia, Charlottesville",2,52,"['1,262', '']","['87', '']","['247', '']","['24', '']","['212', '']","['0', '']","['456', '']","['7', '']","['52', '']","['122', '']","['39', '']","['15', '']","['0', '']"
7843,r054,All institutions -> U. Texas Southwestern Medical Center,All institutions,U. Texas Southwestern Medical Center,2,53,"['1,255', '']","['0', '']","['689', '']","['0', '']","['3', '']","['0', '']","['562', '']","['0', '']","['0', '']","['0', '']","['1', '']","['0', '']","['0', '']"
7843,r055,All institutions -> Kansas State U.,All institutions,Kansas State U.,2,54,"['1,223', '']","['230', '']","['241', '']","['19', '']","['312', '']","['13', '']","['96', '']","['13', '']","['89', '']","['153', '']","['22', '']","['35', '']","['0', '']"
7843,r056,"All institutions -> U. California, Riverside",All institutions,"U. California, Riverside",2,55,"['1,160', '']","['258', '']","['271', '']","['41', '']","['148', '']","['37', '']","['28', '']","['25', '']","['37', '']","['141', '']","['29', '']","['40', '']","['106', '']"
7843,r057,"All institutions -> Colorado State U., Fort Collins",All institutions,"Colorado State U., Fort Collins",2,56,"['1,155', '']","['269', '']","['209', '']","['6', '']","['225', '']","['64', '']","['63', '']","['5', '']","['155', '']","['91', '']","['12', '']","['7', '']","['48', '']"
7843,r058,All institutions -> Tulane U.,All institutions,Tulane U.,2,57,"['1,140', '']","['0', '']","['140', '']","['4', '']","['40', '']","['42', '']","['288', '']","['16', '']","['8', '']","['65', '']","['21', '']","['65', '']","['451', '']"
7843,r059,All institutions -> U. Southern California,All institutions,U. Southern California,2,58,"['1,128', '']","['0', '']","['273', '']","['161', '']","['226', '']","['24', '']","['249', '']","['0', '']","['48', '']","['69', '']","['16', '']","['9', '']","['52', '']"
7843,r060,"All institutions -> SUNY, Stony Brook U.",All institutions,"SUNY, Stony Brook U.",2,59,"['1,112', '']","['0', '']","['386', '']","['51', '']","['144', '']","['106', '']","['112', '']","['25', '']","['8', '']","['199', '']","['36', '']","['33', '']","['11', '']"
7843,r061,"All institutions -> U. Oklahoma, Norman and Health Science Center",All institutions,"U. Oklahoma, Norman and Health Science Center",2,60,"['1,089', '']","['29', '']","['287', '']","['12', '']","['201', '']","['312', '']","['37', '']","['7', '']","['9', '']","['133', '']","['18', '']","['42', '']","['0', '']"
7843,r062,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,61,"['1,080', '']","['0', '']","['191', '']","['24', '']","['272', '']","['175', '']","['8', '']","['4', '']","['46', '']","['279', '']","['69', '']","['11', '']","['0', '']"
7843,r063,All institutions -> Vanderbilt U. and Vanderbilt U. Medical Center<sup>b</sup>,All institutions,Vanderbilt U. and Vanderbilt U. Medical Center<sup>b</sup>,2,62,"['1,063', '']","['0', '']","['350', '']","['0', '']","['132', '']","['6', '']","['472', '']","['1', '']","['0', '']","['77', '']","['21', '']","['5', '']","['0', '']"
7843,r064,All institutions -> Boston U.,All institutions,Boston U.,2,63,"['1,060', '']","['0', '']","['539', '']","['8', '']","['161', '']","['20', '']","['195', '']","['4', '']","['0', '']","['96', '']","['17', '']","['19', '']","['0', '']"
7843,r065,"All institutions -> U. Illinois, Chicago",All institutions,"U. Illinois, Chicago",2,64,"['1,028', '']","['0', '']","['329', '']","['15', '']","['102', '']","['7', '']","['401', '']","['3', '']","['1', '']","['86', '']","['10', '']","['16', '']","['60', '']"
7843,r066,All institutions -> New York U.,All institutions,New York U.,2,65,"['1,023', '']","['0', '']","['826', '']","['0', '']","['72', '']","['0', '']","['21', '']","['2', '']","['0', '']","['71', '']","['17', '']","['13', '']","['0', '']"
7843,r067,All institutions -> Duke U.,All institutions,Duke U.,2,66,"['1,022', '']","['0', '']","['328', '']","['7', '']","['99', '']","['8', '']","['430', '']","['2', '']","['21', '']","['94', '']","['15', '']","['17', '']","['0', '']"
7843,r068,All institutions -> U. Connecticut,All institutions,U. Connecticut,2,67,"['941', '']","['93', '']","['302', '']","['8', '']","['111', '']","['32', '']","['250', '']","['2', '']","['9', '']","['85', '']","['44', '']","['5', '']","['0', '']"
7843,r069,All institutions -> Wayne State U.,All institutions,Wayne State U.,2,68,"['934', '']","['0', '']","['276', '']","['10', '']","['114', '']","['10', '']","['311', '']","['5', '']","['2', '']","['130', '']","['51', '']","['27', '']","['0', '']"
7843,r070,All institutions -> U. Colorado Denver and Anschutz Medical Campus,All institutions,U. Colorado Denver and Anschutz Medical Campus,2,69,"['927', '']","['0', '']","['204', '']","['0', '']","['27', '']","['0', '']","['684', '']","['1', '']","['0', '']","['6', '']","['2', '']","['3', '']","['0', '']"
7843,r071,All institutions -> Baylor C. of Medicine,All institutions,Baylor C. of Medicine,2,70,"['927', '']","['0', '']","['825', '']","['0', '']","['0', '']","['0', '']","['103', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7843,r072,All institutions -> Emory U.,All institutions,Emory U.,2,71,"['926', '']","['0', '']","['443', '']","['*', '']","['0', '']","['0', '']","['307', '']","['4', '']","['20', '']","['100', '']","['40', '']","['12', '']","['0', '']"
7843,r073,"All institutions -> U. California, Santa Barbara",All institutions,"U. California, Santa Barbara",2,72,"['905', '']","['0', '']","['158', '']","['22', '']","['251', '']","['76', '']","['1', '']","['9', '']","['32', '']","['170', '']","['44', '']","['95', '']","['45', '']"
7843,r074,"All institutions -> U. Massachusetts, Medical School",All institutions,"U. Massachusetts, Medical School",2,73,"['894', '']","['0', '']","['618', '']","['0', '']","['0', '']","['0', '']","['276', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7843,r075,"All institutions -> U. Alabama, Birmingham",All institutions,"U. Alabama, Birmingham",2,74,"['884', '']","['0', '']","['246', '']","['2', '']","['54', '']","['0', '']","['550', '']","['*', '']","['0', '']","['17', '']","['13', '']","['1', '']","['0', '']"
7843,r076,All institutions -> U. Kansas,All institutions,U. Kansas,2,75,"['871', '']","['0', '']","['241', '']","['11', '']","['113', '']","['51', '']","['308', '']","['7', '']","['21', '']","['76', '']","['21', '']","['22', '']","['0', '']"
7843,r077,All institutions -> Oregon State U.,All institutions,Oregon State U.,2,76,"['868', '']","['185', '']","['165', '']","['27', '']","['184', '']","['110', '']","['69', '']","['2', '']","['69', '']","['45', '']","['*', '']","['12', '']","['0', '']"
7843,r078,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,77,"['843', '']","['0', '']","['295', '']","['7', '']","['171', '']","['64', '']","['0', '']","['0', '']","['0', '']","['296', '']","['0', '']","['10', '']","['0', '']"
7843,r079,All institutions -> U. Rochester,All institutions,U. Rochester,2,78,"['829', '']","['0', '']","['289', '']","['8', '']","['44', '']","['11', '']","['224', '']","['*', '']","['0', '']","['214', '']","['37', '']","['2', '']","['0', '']"
7843,r080,"All institutions -> U. Missouri, Columbia",All institutions,"U. Missouri, Columbia",2,79,"['828', '']","['291', '']","['172', '']","['22', '']","['92', '']","['8', '']","['123', '']","['1', '']","['40', '']","['49', '']","['17', '']","['13', '']","['0', '']"
7843,r081,"All institutions -> U. Louisiana, Lafayette",All institutions,"U. Louisiana, Lafayette",2,80,"['825', '']","['57', '']","['537', '']","['60', '']","['49', '']","['6', '']","['18', '']","['4', '']","['48', '']","['11', '']","['2', '']","['15', '']","['16', '']"
7843,r082,All institutions -> Clemson U.,All institutions,Clemson U.,2,81,"['817', '']","['167', '']","['91', '']","['13', '']","['368', '']","['28', '']","['5', '']","['16', '']","['19', '']","['80', '']","['6', '']","['12', '']","['12', '']"
7843,r083,"All institutions -> U. Arkansas, Fayetteville",All institutions,"U. Arkansas, Fayetteville",2,82,"['815', '']","['390', '']","['74', '']","['5', '']","['199', '']","['24', '']","['9', '']","['2', '']","['2', '']","['88', '']","['9', '']","['11', '']","['3', '']"
7843,r084,"All institutions -> U. Alaska, Fairbanks",All institutions,"U. Alaska, Fairbanks",2,83,"['810', '']","['124', '']","['151', '']","['46', '']","['140', '']","['159', '']","['23', '']","['9', '']","['76', '']","['21', '']","['6', '']","['37', '']","['18', '']"
7843,r085,All institutions -> Utah State U.,All institutions,Utah State U.,2,84,"['802', '']","['330', '']","['63', '']","['2', '']","['327', '']","['3', '']","['9', '']","['*', '']","['55', '']","['9', '']","['3', '']","['2', '']","['0', '']"
7843,r086,All institutions -> U. South Florida,All institutions,U. South Florida,2,85,"['799', '']","['0', '']","['63', '']","['10', '']","['117', '']","['126', '']","['316', '']","['3', '']","['1', '']","['88', '']","['25', '']","['50', '']","['0', '']"
7843,r087,"All institutions -> Oklahoma State U., Stillwater",All institutions,"Oklahoma State U., Stillwater",2,86,"['799', '']","['386', '']","['155', '']","['4', '']","['133', '']","['17', '']","['2', '']","['1', '']","['15', '']","['73', '']","['10', '']","['2', '']","['0', '']"
7843,r088,All institutions -> U. Cincinnati,All institutions,U. Cincinnati,2,87,"['795', '']","['0', '']","['234', '']","['1', '']","['185', '']","['19', '']","['237', '']","['5', '']","['0', '']","['83', '']","['16', '']","['16', '']","['0', '']"
7843,r089,"All institutions -> SUNY, U. Buffalo",All institutions,"SUNY, U. Buffalo",2,88,"['794', '']","['0', '']","['209', '']","['18', '']","['145', '']","['18', '']","['242', '']","['2', '']","['0', '']","['93', '']","['34', '']","['16', '']","['16', '']"
7843,r090,All institutions -> Princeton U.,All institutions,Princeton U.,2,89,"['791', '']","['0', '']","['203', '']","['28', '']","['188', '']","['38', '']","['0', '']","['21', '']","['0', '']","['239', '']","['12', '']","['61', '']","['0', '']"
7843,r091,All institutions -> Oregon Health and Science U.,All institutions,Oregon Health and Science U.,2,90,"['785', '']","['0', '']","['256', '']","['13', '']","['29', '']","['0', '']","['471', '']","['0', '']","['2', '']","['0', '']","['8', '']","['6', '']","['0', '']"
7843,r092,All institutions -> U. Wyoming,All institutions,U. Wyoming,2,91,"['779', '']","['217', '']","['115', '']","['5', '']","['172', '']","['73', '']","['34', '']","['8', '']","['46', '']","['53', '']","['16', '']","['38', '']","['0', '']"
7843,r093,All institutions -> Icahn School of Medicine at Mount Sinai,All institutions,Icahn School of Medicine at Mount Sinai,2,92,"['760', '']","['0', '']","['735', '']","['25', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7843,r094,All institutions -> Scripps Research Institute,All institutions,Scripps Research Institute,2,93,"['748', '']","['0', '']","['748', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7843,r095,All institutions -> Texas Tech U.,All institutions,Texas Tech U.,2,94,"['747', '']","['137', '']","['123', '']","['3', '']","['267', '']","['45', '']","['0', '']","['4', '']","['18', '']","['93', '']","['13', '']","['8', '']","['37', '']"
7843,r096,"All institutions -> U. South Carolina, Columbia",All institutions,"U. South Carolina, Columbia",2,95,"['745', '']","['0', '']","['123', '']","['19', '']","['197', '']","['71', '']","['142', '']","['3', '']","['1', '']","['99', '']","['47', '']","['44', '']","['0', '']"
7843,r097,All institutions -> Dartmouth C.,All institutions,Dartmouth C.,2,96,"['744', '']","['0', '']","['272', '']","['27', '']","['103', '']","['19', '']","['138', '']","['18', '']","['11', '']","['76', '']","['33', '']","['43', '']","['3', '']"
7843,r098,All institutions -> Tufts U.,All institutions,Tufts U.,2,97,"['742', '']","['139', '']","['319', '']","['9', '']","['99', '']","['6', '']","['109', '']","['1', '']","['0', '']","['43', '']","['16', '']","['*', '']","['0', '']"
7843,r099,"All institutions -> Indiana U. Purdue U., Indianapolis",All institutions,"Indiana U. Purdue U., Indianapolis",2,98,"['740', '']","['0', '']","['160', '']","['9', '']","['40', '']","['10', '']","['477', '']","['*', '']","['0', '']","['28', '']","['12', '']","['3', '']","['0', '']"
7843,r100,All institutions -> U. Maine,All institutions,U. Maine,2,99,"['732', '']","['276', '']","['72', '']","['23', '']","['199', '']","['87', '']","['1', '']","['*', '']","['27', '']","['29', '']","['7', '']","['6', '']","['5', '']"
7843,r101,All institutions -> U. Iowa,All institutions,U. Iowa,2,100,"['716', '']","['0', '']","['231', '']","['4', '']","['119', '']","['2', '']","['249', '']","['*', '']","['0', '']","['82', '']","['24', '']","['3', '']","['1', '']"
7843,r102,All institutions -> U. Central Florida,All institutions,U. Central Florida,2,101,"['707', '']","['5', '']","['225', '']","['51', '']","['162', '']","['20', '']","['39', '']","['5', '']","['40', '']","['126', '']","['18', '']","['6', '']","['10', '']"
7843,r103,All institutions -> Medical U. South Carolina,All institutions,Medical U. South Carolina,2,102,"['706', '']","['0', '']","['373', '']","['0', '']","['20', '']","['0', '']","['313', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7843,r104,All institutions -> U. Houston,All institutions,U. Houston,2,103,"['703', '']","['1', '']","['137', '']","['19', '']","['232', '']","['27', '']","['91', '']","['3', '']","['7', '']","['160', '']","['24', '']","['3', '']","['0', '']"
7843,r105,All institutions -> Virginia Commonwealth U.,All institutions,Virginia Commonwealth U.,2,104,"['702', '']","['0', '']","['237', '']","['13', '']","['107', '']","['0', '']","['270', '']","['0', '']","['3', '']","['34', '']","['26', '']","['9', '']","['2', '']"
7843,r106,"All institutions -> U. Massachusetts, Amherst",All institutions,"U. Massachusetts, Amherst",2,105,"['701', '']","['112', '']","['130', '']","['28', '']","['182', '']","['21', '']","['30', '']","['3', '']","['24', '']","['106', '']","['56', '']","['8', '']","['0', '']"
7843,r107,All institutions -> Carnegie Mellon U.,All institutions,Carnegie Mellon U.,2,106,"['682', '']","['0', '']","['64', '']","['142', '']","['383', '']","['0', '']","['0', '']","['5', '']","['0', '']","['50', '']","['29', '']","['8', '']","['1', '']"
