table_id,row_id,_b_time_to_degree_and_demographic_characteristic_b_full_path,_b_time_to_degree_and_demographic_characteristic_b_level_1,_b_time_to_degree_and_demographic_characteristic_b_level_2,_b_time_to_degree_and_demographic_characteristic_b_level_3,_b_time_to_degree_and_demographic_characteristic_b_level_4,_b_time_to_degree_and_demographic_characteristic_b_level_5,_b_time_to_degree_and_demographic_characteristic_b_hierarchy_depth,field_all_fields_number,field_all_fields_median,field_non_science_and_engineering_total_number,field_non_science_and_engineering_total_median,field_business_number,field_business_median,field_education_number,field_education_median,field_humanities_number,field_humanities_median,field_visual_and_performing_arts_number,field_visual_and_performing_arts_median,field_other_non_science_and_engineering_number,field_other_non_science_and_engineering_median
9584,r011,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,4,,,,,,,,,,,,,,
9584,r012,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,5,94,10.9,37,15.0,,,22,16.6,,,,,8,15.1
9584,r013,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,5,3505,8.6,555,12.3,108,11.4,160,14.2,125,12.7,52,11.4,110,11.6
9584,r014,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,5,2596,12.0,1021,15.0,84,18.0,575,16.0,139,11.3,30,10.6,193,14.0
9584,r015,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,5,23050,8.6,5458,13.0,361,11.3,1912,16.8,1891,11.1,426,12.0,868,12.0
9584,r016,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,5,1197,8.3,232,12.0,13,16.0,79,15.0,75,10.3,20,9.6,45,10.9
9584,r017,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,5,389,9.3,90,13.0,,,24,16.9,,,,,16,14.6
9584,r018,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,4,491,9.3,147,13.2,8,12.1,53,16.0,57,13.0,11,11.0,18,13.6
9584,r019,Years since entering graduate school,Years since entering graduate school,,,,,1,,,,,,,,,,,,,,
9584,r020,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,,,,2,52899,7.2,10484,10.1,1260,8.8,3481,12.3,3042,9.8,766,9.7,1935,9.7
9584,r021,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Sex,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Sex,,,3,,,,,,,,,,,,,,
9584,r022,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Sex -> Male,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Sex,Male,,4,28100,7.0,4331,9.8,703,8.8,1023,11.8,1516,9.8,333,9.1,756,9.5
9584,r023,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Sex -> Female,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Sex,Female,,4,24794,7.4,6149,10.4,557,8.8,2458,12.3,1524,9.4,433,9.9,1177,9.8
9584,r024,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Citizenship status,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Citizenship status,,,3,,,,,,,,,,,,,,
9584,r025,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Citizenship status -> U.S. citizen or permanent resident,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Citizenship status,U.S. citizen or permanent resident,,4,33511,7.1,7963,10.8,607,9.9,2970,12.9,2471,9.8,589,9.9,1326,10.1
9584,r026,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Citizenship status -> Temporary visa holder,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Citizenship status,Temporary visa holder,,4,18596,7.3,2323,8.9,620,8.3,440,9.2,527,9.7,168,8.6,568,8.9
9584,r027,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents),Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),,,3,,,,,,,,,,,,,,
9584,r028,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,4,3209,7.3,779,10.3,45,10.3,313,11.7,257,9.0,57,10.4,107,9.9
9584,r029,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,4,,,,,,,,,,,,,,
9584,r030,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,5,83,9.3,31,10.3,,,18,11.9,,,,,7,9.8
9584,r031,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,5,3427,7.0,540,10.7,106,8.8,157,12.2,118,11.0,50,9.7,109,9.6
9584,r032,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,5,2526,9.7,974,12.0,81,14.3,546,12.8,132,9.3,30,10.5,185,11.8
9584,r033,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,5,22567,7.0,5276,10.8,350,9.6,1821,13.3,1833,9.7,418,9.9,854,10.0
9584,r034,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,5,1192,6.8,234,10.1,12,11.8,79,12.0,77,9.8,20,8.7,46,9.9
9584,r035,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,5,308,7.9,79,10.3,,,22,11.7,,,,,12,7.6
9584,r036,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,4,199,7.8,50,11.7,2,15.9,14,13.9,24,11.5,4,11.6,6,9.2
9584,r037,Years since entering doctoral program<sup>a</sup>,Years since entering doctoral program<sup>a</sup>,,,,,1,,,,,,,,,,,,,,
9584,r038,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,,,,2,51963,5.7,10292,5.9,1231,5.0,3417,5.6,2998,6.8,759,6.8,1887,5.7
9584,r039,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Sex,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Sex,,,3,,,,,,,,,,,,,,
9584,r040,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Sex -> Male,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Sex,Male,,4,27563,5.7,4243,5.9,687,5.0,999,5.3,1489,6.8,330,6.3,738,5.7
9584,r041,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Sex -> Female,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Sex,Female,,4,24395,5.8,6045,5.9,544,5.0,2418,5.6,1507,6.8,429,6.8,1147,5.6
9584,r042,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Citizenship status,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Citizenship status,,,3,,,,,,,,,,,,,,
9584,r043,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Citizenship status -> U.S. citizen or permanent resident,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Citizenship status,U.S. citizen or permanent resident,,4,32856,5.8,7809,6.0,590,5.3,2913,5.7,2433,6.8,583,6.8,1290,5.8
9584,r044,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Citizenship status -> Temporary visa holder,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Citizenship status,Temporary visa holder,,4,18327,5.3,2289,5.7,608,5.0,433,5.1,523,6.7,168,5.3,557,5.3
9584,r045,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Ethnicity and race (U.S. citizens and permanent residents),Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Ethnicity and race (U.S. citizens and permanent residents),,,3,,,,,,,,,,,,,,
9584,r046,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,4,3136,5.8,762,6.3,45,5.3,306,5.8,254,6.8,55,6.9,102,5.8
9584,r047,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,4,,,,,,,,,,,,,,
9584,r048,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,5,80,6.5,29,6.8,,,16,6.9,,,,,7,7.3
9584,r049,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,5,3358,5.8,534,6.0,103,5.8,157,5.8,115,7.3,50,7.8,109,5.9
9584,r050,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,5,2443,5.8,935,5.8,77,6.1,527,5.8,126,6.4,30,6.4,175,5.3
9584,r051,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,5,22180,5.8,5194,6.0,341,5.0,1793,5.3,1809,6.8,415,6.8,836,5.8
9584,r052,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,5,1178,5.8,233,6.3,12,5.4,78,6.0,77,6.7,20,7.1,46,6.4
9584,r053,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,5,291,6.0,74,6.6,,,22,6.0,,,,,10,5.9
9584,r054,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,4,190,5.8,48,6.2,2,6.4,14,4.2,23,7.0,4,8.6,5,5.0
