table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_doe_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
10153,r014,All institutions -> U. Utah,All institutions,U. Utah,2,13,"['42,094', '']","['2,021', '']","['24,850', '']","['151', '']","['1,334', '']","['3,252', '']","['0', '']","['35', '']","['0', '']","['10,451', '']","['0', '']"
10153,r015,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,14,"['41,060', '']","['193', '']","['2,465', '']","['4,740', '']","['165', '']","['18,901', '']","['0', '']","['0', '']","['0', '']","['13,918', '']","['678', '']"
10153,r016,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,15,"['38,141', '']","['245', '']","['1,512', '']","['1,880', '']","['152', '']","['22,945', '']","['0', '']","['486', '']","['1,345', '']","['9,576', '']","['0', '']"
10153,r017,All institutions -> Iowa State U.,All institutions,Iowa State U.,2,16,"['35,457', '']","['11', '']","['769', '']","['2,677', '']","['160', '']","['17,468', '']","['0', '']","['0', '']","['0', '']","['14,328', '']","['44', '']"
10153,r018,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,17,"['33,847', '']","['1,166', '']","['0', '']","['3,045', '']","['53', '']","['7,284', '']","['0', '']","['92', '']","['0', '']","['21,996', '']","['211', '']"
10153,r019,All institutions -> Stanford U.,All institutions,Stanford U.,2,18,"['32,543', '']","['1,194', '']","['4,212', '']","['1,724', '']","['0', '']","['7,354', '']","['0', '']","['0', '']","['0', '']","['18,059', '']","['0', '']"
10153,r020,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,19,"['31,077', '']","['511', '']","['3,076', '']","['399', '']","['228', '']","['11,594', '']","['0', '']","['0', '']","['90', '']","['15,179', '']","['0', '']"
10153,r021,All institutions -> Princeton U.,All institutions,Princeton U.,2,20,"['30,766', '']","['394', '']","['1,417', '']","['1,462', '']","['0', '']","['11,645', '']","['0', '']","['0', '']","['0', '']","['15,848', '']","['0', '']"
10153,r022,All institutions -> Northwestern U.,All institutions,Northwestern U.,2,21,"['30,065', '']","['729', '']","['57', '']","['3,226', '']","['0', '']","['13,054', '']","['0', '']","['4,453', '']","['0', '']","['8,546', '']","['0', '']"
10153,r023,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,22,"['29,057', '']","['488', '']","['339', '']","['1,336', '']","['0', '']","['8,454', '']","['0', '']","['282', '']","['278', '']","['17,880', '']","['0', '']"
10153,r024,All institutions -> North Carolina State U.,All institutions,North Carolina State U.,2,23,"['28,484', '']","['464', '']","['202', '']","['1,921', '']","['159', '']","['5,281', '']","['0', '']","['0', '']","['0', '']","['20,427', '']","['30', '']"
10153,r025,All institutions -> U. North Dakota,All institutions,U. North Dakota,2,24,"['28,294', '']","['2', '']","['118', '']","['0', '']","['0', '']","['315', '']","['0', '']","['7', '']","['0', '']","['27,852', '']","['0', '']"
10153,r026,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,25,"['26,945', '']","['1,052', '']","['2,009', '']","['476', '']","['0', '']","['7,726', '']","['0', '']","['73', '']","['0', '']","['15,609', '']","['0', '']"
10153,r027,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,26,"['26,906', '']","['222', '']","['722', '']","['361', '']","['0', '']","['1,099', '']","['0', '']","['97', '']","['0', '']","['24,027', '']","['378', '']"
10153,r028,All institutions -> U. Maryland<sup>a</sup>,All institutions,U. Maryland<sup>a</sup>,2,27,"['26,309', '']","['2,244', '']","['1,301', '']","['919', '']","['0', '']","['8,329', '']","['0', '']","['138', '']","['0', '']","['13,378', '']","['0', '']"
10153,r029,"All institutions -> U. California, Santa Barbara",All institutions,"U. California, Santa Barbara",2,28,"['26,239', '']","['0', '']","['588', '']","['328', '']","['0', '']","['10,582', '']","['0', '']","['135', '']","['0', '']","['14,606', '']","['0', '']"
10153,r030,All institutions -> Cornell U.,All institutions,Cornell U.,2,29,"['24,801', '']","['488', '']","['521', '']","['1,476', '']","['61', '']","['12,277', '']","['0', '']","['0', '']","['0', '']","['9,978', '']","['0', '']"
10153,r031,All institutions -> Colorado School of Mines,All institutions,Colorado School of Mines,2,30,"['24,478', '']","['370', '']","['1,122', '']","['717', '']","['80', '']","['5,126', '']","['0', '']","['417', '']","['0', '']","['16,624', '']","['22', '']"
10153,r032,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,31,"['24,107', '']","['195', '']","['65', '']","['2,104', '']","['0', '']","['12,946', '']","['0', '']","['140', '']","['0', '']","['8,653', '']","['4', '']"
10153,r033,"All institutions -> SUNY, Stony Brook U.",All institutions,"SUNY, Stony Brook U.",2,32,"['23,900', '']","['213', '']","['1,840', '']","['381', '']","['316', '']","['12,335', '']","['0', '']","['0', '']","['2,655', '']","['6,160', '']","['0', '']"
10153,r034,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,33,"['23,564', '']","['297', '']","['1,089', '']","['0', '']","['0', '']","['20,877', '']","['0', '']","['0', '']","['0', '']","['1,301', '']","['0', '']"
10153,r035,All institutions -> Washington State U.,All institutions,Washington State U.,2,34,"['22,296', '']","['183', '']","['2,107', '']","['2,847', '']","['66', '']","['9,391', '']","['0', '']","['0', '']","['625', '']","['6,749', '']","['328', '']"
10153,r036,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,35,"['22,087', '']","['0', '']","['30', '']","['3,039', '']","['100', '']","['5,237', '']","['0', '']","['466', '']","['1,480', '']","['11,735', '']","['0', '']"
10153,r037,All institutions -> Virginia Polytechnic Institute and State U.,All institutions,Virginia Polytechnic Institute and State U.,2,36,"['21,423', '']","['1,074', '']","['489', '']","['334', '']","['351', '']","['3,782', '']","['0', '']","['0', '']","['0', '']","['15,393', '']","['0', '']"
10153,r038,All institutions -> Harvard U.,All institutions,Harvard U.,2,37,"['20,978', '']","['193', '']","['592', '']","['3,596', '']","['0', '']","['14,144', '']","['0', '']","['9', '']","['0', '']","['2,444', '']","['0', '']"
10153,r039,"All institutions -> Colorado State U., Fort Collins",All institutions,"Colorado State U., Fort Collins",2,38,"['20,904', '']","['0', '']","['2,420', '']","['2,426', '']","['38', '']","['4,672', '']","['0', '']","['108', '']","['46', '']","['11,194', '']","['0', '']"
10153,r040,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,39,"['19,800', '']","['799', '']","['135', '']","['6,846', '']","['239', '']","['5,408', '']","['0', '']","['141', '']","['0', '']","['6,071', '']","['161', '']"
10153,r041,"All institutions -> U. California, Irvine",All institutions,"U. California, Irvine",2,40,"['19,058', '']","['48', '']","['2,268', '']","['1,351', '']","['0', '']","['10,484', '']","['0', '']","['0', '']","['0', '']","['4,907', '']","['0', '']"
10153,r042,All institutions -> Oregon State U.,All institutions,Oregon State U.,2,41,"['17,862', '']","['0', '']","['1,309', '']","['1,843', '']","['0', '']","['842', '']","['0', '']","['0', '']","['0', '']","['13,860', '']","['8', '']"
10153,r043,All institutions -> U. Florida,All institutions,U. Florida,2,42,"['17,469', '']","['281', '']","['153', '']","['3,775', '']","['1', '']","['6,090', '']","['0', '']","['0', '']","['0', '']","['7,169', '']","['0', '']"
10153,r044,All institutions -> U. Delaware,All institutions,U. Delaware,2,43,"['17,218', '']","['24', '']","['594', '']","['721', '']","['38', '']","['2,911', '']","['0', '']","['0', '']","['364', '']","['12,566', '']","['0', '']"
10153,r045,All institutions -> Carnegie Mellon U.,All institutions,Carnegie Mellon U.,2,44,"['16,658', '']","['1,938', '']","['61', '']","['0', '']","['0', '']","['4,745', '']","['0', '']","['5', '']","['0', '']","['9,909', '']","['0', '']"
10153,r046,All institutions -> U. Chicago,All institutions,U. Chicago,2,45,"['16,632', '']","['1,736', '']","['798', '']","['456', '']","['57', '']","['6,837', '']","['0', '']","['31', '']","['0', '']","['6,717', '']","['0', '']"
10153,r047,All institutions -> Duke U.,All institutions,Duke U.,2,46,"['16,235', '']","['21', '']","['519', '']","['1,885', '']","['163', '']","['9,303', '']","['0', '']","['0', '']","['0', '']","['4,344', '']","['0', '']"
10153,r048,All institutions -> U. Wyoming,All institutions,U. Wyoming,2,47,"['15,555', '']","['231', '']","['3,044', '']","['180', '']","['0', '']","['179', '']","['0', '']","['0', '']","['0', '']","['11,921', '']","['0', '']"
10153,r049,All institutions -> U. Notre Dame,All institutions,U. Notre Dame,2,48,"['15,024', '']","['0', '']","['0', '']","['213', '']","['38', '']","['7,160', '']","['0', '']","['0', '']","['0', '']","['7,613', '']","['0', '']"
10153,r050,All institutions -> U. Georgia,All institutions,U. Georgia,2,49,"['14,581', '']","['0', '']","['62', '']","['12,799', '']","['68', '']","['492', '']","['0', '']","['476', '']","['0', '']","['684', '']","['0', '']"
10153,r051,"All institutions -> U. Virginia, Charlottesville",All institutions,"U. Virginia, Charlottesville",2,50,"['14,154', '']","['616', '']","['0', '']","['188', '']","['0', '']","['6,306', '']","['0', '']","['0', '']","['22', '']","['6,881', '']","['141', '']"
10153,r052,All institutions -> West Virginia U.,All institutions,West Virginia U.,2,51,"['13,893', '']","['0', '']","['2,143', '']","['795', '']","['0', '']","['1,724', '']","['0', '']","['144', '']","['0', '']","['8,977', '']","['110', '']"
10153,r053,All institutions -> U. New Mexico,All institutions,U. New Mexico,2,52,"['13,826', '']","['929', '']","['217', '']","['631', '']","['302', '']","['2,110', '']","['49', '']","['339', '']","['0', '']","['9,078', '']","['171', '']"
10153,r054,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,53,"['13,728', '']","['0', '']","['0', '']","['405', '']","['0', '']","['10,805', '']","['0', '']","['0', '']","['0', '']","['2,513', '']","['5', '']"
10153,r055,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,54,"['13,674', '']","['206', '']","['319', '']","['947', '']","['0', '']","['12,067', '']","['0', '']","['1', '']","['0', '']","['134', '']","['0', '']"
10153,r056,All institutions -> U. Kentucky,All institutions,U. Kentucky,2,55,"['13,364', '']","['0', '']","['127', '']","['135', '']","['0', '']","['2,135', '']","['0', '']","['0', '']","['17', '']","['10,920', '']","['30', '']"
10153,r057,All institutions -> Johns Hopkins U.<sup>b</sup>,All institutions,Johns Hopkins U.<sup>b</sup>,2,56,"['12,785', '']","['927', '']","['274', '']","['17', '']","['177', '']","['5,654', '']","['0', '']","['10', '']","['0', '']","['5,726', '']","['0', '']"
10153,r058,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,57,"['12,668', '']","['25', '']","['120', '']","['49', '']","['0', '']","['4,053', '']","['0', '']","['0', '']","['0', '']","['8,421', '']","['0', '']"
10153,r059,All institutions -> U. Maine,All institutions,U. Maine,2,58,"['12,470', '']","['0', '']","['0', '']","['6', '']","['0', '']","['984', '']","['0', '']","['0', '']","['0', '']","['11,480', '']","['0', '']"
10153,r060,All institutions -> Florida State U.,All institutions,Florida State U.,2,59,"['11,990', '']","['175', '']","['67', '']","['0', '']","['138', '']","['6,937', '']","['0', '']","['0', '']","['1', '']","['4,647', '']","['25', '']"
10153,r061,All institutions -> Yale U.,All institutions,Yale U.,2,60,"['11,409', '']","['0', '']","['0', '']","['949', '']","['0', '']","['8,052', '']","['0', '']","['0', '']","['0', '']","['2,402', '']","['6', '']"
10153,r062,All institutions -> New Mexico Institute of Mining and Technology,All institutions,New Mexico Institute of Mining and Technology,2,61,"['11,177', '']","['361', '']","['773', '']","['226', '']","['0', '']","['181', '']","['0', '']","['0', '']","['0', '']","['9,599', '']","['37', '']"
10153,r063,"All institutions -> U. Texas, San Antonio",All institutions,"U. Texas, San Antonio",2,62,"['11,164', '']","['7,951', '']","['0', '']","['15', '']","['0', '']","['436', '']","['0', '']","['4', '']","['0', '']","['2,744', '']","['14', '']"
10153,r064,All institutions -> Vanderbilt U. and Vanderbilt U. Medical Center,All institutions,Vanderbilt U. and Vanderbilt U. Medical Center,2,63,"['10,858', '']","['669', '']","['0', '']","['31', '']","['0', '']","['1,481', '']","['0', '']","['0', '']","['0', '']","['8,609', '']","['68', '']"
10153,r065,All institutions -> Rensselaer Polytechnic Institute,All institutions,Rensselaer Polytechnic Institute,2,64,"['10,768', '']","['263', '']","['0', '']","['0', '']","['119', '']","['1,289', '']","['0', '']","['0', '']","['0', '']","['8,982', '']","['115', '']"
10153,r066,"All institutions -> Rutgers, State U. New Jersey, New Brunswick",All institutions,"Rutgers, State U. New Jersey, New Brunswick",2,65,"['10,666', '']","['0', '']","['302', '']","['1,884', '']","['277', '']","['3,748', '']","['0', '']","['154', '']","['0', '']","['4,288', '']","['13', '']"
10153,r067,All institutions -> U. Arizona,All institutions,U. Arizona,2,66,"['10,616', '']","['661', '']","['1,015', '']","['1,681', '']","['292', '']","['2,830', '']","['0', '']","['15', '']","['0', '']","['4,083', '']","['39', '']"
10153,r068,"All institutions -> U. Alaska, Fairbanks",All institutions,"U. Alaska, Fairbanks",2,67,"['10,597', '']","['0', '']","['5,401', '']","['183', '']","['0', '']","['115', '']","['0', '']","['46', '']","['5', '']","['4,847', '']","['0', '']"
10153,r069,All institutions -> U. Southern California,All institutions,U. Southern California,2,68,"['10,556', '']","['3,082', '']","['378', '']","['1,022', '']","['0', '']","['3,164', '']","['0', '']","['24', '']","['0', '']","['2,886', '']","['0', '']"
10153,r070,"All institutions -> U. Nebraska, Lincoln",All institutions,"U. Nebraska, Lincoln",2,69,"['10,515', '']","['186', '']","['0', '']","['3,738', '']","['0', '']","['2,635', '']","['0', '']","['0', '']","['0', '']","['3,956', '']","['0', '']"
10153,r071,"All institutions -> U. Illinois, Chicago",All institutions,"U. Illinois, Chicago",2,70,"['10,314', '']","['0', '']","['157', '']","['1,038', '']","['0', '']","['5,581', '']","['0', '']","['0', '']","['0', '']","['3,538', '']","['0', '']"
10153,r072,All institutions -> U. Central Florida,All institutions,U. Central Florida,2,71,"['9,311', '']","['438', '']","['2,753', '']","['0', '']","['30', '']","['986', '']","['0', '']","['161', '']","['0', '']","['4,943', '']","['0', '']"
10153,r073,"All institutions -> U. South Carolina, Columbia",All institutions,"U. South Carolina, Columbia",2,72,"['9,296', '']","['198', '']","['0', '']","['2,238', '']","['307', '']","['430', '']","['0', '']","['797', '']","['0', '']","['5,191', '']","['135', '']"
10153,r074,All institutions -> Kansas State U.,All institutions,Kansas State U.,2,73,"['8,972', '']","['42', '']","['0', '']","['713', '']","['0', '']","['5,687', '']","['0', '']","['0', '']","['0', '']","['2,530', '']","['0', '']"
10153,r075,All institutions -> Rice U.,All institutions,Rice U.,2,74,"['8,841', '']","['1,300', '']","['838', '']","['236', '']","['154', '']","['3,842', '']","['0', '']","['0', '']","['0', '']","['2,471', '']","['0', '']"
10153,r076,"All institutions -> CUNY, Queens C.",All institutions,"CUNY, Queens C.",2,75,"['8,749', '']","['0', '']","['33', '']","['8,359', '']","['0', '']","['357', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
10153,r077,All institutions -> Florida International U.,All institutions,Florida International U.,2,76,"['8,389', '']","['0', '']","['96', '']","['0', '']","['0', '']","['1,054', '']","['0', '']","['0', '']","['0', '']","['7,239', '']","['0', '']"
10153,r078,All institutions -> Texas Tech U.,All institutions,Texas Tech U.,2,77,"['8,193', '']","['82', '']","['2,071', '']","['41', '']","['0', '']","['901', '']","['0', '']","['0', '']","['0', '']","['5,098', '']","['0', '']"
10153,r079,All institutions -> Clemson U.,All institutions,Clemson U.,2,78,"['8,174', '']","['0', '']","['0', '']","['2,828', '']","['0', '']","['527', '']","['0', '']","['0', '']","['0', '']","['4,819', '']","['0', '']"
10153,r080,"All institutions -> SUNY, U. Buffalo",All institutions,"SUNY, U. Buffalo",2,79,"['8,111', '']","['244', '']","['9', '']","['170', '']","['61', '']","['552', '']","['0', '']","['0', '']","['0', '']","['7,075', '']","['0', '']"
10153,r081,All institutions -> Mississippi State U.,All institutions,Mississippi State U.,2,80,"['7,798', '']","['14', '']","['107', '']","['1,313', '']","['0', '']","['1,194', '']","['0', '']","['0', '']","['0', '']","['5,170', '']","['0', '']"
10153,r082,"All institutions -> U. Nevada, Reno",All institutions,"U. Nevada, Reno",2,81,"['7,660', '']","['73', '']","['2,053', '']","['123', '']","['0', '']","['2,530', '']","['0', '']","['64', '']","['24', '']","['2,793', '']","['0', '']"
10153,r083,All institutions -> Case Western Reserve U.,All institutions,Case Western Reserve U.,2,82,"['7,513', '']","['1', '']","['0', '']","['62', '']","['0', '']","['2,572', '']","['0', '']","['0', '']","['0', '']","['4,864', '']","['14', '']"
10153,r084,All institutions -> New Mexico State U.,All institutions,New Mexico State U.,2,83,"['7,496', '']","['249', '']","['270', '']","['41', '']","['0', '']","['665', '']","['0', '']","['0', '']","['0', '']","['6,271', '']","['0', '']"
10153,r085,All institutions -> Missouri U. of Science and Technology,All institutions,Missouri U. of Science and Technology,2,84,"['7,472', '']","['33', '']","['0', '']","['0', '']","['0', '']","['166', '']","['0', '']","['0', '']","['0', '']","['7,273', '']","['0', '']"
10153,r086,All institutions -> U. Houston,All institutions,U. Houston,2,85,"['7,435', '']","['132', '']","['1,310', '']","['0', '']","['0', '']","['1,587', '']","['0', '']","['0', '']","['32', '']","['4,374', '']","['0', '']"
10153,r087,"All institutions -> U. Oklahoma, Norman and Health Science Center",All institutions,"U. Oklahoma, Norman and Health Science Center",2,86,"['7,212', '']","['328', '']","['1,184', '']","['159', '']","['0', '']","['1,108', '']","['0', '']","['306', '']","['0', '']","['4,127', '']","['0', '']"
10153,r088,"All institutions -> U. Massachusetts, Amherst",All institutions,"U. Massachusetts, Amherst",2,87,"['7,195', '']","['13', '']","['189', '']","['696', '']","['52', '']","['3,877', '']","['0', '']","['40', '']","['0', '']","['2,328', '']","['0', '']"
10153,r089,"All institutions -> Washington U., Saint Louis",All institutions,"Washington U., Saint Louis",2,88,"['7,135', '']","['33', '']","['402', '']","['842', '']","['0', '']","['2,341', '']","['0', '']","['0', '']","['0', '']","['3,517', '']","['0', '']"
10153,r090,All institutions -> Boston U.,All institutions,Boston U.,2,89,"['6,972', '']","['566', '']","['202', '']","['773', '']","['0', '']","['2,978', '']","['0', '']","['0', '']","['0', '']","['2,453', '']","['0', '']"
10153,r091,"All institutions -> U. Missouri, Columbia",All institutions,"U. Missouri, Columbia",2,90,"['6,915', '']","['232', '']","['97', '']","['1,210', '']","['0', '']","['1,655', '']","['0', '']","['0', '']","['0', '']","['3,721', '']","['0', '']"
10153,r092,"All institutions -> U. California, Riverside",All institutions,"U. California, Riverside",2,91,"['6,814', '']","['442', '']","['62', '']","['531', '']","['90', '']","['2,895', '']","['0', '']","['0', '']","['0', '']","['2,794', '']","['0', '']"
10153,r093,All institutions -> U. Connecticut,All institutions,U. Connecticut,2,92,"['6,786', '']","['0', '']","['0', '']","['389', '']","['21', '']","['2,422', '']","['0', '']","['0', '']","['0', '']","['3,954', '']","['0', '']"
10153,r094,All institutions -> U. Oregon,All institutions,U. Oregon,2,93,"['6,770', '']","['3,067', '']","['19', '']","['637', '']","['0', '']","['2,889', '']","['0', '']","['0', '']","['0', '']","['0', '']","['158', '']"
10153,r095,All institutions -> Brown U.,All institutions,Brown U.,2,94,"['6,583', '']","['0', '']","['0', '']","['0', '']","['548', '']","['3,548', '']","['0', '']","['0', '']","['0', '']","['2,487', '']","['0', '']"
10153,r096,All institutions -> Michigan Technological U.,All institutions,Michigan Technological U.,2,95,"['6,477', '']","['0', '']","['889', '']","['0', '']","['0', '']","['28', '']","['0', '']","['0', '']","['0', '']","['5,560', '']","['0', '']"
10153,r097,"All institutions -> Auburn U., Auburn",All institutions,"Auburn U., Auburn",2,96,"['6,337', '']","['255', '']","['0', '']","['459', '']","['73', '']","['2,190', '']","['0', '']","['0', '']","['0', '']","['3,360', '']","['0', '']"
10153,r098,"All institutions -> U. Arkansas, Fayetteville",All institutions,"U. Arkansas, Fayetteville",2,97,"['6,254', '']","['340', '']","['604', '']","['67', '']","['0', '']","['605', '']","['0', '']","['0', '']","['0', '']","['4,638', '']","['0', '']"
10153,r099,"All institutions -> Indiana U., Bloomington",All institutions,"Indiana U., Bloomington",2,98,"['6,152', '']","['0', '']","['560', '']","['487', '']","['0', '']","['4,582', '']","['0', '']","['352', '']","['0', '']","['171', '']","['0', '']"
10153,r100,All institutions -> U. Toledo,All institutions,U. Toledo,2,99,"['6,116', '']","['0', '']","['886', '']","['0', '']","['0', '']","['2,182', '']","['0', '']","['95', '']","['0', '']","['2,756', '']","['197', '']"
10153,r101,"All institutions -> Oklahoma State U., Stillwater",All institutions,"Oklahoma State U., Stillwater",2,100,"['6,002', '']","['0', '']","['770', '']","['1,378', '']","['0', '']","['1,198', '']","['0', '']","['0', '']","['0', '']","['2,552', '']","['104', '']"
10153,r102,All institutions -> Lehigh U.,All institutions,Lehigh U.,2,101,"['5,730', '']","['0', '']","['0', '']","['0', '']","['0', '']","['532', '']","['0', '']","['252', '']","['0', '']","['4,946', '']","['0', '']"
10153,r103,"All institutions -> U. Alabama, Tuscaloosa",All institutions,"U. Alabama, Tuscaloosa",2,102,"['5,613', '']","['219', '']","['187', '']","['17', '']","['98', '']","['1,617', '']","['0', '']","['0', '']","['0', '']","['3,475', '']","['0', '']"
10153,r104,"All institutions -> U. Hawaii, Manoa",All institutions,"U. Hawaii, Manoa",2,103,"['5,571', '']","['186', '']","['1,654', '']","['64', '']","['0', '']","['2,585', '']","['0', '']","['20', '']","['457', '']","['605', '']","['0', '']"
10153,r105,"All institutions -> U. California, Santa Cruz",All institutions,"U. California, Santa Cruz",2,104,"['5,545', '']","['216', '']","['475', '']","['0', '']","['0', '']","['4,159', '']","['0', '']","['0', '']","['0', '']","['695', '']","['0', '']"
10153,r106,All institutions -> Desert Research Institute,All institutions,Desert Research Institute,2,105,"['5,524', '']","['0', '']","['5,524', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
10153,r107,All institutions -> Illinois Institute of Technology,All institutions,Illinois Institute of Technology,2,106,"['5,496', '']","['350', '']","['0', '']","['58', '']","['0', '']","['2,413', '']","['0', '']","['0', '']","['0', '']","['2,675', '']","['0', '']"
10153,r108,All institutions -> New York U.,All institutions,New York U.,2,107,"['5,322', '']","['537', '']","['0', '']","['346', '']","['824', '']","['2,808', '']","['0', '']","['0', '']","['0', '']","['764', '']","['43', '']"
10153,r109,"All institutions -> Louisiana State U., Baton Rouge",All institutions,"Louisiana State U., Baton Rouge",2,108,"['5,321', '']","['0', '']","['122', '']","['349', '']","['0', '']","['3,592', '']","['0', '']","['72', '']","['22', '']","['1,164', '']","['0', '']"
10153,r110,"All institutions -> Montana State U., Bozeman",All institutions,"Montana State U., Bozeman",2,109,"['5,226', '']","['33', '']","['596', '']","['2,524', '']","['0', '']","['1,073', '']","['0', '']","['0', '']","['0', '']","['1,000', '']","['0', '']"
10153,r111,All institutions -> U. Idaho,All institutions,U. Idaho,2,110,"['5,004', '']","['386', '']","['383', '']","['2,003', '']","['0', '']","['275', '']","['38', '']","['63', '']","['0', '']","['1,848', '']","['8', '']"
10153,r112,All institutions -> Old Dominion U.,All institutions,Old Dominion U.,2,111,"['4,956', '']","['157', '']","['202', '']","['0', '']","['95', '']","['3,017', '']","['0', '']","['0', '']","['0', '']","['1,443', '']","['42', '']"
10153,r113,"All institutions -> Brigham Young U., Provo",All institutions,"Brigham Young U., Provo",2,112,"['4,777', '']","['4', '']","['40', '']","['2', '']","['0', '']","['678', '']","['0', '']","['0', '']","['0', '']","['4,053', '']","['0', '']"
10153,r114,All institutions -> U. Kansas,All institutions,U. Kansas,2,113,"['4,572', '']","['17', '']","['639', '']","['8', '']","['0', '']","['2,278', '']","['0', '']","['2', '']","['0', '']","['1,628', '']","['0', '']"
