table_id,row_id,selected_characteristic_full_path,selected_characteristic_level_1,selected_characteristic_level_2,selected_characteristic_level_3,selected_characteristic_level_4,selected_characteristic_level_5,selected_characteristic_hierarchy_depth,field_number_of_early_career_doctorates_with_supervisors,field_had_written_performance_plan,field_of_those_with_written_performance_plan_percent_whose_plan_reflected_personal_career_development_goals_a_great_deal,field_has_had_formal_performance_evaluation
3814,r015,Early career doctorates with supervisors -> Employment setting -> Academic institution<sup>b</sup> -> Other college or university,Early career doctorates with supervisors,Employment setting,Academic institution<sup>b</sup>,Other college or university,,4,58300,54.5,49.7,85.3
3814,r016,Early career doctorates with supervisors -> Employment setting -> FFRDC,Early career doctorates with supervisors,Employment setting,FFRDC,,,3,7600,71.7,47.6,86.7
3814,r017,Early career doctorates with supervisors -> Doctoral degree type,Early career doctorates with supervisors,Doctoral degree type,,,,2,,,,
3814,r018,Early career doctorates with supervisors -> Doctoral degree type -> Professional degree or doctoral equivalent<sup>c</sup>,Early career doctorates with supervisors,Doctoral degree type,Professional degree or doctoral equivalent<sup>c</sup>,,,3,15100,59.0,43.3,78.5
3814,r019,Early career doctorates with supervisors -> Doctoral degree type -> Research degree,Early career doctorates with supervisors,Doctoral degree type,Research degree,,,3,140800,54.9,50.4,75.2
3814,r020,Early career doctorates with supervisors -> Years since doctoral degree,Early career doctorates with supervisors,Years since doctoral degree,,,,2,,,,
3814,r021,Early career doctorates with supervisors -> Years since doctoral degree -> 1 year or less,Early career doctorates with supervisors,Years since doctoral degree,1 year or less,,,3,33400,56.0,54.2,63.2
3814,r022,Early career doctorates with supervisors -> Years since doctoral degree -> 2&#8211;5 years,Early career doctorates with supervisors,Years since doctoral degree,2&#8211;5 years,,,3,70100,54.9,49.3,75.0
3814,r023,Early career doctorates with supervisors -> Years since doctoral degree -> 6&#8211;10 years,Early career doctorates with supervisors,Years since doctoral degree,6&#8211;10 years,,,3,52300,55.6,47.2,84.0
3814,r024,Early career doctorates with supervisors -> Origin of doctoral degree,Early career doctorates with supervisors,Origin of doctoral degree,,,,2,,,,
3814,r025,Early career doctorates with supervisors -> Origin of doctoral degree -> U.S. degree,Early career doctorates with supervisors,Origin of doctoral degree,U.S. degree,,,3,134000,54.6,49.5,77.9
3814,r026,Early career doctorates with supervisors -> Origin of doctoral degree -> Non-U.S. degree,Early career doctorates with supervisors,Origin of doctoral degree,Non-U.S. degree,,,3,21800,59.7,50.5,60.5
3814,r027,Early career doctorates with supervisors -> Field of doctoral degree,Early career doctorates with supervisors,Field of doctoral degree,,,,2,,,,
3814,r028,Early career doctorates with supervisors -> Field of doctoral degree -> Science and engineering,Early career doctorates with supervisors,Field of doctoral degree,Science and engineering,,,3,91500,56.2,50.3,70.5
3814,r029,"Early career doctorates with supervisors -> Field of doctoral degree -> Science and engineering -> Biological, agricultural, and environmental life sciences",Early career doctorates with supervisors,Field of doctoral degree,Science and engineering,"Biological, agricultural, and environmental life sciences",,4,25900,58.4,48.4,62.6
3814,r030,"Early career doctorates with supervisors -> Field of doctoral degree -> Science and engineering -> Biological, agricultural, and environmental life sciences -> Agricultural and environmental life sciences",Early career doctorates with supervisors,Field of doctoral degree,Science and engineering,"Biological, agricultural, and environmental life sciences",Agricultural and environmental life sciences,5,3500,65.5,43.3,66.3
3814,r031,"Early career doctorates with supervisors -> Field of doctoral degree -> Science and engineering -> Biological, agricultural, and environmental life sciences -> Biological and biomedical sciences",Early career doctorates with supervisors,Field of doctoral degree,Science and engineering,"Biological, agricultural, and environmental life sciences",Biological and biomedical sciences,5,22300,57.2,49.3,62.1
3814,r032,Early career doctorates with supervisors -> Field of doctoral degree -> Science and engineering -> Engineering,Early career doctorates with supervisors,Field of doctoral degree,Science and engineering,Engineering,,4,14500,63.2,48.1,76.1
3814,r033,Early career doctorates with supervisors -> Field of doctoral degree -> Science and engineering -> Mathematics and computer sciences,Early career doctorates with supervisors,Field of doctoral degree,Science and engineering,Mathematics and computer sciences,,4,9000,55.8,48.2,72.9
3814,r034,Early career doctorates with supervisors -> Field of doctoral degree -> Science and engineering -> Mathematics and computer sciences -> Computer and information sciences,Early career doctorates with supervisors,Field of doctoral degree,Science and engineering,Mathematics and computer sciences,Computer and information sciences,5,4500,62.5,48.0,76.7
3814,r035,Early career doctorates with supervisors -> Field of doctoral degree -> Science and engineering -> Mathematics and computer sciences -> Mathematics and statistics,Early career doctorates with supervisors,Field of doctoral degree,Science and engineering,Mathematics and computer sciences,Mathematics and statistics,5,4400,48.8,48.4,68.9
3814,r036,Early career doctorates with supervisors -> Field of doctoral degree -> Science and engineering -> Multidisciplinary fields and science and engineering related fields,Early career doctorates with supervisors,Field of doctoral degree,Science and engineering,Multidisciplinary fields and science and engineering related fields,,4,2000,68.2,40.5,76.3
3814,r037,"Early career doctorates with supervisors -> Field of doctoral degree -> Science and engineering -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Early career doctorates with supervisors,Field of doctoral degree,Science and engineering,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",,4,17300,54.8,50.2,65.2
3814,r038,Early career doctorates with supervisors -> Field of doctoral degree -> Science and engineering -> Psychology and social sciences,Early career doctorates with supervisors,Field of doctoral degree,Science and engineering,Psychology and social sciences,,4,23000,49.7,56.5,78.4
3814,r039,Early career doctorates with supervisors -> Field of doctoral degree -> Science and engineering -> Psychology and social sciences -> Psychology,Early career doctorates with supervisors,Field of doctoral degree,Science and engineering,Psychology and social sciences,Psychology,5,6300,51.3,63.3,75.1
3814,r040,Early career doctorates with supervisors -> Field of doctoral degree -> Science and engineering -> Psychology and social sciences -> Social sciences,Early career doctorates with supervisors,Field of doctoral degree,Science and engineering,Psychology and social sciences,Social sciences,5,16700,49.1,53.9,79.7
3814,r041,Early career doctorates with supervisors -> Field of doctoral degree -> Health,Early career doctorates with supervisors,Field of doctoral degree,Health,,,3,12500,66.8,57.9,80.9
3814,r042,Early career doctorates with supervisors -> Field of doctoral degree -> Non-science and engineering,Early career doctorates with supervisors,Field of doctoral degree,Non-science and engineering,,,3,51900,51.0,45.9,83.0
3814,r043,Early career doctorates with supervisors -> Field of doctoral degree -> Non-science and engineering -> Education,Early career doctorates with supervisors,Field of doctoral degree,Non-science and engineering,Education,,4,19600,53.6,43.1,79.4
3814,r044,Early career doctorates with supervisors -> Field of doctoral degree -> Non-science and engineering -> Humanities,Early career doctorates with supervisors,Field of doctoral degree,Non-science and engineering,Humanities,,4,12400,46.0,44.0,83.2
3814,r045,Early career doctorates with supervisors -> Field of doctoral degree -> Non-science and engineering -> Other non-science and engineering,Early career doctorates with supervisors,Field of doctoral degree,Non-science and engineering,Other non-science and engineering,,4,19900,51.5,49.7,86.3
3814,r046,Early career doctorates with supervisors -> Position tenure,Early career doctorates with supervisors,Position tenure,,,,2,,,,
3814,r047,Early career doctorates with supervisors -> Position tenure -> 1 year or less,Early career doctorates with supervisors,Position tenure,1 year or less,,,3,22200,48.1,54.7,64.9
3814,r048,Early career doctorates with supervisors -> Position tenure -> More than 1 year but less than 5 years,Early career doctorates with supervisors,Position tenure,More than 1 year but less than 5 years,,,3,92300,57.7,50.6,72.9
3814,r049,Early career doctorates with supervisors -> Position tenure -> 5 years or more,Early career doctorates with supervisors,Position tenure,5 years or more,,,3,41300,54.1,44.9,87.0
