table_id,row_id,_b_field_of_study_b_full_path,_b_field_of_study_b_level_1,_b_field_of_study_b_level_2,_b_field_of_study_b_level_3,_b_field_of_study_b_hierarchy_depth,field_all_u_s_citizen_and_permanent_resident_doctorate_recipients_number_,field_total,field_u_s_citizen_or_permanent_resident_hispanic_or_latino,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_asian,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_black_or_african_american,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_white,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_more_than_one_race,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_other_race_or_race_not_reported,field_u_s_citizen_or_permanent_resident_ethnicity_not_reported
4661,r031,All fields -> Education -> Education administration,All fields,Education,Education administration,3,818,100.0,9.0,0.5,2.9,24.2,58.2,2.2,1.0,2.0
4661,r032,All fields -> Education -> Education research,All fields,Education,Education research,3,1872,100.0,9.8,0.5,6.1,14.5,64.3,2.7,0.7,1.3
4661,r033,All fields -> Education -> Teacher education,All fields,Education,Teacher education,3,94,100.0,4.3,0.0,5.3,19.1,63.8,1.1,0.0,6.4
4661,r034,All fields -> Education -> Teaching fields,All fields,Education,Teaching fields,3,751,100.0,7.9,0.3,4.8,12.4,69.5,2.1,1.6,1.5
4661,r035,All fields -> Education -> Other education,All fields,Education,Other education,3,361,100.0,14.1,0.3,6.6,13.0,58.7,3.6,2.2,1.4
4661,r036,All fields -> Humanities and arts,All fields,Humanities and arts,,2,3915,100.0,9.0,0.4,5.3,4.4,75.2,2.7,1.3,1.7
4661,r037,All fields -> Humanities and arts -> Foreign languages and literature,All fields,Humanities and arts,Foreign languages and literature,3,349,100.0,24.1,0.6,4.6,1.7,64.2,1.7,2.3,0.9
4661,r038,All fields -> Humanities and arts -> History,All fields,Humanities and arts,History,3,746,100.0,7.8,0.3,4.8,3.8,78.4,2.8,0.8,1.3
4661,r039,All fields -> Humanities and arts -> Letters,All fields,Humanities and arts,Letters,3,1165,100.0,6.2,0.4,4.4,3.9,78.5,3.3,0.9,2.3
4661,r040,All fields -> Humanities and arts -> Other humanities and arts,All fields,Humanities and arts,Other humanities and arts,3,1655,100.0,8.3,0.4,6.3,5.7,73.7,2.5,1.6,1.5
4661,r041,All fields -> Other<sup>a</sup>,All fields,Other<sup>a</sup>,,2,1738,100.0,7.4,0.6,9.3,14.4,63.1,2.2,1.0,2.0
4661,r042,All fields -> Other<sup>a</sup> -> Business management and administration,All fields,Other<sup>a</sup>,Business management and administration,3,709,100.0,6.5,0.3,15.0,14.4,58.3,2.7,0.8,2.1
4661,r043,All fields -> Other<sup>a</sup> -> Communication,All fields,Other<sup>a</sup>,Communication,3,412,100.0,7.3,0.2,5.6,7.8,73.8,2.2,1.5,1.7
4661,r044,All fields -> Other<sup>a</sup> -> Non-S&E fields nec,All fields,Other<sup>a</sup>,Non-S&E fields nec,3,617,100.0,8.4,1.3,5.3,18.8,61.6,1.6,1.0,1.9
