table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_doe_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
5442,r041,All institutions -> Harvard U.,All institutions,Harvard U.,2,40,"['16,016', '']","['9', '']","['76', '']","['4,200', '']","['0', '']","['10,340', '']","['0', '']","['0', '']","['0', '']","['1,391', '']","['0', '']"
5442,r042,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,41,"['15,436', '']","['1,045', '']","['251', '']","['3,973', '']","['0', '']","['4,772', '']","['0', '']","['161', '']","['0', '']","['5,142', '']","['92', '']"
5442,r043,"All institutions -> U. California, Irvine",All institutions,"U. California, Irvine",2,42,"['15,400', '']","['0', '']","['1,749', '']","['1,799', '']","['0', '']","['8,744', '']","['0', '']","['0', '']","['0', '']","['3,108', '']","['0', '']"
5442,r044,"All institutions -> Colorado State U., Fort Collins",All institutions,"Colorado State U., Fort Collins",2,43,"['15,198', '']","['73', '']","['3,314', '']","['3,621', '']","['56', '']","['1,931', '']","['0', '']","['0', '']","['42', '']","['6,161', '']","['0', '']"
5442,r045,All institutions -> West Virginia U.,All institutions,West Virginia U.,2,44,"['15,101', '']","['0', '']","['5,726', '']","['1,039', '']","['0', '']","['1,158', '']","['0', '']","['102', '']","['0', '']","['7,058', '']","['18', '']"
5442,r046,"All institutions -> U. California, Santa Barbara",All institutions,"U. California, Santa Barbara",2,45,"['14,629', '']","['0', '']","['634', '']","['582', '']","['0', '']","['6,758', '']","['0', '']","['0', '']","['0', '']","['6,655', '']","['0', '']"
5442,r047,All institutions -> U. Notre Dame,All institutions,U. Notre Dame,2,46,"['14,028', '']","['132', '']","['0', '']","['200', '']","['0', '']","['6,686', '']","['0', '']","['39', '']","['0', '']","['6,971', '']","['0', '']"
5442,r048,All institutions -> U. Delaware,All institutions,U. Delaware,2,47,"['13,993', '']","['91', '']","['516', '']","['334', '']","['0', '']","['2,281', '']","['0', '']","['0', '']","['491', '']","['10,280', '']","['0', '']"
5442,r049,"All institutions -> U. Virginia, Charlottesville",All institutions,"U. Virginia, Charlottesville",2,48,"['13,533', '']","['506', '']","['0', '']","['689', '']","['0', '']","['6,252', '']","['0', '']","['249', '']","['25', '']","['5,784', '']","['28', '']"
5442,r050,All institutions -> U. Georgia,All institutions,U. Georgia,2,49,"['12,910', '']","['0', '']","['169', '']","['11,798', '']","['36', '']","['444', '']","['0', '']","['166', '']","['0', '']","['93', '']","['204', '']"
5442,r051,All institutions -> Rensselaer Polytechnic Institute,All institutions,Rensselaer Polytechnic Institute,2,50,"['12,839', '']","['350', '']","['97', '']","['87', '']","['285', '']","['1,743', '']","['0', '']","['0', '']","['0', '']","['9,995', '']","['282', '']"
5442,r052,All institutions -> Johns Hopkins U.<sup>c</sup>,All institutions,Johns Hopkins U.<sup>c</sup>,2,51,"['12,481', '']","['802', '']","['368', '']","['18', '']","['29', '']","['6,374', '']","['0', '']","['8', '']","['0', '']","['4,882', '']","['0', '']"
5442,r053,All institutions -> Vanderbilt U. and Vanderbilt U. Medical Center,All institutions,Vanderbilt U. and Vanderbilt U. Medical Center,2,52,"['12,422', '']","['0', '']","['0', '']","['170', '']","['0', '']","['2,301', '']","['0', '']","['0', '']","['0', '']","['9,951', '']","['0', '']"
5442,r054,All institutions -> U. Kentucky,All institutions,U. Kentucky,2,53,"['11,563', '']","['0', '']","['448', '']","['0', '']","['0', '']","['1,815', '']","['0', '']","['0', '']","['0', '']","['9,300', '']","['0', '']"
5442,r055,All institutions -> U. New Mexico,All institutions,U. New Mexico,2,54,"['11,452', '']","['291', '']","['230', '']","['703', '']","['220', '']","['1,403', '']","['102', '']","['3', '']","['0', '']","['8,389', '']","['111', '']"
5442,r056,"All institutions -> Rutgers, State U. New Jersey, New Brunswick",All institutions,"Rutgers, State U. New Jersey, New Brunswick",2,55,"['10,951', '']","['471', '']","['470', '']","['3,270', '']","['0', '']","['3,062', '']","['0', '']","['0', '']","['0', '']","['3,678', '']","['0', '']"
5442,r057,All institutions -> Yale U.,All institutions,Yale U.,2,56,"['10,864', '']","['0', '']","['0', '']","['636', '']","['0', '']","['7,003', '']","['0', '']","['0', '']","['0', '']","['3,225', '']","['0', '']"
5442,r058,All institutions -> Florida State U.,All institutions,Florida State U.,2,57,"['10,788', '']","['402', '']","['257', '']","['0', '']","['63', '']","['6,218', '']","['0', '']","['13', '']","['74', '']","['3,707', '']","['54', '']"
5442,r059,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,58,"['10,781', '']","['31', '']","['150', '']","['172', '']","['0', '']","['2,815', '']","['0', '']","['0', '']","['0', '']","['7,613', '']","['0', '']"
5442,r060,"All institutions -> U. Nebraska, Lincoln",All institutions,"U. Nebraska, Lincoln",2,59,"['10,041', '']","['0', '']","['0', '']","['4,427', '']","['0', '']","['3,355', '']","['0', '']","['0', '']","['0', '']","['2,235', '']","['24', '']"
5442,r061,All institutions -> U. Arizona,All institutions,U. Arizona,2,60,"['9,821', '']","['387', '']","['1,103', '']","['2,296', '']","['71', '']","['3,699', '']","['0', '']","['51', '']","['0', '']","['2,214', '']","['0', '']"
5442,r062,All institutions -> U. Chicago,All institutions,U. Chicago,2,61,"['9,697', '']","['1,112', '']","['389', '']","['301', '']","['123', '']","['4,287', '']","['0', '']","['56', '']","['0', '']","['3,429', '']","['0', '']"
5442,r063,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,62,"['9,131', '']","['97', '']","['0', '']","['278', '']","['0', '']","['7,494', '']","['0', '']","['0', '']","['0', '']","['1,238', '']","['24', '']"
5442,r064,"All institutions -> U. South Carolina, Columbia",All institutions,"U. South Carolina, Columbia",2,63,"['8,836', '']","['97', '']","['69', '']","['1,887', '']","['99', '']","['474', '']","['0', '']","['817', '']","['0', '']","['5,393', '']","['0', '']"
5442,r065,"All institutions -> U. California, Riverside",All institutions,"U. California, Riverside",2,64,"['8,395', '']","['130', '']","['180', '']","['543', '']","['86', '']","['3,407', '']","['0', '']","['0', '']","['0', '']","['4,049', '']","['0', '']"
5442,r066,All institutions -> Kansas State U.,All institutions,Kansas State U.,2,65,"['8,040', '']","['71', '']","['0', '']","['352', '']","['0', '']","['4,902', '']","['0', '']","['0', '']","['0', '']","['2,715', '']","['0', '']"
5442,r067,All institutions -> U. Southern California,All institutions,U. Southern California,2,66,"['8,018', '']","['2,477', '']","['447', '']","['699', '']","['0', '']","['2,191', '']","['0', '']","['0', '']","['0', '']","['2,204', '']","['0', '']"
5442,r068,All institutions -> Rice U.,All institutions,Rice U.,2,67,"['7,998', '']","['1,269', '']","['203', '']","['290', '']","['141', '']","['3,600', '']","['0', '']","['0', '']","['0', '']","['2,495', '']","['0', '']"
5442,r069,All institutions -> Clemson U.,All institutions,Clemson U.,2,68,"['7,990', '']","['0', '']","['0', '']","['2,976', '']","['0', '']","['268', '']","['0', '']","['0', '']","['0', '']","['4,746', '']","['0', '']"
5442,r070,"All institutions -> CUNY, Queens C.",All institutions,"CUNY, Queens C.",2,69,"['7,815', '']","['0', '']","['59', '']","['7,627', '']","['0', '']","['129', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5442,r071,All institutions -> U. Wyoming,All institutions,U. Wyoming,2,70,"['7,547', '']","['13', '']","['1,422', '']","['3,942', '']","['0', '']","['185', '']","['0', '']","['0', '']","['478', '']","['1,426', '']","['81', '']"
5442,r072,"All institutions -> U. Illinois, Chicago",All institutions,"U. Illinois, Chicago",2,71,"['7,080', '']","['41', '']","['117', '']","['885', '']","['0', '']","['3,686', '']","['0', '']","['0', '']","['0', '']","['2,351', '']","['0', '']"
5442,r073,All institutions -> Florida International U.,All institutions,Florida International U.,2,72,"['6,827', '']","['0', '']","['70', '']","['0', '']","['0', '']","['3,227', '']","['0', '']","['0', '']","['0', '']","['3,530', '']","['0', '']"
5442,r074,All institutions -> U. Connecticut,All institutions,U. Connecticut,2,73,"['6,731', '']","['0', '']","['0', '']","['594', '']","['0', '']","['2,265', '']","['0', '']","['58', '']","['0', '']","['3,814', '']","['0', '']"
5442,r075,All institutions -> U. Central Florida,All institutions,U. Central Florida,2,74,"['6,666', '']","['328', '']","['1,767', '']","['7', '']","['0', '']","['963', '']","['0', '']","['97', '']","['0', '']","['3,504', '']","['0', '']"
5442,r076,"All institutions -> Washington U., Saint Louis",All institutions,"Washington U., Saint Louis",2,75,"['6,569', '']","['23', '']","['241', '']","['779', '']","['0', '']","['2,070', '']","['0', '']","['0', '']","['0', '']","['3,456', '']","['0', '']"
5442,r077,All institutions -> Boston U.,All institutions,Boston U.,2,76,"['6,403', '']","['356', '']","['274', '']","['350', '']","['0', '']","['3,086', '']","['0', '']","['0', '']","['0', '']","['2,337', '']","['0', '']"
5442,r078,"All institutions -> Louisiana State U., Baton Rouge",All institutions,"Louisiana State U., Baton Rouge",2,77,"['6,397', '']","['0', '']","['245', '']","['426', '']","['0', '']","['3,752', '']","['0', '']","['0', '']","['28', '']","['1,946', '']","['0', '']"
5442,r079,All institutions -> U. Houston,All institutions,U. Houston,2,78,"['6,376', '']","['281', '']","['168', '']","['0', '']","['0', '']","['1,486', '']","['0', '']","['0', '']","['57', '']","['4,384', '']","['0', '']"
5442,r080,"All institutions -> U. Arkansas, Fayetteville",All institutions,"U. Arkansas, Fayetteville",2,79,"['6,344', '']","['271', '']","['533', '']","['142', '']","['0', '']","['924', '']","['0', '']","['0', '']","['0', '']","['4,474', '']","['0', '']"
5442,r081,All institutions -> Mississippi State U.,All institutions,Mississippi State U.,2,80,"['6,205', '']","['0', '']","['0', '']","['607', '']","['0', '']","['687', '']","['0', '']","['0', '']","['0', '']","['4,911', '']","['0', '']"
5442,r082,All institutions -> New Mexico State U.,All institutions,New Mexico State U.,2,81,"['6,159', '']","['222', '']","['726', '']","['245', '']","['0', '']","['705', '']","['0', '']","['0', '']","['0', '']","['4,261', '']","['0', '']"
5442,r083,"All institutions -> U. Alabama, Birmingham",All institutions,"U. Alabama, Birmingham",2,82,"['5,945', '']","['21', '']","['438', '']","['180', '']","['0', '']","['788', '']","['0', '']","['0', '']","['0', '']","['4,518', '']","['0', '']"
5442,r084,All institutions -> Brown U.,All institutions,Brown U.,2,83,"['5,935', '']","['0', '']","['0', '']","['0', '']","['1,065', '']","['3,051', '']","['0', '']","['0', '']","['0', '']","['1,819', '']","['0', '']"
5442,r085,"All institutions -> Indiana U., Bloomington",All institutions,"Indiana U., Bloomington",2,84,"['5,922', '']","['0', '']","['213', '']","['352', '']","['0', '']","['4,948', '']","['0', '']","['226', '']","['0', '']","['183', '']","['0', '']"
5442,r086,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,85,"['5,847', '']","['167', '']","['109', '']","['620', '']","['0', '']","['4,837', '']","['0', '']","['0', '']","['0', '']","['114', '']","['0', '']"
5442,r087,"All institutions -> U. Massachusetts, Amherst",All institutions,"U. Massachusetts, Amherst",2,86,"['5,775', '']","['24', '']","['24', '']","['827', '']","['99', '']","['2,610', '']","['0', '']","['0', '']","['0', '']","['2,191', '']","['0', '']"
5442,r088,"All institutions -> U. Oklahoma, Norman and Health Science Center",All institutions,"U. Oklahoma, Norman and Health Science Center",2,87,"['5,658', '']","['192', '']","['715', '']","['1,798', '']","['0', '']","['734', '']","['0', '']","['122', '']","['0', '']","['2,097', '']","['0', '']"
5442,r089,"All institutions -> U. Missouri, Columbia",All institutions,"U. Missouri, Columbia",2,88,"['5,582', '']","['91', '']","['223', '']","['1,309', '']","['0', '']","['1,975', '']","['0', '']","['0', '']","['0', '']","['1,984', '']","['0', '']"
5442,r090,All institutions -> U. Oregon,All institutions,U. Oregon,2,89,"['5,534', '']","['2,672', '']","['0', '']","['79', '']","['0', '']","['2,673', '']","['2', '']","['0', '']","['0', '']","['0', '']","['108', '']"
5442,r091,"All institutions -> U. Alaska, Fairbanks",All institutions,"U. Alaska, Fairbanks",2,90,"['5,453', '']","['0', '']","['1,490', '']","['492', '']","['0', '']","['107', '']","['0', '']","['0', '']","['61', '']","['3,303', '']","['0', '']"
5442,r092,"All institutions -> U. Hawaii, Manoa",All institutions,"U. Hawaii, Manoa",2,91,"['5,441', '']","['0', '']","['1,684', '']","['28', '']","['0', '']","['2,863', '']","['0', '']","['5', '']","['613', '']","['248', '']","['0', '']"
5442,r093,"All institutions -> U. Nevada, Reno",All institutions,"U. Nevada, Reno",2,92,"['5,361', '']","['525', '']","['474', '']","['183', '']","['0', '']","['1,839', '']","['0', '']","['19', '']","['0', '']","['2,321', '']","['0', '']"
5442,r094,All institutions -> U. Idaho,All institutions,U. Idaho,2,93,"['5,330', '']","['125', '']","['15', '']","['2,338', '']","['0', '']","['211', '']","['96', '']","['12', '']","['0', '']","['2,521', '']","['12', '']"
5442,r095,All institutions -> Case Western Reserve U.,All institutions,Case Western Reserve U.,2,94,"['5,277', '']","['0', '']","['0', '']","['0', '']","['0', '']","['1,407', '']","['0', '']","['0', '']","['0', '']","['3,599', '']","['271', '']"
5442,r096,"All institutions -> SUNY, U. Buffalo",All institutions,"SUNY, U. Buffalo",2,95,"['5,248', '']","['288', '']","['0', '']","['127', '']","['138', '']","['625', '']","['0', '']","['0', '']","['0', '']","['4,057', '']","['13', '']"
5442,r097,All institutions -> Desert Research Institute,All institutions,Desert Research Institute,2,96,"['5,184', '']","['0', '']","['5,184', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5442,r098,All institutions -> Catholic U. of America,All institutions,Catholic U. of America,2,97,"['5,027', '']","['0', '']","['0', '']","['0', '']","['0', '']","['5,027', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5442,r099,"All institutions -> Auburn U., Auburn",All institutions,"Auburn U., Auburn",2,98,"['5,006', '']","['150', '']","['0', '']","['612', '']","['0', '']","['2,288', '']","['0', '']","['0', '']","['0', '']","['1,956', '']","['0', '']"
5442,r100,All institutions -> Temple U.,All institutions,Temple U.,2,99,"['4,990', '']","['332', '']","['63', '']","['963', '']","['144', '']","['3,043', '']","['0', '']","['0', '']","['0', '']","['445', '']","['0', '']"
5442,r101,All institutions -> New Mexico Institute of Mining and Technology,All institutions,New Mexico Institute of Mining and Technology,2,100,"['4,968', '']","['72', '']","['147', '']","['41', '']","['0', '']","['62', '']","['0', '']","['0', '']","['0', '']","['4,438', '']","['208', '']"
5442,r102,All institutions -> Michigan Technological U.,All institutions,Michigan Technological U.,2,101,"['4,788', '']","['0', '']","['498', '']","['0', '']","['0', '']","['0', '']","['0', '']","['32', '']","['0', '']","['4,258', '']","['0', '']"
5442,r103,All institutions -> Missouri U. of Science and Technology,All institutions,Missouri U. of Science and Technology,2,102,"['4,746', '']","['159', '']","['0', '']","['0', '']","['0', '']","['174', '']","['0', '']","['0', '']","['0', '']","['4,413', '']","['0', '']"
5442,r104,All institutions -> George Washington U.,All institutions,George Washington U.,2,103,"['4,603', '']","['118', '']","['0', '']","['0', '']","['0', '']","['1,609', '']","['0', '']","['323', '']","['0', '']","['2,553', '']","['0', '']"
5442,r105,All institutions -> Boise State U.,All institutions,Boise State U.,2,104,"['4,568', '']","['11', '']","['99', '']","['158', '']","['112', '']","['1,252', '']","['0', '']","['77', '']","['0', '']","['2,859', '']","['0', '']"
5442,r106,"All institutions -> U. Alabama, Tuscaloosa",All institutions,"U. Alabama, Tuscaloosa",2,105,"['4,496', '']","['47', '']","['0', '']","['0', '']","['0', '']","['1,954', '']","['0', '']","['0', '']","['0', '']","['2,495', '']","['0', '']"
5442,r107,All institutions -> New York U.,All institutions,New York U.,2,106,"['4,453', '']","['226', '']","['0', '']","['1,601', '']","['868', '']","['1,666', '']","['0', '']","['0', '']","['0', '']","['92', '']","['0', '']"
5442,r108,All institutions -> Old Dominion U.,All institutions,Old Dominion U.,2,107,"['4,368', '']","['33', '']","['384', '']","['0', '']","['109', '']","['2,967', '']","['0', '']","['0', '']","['0', '']","['730', '']","['145', '']"
5442,r109,"All institutions -> U. California, Santa Cruz",All institutions,"U. California, Santa Cruz",2,108,"['4,289', '']","['42', '']","['209', '']","['0', '']","['0', '']","['4,038', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5442,r110,All institutions -> U. Dayton,All institutions,U. Dayton,2,109,"['4,142', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['4,142', '']","['0', '']"
5442,r111,All institutions -> U. Kansas,All institutions,U. Kansas,2,110,"['4,046', '']","['0', '']","['875', '']","['86', '']","['18', '']","['1,812', '']","['0', '']","['0', '']","['0', '']","['1,255', '']","['0', '']"
5442,r112,All institutions -> Northeastern U.,All institutions,Northeastern U.,2,111,"['4,041', '']","['0', '']","['0', '']","['0', '']","['0', '']","['2,667', '']","['0', '']","['0', '']","['0', '']","['1,374', '']","['0', '']"
5442,r113,"All institutions -> Oklahoma State U., Stillwater",All institutions,"Oklahoma State U., Stillwater",2,112,"['3,982', '']","['0', '']","['687', '']","['279', '']","['0', '']","['1,087', '']","['0', '']","['0', '']","['0', '']","['1,929', '']","['0', '']"
5442,r114,All institutions -> Lehigh U.,All institutions,Lehigh U.,2,113,"['3,882', '']","['59', '']","['0', '']","['0', '']","['0', '']","['495', '']","['0', '']","['0', '']","['0', '']","['3,328', '']","['0', '']"
5442,r115,All institutions -> Texas Tech U.,All institutions,Texas Tech U.,2,114,"['3,878', '']","['53', '']","['372', '']","['115', '']","['0', '']","['809', '']","['0', '']","['0', '']","['0', '']","['2,486', '']","['43', '']"
