table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_level_5,_b_characteristic_b_level_6,_b_characteristic_b_hierarchy_depth,field_all_fields,field_life_sciencesa,field_physical_sciences_and_earth_sciences,field_mathematics_and_computer_sciences,field_psychology_and_social_sciences,field_engineering,field_education,field_humanities_and_arts,field_otherb
4692,r011,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Academe,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Academe,,,4,41.9,39.0,17.9,29.5,53.1,14.1,55.9,70.4,73.2
4692,r012,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Government,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Government,,,4,8.0,10.7,10.1,4.3,12.6,8.8,4.1,3.1,6.6
4692,r013,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Industry or business<sup>i</sup>,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Industry or business<sup>i</sup>,,,4,37.9,39.4,67.1,61.9,20.3,72.6,7.4,7.3,13.7
4692,r014,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Nonprofit organization,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Nonprofit organization,,,4,5.9,8.0,3.0,1.8,9.2,3.1,6.4,10.8,3.8
4692,r015,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Other or unknown<sup>j</sup>,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Other or unknown<sup>j</sup>,,,4,6.3,3.0,1.9,2.4,4.8,1.5,26.2,8.5,2.7
4692,r016,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Primary activity<sup>k</sup>,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Primary activity<sup>k</sup>,,,4,,,,,,,,,
4692,r017,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Primary activity<sup>k</sup> -> R&D,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Primary activity<sup>k</sup>,R&D,,5,46.5,46.2,70.8,69.5,38.1,74.3,12.8,9.7,41.0
4692,r018,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Primary activity<sup>k</sup> -> Teaching,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Primary activity<sup>k</sup>,Teaching,,5,28.8,25.2,12.7,20.2,33.7,7.8,40.2,67.5,38.9
4692,r019,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Primary activity<sup>k</sup> -> Management or administration,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Primary activity<sup>k</sup>,Management or administration,,5,10.1,9.1,3.7,2.0,8.5,3.6,33.0,10.6,10.9
4692,r020,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Primary activity<sup>k</sup> -> Professional services,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Primary activity<sup>k</sup>,Professional services,,5,14.0,18.9,11.9,7.9,19.1,13.7,13.5,11.7,8.8
4692,r021,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Primary activity<sup>k</sup> -> Other,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Primary activity<sup>k</sup>,Other,,5,0.6,0.6,0.9,0.5,0.6,0.6,0.5,0.5,0.5
4692,r022,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Secondary activity<sup>l</sup>,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Secondary activity<sup>l</sup>,,,4,,,,,,,,,
4692,r023,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Secondary activity<sup>l</sup> -> R&D,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Secondary activity<sup>l</sup>,R&D,,5,23.3,25.6,12.8,17.3,29.5,12.0,25.6,34.8,34.3
4692,r024,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Secondary activity<sup>l</sup> -> Teaching,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Secondary activity<sup>l</sup>,Teaching,,5,14.3,10.8,3.0,10.1,19.6,6.4,20.1,12.9,36.8
4692,r025,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Secondary activity<sup>l</sup> -> Management or administration,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Secondary activity<sup>l</sup>,Management or administration,,5,10.3,13.9,14.1,5.7,9.7,12.1,9.4,9.1,4.8
4692,r026,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Secondary activity<sup>l</sup> -> Professional services,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Secondary activity<sup>l</sup>,Professional services,,5,6.5,7.2,5.4,5.4,7.8,6.2,7.2,6.5,4.8
4692,r027,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Secondary activity<sup>l</sup> -> Other,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Secondary activity<sup>l</sup>,Other,,5,0.5,0.7,0.6,0.7,0.5,0.5,0.6,0.5,0.2
4692,r028,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Secondary activity<sup>l</sup> -> No secondary activity,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Secondary activity<sup>l</sup>,No secondary activity,,5,45.1,41.8,64.1,60.8,32.9,62.8,37.0,36.3,19.2
4692,r029,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Activity unknown,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Activity unknown,,,4,5.4,6.3,5.2,4.6,5.5,4.8,5.5,5.8,5.5
4692,r030,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Postgraduation location (%)<sup>m</sup>,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Postgraduation location (%)<sup>m</sup>,,,,3,,,,,,,,,
4692,r031,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Postgraduation location (%)<sup>m</sup> -> United States<sup>n</sup>,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Postgraduation location (%)<sup>m</sup>,United States<sup>n</sup>,,,4,90.2,91.7,90.1,88.1,89.4,90.6,93.5,89.1,86.0
4692,r032,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Postgraduation location (%)<sup>m</sup> -> United States<sup>n</sup> -> New England,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Postgraduation location (%)<sup>m</sup>,United States<sup>n</sup>,New England,,5,8.6,10.9,9.9,6.9,9.1,8.0,4.5,8.1,6.9
4692,r033,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Postgraduation location (%)<sup>m</sup> -> United States<sup>n</sup> -> Middle Atlantic,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Postgraduation location (%)<sup>m</sup>,United States<sup>n</sup>,Middle Atlantic,,5,12.2,12.4,11.3,13.6,14.1,9.1,10.8,16.4,13.1
4692,r034,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Postgraduation location (%)<sup>m</sup> -> United States<sup>n</sup> -> East North Central,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Postgraduation location (%)<sup>m</sup>,United States<sup>n</sup>,East North Central,,5,10.9,10.6,9.7,9.4,10.5,10.8,14.1,11.7,11.9
4692,r035,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Postgraduation location (%)<sup>m</sup> -> United States<sup>n</sup> -> West North Central,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Postgraduation location (%)<sup>m</sup>,United States<sup>n</sup>,West North Central,,5,4.7,5.7,3.0,2.7,5.2,3.4,6.4,5.9,5.3
4692,r036,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Postgraduation location (%)<sup>m</sup> -> United States<sup>n</sup> -> South Atlantic,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Postgraduation location (%)<sup>m</sup>,United States<sup>n</sup>,South Atlantic,,5,15.8,17.8,14.3,12.1,17.9,12.6,19.3,14.6,17.6
4692,r037,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Postgraduation location (%)<sup>m</sup> -> United States<sup>n</sup> -> East South Central,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Postgraduation location (%)<sup>m</sup>,United States<sup>n</sup>,East South Central,,5,4.0,4.1,2.6,1.8,3.2,3.2,8.4,5.6,5.1
4692,r038,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Postgraduation location (%)<sup>m</sup> -> United States<sup>n</sup> -> West South Central,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Postgraduation location (%)<sup>m</sup>,United States<sup>n</sup>,West South Central,,5,7.5,6.6,6.1,5.3,6.9,7.9,11.3,9.2,10.0
4692,r039,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Postgraduation location (%)<sup>m</sup> -> United States<sup>n</sup> -> Mountain,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Postgraduation location (%)<sup>m</sup>,United States<sup>n</sup>,Mountain,,5,6.2,5.1,8.5,4.3,5.8,7.6,7.6,4.8,5.0
4692,r040,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Postgraduation location (%)<sup>m</sup> -> United States<sup>n</sup> -> Pacific and insular,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Postgraduation location (%)<sup>m</sup>,United States<sup>n</sup>,Pacific and insular,,5,19.7,17.9,24.3,31.0,15.9,27.5,10.8,11.9,9.9
4692,r041,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Postgraduation location (%)<sup>m</sup> -> Not in United States,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Postgraduation location (%)<sup>m</sup>,Not in United States,,,4,9.7,8.2,9.9,11.8,10.6,9.4,6.5,10.9,14.0
4692,r042,All doctorate recipients (number)<sup>c</sup> -> Postgraduation status (number)<sup>d</sup> -> Postgraduation location (%)<sup>m</sup> -> Location unknown,All doctorate recipients (number)<sup>c</sup>,Postgraduation status (number)<sup>d</sup>,Postgraduation location (%)<sup>m</sup>,Location unknown,,,4,0.05,0.05,0.0,0.1,0.05,0.1,0.0,0.0,0.05
4692,r043,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number),All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),,,,,2,29886,5553,4177,3297,3588,7882,1456,2516,1417
4692,r044,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup>,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,,,,3,,,,,,,,,
4692,r045,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite postgraduation study,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite postgraduation study,,,4,7447,2053,1648,692,841,1756,81,288,88
4692,r046,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite employment,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite employment,,,4,11839,1440,1102,1627,1602,3272,892,1034,870
4692,r047,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Seeking employment or study,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Seeking employment or study,,,4,7300,1376,1055,653,727,2130,296,823,240
4692,r048,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Other<sup>e</sup>,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Other<sup>e</sup>,,,4,749,305,67,54,65,120,37,79,22
4692,r049,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite postgraduation study (%)<sup>f</sup>,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite postgraduation study (%)<sup>f</sup>,,,4,,,,,,,,,
4692,r050,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite postgraduation study (%)<sup>f</sup> -> Postdoc fellowship or research associateship,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite postgraduation study (%)<sup>f</sup>,Postdoc fellowship or research associateship,,5,94.5,91.4,97.9,95.5,92.0,95.9,93.8,93.8,96.6
4692,r051,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite postgraduation study (%)<sup>f</sup> -> Other or unknown<sup>g</sup>,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite postgraduation study (%)<sup>f</sup>,Other or unknown<sup>g</sup>,,5,5.5,8.6,2.1,4.5,8.0,4.1,6.2,6.3,3.4
4692,r052,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup>,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,,,4,,,,,,,,,
4692,r053,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Academe,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Academe,,5,36.1,36.9,16.0,27.4,52.6,13.5,58.5,65.6,73.3
4692,r054,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Government,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Government,,5,8.3,10.7,8.6,3.9,14.6,9.2,4.9,3.1,6.4
4692,r055,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Industry or business<sup>i</sup>,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Industry or business<sup>i</sup>,,5,46.1,43.4,71.2,64.5,20.6,72.9,7.0,9.1,14.3
4692,r056,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Nonprofit organization,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Nonprofit organization,,5,5.2,6.3,2.7,1.8,8.4,3.0,6.7,13.4,3.6
4692,r057,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Other or unknown<sup>j</sup>,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Other or unknown<sup>j</sup>,,5,4.4,2.7,1.5,2.4,3.8,1.4,22.9,8.8,2.4
4692,r058,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Primary activity<sup>k</sup>,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Primary activity<sup>k</sup>,,5,,,,,,,,,
4692,r059,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Primary activity<sup>k</sup> -> R&D,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Primary activity<sup>k</sup>,R&D,6,55.1,52.1,74.8,72.0,43.7,75.8,14.1,9.0,42.4
4692,r060,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Primary activity<sup>k</sup> -> Teaching,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Primary activity<sup>k</sup>,Teaching,6,24.4,23.3,10.2,18.5,33.0,7.9,36.4,66.5,39.3
4692,r061,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Primary activity<sup>k</sup> -> Management or administration,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Primary activity<sup>k</sup>,Management or administration,6,7.9,8.0,3.1,1.9,7.2,3.6,38.6,9.8,9.6
4692,r062,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Primary activity<sup>k</sup> -> Professional services,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Primary activity<sup>k</sup>,Professional services,6,12.1,15.9,11.2,7.1,15.5,12.3,10.6,14.2,8.0
4692,r063,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Primary activity<sup>k</sup> -> Other,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Primary activity<sup>k</sup>,Other,6,0.6,0.7,0.8,0.5,0.6,0.5,0.2,0.5,0.7
4692,r064,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Secondary activity<sup>l</sup>,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Secondary activity<sup>l</sup>,,5,,,,,,,,,
4692,r065,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Secondary activity<sup>l</sup> -> R&D,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Secondary activity<sup>l</sup>,R&D,6,20.7,24.6,11.7,15.8,28.7,12.0,23.8,33.2,35.3
4692,r066,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Secondary activity<sup>l</sup> -> Teaching,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Secondary activity<sup>l</sup>,Teaching,6,13.2,11.4,3.1,10.4,20.5,5.9,22.3,14.7,37.2
4692,r067,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Secondary activity<sup>l</sup> -> Management or administration,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Secondary activity<sup>l</sup>,Management or administration,6,10.7,14.4,13.8,6.0,9.7,12.4,10.8,10.0,5.2
4692,r068,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Secondary activity<sup>l</sup> -> Professional services,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Secondary activity<sup>l</sup>,Professional services,6,6.5,7.2,5.2,5.6,8.6,6.5,7.8,6.1,3.8
4692,r069,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Secondary activity<sup>l</sup> -> Other,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Secondary activity<sup>l</sup>,Other,6,0.5,0.7,0.4,0.5,0.5,0.4,0.6,0.5,0.2
4692,r070,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Definite employment (%)<sup>h</sup> -> Secondary activity<sup>l</sup> -> No secondary activity,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Definite employment (%)<sup>h</sup>,Secondary activity<sup>l</sup>,No secondary activity,6,48.5,41.7,65.9,61.8,32.1,62.8,34.8,35.5,18.2
