table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_hierarchy_depth,field_all_social_sciences_fields,field_anthropology,field_area_ethnic_cultural_gender_and_group_studies,field_economics,field_political_science_and_government,field_public_policy_analysis,field_sociology_demography_and_population_studies,field_social_sciences_other
7637,r026,All doctorate recipients (number)<sup>a</sup> -> Received tuition remission (%),All doctorate recipients (number)<sup>a</sup>,Received tuition remission (%),,,2,87.3,92.2,87.3,92.5,93.2,70.0,90.6,80.9
7637,r027,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),,,2,2358,117,135,870,339,169,219,509
7637,r028,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Citizenship status (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Citizenship status (%),,3,,,,,,,,
7637,r029,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Citizenship status (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Citizenship status (%),U.S. citizen or permanent resident,4,57.9,66.7,68.1,35.3,71.1,76.3,77.6,68.6
7637,r030,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Citizenship status (%) -> Temporary visa holder,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Citizenship status (%),Temporary visa holder,4,37.0,29.1,21.5,59.4,23.3,19.5,20.1,26.9
7637,r031,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Citizenship status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Citizenship status (%),Unknown,4,5.0,4.3,10.4,5.3,5.6,4.1,2.3,4.5
7637,r032,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),,3,,,,,,,,
7637,r033,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),Never married,4,30.7,35.9,23.7,35.3,31.9,21.3,30.1,26.1
7637,r034,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Married,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),Married,4,44.8,41.0,42.2,42.4,41.6,56.2,45.2,48.5
7637,r035,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),Marriage-like relationship,4,10.9,11.1,11.9,10.6,10.6,7.7,14.2,11.0
7637,r036,"All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),"Separated, divorced, widowed",4,3.5,6.0,6.7,1.4,2.7,6.5,3.2,5.5
7637,r037,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),Unknown,4,10.1,6.0,15.6,10.3,13.3,8.3,7.3,8.8
7637,r038,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Has dependent age 18 or younger (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Has dependent age 18 or younger (%),,3,25.5,24.5,32.7,21.1,23.9,40.6,21.6,29.2
7637,r039,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Has one or more functional limitations (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Has one or more functional limitations (%),,3,11.7,13.0,14.2,9.7,11.7,14.2,10.9,13.9
7637,r040,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Age at doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Age at doctorate (median years),,3,33.1,35.5,35.6,31.6,32.3,37.8,34.2,34.4
7637,r041,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Bachelor's in same field as doctorate (%)<sup>b</sup>,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Bachelor's in same field as doctorate (%)<sup>b</sup>,,3,58.4,55.7,27.9,64.3,70.8,45.7,66.3,49.7
7637,r042,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Master's earned (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Master's earned (%),,3,89.0,87.8,87.1,86.2,87.3,86.4,94.7,94.0
7637,r043,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Master's earned (%) -> Master's earned at same doctorate institution (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Master's earned (%),Master's earned at same doctorate institution (%),4,45.6,59.4,36.8,44.0,55.1,26.4,56.6,42.6
7637,r044,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Time to doctorate (median years),,3,,,,,,,,
7637,r045,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> Years since earning bachelor's degree,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Time to doctorate (median years),Years since earning bachelor's degree,4,9.8,11.0,11.3,8.8,9.4,13.3,10.5,10.7
7637,r046,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Time to doctorate (median years),From graduate school start,4,8.3,8.8,9.1,7.7,8.0,10.4,8.8,8.8
7637,r047,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> From doctoral program start<sup>c</sup>,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Time to doctorate (median years),From doctoral program start<sup>c</sup>,4,5.8,7.3,6.6,5.8,6.0,5.8,6.8,5.9
7637,r048,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Received tuition remission (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Received tuition remission (%),,3,87.5,92.0,88.7,92.6,91.9,66.5,91.1,80.1
7637,r049,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),,,2,2388,271,247,446,242,230,359,593
7637,r050,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Citizenship status (%),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Citizenship status (%),,3,,,,,,,,
7637,r051,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Citizenship status (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Citizenship status (%),U.S. citizen or permanent resident,4,68.1,79.7,76.9,35.9,67.8,81.3,83.3,69.1
7637,r052,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Citizenship status (%) -> Temporary visa holder,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Citizenship status (%),Temporary visa holder,4,26.7,15.1,16.2,57.4,24.8,16.1,13.1,26.3
7637,r053,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Citizenship status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Citizenship status (%),Unknown,4,5.2,5.2,6.9,6.7,7.4,2.6,3.6,4.6
7637,r054,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Marital status (%),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Marital status (%),,3,,,,,,,,
7637,r055,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Marital status (%),Never married,4,30.6,25.1,32.0,36.1,28.5,26.5,27.9,32.4
7637,r056,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Married,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Marital status (%),Married,4,42.1,42.1,37.2,37.2,39.7,46.1,45.7,45.0
7637,r057,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Marital status (%),Marriage-like relationship,4,11.8,16.2,10.5,11.2,15.7,10.9,10.6,10.1
7637,r058,"All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Marital status (%),"Separated, divorced, widowed",4,5.5,7.4,7.7,2.5,2.5,7.4,7.5,5.4
7637,r059,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Marital status (%),Unknown,4,10.1,9.2,12.6,13.0,13.6,9.1,8.4,7.1
7637,r060,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Has dependent age 18 or younger (%),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Has dependent age 18 or younger (%),,3,22.8,19.2,23.1,16.5,16.9,34.6,26.1,24.4
7637,r061,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Has one or more functional limitations (%),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Has one or more functional limitations (%),,3,14.6,16.8,18.3,7.8,16.3,11.1,17.9,15.7
7637,r062,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Age at doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Age at doctorate (median years),,3,33.1,34.1,34.7,30.7,31.8,35.4,33.7,33.5
7637,r063,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Bachelor's in same field as doctorate (%)<sup>b</sup>,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Bachelor's in same field as doctorate (%)<sup>b</sup>,,3,54.0,63.7,27.5,68.0,73.8,34.9,62.9,44.5
7637,r064,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Master's earned (%),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Master's earned (%),,3,91.1,89.2,93.9,85.1,88.7,93.6,95.0,92.6
7637,r065,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Master's earned (%) -> Master's earned at same doctorate institution (%),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Master's earned (%),Master's earned at same doctorate institution (%),4,48.6,57.0,47.9,48.1,57.8,30.8,59.7,42.2
7637,r066,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Time to doctorate (median years),,3,,,,,,,,
7637,r067,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years) -> Years since earning bachelor's degree,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Time to doctorate (median years),Years since earning bachelor's degree,4,10.3,11.5,11.7,8.5,9.1,12.9,10.4,10.6
7637,r068,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Time to doctorate (median years),From graduate school start,4,8.7,9.8,9.8,7.3,7.8,10.8,8.7,8.9
7637,r069,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years) -> From doctoral program start<sup>c</sup>,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Time to doctorate (median years),From doctoral program start<sup>c</sup>,4,6.0,7.3,6.8,5.8,6.0,5.6,6.3,6.0
7637,r070,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Received tuition remission (%),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Received tuition remission (%),,3,87.0,92.3,86.5,92.2,94.9,72.6,90.3,81.6
