table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_hierarchy_depth,field_all_fields,field_life_sciencesa,field_physical_sciences_and_earth_sciences,field_mathematics_and_computer_sciences,field_psychology_and_social_sciences,field_engineering,field_education,field_humanities_and_arts,field_otherb
4691,r013,All doctorate recipients (number)<sup>c</sup> -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>c</sup>,Marital status (%),Marriage-like relationship,,3,7.0,8.2,8.4,5.4,9.6,4.4,5.0,8.1,4.6
4691,r014,"All doctorate recipients (number)<sup>c</sup> -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>c</sup>,Marital status (%),"Separated, divorced, widowed",,3,3.3,3.0,1.8,1.8,4.1,1.4,7.5,4.9,5.7
4691,r015,All doctorate recipients (number)<sup>c</sup> -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>c</sup>,Marital status (%),Unknown,,3,11.5,9.4,9.6,11.0,13.8,10.7,12.0,13.6,16.9
4691,r016,All doctorate recipients (number)<sup>c</sup> -> Bachelor's in same field as doctorate (%)<sup>d</sup>,All doctorate recipients (number)<sup>c</sup>,Bachelor's in same field as doctorate (%)<sup>d</sup>,,,2,56.7,51.9,69.9,61.5,51.9,78.8,24.7,52.2,36.2
4691,r017,All doctorate recipients (number)<sup>c</sup> -> Master's earned (%),All doctorate recipients (number)<sup>c</sup>,Master's earned (%),,,2,70.5,52.6,53.3,72.3,83.0,73.0,89.0,83.5,81.4
4691,r018,All doctorate recipients (number)<sup>c</sup> -> Age at doctorate (median years),All doctorate recipients (number)<sup>c</sup>,Age at doctorate (median years),,,2,31.5,31.1,29.6,30.4,32.3,30.2,38.5,34.2,34.8
4691,r019,All doctorate recipients (number)<sup>c</sup> -> Time to doctorate (median years),All doctorate recipients (number)<sup>c</sup>,Time to doctorate (median years),,,2,,,,,,,,,
4691,r020,All doctorate recipients (number)<sup>c</sup> -> Time to doctorate (median years) -> From bachelor's,All doctorate recipients (number)<sup>c</sup>,Time to doctorate (median years),From bachelor's,,3,8.7,8.3,7.0,7.9,9.3,7.5,15.0,11.1,11.3
4691,r021,All doctorate recipients (number)<sup>c</sup> -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>c</sup>,Time to doctorate (median years),From graduate school start,,3,7.5,6.9,6.3,7.0,7.9,6.8,12.0,9.6,9.3
4691,r022,All doctorate recipients (number)<sup>c</sup> -> Time to doctorate (median years) -> From doctoral program start<sup>e</sup>,All doctorate recipients (number)<sup>c</sup>,Time to doctorate (median years),From doctoral program start<sup>e</sup>,,3,5.8,5.5,5.5,5.6,6.0,5.3,5.8,6.8,5.3
4691,r023,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number),All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),,,2,29886,5553,4177,3297,3588,7882,1456,2516,1417
4691,r024,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Citizenship (%),All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Citizenship (%),,3,,,,,,,,,
4691,r025,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Citizenship (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Citizenship (%),U.S. citizen or permanent resident,4,56.2,65.9,58.2,39.1,68.5,38.4,81.0,79.7,52.1
4691,r026,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Citizenship (%) -> Temporary visa holder,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Citizenship (%),Temporary visa holder,4,39.7,30.6,38.5,56.8,26.4,58.1,15.4,14.2,41.3
4691,r027,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Citizenship (%) -> Unknown,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Citizenship (%),Unknown,4,4.1,3.5,3.4,4.2,5.1,3.4,3.6,6.2,6.6
4691,r028,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Marital status (%),All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Marital status (%),,3,,,,,,,,,
4691,r029,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Marital status (%),Never married,4,39.0,38.5,48.0,44.0,32.2,45.1,18.6,28.0,26.0
4691,r030,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Married,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Marital status (%),Married,4,41.2,42.1,32.9,38.0,43.8,39.0,58.1,46.6,48.3
4691,r031,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Marital status (%),Marriage-like relationship,4,6.1,7.5,7.6,5.0,8.4,4.1,5.0,7.2,3.9
4691,r032,"All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Marital status (%),"Separated, divorced, widowed",4,2.2,2.3,1.5,1.4,3.0,1.2,5.2,4.2,3.6
4691,r033,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Marital status (%),Unknown,4,11.5,9.6,10.1,11.6,12.7,10.6,13.0,13.9,18.2
4691,r034,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Bachelor's in same field as doctorate (%)<sup>d</sup>,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Bachelor's in same field as doctorate (%)<sup>d</sup>,,3,60.6,50.0,70.1,61.1,50.3,80.7,21.8,54.9,36.6
4691,r035,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Master's earned (%),All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Master's earned (%),,3,69.0,50.0,54.5,71.2,82.2,73.4,88.0,82.8,79.5
4691,r036,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Age at doctorate (median years),All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Age at doctorate (median years),,3,31.3,31.2,29.7,30.6,32.8,30.3,38.6,34.4,34.8
4691,r037,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years),All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Time to doctorate (median years),,3,,,,,,,,,
4691,r038,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> From bachelor's,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Time to doctorate (median years),From bachelor's,4,8.3,8.2,7.0,7.9,9.4,7.6,14.6,11.1,11.0
4691,r039,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Time to doctorate (median years),From graduate school start,4,7.3,6.9,6.3,7.0,7.9,6.9,12.0,9.7,9.0
4691,r040,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> From doctoral program start<sup>e</sup>,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Time to doctorate (median years),From doctoral program start<sup>e</sup>,4,5.7,5.5,5.7,5.7,5.8,5.3,5.6,6.8,5.0
4691,r041,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number),All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),,,2,25392,7007,2068,1095,5358,2593,3259,2423,1589
4691,r042,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Citizenship (%),All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Citizenship (%),,3,,,,,,,,,
4691,r043,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Citizenship (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Citizenship (%),U.S. citizen or permanent resident,4,69.7,72.0,63.4,40.9,77.4,43.4,83.4,78.9,62.9
4691,r044,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Citizenship (%) -> Temporary visa holder,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Citizenship (%),Temporary visa holder,4,26.0,24.7,34.0,55.1,16.5,52.9,13.4,15.9,30.9
4691,r045,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Citizenship (%) -> Unknown,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Citizenship (%),Unknown,4,4.2,3.3,2.6,4.0,6.1,3.7,3.2,5.2,6.2
4691,r046,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Marital status (%),All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Marital status (%),,3,,,,,,,,,
4691,r047,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Marital status (%),Never married,4,34.4,37.2,46.2,43.7,31.7,46.0,19.8,30.4,26.0
4691,r048,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Married,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Marital status (%),Married,4,41.3,41.0,32.8,37.7,38.6,36.0,55.2,41.6,45.6
4691,r049,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Marital status (%),Marriage-like relationship,4,8.1,8.8,10.1,6.5,10.3,5.2,5.0,9.0,5.2
4691,r050,"All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Marital status (%),"Separated, divorced, widowed",4,4.6,3.6,2.3,2.9,4.9,1.9,8.5,5.6,7.6
4691,r051,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Marital status (%),Unknown,4,11.6,9.3,8.7,9.1,14.5,10.9,11.5,13.4,15.7
4691,r052,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Bachelor's in same field as doctorate (%)<sup>d</sup>,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Bachelor's in same field as doctorate (%)<sup>d</sup>,,3,52.1,53.5,69.5,62.7,52.9,73.1,26.0,49.4,35.9
4691,r053,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Master's earned (%),All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Master's earned (%),,3,72.1,54.6,51.0,75.8,83.5,71.7,89.4,84.2,83.1
4691,r054,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Age at doctorate (median years),All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Age at doctorate (median years),,3,31.8,30.9,29.3,30.1,32.1,29.8,38.4,33.8,34.9
4691,r055,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years),All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Time to doctorate (median years),,3,,,,,,,,,
4691,r056,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years) -> From bachelor's,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Time to doctorate (median years),From bachelor's,4,9.2,8.3,6.7,7.8,9.3,7.3,15.0,11.0,11.5
4691,r057,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Time to doctorate (median years),From graduate school start,4,7.8,7.0,6.0,6.9,7.9,6.6,12.0,9.6,9.8
4691,r058,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years) -> From doctoral program start<sup>e</sup>,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Time to doctorate (median years),From doctoral program start<sup>e</sup>,4,5.8,5.4,5.3,5.3,6.0,5.2,5.8,6.8,5.3
