table_id,row_id,_b_field_and_demographic_characteristic_b_full_path,_b_field_and_demographic_characteristic_b_level_1,_b_field_and_demographic_characteristic_b_level_2,_b_field_and_demographic_characteristic_b_level_3,_b_field_and_demographic_characteristic_b_level_4,_b_field_and_demographic_characteristic_b_level_5,_b_field_and_demographic_characteristic_b_hierarchy_depth,field_median_age_at_doctorate_years_,field_all_ages,field_25_and_under,field_26_30,field_31_35,field_36_40,field_41_45,field_over_45
9585,r013,Doctorate recipients reporting birth year -> Science and engineering  -> Social sciences  ,Doctorate recipients reporting birth year,Science and engineering ,Social sciences  ,,,3,33.2,100.0,0.2,28.7,39.8,17.3,6.5,7.5
9585,r014,Doctorate recipients reporting birth year -> Non-science and engineering,Doctorate recipients reporting birth year,Non-science and engineering,,,,2,35.7,100.0,0.2,18.5,32.7,20.5,11.3,16.9
9585,r015,Doctorate recipients reporting birth year -> Non-science and engineering -> Business,Doctorate recipients reporting birth year,Non-science and engineering,Business,,,3,33.6,100.0,,26.4,35.8,15.4,,13.8
9585,r016,Doctorate recipients reporting birth year -> Non-science and engineering -> Education  ,Doctorate recipients reporting birth year,Non-science and engineering,Education  ,,,3,38.9,100.0,0.1,10.9,25.1,22.7,15.4,25.9
9585,r017,Doctorate recipients reporting birth year -> Non-science and engineering -> Humanities,Doctorate recipients reporting birth year,Non-science and engineering,Humanities,,,3,34.4,100.0,0.2,20.5,39.0,20.3,9.1,10.9
9585,r018,Doctorate recipients reporting birth year -> Non-science and engineering -> Visual and performing arts  ,Doctorate recipients reporting birth year,Non-science and engineering,Visual and performing arts  ,,,3,34.0,100.0,,23.3,39.6,22.4,,6.6
9585,r019,Doctorate recipients reporting birth year -> Non-science and engineering -> Other non-science and engineering,Doctorate recipients reporting birth year,Non-science and engineering,Other non-science and engineering,,,3,35.3,100.0,,22.3,31.7,19.2,,16.1
9585,r020,Doctorate recipients reporting birth year -> Sex,Doctorate recipients reporting birth year,Sex,,,,2,,,,,,,,
9585,r021,Doctorate recipients reporting birth year -> Sex -> Male,Doctorate recipients reporting birth year,Sex,Male,,,3,31.2,100.0,0.7,46.8,32.3,10.9,4.5,4.8
9585,r022,Doctorate recipients reporting birth year -> Sex -> Female,Doctorate recipients reporting birth year,Sex,Female,,,3,31.7,100.0,0.7,43.2,29.9,12.2,5.6,8.4
9585,r023,"Doctorate recipients reporting birth year -> Citizenship status, ethnicity, and race",Doctorate recipients reporting birth year,"Citizenship status, ethnicity, and race",,,,2,,,,,,,,
9585,r024,"Doctorate recipients reporting birth year -> Citizenship status, ethnicity, and race -> U.S. citizen or permanent resident",Doctorate recipients reporting birth year,"Citizenship status, ethnicity, and race",U.S. citizen or permanent resident,,,3,31.6,100.0,0.7,44.0,27.8,12.1,6.3,9.0
9585,r025,"Doctorate recipients reporting birth year -> Citizenship status, ethnicity, and race -> U.S. citizen or permanent resident -> Hispanic or Latino",Doctorate recipients reporting birth year,"Citizenship status, ethnicity, and race",U.S. citizen or permanent resident,Hispanic or Latino,,4,31.8,100.0,0.6,41.9,30.8,12.9,5.6,8.2
9585,r026,"Doctorate recipients reporting birth year -> Citizenship status, ethnicity, and race -> U.S. citizen or permanent resident -> Not Hispanic or Latino",Doctorate recipients reporting birth year,"Citizenship status, ethnicity, and race",U.S. citizen or permanent resident,Not Hispanic or Latino,,4,,,,,,,,
9585,r027,"Doctorate recipients reporting birth year -> Citizenship status, ethnicity, and race -> U.S. citizen or permanent resident -> Not Hispanic or Latino -> American Indian or Alaska Native",Doctorate recipients reporting birth year,"Citizenship status, ethnicity, and race",U.S. citizen or permanent resident,Not Hispanic or Latino,American Indian or Alaska Native,5,36.5,100.0,0.0,25.0,22.9,19.8,8.3,24.0
9585,r028,"Doctorate recipients reporting birth year -> Citizenship status, ethnicity, and race -> U.S. citizen or permanent resident -> Not Hispanic or Latino -> Asian",Doctorate recipients reporting birth year,"Citizenship status, ethnicity, and race",U.S. citizen or permanent resident,Not Hispanic or Latino,Asian,5,31.2,100.0,1.3,46.8,30.6,11.3,4.9,5.1
9585,r029,"Doctorate recipients reporting birth year -> Citizenship status, ethnicity, and race -> U.S. citizen or permanent resident -> Not Hispanic or Latino -> Black or African American",Doctorate recipients reporting birth year,"Citizenship status, ethnicity, and race",U.S. citizen or permanent resident,Not Hispanic or Latino,Black or African American,5,36.0,100.0,0.4,25.7,23.8,15.5,11.9,22.7
9585,r030,"Doctorate recipients reporting birth year -> Citizenship status, ethnicity, and race -> U.S. citizen or permanent resident -> Not Hispanic or Latino -> White",Doctorate recipients reporting birth year,"Citizenship status, ethnicity, and race",U.S. citizen or permanent resident,Not Hispanic or Latino,White,5,31.3,100.0,0.7,45.9,27.4,11.7,5.9,8.3
9585,r031,"Doctorate recipients reporting birth year -> Citizenship status, ethnicity, and race -> U.S. citizen or permanent resident -> Not Hispanic or Latino -> More than one race",Doctorate recipients reporting birth year,"Citizenship status, ethnicity, and race",U.S. citizen or permanent resident,Not Hispanic or Latino,More than one race,5,30.9,100.0,0.7,50.2,26.6,11.2,5.9,5.4
9585,r032,"Doctorate recipients reporting birth year -> Citizenship status, ethnicity, and race -> U.S. citizen or permanent resident -> Not Hispanic or Latino -> Other race or race not reported",Doctorate recipients reporting birth year,"Citizenship status, ethnicity, and race",U.S. citizen or permanent resident,Not Hispanic or Latino,Other race or race not reported,5,33.0,100.0,0.3,36.9,26.8,13.6,8.3,14.2
9585,r033,"Doctorate recipients reporting birth year -> Citizenship status, ethnicity, and race -> U.S. citizen or permanent resident -> Ethnicity not reported",Doctorate recipients reporting birth year,"Citizenship status, ethnicity, and race",U.S. citizen or permanent resident,Ethnicity not reported,,4,32.1,100.0,0.9,40.6,29.8,13.8,7.4,7.4
9585,r034,"Doctorate recipients reporting birth year -> Citizenship status, ethnicity, and race -> Temporary visa holder",Doctorate recipients reporting birth year,"Citizenship status, ethnicity, and race",Temporary visa holder,,,3,31.2,100.0,0.7,47.2,37.2,10.3,2.8,1.9
