table_id,row_id,_b_citizenship_ethnicity_and_race_b_full_path,_b_citizenship_ethnicity_and_race_b_level_1,_b_citizenship_ethnicity_and_race_b_level_2,_b_citizenship_ethnicity_and_race_b_level_3,_b_citizenship_ethnicity_and_race_b_level_4,_b_citizenship_ethnicity_and_race_b_level_5,_b_citizenship_ethnicity_and_race_b_hierarchy_depth,field_total,field_male,field_female
8272,r016,Number imputed<sup>b</sup> -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup>,Number imputed<sup>b</sup>,All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,,,3,,,
8272,r017,Number imputed<sup>b</sup> -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,Number imputed<sup>b</sup>,All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,4,169,77,98
8272,r018,Number imputed<sup>b</sup> -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,Number imputed<sup>b</sup>,All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,4,,,
8272,r019,Number imputed<sup>b</sup> -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,Number imputed<sup>b</sup>,All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,5,11,2,9
8272,r020,Number imputed<sup>b</sup> -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,Number imputed<sup>b</sup>,All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,5,528,366,238
8272,r021,Number imputed<sup>b</sup> -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,Number imputed<sup>b</sup>,All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,5,75,29,51
8272,r022,Number imputed<sup>b</sup> -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,Number imputed<sup>b</sup>,All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,5,5,1,4
8272,r023,Number imputed<sup>b</sup> -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,Number imputed<sup>b</sup>,All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,5,1116,575,610
8272,r024,Number imputed<sup>b</sup> -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,Number imputed<sup>b</sup>,All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,5,44,40,17
8272,r025,Number imputed<sup>b</sup> -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race,Number imputed<sup>b</sup>,All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,4,600,316,295
8272,r026,Number imputed<sup>b</sup> -> All postdoctoral appointees -> Temporary visa holders,Number imputed<sup>b</sup>,All postdoctoral appointees,Temporary visa holders,,,3,2057,1320,858
