table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_all_r_d_expenditures,field_medical_school_r_d_expenditures
10164,r028,Colorado -> Public -> U. Colorado Anschutz Medical Campus<sup>b</sup>,Colorado,Public,U. Colorado Anschutz Medical Campus<sup>b</sup>,3,"['611,358', '']","['463,291', '']"
10164,r029,Connecticut,Connecticut,,,1,"['', '']","['', '']"
10164,r030,Connecticut -> Public,Connecticut,Public,,2,"['', '']","['', '']"
10164,r031,Connecticut -> Public -> U. Connecticut,Connecticut,Public,U. Connecticut,3,"['367,557', '']","['125,224', '']"
10164,r032,Connecticut -> Private,Connecticut,Private,,2,"['', '']","['', '']"
10164,r033,Connecticut -> Private -> Yale U.,Connecticut,Private,Yale U.,3,"['1,191,201', '']","['999,203', '']"
10164,r034,District of Columbia,District of Columbia,,,1,"['', '']","['', '']"
10164,r035,District of Columbia -> Private,District of Columbia,Private,,2,"['', '']","['', '']"
10164,r036,District of Columbia -> Private -> George Washington U.,District of Columbia,Private,George Washington U.,3,"['275,483', '']","['71,355', '']"
10164,r037,District of Columbia -> Private -> Georgetown U.,District of Columbia,Private,Georgetown U.,3,"['313,220', '']","['182,957', '']"
10164,r038,District of Columbia -> Private -> Howard U.,District of Columbia,Private,Howard U.,3,"['67,594', '']","['21,099', '']"
10164,r039,Florida,Florida,,,1,"['', '']","['', '']"
10164,r040,Florida -> Public,Florida,Public,,2,"['', '']","['', '']"
10164,r041,Florida -> Public -> Florida Atlantic U.,Florida,Public,Florida Atlantic U.,3,"['61,748', '']","['7,735', '']"
10164,r042,Florida -> Public -> Florida International U.,Florida,Public,Florida International U.,3,"['281,665', '']","['12,931', '']"
10164,r043,Florida -> Public -> Florida State U.,Florida,Public,Florida State U.,3,"['355,986', '']","['31,771', '']"
10164,r044,Florida -> Public -> U. Central Florida,Florida,Public,U. Central Florida,3,"['221,488', '']","['8,994', '']"
10164,r045,Florida -> Public -> U. Florida,Florida,Public,U. Florida,3,"['1,085,834', '']","['497,771', '']"
10164,r046,Florida -> Public -> U. South Florida<sup>c</sup>,Florida,Public,U. South Florida<sup>c</sup>,3,"['405,166', '']","['151,883', '']"
10164,r047,Florida -> Private,Florida,Private,,2,"['', '']","['', '']"
10164,r048,Florida -> Private -> Nova Southeastern U.,Florida,Private,Nova Southeastern U.,3,"['31,189', '']","['14,203', '']"
10164,r049,Florida -> Private -> U. Miami,Florida,Private,U. Miami,3,"['439,300', '']","['333,780', '']"
10164,r050,Georgia,Georgia,,,1,"['', '']","['', '']"
10164,r051,Georgia -> Public,Georgia,Public,,2,"['', '']","['', '']"
10164,r052,Georgia -> Public -> Augusta U.,Georgia,Public,Augusta U.,3,"['127,313', '']","['115,734', '']"
10164,r053,Georgia -> Private,Georgia,Private,,2,"['', '']","['', '']"
10164,r054,Georgia -> Private -> Emory U.,Georgia,Private,Emory U.,3,"['958,281', '']","['607,698', '']"
10164,r055,Georgia -> Private -> Mercer U.,Georgia,Private,Mercer U.,3,"['50,222', '']","['5,493', '']"
10164,r056,Georgia -> Private -> Morehouse School of Medicine,Georgia,Private,Morehouse School of Medicine,3,"['42,489', '']","['41,340', '']"
10164,r057,Hawaii,Hawaii,,,1,"['', '']","['', '']"
10164,r058,Hawaii -> Public,Hawaii,Public,,2,"['', '']","['', '']"
10164,r059,"Hawaii -> Public -> U. Hawaii, Manoa",Hawaii,Public,"U. Hawaii, Manoa",3,"['277,323', '']","['27,546', '']"
10164,r060,Illinois,Illinois,,,1,"['', '']","['', '']"
10164,r061,Illinois -> Public,Illinois,Public,,2,"['', '']","['', '']"
10164,r062,"Illinois -> Public -> Southern Illinois U., Carbondale",Illinois,Public,"Southern Illinois U., Carbondale",3,"['46,967', '']","['17,277', '']"
10164,r063,"Illinois -> Public -> U. Illinois, Chicago",Illinois,Public,"U. Illinois, Chicago",3,"['440,573', '']","['203,981', '']"
10164,r064,"Illinois -> Public -> U. Illinois, Urbana-Champaign",Illinois,Public,"U. Illinois, Urbana-Champaign",3,"['765,909', '']","['394', '']"
10164,r065,Illinois -> Private,Illinois,Private,,2,"['', '']","['', '']"
10164,r066,"Illinois -> Private -> Loyola U., Chicago",Illinois,Private,"Loyola U., Chicago",3,"['46,169', '']","['35,700', '']"
10164,r067,Illinois -> Private -> Midwestern U.,Illinois,Private,Midwestern U.,3,"['11,069', '']","['5,974', '']"
10164,r068,Illinois -> Private -> Northwestern U.,Illinois,Private,Northwestern U.,3,"['1,000,695', '']","['736,108', '']"
10164,r069,Illinois -> Private -> Rosalind Franklin U. of Medicine and Science,Illinois,Private,Rosalind Franklin U. of Medicine and Science,3,"['12,988', '']","['11,399', '']"
10164,r070,Illinois -> Private -> Rush U.,Illinois,Private,Rush U.,3,"['114,874', '']","['111,039', '']"
10164,r071,Illinois -> Private -> U. Chicago,Illinois,Private,U. Chicago,3,"['591,805', '']","['385,010', '']"
10164,r072,Indiana,Indiana,,,1,"['', '']","['', '']"
10164,r073,Indiana -> Public,Indiana,Public,,2,"['', '']","['', '']"
10164,r074,"Indiana -> Public -> Indiana U., Bloomington",Indiana,Public,"Indiana U., Bloomington",3,"['751,309', '']","['487,460', '']"
10164,r075,Iowa,Iowa,,,1,"['', '']","['', '']"
10164,r076,Iowa -> Public,Iowa,Public,,2,"['', '']","['', '']"
10164,r077,Iowa -> Public -> U. Iowa,Iowa,Public,U. Iowa,3,"['594,215', '']","['335,057', '']"
10164,r078,Iowa -> Private,Iowa,Private,,2,"['', '']","['', '']"
10164,r079,Iowa -> Private -> Des Moines U.,Iowa,Private,Des Moines U.,3,"['5,307', '']","['1,535', '']"
10164,r080,Kansas,Kansas,,,1,"['', '']","['', '']"
10164,r081,Kansas -> Public,Kansas,Public,,2,"['', '']","['', '']"
10164,r082,Kansas -> Public -> U. Kansas,Kansas,Public,U. Kansas,3,"['405,267', '']","['159,020', '']"
10164,r083,Kentucky,Kentucky,,,1,"['', '']","['', '']"
10164,r084,Kentucky -> Public,Kentucky,Public,,2,"['', '']","['', '']"
10164,r085,Kentucky -> Public -> U. Kentucky,Kentucky,Public,U. Kentucky,3,"['476,517', '']","['189,532', '']"
10164,r086,Kentucky -> Public -> U. Louisville,Kentucky,Public,U. Louisville,3,"['229,582', '']","['154,607', '']"
10164,r087,Louisiana,Louisiana,,,1,"['', '']","['', '']"
10164,r088,Louisiana -> Public,Louisiana,Public,,2,"['', '']","['', '']"
10164,r089,"Louisiana -> Public -> Louisiana State U., Health Sciences Center, New Orleans",Louisiana,Public,"Louisiana State U., Health Sciences Center, New Orleans",3,"['53,995', '']","['47,044', '']"
10164,r090,"Louisiana -> Public -> Louisiana State U., Health Sciences Center, Shreveport",Louisiana,Public,"Louisiana State U., Health Sciences Center, Shreveport",3,"['29,502', '']","['29,502', '']"
10164,r091,Louisiana -> Private,Louisiana,Private,,2,"['', '']","['', '']"
10164,r092,Louisiana -> Private -> Tulane U.,Louisiana,Private,Tulane U.,3,"['222,605', '']","['90,865', '']"
10164,r093,Maine,Maine,,,1,"['', '']","['', '']"
10164,r094,Maine -> Private,Maine,Private,,2,"['', '']","['', '']"
10164,r095,Maine -> Private -> U. New England,Maine,Private,U. New England,3,"['6,664', '']","['980', '']"
10164,r096,Maryland,Maryland,,,1,"['', '']","['', '']"
10164,r097,Maryland -> Public,Maryland,Public,,2,"['', '']","['', '']"
10164,r098,Maryland -> Public -> U. Maryland<sup>d</sup>,Maryland,Public,U. Maryland<sup>d</sup>,3,"['1,228,550', '']","['494,675', '']"
10164,r099,Maryland -> Public -> Uniformed Services U. of the Health Sciences,Maryland,Public,Uniformed Services U. of the Health Sciences,3,"['277,240', '']","['189,945', '']"
10164,r100,Maryland -> Private,Maryland,Private,,2,"['', '']","['', '']"
10164,r101,Maryland -> Private -> Johns Hopkins U.<sup>e</sup>,Maryland,Private,Johns Hopkins U.<sup>e</sup>,3,"['3,420,312', '']","['843,859', '']"
10164,r102,Massachusetts,Massachusetts,,,1,"['', '']","['', '']"
10164,r103,Massachusetts -> Public,Massachusetts,Public,,2,"['', '']","['', '']"
10164,r104,"Massachusetts -> Public -> U. Massachusetts, Medical School",Massachusetts,Public,"U. Massachusetts, Medical School",3,"['358,204', '']","['358,204', '']"
10164,r105,Massachusetts -> Private,Massachusetts,Private,,2,"['', '']","['', '']"
10164,r106,Massachusetts -> Private -> Boston U.,Massachusetts,Private,Boston U.,3,"['725,402', '']","['210,332', '']"
10164,r107,Massachusetts -> Private -> Harvard U.,Massachusetts,Private,Harvard U.,3,"['1,308,458', '']","['418,526', '']"
10164,r108,Massachusetts -> Private -> Tufts U.,Massachusetts,Private,Tufts U.,3,"['231,224', '']","['51,061', '']"
10164,r109,Michigan,Michigan,,,1,"['', '']","['', '']"
10164,r110,Michigan -> Public,Michigan,Public,,2,"['', '']","['', '']"
10164,r111,Michigan -> Public -> Central Michigan U.,Michigan,Public,Central Michigan U.,3,"['25,105', '']","['13,051', '']"
10164,r112,Michigan -> Public -> Michigan State U.,Michigan,Public,Michigan State U.,3,"['759,229', '']","['98,519', '']"
10164,r113,Michigan -> Public -> Oakland U.,Michigan,Public,Oakland U.,3,"['38,061', '']","['1,155', '']"
10164,r114,"Michigan -> Public -> U. Michigan, Ann Arbor",Michigan,Public,"U. Michigan, Ann Arbor",3,"['1,770,708', '']","['735,436', '']"
10164,r115,Michigan -> Public -> Wayne State U.,Michigan,Public,Wayne State U.,3,"['242,247', '']","['166,504', '']"
10164,r116,Michigan -> Public -> Western Michigan U. and Homer Stryker M.D. School of Medicine,Michigan,Public,Western Michigan U. and Homer Stryker M.D. School of Medicine,3,"['27,768', '']","['4,702', '']"
10164,r117,Minnesota,Minnesota,,,1,"['', '']","['', '']"
10164,r118,Minnesota -> Public,Minnesota,Public,,2,"['', '']","['', '']"
10164,r119,"Minnesota -> Public -> U. Minnesota, Twin Cities",Minnesota,Public,"U. Minnesota, Twin Cities",3,"['1,202,084', '']","['380,473', '']"
10164,r120,Mississippi,Mississippi,,,1,"['', '']","['', '']"
10164,r121,Mississippi -> Public,Mississippi,Public,,2,"['', '']","['', '']"
10164,r122,Mississippi -> Public -> U. Mississippi,Mississippi,Public,U. Mississippi,3,"['152,903', '']","['62,846', '']"
10164,r123,Missouri,Missouri,,,1,"['', '']","['', '']"
10164,r124,Missouri -> Public,Missouri,Public,,2,"['', '']","['', '']"
10164,r125,"Missouri -> Public -> U. Missouri, Columbia",Missouri,Public,"U. Missouri, Columbia",3,"['432,310', '']","['81,583', '']"
10164,r126,"Missouri -> Public -> U. Missouri, Kansas City",Missouri,Public,"U. Missouri, Kansas City",3,"['52,657', '']","['14,881', '']"
10164,r127,Missouri -> Private,Missouri,Private,,2,"['', '']","['', '']"
10164,r128,Missouri -> Private -> Saint Louis U.,Missouri,Private,Saint Louis U.,3,"['82,740', '']","['33,326', '']"
10164,r129,"Missouri -> Private -> Washington U., Saint Louis",Missouri,Private,"Washington U., Saint Louis",3,"['1,047,098', '']","['926,944', '']"
10164,r130,Nebraska,Nebraska,,,1,"['', '']","['', '']"
10164,r131,Nebraska -> Public,Nebraska,Public,,2,"['', '']","['', '']"
10164,r132,"Nebraska -> Public -> U. Nebraska, Medical Center",Nebraska,Public,"U. Nebraska, Medical Center",3,"['205,253', '']","['121,080', '']"
10164,r133,Nebraska -> Private,Nebraska,Private,,2,"['', '']","['', '']"
10164,r134,Nebraska -> Private -> Creighton U.,Nebraska,Private,Creighton U.,3,"['27,609', '']","['16,093', 'i']"
10164,r135,Nevada,Nevada,,,1,"['', '']","['', '']"
10164,r136,Nevada -> Public,Nevada,Public,,2,"['', '']","['', '']"
10164,r137,"Nevada -> Public -> U. Nevada, Las Vegas",Nevada,Public,"U. Nevada, Las Vegas",3,"['94,967', '']","['5,956', '']"
10164,r138,"Nevada -> Public -> U. Nevada, Reno",Nevada,Public,"U. Nevada, Reno",3,"['181,782', '']","['36,355', '']"
10164,r139,New Hampshire,New Hampshire,,,1,"['', '']","['', '']"
10164,r140,New Hampshire -> Private,New Hampshire,Private,,2,"['', '']","['', '']"
10164,r141,New Hampshire -> Private -> Dartmouth C. and Dartmouth Hitchcock Medical Center,New Hampshire,Private,Dartmouth C. and Dartmouth Hitchcock Medical Center,3,"['344,126', '']","['152,491', '']"
10164,r142,New Jersey,New Jersey,,,1,"['', '']","['', '']"
10164,r143,New Jersey -> Public,New Jersey,Public,,2,"['', '']","['', '']"
10164,r144,New Jersey -> Public -> Rowan U.,New Jersey,Public,Rowan U.,3,"['29,949', '']","['10,956', '']"
10164,r145,"New Jersey -> Public -> Rutgers, State U. New Jersey, New Brunswick",New Jersey,Public,"Rutgers, State U. New Jersey, New Brunswick",3,"['712,231', '']","['343,513', '']"
10164,r146,New Mexico,New Mexico,,,1,"['', '']","['', '']"
10164,r147,New Mexico -> Public,New Mexico,Public,,2,"['', '']","['', '']"
10164,r148,New Mexico -> Public -> U. New Mexico,New Mexico,Public,U. New Mexico,3,"['331,164', '']","['95,487', '']"
10164,r149,New York,New York,,,1,"['', '']","['', '']"
10164,r150,New York -> Public,New York,Public,,2,"['', '']","['', '']"
10164,r151,"New York -> Public -> CUNY, City C.",New York,Public,"CUNY, City C.",3,"['65,569', '']","['4,479', '']"
10164,r152,"New York -> Public -> SUNY, Downstate Health Sciences U.",New York,Public,"SUNY, Downstate Health Sciences U.",3,"['30,918', '']","['29,894', '']"
10164,r153,"New York -> Public -> SUNY, Stony Brook U.",New York,Public,"SUNY, Stony Brook U.",3,"['312,698', '']","['139,055', '']"
10164,r154,"New York -> Public -> SUNY, U. Buffalo",New York,Public,"SUNY, U. Buffalo",3,"['439,709', '']","['203,698', '']"
10164,r155,"New York -> Public -> SUNY, Upstate Medical U.",New York,Public,"SUNY, Upstate Medical U.",3,"['50,586', '']","['39,926', '']"
10164,r156,New York -> Private,New York,Private,,2,"['', '']","['', '']"
10164,r157,New York -> Private -> Albany Medical C.,New York,Private,Albany Medical C.,3,"['22,297', '']","['22,297', '']"
10164,r158,New York -> Private -> Albert Einstein C. of Medicine,New York,Private,Albert Einstein C. of Medicine,3,"['318,314', '']","['318,314', '']"
10164,r159,New York -> Private -> Columbia U. in the City of New York,New York,Private,Columbia U. in the City of New York,3,"['1,230,924', '']","['594,596', '']"
10164,r160,New York -> Private -> Cornell U.,New York,Private,Cornell U.,3,"['1,300,357', '']","['580,412', '']"
10164,r161,New York -> Private -> Hofstra U.,New York,Private,Hofstra U.,3,"['6,939', '']","['430', '']"
10164,r162,New York -> Private -> Icahn School of Medicine at Mount Sinai,New York,Private,Icahn School of Medicine at Mount Sinai,3,"['893,968', '']","['893,968', '']"
10164,r163,New York -> Private -> New York Institute of Technology,New York,Private,New York Institute of Technology,3,"['5,555', '']","['3,301', '']"
10164,r164,New York -> Private -> New York Medical C.,New York,Private,New York Medical C.,3,"['16,461', '']","['15,044', '']"
10164,r165,New York -> Private -> New York U.,New York,Private,New York U.,3,"['1,276,038', '']","['831,028', '']"
10164,r166,New York -> Private -> U. Rochester,New York,Private,U. Rochester,3,"['450,805', '']","['273,975', '']"
10164,r167,North Carolina,North Carolina,,,1,"['', '']","['', '']"
10164,r168,North Carolina -> Public,North Carolina,Public,,2,"['', '']","['', '']"
10164,r169,North Carolina -> Public -> East Carolina U.,North Carolina,Public,East Carolina U.,3,"['55,693', '']","['22,288', '']"
10164,r170,"North Carolina -> Public -> U. North Carolina, Chapel Hill",North Carolina,Public,"U. North Carolina, Chapel Hill",3,"['1,361,028', '']","['763,589', '']"
10164,r171,North Carolina -> Private,North Carolina,Private,,2,"['', '']","['', '']"
10164,r172,North Carolina -> Private -> Duke U.,North Carolina,Private,Duke U.,3,"['1,390,538', '']","['1,132,846', '']"
10164,r173,North Carolina -> Private -> Wake Forest U.,North Carolina,Private,Wake Forest U.,3,"['269,109', '']","['249,336', '']"
10164,r174,North Dakota,North Dakota,,,1,"['', '']","['', '']"
10164,r175,North Dakota -> Public,North Dakota,Public,,2,"['', '']","['', '']"
10164,r176,North Dakota -> Public -> U. North Dakota,North Dakota,Public,U. North Dakota,3,"['147,717', '']","['30,596', '']"
10164,r177,Ohio,Ohio,,,1,"['', '']","['', '']"
10164,r178,Ohio -> Public,Ohio,Public,,2,"['', '']","['', '']"
10164,r179,Ohio -> Public -> Northeast Ohio Medical U.,Ohio,Public,Northeast Ohio Medical U.,3,"['13,465', '']","['11,977', '']"
10164,r180,Ohio -> Public -> Ohio State U.,Ohio,Public,Ohio State U.,3,"['1,363,388', '']","['670,721', '']"
10164,r181,Ohio -> Public -> Ohio U.,Ohio,Public,Ohio U.,3,"['52,465', '']","['10,992', '']"
10164,r182,Ohio -> Public -> U. Cincinnati,Ohio,Public,U. Cincinnati,3,"['615,070', '']","['491,645', '']"
10164,r183,Ohio -> Public -> U. Toledo,Ohio,Public,U. Toledo,3,"['64,654', '']","['26,410', '']"
10164,r184,Ohio -> Public -> Wright State U.,Ohio,Public,Wright State U.,3,"['27,440', '']","['9,560', '']"
10164,r185,Ohio -> Private,Ohio,Private,,2,"['', '']","['', '']"
10164,r186,Ohio -> Private -> Case Western Reserve U.,Ohio,Private,Case Western Reserve U.,3,"['467,389', '']","['394,669', '']"
10164,r187,Oklahoma,Oklahoma,,,1,"['', '']","['', '']"
10164,r188,Oklahoma -> Public,Oklahoma,Public,,2,"['', '']","['', '']"
10164,r189,"Oklahoma -> Public -> Oklahoma State U., Center for Health Sciences",Oklahoma,Public,"Oklahoma State U., Center for Health Sciences",3,"['8,368', '']","['8,237', '']"
10164,r190,"Oklahoma -> Public -> U. Oklahoma, Norman and Health Science Center",Oklahoma,Public,"U. Oklahoma, Norman and Health Science Center",3,"['408,656', '']","['128,108', '']"
10164,r191,"Oklahoma -> Public -> U. Oklahoma, Tulsa",Oklahoma,Public,"U. Oklahoma, Tulsa",3,"['7,945', '']","['2,351', '']"
10164,r192,Oregon,Oregon,,,1,"['', '']","['', '']"
10164,r193,Oregon -> Public,Oregon,Public,,2,"['', '']","['', '']"
10164,r194,Oregon -> Public -> Oregon Health and Science U.,Oregon,Public,Oregon Health and Science U.,3,"['479,226', '']","['287,602', '']"
10164,r195,Pennsylvania,Pennsylvania,,,1,"['', '']","['', '']"
10164,r196,Pennsylvania -> Public,Pennsylvania,Public,,2,"['', '']","['', '']"
10164,r197,"Pennsylvania -> Public -> Pennsylvania State U., University Park and Hershey Medical Center",Pennsylvania,Public,"Pennsylvania State U., University Park and Hershey Medical Center",3,"['1,019,940', '']","['146,375', '']"
10164,r198,Pennsylvania -> Public -> Temple U.,Pennsylvania,Public,Temple U.,3,"['301,395', '']","['113,589', '']"
10164,r199,"Pennsylvania -> Public -> U. Pittsburgh, Pittsburgh",Pennsylvania,Public,"U. Pittsburgh, Pittsburgh",3,"['1,251,998', '']","['900,807', '']"
10164,r200,Pennsylvania -> Private,Pennsylvania,Private,,2,"['', '']","['', '']"
10164,r201,Pennsylvania -> Private -> Drexel U.,Pennsylvania,Private,Drexel U.,3,"['151,903', '']","['40,613', '']"
10164,r202,Pennsylvania -> Private -> Philadelphia C. of Osteopathic Medicine,Pennsylvania,Private,Philadelphia C. of Osteopathic Medicine,3,"['6,667', '']","['2,675', '']"
10164,r203,Pennsylvania -> Private -> Thomas Jefferson U.,Pennsylvania,Private,Thomas Jefferson U.,3,"['321,644', '']","['316,719', '']"
10164,r204,Pennsylvania -> Private -> U. Pennsylvania,Pennsylvania,Private,U. Pennsylvania,3,"['1,791,311', '']","['1,208,978', '']"
10164,r205,Rhode Island,Rhode Island,,,1,"['', '']","['', '']"
10164,r206,Rhode Island -> Private,Rhode Island,Private,,2,"['', '']","['', '']"
10164,r207,Rhode Island -> Private -> Brown U.,Rhode Island,Private,Brown U.,3,"['310,780', '']","['156,962', '']"
10164,r208,South Carolina,South Carolina,,,1,"['', '']","['', '']"
10164,r209,South Carolina -> Public,South Carolina,Public,,2,"['', '']","['', '']"
10164,r210,South Carolina -> Public -> Medical U. South Carolina,South Carolina,Public,Medical U. South Carolina,3,"['284,553', '']","['233,052', '']"
10164,r211,"South Carolina -> Public -> U. South Carolina, Columbia",South Carolina,Public,"U. South Carolina, Columbia",3,"['229,162', '']","['22,626', '']"
10164,r212,South Dakota,South Dakota,,,1,"['', '']","['', '']"
10164,r213,South Dakota -> Public,South Dakota,Public,,2,"['', '']","['', '']"
10164,r214,South Dakota -> Public -> U. South Dakota,South Dakota,Public,U. South Dakota,3,"['30,322', '']","['14,742', '']"
10164,r215,Tennessee,Tennessee,,,1,"['', '']","['', '']"
10164,r216,Tennessee -> Public,Tennessee,Public,,2,"['', '']","['', '']"
10164,r217,Tennessee -> Public -> East Tennessee State U.,Tennessee,Public,East Tennessee State U.,3,"['23,420', '']","['8,607', '']"
10164,r218,"Tennessee -> Public -> U. Tennessee, Health Science Center",Tennessee,Public,"U. Tennessee, Health Science Center",3,"['115,161', '']","['115,161', '']"
10164,r219,Tennessee -> Private,Tennessee,Private,,2,"['', '']","['', '']"
10164,r220,Tennessee -> Private -> Meharry Medical C.,Tennessee,Private,Meharry Medical C.,3,"['17,960', '']","['14,323', '']"
10164,r221,Tennessee -> Private -> Vanderbilt U. and Vanderbilt U. Medical Center,Tennessee,Private,Vanderbilt U. and Vanderbilt U. Medical Center,3,"['1,086,223', '']","['603,994', '']"
10164,r222,Texas,Texas,,,1,"['', '']","['', '']"
10164,r223,Texas -> Public,Texas,Public,,2,"['', '']","['', '']"
10164,r224,Texas -> Public -> Sam Houston State U.,Texas,Public,Sam Houston State U.,3,"['12,009', '']","['118', '']"
10164,r225,"Texas -> Public -> Texas A&M U., College Station and Health Science Center",Texas,Public,"Texas A&M U., College Station and Health Science Center",3,"['1,152,666', '']","['51,205', '']"
10164,r226,"Texas -> Public -> Texas Tech U., Health Sciences Center",Texas,Public,"Texas Tech U., Health Sciences Center",3,"['46,574', '']","['29,110', '']"
10164,r227,"Texas -> Public -> Texas Tech U., Health Sciences Center, El Paso",Texas,Public,"Texas Tech U., Health Sciences Center, El Paso",3,"['14,206', '']","['11,020', '']"
10164,r228,Texas -> Public -> U. Houston,Texas,Public,U. Houston,3,"['240,126', '']","['795', '']"
10164,r229,"Texas -> Public -> U. North Texas, Health Science Center",Texas,Public,"U. North Texas, Health Science Center",3,"['10,439', '']","['784', 'i']"
10164,r230,"Texas -> Public -> U. Texas Health Science Center, Houston",Texas,Public,"U. Texas Health Science Center, Houston",3,"['342,633', '']","['193,357', '']"
10164,r231,"Texas -> Public -> U. Texas Health Science Center, San Antonio",Texas,Public,"U. Texas Health Science Center, San Antonio",3,"['238,510', '']","['186,627', '']"
10164,r232,Texas -> Public -> U. Texas Medical Branch,Texas,Public,U. Texas Medical Branch,3,"['204,518', '']","['195,429', '']"
10164,r233,Texas -> Public -> U. Texas Rio Grande Valley,Texas,Public,U. Texas Rio Grande Valley,3,"['64,401', '']","['21,410', '']"
10164,r234,Texas -> Public -> U. Texas Southwestern Medical Center,Texas,Public,U. Texas Southwestern Medical Center,3,"['719,002', '']","['711,862', '']"
10164,r235,"Texas -> Public -> U. Texas, Austin",Texas,Public,"U. Texas, Austin",3,"['845,896', '']","['45,552', '']"
10164,r236,Texas -> Private,Texas,Private,,2,"['', '']","['', '']"
10164,r237,Texas -> Private -> Baylor C. of Medicine,Texas,Private,Baylor C. of Medicine,3,"['827,005', '']","['827,005', '']"
10164,r238,Texas -> Private -> Texas Christian U.,Texas,Private,Texas Christian U.,3,"['18,353', '']","['27', '']"
10164,r239,Texas -> Private -> U. of the Incarnate Word,Texas,Private,U. of the Incarnate Word,3,"['2,064', '']","['524', '']"
10164,r240,Utah,Utah,,,1,"['', '']","['', '']"
10164,r241,Utah -> Public,Utah,Public,,2,"['', '']","['', '']"
10164,r242,Utah -> Public -> U. Utah,Utah,Public,U. Utah,3,"['670,119', '']","['301,906', '']"
10164,r243,Vermont,Vermont,,,1,"['', '']","['', '']"
10164,r244,Vermont -> Public,Vermont,Public,,2,"['', '']","['', '']"
10164,r245,Vermont -> Public -> U. Vermont,Vermont,Public,U. Vermont,3,"['216,307', '']","['111,906', '']"
10164,r246,Virginia,Virginia,,,1,"['', '']","['', '']"
10164,r247,Virginia -> Public,Virginia,Public,,2,"['', '']","['', '']"
10164,r248,Virginia -> Public -> Eastern Virginia Medical School,Virginia,Public,Eastern Virginia Medical School,3,"['22,165', '']","['22,040', '']"
10164,r249,"Virginia -> Public -> U. Virginia, Charlottesville",Virginia,Public,"U. Virginia, Charlottesville",3,"['662,658', '']","['337,517', '']"
