table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_level_4,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_institution_funds,field_source_of_funds_business,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_sources
8014,r035,"United States -> Arkansas -> Public -> U. Arkansas, Pine Bluff",United States,Arkansas,Public,"U. Arkansas, Pine Bluff",4,"['8,713', '']","['3,960', '']","['2,216', '']","['2,502', '']","['0', '']","['35', '']","['0', '']"
8014,r036,United States -> Arkansas -> Public -> U. Central Arkansas,United States,Arkansas,Public,U. Central Arkansas,4,"['3,990', '']","['1,640', '']","['869', '']","['1,281', '']","['0', '']","['200', '']","['0', '']"
8014,r037,United States -> California,United States,California,,,2,"['11,229,857', '']","['5,770,381', '']","['435,763', '']","['2,371,758', '']","['732,081', '']","['1,171,672', '']","['748,202', '']"
8014,r038,United States -> California -> Public,United States,California,Public,,3,"['7,945,304', '']","['3,763,887', '']","['388,782', '']","['1,813,410', '']","['512,662', '']","['820,546', '']","['646,017', '']"
8014,r039,"United States -> California -> Public -> California Polytechnic State U., San Luis Obispo",United States,California,Public,"California Polytechnic State U., San Luis Obispo",4,"['25,953', '']","['11,163', '']","['2,537', '']","['9,139', '']","['1,053', '']","['2,003', '']","['58', '']"
8014,r040,"United States -> California -> Public -> California State Polytechnic U., Pomona",United States,California,Public,"California State Polytechnic U., Pomona",4,"['7,011', '']","['4,396', '']","['846', '']","['1,469', '']","['141', '']","['159', '']","['0', '']"
8014,r041,"United States -> California -> Public -> California State U., Bakersfield",United States,California,Public,"California State U., Bakersfield",4,"['6,253', '']","['3,827', '']","['215', '']","['2,160', '']","['0', '']","['51', '']","['0', '']"
8014,r042,"United States -> California -> Public -> California State U., Channel Islands",United States,California,Public,"California State U., Channel Islands",4,"['2,341', '']","['993', '']","['611', '']","['542', '']","['186', '']","['9', '']","['0', '']"
8014,r043,"United States -> California -> Public -> California State U., Chico",United States,California,Public,"California State U., Chico",4,"['4,209', '']","['2,258', '']","['792', '']","['505', '']","['69', '']","['128', '']","['457', '']"
8014,r044,"United States -> California -> Public -> California State U., Dominguez Hills",United States,California,Public,"California State U., Dominguez Hills",4,"['2,690', '']","['2,001', '']","['19', '']","['670', '']","['0', '']","['0', '']","['0', '']"
8014,r045,"United States -> California -> Public -> California State U., East Bay",United States,California,Public,"California State U., East Bay",4,"['20,108', '']","['9,275', '']","['1,443', '']","['7,470', '']","['1,033', '']","['349', '']","['538', '']"
8014,r046,"United States -> California -> Public -> California State U., Fresno",United States,California,Public,"California State U., Fresno",4,"['9,213', '']","['4,101', '']","['1,086', '']","['2,278', '']","['186', '']","['1,232', '']","['330', '']"
8014,r047,"United States -> California -> Public -> California State U., Fullerton",United States,California,Public,"California State U., Fullerton",4,"['9,006', '']","['4,551', '']","['251', '']","['3,904', '']","['97', '']","['203', '']","['0', '']"
8014,r048,"United States -> California -> Public -> California State U., Long Beach",United States,California,Public,"California State U., Long Beach",4,"['15,134', '']","['11,178', '']","['877', '']","['1,113', '']","['195', '']","['528', '']","['1,243', '']"
8014,r049,"United States -> California -> Public -> California State U., Los Angeles",United States,California,Public,"California State U., Los Angeles",4,"['9,382', '']","['7,342', '']","['108', '']","['1,561', '']","['0', '']","['371', '']","['0', '']"
8014,r050,"United States -> California -> Public -> California State U., Maritime Academy",United States,California,Public,"California State U., Maritime Academy",4,"['2,799', '']","['548', '']","['131', '']","['18', '']","['2,102', '']","['0', '']","['0', '']"
8014,r051,"United States -> California -> Public -> California State U., Monterey Bay",United States,California,Public,"California State U., Monterey Bay",4,"['6,882', '']","['3,813', '']","['1,277', '']","['1,610', '']","['3', '']","['172', '']","['7', '']"
8014,r052,"United States -> California -> Public -> California State U., Northridge",United States,California,Public,"California State U., Northridge",4,"['16,573', '']","['13,989', '']","['353', '']","['1,051', '']","['81', '']","['1,099', '']","['0', '']"
8014,r053,"United States -> California -> Public -> California State U., Sacramento",United States,California,Public,"California State U., Sacramento",4,"['23,699', '']","['5,582', '']","['11,012', '']","['5,344', '']","['147', '']","['508', '']","['1,106', '']"
8014,r054,"United States -> California -> Public -> California State U., San Bernardino",United States,California,Public,"California State U., San Bernardino",4,"['11,607', '']","['5,867', '']","['2,928', '']","['2,652', '']","['20', '']","['140', '']","['0', '']"
8014,r055,"United States -> California -> Public -> California State U., San Marcos",United States,California,Public,"California State U., San Marcos",4,"['10,213', '']","['8,831', '']","['1,110', '']","['267', '']","['0', '']","['5', '']","['0', '']"
8014,r056,"United States -> California -> Public -> California State U., Stanislaus",United States,California,Public,"California State U., Stanislaus",4,"['2,085', '']","['1,354', '']","['104', '']","['112', '']","['504', '']","['11', '']","['0', '']"
8014,r057,United States -> California -> Public -> Humboldt State U.,United States,California,Public,Humboldt State U.,4,"['14,103', '']","['1,975', '']","['3,971', '']","['3,818', '']","['164', '']","['2,108', '']","['2,067', '']"
8014,r058,United States -> California -> Public -> Naval Postgraduate School,United States,California,Public,Naval Postgraduate School,4,"['65,101', '']","['54,855', '']","['0', '']","['9,608', '']","['264', '']","['62', '']","['312', '']"
8014,r059,United States -> California -> Public -> San Diego State U.,United States,California,Public,San Diego State U.,4,"['107,681', '']","['43,473', '']","['4,107', '']","['56,085', '']","['523', '']","['2,340', '']","['1,153', '']"
8014,r060,United States -> California -> Public -> San Francisco State U.,United States,California,Public,San Francisco State U.,4,"['35,768', '']","['15,993', '']","['2,305', '']","['16,710', '']","['0', '']","['743', '']","['17', '']"
8014,r061,United States -> California -> Public -> San Jose State U.,United States,California,Public,San Jose State U.,4,"['60,100', '']","['30,877', '']","['7,617', '']","['19,350', '']","['1,080', '']","['1,071', '']","['105', '']"
8014,r062,United States -> California -> Public -> Sonoma State U.,United States,California,Public,Sonoma State U.,4,"['2,957', '']","['2,212', '']","['366', '']","['261', '']","['69', '']","['49', '']","['0', '']"
8014,r063,"United States -> California -> Public -> U. California, Berkeley",United States,California,Public,"U. California, Berkeley",4,"['846,872', '']","['354,478', '']","['40,383', '']","['185,077', '']","['71,696', '']","['137,896', '']","['57,342', '']"
8014,r064,"United States -> California -> Public -> U. California, Davis",United States,California,Public,"U. California, Davis",4,"['817,409', '']","['373,719', '']","['75,116', '']","['207,272', '']","['56,160', '']","['44,693', '']","['60,449', '']"
8014,r065,"United States -> California -> Public -> U. California, Irvine",United States,California,Public,"U. California, Irvine",4,"['523,752', '']","['255,010', '']","['15,891', '']","['130,928', '']","['40,622', '']","['34,512', '']","['46,789', '']"
8014,r066,"United States -> California -> Public -> U. California, Los Angeles",United States,California,Public,"U. California, Los Angeles",4,"['1,454,880', '']","['721,043', '']","['71,014', '']","['302,528', '']","['87,959', '']","['194,232', '']","['78,104', '']"
8014,r067,"United States -> California -> Public -> U. California, Merced",United States,California,Public,"U. California, Merced",4,"['45,964', '']","['18,621', '']","['7,048', '']","['14,224', '']","['373', '']","['1,290', '']","['4,408', '']"
8014,r068,"United States -> California -> Public -> U. California, Office of the President",United States,California,Public,"U. California, Office of the President",4,"['50,848', '']","['653', '']","['29,282', '']","['20,864', '']","['0', '']","['0', '']","['49', '']"
8014,r069,"United States -> California -> Public -> U. California, Riverside",United States,California,Public,"U. California, Riverside",4,"['189,600', '']","['97,182', '']","['11,424', '']","['49,131', '']","['6,809', '']","['7,703', '']","['17,351', '']"
8014,r070,"United States -> California -> Public -> U. California, San Diego",United States,California,Public,"U. California, San Diego",4,"['1,425,499', '']","['801,117', '']","['51,346', '']","['250,863', '']","['85,003', '']","['87,380', '']","['149,790', '']"
8014,r071,"United States -> California -> Public -> U. California, San Francisco",United States,California,Public,"U. California, San Francisco",4,"['1,710,036', '']","['683,179', '']","['33,056', '']","['418,589', '']","['128,370', '']","['254,406', '']","['192,436', '']"
8014,r072,"United States -> California -> Public -> U. California, Santa Barbara",United States,California,Public,"U. California, Santa Barbara",4,"['248,961', '']","['122,168', '']","['5,213', '']","['54,569', '']","['20,480', '']","['28,768', '']","['17,763', '']"
8014,r073,"United States -> California -> Public -> U. California, Santa Cruz",United States,California,Public,"U. California, Santa Cruz",4,"['160,615', '']","['86,263', '']","['4,943', '']","['31,668', '']","['7,273', '']","['16,325', '']","['14,143', '']"
8014,r074,United States -> California -> Private,United States,California,Private,,3,"['3,284,553', '']","['2,006,494', '']","['46,981', '']","['558,348', '']","['219,419', '']","['351,126', '']","['102,185', '']"
8014,r075,United States -> California -> Private -> Azusa Pacific U.,United States,California,Private,Azusa Pacific U.,4,"['5,318', '']","['212', '']","['59', '']","['4,893', '']","['2', '']","['152', '']","['0', '']"
8014,r076,United States -> California -> Private -> Biola U.,United States,California,Private,Biola U.,4,"['1,243', 'i']","['714', 'i']","['18', 'i']","['302', 'i']","['80', 'i']","['98', 'i']","['31', 'i']"
8014,r077,United States -> California -> Private -> California Institute of Technology,United States,California,Private,California Institute of Technology,4,"['438,624', '']","['293,197', '']","['8,142', '']","['50,562', '']","['17,193', '']","['47,355', '']","['22,175', '']"
8014,r078,United States -> California -> Private -> Chapman U.,United States,California,Private,Chapman U.,4,"['25,820', '']","['8,574', '']","['612', '']","['10,273', '']","['567', '']","['5,766', '']","['28', '']"
8014,r079,United States -> California -> Private -> Charles R. Drew U. of Medicine and Science,United States,California,Private,Charles R. Drew U. of Medicine and Science,4,"['13,228', '']","['9,945', '']","['151', '']","['2,834', '']","['0', '']","['298', '']","['0', '']"
8014,r080,United States -> California -> Private -> Claremont Graduate U.,United States,California,Private,Claremont Graduate U.,4,"['7,235', '']","['1,152', '']","['306', '']","['1,275', '']","['1,518', '']","['2,355', '']","['629', '']"
8014,r081,United States -> California -> Private -> Claremont McKenna C.,United States,California,Private,Claremont McKenna C.,4,"['4,515', '']","['637', '']","['0', '']","['3,548', '']","['0', '']","['330', '']","['0', '']"
8014,r082,United States -> California -> Private -> Fielding Graduate U.,United States,California,Private,Fielding Graduate U.,4,"['843', '']","['791', '']","['0', '']","['52', '']","['0', '']","['0', '']","['0', '']"
8014,r083,United States -> California -> Private -> Harvey Mudd C.,United States,California,Private,Harvey Mudd C.,4,"['2,359', '']","['1,443', '']","['0', '']","['695', '']","['11', '']","['98', '']","['112', '']"
8014,r084,United States -> California -> Private -> High Tech High Graduate School of Ed.,United States,California,Private,High Tech High Graduate School of Ed.,4,"['5,032', '']","['0', '']","['0', '']","['0', '']","['0', '']","['5,032', '']","['0', '']"
8014,r085,United States -> California -> Private -> Keck Graduate Institute,United States,California,Private,Keck Graduate Institute,4,"['2,254', 'i']","['1,201', 'i']","['0', 'i']","['697', 'i']","['144', 'i']","['35', 'i']","['177', 'i']"
8014,r086,United States -> California -> Private -> La Sierra U.,United States,California,Private,La Sierra U.,4,"['1,517', '']","['812', '']","['0', '']","['137', '']","['0', '']","['568', '']","['0', '']"
8014,r087,United States -> California -> Private -> Loma Linda U.,United States,California,Private,Loma Linda U.,4,"['14,029', '']","['10,116', '']","['444', '']","['1,932', '']","['241', '']","['1,160', '']","['136', '']"
8014,r088,United States -> California -> Private -> Loyola Marymount U.,United States,California,Private,Loyola Marymount U.,4,"['12,819', '']","['2,170', '']","['1,393', '']","['8,148', '']","['20', '']","['1,088', '']","['0', '']"
8014,r089,United States -> California -> Private -> Marshall B. Ketchum U.,United States,California,Private,Marshall B. Ketchum U.,4,"['1,351', 'i']","['343', 'i']","['0', 'i']","['668', 'i']","['340', 'i']","['0', 'i']","['0', 'i']"
8014,r090,United States -> California -> Private -> Mills C.,United States,California,Private,Mills C.,4,"['850', '']","['683', '']","['0', '']","['0', '']","['0', '']","['129', '']","['38', '']"
8014,r091,United States -> California -> Private -> Occidental C.,United States,California,Private,Occidental C.,4,"['3,587', '']","['2,348', '']","['395', '']","['NA', '']","['392', '']","['452', '']","['0', '']"
8014,r092,United States -> California -> Private -> Pepperdine U.,United States,California,Private,Pepperdine U.,4,"['2,655', '']","['835', '']","['16', '']","['1,444', '']","['0', '']","['355', '']","['5', '']"
8014,r093,United States -> California -> Private -> Pomona C.,United States,California,Private,Pomona C.,4,"['2,146', '']","['930', '']","['9', '']","['1,140', '']","['0', '']","['67', '']","['0', '']"
8014,r094,United States -> California -> Private -> Santa Clara U.,United States,California,Private,Santa Clara U.,4,"['3,142', '']","['1,930', '']","['118', '']","['NA', '']","['558', '']","['536', '']","['0', '']"
8014,r095,United States -> California -> Private -> Scripps Research Institute,United States,California,Private,Scripps Research Institute,4,"['485,435', '']","['272,181', '']","['2,103', '']","['147,290', '']","['22,399', '']","['41,462', '']","['0', '']"
8014,r096,United States -> California -> Private -> Stanford U.,United States,California,Private,Stanford U.,4,"['1,274,483', '']","['811,183', '']","['17,802', '']","['136,444', '']","['113,691', '']","['186,565', '']","['8,798', '']"
8014,r097,United States -> California -> Private -> Touro U.,United States,California,Private,Touro U.,4,"['3,489', '']","['1,377', '']","['0', '']","['2,091', '']","['20', '']","['1', '']","['0', '']"
8014,r098,United States -> California -> Private -> U. of the Pacific,United States,California,Private,U. of the Pacific,4,"['1,371', '']","['1,106', '']","['211', '']","['NA', '']","['11', '']","['43', '']","['0', '']"
8014,r099,United States -> California -> Private -> U. San Diego,United States,California,Private,U. San Diego,4,"['7,580', '']","['2,554', '']","['26', '']","['4,203', '']","['0', '']","['414', '']","['383', '']"
8014,r100,United States -> California -> Private -> U. San Francisco,United States,California,Private,U. San Francisco,4,"['1,375', '']","['255', '']","['200', '']","['466', '']","['0', '']","['434', '']","['20', '']"
8014,r101,United States -> California -> Private -> U. Southern California,United States,California,Private,U. Southern California,4,"['955,565', '']","['574,185', '']","['14,664', '']","['179,130', '']","['61,867', '']","['56,073', '']","['69,646', '']"
8014,r102,United States -> California -> Private -> Western U. of Health Sciences,United States,California,Private,Western U. of Health Sciences,4,"['6,688', '']","['5,620', '']","['312', '']","['124', '']","['365', '']","['260', '']","['7', '']"
8014,r103,United States -> Colorado,United States,Colorado,,,2,"['1,746,975', '']","['1,269,099', '']","['65,611', '']","['193,624', '']","['82,884', '']","['89,451', '']","['46,306', '']"
8014,r104,United States -> Colorado -> Public,United States,Colorado,Public,,3,"['1,702,757', '']","['1,241,959', '']","['64,275', '']","['186,180', '']","['81,144', '']","['83,388', '']","['45,811', '']"
8014,r105,United States -> Colorado -> Public -> Colorado School of Mines,United States,Colorado,Public,Colorado School of Mines,4,"['81,443', '']","['61,421', '']","['1,351', '']","['3,657', '']","['9,036', '']","['1,990', '']","['3,988', '']"
8014,r106,"United States -> Colorado -> Public -> Colorado State U., Fort Collins",United States,Colorado,Public,"Colorado State U., Fort Collins",4,"['447,197', '']","['303,901', '']","['28,559', '']","['76,610', '']","['11,979', '']","['19,536', '']","['6,612', '']"
8014,r107,"United States -> Colorado -> Public -> Colorado State U., Pueblo",United States,Colorado,Public,"Colorado State U., Pueblo",4,"['2,990', '']","['1,508', '']","['1,244', '']","['201', '']","['0', '']","['0', '']","['37', '']"
8014,r108,United States -> Colorado -> Public -> Fort Lewis C.,United States,Colorado,Public,Fort Lewis C.,4,"['1,926', '']","['1,746', '']","['14', '']","['124', '']","['42', '']","['0', '']","['0', '']"
8014,r109,United States -> Colorado -> Public -> U. Colorado Anschutz Medical Campus,United States,Colorado,Public,U. Colorado Anschutz Medical Campus,4,"['562,855', '']","['363,999', '']","['25,162', '']","['69,836', '']","['48,309', '']","['45,580', '']","['9,969', '']"
8014,r110,United States -> Colorado -> Public -> U. Colorado Boulder,United States,Colorado,Public,U. Colorado Boulder,4,"['547,724', '']","['459,816', '']","['4,348', '']","['33,465', '']","['10,691', '']","['14,357', '']","['25,047', '']"
8014,r111,United States -> Colorado -> Public -> U. Colorado Colorado Springs,United States,Colorado,Public,U. Colorado Colorado Springs,4,"['5,338', '']","['3,942', '']","['504', '']","['338', '']","['518', '']","['36', '']","['0', '']"
8014,r112,United States -> Colorado -> Public -> U. Colorado Denver<sup>a</sup>,United States,Colorado,Public,U. Colorado Denver<sup>a</sup>,4,"['18,039', '']","['11,866', '']","['3,047', '']","['804', '']","['493', '']","['1,671', '']","['158', '']"
8014,r113,United States -> Colorado -> Public -> U. Northern Colorado,United States,Colorado,Public,U. Northern Colorado,4,"['3,159', '']","['1,942', '']","['46', '']","['945', '']","['8', '']","['218', '']","['0', '']"
8014,r114,United States -> Colorado -> Public -> U.S. Air Force Academy,United States,Colorado,Public,U.S. Air Force Academy,4,"['32,086', '']","['31,818', '']","['0', '']","['200', '']","['68', '']","['0', '']","['0', '']"
8014,r115,United States -> Colorado -> Private,United States,Colorado,Private,,3,"['44,218', '']","['27,140', '']","['1,336', '']","['7,444', '']","['1,740', '']","['6,063', '']","['495', '']"
8014,r116,United States -> Colorado -> Private -> Colorado C.,United States,Colorado,Private,Colorado C.,4,"['5,467', '']","['3,725', '']","['385', '']","['575', '']","['0', '']","['782', '']","['0', '']"
8014,r117,United States -> Colorado -> Private -> U. Denver,United States,Colorado,Private,U. Denver,4,"['38,751', '']","['23,415', '']","['951', '']","['6,869', '']","['1,740', '']","['5,281', '']","['495', '']"
8014,r118,United States -> Connecticut,United States,Connecticut,,,2,"['1,494,357', '']","['841,978', '']","['10,040', '']","['434,302', '']","['87,096', '']","['107,751', '']","['13,190', '']"
8014,r119,United States -> Connecticut -> Public,United States,Connecticut,Public,,3,"['311,039', '']","['184,846', '']","['4,747', '']","['94,622', '']","['9,827', '']","['13,163', '']","['3,834', '']"
8014,r120,United States -> Connecticut -> Public -> Central Connecticut State U.,United States,Connecticut,Public,Central Connecticut State U.,4,"['1,314', '']","['663', '']","['254', '']","['390', '']","['0', '']","['7', '']","['0', '']"
8014,r121,United States -> Connecticut -> Public -> Eastern Connecticut State U.,United States,Connecticut,Public,Eastern Connecticut State U.,4,"['1,646', '']","['108', '']","['9', '']","['1,529', '']","['0', '']","['0', '']","['0', '']"
8014,r122,United States -> Connecticut -> Public -> Southern Connecticut State U.,United States,Connecticut,Public,Southern Connecticut State U.,4,"['5,750', '']","['713', '']","['90', '']","['4,245', '']","['0', '']","['473', '']","['229', '']"
8014,r123,United States -> Connecticut -> Public -> U. Connecticut,United States,Connecticut,Public,U. Connecticut,4,"['302,329', '']","['183,362', '']","['4,394', '']","['88,458', '']","['9,827', '']","['12,683', '']","['3,605', '']"
8014,r124,United States -> Connecticut -> Private,United States,Connecticut,Private,,3,"['1,183,318', '']","['657,132', '']","['5,293', '']","['339,680', '']","['77,269', '']","['94,588', '']","['9,356', '']"
8014,r125,United States -> Connecticut -> Private -> Connecticut C.,United States,Connecticut,Private,Connecticut C.,4,"['1,244', '']","['439', '']","['0', '']","['785', '']","['0', '']","['20', '']","['0', '']"
8014,r126,United States -> Connecticut -> Private -> Fairfield U.,United States,Connecticut,Private,Fairfield U.,4,"['849', '']","['147', '']","['0', '']","['354', '']","['0', '']","['348', '']","['0', '']"
8014,r127,United States -> Connecticut -> Private -> Sacred Heart U.,United States,Connecticut,Private,Sacred Heart U.,4,"['972', '']","['675', '']","['0', '']","['244', '']","['0', '']","['53', '']","['0', '']"
8014,r128,"United States -> Connecticut -> Private -> Trinity C., Hartford",United States,Connecticut,Private,"Trinity C., Hartford",4,"['1,775', '']","['1,348', '']","['0', '']","['409', '']","['0', '']","['18', '']","['0', '']"
8014,r129,United States -> Connecticut -> Private -> U. Hartford,United States,Connecticut,Private,U. Hartford,4,"['1,252', '']","['766', '']","['0', '']","['361', '']","['5', '']","['120', '']","['0', '']"
8014,r130,United States -> Connecticut -> Private -> U. New Haven,United States,Connecticut,Private,U. New Haven,4,"['4,069', '']","['2,069', '']","['434', '']","['209', '']","['418', '']","['832', '']","['107', '']"
8014,r131,United States -> Connecticut -> Private -> Wesleyan U.,United States,Connecticut,Private,Wesleyan U.,4,"['8,009', '']","['4,032', '']","['0', '']","['3,004', '']","['62', '']","['854', '']","['57', '']"
8014,r132,United States -> Connecticut -> Private -> Yale U.,United States,Connecticut,Private,Yale U.,4,"['1,165,148', '']","['647,656', '']","['4,859', '']","['334,314', '']","['76,784', '']","['92,343', '']","['9,192', '']"
8014,r133,United States -> Delaware,United States,Delaware,,,2,"['254,725', '']","['174,185', '']","['12,767', '']","['51,348', '']","['6,221', '']","['4,188', '']","['6,016', '']"
