table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_usda_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
5446,r026,"All institutions -> U. Tennessee, Knoxville<sup>b</sup>",All institutions,"U. Tennessee, Knoxville<sup>b</sup>",2,25,"['16,486', '']","['0', '']","['82', '']","['11,091', '']","['0', '']","['53', '']","['0', '']","['75', '']","['2,683', '']","['2,439', '']","['63', '']"
5446,r027,All institutions -> U. Arizona,All institutions,U. Arizona,2,26,"['15,712', '']","['12', '']","['102', '']","['12,387', '']","['49', '']","['0', '']","['0', '']","['459', '']","['0', '']","['2,655', '']","['48', '']"
5446,r028,All institutions -> U. Maine,All institutions,U. Maine,2,27,"['15,677', '']","['0', '']","['533', '']","['13,854', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['439', '']","['851', '']"
5446,r029,All institutions -> Tufts U.,All institutions,Tufts U.,2,28,"['14,929', '']","['0', '']","['0', '']","['14,840', '']","['0', '']","['0', '']","['0', '']","['85', '']","['4', '']","['0', '']","['0', '']"
5446,r030,All institutions -> Baylor C. of Medicine,All institutions,Baylor C. of Medicine,2,29,"['14,847', '']","['0', '']","['0', '']","['14,847', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5446,r031,All institutions -> U. Idaho,All institutions,U. Idaho,2,30,"['14,375', '']","['0', '']","['284', '']","['11,859', '']","['0', '']","['0', '']","['0', '']","['1,634', '']","['0', '']","['574', '']","['24', '']"
5446,r032,"All institutions -> U. Arkansas, Fayetteville",All institutions,"U. Arkansas, Fayetteville",2,31,"['13,303', '']","['0', '']","['218', '']","['11,068', '']","['2', '']","['0', '']","['0', '']","['565', '']","['0', '']","['1,120', '']","['330', '']"
5446,r033,All institutions -> U. Kentucky,All institutions,U. Kentucky,2,32,"['13,226', '']","['140', '']","['0', '']","['10,706', '']","['0', '']","['0', '']","['0', '']","['493', '']","['0', '']","['1,120', '']","['767', '']"
5446,r034,"All institutions -> U. California, Riverside",All institutions,"U. California, Riverside",2,33,"['12,507', '']","['30', '']","['1,375', '']","['10,549', '']","['0', '']","['4', '']","['0', '']","['64', '']","['0', '']","['485', '']","['0', '']"
5446,r035,"All institutions -> Auburn U., Auburn",All institutions,"Auburn U., Auburn",2,34,"['12,104', '']","['0', '']","['201', '']","['10,968', '']","['0', '']","['32', '']","['0', '']","['163', '']","['15', '']","['691', '']","['34', '']"
5446,r036,All institutions -> South Dakota State U.,All institutions,South Dakota State U.,2,35,"['11,354', '']","['0', '']","['58', '']","['10,174', '']","['0', '']","['4', '']","['122', '']","['478', '']","['0', '']","['446', '']","['72', '']"
5446,r037,All institutions -> Utah State U.,All institutions,Utah State U.,2,36,"['11,169', '']","['0', '']","['67', '']","['10,471', '']","['53', '']","['122', '']","['0', '']","['233', '']","['0', '']","['184', '']","['39', '']"
5446,r038,All institutions -> North Dakota State U.,All institutions,North Dakota State U.,2,37,"['11,153', '']","['0', '']","['0', '']","['9,869', '']","['0', '']","['0', '']","['15', '']","['186', '']","['0', '']","['1,061', '']","['22', '']"
5446,r039,"All institutions -> Montana State U., Bozeman",All institutions,"Montana State U., Bozeman",2,38,"['11,034', '']","['0', '']","['262', '']","['10,504', '']","['0', '']","['0', '']","['0', '']","['7', '']","['0', '']","['247', '']","['14', '']"
5446,r040,"All institutions -> U. Hawaii, Manoa",All institutions,"U. Hawaii, Manoa",2,39,"['10,321', '']","['0', '']","['0', '']","['8,500', '']","['0', '']","['0', '']","['0', '']","['33', '']","['1,102', '']","['494', '']","['192', '']"
5446,r041,All institutions -> U. Vermont,All institutions,U. Vermont,2,40,"['10,145', '']","['0', '']","['0', '']","['10,145', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5446,r042,All institutions -> New Mexico State U.,All institutions,New Mexico State U.,2,41,"['9,204', '']","['0', '']","['933', '']","['7,735', '']","['0', '']","['0', '']","['0', '']","['33', '']","['12', '']","['411', '']","['80', '']"
5446,r043,"All institutions -> Oklahoma State U., Stillwater",All institutions,"Oklahoma State U., Stillwater",2,42,"['8,853', '']","['0', '']","['16', '']","['7,508', '']","['0', '']","['0', '']","['0', '']","['47', '']","['0', '']","['797', '']","['485', '']"
5446,r044,All institutions -> U. New Hampshire,All institutions,U. New Hampshire,2,43,"['8,822', '']","['0', '']","['446', '']","['8,345', '']","['0', '']","['0', '']","['0', '']","['7', '']","['0', '']","['0', '']","['24', '']"
5446,r045,All institutions -> Florida A&M U.,All institutions,Florida A&M U.,2,44,"['8,820', '']","['0', '']","['409', '']","['8,074', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['337', '']","['0', '']"
5446,r046,"All institutions -> Louisiana State U., Baton Rouge",All institutions,"Louisiana State U., Baton Rouge",2,45,"['8,545', '']","['0', '']","['0', '']","['7,914', '']","['0', '']","['0', '']","['0', '']","['373', '']","['0', '']","['258', '']","['0', '']"
5446,r047,"All institutions -> U. Massachusetts, Amherst",All institutions,"U. Massachusetts, Amherst",2,46,"['8,480', '']","['0', '']","['105', '']","['7,873', '']","['24', '']","['39', '']","['0', '']","['252', '']","['0', '']","['143', '']","['44', '']"
5446,r048,All institutions -> West Virginia U.,All institutions,West Virginia U.,2,47,"['7,612', '']","['0', '']","['8', '']","['6,932', '']","['0', '']","['0', '']","['0', '']","['164', '']","['316', '']","['143', '']","['49', '']"
5446,r049,All institutions -> U. Wyoming,All institutions,U. Wyoming,2,48,"['7,435', '']","['6', '']","['0', '']","['7,257', '']","['0', '']","['0', '']","['0', '']","['0', '']","['158', '']","['0', '']","['14', '']"
5446,r050,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,49,"['7,016', '']","['0', '']","['395', '']","['6,535', '']","['0', '']","['0', '']","['0', '']","['9', '']","['0', '']","['77', '']","['0', '']"
5446,r051,All institutions -> Alcorn State U.,All institutions,Alcorn State U.,2,50,"['6,790', '']","['0', '']","['0', '']","['3,983', '']","['0', '']","['0', '']","['0', '']","['2,807', '']","['0', '']","['0', '']","['0', '']"
5446,r052,All institutions -> U. Mississippi,All institutions,U. Mississippi,2,51,"['6,060', '']","['0', '']","['195', '']","['4,071', '']","['0', '']","['793', '']","['0', '']","['0', '']","['0', '']","['969', '']","['32', '']"
5446,r053,"All institutions -> U. Nevada, Reno",All institutions,"U. Nevada, Reno",2,52,"['6,038', '']","['14', '']","['296', '']","['4,621', '']","['0', '']","['104', '']","['0', '']","['850', '']","['37', '']","['116', '']","['0', '']"
5446,r054,"All institutions -> U. Montana, Missoula",All institutions,"U. Montana, Missoula",2,53,"['5,802', '']","['46', '']","['50', '']","['4,857', '']","['0', '']","['0', '']","['0', '']","['801', '']","['0', '']","['0', '']","['48', '']"
5446,r055,All institutions -> U. Connecticut,All institutions,U. Connecticut,2,54,"['5,757', '']","['0', '']","['70', '']","['4,898', '']","['0', '']","['0', '']","['45', '']","['673', '']","['0', '']","['57', '']","['14', '']"
5446,r056,All institutions -> Tennessee State U.,All institutions,Tennessee State U.,2,55,"['5,746', '']","['63', '']","['0', '']","['5,600', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['83', '']"
5446,r057,All institutions -> Tuskegee U.,All institutions,Tuskegee U.,2,56,"['5,475', '']","['0', '']","['0', '']","['5,209', '']","['0', '']","['0', '']","['0', '']","['260', '']","['0', '']","['6', '']","['0', '']"
5446,r058,All institutions -> Langston U.,All institutions,Langston U.,2,57,"['5,429', '']","['0', '']","['0', '']","['5,155', '']","['0', '']","['1', '']","['0', '']","['0', '']","['0', '']","['0', '']","['273', '']"
5446,r059,All institutions -> U. Rhode Island,All institutions,U. Rhode Island,2,58,"['5,328', '']","['0', '']","['3,032', '']","['1,620', '']","['0', '']","['0', '']","['0', '']","['482', '']","['175', '']","['0', '']","['19', '']"
5446,r060,All institutions -> U. Delaware,All institutions,U. Delaware,2,59,"['5,316', '']","['0', '']","['106', '']","['4,429', '']","['0', '']","['0', '']","['0', '']","['724', '']","['0', '']","['55', '']","['2', '']"
5446,r061,All institutions -> Prairie View A&M U.,All institutions,Prairie View A&M U.,2,60,"['4,945', '']","['0', '']","['0', '']","['4,759', '']","['0', '']","['17', '']","['0', '']","['0', '']","['0', '']","['147', '']","['22', '']"
5446,r062,All institutions -> Clemson U.,All institutions,Clemson U.,2,61,"['4,869', '']","['478', '']","['0', '']","['2,199', '']","['0', '']","['0', '']","['0', '']","['129', '']","['0', '']","['139', '']","['1,924', '']"
5446,r063,All institutions -> North Carolina Agricultural and Technical State U.,All institutions,North Carolina Agricultural and Technical State U.,2,62,"['4,600', '']","['0', '']","['19', '']","['4,544', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['37', '']"
5446,r064,All institutions -> Texas A&M U.-Kingsville,All institutions,Texas A&M U.-Kingsville,2,63,"['4,530', '']","['0', '']","['0', '']","['4,528', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['2', '']","['0', '']"
5446,r065,All institutions -> Northern Arizona U.,All institutions,Northern Arizona U.,2,64,"['4,379', '']","['0', '']","['188', '']","['4,077', '']","['0', '']","['0', '']","['0', '']","['0', '']","['1', '']","['113', '']","['0', '']"
5446,r066,All institutions -> Kentucky State U.,All institutions,Kentucky State U.,2,65,"['4,299', '']","['0', '']","['0', '']","['4,299', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5446,r067,All institutions -> Fort Valley State U.,All institutions,Fort Valley State U.,2,66,"['4,155', '']","['0', '']","['0', '']","['4,155', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5446,r068,All institutions -> Tarleton State U.,All institutions,Tarleton State U.,2,67,"['3,822', '']","['0', '']","['415', '']","['3,407', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5446,r069,"All institutions -> U. Arkansas, Pine Bluff",All institutions,"U. Arkansas, Pine Bluff",2,68,"['3,790', '']","['0', '']","['0', '']","['3,790', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5446,r070,All institutions -> Virginia State U.,All institutions,Virginia State U.,2,69,"['3,499', '']","['0', '']","['0', '']","['3,499', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5446,r071,"All institutions -> Lincoln U., Jefferson City",All institutions,"Lincoln U., Jefferson City",2,70,"['3,385', '']","['0', '']","['0', '']","['3,284', '']","['0', '']","['0', '']","['0', '']","['4', '']","['97', '']","['0', '']","['0', '']"
5446,r072,All institutions -> Delaware State U.,All institutions,Delaware State U.,2,71,"['3,326', 'i']","['0', 'i']","['0', 'i']","['3,153', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['173', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
5446,r073,All institutions -> U. of the Virgin Islands,All institutions,U. of the Virgin Islands,2,72,"['3,218', '']","['0', '']","['0', '']","['3,218', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5446,r074,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,73,"['3,129', '']","['0', '']","['0', '']","['2,478', '']","['0', '']","['0', '']","['0', '']","['0', '']","['283', '']","['228', '']","['140', '']"
5446,r075,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,74,"['2,886', '']","['0', '']","['20', '']","['2,623', '']","['0', '']","['0', '']","['0', '']","['19', '']","['0', '']","['0', '']","['224', '']"
5446,r076,All institutions -> U. Guam,All institutions,U. Guam,2,75,"['2,604', '']","['0', '']","['112', '']","['2,479', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['13', '']"
5446,r077,All institutions -> Central State U.,All institutions,Central State U.,2,76,"['2,514', '']","['0', '']","['125', '']","['2,389', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5446,r078,All institutions -> West Virginia State U.,All institutions,West Virginia State U.,2,77,"['2,458', '']","['0', '']","['0', '']","['2,458', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5446,r079,"All institutions -> U. Maryland, Eastern Shore",All institutions,"U. Maryland, Eastern Shore",2,78,"['2,361', '']","['0', '']","['0', '']","['2,278', '']","['0', '']","['7', '']","['0', '']","['0', '']","['0', '']","['76', '']","['0', '']"
5446,r080,All institutions -> Texas Tech U.,All institutions,Texas Tech U.,2,79,"['2,095', '']","['0', '']","['3', '']","['1,490', '']","['0', '']","['12', '']","['0', '']","['381', '']","['0', '']","['160', '']","['49', '']"
5446,r081,"All institutions -> Southern U. and A&M C., Agricultural Research and Extension Center",All institutions,"Southern U. and A&M C., Agricultural Research and Extension Center",2,80,"['2,085', '']","['0', '']","['0', '']","['2,085', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5446,r082,"All institutions -> U. Texas Health Science Center, Houston",All institutions,"U. Texas Health Science Center, Houston",2,81,"['2,051', '']","['0', '']","['0', '']","['2,051', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5446,r083,"All institutions -> U. Nevada, Las Vegas",All institutions,"U. Nevada, Las Vegas",2,82,"['2,033', '']","['0', '']","['1,810', '']","['152', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['70', '']","['1', '']"
5446,r084,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,83,"['2,000', '']","['0', '']","['0', '']","['506', '']","['54', '']","['0', '']","['353', '']","['794', '']","['160', '']","['133', '']","['0', '']"
5446,r085,"All institutions -> U. Alaska, Fairbanks",All institutions,"U. Alaska, Fairbanks",2,84,"['1,979', '']","['0', '']","['68', '']","['1,836', '']","['0', '']","['50', '']","['0', '']","['0', '']","['12', '']","['13', '']","['0', '']"
5446,r086,All institutions -> U. North Dakota,All institutions,U. North Dakota,2,85,"['1,936', '']","['0', '']","['100', '']","['44', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['1,792', '']"
5446,r087,All institutions -> U. Texas Rio Grande Valley,All institutions,U. Texas Rio Grande Valley,2,86,"['1,905', '']","['72', '']","['0', '']","['1,355', '']","['0', '']","['217', '']","['0', '']","['0', '']","['0', '']","['165', '']","['96', '']"
5446,r088,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,87,"['1,809', '']","['0', '']","['0', '']","['1,605', '']","['0', '']","['0', '']","['2', '']","['135', '']","['0', '']","['57', '']","['10', '']"
5446,r089,All institutions -> Cold Spring Harbor Laboratory,All institutions,Cold Spring Harbor Laboratory,2,88,"['1,785', '']","['0', '']","['0', '']","['1,785', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5446,r090,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,89,"['1,705', '']","['0', '']","['3', '']","['909', '']","['44', '']","['0', '']","['0', '']","['314', '']","['0', '']","['435', '']","['0', '']"
5446,r091,All institutions -> Michigan Technological U.,All institutions,Michigan Technological U.,2,90,"['1,559', '']","['0', '']","['1,551', '']","['5', '']","['0', '']","['0', '']","['0', '']","['3', '']","['0', '']","['0', '']","['0', '']"
5446,r092,"All institutions -> SUNY, C. of Environmental Science and Forestry",All institutions,"SUNY, C. of Environmental Science and Forestry",2,91,"['1,529', '']","['0', '']","['69', '']","['1,326', '']","['0', '']","['3', '']","['0', '']","['21', '']","['0', '']","['110', '']","['0', '']"
5446,r093,All institutions -> Johns Hopkins U.<sup>c</sup>,All institutions,Johns Hopkins U.<sup>c</sup>,2,92,"['1,517', '']","['21', '']","['600', '']","['403', '']","['2', '']","['0', '']","['0', '']","['0', '']","['0', '']","['491', '']","['0', '']"
5446,r094,"All institutions -> U. Oklahoma, Norman and Health Science Center",All institutions,"U. Oklahoma, Norman and Health Science Center",2,93,"['1,354', '']","['0', '']","['136', '']","['986', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['232', '']","['0', '']"
5446,r095,All institutions -> Drexel U.,All institutions,Drexel U.,2,94,"['1,336', '']","['0', '']","['0', '']","['1,172', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['164', '']","['0', '']"
5446,r096,"All institutions -> Southern Illinois U., Carbondale",All institutions,"Southern Illinois U., Carbondale",2,95,"['1,327', '']","['0', '']","['0', '']","['1,007', '']","['0', '']","['0', '']","['0', '']","['0', '']","['320', '']","['0', '']","['0', '']"
5446,r097,"All institutions -> U. Virginia, Charlottesville",All institutions,"U. Virginia, Charlottesville",2,96,"['1,292', '']","['0', '']","['33', '']","['1,168', '']","['0', '']","['0', '']","['0', '']","['81', '']","['0', '']","['0', '']","['10', '']"
5446,r098,"All institutions -> U. Texas, El Paso",All institutions,"U. Texas, El Paso",2,97,"['1,260', '']","['0', '']","['66', '']","['357', '']","['0', '']","['106', '']","['0', '']","['238', '']","['0', '']","['493', '']","['0', '']"
5446,r099,"All institutions -> U. California, Merced",All institutions,"U. California, Merced",2,98,"['1,252', '']","['0', '']","['43', '']","['299', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['833', '']","['77', '']"
5446,r100,"All institutions -> Arkansas State U., Jonesboro",All institutions,"Arkansas State U., Jonesboro",2,99,"['1,217', '']","['0', '']","['0', '']","['1,165', '']","['0', '']","['0', '']","['0', '']","['52', '']","['0', '']","['0', '']","['0', '']"
5446,r101,"All institutions -> California Polytechnic State U., San Luis Obispo",All institutions,"California Polytechnic State U., San Luis Obispo",2,100,"['1,181', '']","['0', '']","['0', '']","['822', '']","['0', '']","['0', '']","['0', '']","['329', '']","['0', '']","['0', '']","['30', '']"
5446,r102,All institutions -> Florida International U.,All institutions,Florida International U.,2,101,"['1,172', '']","['0', '']","['0', '']","['917', '']","['0', '']","['8', '']","['0', '']","['0', '']","['0', '']","['0', '']","['247', '']"
5446,r103,All institutions -> Florida State U.,All institutions,Florida State U.,2,102,"['1,160', '']","['0', '']","['419', '']","['687', '']","['0', '']","['54', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5446,r104,All institutions -> U. Southern Mississippi,All institutions,U. Southern Mississippi,2,103,"['1,158', '']","['0', '']","['28', '']","['215', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['915', '']"
5446,r105,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,104,"['1,115', '']","['0', '']","['14', '']","['967', '']","['0', '']","['0', '']","['0', '']","['134', '']","['0', '']","['0', '']","['0', '']"
5446,r106,All institutions -> U. Central Florida,All institutions,U. Central Florida,2,105,"['1,067', '']","['0', '']","['0', '']","['234', '']","['0', '']","['0', '']","['0', '']","['17', '']","['0', '']","['588', '']","['228', '']"
5446,r107,All institutions -> Western Illinois U.,All institutions,Western Illinois U.,2,106,"['957', '']","['0', '']","['0', '']","['943', '']","['0', '']","['14', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5446,r108,"All institutions -> U. California, Santa Cruz",All institutions,"U. California, Santa Cruz",2,107,"['951', '']","['0', '']","['736', '']","['154', '']","['0', '']","['0', '']","['0', '']","['49', '']","['0', '']","['0', '']","['12', '']"
5446,r109,All institutions -> Portland State U.,All institutions,Portland State U.,2,108,"['945', '']","['0', '']","['53', '']","['769', '']","['0', '']","['0', '']","['0', '']","['53', '']","['0', '']","['70', '']","['0', '']"
5446,r110,All institutions -> U. of the District of Columbia,All institutions,U. of the District of Columbia,2,109,"['879', '']","['0', '']","['0', '']","['235', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['644', '']"
5446,r111,All institutions -> Syracuse U.,All institutions,Syracuse U.,2,110,"['858', '']","['0', '']","['33', '']","['506', '']","['0', '']","['0', '']","['0', '']","['232', '']","['0', '']","['87', '']","['0', '']"
5446,r112,All institutions -> Florida Atlantic U.,All institutions,Florida Atlantic U.,2,111,"['857', '']","['0', '']","['16', '']","['675', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['166', '']","['0', '']"
5446,r113,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,112,"['856', '']","['0', '']","['0', '']","['14', '']","['0', '']","['0', '']","['0', '']","['58', '']","['0', '']","['757', '']","['27', '']"
5446,r114,All institutions -> New York U.,All institutions,New York U.,2,113,"['854', '']","['0', '']","['0', '']","['854', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5446,r115,All institutions -> U. Kansas,All institutions,U. Kansas,2,114,"['849', '']","['55', '']","['40', '']","['305', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['227', '']","['222', '']"
5446,r116,All institutions -> Boise State U.,All institutions,Boise State U.,2,115,"['831', '']","['0', '']","['63', '']","['688', '']","['0', '']","['49', '']","['0', '']","['0', '']","['0', '']","['0', '']","['31', '']"
