table_id,row_id,selected_characteristic_full_path,selected_characteristic_level_1,selected_characteristic_level_2,selected_characteristic_level_3,selected_characteristic_level_4,selected_characteristic_hierarchy_depth,field_number_of_early_career_doctorates,field_provided_appropriate_recognition_for_work_disagree,field_provided_appropriate_recognition_for_work_neither_agree_nor_disagree,field_provided_appropriate_recognition_for_work_agree,field_encouraged_collaboration_with_others_disagree,field_encouraged_collaboration_with_others_neither_agree_nor_disagree,field_encouraged_collaboration_with_others_agree,field_encouraged_increasing_independence_in_research_or_work_disagree,field_encouraged_increasing_independence_in_research_or_work_neither_agree_nor_disagree,field_encouraged_increasing_independence_in_research_or_work_agree,field_provided_opportunities_to_work_on_grant_proposals_disagree,field_provided_opportunities_to_work_on_grant_proposals_neither_agree_nor_disagree,field_provided_opportunities_to_work_on_grant_proposals_agree,field_supported_publishing_papers_or_presenting_work_disagree,field_supported_publishing_papers_or_presenting_work_neither_agree_nor_disagree,field_supported_publishing_papers_or_presenting_work_agree,field_provided_career_guidance_disagree,field_provided_career_guidance_neither_agree_nor_disagree,field_provided_career_guidance_agree,field_encouraged_work_life_balance_disagree,field_encouraged_work_life_balance_neither_agree_nor_disagree,field_encouraged_work_life_balance_agree
3813,r011,Early career doctorates with supervisors -> Citizenship and sex -> Temporary visa holder -> Male,Early career doctorates with supervisors,Citizenship and sex,Temporary visa holder,Male,4,19300,12.7,6.2,81.1,11.6,10.4,78.0,11.4,11.9,76.7,18.1,17.9,64.0,8.8,6.0,85.2,17.6,15.6,66.9,16.9,21.1,62.0
3813,r012,Early career doctorates with supervisors -> Ethnicity and race,Early career doctorates with supervisors,Ethnicity and race,,,2,,,,,,,,,,,,,,,,,,,,,,
3813,r013,Early career doctorates with supervisors -> Ethnicity and race -> Hispanic or Latino,Early career doctorates with supervisors,Ethnicity and race,Hispanic or Latino,,3,11000,13.8,12.2,74.0,14.3,19.8,65.9,12.5,20.1,67.5,20.0,25.4,54.6,10.2,9.6,80.1,18.3,21.4,60.4,19.1,23.3,57.6
3813,r014,Early career doctorates with supervisors -> Ethnicity and race -> Not Hispanic or Latino,Early career doctorates with supervisors,Ethnicity and race,Not Hispanic or Latino,,3,,,,,,,,,,,,,,,,,,,,,,
3813,r015,Early career doctorates with supervisors -> Ethnicity and race -> Not Hispanic or Latino -> Asian,Early career doctorates with supervisors,Ethnicity and race,Not Hispanic or Latino,Asian,4,31600,14.3,6.7,79.0,13.7,12.4,73.8,13.0,14.5,72.4,19.5,23.6,56.8,11.4,9.3,79.4,17.0,18.4,64.5,15.8,22.7,61.5
3813,r016,Early career doctorates with supervisors -> Ethnicity and race -> Not Hispanic or Latino -> Black or African American,Early career doctorates with supervisors,Ethnicity and race,Not Hispanic or Latino,Black or African American,4,8900,13.2,11.7,75.1,11.7,25.7,62.6,11.7,26.1,62.1,21.7,28.9,49.4,10.9,13.0,76.2,21.2,24.7,54.1,20.0,24.1,55.9
3813,r017,Early career doctorates with supervisors -> Ethnicity and race -> Not Hispanic or Latino -> White,Early career doctorates with supervisors,Ethnicity and race,Not Hispanic or Latino,White,4,100600,15.6,8.8,75.6,14.1,20.6,65.3,12.6,23.0,64.4,22.1,27.9,50.0,8.7,12.3,79.0,21.8,20.6,57.6,18.1,23.2,58.8
3813,r018,Early career doctorates with supervisors -> Ethnicity and race -> Not Hispanic or Latino -> Other race and ethnicity,Early career doctorates with supervisors,Ethnicity and race,Not Hispanic or Latino,Other race and ethnicity,4,3800,16.2,12.5,71.3,16.8,17.6,65.7,15.1,25.7,59.2,27.9,26.9,45.3,12.9,9.9,77.2,25.6,17.5,56.8,24.4,19.2,56.4
3813,r019,Early career doctorates with supervisors -> Age quartile,Early career doctorates with supervisors,Age quartile,,,2,,,,,,,,,,,,,,,,,,,,,,
3813,r020,Early career doctorates with supervisors -> Age quartile -> 32 years and under,Early career doctorates with supervisors,Age quartile,32 years and under,,3,34000,12.4,7.2,80.4,11.4,10.9,77.7,9.4,14.0,76.7,19.2,23.0,57.9,7.4,6.1,86.5,17.2,13.0,69.8,18.0,17.8,64.2
3813,r021,Early career doctorates with supervisors -> Age quartile -> 33&#8211;35 year,Early career doctorates with supervisors,Age quartile,33&#8211;35 year,,3,40800,14.5,7.4,78.1,13.3,18.4,68.3,12.2,20.0,67.9,20.1,24.5,55.4,8.0,10.5,81.5,19.1,18.3,62.5,17.4,22.1,60.4
3813,r022,Early career doctorates with supervisors -> Age quartile -> 36&#8211;40 years,Early career doctorates with supervisors,Age quartile,36&#8211;40 years,,3,32800,15.1,9.3,75.6,12.6,20.8,66.6,12.6,22.3,65.0,19.3,27.9,52.8,9.3,10.8,79.8,20.9,21.4,57.8,16.1,24.0,59.9
3813,r023,Early career doctorates with supervisors -> Age quartile -> 41 years or older,Early career doctorates with supervisors,Age quartile,41 years or older,,3,48300,17.5,11.0,71.5,17.3,24.3,58.5,15.5,27.0,57.5,25.9,31.0,43.1,12.6,16.4,71.0,24.2,26.5,49.2,19.6,26.8,53.6
3813,r024,Early career doctorates with supervisors -> Marital status,Early career doctorates with supervisors,Marital status,,,2,,,,,,,,,,,,,,,,,,,,,,
3813,r025,Early career doctorates with supervisors -> Marital status -> Never married,Early career doctorates with supervisors,Marital status,Never married,,3,25400,15.9,9.1,75.0,14.4,17.7,67.9,13.0,18.9,68.1,22.4,26.2,51.5,8.6,9.0,82.4,20.4,15.9,63.7,20.8,24.5,54.7
3813,r026,Early career doctorates with supervisors -> Marital status -> Married,Early career doctorates with supervisors,Marital status,Married,,3,112300,14.4,8.7,76.9,13.3,19.1,67.7,12.0,21.5,66.5,20.6,26.9,52.5,9.4,11.8,78.8,19.8,21.1,59.1,16.6,22.5,60.8
3813,r027,Early career doctorates with supervisors -> Marital status -> Marriage-like relationship,Early career doctorates with supervisors,Marital status,Marriage-like relationship,,3,9100,18.8,7.8,73.4,18.9,14.3,66.8,16.7,18.2,65.2,27.1,23.8,49.2,9.4,10.5,80.1,29.2,17.4,53.5,23.5,19.9,56.6
3813,r028,"Early career doctorates with supervisors -> Marital status -> Separated, divorced, widowed",Early career doctorates with supervisors,Marital status,"Separated, divorced, widowed",,3,8900,17.5,11.6,70.9,16.5,28.1,55.4,16.4,29.1,54.5,25.6,32.2,42.2,15.2,15.2,69.6,23.9,27.3,48.8,20.7,28.3,51.0
3813,r029,Early career doctorates with supervisors -> Dependents,Early career doctorates with supervisors,Dependents,,,2,,,,,,,,,,,,,,,,,,,,,,
3813,r030,Early career doctorates with supervisors -> Dependents -> With dependents,Early career doctorates with supervisors,Dependents,With dependents,,3,79100,14.4,9.2,76.4,13.3,20.5,66.2,13.1,21.5,65.4,20.3,27.7,52.1,9.5,11.8,78.7,19.8,21.4,58.7,15.4,22.3,62.3
3813,r031,Early career doctorates with supervisors -> Dependents -> Without dependents,Early career doctorates with supervisors,Dependents,Without dependents,,3,76700,15.8,8.5,75.7,14.6,17.6,67.7,12.3,21.1,66.6,22.8,26.1,51.1,9.7,11.1,79.3,21.5,19.3,59.2,20.6,23.8,55.6
3813,r032,Early career doctorates with supervisors -> Disability status,Early career doctorates with supervisors,Disability status,,,2,,,,,,,,,,,,,,,,,,,,,,
3813,r033,Early career doctorates with supervisors -> Disability status -> With disability,Early career doctorates with supervisors,Disability status,With disability,,3,44100,16.6,10.2,73.2,15.3,22.4,62.3,13.4,23.4,63.2,22.8,29.4,47.8,10.1,13.0,76.9,21.8,22.6,55.6,20.4,24.5,55.1
3813,r034,Early career doctorates with supervisors -> Disability status -> Without disability,Early career doctorates with supervisors,Disability status,Without disability,,3,111800,14.5,8.3,77.2,13.4,17.8,68.8,12.4,20.5,67.1,21.0,25.9,53.1,9.4,10.8,79.8,20.2,19.5,60.3,17.0,22.5,60.6
