table_id,row_id,primary_source_of_support_and_sex_full_path,primary_source_of_support_and_sex_level_1,primary_source_of_support_and_sex_level_2,primary_source_of_support_and_sex_level_3,primary_source_of_support_and_sex_level_4,primary_source_of_support_and_sex_level_5,primary_source_of_support_and_sex_hierarchy_depth,field_all_s_e,field_science_all_science,field_science_agricultural_sciences,field_science_biological_sciences,field_science_computer_sciences,field_science_earth_atmospheric_and_ocean_sciences,field_science_mathematics_and_statistics,field_science_physical_sciences,field_science_psychology,field_science_social_sciences,field_engineering
1351,r028,"All recipients (number)<sup>a</sup> -> Female (number) -> All sources -> Fellowship, scholarship, or grant",All recipients (number)<sup>a</sup>,Female (number),All sources,"Fellowship, scholarship, or grant",,4,33.4,32.6,27.8,48.7,27.8,37.6,19.2,28.2,17.2,27.6,41.4
1351,r029,"All recipients (number)<sup>a</sup> -> Female (number) -> All sources -> Fellowship, scholarship, or grant -> Fellowship or scholarship",All recipients (number)<sup>a</sup>,Female (number),All sources,"Fellowship, scholarship, or grant",Fellowship or scholarship,5,26.2,25.4,21.6,33.1,24.3,30.2,17.5,22.5,15.2,26.6,34.1
1351,r030,"All recipients (number)<sup>a</sup> -> Female (number) -> All sources -> Fellowship, scholarship, or grant -> Grant<sup>b</sup>",All recipients (number)<sup>a</sup>,Female (number),All sources,"Fellowship, scholarship, or grant",Grant<sup>b</sup>,5,7.2,7.2,6.2,15.6,3.4,7.4,1.8,5.7,2.1,1.0,7.3
1351,r031,All recipients (number)<sup>a</sup> -> Female (number) -> All sources -> Employer reimbursement or assistance,All recipients (number)<sup>a</sup>,Female (number),All sources,Employer reimbursement or assistance,,4,2.1,1.9,4.6,1.8,5.4,1.7,2.3,0.9,0.9,2.9,3.3
1351,r032,"All recipients (number)<sup>a</sup> -> Female (number) -> All sources -> Other, foreign, or unknown source of support",All recipients (number)<sup>a</sup>,Female (number),All sources,"Other, foreign, or unknown source of support",,4,6.5,6.5,7.2,4.5,7.2,4.1,6.8,5.0,10.8,5.5,6.9
1351,r033,All recipients (number)<sup>a</sup> -> Male (number),All recipients (number)<sup>a</sup>,Male (number),,,,2,62551,47342,1801,14029,3269,1792,3341,9712,4507,8891,15209
1351,r034,All recipients (number)<sup>a</sup> -> Male (number) -> All sources,All recipients (number)<sup>a</sup>,Male (number),All sources,,,3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1351,r035,All recipients (number)<sup>a</sup> -> Male (number) -> All sources -> Personal or family funds,All recipients (number)<sup>a</sup>,Male (number),All sources,Personal or family funds,,4,9.9,10.9,12.0,5.2,13.1,6.6,5.0,3.3,28.0,21.4,6.7
1351,r036,All recipients (number)<sup>a</sup> -> Male (number) -> All sources -> Personal or family funds -> Loans,All recipients (number)<sup>a</sup>,Male (number),All sources,Personal or family funds,Loans,5,4.0,4.8,4.1,1.6,3.7,1.8,1.5,1.0,18.7,9.4,1.7
1351,r037,All recipients (number)<sup>a</sup> -> Male (number) -> All sources -> Personal or family funds -> Savings,All recipients (number)<sup>a</sup>,Male (number),All sources,Personal or family funds,Savings,5,1.2,1.1,1.6,0.6,2.3,0.9,0.7,0.3,1.5,2.4,1.2
1351,r038,All recipients (number)<sup>a</sup> -> Male (number) -> All sources -> Personal or family funds -> Other earnings in graduate school,All recipients (number)<sup>a</sup>,Male (number),All sources,Personal or family funds,Other earnings in graduate school,5,2.8,2.9,4.2,1.4,5.8,2.9,1.6,0.8,3.6,6.3,2.7
1351,r039,All recipients (number)<sup>a</sup> -> Male (number) -> All sources -> Personal or family funds -> Other family earnings or savings,All recipients (number)<sup>a</sup>,Male (number),All sources,Personal or family funds,Other family earnings or savings,5,1.8,2.0,2.2,1.6,1.2,1.0,1.2,1.2,4.2,3.3,1.1
1351,r040,All recipients (number)<sup>a</sup> -> Male (number) -> All sources -> Teaching assistantship,All recipients (number)<sup>a</sup>,Male (number),All sources,Teaching assistantship,,4,16.8,20.3,8.4,11.1,8.3,14.6,54.0,20.0,23.2,29.2,5.8
1351,r041,"All recipients (number)<sup>a</sup> -> Male (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>a</sup>,Male (number),All sources,"Research assistantship, traineeship, or internship",,4,33.0,29.3,41.6,28.3,43.9,42.3,12.9,47.9,17.6,12.4,44.6
1351,r042,"All recipients (number)<sup>a</sup> -> Male (number) -> All sources -> Research assistantship, traineeship, or internship -> Research assistantship",All recipients (number)<sup>a</sup>,Male (number),All sources,"Research assistantship, traineeship, or internship",Research assistantship,5,31.0,27.0,40.5,23.7,42.6,41.4,12.1,47.1,14.0,11.3,43.5
1351,r043,"All recipients (number)<sup>a</sup> -> Male (number) -> All sources -> Research assistantship, traineeship, or internship -> Traineeship, internship or clinical residency, other assistantship",All recipients (number)<sup>a</sup>,Male (number),All sources,"Research assistantship, traineeship, or internship","Traineeship, internship or clinical residency, other assistantship",5,2.0,2.3,1.1,4.6,1.3,0.9,0.8,0.8,3.6,1.1,1.1
1351,r044,"All recipients (number)<sup>a</sup> -> Male (number) -> All sources -> Fellowship, scholarship, or grant",All recipients (number)<sup>a</sup>,Male (number),All sources,"Fellowship, scholarship, or grant",,4,29.9,30.5,23.1,48.4,20.8,28.6,19.5,21.9,18.4,27.3,28.2
1351,r045,"All recipients (number)<sup>a</sup> -> Male (number) -> All sources -> Fellowship, scholarship, or grant -> Fellowship or scholarship",All recipients (number)<sup>a</sup>,Male (number),All sources,"Fellowship, scholarship, or grant",Fellowship or scholarship,5,22.8,23.1,16.8,32.2,16.4,21.0,17.8,15.8,16.1,26.6,21.7
1351,r046,"All recipients (number)<sup>a</sup> -> Male (number) -> All sources -> Fellowship, scholarship, or grant -> Grant<sup>b</sup>",All recipients (number)<sup>a</sup>,Male (number),All sources,"Fellowship, scholarship, or grant",Grant<sup>b</sup>,5,7.2,7.4,6.3,16.2,4.3,7.6,1.8,6.1,2.3,0.7,6.6
1351,r047,All recipients (number)<sup>a</sup> -> Male (number) -> All sources -> Employer reimbursement or assistance,All recipients (number)<sup>a</sup>,Male (number),All sources,Employer reimbursement or assistance,,4,3.7,2.6,7.0,1.7,7.4,3.0,1.9,1.3,1.9,3.5,7.1
1351,r048,"All recipients (number)<sup>a</sup> -> Male (number) -> All sources -> Other, foreign, or unknown source of support",All recipients (number)<sup>a</sup>,Male (number),All sources,"Other, foreign, or unknown source of support",,4,6.6,6.3,7.8,5.3,6.6,4.9,6.7,5.6,10.8,6.2,7.6
