table_id,row_id,country_or_economy_full_path,country_or_economy_level_1,country_or_economy_level_2,country_or_economy_level_3,country_or_economy_hierarchy_depth,field_rank,field_doctorate_recipients
1758,r024,All temporary visa holders (162 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Vietnam ,All temporary visa holders (162 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Vietnam ,3,22,122
1758,r025,All temporary visa holders (162 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Iraq,All temporary visa holders (162 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Iraq,3,23,121
1758,r026,All temporary visa holders (162 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Japan ,All temporary visa holders (162 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Japan ,3,24,117
1758,r027,All temporary visa holders (162 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Greece,All temporary visa holders (162 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Greece,3,25,113
1758,r028,All temporary visa holders (162 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Pakistan,All temporary visa holders (162 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Pakistan,3,26,110
1758,r029,All temporary visa holders (162 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> United Kingdom,All temporary visa holders (162 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,United Kingdom,3,27,109
1758,r030,All temporary visa holders (162 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Spain ,All temporary visa holders (162 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Spain ,3,28,104
1758,r031,All temporary visa holders (162 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Ghana ,All temporary visa holders (162 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Ghana ,3,29,103
1758,r032,All temporary visa holders (162 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Chile ,All temporary visa holders (162 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Chile ,3,30,91
1758,r033,All temporary visa holders (162 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Malaysia ,All temporary visa holders (162 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Malaysia ,3,31,84
1758,r034,All temporary visa holders (162 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Indonesia ,All temporary visa holders (162 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Indonesia ,3,32,82
1758,r035,All temporary visa holders (162 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Singapore,All temporary visa holders (162 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Singapore,3,33,81
1758,r036,All temporary visa holders (162 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Jordan ,All temporary visa holders (162 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Jordan ,3,34,76
1758,r037,All temporary visa holders (162 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Israel ,All temporary visa holders (162 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Israel ,3,35,64
1758,r038,All temporary visa holders (162 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Argentina ,All temporary visa holders (162 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Argentina ,3,36,60
1758,r039,All temporary visa holders (162 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Philippines ,All temporary visa holders (162 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Philippines ,3,37,56
1758,r040,All temporary visa holders (162 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Libya,All temporary visa holders (162 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Libya,3,38,55
1758,r041,All temporary visa holders (162 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Lebanon,All temporary visa holders (162 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Lebanon,3,39,51
1758,r042,All temporary visa holders (162 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Kenya ,All temporary visa holders (162 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Kenya ,3,40,50
