table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_hierarchy_depth,field_all_other_fieldsa,field_business_management_and_administration,field_communication,field_non_s_e_fields_nec
1004,r024,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Citizenship (%),All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Citizenship (%),,3,,,,
1004,r025,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Citizenship (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Citizenship (%),U.S. citizen or permanent resident,4,58.0,53.8,74.7,58.9
1004,r026,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Citizenship (%) -> Temporary visa holder,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Citizenship (%),Temporary visa holder,4,35.7,41.1,20.2,31.5
1004,r027,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Citizenship (%) -> Unknown,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Citizenship (%),Unknown,4,6.2,5.1,5.1,9.6
1004,r028,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Marital status (%),All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Marital status (%),,3,,,,
1004,r029,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Marital status (%),Never married,4,21.0,21.5,23.2,18.6
1004,r030,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Married,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Marital status (%),Married,4,56.9,59.6,52.0,53.2
1004,r031,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Marital status (%),Marriage-like relationship,4,5.1,3.5,,
1004,r032,"All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Marital status (%),"Separated, divorced, widowed",4,3.0,2.6,,
1004,r033,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Marital status (%),Unknown,4,14.0,12.8,12.6,17.7
1004,r034,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Bachelor's in same field as doctorate (%)<sup>c</sup>,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Bachelor's in same field as doctorate (%)<sup>c</sup>,,3,35.0,37.5,38.9,27.0
1004,r035,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Master's earned (%),All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Master's earned (%),,3,81.4,81.0,86.9,79.4
1004,r036,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Age at doctorate (median years),All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Age at doctorate (median years),,3,35.0,34.9,34.7,35.9
1004,r037,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years),All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Time to doctorate (median years),,3,,,,
1004,r038,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> From bachelor's,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Time to doctorate (median years),From bachelor's,4,11.3,11.0,11.1,12.1
1004,r039,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Time to doctorate (median years),From graduate school start,4,9.0,8.8,8.1,10.3
1004,r040,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> From doctoral program start<sup>d</sup>,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Time to doctorate (median years),From doctoral program start<sup>d</sup>,4,5.4,5.0,5.9,6.0
1004,r041,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number),All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),,,2,1713,675,428,610
1004,r042,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Citizenship (%),All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Citizenship (%),,3,,,,
1004,r043,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Citizenship (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Citizenship (%),U.S. citizen or permanent resident,4,64.7,55.6,73.6,68.7
1004,r044,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Citizenship (%) -> Temporary visa holder,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Citizenship (%),Temporary visa holder,4,25.0,33.8,18.9,19.5
1004,r045,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Citizenship (%) -> Unknown,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Citizenship (%),Unknown,4,10.3,10.7,7.5,11.8
1004,r046,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Marital status (%),All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Marital status (%),,3,,,,
1004,r047,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Marital status (%),Never married,4,22.3,22.7,28.3,17.7
1004,r048,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Married,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Marital status (%),Married,4,46.8,48.0,42.3,48.7
1004,r049,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Marital status (%),Marriage-like relationship,4,5.9,3.9,,
1004,r050,"All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Marital status (%),"Separated, divorced, widowed",4,6.3,5.5,,
1004,r051,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Marital status (%),Unknown,4,18.7,20.0,15.9,19.2
1004,r052,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Bachelor's in same field as doctorate (%)<sup>c</sup>,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Bachelor's in same field as doctorate (%)<sup>c</sup>,,3,34.9,37.0,42.8,26.9
1004,r053,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Master's earned (%),All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Master's earned (%),,3,82.2,78.2,85.5,84.3
1004,r054,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Age at doctorate (median years),All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Age at doctorate (median years),,3,34.4,33.6,33.6,36.2
1004,r055,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years),All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Time to doctorate (median years),,3,,,,
1004,r056,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years) -> From bachelor's,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Time to doctorate (median years),From bachelor's,4,11.6,11.2,11.0,13.0
1004,r057,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Time to doctorate (median years),From graduate school start,4,9.5,8.9,8.8,10.6
1004,r058,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years) -> From doctoral program start<sup>d</sup>,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Time to doctorate (median years),From doctoral program start<sup>d</sup>,4,6.0,5.5,6.3,7.0
