table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022,field_2023
12727,r011,All institutions -> Stanford U.,All institutions,Stanford U.,2,10,"['810,300', '']","['868,393', '']","['854,580', '']","['900,547', '']","['912,244', '']","['969,643', '']","['1,012,351', '']","['1,055,418', '']","['1,106,314', '']","['1,158,689', '']","['1,159,809', '']","['1,230,009', '']","['1,339,958', '']","['1,489,131', '']"
12727,r012,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,11,"['746,828', '']","['846,499', '']","['864,748', '']","['942,467', '']","['955,601', '']","['939,252', '']","['1,013,128', '']","['1,061,535', '']","['1,094,063', '']","['1,113,654', '']","['1,115,776', '']","['1,160,524', '']","['1,304,611', '']","['1,476,168', '']"
12727,r013,All institutions -> Cornell U.,All institutions,Cornell U.,2,12,"['747,199', '']","['779,809', '']","['799,794', '']","['841,224', '']","['874,727', '']","['946,419', '']","['956,184', '']","['963,166', '']","['1,033,740', '']","['1,103,810', '']","['1,147,119', '']","['1,143,319', '']","['1,250,601', '']","['1,392,924', '']"
12727,r014,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,13,"['806,014', '']","['880,425', '']","['839,793', '']","['846,556', '']","['835,838', '']","['852,333', '']","['880,508', '']","['930,198', '']","['995,762', '']","['1,068,746', '']","['1,092,847', '']","['1,124,822', '']","['1,241,506', '']","['1,387,873', '']"
12727,r015,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,14,"['719,574', '']","['794,023', '']","['720,082', '']","['743,321', '']","['752,836', '']","['745,238', '']","['751,293', '']","['804,699', '']","['818,428', '']","['876,402', '']","['914,199', '']","['1,176,605', '']","['1,289,443', '']","['1,377,779', '']"
12727,r016,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,15,"['611,226', '']","['650,588', '']","['683,894', '']","['726,377', '']","['720,248', '']","['757,116', '']","['780,118', '']","['785,603', '']","['859,009', '']","['931,076', '']","['1,017,808', '']","['1,086,161', '']","['1,208,017', '']","['1,377,515', '']"
12727,r017,All institutions -> New York U.,All institutions,New York U.,2,16,"['343,762', '']","['402,327', '']","['425,043', '']","['435,095', '']","['490,614', '']","['505,071', '']","['751,393', '']","['822,329', '']","['801,961', '']","['845,249', '']","['858,190', '']","['986,894', '']","['1,160,923', '']","['1,333,400', '']"
12727,r018,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,17,"['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['1,047,276', '']","['1,047,911', '']","['1,087,629', '']","['1,165,409', '']","['1,314,997', '']"
12727,r019,All institutions -> Yale U.,All institutions,Yale U.,2,18,"['621,125', '']","['654,259', '']","['654,824', '']","['787,609', '']","['764,002', '']","['792,953', '']","['865,970', '']","['930,569', '']","['972,856', '']","['1,056,640', '']","['1,079,696', '']","['1,147,777', '']","['1,182,633', '']","['1,311,353', '']"
12727,r020,All institutions -> Harvard U.,All institutions,Harvard U.,2,19,"['561,703', '']","['623,116', '']","['753,973', '']","['910,569', '']","['875,964', '']","['955,246', '']","['1,011,950', '']","['1,032,590', '']","['1,066,612', '']","['1,129,158', '']","['1,116,344', '']","['1,144,925', '']","['1,197,301', '']","['1,297,039', '']"
12727,r021,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,20,"['770,888', '']","['841,173', '']","['847,809', '']","['845,847', '']","['844,766', '']","['826,010', '']","['793,710', '']","['848,733', '']","['908,771', '']","['965,696', '']","['981,906', '']","['1,043,130', '']","['1,168,337', '']","['1,279,144', '']"
12727,r022,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,21,"['764,916', '']","['824,489', '']","['806,832', '']","['834,181', '']","['850,880', '']","['844,016', '']","['872,514', '']","['881,286', '']","['915,798', '']","['970,212', '']","['999,314', '']","['1,034,743', '']","['1,159,697', '']","['1,268,198', '']"
12727,r023,All institutions -> U. Texas M. D. Anderson Cancer Center,All institutions,U. Texas M. D. Anderson Cancer Center,2,22,"['599,529', '']","['663,279', '']","['685,814', '']","['718,096', '']","['794,980', '']","['833,406', '']","['852,095', '']","['888,029', '']","['929,710', '']","['969,496', '']","['1,051,297', '']","['1,124,971', '']","['1,182,536', '']","['1,255,190', '']"
12727,r024,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,23,"['666,516', '']","['682,553', '']","['669,968', '']","['796,101', '']","['826,152', '']","['836,250', '']","['859,952', '']","['869,100', '']","['882,191', '']","['911,375', '']","['1,089,944', '']","['1,108,197', '']","['1,096,371', '']","['1,212,809', '']"
12727,r025,All institutions -> U. Florida,All institutions,U. Florida,2,24,"['636,607', '']","['686,048', '']","['649,988', '']","['642,502', '']","['652,341', '']","['699,750', '']","['741,945', '']","['766,469', '']","['831,362', '']","['880,771', '']","['889,677', '']","['919,504', '']","['1,040,885', '']","['1,197,363', '']"
12727,r026,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,25,"['762,041', '']","['776,945', '']","['783,894', '']","['825,011', '']","['785,705', '']","['774,384', '']","['809,985', '']","['826,683', '']","['885,661', '']","['924,031', '']","['970,457', '']","['936,007', '']","['982,289', '']","['1,162,431', '']"
12727,r027,All institutions -> Vanderbilt U. and Vanderbilt U. Medical Center,All institutions,Vanderbilt U. and Vanderbilt U. Medical Center,2,26,"['478,345', '']","['534,806', '']","['533,878', '']","['548,086', '']","['659,418', '']","['619,866', '']","['612,351', '']","['681,286', '']","['702,128', '']","['730,378', '']","['774,717', '']","['968,571', '']","['1,008,824', '']","['1,147,280', '']"
12727,r028,"All institutions -> Washington U., Saint Louis",All institutions,"Washington U., Saint Louis",2,27,"['693,749', '']","['707,404', '']","['689,035', '']","['665,484', '']","['646,756', '']","['680,150', '']","['726,622', '']","['740,005', '']","['797,267', '']","['866,478', '']","['894,681', '']","['960,656', '']","['1,016,233', '']","['1,133,032', '']"
12727,r029,All institutions -> U. Southern California,All institutions,U. Southern California,2,28,"['574,366', '']","['579,717', '']","['593,003', '']","['610,382', '']","['650,506', '']","['650,457', '']","['662,029', '']","['725,528', '']","['854,673', '']","['869,142', '']","['899,507', '']","['915,525', '']","['978,728', '']","['1,080,317', '']"
12727,r030,All institutions -> Emory U.,All institutions,Emory U.,2,29,"['498,309', '']","['479,678', 'i']","['474,537', '']","['493,734', '']","['551,556', 'i']","['574,472', '']","['597,971', '']","['646,146', '']","['693,172', '']","['773,843', '']","['780,693', '']","['842,940', '']","['938,203', '']","['1,076,968', '']"
12727,r031,All institutions -> Northwestern U.,All institutions,Northwestern U.,2,30,"['554,228', '']","['595,202', '']","['602,451', '']","['612,009', '']","['621,504', '']","['627,320', '']","['684,767', '']","['724,060', '']","['776,458', '']","['827,607', '']","['847,679', '']","['888,101', '']","['968,460', '']","['1,074,978', '']"
12727,r032,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,31,"['659,572', '']","['670,926', '']","['696,904', '']","['690,299', '']","['708,485', '']","['748,139', '']","['734,486', '']","['724,817', '']","['747,690', '']","['751,584', '']","['796,303', '']","['794,847', '']","['906,277', '']","['989,192', '']"
12727,r033,All institutions -> Icahn School of Medicine at Mount Sinai,All institutions,Icahn School of Medicine at Mount Sinai,2,32,"['370,666', '']","['405,527', '']","['400,680', '']","['428,654', '']","['463,429', '']","['508,353', '']","['540,296', '']","['575,448', '']","['640,141', '']","['722,241', '']","['747,014', '']","['820,260', '']","['893,968', '']","['972,476', '']"
12727,r034,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,33,"['646,222', '']","['693,714', '']","['770,367', '']","['833,884', '']","['815,008', '']","['858,917', '']","['880,111', '']","['878,964', '']","['893,508', '']","['940,079', '']","['926,053', '']","['896,339', '']","['940,291', '']","['950,099', '']"
12727,r035,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,34,"['669,282', '']","['698,193', '']","['704,999', '']","['715,870', '']","['699,689', '']","['706,087', '']","['726,070', '']","['726,469', '']","['774,775', '']","['791,184', '']","['804,674', '']","['805,386', '']","['870,660', '']","['946,501', '']"
12727,r036,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,35,"['531,412', '']","['558,377', '']","['549,312', '']","['572,959', '']","['526,173', '']","['551,654', '']","['565,708', '']","['598,597', '']","['617,567', '']","['619,929', '']","['726,915', '']","['709,163', '']","['780,041', '']","['939,669', '']"
12727,r037,All institutions -> U. Arizona,All institutions,U. Arizona,2,36,"['577,958', '']","['597,988', '']","['615,434', '']","['616,487', '']","['575,864', '']","['592,874', '']","['592,412', '']","['609,965', '']","['672,038', '']","['715,290', '']","['743,233', '']","['741,376', '']","['794,268', '']","['920,973', '']"
12727,r038,All institutions -> Baylor C. of Medicine,All institutions,Baylor C. of Medicine,2,37,"['447,874', '']","['466,061', '']","['474,700', '']","['508,799', '']","['496,314', '']","['520,220', '']","['572,527', '']","['604,952', '']","['623,396', '']","['651,920', '']","['685,641', '']","['716,976', '']","['827,005', '']","['847,305', '']"
12727,r039,"All institutions -> Indiana U., Bloomington",All institutions,"Indiana U., Bloomington",2,38,"['156,996', '']","['160,038', '']","['151,240', '']","['173,464', '']","['172,380', '']","['451,508', '']","['471,055', '']","['507,553', '']","['534,811', '']","['630,449', '']","['676,116', '']","['659,073', '']","['712,423', '']","['810,419', '']"
12727,r040,All institutions -> U. Texas Southwestern Medical Center,All institutions,U. Texas Southwestern Medical Center,2,39,"['419,220', '']","['431,883', '']","['435,085', '']","['440,620', '']","['434,627', '']","['438,824', '']","['442,666', '']","['461,797', '']","['474,260', '']","['496,697', '']","['595,939', '']","['632,134', '']","['719,002', '']","['800,391', '']"
12727,r041,"All institutions -> Rutgers, State U. New Jersey, New Brunswick",All institutions,"Rutgers, State U. New Jersey, New Brunswick",2,40,"['407,170', '']","['415,502', '']","['420,737', '']","['474,192', '']","['627,076', '']","['607,257', '']","['610,648', '']","['633,789', '']","['666,368', '']","['621,194', '']","['661,656', '']","['615,280', '']","['682,102', '']","['793,416', '']"
12727,r042,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,41,"['399,358', '']","['423,766', '']","['471,620', '']","['479,145', '']","['492,501', '']","['519,994', '']","['573,204', '']","['653,611', '']","['673,959', '']","['682,018', '']","['674,384', '']","['672,904', '']","['719,859', '']","['788,407', '']"
12727,r043,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,42,"['493,386', '']","['522,769', '']","['558,022', '']","['721,587', '']","['598,531', '']","['614,011', '']","['587,264', '']","['602,641', '']","['609,984', '']","['640,880', '']","['658,561', '']","['695,919', '']","['727,068', '']","['774,185', '']"
12727,r044,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,43,"['477,145', '']","['520,001', '']","['528,140', '']","['528,564', '']","['502,457', '']","['498,887', '']","['517,879', '']","['533,598', '']","['535,826', '']","['598,411', '']","['638,715', '']","['623,530', '']","['691,359', '']","['772,289', '']"
12727,r045,"All institutions -> U. Alabama, Birmingham",All institutions,"U. Alabama, Birmingham",2,44,"['483,862', '']","['497,680', '']","['449,108', '']","['434,882', '']","['421,475', '']","['509,586', '']","['531,492', '']","['553,651', '']","['575,060', '']","['595,361', '']","['608,545', '']","['636,451', '']","['701,768', '']","['769,258', '']"
12727,r046,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,45,"['296,458', '']","['323,567', '']","['344,611', '']","['367,277', '']","['380,581', '']","['403,708', '']","['441,411', '']","['484,315', '']","['559,391', '']","['572,588', '']","['594,927', '']","['595,651', '']","['668,826', '']","['740,538', '']"
12727,r047,All institutions -> Boston U.,All institutions,Boston U.,2,46,"['344,687', '']","['348,593', '']","['330,247', '']","['359,312', '']","['353,850', '']","['372,267', '']","['379,117', '']","['398,754', '']","['435,864', '']","['508,813', '']","['554,084', '']","['625,491', '']","['690,805', '']","['726,464', '']"
12727,r048,All institutions -> U. Colorado Anschutz Medical Campus<sup>c</sup>,All institutions,U. Colorado Anschutz Medical Campus<sup>c</sup>,2,47,"['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['561,527', '']","['609,216', '']","['679,578', '']"
12727,r049,All institutions -> U. Cincinnati,All institutions,U. Cincinnati,2,48,"['393,518', '']","['419,456', '']","['408,294', '']","['414,738', '']","['399,571', '']","['408,412', '']","['401,701', '']","['427,236', '']","['464,289', '']","['513,397', '']","['511,252', '']","['530,944', '']","['591,320', '']","['667,209', '']"
12727,r050,All institutions -> U. Utah,All institutions,U. Utah,2,49,"['375,420', '']","['410,392', '']","['425,558', '']","['486,245', '']","['476,017', '']","['509,409', '']","['322,670', '']","['318,956', '']","['534,208', 'i']","['548,714', 'i']","['577,238', 'i']","['597,318', 'i']","['552,484', '']","['625,984', '']"
12727,r051,All institutions -> U. Iowa,All institutions,U. Iowa,2,50,"['435,118', '']","['433,088', '']","['432,980', '']","['423,097', '']","['436,852', '']","['423,528', '']","['447,718', '']","['466,462', '']","['484,253', '']","['483,809', '']","['510,793', '']","['522,141', '']","['560,653', '']","['625,846', '']"
12727,r052,"All institutions -> U. Virginia, Charlottesville",All institutions,"U. Virginia, Charlottesville",2,51,"['271,843', '']","['377,757', '']","['363,569', '']","['366,103', '']","['337,732', '']","['339,813', '']","['367,926', '']","['431,793', '']","['490,902', '']","['547,179', '']","['584,678', '']","['551,703', '']","['592,325', '']","['618,586', '']"
12727,r053,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,52,"['335,983', '']","['372,034', '']","['373,512', '']","['369,663', '']","['362,882', '']","['403,654', '']","['433,850', '']","['474,496', '']","['488,883', '']","['486,073', '']","['496,549', '']","['519,045', '']","['574,814', '']","['616,498', '']"
12727,r054,All institutions -> North Carolina State U.,All institutions,North Carolina State U.,2,53,"['357,802', '']","['374,446', '']","['400,046', '']","['413,524', '']","['440,392', '']","['462,347', '']","['479,039', '']","['488,974', '']","['497,851', '']","['523,124', '']","['528,089', '']","['529,307', '']","['567,750', '']","['616,381', '']"
12727,r055,All institutions -> U. Chicago,All institutions,U. Chicago,2,54,"['432,943', '']","['446,512', '']","['411,864', '']","['389,900', '']","['378,322', '']","['402,777', '']","['402,491', '']","['419,996', '']","['412,791', '']","['448,263', '']","['448,404', '']","['489,005', '']","['578,354', '']","['615,859', '']"
12727,r056,"All institutions -> U. Nebraska, Lincoln and Medical Center<sup>d</sup>",All institutions,"U. Nebraska, Lincoln and Medical Center<sup>d</sup>",2,55,"['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['577,079', '']"
12727,r057,All institutions -> Virginia Polytechnic Institute and State U.,All institutions,Virginia Polytechnic Institute and State U.,2,56,"['393,888', '']","['445,302', '']","['448,054', '']","['487,121', '']","['502,486', '']","['495,502', '']","['512,333', '']","['511,340', '']","['520,575', '']","['532,154', '']","['546,172', '']","['531,482', '']","['573,228', '']","['573,516', '']"
12727,r058,"All institutions -> U. California, Irvine",All institutions,"U. California, Irvine",2,57,"['311,105', '']","['328,870', '']","['335,874', '']","['329,500', '']","['322,315', '']","['313,798', '']","['325,582', '']","['339,309', '']","['399,295', '']","['422,781', '']","['456,453', '']","['487,480', '']","['503,202', '']","['572,793', '']"
12727,r059,All institutions -> Case Western Reserve U.,All institutions,Case Western Reserve U.,2,58,"['417,805', '']","['428,206', '']","['430,246', '']","['422,041', '']","['417,436', '']","['400,167', '']","['403,827', '']","['406,196', '']","['430,379', '']","['435,852', '']","['437,725', '']","['419,933', '']","['466,233', '']","['549,317', '']"
12727,r060,All institutions -> Oregon Health and Science U.,All institutions,Oregon Health and Science U.,2,59,"['314,990', '']","['334,324', '']","['305,360', '']","['307,134', '']","['313,112', '']","['325,268', '']","['329,414', '']","['346,710', '']","['372,148', '']","['415,629', '']","['446,826', '']","['452,798', '']","['479,094', '']","['517,742', '']"
12727,r061,All institutions -> U. Miami,All institutions,U. Miami,2,60,"['278,664', '']","['321,830', '']","['361,772', '']","['338,568', '']","['342,852', '']","['328,082', '']","['355,690', '']","['365,310', '']","['355,132', '']","['358,621', '']","['380,470', '']","['375,130', '']","['434,763', '']","['501,252', '']"
12727,r062,All institutions -> U. Georgia,All institutions,U. Georgia,2,61,"['274,380', '']","['300,388', '']","['311,498', '']","['308,486', '']","['313,445', '']","['330,273', '']","['360,520', '']","['403,575', '']","['390,773', '']","['414,909', '']","['419,656', '']","['429,421', '']","['474,974', '']","['497,285', '']"
12727,r063,All institutions -> Uniformed Services U. of the Health Sciences,All institutions,Uniformed Services U. of the Health Sciences,2,62,"['134,126', '']","['175,365', '']","['143,250', '']","['164,232', '']","['262,489', '']","['361,173', '']","['256,203', '']","['298,370', '']","['308,326', '']","['417,300', '']","['324,510', '']","['384,490', '']","['277,240', '']","['496,441', '']"
12727,r064,All institutions -> Princeton U.,All institutions,Princeton U.,2,63,"['231,862', '']","['255,483', '']","['264,980', '']","['264,998', '']","['287,730', '']","['272,379', '']","['285,733', '']","['321,953', '']","['351,297', '']","['370,700', '']","['382,414', '']","['389,652', '']","['444,425', '']","['495,427', '']"
12727,r065,All institutions -> Scripps Research Institute,All institutions,Scripps Research Institute,2,64,"['387,298', '']","['400,768', '']","['398,673', '']","['399,899', '']","['386,231', '']","['384,161', '']","['364,670', '']","['354,582', '']","['396,839', '']","['427,734', '']","['444,964', '']","['485,435', '']","['492,639', '']","['494,946', '']"
12727,r066,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,65,"['359,245', '']","['374,636', '']","['374,075', 'i']","['333,548', 'i']","['358,137', '']","['350,833', '']","['356,204', '']","['380,711', '']","['363,007', '']","['375,558', '']","['418,697', '']","['422,491', 'i']","['447,479', '']","['490,393', 'i']"
12727,r067,All institutions -> U. Kentucky,All institutions,U. Kentucky,2,66,"['350,857', '']","['364,175', '']","['354,132', '']","['332,366', '']","['322,313', '']","['325,558', '']","['340,295', '']","['367,934', '']","['382,973', '']","['398,384', '']","['406,131', '']","['418,800', '']","['463,357', '']","['489,039', '']"
12727,r068,"All institutions -> Colorado State U., Fort Collins",All institutions,"Colorado State U., Fort Collins",2,67,"['291,621', '']","['321,130', '']","['335,336', '']","['303,461', '']","['300,572', '']","['308,785', '']","['323,068', '']","['328,221', '']","['356,951', '']","['382,252', '']","['384,044', '']","['432,131', '']","['445,539', '']","['483,436', '']"
12727,r069,All institutions -> U. Rochester,All institutions,U. Rochester,2,68,"['412,704', '']","['428,144', '']","['388,401', '']","['382,399', '']","['347,161', '']","['344,921', '']","['344,489', '']","['351,924', '']","['369,072', '']","['392,275', '']","['395,774', '']","['407,058', '']","['448,264', '']","['478,207', '']"
12727,r070,"All institutions -> U. Illinois, Chicago",All institutions,"U. Illinois, Chicago",2,69,"['355,581', '']","['373,750', '']","['381,918', '']","['358,797', '']","['339,644', '']","['344,619', '']","['314,365', '']","['352,200', '']","['343,254', '']","['365,409', '']","['396,061', '']","['411,904', '']","['422,763', '']","['470,851', '']"
12727,r071,All institutions -> Carnegie Mellon U.,All institutions,Carnegie Mellon U.,2,70,"['221,376', '']","['240,956', '']","['254,992', '']","['270,898', '']","['250,497', '']","['241,829', '']","['304,383', '']","['313,145', '']","['318,218', '']","['346,356', '']","['373,131', '']","['386,540', '']","['432,701', '']","['467,061', '']"
12727,r072,"All institutions -> SUNY, U. Buffalo",All institutions,"SUNY, U. Buffalo",2,71,"['337,976', '']","['337,783', '']","['340,930', '']","['371,387', '']","['370,083', '']","['367,133', '']","['373,308', '']","['386,386', '']","['393,241', '']","['394,279', '']","['401,640', '']","['407,266', '']","['417,058', '']","['445,479', '']"
12727,r073,"All institutions -> U. Missouri, Columbia",All institutions,"U. Missouri, Columbia",2,72,"['133,120', '']","['130,269', '']","['234,975', '']","['232,760', '']","['233,613', '']","['243,430', '']","['262,919', '']","['272,196', '']","['275,413', '']","['288,501', '']","['303,906', '']","['354,500', '']","['397,821', '']","['414,590', '']"
12727,r074,All institutions -> U. Delaware,All institutions,U. Delaware,2,73,"['147,204', '']","['160,503', '']","['161,327', '']","['170,470', '']","['169,641', '']","['167,904', '']","['169,384', '']","['176,455', '']","['179,560', '']","['200,935', '']","['214,517', '']","['224,655', '']","['343,559', '']","['404,163', '']"
12727,r075,All institutions -> Utah State U.,All institutions,Utah State U.,2,74,"['147,612', '']","['172,563', '']","['155,305', '']","['156,774', '']","['167,256', '']","['173,848', '']","['178,830', '']","['184,746', '']","['215,994', '']","['280,476', '']","['300,894', '']","['322,139', '']","['339,964', '']","['396,560', '']"
12727,r076,All institutions -> U. South Florida<sup>e</sup>,All institutions,U. South Florida<sup>e</sup>,2,75,"['330,528', '']","['343,366', '']","['394,694', '']","['410,092', '']","['436,578', '']","['420,002', '']","['447,812', '']","['502,216', '']","['334,944', '']","['330,968', '']","['287,339', '']","['320,913', '']","['339,213', '']","['393,881', '']"
12727,r077,All institutions -> Iowa State U.,All institutions,Iowa State U.,2,76,"['243,890', '']","['261,016', '']","['252,675', '']","['259,320', '']","['297,293', '']","['295,635', '']","['316,822', '']","['310,100', '']","['343,890', '']","['342,498', '']","['306,338', '']","['334,671', '']","['368,288', '']","['388,281', '']"
12727,r078,All institutions -> Rockefeller U.,All institutions,Rockefeller U.,2,77,"['265,750', '']","['272,491', '']","['292,896', '']","['298,474', '']","['316,368', '']","['323,932', '']","['335,136', '']","['348,845', '']","['353,142', '']","['351,089', '']","['356,217', '']","['357,543', '']","['360,877', '']","['385,168', '']"
12727,r079,All institutions -> Virginia Commonwealth U.,All institutions,Virginia Commonwealth U.,2,78,"['176,422', '']","['185,566', '']","['179,310', '']","['175,880', '']","['177,540', '']","['196,412', '']","['202,150', '']","['210,827', '']","['222,757', '']","['230,882', '']","['255,589', '']","['291,853', '']","['329,600', '']","['383,985', '']"
12727,r080,All institutions -> U. Connecticut,All institutions,U. Connecticut,2,79,"['230,387', '']","['247,252', '']","['250,468', '']","['236,126', '']","['247,379', '']","['251,621', '']","['257,958', '']","['257,176', '']","['256,826', '']","['273,034', '']","['270,397', '']","['296,090', '']","['356,880', '']","['375,572', '']"
12727,r081,"All institutions -> U. Oklahoma, Norman and Health Science Center",All institutions,"U. Oklahoma, Norman and Health Science Center",2,80,"['201,187', '']","['223,828', '']","['217,177', '']","['220,916', '']","['227,104', '']","['227,568', '']","['240,239', '']","['250,627', '']","['262,863', '']","['283,375', '']","['337,624', '']","['334,058', '']","['354,567', '']","['374,189', '']"
12727,r082,"All institutions -> U. Texas Health Science Center, Houston",All institutions,"U. Texas Health Science Center, Houston",2,81,"['240,772', '']","['261,172', '']","['236,250', '']","['233,256', '']","['233,737', '']","['234,299', '']","['237,016', '']","['246,060', '']","['258,411', '']","['271,525', '']","['273,862', '']","['308,823', '']","['342,633', '']","['374,105', '']"
12727,r083,"All institutions -> Louisiana State U., Baton Rouge",All institutions,"Louisiana State U., Baton Rouge",2,82,"['280,432', '']","['281,221', '']","['279,019', '']","['276,748', '']","['282,462', '']","['274,001', '']","['282,574', '']","['258,402', '']","['278,075', '']","['287,203', '']","['277,811', '']","['283,507', '']","['333,398', '']","['360,920', '']"
