table_id,row_id,time_period,sample_level_1,sample_level_2,sample_hierarchy_depth,value
6793,r074,Years since first PhD -> 28&#8211;37 (1980&#8211;89) ,Sample,%,2,14.4
6793,r075,Years since first PhD -> 28&#8211;37 (1980&#8211;89) ,Population,Frequency,2,183607
6793,r076,Years since first PhD -> 28&#8211;37 (1980&#8211;89) ,Population,%,2,16.6
6793,r077,Years since first PhD -> 38&#8211;47 (1970&#8211;79) ,Sample,Frequency,2,8203
6793,r078,Years since first PhD -> 38&#8211;47 (1970&#8211;79) ,Sample,%,2,9.6
6793,r079,Years since first PhD -> 38&#8211;47 (1970&#8211;79) ,Population,Frequency,2,128039
6793,r080,Years since first PhD -> 38&#8211;47 (1970&#8211;79) ,Population,%,2,11.6
6793,r081,Years since first PhD -> > 47 (prior to 1970) ,Sample,Frequency,2,742
6793,r082,Years since first PhD -> > 47 (prior to 1970) ,Sample,%,2,0.9
6793,r083,Years since first PhD -> > 47 (prior to 1970) ,Population,Frequency,2,11297
6793,r084,Years since first PhD -> > 47 (prior to 1970) ,Population,%,2,1.0
6793,r085,Degree focus -> Science ,Sample,Frequency,2,66494
6793,r086,Degree focus -> Science ,Sample,%,2,77.6
6793,r087,Degree focus -> Science ,Population,Frequency,2,832477
6793,r088,Degree focus -> Science ,Population,%,2,75.5
6793,r089,Degree focus -> Engineering ,Sample,Frequency,2,15032
6793,r090,Degree focus -> Engineering ,Sample,%,2,17.5
6793,r091,Degree focus -> Engineering ,Population,Frequency,2,221447
6793,r092,Degree focus -> Engineering ,Population,%,2,20.1
6793,r093,Degree focus -> Health ,Sample,Frequency,2,4194
6793,r094,Degree focus -> Health ,Sample,%,2,4.9
6793,r095,Degree focus -> Health ,Population,Frequency,2,48906
6793,r096,Degree focus -> Health ,Population,%,2,4.4
6793,r097,Living in the United States -> No,Sample,Frequency,2,11475
6793,r098,Living in the United States -> No,Sample,%,2,13.4
6793,r099,Living in the United States -> No,Population,Frequency,2,135697
6793,r100,Living in the United States -> No,Population,%,2,12.3
6793,r101,Living in the United States -> Yes,Sample,Frequency,2,74245
6793,r102,Living in the United States -> Yes,Sample,%,2,86.6
6793,r103,Living in the United States -> Yes,Population,Frequency,2,967133
6793,r104,Living in the United States -> Yes,Population,%,2,87.7
6793,r105,Workforce status -> Employed,Sample,Frequency,2,74429
6793,r106,Workforce status -> Employed,Sample,%,2,86.8
6793,r107,Workforce status -> Employed,Population,Frequency,2,938248
6793,r108,Workforce status -> Employed,Population,%,2,85.1
6793,r109,Workforce status -> Unemployed,Sample,Frequency,2,1511
6793,r110,Workforce status -> Unemployed,Sample,%,2,1.8
6793,r111,Workforce status -> Unemployed,Population,Frequency,2,18989
6793,r112,Workforce status -> Unemployed,Population,%,2,1.7
6793,r113,Workforce status -> Not in the workforce,Sample,Frequency,2,9780
6793,r114,Workforce status -> Not in the workforce,Sample,%,2,11.4
6793,r115,Workforce status -> Not in the workforce,Population,Frequency,2,145593
6793,r116,Workforce status -> Not in the workforce,Population,%,2,13.2
6793,r117,Employment sector -> Education,Sample,Frequency,2,36677
6793,r118,Employment sector -> Education,Sample,%,2,49.3
6793,r119,Employment sector -> Education,Population,Frequency,2,428638
6793,r120,Employment sector -> Education,Population,%,2,45.7
6793,r121,Employment sector -> Government,Sample,Frequency,2,8184
6793,r122,Employment sector -> Government,Sample,%,2,11.0
6793,r123,Employment sector -> Government,Population,Frequency,2,88253
6793,r124,Employment sector -> Government,Population,%,2,9.4
6793,r125,Employment sector -> Business and industry,Sample,Frequency,2,29568
6793,r126,Employment sector -> Business and industry,Sample,%,2,39.7
6793,r127,Employment sector -> Business and industry,Population,Frequency,2,421357
6793,r128,Employment sector -> Business and industry,Population,%,2,44.9
