table_id,row_id,_b_characteristics_b_full_path,_b_characteristics_b_level_1,_b_characteristics_b_level_2,_b_characteristics_b_level_3,_b_characteristics_b_level_4,_b_characteristics_b_hierarchy_depth,field_totala,field_u_s_citizen,field_non_u_s_citizen,field_hispanic_or_latino_u_s_citizen,field_hispanic_or_latino_non_u_s_citizen,field_not_hispanic_or_latino_american_indian_or_alaska_native_u_s_citizen,field_not_hispanic_or_latino_american_indian_or_alaska_native_non_u_s_citizen,field_not_hispanic_or_latino_asian_u_s_citizen,field_not_hispanic_or_latino_asian_non_u_s_citizen,field_not_hispanic_or_latino_black_or_african_american_u_s_citizen,field_not_hispanic_or_latino_black_or_african_american_non_u_s_citizen,field_not_hispanic_or_latino_white_u_s_citizen,field_not_hispanic_or_latino_white_non_u_s_citizen,field_not_hispanic_or_latino_more_than_one_race_u_s_citizen,field_not_hispanic_or_latino_more_than_one_race_non_u_s_citizen,field_not_hispanic_or_latino_other_race_or_race_not_reported_u_s_citizen,field_not_hispanic_or_latino_other_race_or_race_not_reported_non_u_s_citizen,field_ethnicity_not_reported_u_s_citizen,field_ethnicity_not_reported_non_u_s_citizen
4637,r016,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation employment plans (%)<sup>g</sup> -> Academe,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation employment plans (%)<sup>g</sup>,Academe,4,41.9,44.1,37.5,49.1,54.0,55.1,,31.7,31.8,43.8,49.0,45.2,47.4,42.2,57.1,40.7,,42.5,38.1
4637,r017,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation employment plans (%)<sup>g</sup> -> Government,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation employment plans (%)<sup>g</sup>,Government,4,8.0,10.0,4.1,10.0,6.5,14.3,0.0,7.1,2.9,13.2,11.4,9.9,5.9,10.9,,13.3,,9.6,2.4
4637,r018,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation employment plans (%)<sup>g</sup> -> Industry or business<sup>h</sup>,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation employment plans (%)<sup>g</sup>,Industry or business<sup>h</sup>,4,37.9,30.0,53.8,24.7,32.5,14.3,,50.1,61.9,21.0,29.4,29.1,39.5,34.2,,24.8,40.5,24.7,52.4
4637,r019,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation employment plans (%)<sup>g</sup> -> Nonprofit,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation employment plans (%)<sup>g</sup>,Nonprofit,4,5.9,7.4,3.0,7.0,4.9,,0.0,6.8,2.4,7.6,5.7,7.5,3.8,,,8.0,,11.0,2.4
4637,r020,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Postgraduation employment plans (%)<sup>g</sup> -> Other or unknown plans<sup>i</sup>,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Postgraduation employment plans (%)<sup>g</sup>,Other or unknown plans<sup>i</sup>,4,6.3,8.5,1.7,9.1,2.1,,0.0,4.4,1.0,14.5,4.5,8.4,3.4,,2.0,13.3,1.2,12.3,4.8
4637,r021,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Employment location (%)<sup>j</sup>,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Employment location (%)<sup>j</sup>,,3,,,,,,,,,,,,,,,,,,,
4637,r022,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Employment location (%)<sup>j</sup> -> United States,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Employment location (%)<sup>j</sup>,United States,4,89.9,98.2,73.2,98.6,59.1,,,96.3,79.7,99.4,60.0,98.3,60.6,98.2,,,54.8,100.0,64.3
4637,r023,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Employment location (%)<sup>j</sup> -> Not United States,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Employment location (%)<sup>j</sup>,Not United States,4,10.0,1.8,26.7,1.4,40.9,,,3.7,20.2,0.6,40.0,1.6,39.4,1.8,,,45.2,0.0,35.7
4637,r024,All doctorate recipients (number) -> Postgraduation status (number)<sup>d</sup> -> Employment location (%)<sup>j</sup> -> Unknown,All doctorate recipients (number),Postgraduation status (number)<sup>d</sup>,Employment location (%)<sup>j</sup>,Unknown,4,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4637,r025,All doctorate recipients (number) -> Age at doctorate (median years),All doctorate recipients (number),Age at doctorate (median years),,,2,31.5,31.8,31.1,32.3,33.0,36.5,48.6,31.1,30.5,36.2,35.2,31.6,32.3,30.8,32.3,32.5,31.3,33.3,32.6
4637,r026,All doctorate recipients (number) -> Time to degree (median years),All doctorate recipients (number),Time to degree (median years),,,2,,,,,,,,,,,,,,,,,,,
4637,r027,All doctorate recipients (number) -> Time to degree (median years) -> From bachelor's,All doctorate recipients (number),Time to degree (median years),From bachelor's,,3,8.7,9.0,8.4,9.0,9.3,11.1,18.9,8.5,8.0,12.1,10.8,8.8,9.3,8.3,9.3,9.7,8.5,10.1,9.3
4637,r028,All doctorate recipients (number) -> Time to degree (median years) -> From graduate school start,All doctorate recipients (number),Time to degree (median years),From graduate school start,,3,7.5,7.3,7.7,7.6,8.0,9.7,18.7,7.3,7.3,10.2,8.2,7.3,8.3,7.0,8.3,8.3,7.8,9.6,7.6
4637,r029,All doctorate recipients (number) -> Time to degree (median years) -> From doctoral program start<sup>k</sup>,All doctorate recipients (number),Time to degree (median years),From doctoral program start<sup>k</sup>,,3,5.8,5.8,5.3,5.8,5.3,5.8,6.0,5.8,5.3,5.9,5.0,5.8,5.3,5.8,5.7,6.0,5.6,5.8,5.7
