table_id,row_id,time_period,all_employed_doctoral_scientists_and_engineers_in_2015_level_1,all_employed_doctoral_scientists_and_engineers_in_2015_level_2,all_employed_doctoral_scientists_and_engineers_in_2015_hierarchy_depth,value
6335,r078,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White,Retired in 2019,SE,2,825
6335,r079,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White,Retired in 2019,Percent,2,5.42
6335,r080,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White,Retired in 2019,SE,2,0.2
6335,r081,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>,All employed doctoral scientists and engineers in 2015,Number,2,9700
6335,r082,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>,All employed doctoral scientists and engineers in 2015,SE,2,450
6335,r083,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>,All employed doctoral scientists and engineers in 2015,Percent,2,100.0
6335,r084,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>,Retired in 2017,Number,2,100
6335,r085,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>,Retired in 2017,SE,2,50
6335,r086,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>,Retired in 2017,Percent,2,0.89
6335,r087,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>,Retired in 2017,SE,2,0.45
6335,r088,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>,Retired in 2019,Number,2,350
6335,r089,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>,Retired in 2019,SE,2,100
6335,r090,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>,Retired in 2019,Percent,2,3.77
6335,r091,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>,Retired in 2019,SE,2,0.85
6335,r092,Total -> Field of degree -> Science,All employed doctoral scientists and engineers in 2015,Number,2,601200
6335,r093,Total -> Field of degree -> Science,All employed doctoral scientists and engineers in 2015,SE,2,1500
6335,r094,Total -> Field of degree -> Science,All employed doctoral scientists and engineers in 2015,Percent,2,100.0
6335,r095,Total -> Field of degree -> Science,Retired in 2017,Number,2,12250
6335,r096,Total -> Field of degree -> Science,Retired in 2017,SE,2,600
6335,r097,Total -> Field of degree -> Science,Retired in 2017,Percent,2,2.03
6335,r098,Total -> Field of degree -> Science,Retired in 2017,SE,2,0.1
6335,r099,Total -> Field of degree -> Science,Retired in 2019,Number,2,28250
6335,r100,Total -> Field of degree -> Science,Retired in 2019,SE,2,850
6335,r101,Total -> Field of degree -> Science,Retired in 2019,Percent,2,4.7
6335,r102,Total -> Field of degree -> Science,Retired in 2019,SE,2,0.15
6335,r103,"Total -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",All employed doctoral scientists and engineers in 2015,Number,2,205300
6335,r104,"Total -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",All employed doctoral scientists and engineers in 2015,SE,2,800
6335,r105,"Total -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",All employed doctoral scientists and engineers in 2015,Percent,2,100.0
6335,r106,"Total -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Retired in 2017,Number,2,4000
6335,r107,"Total -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Retired in 2017,SE,2,350
6335,r108,"Total -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Retired in 2017,Percent,2,1.94
6335,r109,"Total -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Retired in 2017,SE,2,0.2
6335,r110,"Total -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Retired in 2019,Number,2,9300
6335,r111,"Total -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Retired in 2019,SE,2,550
6335,r112,"Total -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Retired in 2019,Percent,2,4.54
6335,r113,"Total -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Retired in 2019,SE,2,0.3
6335,r114,Total -> Field of degree -> Science -> Computer and information sciences,All employed doctoral scientists and engineers in 2015,Number,2,28200
6335,r115,Total -> Field of degree -> Science -> Computer and information sciences,All employed doctoral scientists and engineers in 2015,SE,2,250
6335,r116,Total -> Field of degree -> Science -> Computer and information sciences,All employed doctoral scientists and engineers in 2015,Percent,2,100.0
6335,r117,Total -> Field of degree -> Science -> Computer and information sciences,Retired in 2017,Number,2,350
6335,r118,Total -> Field of degree -> Science -> Computer and information sciences,Retired in 2017,SE,2,100
6335,r119,Total -> Field of degree -> Science -> Computer and information sciences,Retired in 2017,Percent,2,1.3
6335,r120,Total -> Field of degree -> Science -> Computer and information sciences,Retired in 2017,SE,2,0.35
6335,r121,Total -> Field of degree -> Science -> Computer and information sciences,Retired in 2019,Number,2,950
6335,r122,Total -> Field of degree -> Science -> Computer and information sciences,Retired in 2019,SE,2,200
6335,r123,Total -> Field of degree -> Science -> Computer and information sciences,Retired in 2019,Percent,2,3.33
6335,r124,Total -> Field of degree -> Science -> Computer and information sciences,Retired in 2019,SE,2,0.65
6335,r125,Total -> Field of degree -> Science -> Mathematics and statistics,All employed doctoral scientists and engineers in 2015,Number,2,35700
6335,r126,Total -> Field of degree -> Science -> Mathematics and statistics,All employed doctoral scientists and engineers in 2015,SE,2,425
6335,r127,Total -> Field of degree -> Science -> Mathematics and statistics,All employed doctoral scientists and engineers in 2015,Percent,2,100.0
6335,r128,Total -> Field of degree -> Science -> Mathematics and statistics,Retired in 2017,Number,2,600
6335,r129,Total -> Field of degree -> Science -> Mathematics and statistics,Retired in 2017,SE,2,150
6335,r130,Total -> Field of degree -> Science -> Mathematics and statistics,Retired in 2017,Percent,2,1.67
6335,r131,Total -> Field of degree -> Science -> Mathematics and statistics,Retired in 2017,SE,2,0.4
6335,r132,Total -> Field of degree -> Science -> Mathematics and statistics,Retired in 2019,Number,2,1150
6335,r133,Total -> Field of degree -> Science -> Mathematics and statistics,Retired in 2019,SE,2,200
6335,r134,Total -> Field of degree -> Science -> Mathematics and statistics,Retired in 2019,Percent,2,3.17
6335,r135,Total -> Field of degree -> Science -> Mathematics and statistics,Retired in 2019,SE,2,0.55
6335,r136,"Total -> Field of degree -> Science -> Physical sciences, geosciences, atmospheric, and ocean sciences",All employed doctoral scientists and engineers in 2015,Number,2,131350
6335,r137,"Total -> Field of degree -> Science -> Physical sciences, geosciences, atmospheric, and ocean sciences",All employed doctoral scientists and engineers in 2015,SE,2,675
6335,r138,"Total -> Field of degree -> Science -> Physical sciences, geosciences, atmospheric, and ocean sciences",All employed doctoral scientists and engineers in 2015,Percent,2,100.0
6335,r139,"Total -> Field of degree -> Science -> Physical sciences, geosciences, atmospheric, and ocean sciences",Retired in 2017,Number,2,3050
6335,r140,"Total -> Field of degree -> Science -> Physical sciences, geosciences, atmospheric, and ocean sciences",Retired in 2017,SE,2,325
6335,r141,"Total -> Field of degree -> Science -> Physical sciences, geosciences, atmospheric, and ocean sciences",Retired in 2017,Percent,2,2.33
6335,r142,"Total -> Field of degree -> Science -> Physical sciences, geosciences, atmospheric, and ocean sciences",Retired in 2017,SE,2,0.25
6335,r143,"Total -> Field of degree -> Science -> Physical sciences, geosciences, atmospheric, and ocean sciences",Retired in 2019,Number,2,6700
6335,r144,"Total -> Field of degree -> Science -> Physical sciences, geosciences, atmospheric, and ocean sciences",Retired in 2019,SE,2,425
6335,r145,"Total -> Field of degree -> Science -> Physical sciences, geosciences, atmospheric, and ocean sciences",Retired in 2019,Percent,2,5.1
6335,r146,"Total -> Field of degree -> Science -> Physical sciences, geosciences, atmospheric, and ocean sciences",Retired in 2019,SE,2,0.35
6335,r147,Total -> Field of degree -> Science -> Psychology,All employed doctoral scientists and engineers in 2015,Number,2,97300
6335,r148,Total -> Field of degree -> Science -> Psychology,All employed doctoral scientists and engineers in 2015,SE,2,800
6335,r149,Total -> Field of degree -> Science -> Psychology,All employed doctoral scientists and engineers in 2015,Percent,2,100.0
6335,r150,Total -> Field of degree -> Science -> Psychology,Retired in 2017,Number,2,1950
6335,r151,Total -> Field of degree -> Science -> Psychology,Retired in 2017,SE,2,225
6335,r152,Total -> Field of degree -> Science -> Psychology,Retired in 2017,Percent,2,2.01
6335,r153,Total -> Field of degree -> Science -> Psychology,Retired in 2017,SE,2,0.25
6335,r154,Total -> Field of degree -> Science -> Psychology,Retired in 2019,Number,2,4950
6335,r155,Total -> Field of degree -> Science -> Psychology,Retired in 2019,SE,2,375
6335,r156,Total -> Field of degree -> Science -> Psychology,Retired in 2019,Percent,2,5.07
6335,r157,Total -> Field of degree -> Science -> Psychology,Retired in 2019,SE,2,0.4
6335,r158,Total -> Field of degree -> Science -> Social sciences,All employed doctoral scientists and engineers in 2015,Number,2,103400
6335,r159,Total -> Field of degree -> Science -> Social sciences,All employed doctoral scientists and engineers in 2015,SE,2,750
6335,r160,Total -> Field of degree -> Science -> Social sciences,All employed doctoral scientists and engineers in 2015,Percent,2,100.0
6335,r161,Total -> Field of degree -> Science -> Social sciences,Retired in 2017,Number,2,2250
6335,r162,Total -> Field of degree -> Science -> Social sciences,Retired in 2017,SE,2,275
6335,r163,Total -> Field of degree -> Science -> Social sciences,Retired in 2017,Percent,2,2.19
6335,r164,Total -> Field of degree -> Science -> Social sciences,Retired in 2017,SE,2,0.3
6335,r165,Total -> Field of degree -> Science -> Social sciences,Retired in 2019,Number,2,5200
6335,r166,Total -> Field of degree -> Science -> Social sciences,Retired in 2019,SE,2,375
6335,r167,Total -> Field of degree -> Science -> Social sciences,Retired in 2019,Percent,2,5.05
6335,r168,Total -> Field of degree -> Science -> Social sciences,Retired in 2019,SE,2,0.4
6335,r169,Total -> Field of degree -> Engineering,All employed doctoral scientists and engineers in 2015,Number,2,170900
6335,r170,Total -> Field of degree -> Engineering,All employed doctoral scientists and engineers in 2015,SE,2,775
6335,r171,Total -> Field of degree -> Engineering,All employed doctoral scientists and engineers in 2015,Percent,2,100.0
6335,r172,Total -> Field of degree -> Engineering,Retired in 2017,Number,2,2450
6335,r173,Total -> Field of degree -> Engineering,Retired in 2017,SE,2,350
6335,r174,Total -> Field of degree -> Engineering,Retired in 2017,Percent,2,1.43
6335,r175,Total -> Field of degree -> Engineering,Retired in 2017,SE,2,0.2
6335,r176,Total -> Field of degree -> Engineering,Retired in 2019,Number,2,5850
6335,r177,Total -> Field of degree -> Engineering,Retired in 2019,SE,2,425
6335,r178,Total -> Field of degree -> Engineering,Retired in 2019,Percent,2,3.42
6335,r179,Total -> Field of degree -> Engineering,Retired in 2019,SE,2,0.25
6335,r180,Total -> Field of degree -> Health,All employed doctoral scientists and engineers in 2015,Number,2,35200
6335,r181,Total -> Field of degree -> Health,All employed doctoral scientists and engineers in 2015,SE,2,450
6335,r182,Total -> Field of degree -> Health,All employed doctoral scientists and engineers in 2015,Percent,2,100.0
6335,r183,Total -> Field of degree -> Health,Retired in 2017,Number,2,950
6335,r184,Total -> Field of degree -> Health,Retired in 2017,SE,2,175
6335,r185,Total -> Field of degree -> Health,Retired in 2017,Percent,2,2.69
6335,r186,Total -> Field of degree -> Health,Retired in 2017,SE,2,0.5
6335,r187,Total -> Field of degree -> Health,Retired in 2019,Number,2,2250
6335,r188,Total -> Field of degree -> Health,Retired in 2019,SE,2,275
6335,r189,Total -> Field of degree -> Health,Retired in 2019,Percent,2,6.36
6335,r190,Total -> Field of degree -> Health,Retired in 2019,SE,2,0.75
6335,r191,Total -> Years since degree -> &#8804; 10 years,All employed doctoral scientists and engineers in 2015,Number,2,157050
6335,r192,Total -> Years since degree -> &#8804; 10 years,All employed doctoral scientists and engineers in 2015,SE,2,750
6335,r193,Total -> Years since degree -> &#8804; 10 years,All employed doctoral scientists and engineers in 2015,Percent,2,100.0
6335,r194,Total -> Years since degree -> &#8804; 10 years,Retired in 2017,Number,2,100
6335,r195,Total -> Years since degree -> &#8804; 10 years,Retired in 2017,SE,2,50
6335,r196,Total -> Years since degree -> &#8804; 10 years,Retired in 2017,Percent,2,0.07
6335,r197,Total -> Years since degree -> &#8804; 10 years,Retired in 2017,SE,2,0.05
6335,r198,Total -> Years since degree -> &#8804; 10 years,Retired in 2019,Number,2,650
6335,r199,Total -> Years since degree -> &#8804; 10 years,Retired in 2019,SE,2,125
6335,r200,Total -> Years since degree -> &#8804; 10 years,Retired in 2019,Percent,2,0.41
6335,r201,Total -> Years since degree -> &#8804; 10 years,Retired in 2019,SE,2,0.1
6335,r202,Total -> Years since degree -> 11&#8211;20 years,All employed doctoral scientists and engineers in 2015,Number,2,281200
6335,r203,Total -> Years since degree -> 11&#8211;20 years,All employed doctoral scientists and engineers in 2015,SE,2,1025
6335,r204,Total -> Years since degree -> 11&#8211;20 years,All employed doctoral scientists and engineers in 2015,Percent,2,100.0
6335,r205,Total -> Years since degree -> 11&#8211;20 years,Retired in 2017,Number,2,800
6335,r206,Total -> Years since degree -> 11&#8211;20 years,Retired in 2017,SE,2,150
6335,r207,Total -> Years since degree -> 11&#8211;20 years,Retired in 2017,Percent,2,0.28
6335,r208,Total -> Years since degree -> 11&#8211;20 years,Retired in 2017,SE,2,0.1
6335,r209,Total -> Years since degree -> 11&#8211;20 years,Retired in 2019,Number,2,2300
6335,r210,Total -> Years since degree -> 11&#8211;20 years,Retired in 2019,SE,2,250
6335,r211,Total -> Years since degree -> 11&#8211;20 years,Retired in 2019,Percent,2,0.82
6335,r212,Total -> Years since degree -> 11&#8211;20 years,Retired in 2019,SE,2,0.1
6335,r213,Total -> Years since degree -> 21&#8211;30 years,All employed doctoral scientists and engineers in 2015,Number,2,231600
6335,r214,Total -> Years since degree -> 21&#8211;30 years,All employed doctoral scientists and engineers in 2015,SE,2,1375
6335,r215,Total -> Years since degree -> 21&#8211;30 years,All employed doctoral scientists and engineers in 2015,Percent,2,100.0
6335,r216,Total -> Years since degree -> 21&#8211;30 years,Retired in 2017,Number,2,4100
6335,r217,Total -> Years since degree -> 21&#8211;30 years,Retired in 2017,SE,2,375
6335,r218,Total -> Years since degree -> 21&#8211;30 years,Retired in 2017,Percent,2,1.78
6335,r219,Total -> Years since degree -> 21&#8211;30 years,Retired in 2017,SE,2,0.2
6335,r220,Total -> Years since degree -> 21&#8211;30 years,Retired in 2019,Number,2,10800
6335,r221,Total -> Years since degree -> 21&#8211;30 years,Retired in 2019,SE,2,625
6335,r222,Total -> Years since degree -> 21&#8211;30 years,Retired in 2019,Percent,2,4.67
6335,r223,Total -> Years since degree -> 21&#8211;30 years,Retired in 2019,SE,2,0.3
6335,r224,Total -> Years since degree -> > 30 years,All employed doctoral scientists and engineers in 2015,Number,2,137450
6335,r225,Total -> Years since degree -> > 30 years,All employed doctoral scientists and engineers in 2015,SE,2,1175
6335,r226,Total -> Years since degree -> > 30 years,All employed doctoral scientists and engineers in 2015,Percent,2,100.0
6335,r227,Total -> Years since degree -> > 30 years,Retired in 2017,Number,2,10600
6335,r228,Total -> Years since degree -> > 30 years,Retired in 2017,SE,2,625
6335,r229,Total -> Years since degree -> > 30 years,Retired in 2017,Percent,2,7.7
6335,r230,Total -> Years since degree -> > 30 years,Retired in 2017,SE,2,0.45
6335,r231,Total -> Years since degree -> > 30 years,Retired in 2019,Number,2,22550
6335,r232,Total -> Years since degree -> > 30 years,Retired in 2019,SE,2,800
6335,r233,Total -> Years since degree -> > 30 years,Retired in 2019,Percent,2,16.42
6335,r234,Total -> Years since degree -> > 30 years,Retired in 2019,SE,2,0.55
6335,r235,Total -> Residence location in 2015 -> U.S. residing,All employed doctoral scientists and engineers in 2015,Number,2,697850
6335,r236,Total -> Residence location in 2015 -> U.S. residing,All employed doctoral scientists and engineers in 2015,SE,2,1875
6335,r237,Total -> Residence location in 2015 -> U.S. residing,All employed doctoral scientists and engineers in 2015,Percent,2,100.0
6335,r238,Total -> Residence location in 2015 -> U.S. residing,Retired in 2017,Number,2,13850
6335,r239,Total -> Residence location in 2015 -> U.S. residing,Retired in 2017,SE,2,625
6335,r240,Total -> Residence location in 2015 -> U.S. residing,Retired in 2017,Percent,2,1.98
6335,r241,Total -> Residence location in 2015 -> U.S. residing,Retired in 2017,SE,2,0.1
6335,r242,Total -> Residence location in 2015 -> U.S. residing,Retired in 2019,Number,2,32000
6335,r243,Total -> Residence location in 2015 -> U.S. residing,Retired in 2019,SE,2,875
6335,r244,Total -> Residence location in 2015 -> U.S. residing,Retired in 2019,Percent,2,4.59
6335,r245,Total -> Residence location in 2015 -> U.S. residing,Retired in 2019,SE,2,0.15
6335,r246,Total -> Residence location in 2015 -> Non-U.S. residing,All employed doctoral scientists and engineers in 2015,Number,2,109450
6335,r247,Total -> Residence location in 2015 -> Non-U.S. residing,All employed doctoral scientists and engineers in 2015,SE,2,1225
6335,r248,Total -> Residence location in 2015 -> Non-U.S. residing,All employed doctoral scientists and engineers in 2015,Percent,2,100.0
6335,r249,Total -> Residence location in 2015 -> Non-U.S. residing,Retired in 2017,Number,2,1800
6335,r250,Total -> Residence location in 2015 -> Non-U.S. residing,Retired in 2017,SE,2,275
6335,r251,Total -> Residence location in 2015 -> Non-U.S. residing,Retired in 2017,Percent,2,1.63
6335,r252,Total -> Residence location in 2015 -> Non-U.S. residing,Retired in 2017,SE,2,0.25
6335,r253,Total -> Residence location in 2015 -> Non-U.S. residing,Retired in 2019,Number,2,4350
6335,r254,Total -> Residence location in 2015 -> Non-U.S. residing,Retired in 2019,SE,2,325
6335,r255,Total -> Residence location in 2015 -> Non-U.S. residing,Retired in 2019,Percent,2,3.95
6335,r256,Total -> Residence location in 2015 -> Non-U.S. residing,Retired in 2019,SE,2,0.3
6335,r257,Total -> Disability status in 2015 -> With disability,All employed doctoral scientists and engineers in 2015,Number,2,65250
6335,r258,Total -> Disability status in 2015 -> With disability,All employed doctoral scientists and engineers in 2015,SE,2,1250
6335,r259,Total -> Disability status in 2015 -> With disability,All employed doctoral scientists and engineers in 2015,Percent,2,100.0
6335,r260,Total -> Disability status in 2015 -> With disability,Retired in 2017,Number,2,1600
6335,r261,Total -> Disability status in 2015 -> With disability,Retired in 2017,SE,2,250
6335,r262,Total -> Disability status in 2015 -> With disability,Retired in 2017,Percent,2,2.47
6335,r263,Total -> Disability status in 2015 -> With disability,Retired in 2017,SE,2,0.35
6335,r264,Total -> Disability status in 2015 -> With disability,Retired in 2019,Number,2,4050
6335,r265,Total -> Disability status in 2015 -> With disability,Retired in 2019,SE,2,350
6335,r266,Total -> Disability status in 2015 -> With disability,Retired in 2019,Percent,2,6.23
6335,r267,Total -> Disability status in 2015 -> With disability,Retired in 2019,SE,2,0.5
6335,r268,Total -> Disability status in 2015 -> Without disability,All employed doctoral scientists and engineers in 2015,Number,2,742050
6335,r269,Total -> Disability status in 2015 -> Without disability,All employed doctoral scientists and engineers in 2015,SE,2,2050
6335,r270,Total -> Disability status in 2015 -> Without disability,All employed doctoral scientists and engineers in 2015,Percent,2,100.0
6335,r271,Total -> Disability status in 2015 -> Without disability,Retired in 2017,Number,2,14000
6335,r272,Total -> Disability status in 2015 -> Without disability,Retired in 2017,SE,2,650
6335,r273,Total -> Disability status in 2015 -> Without disability,Retired in 2017,Percent,2,1.89
6335,r274,Total -> Disability status in 2015 -> Without disability,Retired in 2017,SE,2,0.1
