table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_level_5,characteristic_level_6,characteristic_hierarchy_depth,field_all_mathematics_and_computer_sciences_fields,field_computer_and_information_sciences,field_mathematics_and_statistics
2859,r011,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Academe,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Academe,,,4,30.3,26.0,37.2
2859,r012,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Government,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Government,,,4,4.8,4.7,4.9
2859,r013,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Industry or business<sup>g</sup>,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Industry or business<sup>g</sup>,,,4,60.5,65.1,53.1
2859,r014,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Nonprofit organization,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Nonprofit organization,,,4,2.4,2.4,2.3
2859,r015,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Other or unknown<sup>h</sup>,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Other or unknown<sup>h</sup>,,,4,2.0,1.7,2.5
2859,r016,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Primary activity<sup>i</sup>,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Primary activity<sup>i</sup>,,,4,,,
2859,r017,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Primary activity<sup>i</sup> -> R&D,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Primary activity<sup>i</sup>,R&D,,5,68.4,76.6,55.4
2859,r018,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Primary activity<sup>i</sup> -> Teaching,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Primary activity<sup>i</sup>,Teaching,,5,21.1,15.1,30.7
2859,r019,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Primary activity<sup>i</sup> -> Management or administration,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Primary activity<sup>i</sup>,Management or administration,,5,1.8,2.1,1.3
2859,r020,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Primary activity<sup>i</sup> -> Professional services,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Primary activity<sup>i</sup>,Professional services,,5,7.9,5.6,11.5
2859,r021,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Primary activity<sup>i</sup> -> Other,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Primary activity<sup>i</sup>,Other,,5,0.9,0.7,1.2
2859,r022,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Secondary activity<sup>j</sup>,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Secondary activity<sup>j</sup>,,,4,,,
2859,r023,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Secondary activity<sup>j</sup> -> R&D,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Secondary activity<sup>j</sup>,R&D,,5,18.3,14.8,23.9
2859,r024,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Secondary activity<sup>j</sup> -> Teaching,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Secondary activity<sup>j</sup>,Teaching,,5,9.6,10.8,7.7
2859,r025,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Secondary activity<sup>j</sup> -> Management or administration,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Secondary activity<sup>j</sup>,Management or administration,,5,6.1,6.9,4.8
2859,r026,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Secondary activity<sup>j</sup> -> Professional services,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Secondary activity<sup>j</sup>,Professional services,,5,4.5,3.9,5.6
2859,r027,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Secondary activity<sup>j</sup> -> Other,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Secondary activity<sup>j</sup>,Other,,5,0.6,0.7,0.5
2859,r028,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Secondary activity<sup>j</sup> -> No secondary activity,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Secondary activity<sup>j</sup>,No secondary activity,,5,60.8,62.9,57.4
2859,r029,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Activity unknown,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Activity unknown,,,4,4.0,4.3,3.5
2859,r030,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Postgraduation location (%)<sup>k</sup>,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Postgraduation location (%)<sup>k</sup>,,,,3,,,
2859,r031,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Postgraduation location (%)<sup>k</sup> -> United States<sup>l</sup>,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Postgraduation location (%)<sup>k</sup>,United States<sup>l</sup>,,,4,87.6,89.6,85.2
2859,r032,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Postgraduation location (%)<sup>k</sup> -> United States<sup>l</sup> -> New England,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Postgraduation location (%)<sup>k</sup>,United States<sup>l</sup>,New England,,5,7.5,6.8,8.3
2859,r033,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Postgraduation location (%)<sup>k</sup> -> United States<sup>l</sup> -> Middle Atlantic,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Postgraduation location (%)<sup>k</sup>,United States<sup>l</sup>,Middle Atlantic,,5,13.8,12.5,15.3
2859,r034,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Postgraduation location (%)<sup>k</sup> -> United States<sup>l</sup> -> East North Central,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Postgraduation location (%)<sup>k</sup>,United States<sup>l</sup>,East North Central,,5,8.6,6.5,11.0
2859,r035,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Postgraduation location (%)<sup>k</sup> -> United States<sup>l</sup> -> West North Central,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Postgraduation location (%)<sup>k</sup>,United States<sup>l</sup>,West North Central,,5,2.8,1.8,3.8
2859,r036,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Postgraduation location (%)<sup>k</sup> -> United States<sup>l</sup> -> South Atlantic,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Postgraduation location (%)<sup>k</sup>,United States<sup>l</sup>,South Atlantic,,5,11.7,9.9,13.8
2859,r037,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Postgraduation location (%)<sup>k</sup> -> United States<sup>l</sup> -> East South Central,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Postgraduation location (%)<sup>k</sup>,United States<sup>l</sup>,East South Central,,5,1.8,1.3,2.4
2859,r038,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Postgraduation location (%)<sup>k</sup> -> United States<sup>l</sup> -> West South Central,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Postgraduation location (%)<sup>k</sup>,United States<sup>l</sup>,West South Central,,5,4.8,4.4,5.3
2859,r039,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Postgraduation location (%)<sup>k</sup> -> United States<sup>l</sup> -> Mountain,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Postgraduation location (%)<sup>k</sup>,United States<sup>l</sup>,Mountain,,5,4.1,2.9,5.4
2859,r040,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Postgraduation location (%)<sup>k</sup> -> United States<sup>l</sup> -> Pacific and insular,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Postgraduation location (%)<sup>k</sup>,United States<sup>l</sup>,Pacific and insular,,5,31.8,42.5,19.8
2859,r041,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Postgraduation location (%)<sup>k</sup> -> Not in United States,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Postgraduation location (%)<sup>k</sup>,Not in United States,,,4,12.3,10.2,14.7
2859,r042,All doctorate recipients (number)<sup>a</sup> -> Postgraduation status (number)<sup>b</sup> -> Postgraduation location (%)<sup>k</sup> -> Location unknown,All doctorate recipients (number)<sup>a</sup>,Postgraduation status (number)<sup>b</sup>,Postgraduation location (%)<sup>k</sup>,Location unknown,,,4,0.1,0.2,0.1
2859,r043,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),,,,,2,3144,1717,1427
2859,r044,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>b</sup>,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>b</sup>,,,,3,,,
2859,r045,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>b</sup> -> Definite postgraduation study,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>b</sup>,Definite postgraduation study,,,4,678,244,434
2859,r046,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>b</sup> -> Definite employment,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>b</sup>,Definite employment,,,4,1538,997,541
2859,r047,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>b</sup> -> Seeking employment or study,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>b</sup>,Seeking employment or study,,,4,629,310,319
2859,r048,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>b</sup> -> Other<sup>c</sup>,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>b</sup>,Other<sup>c</sup>,,,4,52,29,23
2859,r049,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>b</sup> -> Definite postgraduation study (%)<sup>d</sup>,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>b</sup>,Definite postgraduation study (%)<sup>d</sup>,,,4,,,
2859,r050,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>b</sup> -> Definite postgraduation study (%)<sup>d</sup> -> Postdoc fellowship or research associateship,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>b</sup>,Definite postgraduation study (%)<sup>d</sup>,Postdoc fellowship or research associateship,,5,96.0,93.4,97.5
2859,r051,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>b</sup> -> Definite postgraduation study (%)<sup>d</sup> -> Other or unknown<sup>e</sup>,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>b</sup>,Definite postgraduation study (%)<sup>d</sup>,Other or unknown<sup>e</sup>,,5,4.0,6.6,2.5
2859,r052,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup>,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,,,4,,,
2859,r053,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Academe,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Academe,,5,27.0,22.7,34.9
2859,r054,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Government,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Government,,5,4.6,,
2859,r055,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Industry or business<sup>g</sup>,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Industry or business<sup>g</sup>,,5,64.6,69.4,55.6
2859,r056,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Nonprofit organization,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Nonprofit organization,,5,2.2,,
2859,r057,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Other or unknown<sup>h</sup>,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Other or unknown<sup>h</sup>,,5,1.6,1.5,1.8
2859,r058,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Primary activity<sup>i</sup>,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Primary activity<sup>i</sup>,,5,,,
2859,r059,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Primary activity<sup>i</sup> -> R&D,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Primary activity<sup>i</sup>,R&D,6,72.1,79.8,58.1
2859,r060,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Primary activity<sup>i</sup> -> Teaching,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Primary activity<sup>i</sup>,Teaching,6,17.3,11.8,27.3
2859,r061,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Primary activity<sup>i</sup> -> Management or administration,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Primary activity<sup>i</sup>,Management or administration,6,1.9,1.9,1.9
2859,r062,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Primary activity<sup>i</sup> -> Professional services,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Primary activity<sup>i</sup>,Professional services,6,7.9,5.9,11.7
2859,r063,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Primary activity<sup>i</sup> -> Other,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Primary activity<sup>i</sup>,Other,6,0.7,0.6,1.0
2859,r064,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Secondary activity<sup>j</sup>,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Secondary activity<sup>j</sup>,,5,,,
2859,r065,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Secondary activity<sup>j</sup> -> R&D,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Secondary activity<sup>j</sup>,R&D,6,15.5,12.1,21.6
2859,r066,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Secondary activity<sup>j</sup> -> Teaching,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Secondary activity<sup>j</sup>,Teaching,6,9.5,10.4,8.0
2859,r067,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Secondary activity<sup>j</sup> -> Management or administration,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Secondary activity<sup>j</sup>,Management or administration,6,5.5,,
2859,r068,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Secondary activity<sup>j</sup> -> Professional services,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Secondary activity<sup>j</sup>,Professional services,6,5.2,,
2859,r069,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Secondary activity<sup>j</sup> -> Other,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Secondary activity<sup>j</sup>,Other,6,0.6,0.8,0.2
2859,r070,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Secondary activity<sup>j</sup> -> No secondary activity,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Secondary activity<sup>j</sup>,No secondary activity,6,63.7,66.6,58.3
2859,r071,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>b</sup> -> Definite employment (%)<sup>f</sup> -> Activity unknown,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>b</sup>,Definite employment (%)<sup>f</sup>,Activity unknown,,5,3.9,4.2,3.3
2859,r072,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>b</sup> -> Postgraduation location (%)<sup>k</sup>,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>b</sup>,Postgraduation location (%)<sup>k</sup>,,,4,,,
2859,r073,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>b</sup> -> Postgraduation location (%)<sup>k</sup> -> United States<sup>l</sup>,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>b</sup>,Postgraduation location (%)<sup>k</sup>,United States<sup>l</sup>,,5,87.3,89.9,83.9
2859,r074,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>b</sup> -> Postgraduation location (%)<sup>k</sup> -> United States<sup>l</sup> -> New England,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>b</sup>,Postgraduation location (%)<sup>k</sup>,United States<sup>l</sup>,New England,6,7.2,6.8,7.7
2859,r075,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>b</sup> -> Postgraduation location (%)<sup>k</sup> -> United States<sup>l</sup> -> Middle Atlantic,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>b</sup>,Postgraduation location (%)<sup>k</sup>,United States<sup>l</sup>,Middle Atlantic,6,13.5,11.6,16.0
2859,r076,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>b</sup> -> Postgraduation location (%)<sup>k</sup> -> United States<sup>l</sup> -> East North Central,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>b</sup>,Postgraduation location (%)<sup>k</sup>,United States<sup>l</sup>,East North Central,6,8.3,6.6,10.4
2859,r077,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>b</sup> -> Postgraduation location (%)<sup>k</sup> -> United States<sup>l</sup> -> West North Central,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>b</sup>,Postgraduation location (%)<sup>k</sup>,United States<sup>l</sup>,West North Central,6,2.3,1.5,3.4
2859,r078,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Postgraduation status (number)<sup>b</sup> -> Postgraduation location (%)<sup>k</sup> -> United States<sup>l</sup> -> South Atlantic,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Postgraduation status (number)<sup>b</sup>,Postgraduation location (%)<sup>k</sup>,United States<sup>l</sup>,South Atlantic,6,11.4,10.2,12.9
