table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_all_r_d_expenditures,field_medical_school_r_d_expenditures
5453,r039,Florida,Florida,,,1,"['', '']","['', '']"
5453,r040,Florida -> Public,Florida,Public,,2,"['', '']","['', '']"
5453,r041,Florida -> Public -> Florida Atlantic U.,Florida,Public,Florida Atlantic U.,3,"['53,845', '']","['7,812', '']"
5453,r042,Florida -> Public -> Florida International U.,Florida,Public,Florida International U.,3,"['236,842', '']","['13,240', '']"
5453,r043,Florida -> Public -> Florida State U.,Florida,Public,Florida State U.,3,"['350,430', '']","['32,224', '']"
5453,r044,Florida -> Public -> U. Central Florida,Florida,Public,U. Central Florida,3,"['239,343', '']","['4,668', '']"
5453,r045,Florida -> Public -> U. Florida,Florida,Public,U. Florida,3,"['942,223', '']","['413,667', '']"
5453,r046,"Florida -> Public -> U. South Florida, Tampa",Florida,Public,"U. South Florida, Tampa",3,"['333,344', '']","['129,862', '']"
5453,r047,Florida -> Private,Florida,Private,,2,"['', '']","['', '']"
5453,r048,Florida -> Private -> Nova Southeastern U.,Florida,Private,Nova Southeastern U.,3,"['26,035', '']","['11,588', '']"
5453,r049,Florida -> Private -> U. Miami,Florida,Private,U. Miami,3,"['381,410', '']","['289,710', '']"
5453,r050,Georgia,Georgia,,,1,"['', '']","['', '']"
5453,r051,Georgia -> Public,Georgia,Public,,2,"['', '']","['', '']"
5453,r052,Georgia -> Public -> Augusta U.,Georgia,Public,Augusta U.,3,"['103,961', '']","['99,310', '']"
5453,r053,Georgia -> Private,Georgia,Private,,2,"['', '']","['', '']"
5453,r054,Georgia -> Private -> Emory U.,Georgia,Private,Emory U.,3,"['808,792', '']","['489,072', '']"
5453,r055,Georgia -> Private -> Mercer U.,Georgia,Private,Mercer U.,3,"['49,116', '']","['5,279', '']"
5453,r056,Georgia -> Private -> Morehouse School of Medicine,Georgia,Private,Morehouse School of Medicine,3,"['29,813', '']","['29,813', '']"
5453,r057,Hawaii,Hawaii,,,1,"['', '']","['', '']"
5453,r058,Hawaii -> Public,Hawaii,Public,,2,"['', '']","['', '']"
5453,r059,"Hawaii -> Public -> U. Hawaii, Manoa",Hawaii,Public,"U. Hawaii, Manoa",3,"['275,929', '']","['29,378', '']"
5453,r060,Illinois,Illinois,,,1,"['', '']","['', '']"
5453,r061,Illinois -> Public,Illinois,Public,,2,"['', '']","['', '']"
5453,r062,"Illinois -> Public -> Southern Illinois U., Carbondale",Illinois,Public,"Southern Illinois U., Carbondale",3,"['41,617', '']","['19,746', '']"
5453,r063,"Illinois -> Public -> U. Illinois, Chicago",Illinois,Public,"U. Illinois, Chicago",3,"['412,147', '']","['188,917', '']"
5453,r064,"Illinois -> Public -> U. Illinois, Urbana-Champaign",Illinois,Public,"U. Illinois, Urbana-Champaign",3,"['689,176', '']","['379', '']"
5453,r065,Illinois -> Private,Illinois,Private,,2,"['', '']","['', '']"
5453,r066,"Illinois -> Private -> Loyola U., Chicago",Illinois,Private,"Loyola U., Chicago",3,"['39,365', '']","['32,954', '']"
5453,r067,Illinois -> Private -> Midwestern U.,Illinois,Private,Midwestern U.,3,"['10,479', '']","['6,667', '']"
5453,r068,Illinois -> Private -> Northwestern U.,Illinois,Private,Northwestern U.,3,"['874,671', '']","['669,341', '']"
5453,r069,Illinois -> Private -> Rosalind Franklin U. of Medicine and Science,Illinois,Private,Rosalind Franklin U. of Medicine and Science,3,"['14,601', '']","['13,448', '']"
5453,r070,Illinois -> Private -> Rush U.,Illinois,Private,Rush U.,3,"['94,438', '']","['91,199', '']"
5453,r071,Illinois -> Private -> U. Chicago,Illinois,Private,U. Chicago,3,"['458,891', '']","['303,561', '']"
5453,r072,Indiana,Indiana,,,1,"['', '']","['', '']"
5453,r073,Indiana -> Public,Indiana,Public,,2,"['', '']","['', '']"
5453,r074,"Indiana -> Public -> Indiana U., Bloomington",Indiana,Public,"Indiana U., Bloomington",3,"['728,554', '']","['483,750', '']"
5453,r075,Iowa,Iowa,,,1,"['', '']","['', '']"
5453,r076,Iowa -> Public,Iowa,Public,,2,"['', '']","['', '']"
5453,r077,Iowa -> Public -> U. Iowa,Iowa,Public,U. Iowa,3,"['538,583', '']","['305,951', '']"
5453,r078,Iowa -> Private,Iowa,Private,,2,"['', '']","['', '']"
5453,r079,Iowa -> Private -> Des Moines U.,Iowa,Private,Des Moines U.,3,"['5,021', '']","['722', '']"
5453,r080,Kansas,Kansas,,,1,"['', '']","['', '']"
5453,r081,Kansas -> Public,Kansas,Public,,2,"['', '']","['', '']"
5453,r082,Kansas -> Public -> U. Kansas,Kansas,Public,U. Kansas,3,"['368,811', '']","['143,930', '']"
5453,r083,Kentucky,Kentucky,,,1,"['', '']","['', '']"
5453,r084,Kentucky -> Public,Kentucky,Public,,2,"['', '']","['', '']"
5453,r085,Kentucky -> Public -> U. Kentucky,Kentucky,Public,U. Kentucky,3,"['417,674', '']","['164,532', '']"
5453,r086,Kentucky -> Public -> U. Louisville,Kentucky,Public,U. Louisville,3,"['198,818', '']","['137,378', '']"
5453,r087,Louisiana,Louisiana,,,1,"['', '']","['', '']"
5453,r088,Louisiana -> Public,Louisiana,Public,,2,"['', '']","['', '']"
5453,r089,"Louisiana -> Public -> Louisiana State U., Health Sciences Center, New Orleans",Louisiana,Public,"Louisiana State U., Health Sciences Center, New Orleans",3,"['43,419', '']","['35,073', '']"
5453,r090,"Louisiana -> Public -> Louisiana State U., Health Sciences Center, Shreveport",Louisiana,Public,"Louisiana State U., Health Sciences Center, Shreveport",3,"['25,321', '']","['25,321', '']"
5453,r091,Louisiana -> Private,Louisiana,Private,,2,"['', '']","['', '']"
5453,r092,Louisiana -> Private -> Tulane U.,Louisiana,Private,Tulane U.,3,"['204,430', '']","['74,361', '']"
5453,r093,Maine,Maine,,,1,"['', '']","['', '']"
5453,r094,Maine -> Private,Maine,Private,,2,"['', '']","['', '']"
5453,r095,Maine -> Private -> U. New England,Maine,Private,U. New England,3,"['6,886', '']","['1,338', '']"
5453,r096,Maryland,Maryland,,,1,"['', '']","['', '']"
5453,r097,Maryland -> Public,Maryland,Public,,2,"['', '']","['', '']"
5453,r098,Maryland -> Public -> U. Maryland<sup>b</sup>,Maryland,Public,U. Maryland<sup>b</sup>,3,"['1,103,062', '']","['460,692', '']"
5453,r099,Maryland -> Public -> Uniformed Services U. of the Health Sciences,Maryland,Public,Uniformed Services U. of the Health Sciences,3,"['324,510', '']","['227,981', '']"
5453,r100,Maryland -> Private,Maryland,Private,,2,"['', '']","['', '']"
5453,r101,Maryland -> Private -> Johns Hopkins U.<sup>c</sup>,Maryland,Private,Johns Hopkins U.<sup>c</sup>,3,"['3,110,494', '']","['756,810', '']"
5453,r102,Massachusetts,Massachusetts,,,1,"['', '']","['', '']"
5453,r103,Massachusetts -> Public,Massachusetts,Public,,2,"['', '']","['', '']"
5453,r104,"Massachusetts -> Public -> U. Massachusetts, Medical School",Massachusetts,Public,"U. Massachusetts, Medical School",3,"['279,096', '']","['279,096', '']"
5453,r105,Massachusetts -> Private,Massachusetts,Private,,2,"['', '']","['', '']"
5453,r106,Massachusetts -> Private -> Boston U.,Massachusetts,Private,Boston U.,3,"['583,267', '']","['175,831', '']"
5453,r107,Massachusetts -> Private -> Harvard U.,Massachusetts,Private,Harvard U.,3,"['1,239,983', '']","['294,526', '']"
5453,r108,Massachusetts -> Private -> Tufts U.,Massachusetts,Private,Tufts U.,3,"['216,241', '']","['48,027', '']"
5453,r109,Michigan,Michigan,,,1,"['', '']","['', '']"
5453,r110,Michigan -> Public,Michigan,Public,,2,"['', '']","['', '']"
5453,r111,Michigan -> Public -> Central Michigan U.,Michigan,Public,Central Michigan U.,3,"['17,448', '']","['4,245', '']"
5453,r112,Michigan -> Public -> Michigan State U.,Michigan,Public,Michigan State U.,3,"['713,197', '']","['89,464', '']"
5453,r113,Michigan -> Public -> Oakland U.,Michigan,Public,Oakland U.,3,"['12,949', '']","['1,069', '']"
5453,r114,"Michigan -> Public -> U. Michigan, Ann Arbor",Michigan,Public,"U. Michigan, Ann Arbor",3,"['1,673,862', '']","['678,209', '']"
5453,r115,Michigan -> Public -> Wayne State U.,Michigan,Public,Wayne State U.,3,"['243,259', '']","['163,237', '']"
5453,r116,Michigan -> Public -> Western Michigan U. and Homer Stryker M.D. School of Medicine,Michigan,Public,Western Michigan U. and Homer Stryker M.D. School of Medicine,3,"['24,541', '']","['5,617', '']"
5453,r117,Minnesota,Minnesota,,,1,"['', '']","['', '']"
5453,r118,Minnesota -> Public,Minnesota,Public,,2,"['', '']","['', '']"
5453,r119,"Minnesota -> Public -> U. Minnesota, Twin Cities",Minnesota,Public,"U. Minnesota, Twin Cities",3,"['1,042,382', '']","['325,841', '']"
5453,r120,Mississippi,Mississippi,,,1,"['', '']","['', '']"
5453,r121,Mississippi -> Public,Mississippi,Public,,2,"['', '']","['', '']"
5453,r122,Mississippi -> Public -> U. Mississippi,Mississippi,Public,U. Mississippi,3,"['122,960', '']","['43,557', '']"
5453,r123,Missouri,Missouri,,,1,"['', '']","['', '']"
5453,r124,Missouri -> Public,Missouri,Public,,2,"['', '']","['', '']"
5453,r125,"Missouri -> Public -> U. Missouri, Columbia",Missouri,Public,"U. Missouri, Columbia",3,"['332,180', '']","['51,173', '']"
5453,r126,"Missouri -> Public -> U. Missouri, Kansas City",Missouri,Public,"U. Missouri, Kansas City",3,"['36,356', '']","['5,209', '']"
5453,r127,Missouri -> Private,Missouri,Private,,2,"['', '']","['', '']"
5453,r128,Missouri -> Private -> Saint Louis U.,Missouri,Private,Saint Louis U.,3,"['69,528', '']","['33,103', '']"
5453,r129,"Missouri -> Private -> Washington U., Saint Louis",Missouri,Private,"Washington U., Saint Louis",3,"['920,215', '']","['767,811', '']"
5453,r130,Nebraska,Nebraska,,,1,"['', '']","['', '']"
5453,r131,Nebraska -> Public,Nebraska,Public,,2,"['', '']","['', '']"
5453,r132,"Nebraska -> Public -> U. Nebraska, Medical Center",Nebraska,Public,"U. Nebraska, Medical Center",3,"['202,406', '']","['125,498', '']"
5453,r133,Nebraska -> Private,Nebraska,Private,,2,"['', '']","['', '']"
5453,r134,Nebraska -> Private -> Creighton U.,Nebraska,Private,Creighton U.,3,"['20,339', '']","['14,793', 'i']"
5453,r135,Nevada,Nevada,,,1,"['', '']","['', '']"
5453,r136,Nevada -> Public,Nevada,Public,,2,"['', '']","['', '']"
5453,r137,"Nevada -> Public -> U. Nevada, Las Vegas",Nevada,Public,"U. Nevada, Las Vegas",3,"['105,872', '']","['9,046', '']"
5453,r138,"Nevada -> Public -> U. Nevada, Reno",Nevada,Public,"U. Nevada, Reno",3,"['159,790', '']","['31,078', '']"
5453,r139,New Hampshire,New Hampshire,,,1,"['', '']","['', '']"
5453,r140,New Hampshire -> Private,New Hampshire,Private,,2,"['', '']","['', '']"
5453,r141,New Hampshire -> Private -> Dartmouth C. and Dartmouth Hitchcock Medical Center,New Hampshire,Private,Dartmouth C. and Dartmouth Hitchcock Medical Center,3,"['326,349', '']","['157,938', '']"
5453,r142,New Jersey,New Jersey,,,1,"['', '']","['', '']"
5453,r143,New Jersey -> Public,New Jersey,Public,,2,"['', '']","['', '']"
5453,r144,New Jersey -> Public -> Rowan U.,New Jersey,Public,Rowan U.,3,"['26,018', '']","['10,881', '']"
5453,r145,"New Jersey -> Public -> Rutgers, State U. New Jersey, New Brunswick",New Jersey,Public,"Rutgers, State U. New Jersey, New Brunswick",3,"['688,077', '']","['314,904', '']"
5453,r146,New Mexico,New Mexico,,,1,"['', '']","['', '']"
5453,r147,New Mexico -> Public,New Mexico,Public,,2,"['', '']","['', '']"
5453,r148,New Mexico -> Public -> U. New Mexico,New Mexico,Public,U. New Mexico,3,"['243,375', '']","['99,013', '']"
5453,r149,New York,New York,,,1,"['', '']","['', '']"
5453,r150,New York -> Public,New York,Public,,2,"['', '']","['', '']"
5453,r151,"New York -> Public -> CUNY, City C.",New York,Public,"CUNY, City C.",3,"['45,632', '']","['4,337', '']"
5453,r152,"New York -> Public -> SUNY, Downstate Medical Center",New York,Public,"SUNY, Downstate Medical Center",3,"['33,204', '']","['32,666', '']"
5453,r153,"New York -> Public -> SUNY, Stony Brook U.",New York,Public,"SUNY, Stony Brook U.",3,"['263,470', '']","['119,769', '']"
5453,r154,"New York -> Public -> SUNY, U. Buffalo",New York,Public,"SUNY, U. Buffalo",3,"['422,038', '']","['206,086', '']"
5453,r155,"New York -> Public -> SUNY, Upstate Medical U.",New York,Public,"SUNY, Upstate Medical U.",3,"['41,557', '']","['32,097', '']"
5453,r156,New York -> Private,New York,Private,,2,"['', '']","['', '']"
5453,r157,New York -> Private -> Albany Medical C.,New York,Private,Albany Medical C.,3,"['23,510', '']","['23,510', '']"
5453,r158,New York -> Private -> Albert Einstein C. of Medicine,New York,Private,Albert Einstein C. of Medicine,3,"['288,654', '']","['286,191', '']"
5453,r159,New York -> Private -> Columbia U. in the City of New York,New York,Private,Columbia U. in the City of New York,3,"['1,032,909', '']","['529,123', '']"
5453,r160,New York -> Private -> Cornell U.,New York,Private,Cornell U.,3,"['1,190,063', '']","['483,888', '']"
5453,r161,New York -> Private -> Hofstra U.,New York,Private,Hofstra U.,3,"['1,445', '']","['7', '']"
5453,r162,New York -> Private -> Icahn School of Medicine at Mount Sinai,New York,Private,Icahn School of Medicine at Mount Sinai,3,"['747,014', '']","['747,014', '']"
5453,r163,New York -> Private -> New York Institute of Technology,New York,Private,New York Institute of Technology,3,"['3,580', '']","['2,263', '']"
5453,r164,New York -> Private -> New York Medical C.,New York,Private,New York Medical C.,3,"['20,137', '']","['17,107', '']"
5453,r165,New York -> Private -> New York U.,New York,Private,New York U.,3,"['947,293', '']","['577,824', '']"
5453,r166,New York -> Private -> U. Rochester,New York,Private,U. Rochester,3,"['397,211', '']","['246,992', '']"
5453,r167,North Carolina,North Carolina,,,1,"['', '']","['', '']"
5453,r168,North Carolina -> Public,North Carolina,Public,,2,"['', '']","['', '']"
5453,r169,North Carolina -> Public -> East Carolina U.,North Carolina,Public,East Carolina U.,3,"['57,820', '']","['19,480', '']"
5453,r170,"North Carolina -> Public -> U. North Carolina, Chapel Hill",North Carolina,Public,"U. North Carolina, Chapel Hill",3,"['1,159,725', '']","['660,581', '']"
5453,r171,North Carolina -> Private,North Carolina,Private,,2,"['', '']","['', '']"
5453,r172,North Carolina -> Private -> Duke U.,North Carolina,Private,Duke U.,3,"['1,196,638', '']","['951,248', '']"
5453,r173,North Carolina -> Private -> Wake Forest U.,North Carolina,Private,Wake Forest U.,3,"['244,643', '']","['230,497', '']"
5453,r174,North Dakota,North Dakota,,,1,"['', '']","['', '']"
5453,r175,North Dakota -> Public,North Dakota,Public,,2,"['', '']","['', '']"
5453,r176,North Dakota -> Public -> U. North Dakota,North Dakota,Public,U. North Dakota,3,"['111,663', '']","['26,637', '']"
5453,r177,Ohio,Ohio,,,1,"['', '']","['', '']"
5453,r178,Ohio -> Public,Ohio,Public,,2,"['', '']","['', '']"
5453,r179,Ohio -> Public -> Northeast Ohio Medical U.,Ohio,Public,Northeast Ohio Medical U.,3,"['15,758', '']","['14,094', '']"
5453,r180,Ohio -> Public -> Ohio State U.,Ohio,Public,Ohio State U.,3,"['968,260', '']","['437,814', '']"
5453,r181,Ohio -> Public -> Ohio U.,Ohio,Public,Ohio U.,3,"['51,914', '']","['9,464', '']"
5453,r182,Ohio -> Public -> U. Cincinnati,Ohio,Public,U. Cincinnati,3,"['530,138', '']","['428,734', '']"
5453,r183,Ohio -> Public -> U. Toledo,Ohio,Public,U. Toledo,3,"['54,100', '']","['18,480', '']"
5453,r184,Ohio -> Public -> Wright State U.,Ohio,Public,Wright State U.,3,"['49,825', '']","['11,632', '']"
5453,r185,Ohio -> Private,Ohio,Private,,2,"['', '']","['', '']"
5453,r186,Ohio -> Private -> Case Western Reserve U.,Ohio,Private,Case Western Reserve U.,3,"['439,778', '']","['356,343', '']"
5453,r187,Oklahoma,Oklahoma,,,1,"['', '']","['', '']"
5453,r188,Oklahoma -> Public,Oklahoma,Public,,2,"['', '']","['', '']"
5453,r189,"Oklahoma -> Public -> Oklahoma State U., Center for Health Sciences",Oklahoma,Public,"Oklahoma State U., Center for Health Sciences",3,"['8,378', '']","['8,378', '']"
5453,r190,"Oklahoma -> Public -> U. Oklahoma, Norman and Health Science Center",Oklahoma,Public,"U. Oklahoma, Norman and Health Science Center",3,"['362,209', '']","['128,810', '']"
5453,r191,"Oklahoma -> Public -> U. Oklahoma, Tulsa",Oklahoma,Public,"U. Oklahoma, Tulsa",3,"['7,483', '']","['2,473', '']"
5453,r192,Oregon,Oregon,,,1,"['', '']","['', '']"
5453,r193,Oregon -> Public,Oregon,Public,,2,"['', '']","['', '']"
5453,r194,Oregon -> Public -> Oregon Health and Science U.,Oregon,Public,Oregon Health and Science U.,3,"['446,890', '']","['257,102', '']"
5453,r195,Pennsylvania,Pennsylvania,,,1,"['', '']","['', '']"
5453,r196,Pennsylvania -> Public,Pennsylvania,Public,,2,"['', '']","['', '']"
5453,r197,"Pennsylvania -> Public -> Pennsylvania State U., University Park and Hershey Medical Center",Pennsylvania,Public,"Pennsylvania State U., University Park and Hershey Medical Center",3,"['991,923', '']","['99,514', '']"
5453,r198,Pennsylvania -> Public -> Temple U.,Pennsylvania,Public,Temple U.,3,"['299,707', '']","['103,228', '']"
5453,r199,"Pennsylvania -> Public -> U. Pittsburgh, Pittsburgh",Pennsylvania,Public,"U. Pittsburgh, Pittsburgh",3,"['1,105,532', '']","['816,602', '']"
5453,r200,Pennsylvania -> Private,Pennsylvania,Private,,2,"['', '']","['', '']"
5453,r201,Pennsylvania -> Private -> Drexel U.,Pennsylvania,Private,Drexel U.,3,"['143,123', '']","['47,029', '']"
5453,r202,Pennsylvania -> Private -> Philadelphia C. of Osteopathic Medicine,Pennsylvania,Private,Philadelphia C. of Osteopathic Medicine,3,"['3,360', '']","['945', '']"
5453,r203,Pennsylvania -> Private -> Thomas Jefferson U.,Pennsylvania,Private,Thomas Jefferson U.,3,"['171,377', '']","['156,488', '']"
5453,r204,Pennsylvania -> Private -> U. Pennsylvania,Pennsylvania,Private,U. Pennsylvania,3,"['1,579,364', '']","['1,048,020', '']"
5453,r205,Rhode Island,Rhode Island,,,1,"['', '']","['', '']"
5453,r206,Rhode Island -> Private,Rhode Island,Private,,2,"['', '']","['', '']"
5453,r207,Rhode Island -> Private -> Brown U.,Rhode Island,Private,Brown U.,3,"['266,127', '']","['130,019', '']"
5453,r208,South Carolina,South Carolina,,,1,"['', '']","['', '']"
5453,r209,South Carolina -> Public,South Carolina,Public,,2,"['', '']","['', '']"
5453,r210,South Carolina -> Public -> Medical U. South Carolina,South Carolina,Public,Medical U. South Carolina,3,"['272,590', '']","['224,675', '']"
5453,r211,"South Carolina -> Public -> U. South Carolina, Columbia",South Carolina,Public,"U. South Carolina, Columbia",3,"['219,464', '']","['18,183', '']"
5453,r212,South Dakota,South Dakota,,,1,"['', '']","['', '']"
5453,r213,South Dakota -> Public,South Dakota,Public,,2,"['', '']","['', '']"
5453,r214,South Dakota -> Public -> U. South Dakota,South Dakota,Public,U. South Dakota,3,"['29,279', '']","['9,821', '']"
5453,r215,Tennessee,Tennessee,,,1,"['', '']","['', '']"
5453,r216,Tennessee -> Public,Tennessee,Public,,2,"['', '']","['', '']"
5453,r217,Tennessee -> Public -> East Tennessee State U.,Tennessee,Public,East Tennessee State U.,3,"['13,925', '']","['8,667', '']"
5453,r218,"Tennessee -> Public -> U. Tennessee, Health Science Center",Tennessee,Public,"U. Tennessee, Health Science Center",3,"['99,716', '']","['99,716', '']"
5453,r219,Tennessee -> Private,Tennessee,Private,,2,"['', '']","['', '']"
5453,r220,Tennessee -> Private -> Meharry Medical C.,Tennessee,Private,Meharry Medical C.,3,"['13,870', '']","['11,687', '']"
5453,r221,Tennessee -> Private -> Vanderbilt U. and Vanderbilt U. Medical Center,Tennessee,Private,Vanderbilt U. and Vanderbilt U. Medical Center,3,"['824,803', '']","['461,701', '']"
5453,r222,Texas,Texas,,,1,"['', '']","['', '']"
5453,r223,Texas -> Public,Texas,Public,,2,"['', '']","['', '']"
5453,r224,Texas -> Public -> Sam Houston State U.,Texas,Public,Sam Houston State U.,3,"['12,437', '']","['162', '']"
5453,r225,"Texas -> Public -> Texas A&M U., College Station and Health Science Center",Texas,Public,"Texas A&M U., College Station and Health Science Center",3,"['1,130,803', '']","['52,199', '']"
5453,r226,"Texas -> Public -> Texas Tech U., Health Sciences Center",Texas,Public,"Texas Tech U., Health Sciences Center",3,"['44,135', '']","['28,086', '']"
5453,r227,"Texas -> Public -> Texas Tech U., Health Sciences Center, El Paso",Texas,Public,"Texas Tech U., Health Sciences Center, El Paso",3,"['10,421', '']","['8,785', '']"
5453,r228,Texas -> Public -> U. Houston,Texas,Public,U. Houston,3,"['200,428', '']","['223', '']"
5453,r229,"Texas -> Public -> U. North Texas, Health Science Center",Texas,Public,"U. North Texas, Health Science Center",3,"['47,392', '']","['3,028', '']"
5453,r230,"Texas -> Public -> U. Texas Health Science Center, Houston",Texas,Public,"U. Texas Health Science Center, Houston",3,"['273,862', '']","['162,789', '']"
5453,r231,"Texas -> Public -> U. Texas Health Science Center, San Antonio",Texas,Public,"U. Texas Health Science Center, San Antonio",3,"['202,572', '']","['160,550', '']"
5453,r232,Texas -> Public -> U. Texas Medical Branch,Texas,Public,U. Texas Medical Branch,3,"['180,595', '']","['173,519', '']"
5453,r233,Texas -> Public -> U. Texas Rio Grande Valley,Texas,Public,U. Texas Rio Grande Valley,3,"['56,702', '']","['22,605', '']"
5453,r234,Texas -> Public -> U. Texas Southwestern Medical Center,Texas,Public,U. Texas Southwestern Medical Center,3,"['595,939', '']","['523,714', '']"
5453,r235,"Texas -> Public -> U. Texas, Austin",Texas,Public,"U. Texas, Austin",3,"['797,199', '']","['35,055', '']"
5453,r236,Texas -> Private,Texas,Private,,2,"['', '']","['', '']"
5453,r237,Texas -> Private -> Baylor C. of Medicine,Texas,Private,Baylor C. of Medicine,3,"['685,641', '']","['685,641', '']"
5453,r238,Texas -> Private -> Texas Christian U.,Texas,Private,Texas Christian U.,3,"['15,326', '']","['42', '']"
5453,r239,Texas -> Private -> U. of the Incarnate Word,Texas,Private,U. of the Incarnate Word,3,"['1,469', '']","['284', '']"
5453,r240,Utah,Utah,,,1,"['', '']","['', '']"
5453,r241,Utah -> Public,Utah,Public,,2,"['', '']","['', '']"
5453,r242,Utah -> Public -> U. Utah,Utah,Public,U. Utah,3,"['607,061', '']","['217,404', '']"
5453,r243,Vermont,Vermont,,,1,"['', '']","['', '']"
5453,r244,Vermont -> Public,Vermont,Public,,2,"['', '']","['', '']"
5453,r245,Vermont -> Public -> U. Vermont,Vermont,Public,U. Vermont,3,"['191,147', '']","['105,789', '']"
5453,r246,Virginia,Virginia,,,1,"['', '']","['', '']"
5453,r247,Virginia -> Public,Virginia,Public,,2,"['', '']","['', '']"
5453,r248,Virginia -> Public -> Eastern Virginia Medical School,Virginia,Public,Eastern Virginia Medical School,3,"['20,870', '']","['20,635', '']"
5453,r249,"Virginia -> Public -> U. Virginia, Charlottesville",Virginia,Public,"U. Virginia, Charlottesville",3,"['652,002', '']","['327,421', '']"
5453,r250,Virginia -> Public -> Virginia Commonwealth U.,Virginia,Public,Virginia Commonwealth U.,3,"['283,874', '']","['154,418', '']"
