table_id,row_id,sex_ethnicity_race_disability_status_and_field_full_path,sex_ethnicity_race_disability_status_and_field_level_1,sex_ethnicity_race_disability_status_and_field_level_2,sex_ethnicity_race_disability_status_and_field_level_3,sex_ethnicity_race_disability_status_and_field_level_4,sex_ethnicity_race_disability_status_and_field_hierarchy_depth,field_total_number_,field_all_institutions,field_doctoral_highest_research,field_doctoral_higher_research,field_doctoral_moderate_research,field_medical_schools_and_centers,field_other_or_unknown_carnegie_group
1228,r024,All S&E doctorate recipients<sup>a</sup> -> Science<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All S&E doctorate recipients<sup>a</sup>,Science<sup>a</sup>,Not Hispanic or Latino,More than one race,4,599,100.0,78.8,12.4,2.3,,
1228,r025,All S&E doctorate recipients<sup>a</sup> -> Science<sup>a</sup> -> Not Hispanic or Latino -> Other race or race not reported,All S&E doctorate recipients<sup>a</sup>,Science<sup>a</sup>,Not Hispanic or Latino,Other race or race not reported,4,242,100.0,,,,2.5,3.3
1228,r026,All S&E doctorate recipients<sup>a</sup> -> Science<sup>a</sup> -> Ethnicity not reported,All S&E doctorate recipients<sup>a</sup>,Science<sup>a</sup>,Ethnicity not reported,,3,445,100.0,78.2,13.9,,1.8,
1228,r027,All S&E doctorate recipients<sup>a</sup> -> Science<sup>a</sup> -> Without disability,All S&E doctorate recipients<sup>a</sup>,Science<sup>a</sup>,Without disability,,3,16520,100.0,76.3,14.3,3.9,3.5,2.0
1228,r028,All S&E doctorate recipients<sup>a</sup> -> Science<sup>a</sup> -> With disability,All S&E doctorate recipients<sup>a</sup>,Science<sup>a</sup>,With disability,,3,1514,100.0,75.7,13.9,,3.1,
1228,r029,All S&E doctorate recipients<sup>a</sup> -> Engineering<sup>a</sup>,All S&E doctorate recipients<sup>a</sup>,Engineering<sup>a</sup>,,,2,4293,100.0,83.3,13.2,1.7,0.7,1.1
1228,r030,All S&E doctorate recipients<sup>a</sup> -> Engineering<sup>a</sup> -> Male,All S&E doctorate recipients<sup>a</sup>,Engineering<sup>a</sup>,Male,,3,3208,100.0,83.6,13.0,1.9,0.4,1.1
1228,r031,All S&E doctorate recipients<sup>a</sup> -> Engineering<sup>a</sup> -> Female,All S&E doctorate recipients<sup>a</sup>,Engineering<sup>a</sup>,Female,,3,1085,100.0,82.5,13.9,1.1,1.5,1.0
1228,r032,All S&E doctorate recipients<sup>a</sup> -> Engineering<sup>a</sup> -> Hispanic or Latino<sup>b</sup>,All S&E doctorate recipients<sup>a</sup>,Engineering<sup>a</sup>,Hispanic or Latino<sup>b</sup>,,3,283,100.0,80.6,16.6,,,1.4
1228,r033,All S&E doctorate recipients<sup>a</sup> -> Engineering<sup>a</sup> -> Not Hispanic or Latino,All S&E doctorate recipients<sup>a</sup>,Engineering<sup>a</sup>,Not Hispanic or Latino,,3,,,,,,,
1228,r034,All S&E doctorate recipients<sup>a</sup> -> Engineering<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaskan Native,All S&E doctorate recipients<sup>a</sup>,Engineering<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaskan Native,4,10,100.0,,,,0.0,0.0
1228,r035,All S&E doctorate recipients<sup>a</sup> -> Engineering<sup>a</sup> -> Not Hispanic or Latino -> Asian,All S&E doctorate recipients<sup>a</sup>,Engineering<sup>a</sup>,Not Hispanic or Latino,Asian,4,723,100.0,88.1,7.6,,,0.8
1228,r036,All S&E doctorate recipients<sup>a</sup> -> Engineering<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All S&E doctorate recipients<sup>a</sup>,Engineering<sup>a</sup>,Not Hispanic or Latino,Black or African American,4,169,100.0,71.6,22.5,,0.0,
1228,r037,All S&E doctorate recipients<sup>a</sup> -> Engineering<sup>a</sup> -> Not Hispanic or Latino -> White,All S&E doctorate recipients<sup>a</sup>,Engineering<sup>a</sup>,Not Hispanic or Latino,White,4,2786,100.0,82.8,13.9,1.8,0.5,1.0
1228,r038,All S&E doctorate recipients<sup>a</sup> -> Engineering<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All S&E doctorate recipients<sup>a</sup>,Engineering<sup>a</sup>,Not Hispanic or Latino,More than one race,4,113,100.0,89.4,10.6,0.0,0.0,0.0
1228,r039,All S&E doctorate recipients<sup>a</sup> -> Engineering<sup>a</sup> -> Not Hispanic or Latino -> Other race or race not reported,All S&E doctorate recipients<sup>a</sup>,Engineering<sup>a</sup>,Not Hispanic or Latino,Other race or race not reported,4,66,100.0,,,,0.0,1.5
1228,r040,All S&E doctorate recipients<sup>a</sup> -> Engineering<sup>a</sup> -> Ethnicity not reported,All S&E doctorate recipients<sup>a</sup>,Engineering<sup>a</sup>,Ethnicity not reported,,3,143,100.0,84.6,12.6,,0.0,
1228,r041,All S&E doctorate recipients<sup>a</sup> -> Engineering<sup>a</sup> -> Without disability,All S&E doctorate recipients<sup>a</sup>,Engineering<sup>a</sup>,Without disability,,3,3556,100.0,83.4,13.2,1.7,0.8,0.9
1228,r042,All S&E doctorate recipients<sup>a</sup> -> Engineering<sup>a</sup> -> With disability,All S&E doctorate recipients<sup>a</sup>,Engineering<sup>a</sup>,With disability,,3,274,100.0,81.8,15.7,,0.0,
