table_id,row_id,time_period,all_scientists_and_engineers_employed_in_all_three_surveys_level_1,all_scientists_and_engineers_employed_in_all_three_surveys_level_2,all_scientists_and_engineers_employed_in_all_three_surveys_level_3,all_scientists_and_engineers_employed_in_all_three_surveys_hierarchy_depth,value
6339,r027,Total -> Gender -> Male,Employment sector changes (%),2,Percent,3,5.16
6339,r028,Total -> Gender -> Male,Employment sector changes (%),2,SE,3,0.2
6339,r029,Total -> Gender -> Female,All scientists and engineers employed in all three surveys,Number,,2,251200
6339,r030,Total -> Gender -> Female,All scientists and engineers employed in all three surveys,SE,,2,1350
6339,r031,Total -> Gender -> Female,Employment sector changes (number),0,Total,3,194750
6339,r032,Total -> Gender -> Female,Employment sector changes (number),0,SE,3,1300
6339,r033,Total -> Gender -> Female,Employment sector changes (number),1,Total,3,40900
6339,r034,Total -> Gender -> Female,Employment sector changes (number),1,SE,3,950
6339,r035,Total -> Gender -> Female,Employment sector changes (number),2,Total,3,15550
6339,r036,Total -> Gender -> Female,Employment sector changes (number),2,SE,3,725
6339,r037,Total -> Gender -> Female,Employment sector changes (%),0,Percent,3,77.53
6339,r038,Total -> Gender -> Female,Employment sector changes (%),0,SE,3,0.45
6339,r039,Total -> Gender -> Female,Employment sector changes (%),1,Percent,3,16.28
6339,r040,Total -> Gender -> Female,Employment sector changes (%),1,SE,3,0.4
6339,r041,Total -> Gender -> Female,Employment sector changes (%),2,Percent,3,6.19
6339,r042,Total -> Gender -> Female,Employment sector changes (%),2,SE,3,0.3
6339,r043,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,All scientists and engineers employed in all three surveys,Number,,2,38350
6339,r044,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,All scientists and engineers employed in all three surveys,SE,,2,525
6339,r045,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Employment sector changes (number),0,Total,3,30100
6339,r046,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Employment sector changes (number),0,SE,3,525
6339,r047,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Employment sector changes (number),1,Total,3,5850
6339,r048,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Employment sector changes (number),1,SE,3,300
6339,r049,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Employment sector changes (number),2,Total,3,2400
6339,r050,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Employment sector changes (number),2,SE,3,225
6339,r051,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Employment sector changes (%),0,Percent,3,78.57
6339,r052,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Employment sector changes (%),0,SE,3,0.9
6339,r053,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Employment sector changes (%),1,Percent,3,15.2
6339,r054,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Employment sector changes (%),1,SE,3,0.75
6339,r055,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Employment sector changes (%),2,Percent,3,6.24
6339,r056,Total -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>,Employment sector changes (%),2,SE,3,0.6
6339,r057,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All scientists and engineers employed in all three surveys,Number,,2,2150
6339,r058,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All scientists and engineers employed in all three surveys,SE,,2,200
6339,r059,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,Employment sector changes (number),0,Total,3,1850
6339,r060,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,Employment sector changes (number),0,SE,3,200
6339,r061,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,Employment sector changes (number),1,Total,3,200
6339,r062,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,Employment sector changes (number),1,SE,3,75
6339,r063,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,Employment sector changes (number),2,Total,3,100
6339,r064,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,Employment sector changes (number),2,SE,3,50
6339,r065,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,Employment sector changes (%),0,Percent,3,86.67
6339,r066,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,Employment sector changes (%),0,SE,3,3.1
6339,r067,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,Employment sector changes (%),1,Percent,3,8.92
6339,r068,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,Employment sector changes (%),1,SE,3,2.6
6339,r069,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,Employment sector changes (%),2,Percent,3,4.42
6339,r070,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,Employment sector changes (%),2,SE,3,1.8
6339,r071,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian,All scientists and engineers employed in all three surveys,Number,,2,211250
6339,r072,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian,All scientists and engineers employed in all three surveys,SE,,2,1400
6339,r073,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian,Employment sector changes (number),0,Total,3,172750
6339,r074,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian,Employment sector changes (number),0,SE,3,1700
6339,r075,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian,Employment sector changes (number),1,Total,3,26300
6339,r076,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian,Employment sector changes (number),1,SE,3,925
6339,r077,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian,Employment sector changes (number),2,Total,3,12200
6339,r078,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian,Employment sector changes (number),2,SE,3,650
6339,r079,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian,Employment sector changes (%),0,Percent,3,81.78
6339,r080,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian,Employment sector changes (%),0,SE,3,0.55
6339,r081,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian,Employment sector changes (%),1,Percent,3,12.46
6339,r082,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian,Employment sector changes (%),1,SE,3,0.45
6339,r083,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian,Employment sector changes (%),2,Percent,3,5.77
6339,r084,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian,Employment sector changes (%),2,SE,3,0.3
6339,r085,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All scientists and engineers employed in all three surveys,Number,,2,25450
6339,r086,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All scientists and engineers employed in all three surveys,SE,,2,425
6339,r087,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,Employment sector changes (number),0,Total,3,19100
6339,r088,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,Employment sector changes (number),0,SE,3,400
6339,r089,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,Employment sector changes (number),1,Total,3,4300
6339,r090,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,Employment sector changes (number),1,SE,3,250
6339,r091,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,Employment sector changes (number),2,Total,3,2050
6339,r092,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,Employment sector changes (number),2,SE,3,200
6339,r093,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,Employment sector changes (%),0,Percent,3,75.07
6339,r094,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,Employment sector changes (%),0,SE,3,1.0
6339,r095,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,Employment sector changes (%),1,Percent,3,16.82
6339,r096,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,Employment sector changes (%),1,SE,3,0.85
6339,r097,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,Employment sector changes (%),2,Percent,3,8.12
6339,r098,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,Employment sector changes (%),2,SE,3,0.7
6339,r099,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White,All scientists and engineers employed in all three surveys,Number,,2,459300
6339,r100,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White,All scientists and engineers employed in all three surveys,SE,,2,2025
6339,r101,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White,Employment sector changes (number),0,Total,3,370900
6339,r102,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White,Employment sector changes (number),0,SE,3,2150
6339,r103,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White,Employment sector changes (number),1,Total,3,64850
6339,r104,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White,Employment sector changes (number),1,SE,3,1225
6339,r105,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White,Employment sector changes (number),2,Total,3,23500
6339,r106,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White,Employment sector changes (number),2,SE,3,925
6339,r107,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White,Employment sector changes (%),0,Percent,3,80.76
6339,r108,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White,Employment sector changes (%),0,SE,3,0.3
6339,r109,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White,Employment sector changes (%),1,Percent,3,14.12
6339,r110,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White,Employment sector changes (%),1,SE,3,0.3
6339,r111,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White,Employment sector changes (%),2,Percent,3,5.12
6339,r112,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> White,Employment sector changes (%),2,SE,3,0.2
6339,r113,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>,All scientists and engineers employed in all three surveys,Number,,2,9000
6339,r114,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>,All scientists and engineers employed in all three surveys,SE,,2,425
6339,r115,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>,Employment sector changes (number),0,Total,3,6750
6339,r116,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>,Employment sector changes (number),0,SE,3,400
6339,r117,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>,Employment sector changes (number),1,Total,3,1450
6339,r118,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>,Employment sector changes (number),1,SE,3,175
6339,r119,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>,Employment sector changes (number),2,Total,3,800
6339,r120,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>,Employment sector changes (number),2,SE,3,150
6339,r121,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>,Employment sector changes (%),0,Percent,3,75.31
6339,r122,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>,Employment sector changes (%),0,SE,3,2.1
6339,r123,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>,Employment sector changes (%),1,Percent,3,15.87
6339,r124,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>,Employment sector changes (%),1,SE,3,1.75
6339,r125,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>,Employment sector changes (%),2,Percent,3,8.82
6339,r126,Total -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> More than one race<sup>c</sup>,Employment sector changes (%),2,SE,3,1.55
6339,r127,Total -> Field of degree -> Science,All scientists and engineers employed in all three surveys,Number,,2,553950
6339,r128,Total -> Field of degree -> Science,All scientists and engineers employed in all three surveys,SE,,2,1500
6339,r129,Total -> Field of degree -> Science,Employment sector changes (number),0,Total,3,442450
6339,r130,Total -> Field of degree -> Science,Employment sector changes (number),0,SE,3,2025
6339,r131,Total -> Field of degree -> Science,Employment sector changes (number),1,Total,3,80250
6339,r132,Total -> Field of degree -> Science,Employment sector changes (number),1,SE,3,1350
6339,r133,Total -> Field of degree -> Science,Employment sector changes (number),2,Total,3,31250
6339,r134,Total -> Field of degree -> Science,Employment sector changes (number),2,SE,3,1125
6339,r135,Total -> Field of degree -> Science,Employment sector changes (%),0,Percent,3,79.87
6339,r136,Total -> Field of degree -> Science,Employment sector changes (%),0,SE,3,0.3
6339,r137,Total -> Field of degree -> Science,Employment sector changes (%),1,Percent,3,14.49
6339,r138,Total -> Field of degree -> Science,Employment sector changes (%),1,SE,3,0.25
6339,r139,Total -> Field of degree -> Science,Employment sector changes (%),2,Percent,3,5.64
6339,r140,Total -> Field of degree -> Science,Employment sector changes (%),2,SE,3,0.25
6339,r141,"Total -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",All scientists and engineers employed in all three surveys,Number,,2,189050
6339,r142,"Total -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",All scientists and engineers employed in all three surveys,SE,,2,950
6339,r143,"Total -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Employment sector changes (number),0,Total,3,146550
6339,r144,"Total -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Employment sector changes (number),0,SE,3,1150
6339,r145,"Total -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Employment sector changes (number),1,Total,3,32000
6339,r146,"Total -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Employment sector changes (number),1,SE,3,850
6339,r147,"Total -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Employment sector changes (number),2,Total,3,10500
6339,r148,"Total -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Employment sector changes (number),2,SE,3,500
6339,r149,"Total -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Employment sector changes (%),0,Percent,3,77.52
6339,r150,"Total -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Employment sector changes (%),0,SE,3,0.5
6339,r151,"Total -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Employment sector changes (%),1,Percent,3,16.93
6339,r152,"Total -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Employment sector changes (%),1,SE,3,0.45
6339,r153,"Total -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Employment sector changes (%),2,Percent,3,5.55
6339,r154,"Total -> Field of degree -> Science -> Biological, agricultural, and environmental life sciences",Employment sector changes (%),2,SE,3,0.3
6339,r155,Total -> Field of degree -> Science -> Computer and information sciences,All scientists and engineers employed in all three surveys,Number,,2,26100
6339,r156,Total -> Field of degree -> Science -> Computer and information sciences,All scientists and engineers employed in all three surveys,SE,,2,375
6339,r157,Total -> Field of degree -> Science -> Computer and information sciences,Employment sector changes (number),0,Total,3,22500
6339,r158,Total -> Field of degree -> Science -> Computer and information sciences,Employment sector changes (number),0,SE,3,450
6339,r159,Total -> Field of degree -> Science -> Computer and information sciences,Employment sector changes (number),1,Total,3,2500
6339,r160,Total -> Field of degree -> Science -> Computer and information sciences,Employment sector changes (number),1,SE,3,275
6339,r161,Total -> Field of degree -> Science -> Computer and information sciences,Employment sector changes (number),2,Total,3,1100
6339,r162,Total -> Field of degree -> Science -> Computer and information sciences,Employment sector changes (number),2,SE,3,200
6339,r163,Total -> Field of degree -> Science -> Computer and information sciences,Employment sector changes (%),0,Percent,3,86.19
6339,r164,Total -> Field of degree -> Science -> Computer and information sciences,Employment sector changes (%),0,SE,3,1.15
6339,r165,Total -> Field of degree -> Science -> Computer and information sciences,Employment sector changes (%),1,Percent,3,9.65
6339,r166,Total -> Field of degree -> Science -> Computer and information sciences,Employment sector changes (%),1,SE,3,1.05
6339,r167,Total -> Field of degree -> Science -> Computer and information sciences,Employment sector changes (%),2,Percent,3,4.16
6339,r168,Total -> Field of degree -> Science -> Computer and information sciences,Employment sector changes (%),2,SE,3,0.75
6339,r169,Total -> Field of degree -> Science -> Mathematics and statistics,All scientists and engineers employed in all three surveys,Number,,2,33650
6339,r170,Total -> Field of degree -> Science -> Mathematics and statistics,All scientists and engineers employed in all three surveys,SE,,2,475
6339,r171,Total -> Field of degree -> Science -> Mathematics and statistics,Employment sector changes (number),0,Total,3,30000
6339,r172,Total -> Field of degree -> Science -> Mathematics and statistics,Employment sector changes (number),0,SE,3,525
6339,r173,Total -> Field of degree -> Science -> Mathematics and statistics,Employment sector changes (number),1,Total,3,2800
6339,r174,Total -> Field of degree -> Science -> Mathematics and statistics,Employment sector changes (number),1,SE,3,275
6339,r175,Total -> Field of degree -> Science -> Mathematics and statistics,Employment sector changes (number),2,Total,3,850
6339,r176,Total -> Field of degree -> Science -> Mathematics and statistics,Employment sector changes (number),2,SE,3,175
6339,r177,Total -> Field of degree -> Science -> Mathematics and statistics,Employment sector changes (%),0,Percent,3,89.07
6339,r178,Total -> Field of degree -> Science -> Mathematics and statistics,Employment sector changes (%),0,SE,3,0.95
6339,r179,Total -> Field of degree -> Science -> Mathematics and statistics,Employment sector changes (%),1,Percent,3,8.36
6339,r180,Total -> Field of degree -> Science -> Mathematics and statistics,Employment sector changes (%),1,SE,3,0.85
6339,r181,Total -> Field of degree -> Science -> Mathematics and statistics,Employment sector changes (%),2,Percent,3,2.58
6339,r182,Total -> Field of degree -> Science -> Mathematics and statistics,Employment sector changes (%),2,SE,3,0.5
6339,r183,"Total -> Field of degree -> Science -> Physical sciences, geosciences, atmospheric, and ocean sciences",All scientists and engineers employed in all three surveys,Number,,2,120550
6339,r184,"Total -> Field of degree -> Science -> Physical sciences, geosciences, atmospheric, and ocean sciences",All scientists and engineers employed in all three surveys,SE,,2,625
6339,r185,"Total -> Field of degree -> Science -> Physical sciences, geosciences, atmospheric, and ocean sciences",Employment sector changes (number),0,Total,3,98200
6339,r186,"Total -> Field of degree -> Science -> Physical sciences, geosciences, atmospheric, and ocean sciences",Employment sector changes (number),0,SE,3,1050
6339,r187,"Total -> Field of degree -> Science -> Physical sciences, geosciences, atmospheric, and ocean sciences",Employment sector changes (number),1,Total,3,15300
6339,r188,"Total -> Field of degree -> Science -> Physical sciences, geosciences, atmospheric, and ocean sciences",Employment sector changes (number),1,SE,3,700
6339,r189,"Total -> Field of degree -> Science -> Physical sciences, geosciences, atmospheric, and ocean sciences",Employment sector changes (number),2,Total,3,7050
6339,r190,"Total -> Field of degree -> Science -> Physical sciences, geosciences, atmospheric, and ocean sciences",Employment sector changes (number),2,SE,3,500
6339,r191,"Total -> Field of degree -> Science -> Physical sciences, geosciences, atmospheric, and ocean sciences",Employment sector changes (%),0,Percent,3,81.45
6339,r192,"Total -> Field of degree -> Science -> Physical sciences, geosciences, atmospheric, and ocean sciences",Employment sector changes (%),0,SE,3,0.7
6339,r193,"Total -> Field of degree -> Science -> Physical sciences, geosciences, atmospheric, and ocean sciences",Employment sector changes (%),1,Percent,3,12.69
6339,r194,"Total -> Field of degree -> Science -> Physical sciences, geosciences, atmospheric, and ocean sciences",Employment sector changes (%),1,SE,3,0.6
6339,r195,"Total -> Field of degree -> Science -> Physical sciences, geosciences, atmospheric, and ocean sciences",Employment sector changes (%),2,Percent,3,5.86
6339,r196,"Total -> Field of degree -> Science -> Physical sciences, geosciences, atmospheric, and ocean sciences",Employment sector changes (%),2,SE,3,0.45
6339,r197,Total -> Field of degree -> Science -> Psychology,All scientists and engineers employed in all three surveys,Number,,2,89300
6339,r198,Total -> Field of degree -> Science -> Psychology,All scientists and engineers employed in all three surveys,SE,,2,750
6339,r199,Total -> Field of degree -> Science -> Psychology,Employment sector changes (number),0,Total,3,65550
6339,r200,Total -> Field of degree -> Science -> Psychology,Employment sector changes (number),0,SE,3,875
6339,r201,Total -> Field of degree -> Science -> Psychology,Employment sector changes (number),1,Total,3,16350
6339,r202,Total -> Field of degree -> Science -> Psychology,Employment sector changes (number),1,SE,3,650
6339,r203,Total -> Field of degree -> Science -> Psychology,Employment sector changes (number),2,Total,3,7400
6339,r204,Total -> Field of degree -> Science -> Psychology,Employment sector changes (number),2,SE,3,500
6339,r205,Total -> Field of degree -> Science -> Psychology,Employment sector changes (%),0,Percent,3,73.43
6339,r206,Total -> Field of degree -> Science -> Psychology,Employment sector changes (%),0,SE,3,0.85
6339,r207,Total -> Field of degree -> Science -> Psychology,Employment sector changes (%),1,Percent,3,18.3
6339,r208,Total -> Field of degree -> Science -> Psychology,Employment sector changes (%),1,SE,3,0.7
6339,r209,Total -> Field of degree -> Science -> Psychology,Employment sector changes (%),2,Percent,3,8.27
6339,r210,Total -> Field of degree -> Science -> Psychology,Employment sector changes (%),2,SE,3,0.55
6339,r211,Total -> Field of degree -> Science -> Social sciences,All scientists and engineers employed in all three surveys,Number,,2,95300
6339,r212,Total -> Field of degree -> Science -> Social sciences,All scientists and engineers employed in all three surveys,SE,,2,825
6339,r213,Total -> Field of degree -> Science -> Social sciences,Employment sector changes (number),0,Total,3,79650
6339,r214,Total -> Field of degree -> Science -> Social sciences,Employment sector changes (number),0,SE,3,925
6339,r215,Total -> Field of degree -> Science -> Social sciences,Employment sector changes (number),1,Total,3,11300
6339,r216,Total -> Field of degree -> Science -> Social sciences,Employment sector changes (number),1,SE,3,525
6339,r217,Total -> Field of degree -> Science -> Social sciences,Employment sector changes (number),2,Total,3,4350
6339,r218,Total -> Field of degree -> Science -> Social sciences,Employment sector changes (number),2,SE,3,375
6339,r219,Total -> Field of degree -> Science -> Social sciences,Employment sector changes (%),0,Percent,3,83.59
6339,r220,Total -> Field of degree -> Science -> Social sciences,Employment sector changes (%),0,SE,3,0.65
6339,r221,Total -> Field of degree -> Science -> Social sciences,Employment sector changes (%),1,Percent,3,11.85
6339,r222,Total -> Field of degree -> Science -> Social sciences,Employment sector changes (%),1,SE,3,0.55
6339,r223,Total -> Field of degree -> Science -> Social sciences,Employment sector changes (%),2,Percent,3,4.55
6339,r224,Total -> Field of degree -> Science -> Social sciences,Employment sector changes (%),2,SE,3,0.4
6339,r225,Total -> Field of degree -> Engineering,All scientists and engineers employed in all three surveys,Number,,2,159650
6339,r226,Total -> Field of degree -> Engineering,All scientists and engineers employed in all three surveys,SE,,2,975
6339,r227,Total -> Field of degree -> Engineering,Employment sector changes (number),0,Total,3,133300
6339,r228,Total -> Field of degree -> Engineering,Employment sector changes (number),0,SE,3,1250
6339,r229,Total -> Field of degree -> Engineering,Employment sector changes (number),1,Total,3,18200
6339,r230,Total -> Field of degree -> Engineering,Employment sector changes (number),1,SE,3,775
6339,r231,Total -> Field of degree -> Engineering,Employment sector changes (number),2,Total,3,8150
6339,r232,Total -> Field of degree -> Engineering,Employment sector changes (number),2,SE,3,600
6339,r233,Total -> Field of degree -> Engineering,Employment sector changes (%),0,Percent,3,83.51
6339,r234,Total -> Field of degree -> Engineering,Employment sector changes (%),0,SE,3,0.6
6339,r235,Total -> Field of degree -> Engineering,Employment sector changes (%),1,Percent,3,11.4
6339,r236,Total -> Field of degree -> Engineering,Employment sector changes (%),1,SE,3,0.5
6339,r237,Total -> Field of degree -> Engineering,Employment sector changes (%),2,Percent,3,5.09
6339,r238,Total -> Field of degree -> Engineering,Employment sector changes (%),2,SE,3,0.4
6339,r239,Total -> Field of degree -> Health,All scientists and engineers employed in all three surveys,Number,,2,31800
6339,r240,Total -> Field of degree -> Health,All scientists and engineers employed in all three surveys,SE,,2,525
6339,r241,Total -> Field of degree -> Health,Employment sector changes (number),0,Total,3,25750
6339,r242,Total -> Field of degree -> Health,Employment sector changes (number),0,SE,3,575
6339,r243,Total -> Field of degree -> Health,Employment sector changes (number),1,Total,3,4400
6339,r244,Total -> Field of degree -> Health,Employment sector changes (number),1,SE,3,350
6339,r245,Total -> Field of degree -> Health,Employment sector changes (number),2,Total,3,1650
6339,r246,Total -> Field of degree -> Health,Employment sector changes (number),2,SE,3,225
6339,r247,Total -> Field of degree -> Health,Employment sector changes (%),0,Percent,3,80.85
6339,r248,Total -> Field of degree -> Health,Employment sector changes (%),0,SE,3,1.25
6339,r249,Total -> Field of degree -> Health,Employment sector changes (%),1,Percent,3,13.88
6339,r250,Total -> Field of degree -> Health,Employment sector changes (%),1,SE,3,1.05
6339,r251,Total -> Field of degree -> Health,Employment sector changes (%),2,Percent,3,5.26
6339,r252,Total -> Field of degree -> Health,Employment sector changes (%),2,SE,3,0.7
