table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_companiesa_number_,field_domestic_r_d_amount,field_biotechnology_r_d_total_companiesb_number_,field_biotechnology_r_d_total_amount,field_biotechnology_r_d_paid_for_by_the_company_companiesb_number_,field_biotechnology_r_d_paid_for_by_the_company_amount,field_biotechnology_r_d_paid_for_by_others_companiesb_number_,field_biotechnology_r_d_paid_for_by_others_amount
9665,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['2,170', '  ']","['17,730', '  ']","['30', '  ']","['114', 'i ']","['30', '  ']","['110', 'i ']","['10', '  ']","['4', '  ']"
9665,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['150', '  ']","['1,867', '  ']","['10', '  ']","['0 - 58', 'i ']","['10', '  ']","['0 - 58', 'i ']","['0', '  ']","['0', '  ']"
9665,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['60', '  ']","['5,349', '  ']","['10', 'i ']","['54', '  ']","['10', 'i ']","['53', '  ']","['10', '  ']","['*', '  ']"
9665,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['80', '  ']","['1,374', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9665,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['1,900', '  ']","['9,140', '  ']","['30', '  ']","['3 - 61', 'i ']","['20', '  ']","['0 - 58', 'i ']","['10', '  ']","['4', '  ']"
9665,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['2,130', '  ']","['101,063', '  ']","['240', 'i ']","['2,344', 'i ']","['200', 'i ']","['1,969', 'i ']","['50', 'i ']","['375', 'i ']"
9665,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['280', '  ']","['12,557', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9665,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['660', '  ']","['47,396', '  ']","['50', 'i ']","['41', '  ']","['20', 'r ']","['0 - 42', '  ']","['40', 'i ']","['0 - 42', 'i ']"
9665,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['960', '  ']","['13,644', '  ']","['190', 'i ']","['2,254 - 2,299', 'i ']","['180', 'i ']","['1,925', 'i ']","['10', '  ']","['329 - 373', 'i ']"
9665,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['180', '  ']","['3,087', '  ']","['70', 'i ']","['1,247', 'i ']","['70', 'i ']","['1,152', 'i ']","['10', '  ']","['96', '  ']"
9665,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instruments",5,334511,"['190', '  ']","['5,301', '  ']","['20', 'i ']","['364', 'i ']","['20', 'i ']","['89 - 136', '  ']","['10', 'i ']","['229 - 274', 'i ']"
9665,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling devices",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling devices,5,other 3345,"['600', '  ']","['5,256', '  ']","['100', 'i ']","['642 - 688', 'i ']","['100', 'i ']","['637 - 685', 'i ']","['10', 'r ']","['4', 'i ']"
9665,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['240', '  ']","['27,465', '  ']","['10', '  ']","['4 - 49', '  ']","['10', '  ']","['1 - 45', '  ']","['10', '  ']","['3', '  ']"
9665,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['580', '  ']","['5,494', '  ']","['40', 'i ']","['54', '  ']","['40', 'i ']","['54', '  ']","['0', '  ']","['0', '  ']"
9665,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['1,150', '  ']","['50,760', '  ']","['10', 'i ']","['4 - 14', '  ']","['10', 'i ']","['5', '  ']","['10', '  ']","['0 - 9', '  ']"
9665,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Motor vehicles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Motor vehicles, bodies, trailers, and parts",,4,3361–63,"['570', '  ']","['26,391', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9665,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['350', '  ']","['21,468', 'i ']","['10', 'i ']","['4 - 14', '  ']","['10', 'i ']","['5', '  ']","['10', '  ']","['0 - 9', '  ']"
9665,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts",5,336411–13,"['310', '  ']","['19,845', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9665,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['40', '  ']","['1,623', '  ']","['10', 'i ']","['4 - 14', '  ']","['10', 'i ']","['5', '  ']","['10', '  ']","['0 - 9', '  ']"
9665,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank components",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank components",,4,336992,"['20', 'r ']","['21 - 25', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9665,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['220', '  ']","['2,875 - 2,880', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9665,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['230', '  ']","['426', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9665,r043,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['1,450', '  ']","['21,133', '  ']","['250', 'i ']","['2,347', '  ']","['200', 'i ']","['2,279', '  ']","['70', 'i ']","['68', '  ']"
9665,r044,All industries -> Manufacturing industries -> Miscellaneous -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous,Medical equipment and supplies,,4,3391,"['820', '  ']","['18,438', '  ']","['240', 'i ']","['2,338', '  ']","['190', 'i ']","['2,270', '  ']","['70', 'i ']","['68', '  ']"
9665,r045,All industries -> Manufacturing industries -> Miscellaneous -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous,Other miscellaneous manufacturing,,4,3399,"['640', '  ']","['2,695', '  ']","['10', '  ']","['9', '  ']","['10', '  ']","['9', '  ']","['10', '  ']","['*', '  ']"
9665,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['15,880', '  ']","['276,439', '  ']","['940', 'i ']","['17,123', 'i ']","['700', 'i ']","['4,617', '  ']","['360', 'i ']","['12,506', 'i ']"
9665,r047,"All industries -> Nonmanufacturing industries -> Mining, quarrying, oil and gas extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, quarrying, oil and gas extraction, and support activities",,,3,21,"['180', 'i ']","['1,260 - 1,334', '  ']","['10', '  ']","['6', '  ']","['10', '  ']","['4', '  ']","['10', '  ']","['2', '  ']"
9665,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['40', '  ']","['168 - 17,997', '  ']","['10', '  ']","['2', '  ']","['10', '  ']","['2', '  ']","['0', '  ']","['0', '  ']"
9665,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['1,810', '  ']","['1,745 - 1,855', 'i ']","['70', 'i ']","['72', 'i ']","['70', 'i ']","['72', 'i ']","['0', '  ']","['0', '  ']"
9665,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['180', '  ']","['5,936 - 24,040', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9665,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['80', '  ']","['7,208', '  ']","['10', 'i ']","['0 - 15', 'i ']","['10', 'i ']","['0 - 15', 'i ']","['0', '  ']","['0', '  ']"
9665,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['3,450', '  ']","['147,855', '  ']","['30', '  ']","['198', '  ']","['30', '  ']","['198', '  ']","['0', '  ']","['0', '  ']"
9665,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['1,420', '  ']","['39,152', '  ']","['20', '  ']","['110', '  ']","['20', '  ']","['110', '  ']","['0', '  ']","['0', '  ']"
9665,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['60', '  ']","['103', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9665,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['1,370', '  ']","['39,049', '  ']","['20', '  ']","['110', '  ']","['20', '  ']","['110', '  ']","['0', '  ']","['0', '  ']"
9665,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['170', '  ']","['3,835', '  ']","['10', 'i ']","['*', 'i ']","['10', 'i ']","['*', 'i ']","['0', '  ']","['0', '  ']"
9665,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['1,700', '  ']","['45,192', '  ']","['20', '  ']","['87', '  ']","['20', '  ']","['87', '  ']","['0', '  ']","['0', '  ']"
9665,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['180', '  ']","['59,676', '  ']","['10', '  ']","['1', '  ']","['10', '  ']","['1', '  ']","['0', '  ']","['0', '  ']"
9665,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['530', 'r ']","['20,947', '  ']","['10', '  ']","['4', '  ']","['10', '  ']","['4', '  ']","['0', '  ']","['0', '  ']"
9665,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['50', '  ']","['2,096', '  ']","['10', '  ']","['2', '  ']","['10', '  ']","['2', '  ']","['0', '  ']","['0', '  ']"
9665,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['10', '  ']","['5 - 8', '  ']","['10', '  ']","['2', '  ']","['10', '  ']","['2', '  ']","['0', '  ']","['0', '  ']"
9665,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['40', '  ']","['2,088 - 2,091', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9665,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['7,050', '  ']","['66,496', '  ']","['770', 'i ']","['15,504', 'i ']","['530', 'i ']","['3,020', '  ']","['360', 'i ']","['12,484', 'i ']"
9665,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['1,430', '  ']","['4,560', '  ']","['80', 'i ']","['119', '  ']","['40', 'i ']","['44', 'i ']","['40', 'i ']","['75', '  ']"
9665,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['3,390', '  ']","['20,409', '  ']","['30', 'i ']","['39', 'i ']","['10', '  ']","['10', '  ']","['20', 'i ']","['29', 'i ']"
9665,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['1,370', '  ']","['34,142', 'i ']","['600', 'i ']","['15,190', 'i ']","['460', 'i ']","['2,895', '  ']","['260', 'i ']","['12,295', 'i ']"
9665,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in nanotechnology",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in nanotechnology,5,541713,"['70', '  ']","['228', '  ']","['20', 'i ']","['70', 'i ']","['20', 'i ']","['52', 'i ']","['10', '  ']","['19', 'i ']"
9665,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in biotechnology (except nanobiotechnology)",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in biotechnology (except nanobiotechnology),5,541714,"['310', '  ']","['9,039', '  ']","['290', 'i ']","['6,570', '  ']","['230', 'i ']","['1,585', '  ']","['130', 'i ']","['4,985', '  ']"
9665,r069,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",5,541715,"['980', '  ']","['24,312', 'i ']","['300', 'i ']","['8,550', 'i ']","['210', 'i ']","['1,258', '  ']","['130', 'i ']","['7,292', 'i ']"
9665,r070,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the social sciences and humanities",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in the social sciences and humanities,5,541720,"['30', '  ']","['563', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9665,r071,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['870', '  ']","['7,385', '  ']","['80', 'i ']","['156', 'i ']","['40', 'i ']","['71', 'i ']","['40', 'i ']","['85', '  ']"
9665,r072,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['590', 'r ']","['2,060 - 2,138', '  ']","['70', 'i ']","['1,325', '  ']","['70', 'i ']","['1,305', '  ']","['10', 'i ']","['20', 'i ']"
9665,r073,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81","['1,980', '  ']","['2,564 - 3,199', '  ']","['10', '  ']","['0 - 15', '  ']","['10', '  ']","['0 - 15', '  ']","['0', '  ']","['0', '  ']"
9665,r074,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['31,490', '  ']","['602,499', '  ']","['2,840', 'i ']","['102,513', '  ']","['2,440', 'i ']","['81,585', '  ']","['730', 'i ']","['20,928', '  ']"
9665,r075,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
9665,r076,All companies (number of domestic employees) -> Small companies -> 10&#8211;19<sup>c</sup>,All companies (number of domestic employees),Small companies,10&#8211;19<sup>c</sup>,,,3,–,"['5,690', '  ']","['5,477', '  ']","['610', 'i ']","['1,343', '  ']","['500', 'i ']","['1,039', '  ']","['190', 'i ']","['304', 'i ']"
9665,r077,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['9,210', '  ']","['15,061', '  ']","['880', 'i ']","['4,144', '  ']","['770', 'i ']","['3,412', '  ']","['200', 'i ']","['732', '  ']"
9665,r078,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
9665,r079,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['5,760', '  ']","['14,540', '  ']","['460', 'i ']","['4,840', '  ']","['400', 'i ']","['4,237', '  ']","['120', '  ']","['604', '  ']"
9665,r080,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['5,570', '  ']","['24,023', '  ']","['410', 'i ']","['6,603', '  ']","['350', 'i ']","['5,622', '  ']","['110', 'i ']","['981', 'i ']"
9665,r081,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
9665,r082,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['2,050', '  ']","['23,932', '  ']","['200', '  ']","['7,751', '  ']","['180', '  ']","['6,752', '  ']","['60', 'i ']","['999', '  ']"
9665,r083,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['1,290', '  ']","['27,432', '  ']","['110', '  ']","['5,246', '  ']","['100', '  ']","['4,639', '  ']","['30', '  ']","['607', '  ']"
9665,r084,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,"['1,350', '  ']","['94,615', '  ']","['120', '  ']","['12,804', '  ']","['110', '  ']","['9,530', '  ']","['30', '  ']","['3,275', 'i ']"
9665,r085,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,"['270', '  ']","['62,817', '  ']","['40', '  ']","['13,635', 'i ']","['30', '  ']","['9,085', 'i ']","['10', '  ']","['4,550', 'i ']"
9665,r086,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,"['210', '  ']","['104,607', '  ']","['40', '  ']","['28,301', '  ']","['30', '  ']","['21,566', '  ']","['20', '  ']","['6,735', '  ']"
