table_id,row_id,_b_state_or_territory_control_and_institution_b_full_path,_b_state_or_territory_control_and_institution_b_level_1,_b_state_or_territory_control_and_institution_b_level_2,_b_state_or_territory_control_and_institution_b_level_3,_b_state_or_territory_control_and_institution_b_hierarchy_depth,field_started_in_fy_2006_or_fy_2007,field_started_in_fy_2008_or_fy_2009,field_started_in_fy_2010_or_fy_2011,field_started_in_fy_2012_or_fy_2013,field_started_in_fy_2014_or_fy_2015,field_started_in_fy_2016_or_fy_2017,field_started_in_fy_2018_or_fy_2019,field_started_in_fy_2020_or_fy_2021,field_started_in_fy_2022_or_fy_2023,field_planned_to_start_in_fy_2024_or_fy_2025,field_deferred_projects_included_in_institutional_plan,field_deferred_projects_not_included_in_institutional_plan
12859,r036,"California -> Public -> California Polytechnic State U., San Luis Obispo",California,Public,"California Polytechnic State U., San Luis Obispo",3,"['788', '']","['0', '']","['12,250', '']","['0', '']","['0', '']","['0', '']","['71,500', '']","['0', '']","['0', '']","['33,467', '']","['0', '']","['0', '']"
12859,r037,"California -> Public -> California State Polytechnic U., Humboldt",California,Public,"California State Polytechnic U., Humboldt",3,"['0', '']","['NA', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['114,000', '']","['0', '']","['0', '']"
12859,r038,"California -> Public -> California State Polytechnic U., Pomona",California,Public,"California State Polytechnic U., Pomona",3,"['461', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12859,r039,"California -> Public -> California State U., Bakersfield",California,Public,"California State U., Bakersfield",3,"['4,000', '']","['1,210', '']","['2,500', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12859,r040,"California -> Public -> California State U., Channel Islands",California,Public,"California State U., Channel Islands",3,"['ne', '']","['ne', '']","['ne', '']","['ne', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12859,r041,"California -> Public -> California State U., Chico",California,Public,"California State U., Chico",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['15,382', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12859,r042,"California -> Public -> California State U., Dominguez Hills",California,Public,"California State U., Dominguez Hills",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['12,798', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12859,r043,"California -> Public -> California State U., East Bay",California,Public,"California State U., East Bay",3,"['0', '']","['0', '']","['0', '']","['0', '']","['ne', '']","['ne', '']","['ne', '']","['0', '']","['0', '']","['10,513', '']","['0', '']","['0', '']"
12859,r044,"California -> Public -> California State U., Fresno",California,Public,"California State U., Fresno",3,"['0', '']","['0', '']","['0', '']","['364', '']","['2,798', '']","['8,021', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12859,r045,"California -> Public -> California State U., Fullerton",California,Public,"California State U., Fullerton",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12859,r046,"California -> Public -> California State U., Long Beach",California,Public,"California State U., Long Beach",3,"['0', '']","['17,500', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12859,r047,"California -> Public -> California State U., Los Angeles",California,Public,"California State U., Los Angeles",3,"['0', '']","['8,833', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12859,r048,"California -> Public -> California State U., Monterey Bay",California,Public,"California State U., Monterey Bay",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['734', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12859,r049,"California -> Public -> California State U., Northridge",California,Public,"California State U., Northridge",3,"['9,700', '']","['0', '']","['0', '']","['0', '']","['594', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12859,r050,"California -> Public -> California State U., Sacramento",California,Public,"California State U., Sacramento",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['8,530', '']","['0', '']","['0', '']","['0', '']","['165,484', '']","['0', '']"
12859,r051,"California -> Public -> California State U., San Bernardino",California,Public,"California State U., San Bernardino",3,"['0', '']","['0', '']","['1,379', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12859,r052,"California -> Public -> California State U., San Marcos",California,Public,"California State U., San Marcos",3,"['ne', '']","['ne', '']","['NA', '']","['482', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12859,r053,"California -> Public -> California State U., Stanislaus",California,Public,"California State U., Stanislaus",3,"['ne', '']","['ne', '']","['ne', '']","['0', '']","['ne', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12859,r054,California -> Public -> San Diego State U.,California,Public,San Diego State U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['18,231', '']","['0', '']","['0', '']","['29,092', '']","['97,563', '']","['0', '']","['7,000', '']"
12859,r055,California -> Public -> San Francisco State U.,California,Public,San Francisco State U.,3,"['NA', '']","['2,119', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['33,000', '']","['27,005', '']","['0', '']","['0', '']","['0', '']"
12859,r056,California -> Public -> San Jose State U.,California,Public,San Jose State U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['43,661', '']","['0', '']","['110,000', '']","['0', '']","['0', '']","['0', '']"
12859,r057,California -> Public -> Sonoma State U.,California,Public,Sonoma State U.,3,"['ne', '']","['ne', '']","['ne', '']","['0', '']","['0', '']","['ne', '']","['ne', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12859,r058,"California -> Public -> U. California, Berkeley",California,Public,"U. California, Berkeley",3,"['1,811', '']","['178,506', '']","['149,474', '']","['60,530', '']","['0', '']","['55,000', '']","['0', '']","['100,000', '']","['0', '']","['550,000', '']","['1,214,195', '']","['0', '']"
12859,r059,"California -> Public -> U. California, Davis",California,Public,"U. California, Davis",3,"['463,085', '']","['0', '']","['186,219', '']","['4,890', '']","['10,788', '']","['12,782', '']","['13,533', '']","['68,828', '']","['268,552', '']","['66,407', '']","['324,900', '']","['0', '']"
12859,r060,"California -> Public -> U. California, Irvine",California,Public,"U. California, Irvine",3,"['133,707', '']","['56,830', '']","['5,163', '']","['0', '']","['0', '']","['0', '']","['43,060', '']","['61,770', '']","['183,333', '']","['72,149', '']","['50,000', '']","['0', '']"
12859,r061,"California -> Public -> U. California, Los Angeles",California,Public,"U. California, Los Angeles",3,"['155,378', '']","['0', '']","['0', '']","['101,200', '']","['177,400', '']","['4,980', '']","['177,400', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12859,r062,"California -> Public -> U. California, Merced",California,Public,"U. California, Merced",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['73,221', '']","['0', '']","['0', '']","['201,000', '']","['0', '']","['0', '']"
12859,r063,"California -> Public -> U. California, Riverside",California,Public,"U. California, Riverside",3,"['49,371', '']","['80,856', '']","['37,550', '']","['648', '']","['0', '']","['66,980', '']","['27,405', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12859,r064,"California -> Public -> U. California, San Diego",California,Public,"U. California, San Diego",3,"['73,608', '']","['0', '']","['353,395', '']","['106,596', '']","['0', '']","['121,424', '']","['3,689', '']","['0', '']","['152,000', '']","['305,910', '']","['0', '']","['0', '']"
12859,r065,"California -> Public -> U. California, San Francisco",California,Public,"U. California, San Francisco",3,"['135,000', '']","['275,590', '']","['173,000', '']","['118,600', '']","['0', '']","['106,700', '']","['0', '']","['0', '']","['0', '']","['480,500', '']","['0', '']","['0', '']"
12859,r066,"California -> Public -> U. California, Santa Barbara",California,Public,"U. California, Santa Barbara",3,"['10,793', '']","['12,239', '']","['2,157', '']","['0', '']","['74,704', '']","['821', '']","['65,010', '']","['0', '']","['0', '']","['0', '']","['423,372', '']","['0', '']"
12859,r067,"California -> Public -> U. California, Santa Cruz",California,Public,"U. California, Santa Cruz",3,"['0', '']","['77,491', '']","['0', '']","['0', '']","['80,531', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['262,800', '']","['0', '']"
12859,r068,California -> Private,California,Private,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12859,r069,California -> Private -> Azusa Pacific U.,California,Private,Azusa Pacific U.,3,"['ne', '']","['ne', '']","['ne', '']","['0', 'i']","['0', '']","['0', '']","['250', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12859,r070,California -> Private -> Biola U.,California,Private,Biola U.,3,"['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12859,r071,California -> Private -> California Institute of Technology,California,Private,California Institute of Technology,3,"['45,622', '']","['35,250', '']","['0', '']","['28,748', '']","['0', '']","['0', '']","['108,187', '']","['0', '']","['166,000', '']","['138,400', '']","['0', '']","['0', '']"
12859,r072,California -> Private -> Chapman U.,California,Private,Chapman U.,3,"['ne', '']","['ne', '']","['0', '']","['0', '']","['0', 'i']","['30,179', '']","['0', '']","['0', '']","['6,522', '']","['0', '']","['0', '']","['0', '']"
12859,r073,California -> Private -> Charles R. Drew U. of Medicine and Science,California,Private,Charles R. Drew U. of Medicine and Science,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['8,000', '']","['0', '']","['0', '']"
12859,r074,California -> Private -> Claremont Graduate U.,California,Private,Claremont Graduate U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12859,r075,California -> Private -> Claremont McKenna C.<sup>a</sup>,California,Private,Claremont McKenna C.<sup>a</sup>,3,"['ne', '']","['ne', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['127,500', '']","['0', '']","['0', '']","['0', '']"
12859,r076,California -> Private -> Harvey Mudd C.,California,Private,Harvey Mudd C.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['9,504', '']","['0', '']","['0', '']","['0', '']","['40,000', '']","['0', '']"
12859,r077,California -> Private -> Keck Graduate Institute,California,Private,Keck Graduate Institute,3,"['ne', '']","['ne', '']","['ne', '']","['0', '']","['0', '']","['0', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12859,r078,California -> Private -> Loma Linda U.,California,Private,Loma Linda U.,3,"['0', '']","['2,854', '']","['0', '']","['6,127', '']","['0', '']","['0', '']","['0', '']","['0', '']","['125,040', '']","['0', '']","['0', '']","['0', '']"
12859,r079,California -> Private -> Loyola Marymount U.,California,Private,Loyola Marymount U.,3,"['0', '']","['0', '']","['0', '']","['13,200', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12859,r080,California -> Private -> Marshall B. Ketchum U.,California,Private,Marshall B. Ketchum U.,3,"['ne', '']","['ne', '']","['ne', '']","['ne', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12859,r081,California -> Private -> Occidental C.,California,Private,Occidental C.,3,"['0', '']","['0', '']","['2,262', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12859,r082,California -> Private -> Pepperdine U.,California,Private,Pepperdine U.,3,"['ne', '']","['ne', '']","['ne', '']","['0', '']","['0', '']","['0', '']","['ne', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12859,r083,California -> Private -> Pomona C.,California,Private,Pomona C.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['50,235', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12859,r084,California -> Private -> Santa Clara U.,California,Private,Santa Clara U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12859,r085,California -> Private -> Scripps Research Institute,California,Private,Scripps Research Institute,3,"['ne', '']","['ne', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12859,r086,California -> Private -> Stanford U.,California,Private,Stanford U.,3,"['118,762', '']","['189,185', '']","['14,058', '']","['151,274', '']","['0', '']","['407,686', '']","['119,909', '']","['0', '']","['45,145', '']","['0', '']","['0', '']","['0', '']"
12859,r087,California -> Private -> Touro U.,California,Private,Touro U.,3,"['ne', '']","['ne', '']","['ne', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12859,r088,California -> Private -> U. of the Pacific,California,Private,U. of the Pacific,3,"['13,000', '']","['6,600', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12859,r089,California -> Private -> U. San Diego,California,Private,U. San Diego,3,"['ne', '']","['ne', '']","['0', '']","['0', '']","['2,500', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12859,r090,California -> Private -> U. San Francisco,California,Private,U. San Francisco,3,"['0', '']","['0', '']","['17,770', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['6,000', '']","['0', '']","['0', '']"
12859,r091,California -> Private -> U. Southern California,California,Private,U. Southern California,3,"['0', '']","['36,800', '']","['19,329', '']","['13,872', '']","['150,000', '']","['0', '']","['30,453', '']","['0', '']","['532,550', '']","['0', '']","['0', '']","['0', '']"
12859,r092,California -> Private -> Western U. of Health Sciences,California,Private,Western U. of Health Sciences,3,"['315', '']","['5,507', '']","['400', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['3,000', '']","['0', '']","['0', '']"
12859,r093,Colorado,Colorado,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12859,r094,Colorado -> Public,Colorado,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
