table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019
3180,r051,"California -> Public -> California State U., Sacramento",California,Public,"California State U., Sacramento",3,"['15,207', '']","['16,344', '']","['14,053', '']","['15,564', '']","['13,136', '']","['17,930', '']","['20,676', '']","['21,106', '']","['21,429', '']","['23,544', '']"
3180,r052,"California -> Public -> California State U., San Bernardino",California,Public,"California State U., San Bernardino",3,"['4,188', '']","['11,591', '']","['9,303', '']","['11,942', '']","['13,582', '']","['15,317', '']","['10,771', '']","['12,924', '']","['16,702', '']","['16,062', '']"
3180,r053,"California -> Public -> California State U., San Marcos",California,Public,"California State U., San Marcos",3,"['5,788', '']","['6,795', 'i']","['7,802', 'i']","['8,809', '']","['8,302', '']","['6,432', '']","['6,634', '']","['6,549', '']","['8,348', '']","['10,595', '']"
3180,r054,"California -> Public -> California State U., Stanislaus",California,Public,"California State U., Stanislaus",3,"['ne', '']","['1,487', '']","['1,881', '']","['1,342', '']","['1,136', '']","['1,080', '']","['1,248', '']","['1,365', '']","['1,394', '']","['1,477', '']"
3180,r055,California -> Public -> Humboldt State U.,California,Public,Humboldt State U.,3,"['9,845', '']","['9,570', '']","['9,510', '']","['8,025', '']","['8,306', '']","['11,218', '']","['16,143', '']","['15,969', '']","['15,044', '']","['15,076', '']"
3180,r056,California -> Public -> Naval Postgraduate School,California,Public,Naval Postgraduate School,3,"['103,510', '']","['101,363', '']","['132,450', '']","['94,880', '']","['99,032', '']","['89,170', '']","['65,529', '']","['60,386', '']","['59,213', '']","['67,323', '']"
3180,r057,California -> Public -> San Diego State U.,California,Public,San Diego State U.,3,"['99,137', '']","['106,591', '']","['92,867', '']","['86,733', '']","['95,674', '']","['93,572', '']","['90,722', '']","['89,187', '']","['88,177', '']","['92,964', '']"
3180,r058,California -> Public -> San Francisco State U.,California,Public,San Francisco State U.,3,"['25,615', '']","['26,198', '']","['30,291', '']","['33,885', '']","['29,457', '']","['26,345', '']","['28,273', '']","['29,940', '']","['30,903', '']","['31,888', '']"
3180,r059,California -> Public -> San Jose State U.,California,Public,San Jose State U.,3,"['38,241', '']","['40,149', '']","['34,727', '']","['38,326', '']","['43,509', '']","['45,037', '']","['41,662', '']","['39,192', '']","['41,366', '']","['44,309', '']"
3180,r060,"California -> Public -> U. California, Berkeley",California,Public,"U. California, Berkeley",3,"['694,049', '']","['707,945', '']","['730,348', '']","['727,002', '']","['744,343', '']","['788,505', '']","['774,255', '']","['770,822', '']","['796,505', '']","['802,931', '']"
3180,r061,"California -> Public -> U. California, Davis",California,Public,"U. California, Davis",3,"['679,915', '']","['707,896', '']","['713,292', '']","['725,734', '']","['711,721', '']","['721,077', '']","['741,892', '']","['738,347', '']","['788,832', '']","['804,282', '']"
3180,r062,"California -> Public -> U. California, Irvine",California,Public,"U. California, Irvine",3,"['327,594', '']","['344,678', '']","['350,030', '']","['347,773', '']","['340,056', '']","['329,798', '']","['345,319', '']","['361,414', '']","['426,610', '']","['448,967', '']"
3180,r063,"California -> Public -> U. California, Los Angeles",California,Public,"U. California, Los Angeles",3,"['936,995', '']","['982,357', '']","['1,003,375', '']","['966,659', '']","['948,197', '']","['1,021,227', '']","['1,037,528', '']","['1,076,917', '']","['1,318,110', '']","['1,306,376', '']"
3180,r064,"California -> Public -> U. California, Merced",California,Public,"U. California, Merced",3,"['21,591', '']","['21,328', '']","['22,656', '']","['22,909', '']","['23,916', '']","['29,688', '']","['29,370', '']","['35,093', '']","['38,226', '']","['44,890', '']"
3180,r065,"California -> Public -> U. California, Office of the President",California,Public,"U. California, Office of the President",3,"['72,542', '']","['63,420', '']","['65,627', '']","['67,447', '']","['50,103', '']","['48,341', '']","['39,051', '']","['46,399', '']","['55,676', '']","['67,702', '']"
3180,r066,"California -> Public -> U. California, Riverside",California,Public,"U. California, Riverside",3,"['130,288', '']","['132,238', '']","['135,494', '']","['132,617', '']","['133,558', '']","['144,511', '']","['152,233', '']","['163,632', '']","['167,847', '']","['177,655', '']"
3180,r067,"California -> Public -> U. California, San Diego",California,Public,"U. California, San Diego",3,"['943,219', '']","['1,009,378', '']","['1,073,864', '']","['1,075,554', '']","['1,067,388', '']","['1,101,466', '']","['1,087,117', '']","['1,133,454', '']","['1,265,196', '']","['1,353,763', '']"
3180,r068,"California -> Public -> U. California, San Francisco",California,Public,"U. California, San Francisco",3,"['935,509', '']","['995,226', '']","['1,032,673', '']","['1,042,841', '']","['1,084,031', '']","['1,126,620', '']","['1,294,261', '']","['1,409,398', '']","['1,595,732', '']","['1,595,098', '']"
3180,r069,"California -> Public -> U. California, Santa Barbara",California,Public,"U. California, Santa Barbara",3,"['225,730', '']","['230,435', '']","['233,883', '']","['236,497', '']","['231,322', '']","['222,870', '']","['230,139', '']","['238,246', '']","['235,164', '']","['243,778', '']"
3180,r070,"California -> Public -> U. California, Santa Cruz",California,Public,"U. California, Santa Cruz",3,"['143,919', '']","['155,617', '']","['155,516', '']","['150,777', '']","['151,734', '']","['151,713', '']","['151,192', '']","['124,344', '']","['127,538', '']","['142,958', '']"
3180,r071,California -> Private,California,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3180,r072,California -> Private -> Azusa Pacific U.,California,Private,Azusa Pacific U.,3,"['ne', '']","['3,620', '']","['2,056', 'i']","['ne', '']","['ne', '']","['7,521', '']","['8,898', '']","['8,430', '']","['8,380', '']","['5,598', '']"
3180,r073,California -> Private -> Biola U.,California,Private,Biola U.,3,"['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['1,000', 'i']","['1,034', 'i']","['1,085', 'i']","['1,155', 'i']"
3180,r074,California -> Private -> California Institute of Technology,California,Private,California Institute of Technology,3,"['362,172', '']","['377,514', '']","['379,713', '']","['347,105', '']","['367,182', '']","['374,424', '']","['371,060', '']","['400,312', '']","['391,003', '']","['399,931', '']"
3180,r075,California -> Private -> California Lutheran U.,California,Private,California Lutheran U.,3,"['ne', '']","['741', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['1,143', '']"
3180,r076,California -> Private -> Chapman U.,California,Private,Chapman U.,3,"['3,830', '']","['3,547', '']","['3,314', '']","['4,463', '']","['4,794', '']","['5,353', '']","['6,554', '']","['10,626', '']","['14,141', '']","['19,592', '']"
3180,r077,California -> Private -> Charles R. Drew U. of Medicine and Science,California,Private,Charles R. Drew U. of Medicine and Science,3,"['22,152', '']","['22,150', '']","['20,580', '']","['18,547', '']","['20,686', '']","['14,128', '']","['13,360', '']","['15,652', '']","['11,490', '']","['13,739', '']"
3180,r078,California -> Private -> Claremont Graduate U.,California,Private,Claremont Graduate U.,3,"['7,116', '']","['6,589', '']","['10,350', '']","['9,705', '']","['9,540', 'i']","['9,375', 'i']","['9,210', 'i']","['9,045', 'i']","['8,880', 'i']","['8,715', '']"
3180,r079,California -> Private -> Claremont McKenna C.,California,Private,Claremont McKenna C.,3,"['5,725', '']","['5,316', '']","['5,365', 'i']","['5,414', 'i']","['5,463', 'i']","['ne', '']","['6,094', '']","['5,818', '']","['5,693', '']","['6,214', '']"
3180,r080,California -> Private -> Harvey Mudd C.,California,Private,Harvey Mudd C.,3,"['3,214', '']","['3,861', '']","['3,512', '']","['3,595', '']","['3,127', '']","['3,272', '']","['4,332', '']","['3,748', '']","['3,790', '']","['3,353', '']"
3180,r081,California -> Private -> Keck Graduate Institute,California,Private,Keck Graduate Institute,3,"['ne', '']","['2,313', '']","['1,920', '']","['2,357', '']","['2,132', '']","['1,722', '']","['1,814', 'i']","['1,875', 'i']","['1,967', 'i']","['2,095', 'i']"
3180,r082,California -> Private -> La Sierra U.,California,Private,La Sierra U.,3,"['ne', '']","['732', '']","['ne', '']","['ne', '']","['1,057', '']","['1,165', '']","['1,255', '']","['2,202', '']","['2,227', '']","['1,581', '']"
3180,r083,California -> Private -> Loma Linda U.,California,Private,Loma Linda U.,3,"['35,990', '']","['39,409', '']","['31,772', '']","['31,715', '']","['23,375', '']","['25,519', '']","['22,977', '']","['21,846', '']","['22,922', 'i']","['24,408', 'i']"
3180,r084,California -> Private -> Loyola Marymount U.,California,Private,Loyola Marymount U.,3,"['4,557', '']","['6,455', '']","['5,746', '']","['6,766', '']","['7,635', '']","['6,389', '']","['7,504', '']","['7,071', '']","['7,911', '']","['7,272', '']"
3180,r085,California -> Private -> Marshall B. Ketchum U.,California,Private,Marshall B. Ketchum U.,3,"['ne', '']","['ne', '']","['ne', '']","['ne', '']","['1,030', '']","['1,468', '']","['1,491', '']","['1,512', 'i']","['1,451', 'i']","['1,430', 'i']"
3180,r086,California -> Private -> Mills C.,California,Private,Mills C.,3,"['1,679', '']","['2,237', '']","['2,747', '']","['3,869', '']","['3,619', '']","['3,159', '']","['3,540', '']","['3,353', '']","['1,850', '']","['1,643', '']"
3180,r087,California -> Private -> Occidental C.,California,Private,Occidental C.,3,"['2,289', '']","['1,809', '']","['1,592', '']","['1,634', '']","['2,177', '']","['1,544', '']","['2,008', '']","['1,764', '']","['1,445', '']","['2,458', '']"
3180,r088,California -> Private -> Pepperdine U.,California,Private,Pepperdine U.,3,"['2,672', '']","['1,924', '']","['2,571', '']","['2,400', '']","['2,401', '']","['2,714', '']","['3,178', '']","['2,396', '']","['1,954', '']","['2,170', '']"
3180,r089,California -> Private -> Pomona C.,California,Private,Pomona C.,3,"['2,924', '']","['3,640', '']","['3,259', '']","['3,679', '']","['3,818', '']","['3,538', '']","['3,691', '']","['3,205', '']","['2,983', '']","['2,985', '']"
3180,r090,California -> Private -> Santa Clara U.,California,Private,Santa Clara U.,3,"['3,816', '']","['2,407', '']","['3,329', '']","['2,376', '']","['2,883', '']","['1,659', '']","['2,056', '']","['2,145', '']","['2,299', '']","['2,319', '']"
3180,r091,California -> Private -> Scripps Research Institute,California,Private,Scripps Research Institute,3,"['387,298', '']","['400,768', '']","['398,673', '']","['399,899', '']","['386,231', '']","['384,161', '']","['364,670', '']","['354,582', '']","['396,839', '']","['427,734', '']"
3180,r092,California -> Private -> Stanford U.,California,Private,Stanford U.,3,"['839,839', '']","['907,971', '']","['903,238', '']","['945,450', '']","['959,247', '']","['1,022,551', '']","['1,066,269', '']","['1,109,708', '']","['1,157,597', '']","['1,204,116', '']"
3180,r093,California -> Private -> Touro U.,California,Private,Touro U.,3,"['1,221', '']","['1,779', '']","['2,237', '']","['2,155', '']","['3,067', '']","['3,106', '']","['3,466', '']","['3,122', '']","['3,233', '']","['3,543', '']"
3180,r094,California -> Private -> U. of the Pacific,California,Private,U. of the Pacific,3,"['6,120', '']","['4,704', '']","['5,291', '']","['4,563', '']","['4,088', '']","['2,734', '']","['3,013', '']","['2,155', '']","['3,014', '']","['3,078', '']"
3180,r095,California -> Private -> U. San Diego,California,Private,U. San Diego,3,"['2,934', '']","['3,483', '']","['4,275', '']","['4,554', '']","['5,146', '']","['4,476', '']","['4,734', '']","['5,089', '']","['5,642', '']","['6,036', '']"
3180,r096,California -> Private -> U. San Francisco,California,Private,U. San Francisco,3,"['2,124', '']","['2,668', '']","['4,301', '']","['2,663', '']","['2,764', '']","['2,599', '']","['2,365', '']","['2,602', '']","['2,741', '']","['2,712', '']"
3180,r097,California -> Private -> U. Southern California,California,Private,U. Southern California,3,"['592,791', '']","['603,294', '']","['623,544', '']","['645,636', '']","['687,222', '']","['691,031', '']","['702,866', '']","['764,322', '']","['891,625', '']","['909,683', '']"
3180,r098,California -> Private -> Western U. of Health Sciences,California,Private,Western U. of Health Sciences,3,"['1,786', '']","['1,768', '']","['3,005', '']","['3,721', '']","['5,474', '']","['4,904', '']","['6,895', '']","['6,187', '']","['5,140', '']","['4,951', '']"
3180,r099,Colorado,Colorado,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3180,r100,Colorado -> Public,Colorado,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3180,r101,Colorado -> Public -> Colorado School of Mines,Colorado,Public,Colorado School of Mines,3,"['44,879', '']","['48,704', '']","['58,836', '']","['59,091', '']","['59,695', '']","['58,349', '']","['60,931', '']","['59,477', '']","['60,372', '']","['70,397', '']"
3180,r102,"Colorado -> Public -> Colorado State U., Fort Collins",Colorado,Public,"Colorado State U., Fort Collins",3,"['302,896', '']","['330,784', '']","['375,919', '']","['313,238', '']","['307,978', '']","['317,219', '']","['331,862', '']","['338,404', '']","['374,955', '']","['398,477', '']"
3180,r103,"Colorado -> Public -> Colorado State U., Pueblo",Colorado,Public,"Colorado State U., Pueblo",3,"['413', '']","['364', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['3,107', '']"
3180,r104,Colorado -> Public -> Fort Lewis C.,Colorado,Public,Fort Lewis C.,3,"['392', '']","['606', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['1,460', '']"
3180,r105,Colorado -> Public -> U. Colorado Boulder,Colorado,Public,U. Colorado Boulder,3,"['349,449', '']","['390,677', '']","['392,004', '']","['385,849', '']","['379,475', '']","['420,775', '']","['453,123', '']","['499,389', '']","['514,573', '']","['513,822', '']"
3180,r106,Colorado -> Public -> U. Colorado Colorado Springs,Colorado,Public,U. Colorado Colorado Springs,3,"['9,088', '']","['7,425', '']","['4,727', '']","['4,721', '']","['5,363', '']","['6,988', '']","['6,812', '']","['6,680', '']","['5,976', '']","['4,720', '']"
3180,r107,Colorado -> Public -> U. Colorado Denver and Anschutz Medical Campus,Colorado,Public,U. Colorado Denver and Anschutz Medical Campus,3,"['389,461', '']","['417,587', '']","['431,977', '']","['409,443', '']","['411,020', '']","['410,081', '']","['443,705', '']","['480,598', '']","['525,531', '']","['542,732', '']"
3180,r108,Colorado -> Public -> U. Northern Colorado,Colorado,Public,U. Northern Colorado,3,"['2,607', '']","['2,078', '']","['2,896', '']","['3,034', '']","['4,176', '']","['3,652', '']","['4,028', '']","['4,538', '']","['5,089', '']","['4,571', '']"
3180,r109,Colorado -> Public -> U.S. Air Force Academy,Colorado,Public,U.S. Air Force Academy,3,"['62,097', '']","['73,607', '']","['56,044', '']","['57,164', '']","['44,663', '']","['38,326', '']","['55,358', '']","['48,287', '']","['35,925', '']","['43,941', '']"
3180,r110,Colorado -> Private,Colorado,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3180,r111,Colorado -> Private -> Colorado C.,Colorado,Private,Colorado C.,3,"['671', '']","['1,198', '']","['1,248', '']","['1,229', '']","['1,823', '']","['2,247', '']","['1,775', '']","['2,215', '']","['2,560', '']","['2,233', '']"
3180,r112,Colorado -> Private -> U. Denver,Colorado,Private,U. Denver,3,"['15,748', '']","['17,004', '']","['15,237', '']","['19,262', '']","['18,183', '']","['16,116', '']","['21,326', '']","['22,289', '']","['27,270', '']","['36,551', '']"
3180,r113,Connecticut,Connecticut,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3180,r114,Connecticut -> Public,Connecticut,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3180,r115,Connecticut -> Public -> Central Connecticut State U.,Connecticut,Public,Central Connecticut State U.,3,"['776', '']","['1,451', '']","['1,506', '']","['1,574', '']","['1,185', '']","['1,259', '']","['1,322', '']","['995', '']","['ne', '']","['1,381', '']"
