table_id,row_id,_b_time_to_degree_and_demographic_characteristic_b_full_path,_b_time_to_degree_and_demographic_characteristic_b_level_1,_b_time_to_degree_and_demographic_characteristic_b_level_2,_b_time_to_degree_and_demographic_characteristic_b_level_3,_b_time_to_degree_and_demographic_characteristic_b_level_4,_b_time_to_degree_and_demographic_characteristic_b_level_5,_b_time_to_degree_and_demographic_characteristic_b_hierarchy_depth,field_all_fields_number,field_all_fields_median,field_non_science_and_engineering_total_number,field_non_science_and_engineering_total_median,field_business_number,field_business_median,field_education_number,field_education_median,field_humanities_number,field_humanities_median,field_visual_and_performing_arts_number,field_visual_and_performing_arts_median,field_othera_number,field_othera_median
7548,r011,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,4,,,,,,,,,,,,,,
7548,r012,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,5,97,11.0,34,17.7,,,21,18.1,,,,,7,17.3
7548,r013,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,5,2986,8.6,465,12.0,77,11.1,157,14.0,114,11.3,32,10.5,85,12.1
7548,r014,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,5,2397,12.3,958,15.6,109,20.0,507,16.0,106,12.0,17,9.0,219,15.3
7548,r015,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,5,21142,8.6,5052,12.8,328,12.5,1796,16.0,1708,11.2,434,11.0,786,12.0
7548,r016,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,5,1084,8.3,254,12.6,19,9.3,94,14.3,80,12.1,22,12.0,39,11.0
7548,r017,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,5,363,10.0,90,13.0,,,26,18.0,,,,,19,11.0
7548,r018,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,4,410,10.3,140,14.0,16,16.5,51,16.0,39,12.2,9,13.6,25,15.0
7548,r019,Years since entering graduate school,Years since entering graduate school,,,,,1,,,,,,,,,,,,,,
7548,r020,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,,,,2,47958,7.3,9754,10.0,1191,8.8,3325,12.0,2773,9.8,700,9.3,1765,9.5
7548,r021,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Sex,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Sex,,,3,,,,,,,,,,,,,,
7548,r022,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Sex -> Male,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Sex,Male,,4,25925,7.0,4163,9.8,664,8.8,973,11.8,1460,9.8,318,8.8,748,9.3
7548,r023,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Sex -> Female,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Sex,Female,,4,22028,7.6,5590,10.3,527,8.8,2351,12.0,1313,9.4,382,9.8,1017,9.7
7548,r024,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Citizenship status,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Citizenship status,,,3,,,,,,,,,,,,,,
7548,r025,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Citizenship status -> U.S. citizen or permanent resident,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Citizenship status,U.S. citizen or permanent resident,,4,30394,7.3,7343,10.8,547,10.6,2812,12.8,2213,9.8,548,9.3,1223,10.0
7548,r026,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Citizenship status -> Temporary visa holder,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Citizenship status,Temporary visa holder,,4,16838,7.3,2226,8.9,605,8.0,452,9.3,517,9.8,141,8.9,511,8.9
7548,r027,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents),Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),,,3,,,,,,,,,,,,,,
7548,r028,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,4,2730,7.3,660,10.3,28,12.0,273,11.8,212,9.5,43,9.0,104,9.5
7548,r029,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,4,,,,,,,,,,,,,,
7548,r030,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,5,92,8.8,31,14.3,,,19,14.3,,,,,6,12.8
7548,r031,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,5,2938,7.0,454,10.1,74,8.8,154,11.3,111,9.3,31,9.8,84,10.1
7548,r032,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,5,2327,9.8,913,12.4,105,15.1,480,12.8,99,10.9,17,8.7,212,11.7
7548,r033,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,5,20725,7.0,4903,10.5,311,10.0,1749,12.9,1668,9.7,424,9.3,751,9.8
7548,r034,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,5,1074,6.9,250,10.8,19,8.6,93,12.3,78,10.7,22,10.5,38,9.8
7548,r035,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,5,306,8.2,81,10.9,,,26,12.9,,,,,17,10.8
7548,r036,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,4,202,8.0,51,11.3,4,19.8,18,12.8,13,9.9,5,10.3,11,11.5
7548,r037,Years since entering doctoral program<sup>b</sup>,Years since entering doctoral program<sup>b</sup>,,,,,1,,,,,,,,,,,,,,
7548,r038,Years since entering doctoral program<sup>b</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>c</sup>,Years since entering doctoral program<sup>b</sup>,Doctorate recipients reporting year of doctoral program entry<sup>c</sup>,,,,2,46743,5.7,9484,5.9,1160,5.0,3217,5.7,2710,6.8,681,6.7,1716,5.8
7548,r039,Years since entering doctoral program<sup>b</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>c</sup> -> Sex,Years since entering doctoral program<sup>b</sup>,Doctorate recipients reporting year of doctoral program entry<sup>c</sup>,Sex,,,3,,,,,,,,,,,,,,
7548,r040,Years since entering doctoral program<sup>b</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>c</sup> -> Sex -> Male,Years since entering doctoral program<sup>b</sup>,Doctorate recipients reporting year of doctoral program entry<sup>c</sup>,Sex,Male,,4,25250,5.7,4045,5.9,643,5.0,943,5.5,1425,6.8,308,6.0,726,5.7
7548,r041,Years since entering doctoral program<sup>b</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>c</sup> -> Sex -> Female,Years since entering doctoral program<sup>b</sup>,Doctorate recipients reporting year of doctoral program entry<sup>c</sup>,Sex,Female,,4,21488,5.8,5438,5.9,517,5.0,2273,5.7,1285,6.8,373,6.8,990,5.8
7548,r042,Years since entering doctoral program<sup>b</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>c</sup> -> Citizenship status,Years since entering doctoral program<sup>b</sup>,Doctorate recipients reporting year of doctoral program entry<sup>c</sup>,Citizenship status,,,3,,,,,,,,,,,,,,
7548,r043,Years since entering doctoral program<sup>b</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>c</sup> -> Citizenship status -> U.S. citizen or permanent resident,Years since entering doctoral program<sup>b</sup>,Doctorate recipients reporting year of doctoral program entry<sup>c</sup>,Citizenship status,U.S. citizen or permanent resident,,4,29543,5.8,7121,6.0,529,5.3,2717,5.8,2156,6.8,535,6.7,1184,6.0
7548,r044,Years since entering doctoral program<sup>b</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>c</sup> -> Citizenship status -> Temporary visa holder,Years since entering doctoral program<sup>b</sup>,Doctorate recipients reporting year of doctoral program entry<sup>c</sup>,Citizenship status,Temporary visa holder,,4,16486,5.3,2180,5.5,592,5.0,440,5.3,511,6.3,135,6.0,502,5.3
7548,r045,Years since entering doctoral program<sup>b</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>c</sup> -> Ethnicity and race (U.S. citizens and permanent residents),Years since entering doctoral program<sup>b</sup>,Doctorate recipients reporting year of doctoral program entry<sup>c</sup>,Ethnicity and race (U.S. citizens and permanent residents),,,3,,,,,,,,,,,,,,
7548,r046,Years since entering doctoral program<sup>b</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>c</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,Years since entering doctoral program<sup>b</sup>,Doctorate recipients reporting year of doctoral program entry<sup>c</sup>,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,4,2640,5.8,633,6.1,28,6.5,262,5.8,202,6.8,42,6.9,99,5.9
7548,r047,Years since entering doctoral program<sup>b</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>c</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,Years since entering doctoral program<sup>b</sup>,Doctorate recipients reporting year of doctoral program entry<sup>c</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,4,,,,,,,,,,,,,,
7548,r048,Years since entering doctoral program<sup>b</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>c</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,Years since entering doctoral program<sup>b</sup>,Doctorate recipients reporting year of doctoral program entry<sup>c</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,5,88,6.0,29,6.8,,,17,7.0,,,,,6,5.5
7548,r049,Years since entering doctoral program<sup>b</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>c</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,Years since entering doctoral program<sup>b</sup>,Doctorate recipients reporting year of doctoral program entry<sup>c</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,5,2860,5.8,446,6.0,73,5.8,152,5.8,106,6.9,31,7.0,84,6.1
7548,r050,Years since entering doctoral program<sup>b</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>c</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,Years since entering doctoral program<sup>b</sup>,Doctorate recipients reporting year of doctoral program entry<sup>c</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,5,2220,5.8,869,5.9,103,5.3,447,5.8,96,6.8,16,6.8,207,6.1
7548,r051,Years since entering doctoral program<sup>b</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>c</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,Years since entering doctoral program<sup>b</sup>,Doctorate recipients reporting year of doctoral program entry<sup>c</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,5,20218,5.8,4778,6.0,299,5.0,1709,5.7,1633,6.8,414,6.6,723,6.0
7548,r052,Years since entering doctoral program<sup>b</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>c</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,Years since entering doctoral program<sup>b</sup>,Doctorate recipients reporting year of doctoral program entry<sup>c</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,5,1044,5.8,241,6.3,18,5.3,88,5.8,76,7.0,22,7.0,37,6.3
7548,r053,Years since entering doctoral program<sup>b</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>c</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,Years since entering doctoral program<sup>b</sup>,Doctorate recipients reporting year of doctoral program entry<sup>c</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,5,288,5.9,75,6.0,,,24,6.5,,,,,17,5.6
7548,r054,Years since entering doctoral program<sup>b</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>c</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,Years since entering doctoral program<sup>b</sup>,Doctorate recipients reporting year of doctoral program entry<sup>c</sup>,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,4,185,5.8,50,5.8,3,8.8,18,5.2,13,6.0,5,6.3,11,5.3
