table_id,row_id,_b_mechanism_of_support_and_sex_b_full_path,_b_mechanism_of_support_and_sex_b_level_1,_b_mechanism_of_support_and_sex_b_level_2,_b_mechanism_of_support_and_sex_b_level_3,_b_mechanism_of_support_and_sex_b_hierarchy_depth,field_all_sources,field_federal_dod,field_federal_doe,field_federal_hhs_nih,field_federal_hhs_other,field_federal_nasa,field_federal_nsf,field_federal_usda,field_federal_other,field_domestic,field_foreign,field_institutional,field_self_support
10638,r012,"Doctoral students, number imputed<sup>a</sup> -> All full-time doctoral students -> Fellowships","Doctoral students, number imputed<sup>a</sup>",All full-time doctoral students,Fellowships,3,5169,18,8,312,3,21,572,5,204,428,68,3577,na
10638,r013,"Doctoral students, number imputed<sup>a</sup> -> All full-time doctoral students -> Research assistantships","Doctoral students, number imputed<sup>a</sup>",All full-time doctoral students,Research assistantships,3,8900,394,435,1533,258,127,1199,210,325,1018,41,3495,na
10638,r014,"Doctoral students, number imputed<sup>a</sup> -> All full-time doctoral students -> Teaching assistantships","Doctoral students, number imputed<sup>a</sup>",All full-time doctoral students,Teaching assistantships,3,6256,na,7,na,2,3,55,6,8,42,25,6223,na
10638,r015,"Doctoral students, number imputed<sup>a</sup> -> All full-time doctoral students -> Traineeships","Doctoral students, number imputed<sup>a</sup>",All full-time doctoral students,Traineeships,3,1097,0,0,633,119,8,16,0,2,20,2,268,na
10638,r016,"Doctoral students, number imputed<sup>a</sup> -> All full-time doctoral students -> Other types of support","Doctoral students, number imputed<sup>a</sup>",All full-time doctoral students,Other types of support,3,4099,14,6,40,9,0,25,7,68,124,51,921,2852
10638,r017,"Doctoral students, number imputed<sup>a</sup> -> Male","Doctoral students, number imputed<sup>a</sup>",Male,,2,4932,338,322,1142,151,96,1168,105,320,976,112,9207,1267
10638,r018,"Doctoral students, number imputed<sup>a</sup> -> Female","Doctoral students, number imputed<sup>a</sup>",Female,,2,4148,115,122,1396,240,58,853,120,290,752,74,8400,1594
10638,r019,"Master's students, imputation rate (%)","Master's students, imputation rate (%)",,,1,,,,,,,,,,,,,
10638,r020,"Master's students, imputation rate (%) -> All full-time master's students","Master's students, imputation rate (%)",All full-time master's students,,2,1.3,5.9,8.1,13.3,11.3,5.9,10.6,8.8,11.9,12.8,14.7,10.3,11.6
10638,r021,"Master's students, imputation rate (%) -> All full-time master's students -> Fellowships","Master's students, imputation rate (%)",All full-time master's students,Fellowships,3,20.2,9.8,0.0,9.6,94.1,6.3,11.9,9.4,49.3,36.7,3.4,15.2,na
10638,r022,"Master's students, imputation rate (%) -> All full-time master's students -> Research assistantships","Master's students, imputation rate (%)",All full-time master's students,Research assistantships,3,9.7,11.7,8.5,14.0,7.1,6.6,11.7,8.8,7.0,10.8,10.5,9.8,na
10638,r023,"Master's students, imputation rate (%) -> All full-time master's students -> Teaching assistantships","Master's students, imputation rate (%)",All full-time master's students,Teaching assistantships,3,12.0,na,0.0,na,0.0,16.7,7.8,14.8,37.6,21.6,5.4,12.1,na
10638,r024,"Master's students, imputation rate (%) -> All full-time master's students -> Traineeships","Master's students, imputation rate (%)",All full-time master's students,Traineeships,3,6.8,40.0,0.0,9.0,17.3,0.0,0.0,66.7,5.1,3.6,0.0,6.2,na
10638,r025,"Master's students, imputation rate (%) -> All full-time master's students -> Other types of support","Master's students, imputation rate (%)",All full-time master's students,Other types of support,3,11.1,2.7,18.2,12.3,10.7,0.0,8.9,8.5,5.8,8.9,19.7,8.6,11.6
10638,r026,"Master's students, imputation rate (%) -> Male","Master's students, imputation rate (%)",Male,,2,2.6,6.3,7.8,14.1,7.2,6.2,11.5,8.1,18.0,13.2,12.6,10.3,12.3
10638,r027,"Master's students, imputation rate (%) -> Female","Master's students, imputation rate (%)",Female,,2,3.7,5.2,9.5,13.5,13.8,4.5,9.6,9.7,8.2,13.6,17.6,11.3,14.0
10638,r028,"Master's students, number imputed<sup>a</sup>","Master's students, number imputed<sup>a</sup>",,,1,,,,,,,,,,,,,
10638,r029,"Master's students, number imputed<sup>a</sup> -> All full-time master's students","Master's students, number imputed<sup>a</sup>",All full-time master's students,,2,4004,166,45,147,71,19,225,116,833,696,140,7748,25889
10638,r030,"Master's students, number imputed<sup>a</sup> -> All full-time master's students -> Fellowships","Master's students, number imputed<sup>a</sup>",All full-time master's students,Fellowships,3,1642,5,0,5,16,1,19,3,454,205,4,937,na
10638,r031,"Master's students, number imputed<sup>a</sup> -> All full-time master's students -> Research assistantships","Master's students, number imputed<sup>a</sup>",All full-time master's students,Research assistantships,3,2184,106,41,119,30,17,178,99,112,268,18,1254,na
10638,r032,"Master's students, number imputed<sup>a</sup> -> All full-time master's students -> Teaching assistantships","Master's students, number imputed<sup>a</sup>",All full-time master's students,Teaching assistantships,3,2871,na,0,na,0,1,13,4,32,47,3,2811,na
10638,r033,"Master's students, number imputed<sup>a</sup> -> All full-time master's students -> Traineeships","Master's students, number imputed<sup>a</sup>",All full-time master's students,Traineeships,3,137,8,0,7,17,0,0,2,7,5,0,91,na
10638,r034,"Master's students, number imputed<sup>a</sup> -> All full-time master's students -> Other types of support","Master's students, number imputed<sup>a</sup>",All full-time master's students,Other types of support,3,29223,49,6,16,9,0,21,11,247,181,118,2696,25889
10638,r035,"Master's students, number imputed<sup>a</sup> -> Male","Master's students, number imputed<sup>a</sup>",Male,,2,4041,131,30,60,16,13,139,46,532,361,70,3767,13485
10638,r036,"Master's students, number imputed<sup>a</sup> -> Female","Master's students, number imputed<sup>a</sup>",Female,,2,5928,37,16,92,56,5,87,72,331,365,70,4328,15838
