table_id,row_id,age_sex_ethnicity_race_disability_status_and_age_at_onset_of_disability_full_path,age_sex_ethnicity_race_disability_status_and_age_at_onset_of_disability_level_1,age_sex_ethnicity_race_disability_status_and_age_at_onset_of_disability_level_2,age_sex_ethnicity_race_disability_status_and_age_at_onset_of_disability_level_3,age_sex_ethnicity_race_disability_status_and_age_at_onset_of_disability_level_4,age_sex_ethnicity_race_disability_status_and_age_at_onset_of_disability_level_5,age_sex_ethnicity_race_disability_status_and_age_at_onset_of_disability_hierarchy_depth,field_total,field_employed_in_all_occupations_employed,field_employed_in_all_occupations_full_time,field_employed_in_all_occupations_part_time,field_employed_in_s_e_occupations_full_time,field_employed_in_s_e_occupations_part_time,field_employed_in_s_e_related_occupations_full_time,field_employed_in_s_e_related_occupations_part_time,field_employed_in_non_s_e_occupations_full_time,field_employed_in_non_s_e_occupations_part_time,field_unemployeda,field_not_in_labor_forceb_total,field_not_in_labor_forceb_student,field_not_in_labor_forceb_retired,field_not_in_labor_forceb_not_seeking_employment_all_other_reasons,field_full_time_employed_salary_
6853,r063,75 and younger -> 40&#8211;49 -> Hispanic or Latino,75 and younger,40&#8211;49,Hispanic or Latino,,,3,1204000,1052000,926000,126000,101000,6000,164000,31000,661000,89000,39000,112000,S,11000,100000,72000
6853,r064,75 and younger -> 40&#8211;49 -> Not Hispanic or Latino,75 and younger,40&#8211;49,Not Hispanic or Latino,,,3,,,,,,,,,,,,,,,,
6853,r065,75 and younger -> 40&#8211;49 -> Not Hispanic or Latino -> American Indian or Alaska Native,75 and younger,40&#8211;49,Not Hispanic or Latino,American Indian or Alaska Native,,4,43000,38000,30000,S,5000,,4000,,21000,,,,,,,62000
6853,r066,75 and younger -> 40&#8211;49 -> Not Hispanic or Latino -> Asian,75 and younger,40&#8211;49,Not Hispanic or Latino,Asian,,4,1377000,1206000,1065000,141000,339000,18000,241000,31000,484000,91000,33000,138000,4000,,133000,100000
6853,r067,75 and younger -> 40&#8211;49 -> Not Hispanic or Latino -> Black or African American,75 and younger,40&#8211;49,Not Hispanic or Latino,Black or African American,,4,1055000,956000,867000,89000,76000,S,129000,5000,663000,77000,63000,36000,,,32000,62000
6853,r068,75 and younger -> 40&#8211;49 -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,75 and younger,40&#8211;49,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,4,52000,42000,41000,1000,13000,,6000,,23000,S,,,,,,86000
6853,r069,75 and younger -> 40&#8211;49 -> Not Hispanic or Latino -> White,75 and younger,40&#8211;49,Not Hispanic or Latino,White,,4,8484000,7667000,6580000,1087000,883000,60000,1026000,242000,4671000,785000,119000,697000,20000,42000,635000,80000
6853,r070,75 and younger -> 40&#8211;49 -> Not Hispanic or Latino -> More than one race,75 and younger,40&#8211;49,Not Hispanic or Latino,More than one race,,4,206000,187000,159000,28000,17000,S,21000,5000,121000,21000,8000,11000,,,9000,60000
6853,r071,75 and younger -> 40&#8211;49 -> Without disability,75 and younger,40&#8211;49,Without disability,,,3,10921000,9946000,8645000,1301000,1312000,84000,1469000,297000,5864000,920000,214000,761000,27000,33000,701000,81000
6853,r072,75 and younger -> 40&#8211;49 -> With disability,75 and younger,40&#8211;49,With disability,,,3,1500000,1202000,1024000,178000,122000,11000,122000,23000,780000,145000,59000,239000,S,22000,213000,72000
6853,r073,75 and younger -> 40&#8211;49 -> With disability -> Age at onset of disability,75 and younger,40&#8211;49,With disability,Age at onset of disability,,4,,,,,,,,,,,,,,,,
6853,r074,75 and younger -> 40&#8211;49 -> With disability -> Age at onset of disability -> Since birth,75 and younger,40&#8211;49,With disability,Age at onset of disability,Since birth,5,127000,105000,97000,8000,12000,,5000,,80000,S,,20000,,,20000,46000
6853,r075,75 and younger -> 40&#8211;49 -> With disability -> Age at onset of disability -> 1&#8211;9,75 and younger,40&#8211;49,With disability,Age at onset of disability,1&#8211;9,5,129000,119000,93000,26000,14000,,6000,,73000,21000,,9000,,,9000,91000
6853,r076,75 and younger -> 40&#8211;49 -> With disability -> Age at onset of disability -> 10&#8211;19,75 and younger,40&#8211;49,With disability,Age at onset of disability,10&#8211;19,5,215000,181000,151000,30000,15000,,19000,,117000,28000,S,27000,,,26000,83000
6853,r077,75 and younger -> 40&#8211;49 -> With disability -> Age at onset of disability -> 20&#8211;29,75 and younger,40&#8211;49,With disability,Age at onset of disability,20&#8211;29,5,198000,158000,149000,9000,15000,,22000,,112000,9000,S,31000,,,29000,68000
6853,r078,75 and younger -> 40&#8211;49 -> With disability -> Age at onset of disability -> 30&#8211;39,75 and younger,40&#8211;49,With disability,Age at onset of disability,30&#8211;39,5,330000,259000,207000,52000,22000,S,28000,,157000,44000,22000,49000,,9000,40000,59000
6853,r079,75 and younger -> 40&#8211;49 -> With disability -> Age at onset of disability -> 40&#8211;49,75 and younger,40&#8211;49,With disability,Age at onset of disability,40&#8211;49,5,501000,379000,327000,52000,45000,,41000,S,241000,39000,19000,103000,,10000,89000,76000
6853,r080,75 and younger -> 50&#8211;59,75 and younger,50&#8211;59,,,,2,12191000,10557000,9041000,1515000,1239000,81000,1410000,262000,6393000,1173000,351000,1283000,32000,499000,752000,84000
6853,r081,75 and younger -> 50&#8211;59 -> Female,75 and younger,50&#8211;59,Female,,,3,6485000,5379000,4269000,1110000,328000,46000,719000,209000,3222000,855000,195000,911000,19000,315000,577000,69000
6853,r082,75 and younger -> 50&#8211;59 -> Male,75 and younger,50&#8211;59,Male,,,3,5707000,5178000,4772000,406000,911000,35000,691000,52000,3171000,318000,156000,373000,13000,184000,176000,100000
6853,r083,75 and younger -> 50&#8211;59 -> Hispanic or Latino,75 and younger,50&#8211;59,Hispanic or Latino,,,3,922000,769000,636000,133000,63000,6000,116000,8000,456000,118000,39000,115000,,50000,63000,73000
6853,r084,75 and younger -> 50&#8211;59 -> Not Hispanic or Latino,75 and younger,50&#8211;59,Not Hispanic or Latino,,,3,,,,,,,,,,,,,,,,
6853,r085,75 and younger -> 50&#8211;59 -> Not Hispanic or Latino -> American Indian or Alaska Native,75 and younger,50&#8211;59,Not Hispanic or Latino,American Indian or Alaska Native,,4,32000,31000,30000,S,1000,,S,,25000,,,S,,,,49000
6853,r086,75 and younger -> 50&#8211;59 -> Not Hispanic or Latino -> Asian,75 and younger,50&#8211;59,Not Hispanic or Latino,Asian,,4,894000,757000,641000,116000,181000,7000,143000,34000,317000,75000,40000,97000,,20000,77000,94000
6853,r087,75 and younger -> 50&#8211;59 -> Not Hispanic or Latino -> Black or African American,75 and younger,50&#8211;59,Not Hispanic or Latino,Black or African American,,4,1087000,952000,833000,119000,109000,2000,129000,13000,594000,104000,S,81000,,43000,32000,67000
6853,r088,75 and younger -> 50&#8211;59 -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,75 and younger,50&#8211;59,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,4,20000,19000,19000,,2000,,S,,15000,,,,,,,77000
6853,r089,75 and younger -> 50&#8211;59 -> Not Hispanic or Latino -> White,75 and younger,50&#8211;59,Not Hispanic or Latino,White,,4,9099000,7924000,6784000,1140000,869000,64000,1000000,204000,4915000,871000,210000,965000,22000,375000,568000,86000
6853,r090,75 and younger -> 50&#8211;59 -> Not Hispanic or Latino -> More than one race,75 and younger,50&#8211;59,Not Hispanic or Latino,More than one race,,4,136000,105000,99000,6000,13000,S,17000,,70000,4000,8000,22000,,12000,S,70000
6853,r091,75 and younger -> 50&#8211;59 -> Without disability,75 and younger,50&#8211;59,Without disability,,,3,9997000,8885000,7630000,1255000,1059000,66000,1210000,233000,5361000,956000,286000,826000,26000,353000,447000,85000
6853,r092,75 and younger -> 50&#8211;59 -> With disability,75 and younger,50&#8211;59,With disability,,,3,2194000,1672000,1411000,261000,180000,15000,200000,29000,1032000,217000,65000,457000,S,146000,305000,75000
6853,r093,75 and younger -> 50&#8211;59 -> With disability -> Age at onset of disability,75 and younger,50&#8211;59,With disability,Age at onset of disability,,4,,,,,,,,,,,,,,,,
6853,r094,75 and younger -> 50&#8211;59 -> With disability -> Age at onset of disability -> Since birth,75 and younger,50&#8211;59,With disability,Age at onset of disability,Since birth,5,128000,90000,72000,18000,15000,,20000,,36000,18000,,33000,,S,24000,70000
6853,r095,75 and younger -> 50&#8211;59 -> With disability -> Age at onset of disability -> 1&#8211;9,75 and younger,50&#8211;59,With disability,Age at onset of disability,1&#8211;9,5,130000,89000,79000,10000,17000,,9000,,53000,9000,,39000,,16000,23000,76000
6853,r096,75 and younger -> 50&#8211;59 -> With disability -> Age at onset of disability -> 10&#8211;19,75 and younger,50&#8211;59,With disability,Age at onset of disability,10&#8211;19,5,257000,212000,182000,31000,22000,2000,17000,10000,142000,19000,S,37000,,S,35000,60000
6853,r097,75 and younger -> 50&#8211;59 -> With disability -> Age at onset of disability -> 20&#8211;29,75 and younger,50&#8211;59,With disability,Age at onset of disability,20&#8211;29,5,149000,115000,103000,S,11000,,15000,,77000,S,S,26000,,19000,S,99000
6853,r098,75 and younger -> 50&#8211;59 -> With disability -> Age at onset of disability -> 30&#8211;39,75 and younger,50&#8211;59,With disability,Age at onset of disability,30&#8211;39,5,246000,180000,162000,17000,25000,S,13000,,124000,15000,S,58000,,12000,45000,77000
6853,r099,75 and younger -> 50&#8211;59 -> With disability -> Age at onset of disability -> 40&#8211;49,75 and younger,50&#8211;59,With disability,Age at onset of disability,40&#8211;49,5,710000,540000,456000,84000,57000,2000,62000,13000,337000,69000,14000,156000,,54000,99000,84000
6853,r100,75 and younger -> 50&#8211;59 -> With disability -> Age at onset of disability -> 50&#8211;59,75 and younger,50&#8211;59,With disability,Age at onset of disability,50&#8211;59,5,575000,445000,357000,88000,32000,9000,64000,S,262000,76000,21000,108000,,35000,73000,65000
6853,r101,75 and younger -> 60&#8211;75,75 and younger,60&#8211;75,,,,2,14902000,7250000,4831000,2419000,572000,158000,872000,346000,3386000,1915000,264000,7389000,12000,6966000,411000,80000
6853,r102,75 and younger -> 60&#8211;75 -> Female,75 and younger,60&#8211;75,Female,,,3,6966000,3038000,1837000,1200000,125000,50000,404000,202000,1308000,949000,117000,3811000,S,3520000,286000,66000
6853,r103,75 and younger -> 60&#8211;75 -> Male,75 and younger,60&#8211;75,Male,,,3,7937000,4212000,2994000,1218000,448000,108000,468000,144000,2078000,966000,147000,3578000,6000,3446000,125000,90000
6853,r104,75 and younger -> 60&#8211;75 -> Hispanic or Latino,75 and younger,60&#8211;75,Hispanic or Latino,,,3,647000,377000,247000,130000,16000,5000,69000,20000,162000,106000,9000,260000,,238000,22000,69000
6853,r105,75 and younger -> 60&#8211;75 -> Not Hispanic or Latino,75 and younger,60&#8211;75,Not Hispanic or Latino,,,3,,,,,,,,,,,,,,,,
6853,r106,75 and younger -> 60&#8211;75 -> Not Hispanic or Latino -> American Indian or Alaska Native,75 and younger,60&#8211;75,Not Hispanic or Latino,American Indian or Alaska Native,,4,56000,22000,19000,S,1000,,,,14000,1000,,33000,,33000,,51000
6853,r107,75 and younger -> 60&#8211;75 -> Not Hispanic or Latino -> Asian,75 and younger,60&#8211;75,Not Hispanic or Latino,Asian,,4,815000,415000,316000,99000,54000,5000,80000,19000,182000,75000,29000,371000,,334000,37000,83000
6853,r108,75 and younger -> 60&#8211;75 -> Not Hispanic or Latino -> Black or African American,75 and younger,60&#8211;75,Not Hispanic or Latino,Black or African American,,4,867000,399000,285000,114000,23000,7000,45000,20000,218000,87000,25000,443000,,417000,24000,55000
6853,r109,75 and younger -> 60&#8211;75 -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,75 and younger,60&#8211;75,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,4,30000,13000,13000,,1000,,S,,S,,,17000,,17000,,100000
6853,r110,75 and younger -> 60&#8211;75 -> Not Hispanic or Latino -> White,75 and younger,60&#8211;75,Not Hispanic or Latino,White,,4,12351000,5955000,3898000,2058000,472000,140000,666000,284000,2760000,1634000,191000,6204000,10000,5867000,328000,81000
6853,r111,75 and younger -> 60&#8211;75 -> Not Hispanic or Latino -> More than one race,75 and younger,60&#8211;75,Not Hispanic or Latino,More than one race,,4,137000,67000,53000,14000,7000,,S,,40000,13000,S,60000,,59000,,S
6853,r112,75 and younger -> 60&#8211;75 -> Without disability,75 and younger,60&#8211;75,Without disability,,,3,11690000,5966000,3997000,1969000,473000,128000,740000,284000,2784000,1558000,196000,5527000,11000,5302000,214000,81000
6853,r113,75 and younger -> 60&#8211;75 -> With disability,75 and younger,60&#8211;75,With disability,,,3,3213000,1283000,834000,449000,100000,30000,132000,62000,602000,357000,68000,1861000,,1664000,196000,69000
6853,r114,75 and younger -> 60&#8211;75 -> With disability -> Age at onset of disability,75 and younger,60&#8211;75,With disability,Age at onset of disability,,4,,,,,,,,,,,,,,,,
6853,r115,75 and younger -> 60&#8211;75 -> With disability -> Age at onset of disability -> Since birth,75 and younger,60&#8211;75,With disability,Age at onset of disability,Since birth,5,140000,58000,36000,22000,6000,,S,,30000,18000,,81000,,68000,14000,63000
6853,r116,75 and younger -> 60&#8211;75 -> With disability -> Age at onset of disability -> 1&#8211;9,75 and younger,60&#8211;75,With disability,Age at onset of disability,1&#8211;9,5,112000,35000,26000,9000,5000,0.05,S,S,18000,6000,,75000,,55000,20000,S
6853,r117,75 and younger -> 60&#8211;75 -> With disability -> Age at onset of disability -> 10&#8211;19,75 and younger,60&#8211;75,With disability,Age at onset of disability,10&#8211;19,5,200000,100000,63000,37000,6000,4000,6000,S,50000,26000,,100000,,86000,14000,76000
