table_id,row_id,_b_ethnicity_race_and_debt_level_b_full_path,_b_ethnicity_race_and_debt_level_b_level_1,_b_ethnicity_race_and_debt_level_b_level_2,_b_ethnicity_race_and_debt_level_b_level_3,_b_ethnicity_race_and_debt_level_b_level_4,_b_ethnicity_race_and_debt_level_b_hierarchy_depth,field_all_fields,field_science_and_engineering_total,field_science_and_engineering_agricultural_sciences_and_natural_resources,field_science_and_engineering_biological_and_biomedical_sciences,field_science_and_engineering_computer_and_information_sciences,field_science_and_engineering_engineering,field_science_and_engineering_geosciences_atmospheric_and_ocean_sciences,field_science_and_engineering_health_sciences,field_science_and_engineering_mathematics_and_statistics,field_science_and_engineering_multidisciplinary_interdisciplinary_sciences,field_science_and_engineering_physical_sciences,field_science_and_engineering_psychology,field_science_and_engineering_social_sciences,field_non_science_and_engineering_total,field_non_science_and_engineering_business,field_non_science_and_engineering_education,field_non_science_and_engineering_humanities,field_non_science_and_engineering_visual_and_performing_arts,field_non_science_and_engineering_othera
7555,r025,"U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> White -> Debt > $70,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,White,"Debt > $70,000 (%)",4,11.3,9.5,6.9,5.7,4.6,,,20.3,3.9,10.6,1.6,25.2,16.1,17.1,18.3,19.0,13.9,18.1,18.4
7555,r026,U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> More than one race,U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,More than one race,,3,,,,,,,,,,,,,,,,,,,
7555,r027,U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> More than one race -> Total (number)<sup>b</sup>,U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,More than one race,Total (number)<sup>b</sup>,4,1070,821,11,212,26,112,33,54,32,27,96,122,96,249,19,93,77,22,38
7555,r028,"U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> More than one race -> Debt > $30,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,More than one race,"Debt > $30,000 (%)",4,24.1,17.7,,10.8,,5.4,,35.2,,25.9,8.3,36.9,26.0,45.4,42.1,,45.5,,50.0
7555,r029,"U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> More than one race -> Debt > $70,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,More than one race,"Debt > $70,000 (%)",4,14.8,10.4,,6.1,,,,,,,0.0,23.8,17.7,29.3,,,27.3,,36.8
7555,r030,U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> Other race or race not reported,U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,Other race or race not reported,,3,,,,,,,,,,,,,,,,,,,
7555,r031,U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> Other race or race not reported -> Total (number)<sup>b</sup>,U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,Other race or race not reported,Total (number)<sup>b</sup>,4,298,220,,43,11,34,,12,11,,22,32,32,78,,25,,,16
7555,r032,"U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> Other race or race not reported -> Debt > $30,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,Other race or race not reported,"Debt > $30,000 (%)",4,20.8,15.5,0.0,,9.1,5.9,16.7,25.0,27.3,,4.5,40.6,15.6,35.9,25.0,48.0,,0.0,
7555,r033,"U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> Other race or race not reported -> Debt > $70,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,Other race or race not reported,"Debt > $70,000 (%)",4,12.4,,0.0,0.0,9.1,2.9,16.7,8.3,,11.1,0.0,25.0,12.5,,0.0,36.0,,0.0,31.3
7555,r034,U.S. citizens and permanent residents reporting graduate debt -> Ethnicity not reported,U.S. citizens and permanent residents reporting graduate debt,Ethnicity not reported,,,2,,,,,,,,,,,,,,,,,,,
7555,r035,U.S. citizens and permanent residents reporting graduate debt -> Ethnicity not reported -> Total (number)<sup>b</sup>,U.S. citizens and permanent residents reporting graduate debt,Ethnicity not reported,Total (number)<sup>b</sup>,,3,183,133,6,25,6,28,1,13,9,2,14,16,13,50,4,17,13,4,12
7555,r036,"U.S. citizens and permanent residents reporting graduate debt -> Ethnicity not reported -> Debt > $30,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Ethnicity not reported,"Debt > $30,000 (%)",,3,23.5,17.3,33.3,8.0,0.0,21.4,0.0,23.1,0.0,0.0,0.0,50.0,15.4,40.0,25.0,52.9,30.8,25.0,41.7
7555,r037,"U.S. citizens and permanent residents reporting graduate debt -> Ethnicity not reported -> Debt > $70,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Ethnicity not reported,"Debt > $70,000 (%)",,3,15.8,12.0,33.3,0.0,0.0,10.7,0.0,23.1,0.0,0.0,0.0,43.8,7.7,26.0,25.0,41.2,23.1,0.0,16.7
