table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_research_and_development_any_r_d_number,field_research_and_development_any_r_d_se,field_research_and_development_basic_research_number,field_research_and_development_basic_research_se,field_research_and_development_applied_research_number,field_research_and_development_applied_research_se,field_research_and_development_experimental_development_number,field_research_and_development_experimental_development_se,field_computer_applications_number,field_computer_applications_se,field_design_number,field_design_se,field_management_sales_or_administrationa_number,field_management_sales_or_administrationa_se,field_professional_services_number,field_professional_services_se,field_teaching_number,field_teaching_se,field_otherb_number,field_otherb_se
8209,r015,Doctorate recipient -> Age -> 35&#8211;39,Doctorate recipient,Age,35&#8211;39,,3,130150,1225,88300,1325,30600,850,54250,1050,23050,775,19050,700,12500,550,51300,1150,13700,600,30850,825,8200,425
8209,r016,Doctorate recipient -> Age -> 40&#8211;44,Doctorate recipient,Age,40&#8211;44,,3,127550,1400,80400,1250,28400,950,46550,1150,20350,725,13550,625,10400,500,56300,1225,15600,675,35800,1025,8200,500
8209,r017,Doctorate recipient -> Age -> 45&#8211;49,Doctorate recipient,Age,45&#8211;49,,3,111200,1250,65800,1175,23400,700,37100,875,16750,775,10950,575,7500,475,51400,1025,14800,625,32950,775,8800,550
8209,r018,Doctorate recipient -> Age -> 50&#8211;54,Doctorate recipient,Age,50&#8211;54,,3,104550,1225,58250,1150,19200,625,32700,1075,16600,775,7800,450,7500,450,51600,1000,14250,650,30900,900,7700,500
8209,r019,Doctorate recipient -> Age -> 55&#8211;59,Doctorate recipient,Age,55&#8211;59,,3,98950,1375,53200,1100,16950,625,30750,875,14400,675,8650,525,7450,500,46850,950,14500,725,28750,850,7700,525
8209,r020,Doctorate recipient -> Age -> 60&#8211;64,Doctorate recipient,Age,60&#8211;64,,3,86450,1375,46500,1050,16250,750,26650,825,11450,525,6400,425,7000,425,38800,1050,13750,675,27900,900,6000,475
8209,r021,Doctorate recipient -> Age -> 65&#8211;75,Doctorate recipient,Age,65&#8211;75,,3,114100,1575,58050,1325,22350,850,34000,1075,12450,625,6500,475,5850,475,43600,1150,28600,950,37150,1100,8550,625
8209,r022,Doctorate recipient -> Years since doctorate,Doctorate recipient,Years since doctorate,,,2,,,,,,,,,,,,,,,,,,,,,,
8209,r023,Doctorate recipient -> Years since doctorate -> &#8804; 5,Doctorate recipient,Years since doctorate,&#8804; 5,,3,141750,600,100650,950,37500,850,64150,1025,25900,725,25300,725,14150,600,42350,775,15200,575,30050,725,10000,450
8209,r024,Doctorate recipient -> Years since doctorate -> 6&#8211;10,Doctorate recipient,Years since doctorate,6&#8211;10,,3,159000,975,103100,1250,33400,1000,62950,1125,27950,800,20900,725,14400,575,62850,1000,18600,700,43650,925,10300,475
8209,r025,Doctorate recipient -> Years since doctorate -> 11&#8211;15,Doctorate recipient,Years since doctorate,11&#8211;15,,3,137450,875,82250,1075,28850,875,46750,950,21400,775,13950,625,10900,600,62650,1125,17250,600,39950,850,9900,550
8209,r026,Doctorate recipient -> Years since doctorate -> 16&#8211;20,Doctorate recipient,Years since doctorate,16&#8211;20,,3,108850,825,62750,975,21000,650,36200,900,16300,675,7600,425,7250,475,53100,1050,15500,700,32800,950,8500,525
8209,r027,Doctorate recipient -> Years since doctorate -> 21&#8211;25,Doctorate recipient,Years since doctorate,21&#8211;25,,3,104600,950,57000,875,18700,700,32600,850,16200,675,9150,550,7000,450,51100,1100,15950,675,30450,900,6850,475
8209,r028,Doctorate recipient -> Years since doctorate -> > 25,Doctorate recipient,Years since doctorate,> 25,,3,220400,1675,117750,1625,44900,1125,65250,1375,28000,850,15600,700,14800,675,97050,1450,42050,1125,64650,1400,16600,800
8209,r029,Doctorate recipient -> Citizenship,Doctorate recipient,Citizenship,,,2,,,,,,,,,,,,,,,,,,,,,,
8209,r030,Doctorate recipient -> Citizenship -> U.S. citizen,Doctorate recipient,Citizenship,U.S. citizen,,3,746850,2200,429950,2525,149600,1800,252900,2425,106000,1775,66050,1200,52750,1225,336300,2350,118050,1550,216550,2200,54450,1325
8209,r031,Doctorate recipient -> Citizenship -> U.S. citizen -> Native-born,Doctorate recipient,Citizenship,U.S. citizen,Native-born,4,554050,1850,307300,2200,109900,1475,183550,2100,66600,1300,42500,900,34300,925,256500,1900,97600,1375,170000,1900,42100,1125
8209,r032,Doctorate recipient -> Citizenship -> U.S. citizen -> Naturalized,Doctorate recipient,Citizenship,U.S. citizen,Naturalized,4,192800,1675,122650,1500,39700,1075,69350,1350,39450,1075,23550,825,18450,850,79800,1375,20450,850,46550,1100,12350,625
8209,r033,Doctorate recipient -> Citizenship -> Non-U.S. citizen,Doctorate recipient,Citizenship,Non-U.S. citizen,,3,125250,1425,93550,1400,34750,1125,54950,1150,29700,825,26450,925,15700,650,32700,975,6550,450,25000,900,7700,500
8209,r034,Doctorate recipient -> Citizenship -> Non-U.S. citizen -> Permanent resident,Doctorate recipient,Citizenship,Non-U.S. citizen,Permanent resident,4,84250,1300,59650,1125,20800,875,34400,925,20100,675,16300,725,9900,550,25700,925,4900,400,19000,800,5350,450
8209,r035,Doctorate recipient -> Citizenship -> Non-U.S. citizen -> Temporary resident,Doctorate recipient,Citizenship,Non-U.S. citizen,Temporary resident,4,40950,825,33900,825,13950,625,20550,675,9600,525,10100,625,5750,400,7050,450,1650,200,6000,450,2350,275
8209,r036,Doctorate recipient -> Sector of employment,Doctorate recipient,Sector of employment,,,2,,,,,,,,,,,,,,,,,,,,,,
8209,r037,Doctorate recipient -> Sector of employment -> 4-year educational institution<sup>f</sup>,Doctorate recipient,Sector of employment,4-year educational institution<sup>f</sup>,,3,340950,2450,233350,1900,133900,1950,120100,1625,13150,675,14400,625,6700,425,112500,1575,20700,775,198750,2225,16750,725
8209,r038,Doctorate recipient -> Sector of employment -> Other educational institution<sup>g</sup>,Doctorate recipient,Sector of employment,Other educational institution<sup>g</sup>,,3,27800,825,5500,450,2300,300,2550,325,1050,175,900,175,700,150,9250,475,3350,300,20950,700,2600,225
8209,r039,"Doctorate recipient -> Sector of employment -> Private, for profit<sup>h</sup>",Doctorate recipient,Sector of employment,"Private, for profit<sup>h</sup>",,3,320850,2625,187750,2100,18150,725,115150,1725,101400,1650,61700,1250,47700,1250,157550,2100,47800,1250,8400,525,24750,800
8209,r040,"Doctorate recipient -> Sector of employment -> Private, nonprofit",Doctorate recipient,Sector of employment,"Private, nonprofit",,3,60200,1300,35550,850,13100,525,24950,800,5850,350,5600,400,4350,325,30400,1000,14400,625,5250,450,4800,425
8209,r041,Doctorate recipient -> Sector of employment -> Federal government,Doctorate recipient,Sector of employment,Federal government,,3,52700,1250,32600,975,10950,625,24900,875,5600,350,4450,325,3650,325,28650,875,8050,500,2300,300,6150,400
8209,r042,Doctorate recipient -> Sector of employment -> State or local government,Doctorate recipient,Sector of employment,State or local government,,3,19650,750,10250,500,2700,250,8000,450,2050,275,2100,225,1700,250,10800,500,4450,450,550,125,2400,275
8209,r043,Doctorate recipient -> Sector of employment -> Self-employed<sup>i</sup>,Doctorate recipient,Sector of employment,Self-employed<sup>i</sup>,,3,42650,1075,14000,625,2200,275,9300,500,4750,425,2400,325,2650,325,16800,725,24800,825,4950,425,4050,425
8209,r044,Doctorate recipient -> Sector of employment -> Other sector<sup>j</sup>,Doctorate recipient,Sector of employment,Other sector<sup>j</sup>,,3,7300,425,4550,350,1050,175,3000,275,1850,250,900,175,1000,175,3100,300,1050,150,400,100,700,150
8209,r045,Doctorate recipient -> Employer location,Doctorate recipient,Employer location,,,2,,,,,,,,,,,,,,,,,,,,,,
8209,r046,Doctorate recipient -> Employer location -> New England,Doctorate recipient,Employer location,New England,,3,81350,1750,51700,1350,17800,700,30500,975,13650,675,8900,525,5800,425,35750,1050,12100,700,19800,725,4800,375
8209,r047,Doctorate recipient -> Employer location -> Middle Atlantic,Doctorate recipient,Employer location,Middle Atlantic,,3,117150,1750,69550,1375,27300,975,39950,1200,15750,700,11300,575,7200,525,49250,1125,19050,900,35800,925,7050,575
8209,r048,Doctorate recipient -> Employer location -> East North Central,Doctorate recipient,Employer location,East North Central,,3,101700,1550,61000,1325,23800,850,33950,975,15100,700,8100,525,6850,475,41750,1100,14300,625,35050,1050,6550,450
8209,r049,Doctorate recipient -> Employer location -> West North Central,Doctorate recipient,Employer location,West North Central,,3,48800,1175,29400,800,11800,600,16650,650,6400,425,3500,375,2950,300,20550,700,7200,500,17300,675,3300,325
8209,r050,Doctorate recipient -> Employer location -> South Atlantic,Doctorate recipient,Employer location,South Atlantic,,3,167250,1950,99000,1650,34400,1075,63150,1250,20700,725,14250,650,11300,600,74450,1350,24800,850,45150,1200,13900,625
8209,r051,Doctorate recipient -> Employer location -> East South Central,Doctorate recipient,Employer location,East South Central,,3,30000,900,18050,650,7750,550,10700,525,3250,325,1900,225,1500,200,11150,575,4250,350,12150,550,2100,200
8209,r052,Doctorate recipient -> Employer location -> West South Central,Doctorate recipient,Employer location,West South Central,,3,66900,1325,38400,1050,14750,625,21700,825,9400,625,6200,425,5300,475,26900,725,9150,550,21800,800,4900,450
8209,r053,Doctorate recipient -> Employer location -> Mountain,Doctorate recipient,Employer location,Mountain,,3,59300,1150,35650,975,12350,625,22100,800,8700,525,6100,450,4750,375,24050,750,8250,500,17450,725,4550,400
8209,r054,Doctorate recipient -> Employer location -> Pacific,Doctorate recipient,Employer location,Pacific,,3,193000,2200,116750,1700,32650,900,67150,1350,41900,1100,31800,1025,22400,875,82550,1450,24800,950,34650,1025,14400,750
8209,r055,Doctorate recipient -> Employer location -> U.S. territories and other areas,Doctorate recipient,Employer location,U.S. territories and other areas,,3,6650,425,3950,350,1750,250,2050,275,900,200,450,125,400,125,2650,275,700,125,2400,275,550,175
