table_id,row_id,field_sex_race_ethnicity_and_disability_status_full_path,field_sex_race_ethnicity_and_disability_status_level_1,field_sex_race_ethnicity_and_disability_status_level_2,field_sex_race_ethnicity_and_disability_status_level_3,field_sex_race_ethnicity_and_disability_status_level_4,field_sex_race_ethnicity_and_disability_status_hierarchy_depth,field_total,field_full_time_student,field_employed_in_s_e_or_s_e_related_occupationa,field_employed_in_non_s_e_occupation,field_not_employed,field_median_salary_for_full_time_employedb_
1180,r019,All S&E and health fields -> Science -> Biological/life sciences -> Male,All S&E and health fields,Science,Biological/life sciences,Male,4,33000,9000,14000,10000,,59000
1180,r020,All S&E and health fields -> Science -> Biological/life sciences -> White,All S&E and health fields,Science,Biological/life sciences,White,4,56000,9000,32000,14000,S,51000
1180,r021,All S&E and health fields -> Science -> Biological/life sciences -> Asian,All S&E and health fields,Science,Biological/life sciences,Asian,4,12000,4000,5000,S,,S
1180,r022,All S&E and health fields -> Science -> Biological/life sciences -> Underrepresented minority<sup>c</sup>,All S&E and health fields,Science,Biological/life sciences,Underrepresented minority<sup>c</sup>,4,9000,3000,S,2000,,42000
1180,r023,All S&E and health fields -> Science -> Biological/life sciences -> Without disability,All S&E and health fields,Science,Biological/life sciences,Without disability,4,76000,15000,42000,18000,S,50000
1180,r024,All S&E and health fields -> Science -> Biological/life sciences -> With disability,All S&E and health fields,Science,Biological/life sciences,With disability,4,4000,S,1000,,,69000
1180,r025,All S&E and health fields -> Science -> Computer and information sciences,All S&E and health fields,Science,Computer and information sciences,,3,143000,5000,114000,14000,S,95000
1180,r026,All S&E and health fields -> Science -> Computer and information sciences -> Female,All S&E and health fields,Science,Computer and information sciences,Female,4,37000,S,28000,3000,S,89000
1180,r027,All S&E and health fields -> Science -> Computer and information sciences -> Male,All S&E and health fields,Science,Computer and information sciences,Male,4,106000,S,86000,12000,S,95000
1180,r028,All S&E and health fields -> Science -> Computer and information sciences -> White,All S&E and health fields,Science,Computer and information sciences,White,4,72000,S,58000,4000,S,98000
1180,r029,All S&E and health fields -> Science -> Computer and information sciences -> Asian,All S&E and health fields,Science,Computer and information sciences,Asian,4,53000,S,48000,1000,,96000
1180,r030,All S&E and health fields -> Science -> Computer and information sciences -> Underrepresented minority<sup>c</sup>,All S&E and health fields,Science,Computer and information sciences,Underrepresented minority<sup>c</sup>,4,14000,,6000,S,,80000
1180,r031,All S&E and health fields -> Science -> Computer and information sciences -> Without disability,All S&E and health fields,Science,Computer and information sciences,Without disability,4,132000,5000,104000,13000,S,96000
1180,r032,All S&E and health fields -> Science -> Computer and information sciences -> With disability,All S&E and health fields,Science,Computer and information sciences,With disability,4,11000,,10000,S,,74000
1180,r033,All S&E and health fields -> Science -> Mathematical sciences,All S&E and health fields,Science,Mathematical sciences,,3,28000,4000,14000,8000,S,71000
1180,r034,All S&E and health fields -> Science -> Mathematical sciences -> Female,All S&E and health fields,Science,Mathematical sciences,Female,4,12000,2000,3000,6000,,50000
1180,r035,All S&E and health fields -> Science -> Mathematical sciences -> Male,All S&E and health fields,Science,Mathematical sciences,Male,4,16000,2000,11000,S,,74000
1180,r036,All S&E and health fields -> Science -> Mathematical sciences -> White,All S&E and health fields,Science,Mathematical sciences,White,4,18000,S,9000,S,,67000
1180,r037,All S&E and health fields -> Science -> Mathematical sciences -> Asian,All S&E and health fields,Science,Mathematical sciences,Asian,4,8000,2000,3000,S,,86000
1180,r038,All S&E and health fields -> Science -> Mathematical sciences -> Underrepresented minority<sup>c</sup>,All S&E and health fields,Science,Mathematical sciences,Underrepresented minority<sup>c</sup>,4,S,,S,,,S
1180,r039,All S&E and health fields -> Science -> Mathematical sciences -> Without disability,All S&E and health fields,Science,Mathematical sciences,Without disability,4,26000,3000,12000,8000,S,73000
1180,r040,All S&E and health fields -> Science -> Mathematical sciences -> With disability,All S&E and health fields,Science,Mathematical sciences,With disability,4,S,,S,,,S
1180,r041,All S&E and health fields -> Science -> Physical and related sciences,All S&E and health fields,Science,Physical and related sciences,,3,44000,8000,33000,S,1000,71000
1180,r042,All S&E and health fields -> Science -> Physical and related sciences -> Female,All S&E and health fields,Science,Physical and related sciences,Female,4,14000,2000,11000,,1000,45000
1180,r043,All S&E and health fields -> Science -> Physical and related sciences -> Male,All S&E and health fields,Science,Physical and related sciences,Male,4,30000,6000,22000,,0.05,85000
1180,r044,All S&E and health fields -> Science -> Physical and related sciences -> White,All S&E and health fields,Science,Physical and related sciences,White,4,25000,4000,20000,,1000,79000
1180,r045,All S&E and health fields -> Science -> Physical and related sciences -> Asian,All S&E and health fields,Science,Physical and related sciences,Asian,4,13000,4000,9000,,,46000
1180,r046,All S&E and health fields -> Science -> Physical and related sciences -> Underrepresented minority<sup>c</sup>,All S&E and health fields,Science,Physical and related sciences,Underrepresented minority<sup>c</sup>,4,5000,,3000,,,86000
1180,r047,All S&E and health fields -> Science -> Physical and related sciences -> Without disability,All S&E and health fields,Science,Physical and related sciences,Without disability,4,41000,7000,31000,S,1000,70000
1180,r048,All S&E and health fields -> Science -> Physical and related sciences -> With disability,All S&E and health fields,Science,Physical and related sciences,With disability,4,2000,,2000,,,96000
1180,r049,All S&E and health fields -> Science -> Psychology,All S&E and health fields,Science,Psychology,,3,124000,19000,25000,73000,6000,49000
1180,r050,All S&E and health fields -> Science -> Psychology -> Female,All S&E and health fields,Science,Psychology,Female,4,100000,17000,18000,59000,6000,48000
1180,r051,All S&E and health fields -> Science -> Psychology -> Male,All S&E and health fields,Science,Psychology,Male,4,24000,3000,7000,14000,,50000
1180,r052,All S&E and health fields -> Science -> Psychology -> White,All S&E and health fields,Science,Psychology,White,4,77000,8000,16000,49000,4000,55000
1180,r053,All S&E and health fields -> Science -> Psychology -> Asian,All S&E and health fields,Science,Psychology,Asian,4,7000,S,3000,S,,47000
1180,r054,All S&E and health fields -> Science -> Psychology -> Underrepresented minority<sup>c</sup>,All S&E and health fields,Science,Psychology,Underrepresented minority<sup>c</sup>,4,37000,10000,5000,21000,S,47000
1180,r055,All S&E and health fields -> Science -> Psychology -> Without disability,All S&E and health fields,Science,Psychology,Without disability,4,108000,18000,24000,60000,5000,50000
1180,r056,All S&E and health fields -> Science -> Psychology -> With disability,All S&E and health fields,Science,Psychology,With disability,4,16000,S,1000,13000,,44000
1180,r057,All S&E and health fields -> Science -> Social and related sciences,All S&E and health fields,Science,Social and related sciences,,3,104000,17000,27000,56000,4000,64000
1180,r058,All S&E and health fields -> Science -> Social and related sciences -> Female,All S&E and health fields,Science,Social and related sciences,Female,4,47000,13000,7000,24000,3000,53000
1180,r059,All S&E and health fields -> Science -> Social and related sciences -> Male,All S&E and health fields,Science,Social and related sciences,Male,4,57000,4000,20000,31000,1000,65000
1180,r060,All S&E and health fields -> Science -> Social and related sciences -> White,All S&E and health fields,Science,Social and related sciences,White,4,64000,9000,19000,34000,1000,64000
1180,r061,All S&E and health fields -> Science -> Social and related sciences -> Asian,All S&E and health fields,Science,Social and related sciences,Asian,4,13000,3000,S,4000,S,98000
1180,r062,All S&E and health fields -> Science -> Social and related sciences -> Underrepresented minority<sup>c</sup>,All S&E and health fields,Science,Social and related sciences,Underrepresented minority<sup>c</sup>,4,25000,4000,3000,18000,S,63000
1180,r063,All S&E and health fields -> Science -> Social and related sciences -> Without disability,All S&E and health fields,Science,Social and related sciences,Without disability,4,97000,15000,25000,53000,4000,64000
1180,r064,All S&E and health fields -> Science -> Social and related sciences -> With disability,All S&E and health fields,Science,Social and related sciences,With disability,4,7000,S,S,S,,S
1180,r065,All S&E and health fields -> Engineering,All S&E and health fields,Engineering,,,2,170000,18000,127000,17000,7000,85000
1180,r066,All S&E and health fields -> Engineering -> Female,All S&E and health fields,Engineering,Female,,3,42000,S,27000,4000,2000,86000
1180,r067,All S&E and health fields -> Engineering -> Male,All S&E and health fields,Engineering,Male,,3,129000,9000,100000,13000,6000,85000
1180,r068,All S&E and health fields -> Engineering -> White,All S&E and health fields,Engineering,White,,3,72000,5000,52000,12000,3000,85000
1180,r069,All S&E and health fields -> Engineering -> Asian,All S&E and health fields,Engineering,Asian,,3,72000,11000,56000,2000,3000,88000
1180,r070,All S&E and health fields -> Engineering -> Underrepresented minority<sup>c</sup>,All S&E and health fields,Engineering,Underrepresented minority<sup>c</sup>,,3,24000,S,17000,3000,,80000
1180,r071,All S&E and health fields -> Engineering -> Without disability,All S&E and health fields,Engineering,Without disability,,3,164000,18000,123000,16000,7000,85000
1180,r072,All S&E and health fields -> Engineering -> With disability,All S&E and health fields,Engineering,With disability,,3,6000,S,4000,,,83000
1180,r073,All S&E and health fields -> Health,All S&E and health fields,Health,,,2,392000,26000,284000,68000,14000,81000
1180,r074,All S&E and health fields -> Health -> Female,All S&E and health fields,Health,Female,,3,320000,16000,237000,54000,12000,80000
1180,r075,All S&E and health fields -> Health -> Male,All S&E and health fields,Health,Male,,3,72000,10000,47000,14000,S,92000
1180,r076,All S&E and health fields -> Health -> White,All S&E and health fields,Health,White,,3,254000,15000,190000,44000,4000,80000
1180,r077,All S&E and health fields -> Health -> Asian,All S&E and health fields,Health,Asian,,3,40000,S,29000,2000,S,91000
1180,r078,All S&E and health fields -> Health -> Underrepresented minority<sup>c</sup>,All S&E and health fields,Health,Underrepresented minority<sup>c</sup>,,3,89000,3000,57000,21000,8000,80000
1180,r079,All S&E and health fields -> Health -> Without disability,All S&E and health fields,Health,Without disability,,3,371000,26000,274000,64000,8000,84000
1180,r080,All S&E and health fields -> Health -> With disability,All S&E and health fields,Health,With disability,,3,21000,,11000,S,,78000
