table_id,row_id,time_period,_b_total_in_survey_b_level_1,_b_total_in_survey_b_level_2,_b_total_in_survey_b_level_3,_b_total_in_survey_b_hierarchy_depth,value
10635,r151,"Fall 2022, all surveyed fields -> Engineering",Number imputed,Doctoral students,Full time,3,61
10635,r152,"Fall 2022, all surveyed fields -> Engineering",Number imputed,Doctoral students,Part time,3,24
10635,r153,"Fall 2022, all surveyed fields -> Engineering",Imputation rate (%),Master's students,Full time,3,0.3
10635,r154,"Fall 2022, all surveyed fields -> Engineering",Imputation rate (%),Master's students,Part time,3,0.6
10635,r155,"Fall 2022, all surveyed fields -> Engineering",Imputation rate (%),Doctoral students,Full time,3,0.1
10635,r156,"Fall 2022, all surveyed fields -> Engineering",Imputation rate (%),Doctoral students,Part time,3,0.3
10635,r157,"Fall 2022, all surveyed fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",Total in survey,Master's students,Full time,3,2937
10635,r158,"Fall 2022, all surveyed fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",Total in survey,Master's students,Part time,3,2326
10635,r159,"Fall 2022, all surveyed fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",Total in survey,Doctoral students,Full time,3,2483
10635,r160,"Fall 2022, all surveyed fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",Total in survey,Doctoral students,Part time,3,349
10635,r161,"Fall 2022, all surveyed fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",Number imputed,Master's students,Full time,3,0
10635,r162,"Fall 2022, all surveyed fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",Number imputed,Master's students,Part time,3,0
10635,r163,"Fall 2022, all surveyed fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",Number imputed,Doctoral students,Full time,3,0
10635,r164,"Fall 2022, all surveyed fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",Number imputed,Doctoral students,Part time,3,0
10635,r165,"Fall 2022, all surveyed fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",Imputation rate (%),Master's students,Full time,3,0.0
10635,r166,"Fall 2022, all surveyed fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",Imputation rate (%),Master's students,Part time,3,0.0
10635,r167,"Fall 2022, all surveyed fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",Imputation rate (%),Doctoral students,Full time,3,0.0
10635,r168,"Fall 2022, all surveyed fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",Imputation rate (%),Doctoral students,Part time,3,0.0
10635,r169,"Fall 2022, all surveyed fields -> Engineering -> Biological, biomedical, and biosystems engineering",Total in survey,Master's students,Full time,3,3834
10635,r170,"Fall 2022, all surveyed fields -> Engineering -> Biological, biomedical, and biosystems engineering",Total in survey,Master's students,Part time,3,1343
10635,r171,"Fall 2022, all surveyed fields -> Engineering -> Biological, biomedical, and biosystems engineering",Total in survey,Doctoral students,Full time,3,8582
10635,r172,"Fall 2022, all surveyed fields -> Engineering -> Biological, biomedical, and biosystems engineering",Total in survey,Doctoral students,Part time,3,683
10635,r173,"Fall 2022, all surveyed fields -> Engineering -> Biological, biomedical, and biosystems engineering",Number imputed,Master's students,Full time,3,0
10635,r174,"Fall 2022, all surveyed fields -> Engineering -> Biological, biomedical, and biosystems engineering",Number imputed,Master's students,Part time,3,0
10635,r175,"Fall 2022, all surveyed fields -> Engineering -> Biological, biomedical, and biosystems engineering",Number imputed,Doctoral students,Full time,3,0
10635,r176,"Fall 2022, all surveyed fields -> Engineering -> Biological, biomedical, and biosystems engineering",Number imputed,Doctoral students,Part time,3,0
10635,r177,"Fall 2022, all surveyed fields -> Engineering -> Biological, biomedical, and biosystems engineering",Imputation rate (%),Master's students,Full time,3,0.0
10635,r178,"Fall 2022, all surveyed fields -> Engineering -> Biological, biomedical, and biosystems engineering",Imputation rate (%),Master's students,Part time,3,0.0
10635,r179,"Fall 2022, all surveyed fields -> Engineering -> Biological, biomedical, and biosystems engineering",Imputation rate (%),Doctoral students,Full time,3,0.0
10635,r180,"Fall 2022, all surveyed fields -> Engineering -> Biological, biomedical, and biosystems engineering",Imputation rate (%),Doctoral students,Part time,3,0.0
10635,r181,"Fall 2022, all surveyed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering",Total in survey,Master's students,Full time,3,2099
10635,r182,"Fall 2022, all surveyed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering",Total in survey,Master's students,Part time,3,912
10635,r183,"Fall 2022, all surveyed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering",Total in survey,Doctoral students,Full time,3,7221
10635,r184,"Fall 2022, all surveyed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering",Total in survey,Doctoral students,Part time,3,369
10635,r185,"Fall 2022, all surveyed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering",Number imputed,Master's students,Full time,3,0
10635,r186,"Fall 2022, all surveyed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering",Number imputed,Master's students,Part time,3,0
10635,r187,"Fall 2022, all surveyed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering",Number imputed,Doctoral students,Full time,3,0
10635,r188,"Fall 2022, all surveyed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering",Number imputed,Doctoral students,Part time,3,0
10635,r189,"Fall 2022, all surveyed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering",Imputation rate (%),Master's students,Full time,3,0.0
10635,r190,"Fall 2022, all surveyed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering",Imputation rate (%),Master's students,Part time,3,0.0
10635,r191,"Fall 2022, all surveyed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering",Imputation rate (%),Doctoral students,Full time,3,0.0
10635,r192,"Fall 2022, all surveyed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering",Imputation rate (%),Doctoral students,Part time,3,0.0
10635,r193,"Fall 2022, all surveyed fields -> Engineering -> Civil, environmental, transportation and related engineering fields",Total in survey,Master's students,Full time,3,8215
10635,r194,"Fall 2022, all surveyed fields -> Engineering -> Civil, environmental, transportation and related engineering fields",Total in survey,Master's students,Part time,3,4406
10635,r195,"Fall 2022, all surveyed fields -> Engineering -> Civil, environmental, transportation and related engineering fields",Total in survey,Doctoral students,Full time,3,6705
10635,r196,"Fall 2022, all surveyed fields -> Engineering -> Civil, environmental, transportation and related engineering fields",Total in survey,Doctoral students,Part time,3,1049
10635,r197,"Fall 2022, all surveyed fields -> Engineering -> Civil, environmental, transportation and related engineering fields",Number imputed,Master's students,Full time,3,5
10635,r198,"Fall 2022, all surveyed fields -> Engineering -> Civil, environmental, transportation and related engineering fields",Number imputed,Master's students,Part time,3,3
10635,r199,"Fall 2022, all surveyed fields -> Engineering -> Civil, environmental, transportation and related engineering fields",Number imputed,Doctoral students,Full time,3,5
10635,r200,"Fall 2022, all surveyed fields -> Engineering -> Civil, environmental, transportation and related engineering fields",Number imputed,Doctoral students,Part time,3,0
10635,r201,"Fall 2022, all surveyed fields -> Engineering -> Civil, environmental, transportation and related engineering fields",Imputation rate (%),Master's students,Full time,3,0.1
10635,r202,"Fall 2022, all surveyed fields -> Engineering -> Civil, environmental, transportation and related engineering fields",Imputation rate (%),Master's students,Part time,3,0.1
10635,r203,"Fall 2022, all surveyed fields -> Engineering -> Civil, environmental, transportation and related engineering fields",Imputation rate (%),Doctoral students,Full time,3,0.1
10635,r204,"Fall 2022, all surveyed fields -> Engineering -> Civil, environmental, transportation and related engineering fields",Imputation rate (%),Doctoral students,Part time,3,0.0
10635,r205,"Fall 2022, all surveyed fields -> Engineering -> Electrical, electronics, communications and computer engineering",Total in survey,Master's students,Full time,3,22725
10635,r206,"Fall 2022, all surveyed fields -> Engineering -> Electrical, electronics, communications and computer engineering",Total in survey,Master's students,Part time,3,9591
10635,r207,"Fall 2022, all surveyed fields -> Engineering -> Electrical, electronics, communications and computer engineering",Total in survey,Doctoral students,Full time,3,15157
10635,r208,"Fall 2022, all surveyed fields -> Engineering -> Electrical, electronics, communications and computer engineering",Total in survey,Doctoral students,Part time,3,2428
10635,r209,"Fall 2022, all surveyed fields -> Engineering -> Electrical, electronics, communications and computer engineering",Number imputed,Master's students,Full time,3,100
10635,r210,"Fall 2022, all surveyed fields -> Engineering -> Electrical, electronics, communications and computer engineering",Number imputed,Master's students,Part time,3,54
10635,r211,"Fall 2022, all surveyed fields -> Engineering -> Electrical, electronics, communications and computer engineering",Number imputed,Doctoral students,Full time,3,39
10635,r212,"Fall 2022, all surveyed fields -> Engineering -> Electrical, electronics, communications and computer engineering",Number imputed,Doctoral students,Part time,3,12
10635,r213,"Fall 2022, all surveyed fields -> Engineering -> Electrical, electronics, communications and computer engineering",Imputation rate (%),Master's students,Full time,3,0.4
10635,r214,"Fall 2022, all surveyed fields -> Engineering -> Electrical, electronics, communications and computer engineering",Imputation rate (%),Master's students,Part time,3,0.6
10635,r215,"Fall 2022, all surveyed fields -> Engineering -> Electrical, electronics, communications and computer engineering",Imputation rate (%),Doctoral students,Full time,3,0.3
10635,r216,"Fall 2022, all surveyed fields -> Engineering -> Electrical, electronics, communications and computer engineering",Imputation rate (%),Doctoral students,Part time,3,0.5
10635,r217,"Fall 2022, all surveyed fields -> Engineering -> Industrial, manufacturing, systems engineering and operations research",Total in survey,Master's students,Full time,3,6920
10635,r218,"Fall 2022, all surveyed fields -> Engineering -> Industrial, manufacturing, systems engineering and operations research",Total in survey,Master's students,Part time,3,5659
10635,r219,"Fall 2022, all surveyed fields -> Engineering -> Industrial, manufacturing, systems engineering and operations research",Total in survey,Doctoral students,Full time,3,2902
10635,r220,"Fall 2022, all surveyed fields -> Engineering -> Industrial, manufacturing, systems engineering and operations research",Total in survey,Doctoral students,Part time,3,954
10635,r221,"Fall 2022, all surveyed fields -> Engineering -> Industrial, manufacturing, systems engineering and operations research",Number imputed,Master's students,Full time,3,2
10635,r222,"Fall 2022, all surveyed fields -> Engineering -> Industrial, manufacturing, systems engineering and operations research",Number imputed,Master's students,Part time,3,0
10635,r223,"Fall 2022, all surveyed fields -> Engineering -> Industrial, manufacturing, systems engineering and operations research",Number imputed,Doctoral students,Full time,3,2
10635,r224,"Fall 2022, all surveyed fields -> Engineering -> Industrial, manufacturing, systems engineering and operations research",Number imputed,Doctoral students,Part time,3,0
10635,r225,"Fall 2022, all surveyed fields -> Engineering -> Industrial, manufacturing, systems engineering and operations research",Imputation rate (%),Master's students,Full time,3,0.05
