table_id,row_id,_b_time_to_degree_and_demographic_characteristic_b_full_path,_b_time_to_degree_and_demographic_characteristic_b_level_1,_b_time_to_degree_and_demographic_characteristic_b_level_2,_b_time_to_degree_and_demographic_characteristic_b_level_3,_b_time_to_degree_and_demographic_characteristic_b_level_4,_b_time_to_degree_and_demographic_characteristic_b_level_5,_b_time_to_degree_and_demographic_characteristic_b_hierarchy_depth,field_all_fields_number,field_all_fields_median,field_science_and_engineering_total_number,field_science_and_engineering_total_median,field_agricultural_sciences_and_natural_resources_number,field_agricultural_sciences_and_natural_resources_median,field_biological_and_biomedical_sciences_number,field_biological_and_biomedical_sciences_median,field_computer_and_information_sciences_number,field_computer_and_information_sciences_median,field_engineering_number,field_engineering_median,field_geosciences_atmospheric_and_ocean_sciences_number,field_geosciences_atmospheric_and_ocean_sciences_median,field_health_sciences_number,field_health_sciences_median,field_mathematics_and_statistics_number,field_mathematics_and_statistics_median,field_multidisciplinary_interdisciplinary_sciences_number,field_multidisciplinary_interdisciplinary_sciences_median,field_physical_sciences_number,field_physical_sciences_median,field_psychology_number,field_psychology_median,field_social_sciences_number,field_social_sciences_median
11675,r011,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
11675,r012,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,5,113,11.4,67,10.0,,,11,8.1,,,6,6.2,,,9,13.2,0,-,,,5,8.6,12,7.6,15,10.3
11675,r013,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,5,3765,8.3,3196,8.0,46,10.1,890,8.0,189,8.3,721,7.3,57,9.3,189,11.6,135,6.3,109,8.0,342,6.7,229,9.2,289,10.3
11675,r014,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,5,2680,11.4,1633,9.6,,,333,8.0,,,209,7.5,,,235,13.0,22,9.5,,,97,7.0,291,10.0,292,11.2
11675,r015,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,5,22814,8.6,17402,7.8,574,8.4,4511,7.6,469,8.3,2846,6.8,594,7.9,1170,12.6,644,6.3,521,8.1,2166,6.3,1966,8.3,1941,10.3
11675,r016,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,5,1291,8.0,1055,7.3,27,10.0,325,7.3,21,7.2,175,6.3,29,7.4,60,11.7,40,6.1,24,6.8,111,6.2,140,8.6,103,9.4
11675,r017,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,5,435,9.2,326,8.3,9,12.3,72,8.0,17,9.3,54,7.8,5,7.5,24,13.4,11,6.3,7,12.9,46,6.3,37,8.8,44,10.3
11675,r018,Years since bachelor's degree -> Doctorate recipients reporting year of bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,Years since bachelor's degree,Doctorate recipients reporting year of bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,4,454,9.6,320,8.3,15,7.3,53,7.7,18,9.0,49,8.0,5,8.8,38,10.7,8,7.6,16,14.8,40,6.6,48,8.3,30,10.7
11675,r019,Years since entering graduate school,Years since entering graduate school,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
11675,r020,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,,,,2,52827,7.2,42184,6.8,1149,7.3,9108,6.4,2071,7.0,9775,6.6,1131,6.8,2451,9.0,1906,6.0,1577,7.0,5032,6.0,3329,6.9,4655,8.7
11675,r021,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Sex,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Sex,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
11675,r022,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Sex -> Male,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Sex,Male,,4,27788,7.0,23449,6.8,515,7.3,4143,6.7,1561,6.9,7197,6.7,626,6.9,703,7.8,1372,6.0,981,6.9,3319,6.0,779,7.0,2253,8.3
11675,r023,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Sex -> Female,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Sex,Female,,4,25032,7.4,18728,6.8,634,7.3,4964,6.3,510,7.7,2578,6.3,504,6.8,1748,9.3,533,6.1,596,7.3,1712,5.8,2549,6.8,2400,8.8
11675,r024,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Citizenship status,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Citizenship status,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
11675,r025,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Citizenship status -> U.S. citizen or permanent resident,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Citizenship status,U.S. citizen or permanent resident,,4,33766,7.1,25736,6.7,721,7.2,6760,6.3,771,7.0,4313,6.0,751,6.6,1824,9.8,897,5.8,772,7.0,2995,5.8,2950,6.9,2982,8.6
11675,r026,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Citizenship status -> Temporary visa holder,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Citizenship status,Temporary visa holder,,4,18200,7.3,15815,7.0,409,7.8,2251,7.0,1251,7.0,5321,6.9,364,7.5,580,7.7,975,6.3,777,7.0,1974,6.3,303,7.0,1610,8.7
11675,r027,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents),Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
11675,r028,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,4,3260,7.3,2467,6.8,61,7.5,697,6.3,45,6.3,388,6.0,57,6.8,153,9.3,60,5.8,70,6.9,281,5.8,331,7.0,324,8.8
11675,r029,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
11675,r030,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,5,95,8.8,59,7.9,,,11,7.0,,,,,,,9,12.8,0,-,,,,,9,6.9,15,8.0
11675,r031,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,5,3699,7.0,3137,6.8,45,8.4,885,6.8,181,7.3,705,6.3,56,7.7,187,9.1,131,5.8,107,7.0,336,5.9,219,7.0,285,9.0
11675,r032,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,5,2596,9.7,1578,8.0,,,321,6.8,,,,,,,232,10.0,21,7.8,,,,,282,8.3,284,9.8
11675,r033,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,5,22279,7.0,17042,6.3,547,6.9,4434,6.2,459,6.8,2782,6.0,584,6.5,1153,9.8,628,5.8,497,6.8,2125,5.8,1919,6.8,1914,8.3
11675,r034,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,5,1283,6.8,1050,6.2,27,7.8,324,6.0,21,6.0,174,5.8,29,6.1,58,9.7,41,5.8,24,6.0,111,5.8,139,6.8,102,7.8
11675,r035,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,5,340,7.6,251,6.5,3,12.2,60,6.4,12,12.1,36,5.9,4,6.3,16,10.4,11,5.8,6,12.7,34,5.4,31,6.3,38,8.9
11675,r036,Years since entering graduate school -> Doctorate recipients reporting year of graduate school entry -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,Years since entering graduate school,Doctorate recipients reporting year of graduate school entry,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,4,214,8.1,152,7.0,5,7.6,28,5.9,10,6.3,21,8.3,2,6.6,16,11.5,5,5.8,10,6.5,15,6.8,20,8.5,20,10.1
11675,r037,Years since entering doctoral program<sup>a</sup>,Years since entering doctoral program<sup>a</sup>,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
11675,r038,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,,,,2,52050,5.7,41586,5.6,1132,5.0,8995,5.8,2031,5.7,9615,5.3,1119,5.7,2415,5.0,1880,5.3,1560,5.3,4967,5.7,3270,5.9,4602,6.0
11675,r039,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Sex,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Sex,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
11675,r040,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Sex -> Male,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Sex,Male,,4,27340,5.7,23075,5.6,505,5.0,4083,5.8,1531,5.7,7068,5.3,620,5.5,690,5.0,1353,5.3,973,5.6,3271,5.8,759,5.9,2222,5.9
11675,r041,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Sex -> Female,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Sex,Female,,4,24703,5.8,18504,5.7,627,5.0,4911,5.7,500,5.7,2547,5.3,498,5.8,1725,5.0,526,5.3,587,5.3,1695,5.3,2510,5.9,2378,6.0
11675,r042,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Citizenship status,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Citizenship status,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
11675,r043,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Citizenship status -> U.S. citizen or permanent resident,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Citizenship status,U.S. citizen or permanent resident,,4,33211,5.8,25326,5.8,708,5.0,6668,5.8,745,5.8,4238,5.3,742,5.8,1791,5.3,877,5.7,763,5.7,2949,5.7,2897,5.9,2948,6.1
11675,r044,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Citizenship status -> Temporary visa holder,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Citizenship status,Temporary visa holder,,4,17993,5.3,15637,5.3,405,4.8,2231,5.7,1236,5.4,5241,5.2,362,5.3,579,5.0,971,5.1,769,5.3,1955,5.6,297,5.7,1591,5.8
11675,r045,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Ethnicity and race (U.S. citizens and permanent residents),Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Ethnicity and race (U.S. citizens and permanent residents),,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
11675,r046,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,4,3200,5.8,2419,5.8,57,5.3,685,5.8,43,5.9,381,5.3,57,5.8,149,5.2,59,5.3,68,5.3,275,5.5,323,6.0,322,6.3
11675,r047,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
11675,r048,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,5,92,5.8,59,6.0,,,11,6.0,,,,,,,9,5.0,0,-,,,,,9,6.9,15,6.2
11675,r049,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,5,3638,5.8,3085,5.8,45,4.8,871,5.8,174,5.9,692,5.6,56,5.8,184,5.0,129,5.3,106,5.8,333,5.8,211,5.9,284,6.0
11675,r050,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,5,2527,5.8,1545,5.8,,,313,5.8,,,,,,,228,5.6,20,5.9,,,,,276,6.0,281,5.9
11675,r051,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,5,21955,5.8,16791,5.8,540,5.0,4379,5.7,445,5.8,2740,5.3,577,5.8,1133,5.2,612,5.7,491,5.7,2090,5.7,1894,5.9,1890,6.3
11675,r052,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,5,1265,5.8,1036,5.8,27,5.8,321,5.8,21,5.8,171,5.3,28,5.5,57,5.2,41,5.7,24,5.2,110,5.7,135,6.0,101,6.0
11675,r053,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,5,325,5.8,242,5.8,3,7.1,60,5.8,11,6.3,33,5.5,4,5.8,16,5.5,11,5.8,6,5.5,34,5.4,29,5.9,35,6.0
11675,r054,Years since entering doctoral program<sup>a</sup> -> Doctorate recipients reporting year of doctoral program entry<sup>b</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,Years since entering doctoral program<sup>a</sup>,Doctorate recipients reporting year of doctoral program entry<sup>b</sup>,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,4,209,5.8,149,5.8,4,7.4,28,5.5,9,4.8,21,5.6,2,5.6,15,6.8,5,5.8,10,5.3,15,6.3,20,6.0,20,6.8
