table_id,row_id,time_period,total_employed_in_all_survey_cycles_2015_2017_and_2019_level_1,total_employed_in_all_survey_cycles_2015_2017_and_2019_level_2,total_employed_in_all_survey_cycles_2015_2017_and_2019_level_3,total_employed_in_all_survey_cycles_2015_2017_and_2019_level_4,total_employed_in_all_survey_cycles_2015_2017_and_2019_hierarchy_depth,value
6336,r044,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Male",Out of field in 2015,Out of field in 2017,Voluntarily,SE,4,650
6336,r045,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Male",Out of field in 2015,Out of field in 2017,Involuntarily,Number,4,7050
6336,r046,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Male",Out of field in 2015,Out of field in 2017,Involuntarily,SE,4,600
6336,r047,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Male",Out of field in 2015,In field in 2019,Number,,3,17250
6336,r048,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Male",Out of field in 2015,In field in 2019,SE,,3,850
6336,r049,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Male",Out of field in 2015,Out of field in 2019,Voluntarily,Number,4,11300
6336,r050,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Male",Out of field in 2015,Out of field in 2019,Voluntarily,SE,4,675
6336,r051,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Male",Out of field in 2015,Out of field in 2019,Involuntarily,Number,4,6000
6336,r052,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Male",Out of field in 2015,Out of field in 2019,Involuntarily,SE,4,500
6336,r053,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Female","Total employed in all survey cycles (2015, 2017, and 2019)",Number,,,2,251200
6336,r054,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Female","Total employed in all survey cycles (2015, 2017, and 2019)",SE,,,2,1350
6336,r055,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Female",In field in 2015,In field in 2017,Number,,3,228100
6336,r056,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Female",In field in 2015,In field in 2017,SE,,3,1375
6336,r057,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Female",In field in 2015,Out of field in 2017,Voluntarily,Number,4,4600
6336,r058,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Female",In field in 2015,Out of field in 2017,Voluntarily,SE,4,350
6336,r059,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Female",In field in 2015,Out of field in 2017,Involuntarily,Number,4,2450
6336,r060,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Female",In field in 2015,Out of field in 2017,Involuntarily,SE,4,225
6336,r061,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Female",In field in 2015,In field in 2019,Number,,3,227100
6336,r062,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Female",In field in 2015,In field in 2019,SE,,3,1350
6336,r063,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Female",In field in 2015,Out of field in 2019,Voluntarily,Number,4,5500
6336,r064,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Female",In field in 2015,Out of field in 2019,Voluntarily,SE,4,375
6336,r065,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Female",In field in 2015,Out of field in 2019,Involuntarily,Number,4,2500
6336,r066,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Female",In field in 2015,Out of field in 2019,Involuntarily,SE,4,225
6336,r067,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Female",Out of field in 2015,In field in 2017,Number,,3,7300
6336,r068,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Female",Out of field in 2015,In field in 2017,SE,,3,450
6336,r069,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Female",Out of field in 2015,Out of field in 2017,Voluntarily,Number,4,5050
6336,r070,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Female",Out of field in 2015,Out of field in 2017,Voluntarily,SE,4,325
6336,r071,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Female",Out of field in 2015,Out of field in 2017,Involuntarily,Number,4,3700
6336,r072,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Female",Out of field in 2015,Out of field in 2017,Involuntarily,SE,4,300
6336,r073,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Female",Out of field in 2015,In field in 2019,Number,,3,7900
6336,r074,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Female",Out of field in 2015,In field in 2019,SE,,3,500
6336,r075,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Female",Out of field in 2015,Out of field in 2019,Voluntarily,Number,4,5100
6336,r076,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Female",Out of field in 2015,Out of field in 2019,Voluntarily,SE,4,350
6336,r077,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Female",Out of field in 2015,Out of field in 2019,Involuntarily,Number,4,3050
6336,r078,"All employed for all survey cycles (2015, 2017, and 2019) -> Gender -> Female",Out of field in 2015,Out of field in 2019,Involuntarily,SE,4,250
6336,r079,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>","Total employed in all survey cycles (2015, 2017, and 2019)",Number,,,2,38350
6336,r080,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>","Total employed in all survey cycles (2015, 2017, and 2019)",SE,,,2,525
6336,r081,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>",In field in 2015,In field in 2017,Number,,3,35350
6336,r082,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>",In field in 2015,In field in 2017,SE,,3,575
6336,r083,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>",In field in 2015,Out of field in 2017,Voluntarily,Number,4,650
6336,r084,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>",In field in 2015,Out of field in 2017,Voluntarily,SE,4,125
6336,r085,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>",In field in 2015,Out of field in 2017,Involuntarily,Number,4,250
6336,r086,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>",In field in 2015,Out of field in 2017,Involuntarily,SE,4,75
6336,r087,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>",In field in 2015,In field in 2019,Number,,3,35150
6336,r088,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>",In field in 2015,In field in 2019,SE,,3,550
6336,r089,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>",In field in 2015,Out of field in 2019,Voluntarily,Number,4,650
6336,r090,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>",In field in 2015,Out of field in 2019,Voluntarily,SE,4,125
6336,r091,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>",In field in 2015,Out of field in 2019,Involuntarily,Number,4,450
6336,r092,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>",In field in 2015,Out of field in 2019,Involuntarily,SE,4,150
6336,r093,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>",Out of field in 2015,In field in 2017,Number,,3,1100
6336,r094,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>",Out of field in 2015,In field in 2017,SE,,3,175
6336,r095,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>",Out of field in 2015,Out of field in 2017,Voluntarily,Number,4,500
6336,r096,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>",Out of field in 2015,Out of field in 2017,Voluntarily,SE,4,100
6336,r097,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>",Out of field in 2015,Out of field in 2017,Involuntarily,Number,4,450
6336,r098,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>",Out of field in 2015,Out of field in 2017,Involuntarily,SE,4,100
6336,r099,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>",Out of field in 2015,In field in 2019,Number,,3,1200
6336,r100,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>",Out of field in 2015,In field in 2019,SE,,3,175
6336,r101,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>",Out of field in 2015,Out of field in 2019,Voluntarily,Number,4,500
6336,r102,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>",Out of field in 2015,Out of field in 2019,Voluntarily,SE,4,125
6336,r103,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>",Out of field in 2015,Out of field in 2019,Involuntarily,Number,4,400
6336,r104,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Hispanic or Latino<sup>a</sup>",Out of field in 2015,Out of field in 2019,Involuntarily,SE,4,75
6336,r105,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native","Total employed in all survey cycles (2015, 2017, and 2019)",Number,,,2,2150
6336,r106,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native","Total employed in all survey cycles (2015, 2017, and 2019)",SE,,,2,200
6336,r107,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native",In field in 2015,In field in 2017,Number,,3,1900
6336,r108,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native",In field in 2015,In field in 2017,SE,,3,175
6336,r109,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native",In field in 2015,In field in 2019,Number,,3,1900
6336,r110,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native",In field in 2015,In field in 2019,SE,,3,175
6336,r111,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native",Out of field in 2015,In field in 2017,Number,,3,S
6336,r112,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native",Out of field in 2015,In field in 2017,SE,,3,S
6336,r113,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native",Out of field in 2015,In field in 2019,Number,,3,100
6336,r114,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native",Out of field in 2015,In field in 2019,SE,,3,50
6336,r115,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian","Total employed in all survey cycles (2015, 2017, and 2019)",Number,,,2,211250
6336,r116,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian","Total employed in all survey cycles (2015, 2017, and 2019)",SE,,,2,1400
6336,r117,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian",In field in 2015,In field in 2017,Number,,3,190750
6336,r118,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian",In field in 2015,In field in 2017,SE,,3,1375
6336,r119,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian",In field in 2015,Out of field in 2017,Voluntarily,Number,4,3450
6336,r120,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian",In field in 2015,Out of field in 2017,Voluntarily,SE,4,350
6336,r121,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian",In field in 2015,Out of field in 2017,Involuntarily,Number,4,2300
6336,r122,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian",In field in 2015,Out of field in 2017,Involuntarily,SE,4,300
6336,r123,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian",In field in 2015,In field in 2019,Number,,3,188650
6336,r124,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian",In field in 2015,In field in 2019,SE,,3,1425
6336,r125,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian",In field in 2015,Out of field in 2019,Voluntarily,Number,4,5250
6336,r126,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian",In field in 2015,Out of field in 2019,Voluntarily,SE,4,450
6336,r127,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian",In field in 2015,Out of field in 2019,Involuntarily,Number,4,2600
6336,r128,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian",In field in 2015,Out of field in 2019,Involuntarily,SE,4,325
6336,r129,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian",Out of field in 2015,In field in 2017,Number,,3,6950
6336,r130,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian",Out of field in 2015,In field in 2017,SE,,3,550
6336,r131,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian",Out of field in 2015,Out of field in 2017,Voluntarily,Number,4,4350
6336,r132,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian",Out of field in 2015,Out of field in 2017,Voluntarily,SE,4,425
6336,r133,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian",Out of field in 2015,Out of field in 2017,Involuntarily,Number,4,3400
6336,r134,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian",Out of field in 2015,Out of field in 2017,Involuntarily,SE,4,375
6336,r135,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian",Out of field in 2015,In field in 2019,Number,,3,7050
6336,r136,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian",Out of field in 2015,In field in 2019,SE,,3,550
6336,r137,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian",Out of field in 2015,Out of field in 2019,Voluntarily,Number,4,4500
6336,r138,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian",Out of field in 2015,Out of field in 2019,Voluntarily,SE,4,450
6336,r139,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian",Out of field in 2015,Out of field in 2019,Involuntarily,Number,4,3200
6336,r140,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Asian",Out of field in 2015,Out of field in 2019,Involuntarily,SE,4,350
6336,r141,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American","Total employed in all survey cycles (2015, 2017, and 2019)",Number,,,2,25450
6336,r142,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American","Total employed in all survey cycles (2015, 2017, and 2019)",SE,,,2,425
6336,r143,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American",In field in 2015,In field in 2017,Number,,3,22550
6336,r144,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American",In field in 2015,In field in 2017,SE,,3,450
6336,r145,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American",In field in 2015,Out of field in 2017,Voluntarily,Number,4,700
6336,r146,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American",In field in 2015,Out of field in 2017,Voluntarily,SE,4,125
6336,r147,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American",In field in 2015,Out of field in 2017,Involuntarily,Number,4,400
6336,r148,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American",In field in 2015,Out of field in 2017,Involuntarily,SE,4,100
6336,r149,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American",In field in 2015,In field in 2019,Number,,3,22500
6336,r150,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American",In field in 2015,In field in 2019,SE,,3,425
6336,r151,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American",In field in 2015,Out of field in 2019,Voluntarily,Number,4,800
6336,r152,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American",In field in 2015,Out of field in 2019,Voluntarily,SE,4,150
6336,r153,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American",In field in 2015,Out of field in 2019,Involuntarily,Number,4,350
6336,r154,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American",In field in 2015,Out of field in 2019,Involuntarily,SE,4,100
6336,r155,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American",Out of field in 2015,In field in 2017,Number,,3,800
6336,r156,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American",Out of field in 2015,In field in 2017,SE,,3,125
6336,r157,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American",Out of field in 2015,Out of field in 2017,Voluntarily,Number,4,600
6336,r158,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American",Out of field in 2015,Out of field in 2017,Voluntarily,SE,4,100
6336,r159,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American",Out of field in 2015,Out of field in 2017,Involuntarily,Number,4,400
6336,r160,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American",Out of field in 2015,Out of field in 2017,Involuntarily,SE,4,125
6336,r161,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American",Out of field in 2015,In field in 2019,Number,,3,950
6336,r162,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American",Out of field in 2015,In field in 2019,SE,,3,125
6336,r163,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American",Out of field in 2015,Out of field in 2019,Voluntarily,Number,4,600
6336,r164,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American",Out of field in 2015,Out of field in 2019,Voluntarily,SE,4,125
6336,r165,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American",Out of field in 2015,Out of field in 2019,Involuntarily,Number,4,250
6336,r166,"All employed for all survey cycles (2015, 2017, and 2019) -> Ethnicity and race -> Not Hispanic or Latino<sup>b</sup> -> Black or African American",Out of field in 2015,Out of field in 2019,Involuntarily,SE,4,75
