table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_hierarchy_depth,field_all_education_fields,field_education_leadership_and_administration,field_education_research,field_teacher_education_and_teaching_fields,field_education_other
11722,r019,All doctorate recipients (number)<sup>a</sup> -> Bachelor's in same field as doctorate (%)<sup>b</sup>,All doctorate recipients (number)<sup>a</sup>,Bachelor's in same field as doctorate (%)<sup>b</sup>,,,2,25.7,23.2,20.0,35.8,21.7
11722,r020,All doctorate recipients (number)<sup>a</sup> -> Master's earned (%),All doctorate recipients (number)<sup>a</sup>,Master's earned (%),,,2,96.6,97.4,96.6,96.5,94.2
11722,r021,All doctorate recipients (number)<sup>a</sup> -> Master's earned (%) -> Master's earned at same doctorate institution (%),All doctorate recipients (number)<sup>a</sup>,Master's earned (%),Master's earned at same doctorate institution (%),,3,31.3,30.1,33.1,31.1,29.9
11722,r022,All doctorate recipients (number)<sup>a</sup> -> Time to doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Time to doctorate (median years),,,2,,,,,
11722,r023,All doctorate recipients (number)<sup>a</sup> -> Time to doctorate (median years) -> Years since earning bachelor's degree,All doctorate recipients (number)<sup>a</sup>,Time to doctorate (median years),Years since earning bachelor's degree,,3,15.4,17.6,14.4,14.4,15.0
11722,r024,All doctorate recipients (number)<sup>a</sup> -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>a</sup>,Time to doctorate (median years),From graduate school start,,3,12.7,14.9,11.7,11.8,12.2
11722,r025,All doctorate recipients (number)<sup>a</sup> -> Time to doctorate (median years) -> From doctoral program start<sup>c</sup>,All doctorate recipients (number)<sup>a</sup>,Time to doctorate (median years),From doctoral program start<sup>c</sup>,,3,5.6,5.8,5.6,5.3,5.7
11722,r026,All doctorate recipients (number)<sup>a</sup> -> Received tuition remission (%),All doctorate recipients (number)<sup>a</sup>,Received tuition remission (%),,,2,61.8,51.8,64.3,69.2,63.1
11722,r027,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),,,2,1089,396,317,273,103
11722,r028,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Citizenship status (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Citizenship status (%),,3,,,,,
11722,r029,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Citizenship status (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Citizenship status (%),U.S. citizen or permanent resident,4,81.6,87.6,79.2,76.9,78.6
11722,r030,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Citizenship status (%) -> Temporary visa holder,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Citizenship status (%),Temporary visa holder,4,12.9,8.1,15.8,17.6,10.7
11722,r031,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Citizenship status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Citizenship status (%),Unknown,4,5.4,4.3,5.0,5.5,10.7
11722,r032,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),,3,,,,,
11722,r033,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),Never married,4,20.3,16.2,23.0,23.4,19.4
11722,r034,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Married,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),Married,4,57.2,61.6,57.1,56.0,43.7
11722,r035,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),Marriage-like relationship,4,4.4,4.5,2.8,5.9,4.9
11722,r036,"All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),"Separated, divorced, widowed",4,3.8,3.5,3.5,4.0,4.9
11722,r037,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),Unknown,4,14.3,14.1,13.6,10.6,27.2
11722,r038,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Has dependent age 18 or younger (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Has dependent age 18 or younger (%),,3,46.7,56.8,41.8,40.2,40.0
11722,r039,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Has one or more functional limitations (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Has one or more functional limitations (%),,3,14.1,12.3,15.7,14.5,16.0
11722,r040,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Age at doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Age at doctorate (median years),,3,39.4,41.4,38.6,37.8,39.6
11722,r041,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Bachelor's in same field as doctorate (%)<sup>b</sup>,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Bachelor's in same field as doctorate (%)<sup>b</sup>,,3,22.8,19.3,15.6,37.3,19.0
11722,r042,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Master's earned (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Master's earned (%),,3,96.0,97.5,94.8,96.0,93.7
11722,r043,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Master's earned (%) -> Master's earned at same doctorate institution (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Master's earned (%),Master's earned at same doctorate institution (%),4,30.5,29.1,30.0,34.9,24.3
11722,r044,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Time to doctorate (median years),,3,,,,,
11722,r045,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> Years since earning bachelor's degree,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Time to doctorate (median years),Years since earning bachelor's degree,4,15.0,17.7,14.3,13.3,14.9
11722,r046,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Time to doctorate (median years),From graduate school start,4,12.8,15.4,11.6,11.3,11.6
11722,r047,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> From doctoral program start<sup>c</sup>,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Time to doctorate (median years),From doctoral program start<sup>c</sup>,4,5.6,5.8,5.6,5.2,5.4
11722,r048,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Received tuition remission (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Received tuition remission (%),,3,57.8,44.8,63.1,69.3,59.7
11722,r049,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),,,2,2899,783,936,825,355
11722,r050,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Citizenship status (%),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Citizenship status (%),,3,,,,,
11722,r051,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Citizenship status (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Citizenship status (%),U.S. citizen or permanent resident,4,82.9,89.9,78.4,81.8,81.4
11722,r052,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Citizenship status (%) -> Temporary visa holder,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Citizenship status (%),Temporary visa holder,4,11.0,5.9,14.7,13.5,7.0
11722,r053,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Citizenship status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Citizenship status (%),Unknown,4,6.1,4.2,6.8,4.7,11.5
11722,r054,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Marital status (%),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Marital status (%),,3,,,,,
11722,r055,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Marital status (%),Never married,4,18.8,19.7,17.8,19.5,17.5
11722,r056,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Married,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Marital status (%),Married,4,53.2,53.6,52.5,56.6,46.5
11722,r057,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Marital status (%),Marriage-like relationship,4,5.5,4.9,5.0,5.9,6.8
11722,r058,"All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Marital status (%),"Separated, divorced, widowed",4,8.3,9.2,8.3,7.5,8.5
11722,r059,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Marital status (%),Unknown,4,14.2,12.6,16.3,10.4,20.8
11722,r060,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Has dependent age 18 or younger (%),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Has dependent age 18 or younger (%),,3,41.8,41.1,39.9,43.6,43.8
11722,r061,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Has one or more functional limitations (%),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Has one or more functional limitations (%),,3,16.0,16.2,15.4,15.6,18.4
11722,r062,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Age at doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Age at doctorate (median years),,3,39.1,41.3,38.3,38.6,38.9
11722,r063,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Bachelor's in same field as doctorate (%)<sup>b</sup>,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Bachelor's in same field as doctorate (%)<sup>b</sup>,,3,26.7,25.1,21.5,35.3,22.4
11722,r064,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Master's earned (%),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Master's earned (%),,3,96.8,97.4,97.2,96.7,94.4
11722,r065,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Master's earned (%) -> Master's earned at same doctorate institution (%),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Master's earned (%),Master's earned at same doctorate institution (%),4,31.6,30.5,34.2,29.9,31.3
11722,r066,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Time to doctorate (median years),,3,,,,,
11722,r067,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years) -> Years since earning bachelor's degree,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Time to doctorate (median years),Years since earning bachelor's degree,4,15.6,17.6,14.5,14.8,15.3
11722,r068,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Time to doctorate (median years),From graduate school start,4,12.6,14.8,11.7,11.8,12.4
11722,r069,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years) -> From doctoral program start<sup>c</sup>,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Time to doctorate (median years),From doctoral program start<sup>c</sup>,4,5.7,5.8,5.6,5.3,5.8
11722,r070,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Received tuition remission (%),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Received tuition remission (%),,3,63.4,55.3,64.7,69.1,63.9
