table_id,row_id,field_of_study_and_sex_full_path,field_of_study_and_sex_level_1,field_of_study_and_sex_level_2,field_of_study_and_sex_level_3,field_of_study_and_sex_hierarchy_depth,field_1988_number,field_1988_percent,field_1993_number,field_1993_percent,field_1998_number,field_1998_percent,field_2003_number,field_2003_percent,field_2008_number,field_2008_percent,field_2013_number,field_2013_percent,field_2018_number,field_2018_percent
1749,r014,All fields<sup>a</sup> -> Psychology and social sciences -> Male,All fields<sup>a</sup>,Psychology and social sciences,Male,3,3288,54.7,3421,50.1,3350,45.5,3145,44.3,3171,41.5,3501,40.8,3641,40.9
1749,r015,All fields<sup>a</sup> -> Psychology and social sciences -> Female,All fields<sup>a</sup>,Psychology and social sciences,Female,3,2728,45.3,3404,49.9,4009,54.5,3953,55.7,4464,58.5,5077,59.2,5256,59.1
1749,r016,All fields<sup>a</sup> -> Engineering,All fields<sup>a</sup>,Engineering,,2,4186,100.0,5619,100.0,5884,100.0,5279,100.0,7860,100.0,8998,100.0,10179,100.0
1749,r017,All fields<sup>a</sup> -> Engineering -> Male,All fields<sup>a</sup>,Engineering,Male,3,3900,93.2,5097,90.7,5111,86.9,4368,82.7,6167,78.5,6946,77.2,7726,75.9
1749,r018,All fields<sup>a</sup> -> Engineering -> Female,All fields<sup>a</sup>,Engineering,Female,3,286,6.8,522,9.3,773,13.1,911,17.3,1693,21.5,2052,22.8,2453,24.1
1749,r019,All fields<sup>a</sup> -> Education,All fields<sup>a</sup>,Education,,2,6361,100.0,6669,100.0,6552,100.0,6651,100.0,6560,100.0,4934,100.0,4833,100.0
1749,r020,All fields<sup>a</sup> -> Education -> Male,All fields<sup>a</sup>,Education,Male,3,2847,44.8,2748,41.2,2421,37.0,2256,33.9,2158,32.9,1570,31.8,1496,31.0
1749,r021,All fields<sup>a</sup> -> Education -> Female,All fields<sup>a</sup>,Education,Female,3,3514,55.2,3921,58.8,4131,63.0,4395,66.1,4402,67.1,3364,68.2,3337,69.0
1749,r022,All fields<sup>a</sup> -> Humanities and arts,All fields<sup>a</sup>,Humanities and arts,,2,3570,100.0,4385,100.0,5343,100.0,5272,100.0,4736,100.0,5714,100.0,5142,100.0
1749,r023,All fields<sup>a</sup> -> Humanities and arts -> Male,All fields<sup>a</sup>,Humanities and arts,Male,3,2080,58.3,2398,54.7,2794,52.3,2663,50.5,2308,48.7,2829,49.5,2567,49.9
1749,r024,All fields<sup>a</sup> -> Humanities and arts -> Female,All fields<sup>a</sup>,Humanities and arts,Female,3,1490,41.7,1987,45.3,2549,47.7,2609,49.5,2428,51.3,2885,50.5,2575,50.1
1749,r025,All fields<sup>a</sup> -> Other<sup>c</sup>,All fields<sup>a</sup>,Other<sup>c</sup>,,2,1891,100.0,2233,100.0,2109,100.0,2126,100.0,2761,100.0,3022,100.0,2984,100.0
1749,r026,All fields<sup>a</sup> -> Other<sup>c</sup> -> Male,All fields<sup>a</sup>,Other<sup>c</sup>,Male,3,1240,65.6,1374,61.5,1203,57.0,1141,53.7,1386,50.2,1479,48.9,1452,48.7
1749,r027,All fields<sup>a</sup> -> Other<sup>c</sup> -> Female,All fields<sup>a</sup>,Other<sup>c</sup>,Female,3,651,34.4,859,38.5,906,43.0,985,46.3,1375,49.8,1543,51.1,1532,51.3
