table_id,row_id,_b_demographic_characteristic_and_field_b_full_path,_b_demographic_characteristic_and_field_b_level_1,_b_demographic_characteristic_and_field_b_level_2,_b_demographic_characteristic_and_field_b_level_3,_b_demographic_characteristic_and_field_b_level_4,_b_demographic_characteristic_and_field_b_hierarchy_depth,field_total_number_,field_highest_level_of_parental_education_all,field_highest_level_of_parental_education_high_school_or_less,field_highest_level_of_parental_education_some_collegea,field_highest_level_of_parental_education_bachelor_s_degree,field_highest_level_of_parental_education_master_s_degree,field_highest_level_of_parental_education_professional_doctorateb,field_highest_level_of_parental_education_research_doctoral_degree
9604,r013,Doctorate recipients reporting parental education (number) -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,Doctorate recipients reporting parental education (number),Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,4,3255,100.0,15.5,9.0,20.9,21.4,8.3,24.9
9604,r014,Doctorate recipients reporting parental education (number) -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,Doctorate recipients reporting parental education (number),Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,4,2350,100.0,22.9,22.8,20.0,20.1,5.7,8.5
9604,r015,Doctorate recipients reporting parental education (number) -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,Doctorate recipients reporting parental education (number),Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,4,21982,100.0,8.9,13.4,25.9,26.5,12.1,13.1
9604,r016,Doctorate recipients reporting parental education (number) -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,Doctorate recipients reporting parental education (number),Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,4,1163,100.0,10.4,13.2,20.2,27.3,12.1,16.9
9604,r017,Doctorate recipients reporting parental education (number) -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,Doctorate recipients reporting parental education (number),Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,4,245,100.0,,12.2,26.5,19.2,9.4,
9604,r018,Doctorate recipients reporting parental education (number) -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,Doctorate recipients reporting parental education (number),Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,3,90,100.0,23.3,10.0,15.6,21.1,14.4,15.6
9604,r019,Doctorate recipients reporting parental education (number) -> Field of doctorate,Doctorate recipients reporting parental education (number),Field of doctorate,,,2,,,,,,,,
9604,r020,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Science and engineering ,Doctorate recipients reporting parental education (number),Field of doctorate,Science and engineering ,,3,39968,100.0,15.3,12.4,27.8,22.9,8.8,12.8
9604,r021,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Science and engineering  -> Agricultural sciences and natural resources,Doctorate recipients reporting parental education (number),Field of doctorate,Science and engineering ,Agricultural sciences and natural resources,4,1146,100.0,19.3,14.3,30.7,20.3,6.9,8.5
9604,r022,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Science and engineering  -> Biological and biomedical sciences,Doctorate recipients reporting parental education (number),Field of doctorate,Science and engineering ,Biological and biomedical sciences,4,8450,100.0,13.6,12.5,26.3,23.6,10.8,13.2
9604,r023,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Science and engineering  -> Computer and information sciences,Doctorate recipients reporting parental education (number),Field of doctorate,Science and engineering ,Computer and information sciences,4,1875,100.0,16.2,9.8,28.4,23.2,7.6,14.8
9604,r024,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Science and engineering  -> Engineering,Doctorate recipients reporting parental education (number),Field of doctorate,Science and engineering ,Engineering,4,9282,100.0,15.7,10.2,31.2,23.0,6.8,13.1
9604,r025,"Doctorate recipients reporting parental education (number) -> Field of doctorate -> Science and engineering  -> Geosciences, atmospheric, and ocean sciences",Doctorate recipients reporting parental education (number),Field of doctorate,Science and engineering ,"Geosciences, atmospheric, and ocean sciences",4,1046,100.0,13.5,12.1,27.4,24.6,6.8,15.6
9604,r026,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Science and engineering  -> Health sciences,Doctorate recipients reporting parental education (number),Field of doctorate,Science and engineering ,Health sciences,4,2392,100.0,17.3,16.8,25.9,21.4,9.0,9.5
9604,r027,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Science and engineering  -> Mathematics and statistics,Doctorate recipients reporting parental education (number),Field of doctorate,Science and engineering ,Mathematics and statistics,4,1843,100.0,16.0,11.0,29.2,22.3,7.9,13.6
9604,r028,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Science and engineering  -> Multidisciplinary/ interdisciplinary sciences,Doctorate recipients reporting parental education (number),Field of doctorate,Science and engineering ,Multidisciplinary/ interdisciplinary sciences,4,1509,100.0,14.4,12.7,28.2,22.5,8.4,13.7
9604,r029,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Science and engineering  -> Physical sciences,Doctorate recipients reporting parental education (number),Field of doctorate,Science and engineering ,Physical sciences,4,4774,100.0,16.6,13.0,28.0,22.5,8.4,11.4
9604,r030,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Science and engineering  -> Psychology,Doctorate recipients reporting parental education (number),Field of doctorate,Science and engineering ,Psychology,4,3182,100.0,13.4,15.7,24.6,24.2,11.4,10.7
9604,r031,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Science and engineering  -> Social sciences,Doctorate recipients reporting parental education (number),Field of doctorate,Science and engineering ,Social sciences,4,4469,100.0,15.8,12.1,25.2,22.3,9.6,14.9
9604,r032,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Non-science and engineering,Doctorate recipients reporting parental education (number),Field of doctorate,Non-science and engineering,,3,9806,100.0,17.3,16.3,23.0,22.5,8.7,12.3
9604,r033,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Non-science and engineering -> Business,Doctorate recipients reporting parental education (number),Field of doctorate,Non-science and engineering,Business,4,1145,100.0,19.2,12.8,25.1,20.4,5.9,16.7
9604,r034,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Non-science and engineering -> Education,Doctorate recipients reporting parental education (number),Field of doctorate,Non-science and engineering,Education,4,3259,100.0,21.8,19.9,22.4,21.4,6.1,8.5
9604,r035,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Non-science and engineering -> Humanities,Doctorate recipients reporting parental education (number),Field of doctorate,Non-science and engineering,Humanities,4,2882,100.0,13.0,13.6,22.4,24.7,13.4,12.9
9604,r036,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Non-science and engineering -> Visual and performing arts,Doctorate recipients reporting parental education (number),Field of doctorate,Non-science and engineering,Visual and performing arts,4,730,100.0,8.1,12.9,24.8,26.2,12.1,16.0
9604,r037,Doctorate recipients reporting parental education (number) -> Field of doctorate -> Non-science and engineering -> Other non-science and engineering,Doctorate recipients reporting parental education (number),Field of doctorate,Non-science and engineering,Other non-science and engineering,4,1790,100.0,18.4,18.1,23.0,20.7,6.1,13.7
