table_id,row_id,age_sex_ethnicity_race_disability_status_and_age_at_onset_of_disability_full_path,age_sex_ethnicity_race_disability_status_and_age_at_onset_of_disability_level_1,age_sex_ethnicity_race_disability_status_and_age_at_onset_of_disability_level_2,age_sex_ethnicity_race_disability_status_and_age_at_onset_of_disability_level_3,age_sex_ethnicity_race_disability_status_and_age_at_onset_of_disability_level_4,age_sex_ethnicity_race_disability_status_and_age_at_onset_of_disability_level_5,age_sex_ethnicity_race_disability_status_and_age_at_onset_of_disability_hierarchy_depth,field_total,field_employed_in_all_occupations_employed,field_employed_in_all_occupations_full_time,field_employed_in_all_occupations_part_time,field_employed_in_s_e_occupations_full_time,field_employed_in_s_e_occupations_part_time,field_employed_in_s_e_related_occupations_full_time,field_employed_in_s_e_related_occupations_part_time,field_employed_in_non_s_e_occupations_full_time,field_employed_in_non_s_e_occupations_part_time,field_unemployeda,field_not_in_labor_forceb_total,field_not_in_labor_forceb_student,field_not_in_labor_forceb_retired,field_not_in_labor_forceb_not_seeking_employment_all_other_reasons,field_full_time_employed_median_annual_salary_
7779,r013,75 and younger -> With disability,75 and younger,With disability,,,,2,10087000,6338000,5151000,1187000,792000,96000,795000,192000,3564000,898000,578000,3172000,66000,2318000,787000,70000
7779,r014,75 and younger -> With disability -> Age at onset of disability,75 and younger,With disability,Age at onset of disability,,,3,,,,,,,,,,,,,,,,
7779,r015,75 and younger -> With disability -> Age at onset of disability -> Since birth,75 and younger,With disability,Age at onset of disability,Since birth,,4,784000,529000,426000,103000,90000,10000,54000,18000,282000,75000,63000,192000,S,96000,89000,65000
7779,r016,75 and younger -> With disability -> Age at onset of disability -> 1&#8211;9,75 and younger,With disability,Age at onset of disability,1&#8211;9,,4,984000,716000,584000,133000,106000,13000,84000,15000,394000,105000,94000,175000,S,98000,67000,60000
7779,r017,75 and younger -> With disability -> Age at onset of disability -> 10&#8211;19,75 and younger,With disability,Age at onset of disability,10&#8211;19,,4,1635000,1212000,1010000,201000,186000,10000,175000,40000,649000,151000,102000,322000,31000,151000,140000,65000
7779,r018,75 and younger -> With disability -> Age at onset of disability -> 20&#8211;29,75 and younger,With disability,Age at onset of disability,20&#8211;29,,4,1181000,814000,720000,94000,100000,9000,107000,7000,513000,78000,80000,287000,6000,153000,128000,68000
7779,r019,75 and younger -> With disability -> Age at onset of disability -> 30&#8211;39,75 and younger,With disability,Age at onset of disability,30&#8211;39,,4,954000,686000,569000,118000,90000,9000,103000,27000,376000,83000,57000,210000,,121000,88000,75000
7779,r020,75 and younger -> With disability -> Age at onset of disability -> 40&#8211;49,75 and younger,With disability,Age at onset of disability,40&#8211;49,,4,1610000,1101000,932000,169000,126000,13000,122000,20000,685000,135000,82000,427000,,268000,153000,83000
7779,r021,75 and younger -> With disability -> Age at onset of disability -> 50&#8211;59,75 and younger,With disability,Age at onset of disability,50&#8211;59,,4,1427000,815000,657000,158000,63000,16000,114000,40000,480000,101000,60000,551000,,455000,91000,72000
7779,r022,75 and younger -> With disability -> Age at onset of disability -> 60&#8211;75,75 and younger,With disability,Age at onset of disability,60&#8211;75,,4,1512000,465000,254000,211000,32000,16000,37000,25000,186000,170000,40000,1007000,,975000,31000,75000
7779,r023,75 and younger -> 29 and younger,75 and younger,29 and younger,,,,2,8837000,7489000,6586000,903000,1430000,168000,1189000,201000,3967000,534000,592000,756000,367000,,389000,55000
7779,r024,75 and younger -> 29 and younger -> Female,75 and younger,29 and younger,Female,,,3,4978000,4184000,3615000,569000,444000,72000,763000,144000,2408000,353000,305000,489000,193000,,296000,51000
7779,r025,75 and younger -> 29 and younger -> Male,75 and younger,29 and younger,Male,,,3,3859000,3305000,2971000,334000,986000,95000,426000,57000,1560000,182000,287000,267000,174000,,93000,60000
7779,r026,75 and younger -> 29 and younger -> Hispanic or Latino,75 and younger,29 and younger,Hispanic or Latino,,,3,1196000,992000,834000,158000,158000,25000,122000,30000,554000,103000,109000,95000,41000,,54000,50000
7779,r027,75 and younger -> 29 and younger -> Not Hispanic or Latino,75 and younger,29 and younger,Not Hispanic or Latino,,,3,,,,,,,,,,,,,,,,
7779,r028,75 and younger -> 29 and younger -> Not Hispanic or Latino -> American Indian or Alaska Native,75 and younger,29 and younger,Not Hispanic or Latino,American Indian or Alaska Native,,4,37000,S,S,,S,,S,,S,,,,,,,S
7779,r029,75 and younger -> 29 and younger -> Not Hispanic or Latino -> Asian,75 and younger,29 and younger,Not Hispanic or Latino,Asian,,4,1124000,901000,771000,130000,301000,53000,145000,36000,324000,42000,88000,135000,84000,,50000,67000
7779,r030,75 and younger -> 29 and younger -> Not Hispanic or Latino -> Black or African American,75 and younger,29 and younger,Not Hispanic or Latino,Black or African American,,4,645000,526000,459000,66000,61000,5000,76000,14000,323000,48000,66000,54000,24000,,29000,46000
7779,r031,75 and younger -> 29 and younger -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,75 and younger,29 and younger,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,4,12000,10000,9000,,4000,,2000,,S,,,,,,,52000
7779,r032,75 and younger -> 29 and younger -> Not Hispanic or Latino -> White,75 and younger,29 and younger,Not Hispanic or Latino,White,,4,5512000,4752000,4250000,502000,850000,82000,808000,112000,2592000,308000,309000,451000,205000,,246000,55000
7779,r033,75 and younger -> 29 and younger -> Not Hispanic or Latino -> More than one race,75 and younger,29 and younger,Not Hispanic or Latino,More than one race,,4,310000,275000,233000,42000,52000,3000,32000,9000,149000,30000,17000,19000,11000,,8000,59000
7779,r034,75 and younger -> 29 and younger -> Without disability,75 and younger,29 and younger,Without disability,,,3,7886000,6742000,5948000,794000,1319000,155000,1098000,186000,3531000,453000,523000,621000,329000,,291000,56000
7779,r035,75 and younger -> 29 and younger -> With disability,75 and younger,29 and younger,With disability,,,3,951000,747000,638000,109000,111000,13000,91000,15000,436000,81000,69000,135000,37000,,98000,48000
7779,r036,75 and younger -> 29 and younger -> With disability -> Age at onset of disability,75 and younger,29 and younger,With disability,Age at onset of disability,,4,,,,,,,,,,,,,,,,
7779,r037,75 and younger -> 29 and younger -> With disability -> Age at onset of disability -> Since birth,75 and younger,29 and younger,With disability,Age at onset of disability,Since birth,5,133000,78000,72000,6000,17000,2000,7000,,48000,2000,S,31000,S,,S,55000
7779,r038,75 and younger -> 29 and younger -> With disability -> Age at onset of disability -> 1&#8211;9,75 and younger,29 and younger,With disability,Age at onset of disability,1&#8211;9,5,213000,190000,153000,37000,32000,5000,21000,,100000,S,11000,12000,5000,,6000,50000
7779,r039,75 and younger -> 29 and younger -> With disability -> Age at onset of disability -> 10&#8211;19,75 and younger,29 and younger,With disability,Age at onset of disability,10&#8211;19,5,370000,302000,248000,54000,46000,3000,40000,10000,162000,41000,12000,55000,25000,,S,43000
7779,r040,75 and younger -> 29 and younger -> With disability -> Age at onset of disability -> 20&#8211;29,75 and younger,29 and younger,With disability,Age at onset of disability,20&#8211;29,5,235000,176000,166000,11000,16000,3000,23000,S,126000,6000,22000,37000,5000,,31000,48000
7779,r041,75 and younger -> 30&#8211;39,75 and younger,30&#8211;39,,,,2,16205000,14111000,12566000,1545000,2351000,130000,2366000,436000,7849000,979000,815000,1279000,130000,20000,1130000,75000
7779,r042,75 and younger -> 30&#8211;39 -> Female,75 and younger,30&#8211;39,Female,,,3,8920000,7382000,6284000,1098000,649000,75000,1350000,347000,4284000,676000,458000,1080000,78000,19000,983000,66000
7779,r043,75 and younger -> 30&#8211;39 -> Male,75 and younger,30&#8211;39,Male,,,3,7285000,6729000,6282000,447000,1702000,55000,1016000,89000,3564000,303000,357000,200000,52000,S,146000,85000
7779,r044,75 and younger -> 30&#8211;39 -> Hispanic or Latino,75 and younger,30&#8211;39,Hispanic or Latino,,,3,1961000,1679000,1508000,171000,240000,12000,232000,48000,1036000,111000,139000,142000,21000,,121000,67000
7779,r045,75 and younger -> 30&#8211;39 -> Not Hispanic or Latino,75 and younger,30&#8211;39,Not Hispanic or Latino,,,3,,,,,,,,,,,,,,,,
7779,r046,75 and younger -> 30&#8211;39 -> Not Hispanic or Latino -> American Indian or Alaska Native,75 and younger,30&#8211;39,Not Hispanic or Latino,American Indian or Alaska Native,,4,33000,22000,20000,2000,2000,,7000,,11000,2000,S,S,,,S,56000
7779,r047,75 and younger -> 30&#8211;39 -> Not Hispanic or Latino -> Asian,75 and younger,30&#8211;39,Not Hispanic or Latino,Asian,,4,2053000,1725000,1543000,182000,554000,29000,312000,55000,677000,98000,102000,226000,35000,,190000,95000
7779,r048,75 and younger -> 30&#8211;39 -> Not Hispanic or Latino -> Black or African American,75 and younger,30&#8211;39,Not Hispanic or Latino,Black or African American,,4,1183000,1032000,920000,112000,111000,11000,179000,26000,630000,76000,88000,62000,6000,,54000,60000
7779,r049,75 and younger -> 30&#8211;39 -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,75 and younger,30&#8211;39,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,4,34000,33000,31000,2000,5000,,2000,,24000,,,,,,,S
7779,r050,75 and younger -> 30&#8211;39 -> Not Hispanic or Latino -> White,75 and younger,30&#8211;39,Not Hispanic or Latino,White,,4,10492000,9222000,8186000,1036000,1390000,75000,1577000,302000,5219000,658000,457000,813000,66000,S,731000,75000
7779,r051,75 and younger -> 30&#8211;39 -> Not Hispanic or Latino -> More than one race,75 and younger,30&#8211;39,Not Hispanic or Latino,More than one race,,4,449000,397000,359000,38000,49000,2000,58000,4000,252000,32000,19000,32000,2000,,31000,85000
7779,r052,75 and younger -> 30&#8211;39 -> Without disability,75 and younger,30&#8211;39,Without disability,,,3,14740000,12910000,11559000,1351000,2122000,111000,2190000,387000,7247000,853000,650000,1180000,117000,S,1049000,75000
7779,r053,75 and younger -> 30&#8211;39 -> With disability,75 and younger,30&#8211;39,With disability,,,3,1465000,1200000,1007000,193000,229000,19000,176000,48000,602000,126000,165000,99000,13000,S,81000,65000
7779,r054,75 and younger -> 30&#8211;39 -> With disability -> Age at onset of disability,75 and younger,30&#8211;39,With disability,Age at onset of disability,,4,,,,,,,,,,,,,,,,
7779,r055,75 and younger -> 30&#8211;39 -> With disability -> Age at onset of disability -> Since birth,75 and younger,30&#8211;39,With disability,Age at onset of disability,Since birth,5,218000,197000,165000,32000,39000,S,23000,S,103000,20000,8000,13000,S,,5000,64000
7779,r056,75 and younger -> 30&#8211;39 -> With disability -> Age at onset of disability -> 1&#8211;9,75 and younger,30&#8211;39,With disability,Age at onset of disability,1&#8211;9,5,289000,199000,151000,48000,44000,7000,26000,S,81000,33000,71000,19000,S,,15000,54000
7779,r057,75 and younger -> 30&#8211;39 -> With disability -> Age at onset of disability -> 10&#8211;19,75 and younger,30&#8211;39,With disability,Age at onset of disability,10&#8211;19,5,388000,316000,265000,51000,65000,3000,56000,16000,144000,32000,35000,37000,3000,,31000,66000
7779,r058,75 and younger -> 30&#8211;39 -> With disability -> Age at onset of disability -> 20&#8211;29,75 and younger,30&#8211;39,With disability,Age at onset of disability,20&#8211;29,5,345000,294000,266000,28000,45000,S,39000,S,182000,18000,28000,24000,S,,23000,75000
7779,r059,75 and younger -> 30&#8211;39 -> With disability -> Age at onset of disability -> 30&#8211;39,75 and younger,30&#8211;39,With disability,Age at onset of disability,30&#8211;39,5,225000,194000,160000,34000,37000,S,31000,,92000,23000,25000,S,,,S,58000
7779,r060,75 and younger -> 40&#8211;49,75 and younger,40&#8211;49,,,,2,13858000,12125000,10750000,1374000,1560000,94000,1982000,300000,7209000,980000,605000,1129000,45000,76000,1008000,85000
7779,r061,75 and younger -> 40&#8211;49 -> Female,75 and younger,40&#8211;49,Female,,,3,7767000,6466000,5378000,1088000,435000,59000,1055000,245000,3888000,784000,361000,941000,34000,43000,863000,75000
7779,r062,75 and younger -> 40&#8211;49 -> Male,75 and younger,40&#8211;49,Male,,,3,6091000,5659000,5373000,286000,1125000,34000,926000,55000,3322000,196000,244000,188000,11000,32000,145000,100000
7779,r063,75 and younger -> 40&#8211;49 -> Hispanic or Latino,75 and younger,40&#8211;49,Hispanic or Latino,,,3,1524000,1325000,1165000,160000,122000,8000,168000,31000,875000,121000,89000,110000,S,3000,102000,80000
7779,r064,75 and younger -> 40&#8211;49 -> Not Hispanic or Latino,75 and younger,40&#8211;49,Not Hispanic or Latino,,,3,,,,,,,,,,,,,,,,
7779,r065,75 and younger -> 40&#8211;49 -> Not Hispanic or Latino -> American Indian or Alaska Native,75 and younger,40&#8211;49,Not Hispanic or Latino,American Indian or Alaska Native,,4,20000,17000,16000,,2000,,S,,8000,,,,,,,81000
7779,r066,75 and younger -> 40&#8211;49 -> Not Hispanic or Latino -> Asian,75 and younger,40&#8211;49,Not Hispanic or Latino,Asian,,4,1720000,1427000,1260000,168000,393000,20000,321000,42000,545000,106000,93000,199000,11000,6000,183000,110000
7779,r067,75 and younger -> 40&#8211;49 -> Not Hispanic or Latino -> Black or African American,75 and younger,40&#8211;49,Not Hispanic or Latino,Black or African American,,4,1246000,1101000,982000,119000,95000,4000,179000,27000,708000,89000,89000,56000,S,,50000,70000
7779,r068,75 and younger -> 40&#8211;49 -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,75 and younger,40&#8211;49,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,4,63000,56000,55000,S,4000,,29000,,22000,S,,,,,,84000
7779,r069,75 and younger -> 40&#8211;49 -> Not Hispanic or Latino -> White,75 and younger,40&#8211;49,Not Hispanic or Latino,White,,4,8904000,7889000,7003000,886000,912000,60000,1238000,188000,4853000,638000,282000,734000,24000,63000,647000,86000
7779,r070,75 and younger -> 40&#8211;49 -> Not Hispanic or Latino -> More than one race,75 and younger,40&#8211;49,Not Hispanic or Latino,More than one race,,4,381000,310000,271000,39000,32000,S,40000,,198000,25000,S,22000,,,21000,80000
7779,r071,75 and younger -> 40&#8211;49 -> Without disability,75 and younger,40&#8211;49,Without disability,,,3,12246000,10778000,9561000,1217000,1397000,83000,1801000,271000,6363000,864000,522000,946000,41000,63000,842000,88000
7779,r072,75 and younger -> 40&#8211;49 -> With disability,75 and younger,40&#8211;49,With disability,,,3,1613000,1347000,1190000,157000,163000,11000,180000,29000,847000,116000,84000,183000,S,12000,167000,75000
7779,r073,75 and younger -> 40&#8211;49 -> With disability -> Age at onset of disability,75 and younger,40&#8211;49,With disability,Age at onset of disability,,4,,,,,,,,,,,,,,,,
7779,r074,75 and younger -> 40&#8211;49 -> With disability -> Age at onset of disability -> Since birth,75 and younger,40&#8211;49,With disability,Age at onset of disability,Since birth,5,150000,119000,93000,26000,12000,,9000,,72000,21000,3000,28000,,,28000,59000
7779,r075,75 and younger -> 40&#8211;49 -> With disability -> Age at onset of disability -> 1&#8211;9,75 and younger,40&#8211;49,With disability,Age at onset of disability,1&#8211;9,5,186000,171000,159000,12000,15000,,19000,,125000,10000,,12000,,,12000,73000
7779,r076,75 and younger -> 40&#8211;49 -> With disability -> Age at onset of disability -> 10&#8211;19,75 and younger,40&#8211;49,With disability,Age at onset of disability,10&#8211;19,5,287000,241000,214000,27000,39000,,28000,,147000,18000,25000,21000,,,18000,70000
7779,r077,75 and younger -> 40&#8211;49 -> With disability -> Age at onset of disability -> 20&#8211;29,75 and younger,40&#8211;49,With disability,Age at onset of disability,20&#8211;29,5,201000,170000,160000,S,19000,,S,,116000,S,S,26000,,,24000,83000
7779,r078,75 and younger -> 40&#8211;49 -> With disability -> Age at onset of disability -> 30&#8211;39,75 and younger,40&#8211;49,With disability,Age at onset of disability,30&#8211;39,5,312000,247000,202000,45000,27000,S,45000,S,130000,29000,15000,50000,,S,45000,79000
7779,r079,75 and younger -> 40&#8211;49 -> With disability -> Age at onset of disability -> 40&#8211;49,75 and younger,40&#8211;49,With disability,Age at onset of disability,40&#8211;49,5,477000,398000,362000,36000,51000,S,54000,7000,257000,28000,33000,46000,,S,39000,76000
7779,r080,75 and younger -> 50&#8211;59,75 and younger,50&#8211;59,,,,2,12596000,10619000,9232000,1387000,1261000,91000,1497000,235000,6474000,1061000,547000,1430000,31000,579000,820000,90000
7779,r081,75 and younger -> 50&#8211;59 -> Female,75 and younger,50&#8211;59,Female,,,3,6604000,5300000,4339000,961000,331000,45000,782000,172000,3226000,745000,292000,1012000,S,372000,614000,75000
7779,r082,75 and younger -> 50&#8211;59 -> Male,75 and younger,50&#8211;59,Male,,,3,5992000,5319000,4894000,426000,930000,47000,715000,63000,3248000,315000,255000,418000,S,208000,206000,107000
7779,r083,75 and younger -> 50&#8211;59 -> Hispanic or Latino,75 and younger,50&#8211;59,Hispanic or Latino,,,3,1069000,903000,787000,116000,86000,3000,118000,9000,584000,104000,35000,132000,,49000,82000,74000
7779,r084,75 and younger -> 50&#8211;59 -> Not Hispanic or Latino,75 and younger,50&#8211;59,Not Hispanic or Latino,,,3,,,,,,,,,,,,,,,,
7779,r085,75 and younger -> 50&#8211;59 -> Not Hispanic or Latino -> American Indian or Alaska Native,75 and younger,50&#8211;59,Not Hispanic or Latino,American Indian or Alaska Native,,4,46000,37000,33000,S,1000,,3000,,29000,,S,S,,,,62000
7779,r086,75 and younger -> 50&#8211;59 -> Not Hispanic or Latino -> Asian,75 and younger,50&#8211;59,Not Hispanic or Latino,Asian,,4,1199000,961000,841000,120000,218000,18000,188000,27000,435000,75000,81000,157000,,37000,104000,106000
7779,r087,75 and younger -> 50&#8211;59 -> Not Hispanic or Latino -> Black or African American,75 and younger,50&#8211;59,Not Hispanic or Latino,Black or African American,,4,1083000,905000,829000,76000,70000,S,146000,8000,614000,62000,80000,98000,,52000,39000,80000
7779,r088,75 and younger -> 50&#8211;59 -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,75 and younger,50&#8211;59,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,4,27000,21000,20000,,2000,,2000,,16000,,,S,,,,S
7779,r089,75 and younger -> 50&#8211;59 -> Not Hispanic or Latino -> White,75 and younger,50&#8211;59,Not Hispanic or Latino,White,,4,8945000,7615000,6558000,1056000,864000,63000,1025000,185000,4669000,808000,329000,1001000,S,432000,562000,94000
7779,r090,75 and younger -> 50&#8211;59 -> Not Hispanic or Latino -> More than one race,75 and younger,50&#8211;59,Not Hispanic or Latino,More than one race,,4,227000,179000,165000,14000,20000,S,17000,,128000,9000,S,32000,,S,S,90000
7779,r091,75 and younger -> 50&#8211;59 -> Without disability,75 and younger,50&#8211;59,Without disability,,,3,10387000,8958000,7788000,1170000,1085000,77000,1291000,203000,5412000,890000,455000,974000,S,408000,541000,91000
7779,r092,75 and younger -> 50&#8211;59 -> With disability,75 and younger,50&#8211;59,With disability,,,3,2209000,1661000,1444000,217000,176000,14000,206000,32000,1062000,171000,92000,456000,S,171000,278000,84000
7779,r093,75 and younger -> 50&#8211;59 -> With disability -> Age at onset of disability,75 and younger,50&#8211;59,With disability,Age at onset of disability,,4,,,,,,,,,,,,,,,,
7779,r094,75 and younger -> 50&#8211;59 -> With disability -> Age at onset of disability -> Since birth,75 and younger,50&#8211;59,With disability,Age at onset of disability,Since birth,5,144000,97000,75000,22000,17000,,10000,,48000,S,17000,30000,,14000,15000,85000
7779,r095,75 and younger -> 50&#8211;59 -> With disability -> Age at onset of disability -> 1&#8211;9,75 and younger,50&#8211;59,With disability,Age at onset of disability,1&#8211;9,5,122000,92000,86000,6000,10000,,16000,,60000,S,,24000,,S,19000,74000
7779,r096,75 and younger -> 50&#8211;59 -> With disability -> Age at onset of disability -> 10&#8211;19,75 and younger,50&#8211;59,With disability,Age at onset of disability,10&#8211;19,5,295000,224000,211000,13000,25000,S,39000,S,147000,S,S,61000,,23000,36000,89000
7779,r097,75 and younger -> 50&#8211;59 -> With disability -> Age at onset of disability -> 20&#8211;29,75 and younger,50&#8211;59,With disability,Age at onset of disability,20&#8211;29,5,162000,104000,83000,20000,12000,,12000,,59000,20000,S,52000,,10000,42000,85000
7779,r098,75 and younger -> 50&#8211;59 -> With disability -> Age at onset of disability -> 30&#8211;39,75 and younger,50&#8211;59,With disability,Age at onset of disability,30&#8211;39,5,215000,168000,147000,21000,17000,S,20000,,110000,14000,5000,42000,,10000,32000,100000
7779,r099,75 and younger -> 50&#8211;59 -> With disability -> Age at onset of disability -> 40&#8211;49,75 and younger,50&#8211;59,With disability,Age at onset of disability,40&#8211;49,5,702000,534000,461000,73000,57000,4000,43000,S,361000,63000,29000,139000,,56000,79000,88000
7779,r100,75 and younger -> 50&#8211;59 -> With disability -> Age at onset of disability -> 50&#8211;59,75 and younger,50&#8211;59,With disability,Age at onset of disability,50&#8211;59,5,568000,443000,382000,61000,38000,S,66000,19000,277000,37000,17000,108000,,53000,55000,74000
7779,r101,75 and younger -> 60&#8211;75,75 and younger,60&#8211;75,,,,2,17096000,7420000,5018000,2402000,629000,181000,941000,375000,3449000,1846000,600000,9075000,34000,8659000,382000,85000
7779,r102,75 and younger -> 60&#8211;75 -> Female,75 and younger,60&#8211;75,Female,,,3,8085000,3162000,1979000,1183000,139000,51000,429000,207000,1411000,925000,222000,4701000,S,4430000,261000,72000
7779,r103,75 and younger -> 60&#8211;75 -> Male,75 and younger,60&#8211;75,Male,,,3,9011000,4259000,3040000,1219000,490000,129000,512000,168000,2038000,921000,378000,4374000,23000,4230000,121000,99000
7779,r104,75 and younger -> 60&#8211;75 -> Hispanic or Latino,75 and younger,60&#8211;75,Hispanic or Latino,,,3,888000,408000,314000,94000,31000,7000,72000,13000,211000,73000,54000,426000,,391000,32000,88000
7779,r105,75 and younger -> 60&#8211;75 -> Not Hispanic or Latino,75 and younger,60&#8211;75,Not Hispanic or Latino,,,3,,,,,,,,,,,,,,,,
7779,r106,75 and younger -> 60&#8211;75 -> Not Hispanic or Latino -> American Indian or Alaska Native,75 and younger,60&#8211;75,Not Hispanic or Latino,American Indian or Alaska Native,,4,52000,17000,10000,S,1000,,S,,S,S,,35000,,35000,,46000
7779,r107,75 and younger -> 60&#8211;75 -> Not Hispanic or Latino -> Asian,75 and younger,60&#8211;75,Not Hispanic or Latino,Asian,,4,932000,460000,358000,103000,69000,9000,120000,19000,169000,75000,45000,427000,,401000,24000,95000
7779,r108,75 and younger -> 60&#8211;75 -> Not Hispanic or Latino -> Black or African American,75 and younger,60&#8211;75,Not Hispanic or Latino,Black or African American,,4,1144000,545000,428000,117000,32000,5000,78000,23000,318000,89000,61000,537000,,467000,61000,62000
7779,r109,75 and younger -> 60&#8211;75 -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,75 and younger,60&#8211;75,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,4,28000,S,S,,0.05,,,,S,,,11000,,11000,,S
7779,r110,75 and younger -> 60&#8211;75 -> Not Hispanic or Latino -> White,75 and younger,60&#8211;75,Not Hispanic or Latino,White,,4,13832000,5896000,3836000,2060000,489000,157000,663000,314000,2684000,1589000,418000,7518000,20000,7233000,264000,88000
7779,r111,75 and younger -> 60&#8211;75 -> Not Hispanic or Latino -> More than one race,75 and younger,60&#8211;75,Not Hispanic or Latino,More than one race,,4,220000,78000,60000,18000,7000,2000,S,S,46000,11000,21000,122000,,121000,,110000
7779,r112,75 and younger -> 60&#8211;75 -> Without disability,75 and younger,60&#8211;75,Without disability,,,3,13246000,6038000,4146000,1891000,516000,141000,799000,308000,2832000,1442000,433000,6776000,27000,6530000,219000,88000
7779,r113,75 and younger -> 60&#8211;75 -> With disability,75 and younger,60&#8211;75,With disability,,,3,3849000,1383000,872000,511000,113000,40000,142000,67000,617000,404000,167000,2299000,,2129000,164000,75000
7779,r114,75 and younger -> 60&#8211;75 -> With disability -> Age at onset of disability,75 and younger,60&#8211;75,With disability,Age at onset of disability,,4,,,,,,,,,,,,,,,,
7779,r115,75 and younger -> 60&#8211;75 -> With disability -> Age at onset of disability -> Since birth,75 and younger,60&#8211;75,With disability,Age at onset of disability,Since birth,5,139000,37000,21000,16000,5000,,S,,12000,S,S,91000,,79000,S,90000
7779,r116,75 and younger -> 60&#8211;75 -> With disability -> Age at onset of disability -> 1&#8211;9,75 and younger,60&#8211;75,With disability,Age at onset of disability,1&#8211;9,5,174000,64000,35000,29000,5000,2000,2000,,28000,24000,2000,108000,,94000,S,99000
