table_id,row_id,_b_state_and_department_or_agency_b_full_path,_b_state_and_department_or_agency_b_level_1,_b_state_and_department_or_agency_b_level_2,_b_state_and_department_or_agency_b_level_3,_b_state_and_department_or_agency_b_hierarchy_depth,field_r_d_personnel_headcount_total_,field_r_d_personnel_headcount_researchersa,field_r_d_personnel_headcount_technicians,field_r_d_personnel_headcount_support_staff,field_r_d_personnel_full_time_equivalent_total_,field_r_d_personnel_full_time_equivalent_researchersa,field_r_d_personnel_full_time_equivalent_technicians,field_r_d_personnel_full_time_equivalent_support_staff
9950,r027,"United States<sup>b</sup> -> California -> Housing and Community Development, Department of",United States<sup>b</sup>,California,"Housing and Community Development, Department of",3,24,3,20,1,24.0,3.0,20.0,1.0
9950,r028,United States<sup>b</sup> -> California -> Mental Health Services Oversight and Accountability Commission,United States<sup>b</sup>,California,Mental Health Services Oversight and Accountability Commission,3,14,12,0,2,14.0,12.0,0.0,2.0
9950,r029,"United States<sup>b</sup> -> California -> Motor Vehicles, Department of",United States<sup>b</sup>,California,"Motor Vehicles, Department of",3,18,14,0,4,17.2,14.0,0.0,3.2
9950,r030,"United States<sup>b</sup> -> California -> Pesticide Regulation, Department of ",United States<sup>b</sup>,California,"Pesticide Regulation, Department of ",3,84,60,0,24,83.6,59.7,0.0,23.9
9950,r031,"United States<sup>b</sup> -> California -> Public Health, Department of",United States<sup>b</sup>,California,"Public Health, Department of",3,8,8,0,0,2.5,2.5,0.0,0.0
9950,r032,"United States<sup>b</sup> -> California -> Rehabilitation, Department of ",United States<sup>b</sup>,California,"Rehabilitation, Department of ",3,12,0,0,12,10.5,0.0,0.0,10.5
9950,r033,United States<sup>b</sup> -> California -> State Water Resources Control Board,United States<sup>b</sup>,California,State Water Resources Control Board,3,22,17,0,5,10.0,9.3,0.0,0.7
9950,r034,"United States<sup>b</sup> -> California -> Toxic Substances Control, Department of",United States<sup>b</sup>,California,"Toxic Substances Control, Department of",3,15,15,0,0,3.4,3.4,0.0,0.0
9950,r035,"United States<sup>b</sup> -> California -> Transportation, Department of",United States<sup>b</sup>,California,"Transportation, Department of",3,81,62,4,15,80.0,61.5,3.5,15.0
9950,r036,"United States<sup>b</sup> -> California -> Water Resources, Department of",United States<sup>b</sup>,California,"Water Resources, Department of",3,5,5,0,0,2.0,2.0,0.0,0.0
9950,r037,United States<sup>b</sup> -> Colorado,United States<sup>b</sup>,Colorado,,2,107,64,37,6,49.1,41.3,6.3,1.5
9950,r038,"United States<sup>b</sup> -> Colorado -> Agriculture, Department of",United States<sup>b</sup>,Colorado,"Agriculture, Department of",3,35,5,30,0,7.2,1.4,5.8,0.0
9950,r039,"United States<sup>b</sup> -> Colorado -> Natural Resources, Department of",United States<sup>b</sup>,Colorado,"Natural Resources, Department of",3,51,39,7,5,23.0,22.0,0.5,0.5
9950,r040,"United States<sup>b</sup> -> Colorado -> Public Health and Environment, Department of",United States<sup>b</sup>,Colorado,"Public Health and Environment, Department of",3,9,9,0,0,8.7,8.7,0.0,0.0
9950,r041,"United States<sup>b</sup> -> Colorado -> Public Safety, Department of; Division of Criminal Justice",United States<sup>b</sup>,Colorado,"Public Safety, Department of; Division of Criminal Justice",3,7,7,0,0,5.2,5.2,0.0,0.0
9950,r042,"United States<sup>b</sup> -> Colorado -> Transportation, Department of",United States<sup>b</sup>,Colorado,"Transportation, Department of",3,5,4,0,1,5.0,4.0,0.0,1.0
9950,r043,United States<sup>b</sup> -> Connecticut,United States<sup>b</sup>,Connecticut,,2,261,173,34,54,154.4,108.6,30.0,15.8
9950,r044,United States<sup>b</sup> -> Connecticut -> Agricultural Experiment Station,United States<sup>b</sup>,Connecticut,Agricultural Experiment Station,3,88,48,26,14,88.0,48.0,26.0,14.0
9950,r045,"United States<sup>b</sup> -> Connecticut -> Energy and Environmental Protection, Department of",United States<sup>b</sup>,Connecticut,"Energy and Environmental Protection, Department of",3,55,47,8,0,27.0,23.0,4.0,0.0
9950,r046,"United States<sup>b</sup> -> Connecticut -> Mental Health and Addiction Services, Department of",United States<sup>b</sup>,Connecticut,"Mental Health and Addiction Services, Department of",3,41,40,0,1,33.3,32.3,0.0,1.0
9950,r047,"United States<sup>b</sup> -> Connecticut -> Social Services, Department of",United States<sup>b</sup>,Connecticut,"Social Services, Department of",3,32,32,0,0,2.2,2.2,0.0,0.0
9950,r048,"United States<sup>b</sup> -> Connecticut -> Transportation, Department of",United States<sup>b</sup>,Connecticut,"Transportation, Department of",3,45,6,0,39,3.9,3.1,0.0,0.8
9950,r049,United States<sup>b</sup> -> Delaware,United States<sup>b</sup>,Delaware,,2,16,10,3,3,16.0,10.0,3.0,3.0
9950,r050,United States<sup>b</sup> -> Delaware -> Geological Survey,United States<sup>b</sup>,Delaware,Geological Survey,3,16,10,3,3,16.0,10.0,3.0,3.0
9950,r051,United States<sup>b</sup> -> District of Columbia,United States<sup>b</sup>,District of Columbia,,2,29,7,10,12,14.7,6.2,4.5,4.0
9950,r052,"United States<sup>b</sup> -> District of Columbia -> Health, Department of",United States<sup>b</sup>,District of Columbia,"Health, Department of",3,23,2,9,12,9.7,1.7,4.0,4.0
9950,r053,"United States<sup>b</sup> -> District of Columbia -> Transportation, Department of",United States<sup>b</sup>,District of Columbia,"Transportation, Department of",3,2,1,1,0,1.5,1.0,0.5,0.0
9950,r054,United States<sup>b</sup> -> District of Columbia -> Water and Sewer Authority,United States<sup>b</sup>,District of Columbia,Water and Sewer Authority,3,4,4,0,0,3.5,3.5,0.0,0.0
9950,r055,United States<sup>b</sup> -> Florida,United States<sup>b</sup>,Florida,,2,874,667,73,134,626.2,494.3,35.3,96.6
9950,r056,"United States<sup>b</sup> -> Florida -> Agriculture and Consumer Services, Department of",United States<sup>b</sup>,Florida,"Agriculture and Consumer Services, Department of",3,11,4,7,0,11.0,4.0,7.0,0.0
9950,r057,"United States<sup>b</sup> -> Florida -> Citrus, Department of",United States<sup>b</sup>,Florida,"Citrus, Department of",3,2,1,1,0,1.5,0.0,0.5,1.0
9950,r058,United States<sup>b</sup> -> Florida -> Fish and Wildlife Conservation Commission,United States<sup>b</sup>,Florida,Fish and Wildlife Conservation Commission,3,849,658,58,133,605.0,488.0,22.0,95.0
9950,r059,"United States<sup>b</sup> -> Florida -> Transportation, Department of",United States<sup>b</sup>,Florida,"Transportation, Department of",3,12,4,7,1,8.7,2.3,5.8,0.6
9950,r060,United States<sup>b</sup> -> Georgia,United States<sup>b</sup>,Georgia,,2,11,7,1,3,8.6,5.7,1.0,1.9
9950,r061,"United States<sup>b</sup> -> Georgia -> Natural Resources, Department of",United States<sup>b</sup>,Georgia,"Natural Resources, Department of",3,2,2,0,0,1.5,1.5,0.0,0.0
9950,r062,United States<sup>b</sup> -> Georgia -> Southern States Energy Board,United States<sup>b</sup>,Georgia,Southern States Energy Board,3,9,5,1,3,7.1,4.2,1.0,1.9
9950,r063,United States<sup>b</sup> -> Hawaii,United States<sup>b</sup>,Hawaii,,2,12,5,1,6,4.9,1.5,0.2,3.2
9950,r064,"United States<sup>b</sup> -> Hawaii -> Agriculture, Department of",United States<sup>b</sup>,Hawaii,"Agriculture, Department of",3,10,5,1,4,2.9,1.5,0.2,1.2
9950,r065,"United States<sup>b</sup> -> Hawaii -> Business, Economic Development, and Tourism, Department of",United States<sup>b</sup>,Hawaii,"Business, Economic Development, and Tourism, Department of",3,2,0,0,2,2.0,0.0,0.0,2.0
9950,r066,United States<sup>b</sup> -> Idaho,United States<sup>b</sup>,Idaho,,2,87,28,54,5,69.7,20.2,45.6,3.9
9950,r067,"United States<sup>b</sup> -> Idaho -> Fish and Game, Department of",United States<sup>b</sup>,Idaho,"Fish and Game, Department of",3,85,28,54,3,67.7,20.2,45.6,1.9
9950,r068,United States<sup>b</sup> -> Idaho -> Transportation Department,United States<sup>b</sup>,Idaho,Transportation Department,3,2,0,0,2,2.0,0.0,0.0,2.0
9950,r069,United States<sup>b</sup> -> Illinois,United States<sup>b</sup>,Illinois,,2,8,4,2,2,5.6,3.3,1.5,0.8
9950,r070,"United States<sup>b</sup> -> Illinois -> Transportation, Department of",United States<sup>b</sup>,Illinois,"Transportation, Department of",3,8,4,2,2,5.6,3.3,1.5,0.8
9950,r071,United States<sup>b</sup> -> Indiana,United States<sup>b</sup>,Indiana,,2,46,22,17,7,16.9,11.5,4.0,1.4
9950,r072,"United States<sup>b</sup> -> Indiana -> Natural Resources, Department of",United States<sup>b</sup>,Indiana,"Natural Resources, Department of",3,16,12,3,1,1.5,1.5,0.0,0.0
9950,r073,"United States<sup>b</sup> -> Indiana -> Transportation, Department of",United States<sup>b</sup>,Indiana,"Transportation, Department of",3,30,10,14,6,15.4,10.0,4.0,1.4
9950,r074,United States<sup>b</sup> -> Iowa,United States<sup>b</sup>,Iowa,,2,43,28,14,1,26.9,15.9,10.3,0.7
9950,r075,"United States<sup>b</sup> -> Iowa -> Human Rights, Criminal and Juvenile Justice Planning, Division of, Department of",United States<sup>b</sup>,Iowa,"Human Rights, Criminal and Juvenile Justice Planning, Division of, Department of",3,11,11,0,0,5.0,5.0,0.0,0.0
9950,r076,"United States<sup>b</sup> -> Iowa -> Natural Resources, Department of",United States<sup>b</sup>,Iowa,"Natural Resources, Department of",3,32,17,14,1,21.9,10.9,10.3,0.7
9950,r077,United States<sup>b</sup> -> Kansas,United States<sup>b</sup>,Kansas,,2,25,16,4,5,19.1,11.1,4.0,4.0
9950,r078,United States<sup>b</sup> -> Kansas -> State Board of Regents,United States<sup>b</sup>,Kansas,State Board of Regents,3,2,2,0,0,0.1,0.1,0.0,0.0
9950,r079,"United States<sup>b</sup> -> Kansas -> Transportation, Department of",United States<sup>b</sup>,Kansas,"Transportation, Department of",3,16,9,4,3,16.0,9.0,4.0,3.0
9950,r080,United States<sup>b</sup> -> Kansas -> Water Office,United States<sup>b</sup>,Kansas,Water Office,3,7,5,0,2,3.0,2.0,0.0,1.0
9950,r081,United States<sup>b</sup> -> Kentucky,United States<sup>b</sup>,Kentucky,,2,222,124,92,6,15.3,11.5,3.5,0.3
9950,r082,"United States<sup>b</sup> -> Kentucky -> Fish and Wildlife Resources, Department of ",United States<sup>b</sup>,Kentucky,"Fish and Wildlife Resources, Department of ",3,220,122,92,6,14.3,10.5,3.5,0.3
9950,r083,"United States<sup>b</sup> -> Kentucky -> Nature Preserves, Office of Kentucky",United States<sup>b</sup>,Kentucky,"Nature Preserves, Office of Kentucky",3,2,2,0,0,1.0,1.0,0.0,0.0
9950,r084,United States<sup>b</sup> -> Louisiana,United States<sup>b</sup>,Louisiana,,2,240,128,69,43,101.3,62.9,28.8,9.6
9950,r085,United States<sup>b</sup> -> Louisiana -> Coastal Protection and Restoration Authority,United States<sup>b</sup>,Louisiana,Coastal Protection and Restoration Authority,3,11,7,0,4,7.5,6.5,0.0,1.0
9950,r086,"United States<sup>b</sup> -> Louisiana -> Transportation and Development, Department of ",United States<sup>b</sup>,Louisiana,"Transportation and Development, Department of ",3,55,25,25,5,55.0,25.0,25.0,5.0
9950,r087,"United States<sup>b</sup> -> Louisiana -> Wildlife and Fisheries, Department of",United States<sup>b</sup>,Louisiana,"Wildlife and Fisheries, Department of",3,174,96,44,34,38.8,31.4,3.8,3.6
9950,r088,United States<sup>b</sup> -> Maine,United States<sup>b</sup>,Maine,,2,173,73,52,48,149.6,58.9,49.0,41.7
9950,r089,"United States<sup>b</sup> -> Maine -> Agriculture, Conservation and Forestry, Department of ",United States<sup>b</sup>,Maine,"Agriculture, Conservation and Forestry, Department of ",3,11,7,2,2,10.0,7.0,2.0,1.0
9950,r090,United States<sup>b</sup> -> Maine -> Aquaculture Innovation Center,United States<sup>b</sup>,Maine,Aquaculture Innovation Center,3,4,2,2,0,4.0,2.0,2.0,0.0
9950,r091,"United States<sup>b</sup> -> Maine -> Inland Fisheries and Wildlife, Department of",United States<sup>b</sup>,Maine,"Inland Fisheries and Wildlife, Department of",3,35,15,15,5,26.0,8.0,15.0,3.0
9950,r092,"United States<sup>b</sup> -> Maine -> Marine Resources, Department of",United States<sup>b</sup>,Maine,"Marine Resources, Department of",3,42,29,9,4,31.4,22.4,6.5,2.5
9950,r093,"United States<sup>b</sup> -> Maine -> MDI Biological Laboratory, Center for Biomedical Innovation",United States<sup>b</sup>,Maine,"MDI Biological Laboratory, Center for Biomedical Innovation",3,78,18,23,37,75.2,17.5,22.5,35.2
9950,r094,"United States<sup>b</sup> -> Maine -> Transportation, Department of ",United States<sup>b</sup>,Maine,"Transportation, Department of ",3,3,2,1,0,3.0,2.0,1.0,0.0
9950,r095,United States<sup>b</sup> -> Maryland,United States<sup>b</sup>,Maryland,,2,42,23,13,6,30.3,17.0,9.3,4.0
9950,r096,"United States<sup>b</sup> -> Maryland -> Natural Resources, Department of",United States<sup>b</sup>,Maryland,"Natural Resources, Department of",3,25,17,7,1,24.3,17.0,6.3,1.0
9950,r097,"United States<sup>b</sup> -> Maryland -> Transportation, Department of",United States<sup>b</sup>,Maryland,"Transportation, Department of",3,17,6,6,5,6.0,0.0,3.0,3.0
9950,r098,United States<sup>b</sup> -> Massachusetts,United States<sup>b</sup>,Massachusetts,,2,86,37,41,8,16.0,9.7,4.7,1.6
9950,r099,"United States<sup>b</sup> -> Massachusetts -> Environmental Protection, Department of ",United States<sup>b</sup>,Massachusetts,"Environmental Protection, Department of ",3,32,12,16,4,6.0,3.0,2.0,1.0
9950,r100,"United States<sup>b</sup> -> Massachusetts -> Fish and Game, Department of ",United States<sup>b</sup>,Massachusetts,"Fish and Game, Department of ",3,50,22,24,4,8.0,5.0,2.5,0.5
9950,r101,United States<sup>b</sup> -> Massachusetts -> Gaming Commission,United States<sup>b</sup>,Massachusetts,Gaming Commission,3,2,2,0,0,1.6,1.5,0.0,0.1
9950,r102,United States<sup>b</sup> -> Massachusetts -> Water Resources Authority,United States<sup>b</sup>,Massachusetts,Water Resources Authority,3,2,1,1,0,0.4,0.2,0.2,0.0
9950,r103,United States<sup>b</sup> -> Michigan,United States<sup>b</sup>,Michigan,,2,7,2,4,1,0.7,0.5,0.0,0.2
9950,r104,"United States<sup>b</sup> -> Michigan -> Agriculture and Rural Development, Department of",United States<sup>b</sup>,Michigan,"Agriculture and Rural Development, Department of",3,1,1,0,0,0.5,0.5,0.0,0.0
9950,r105,"United States<sup>b</sup> -> Michigan -> Environmental, Great Lakes, and Energy, Department of",United States<sup>b</sup>,Michigan,"Environmental, Great Lakes, and Energy, Department of",3,6,1,4,1,0.2,0.0,0.0,0.2
9950,r106,United States<sup>b</sup> -> Minnesota,United States<sup>b</sup>,Minnesota,,2,82,50,23,9,60.9,42.0,12.9,6.0
9950,r107,"United States<sup>b</sup> -> Minnesota -> Agriculture, Department of",United States<sup>b</sup>,Minnesota,"Agriculture, Department of",3,30,11,15,4,8.9,3.0,4.9,1.0
9950,r108,"United States<sup>b</sup> -> Minnesota -> Natural Resources, Department of",United States<sup>b</sup>,Minnesota,"Natural Resources, Department of",3,52,39,8,5,52.0,39.0,8.0,5.0
9950,r109,United States<sup>b</sup> -> Mississippi,United States<sup>b</sup>,Mississippi,,2,136,40,85,11,38.9,13.9,21.6,3.4
9950,r110,"United States<sup>b</sup> -> Mississippi -> Environmental Quality, Department of",United States<sup>b</sup>,Mississippi,"Environmental Quality, Department of",3,12,4,0,8,0.5,0.1,0.0,0.4
9950,r111,United States<sup>b</sup> -> Mississippi -> Gulf States Marine Fisheries Commission,United States<sup>b</sup>,Mississippi,Gulf States Marine Fisheries Commission,3,1,1,0,0,1.0,1.0,0.0,0.0
9950,r112,"United States<sup>b</sup> -> Mississippi -> Marine Resources, Department of",United States<sup>b</sup>,Mississippi,"Marine Resources, Department of",3,7,5,2,0,2.3,1.5,0.8,0.0
9950,r113,"United States<sup>b</sup> -> Mississippi -> Transportation, Department of",United States<sup>b</sup>,Mississippi,"Transportation, Department of",3,3,0,0,3,3.0,0.0,0.0,3.0
9950,r114,"United States<sup>b</sup> -> Mississippi -> Wildlife, Fisheries, and Parks, Department of ",United States<sup>b</sup>,Mississippi,"Wildlife, Fisheries, and Parks, Department of ",3,113,30,83,0,32.1,11.3,20.8,0.0
9950,r115,United States<sup>b</sup> -> Missouri,United States<sup>b</sup>,Missouri,,2,228,77,143,8,113.0,60.0,51.0,2.0
9950,r116,"United States<sup>b</sup> -> Missouri -> Conservation, Department of",United States<sup>b</sup>,Missouri,"Conservation, Department of",3,228,77,143,8,113.0,60.0,51.0,2.0
9950,r117,United States<sup>b</sup> -> Montana,United States<sup>b</sup>,Montana,,2,102,27,68,7,15.3,4.6,5.7,5.0
9950,r118,"United States<sup>b</sup> -> Montana -> Environmental Quality, Department of",United States<sup>b</sup>,Montana,"Environmental Quality, Department of",3,3,2,1,0,1.2,1.0,0.2,0.0
9950,r119,"United States<sup>b</sup> -> Montana -> Fish, Wildlife and Parks, Department of",United States<sup>b</sup>,Montana,"Fish, Wildlife and Parks, Department of",3,50,21,26,3,9.4,3.2,5.2,1.0
9950,r120,"United States<sup>b</sup> -> Montana -> Natural Resources and Conservation, Department of",United States<sup>b</sup>,Montana,"Natural Resources and Conservation, Department of",3,4,4,0,0,0.4,0.4,0.0,0.0
9950,r121,"United States<sup>b</sup> -> Montana -> Transportation, Department of",United States<sup>b</sup>,Montana,"Transportation, Department of",3,45,0,41,4,4.3,0.0,0.3,4.0
9950,r122,United States<sup>b</sup> -> Nebraska,United States<sup>b</sup>,Nebraska,,2,45,22,22,1,33.7,21.5,11.2,1.0
9950,r123,United States<sup>b</sup> -> Nebraska -> Game and Parks Commission,United States<sup>b</sup>,Nebraska,Game and Parks Commission,3,35,20,14,1,32.0,20.0,11.0,1.0
9950,r124,"United States<sup>b</sup> -> Nebraska -> Transportation, Department of",United States<sup>b</sup>,Nebraska,"Transportation, Department of",3,10,2,8,0,1.7,1.5,0.2,0.0
9950,r125,United States<sup>b</sup> -> Nevada,United States<sup>b</sup>,Nevada,,2,3,1,2,0,1.5,0.5,1.0,0.0
9950,r126,"United States<sup>b</sup> -> Nevada -> Agriculture, Department of",United States<sup>b</sup>,Nevada,"Agriculture, Department of",3,3,1,2,0,1.5,0.5,1.0,0.0
9950,r127,United States<sup>b</sup> -> New Hampshire,United States<sup>b</sup>,New Hampshire,,2,16,2,3,11,2.2,2.0,0.1,0.1
9950,r128,"United States<sup>b</sup> -> New Hampshire -> Transportation, Department of",United States<sup>b</sup>,New Hampshire,"Transportation, Department of",3,16,2,3,11,2.2,2.0,0.1,0.1
9950,r129,United States<sup>b</sup> -> New Jersey,United States<sup>b</sup>,New Jersey,,2,54,48,2,4,23.5,19.0,1.5,3.0
9950,r130,"United States<sup>b</sup> -> New Jersey -> Agriculture, Department of",United States<sup>b</sup>,New Jersey,"Agriculture, Department of",3,4,2,1,1,4.0,2.0,1.0,1.0
9950,r131,"United States<sup>b</sup> -> New Jersey -> Children and Families, Department of",United States<sup>b</sup>,New Jersey,"Children and Families, Department of",3,16,16,0,0,1.9,1.9,0.0,0.0
9950,r132,"United States<sup>b</sup> -> New Jersey -> Community Affairs, Department of ",United States<sup>b</sup>,New Jersey,"Community Affairs, Department of ",3,2,2,0,0,0.1,0.1,0.0,0.0
9950,r133,"United States<sup>b</sup> -> New Jersey -> Corrections, Department of",United States<sup>b</sup>,New Jersey,"Corrections, Department of",3,4,4,0,0,4.0,4.0,0.0,0.0
9950,r134,"United States<sup>b</sup> -> New Jersey -> Environmental Protection, Department of",United States<sup>b</sup>,New Jersey,"Environmental Protection, Department of",3,20,18,1,1,10.0,9.0,0.5,0.5
9950,r135,United States<sup>b</sup> -> New Jersey -> Pinelands Commission,United States<sup>b</sup>,New Jersey,Pinelands Commission,3,5,5,0,0,1.0,1.0,0.0,0.0
9950,r136,"United States<sup>b</sup> -> New Jersey -> State Parole Board, New Jersey",United States<sup>b</sup>,New Jersey,"State Parole Board, New Jersey",3,3,1,0,2,2.5,1.0,0.0,1.5
9950,r137,United States<sup>b</sup> -> New Mexico,United States<sup>b</sup>,New Mexico,,2,27,15,6,6,11.1,7.0,1.8,2.3
9950,r138,"United States<sup>b</sup> -> New Mexico -> Cultural Affairs, Department of",United States<sup>b</sup>,New Mexico,"Cultural Affairs, Department of",3,1,1,0,0,0.7,0.7,0.0,0.0
9950,r139,"United States<sup>b</sup> -> New Mexico -> Game and Fish, Department of",United States<sup>b</sup>,New Mexico,"Game and Fish, Department of",3,20,10,6,4,4.4,2.3,1.8,0.3
9950,r140,"United States<sup>b</sup> -> New Mexico -> Transportation, Department of",United States<sup>b</sup>,New Mexico,"Transportation, Department of",3,6,4,0,2,6.0,4.0,0.0,2.0
9950,r141,United States<sup>b</sup> -> New York,United States<sup>b</sup>,New York,,2,3102,1438,1252,412,2308.1,1023.6,914.7,369.8
9950,r142,"United States<sup>b</sup> -> New York -> Agriculture and Markets, Department of ",United States<sup>b</sup>,New York,"Agriculture and Markets, Department of ",3,14,13,1,0,8.0,7.0,1.0,0.0
9950,r143,United States<sup>b</sup> -> New York -> Energy Research and Development Authority,United States<sup>b</sup>,New York,Energy Research and Development Authority,3,33,20,0,13,26.5,20.0,0.0,6.5
9950,r144,"United States<sup>b</sup> -> New York -> Environmental Conservation, Department of ",United States<sup>b</sup>,New York,"Environmental Conservation, Department of ",3,87,55,24,8,47.2,28.9,15.8,2.5
9950,r145,"United States<sup>b</sup> -> New York -> Health, Department of ",United States<sup>b</sup>,New York,"Health, Department of ",3,345,235,89,21,234.0,166.8,52.9,14.3
9950,r146,"United States<sup>b</sup> -> New York -> Mental Health, Office of ",United States<sup>b</sup>,New York,"Mental Health, Office of ",3,1516,639,686,191,998.0,368.0,455.0,175.0
9950,r147,"United States<sup>b</sup> -> New York -> People with Developmental Disabilities, Office of",United States<sup>b</sup>,New York,"People with Developmental Disabilities, Office of",3,28,17,4,7,18.5,10.1,2.1,6.3
9950,r148,United States<sup>b</sup> -> New York -> Power Authority,United States<sup>b</sup>,New York,Power Authority,3,11,10,0,1,11.0,10.0,0.0,1.0
9950,r149,United States<sup>b</sup> -> New York -> Roswell Park Comprehensive Cancer Center,United States<sup>b</sup>,New York,Roswell Park Comprehensive Cancer Center,3,990,419,407,164,887.3,382.8,347.3,157.2
9950,r150,United States<sup>b</sup> -> New York -> State Museum,United States<sup>b</sup>,New York,State Museum,3,73,27,41,5,72.6,27.0,40.6,5.0
9950,r151,"United States<sup>b</sup> -> New York -> Transportation, Department of ",United States<sup>b</sup>,New York,"Transportation, Department of ",3,5,3,0,2,5.0,3.0,0.0,2.0
9950,r152,United States<sup>b</sup> -> North Carolina,United States<sup>b</sup>,North Carolina,,2,208,98,78,32,171.3,77.3,69.0,25.0
