table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_hierarchy_depth,field_all_fields,field_life_sciencesa,field_physical_sciences_and_earth_sciences,field_mathematics_and_computer_sciences,field_psychology_and_social_sciences,field_engineering,field_education,field_humanities_and_arts,field_otherb
998,r035,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Master's earned (%),All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Master's earned (%),,3,69.2,49.3,53.6,72.1,81.7,73.8,87.8,85.1,81.4
998,r036,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Age at doctorate (median years),All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Age at doctorate (median years),,3,31.3,31.0,29.5,30.4,32.7,30.1,38.3,34.5,35.0
998,r037,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years),All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Time to doctorate (median years),,3,,,,,,,,,
998,r038,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> From bachelor's,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Time to doctorate (median years),From bachelor's,4,8.3,8.0,7.0,7.8,9.3,7.3,14.6,11.0,11.3
998,r039,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Time to doctorate (median years),From graduate school start,4,7.2,6.8,6.3,6.9,7.8,6.7,11.7,9.4,9.0
998,r040,All doctorate recipients (number)<sup>c</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> From doctoral program start<sup>e</sup>,All doctorate recipients (number)<sup>c</sup>,Male doctorate recipients (number),Time to doctorate (median years),From doctoral program start<sup>e</sup>,4,5.8,5.7,5.7,5.7,6.0,5.3,6.3,7.0,5.4
998,r041,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number),All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),,,2,25495,6958,2011,976,5381,2448,3300,2708,1713
998,r042,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Citizenship (%),All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Citizenship (%),,3,,,,,,,,,
998,r043,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Citizenship (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Citizenship (%),U.S. citizen or permanent resident,4,71.4,72.4,63.4,46.4,78.8,44.6,85.0,80.9,64.7
998,r044,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Citizenship (%) -> Temporary visa holder,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Citizenship (%),Temporary visa holder,4,22.4,23.9,31.5,44.8,14.5,45.3,9.7,12.2,25.0
998,r045,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Citizenship (%) -> Unknown,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Citizenship (%),Unknown,4,6.2,3.7,5.1,8.8,6.8,10.0,5.3,6.8,10.3
998,r046,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Marital status (%),All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Marital status (%),,3,,,,,,,,,
998,r047,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Marital status (%),Never married,4,29.6,32.5,42.4,34.5,27.3,36.3,18.6,27.7,22.3
998,r048,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Married,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Marital status (%),Married,4,43.2,43.6,33.5,39.3,41.7,37.8,53.9,43.7,46.8
998,r049,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Marital status (%),Marriage-like relationship,4,9.1,10.4,12.3,6.4,10.4,7.1,5.2,10.6,5.9
998,r050,"All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Marital status (%),"Separated, divorced, widowed",4,4.7,3.9,1.8,2.7,5.1,1.9,8.4,5.4,6.3
998,r051,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Marital status (%),Unknown,4,13.3,9.6,10.0,17.1,15.4,16.9,13.9,12.7,18.7
998,r052,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Bachelor's in same field as doctorate (%)<sup>d</sup>,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Bachelor's in same field as doctorate (%)<sup>d</sup>,,3,49.9,49.4,68.2,58.9,53.3,71.7,24.0,49.1,34.9
998,r053,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Master's earned (%),All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Master's earned (%),,3,71.4,53.8,49.4,74.5,82.9,67.6,88.4,85.1,82.2
998,r054,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Age at doctorate (median years),All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Age at doctorate (median years),,3,32.0,31.0,29.3,30.6,32.2,29.5,38.3,33.6,34.4
998,r055,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years),All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Time to doctorate (median years),,3,,,,,,,,,
998,r056,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years) -> From bachelor's,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Time to doctorate (median years),From bachelor's,4,9.3,8.4,6.8,8.0,9.3,7.0,15.0,11.0,11.6
998,r057,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Time to doctorate (median years),From graduate school start,4,7.8,7.0,6.0,7.2,7.8,6.3,12.3,9.3,9.5
998,r058,All doctorate recipients (number)<sup>c</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years) -> From doctoral program start<sup>e</sup>,All doctorate recipients (number)<sup>c</sup>,Female doctorate recipients (number),Time to doctorate (median years),From doctoral program start<sup>e</sup>,4,5.9,5.8,5.6,5.8,6.0,5.3,6.5,7.3,6.0
