table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_level_4,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_total_all_r_d_expenditures_passed_through,field_total_to_educational_subrecipients,field_total_to_business,field_total_to_nonprofit_organizations,field_total_to_other_subrecipients,field_federally_financed_all_r_d_expenditures_passed_through,field_federally_financed_to_educational_subrecipients,field_federally_financed_to_business,field_federally_financed_to_nonprofit_organizations,field_federally_financed_to_other_subrecipients
3189,r062,"United States -> California -> Public -> U. California, Davis",United States,California,Public,"U. California, Davis",4,"['76,108', '']","['42,806', 'i']","['14,507', 'i']","['10,184', 'i']","['8,611', 'i']","['65,464', '']","['37,256', 'i']","['12,408', 'i']","['8,758', 'i']","['7,042', 'i']"
3189,r063,"United States -> California -> Public -> U. California, Irvine",United States,California,Public,"U. California, Irvine",4,"['25,096', '']","['21,281', 'i']","['1,305', 'i']","['2,382', 'i']","['128', 'i']","['22,547', '']","['19,166', 'i']","['1,126', 'i']","['2,255', 'i']","['0', 'i']"
3189,r064,"United States -> California -> Public -> U. California, Los Angeles",United States,California,Public,"U. California, Los Angeles",4,"['115,858', '']","['63,964', 'i']","['22,508', 'i']","['15,770', 'i']","['13,616', 'i']","['94,026', '']","['53,515', 'i']","['17,820', 'i']","['12,580', 'i']","['10,111', 'i']"
3189,r065,"United States -> California -> Public -> U. California, Merced",United States,California,Public,"U. California, Merced",4,"['1,383', '']","['571', 'i']","['204', 'i']","['142', 'i']","['466', 'i']","['1,035', '']","['571', 'i']","['204', 'i']","['142', 'i']","['118', 'i']"
3189,r066,"United States -> California -> Public -> U. California, Office of the President",United States,California,Public,"U. California, Office of the President",4,"['61', '']","['0', 'i']","['0', 'i']","['0', 'i']","['61', 'i']","['61', '']","['0', 'i']","['0', 'i']","['0', 'i']","['61', 'i']"
3189,r067,"United States -> California -> Public -> U. California, Riverside",United States,California,Public,"U. California, Riverside",4,"['11,821', '']","['11,128', 'i']","['302', 'i']","['391', 'i']","['0', 'i']","['9,010', '']","['8,422', 'i']","['197', 'i']","['391', 'i']","['0', 'i']"
3189,r068,"United States -> California -> Public -> U. California, San Diego",United States,California,Public,"U. California, San Diego",4,"['93,150', '']","['52,074', 'i']","['17,769', 'i']","['12,429', 'i']","['10,878', 'i']","['70,503', '']","['40,126', 'i']","['13,361', 'i']","['9,431', 'i']","['7,585', 'i']"
3189,r069,"United States -> California -> Public -> U. California, San Francisco",United States,California,Public,"U. California, San Francisco",4,"['140,015', '']","['77,789', 'i']","['26,938', 'i']","['18,854', 'i']","['16,434', 'i']","['108,487', '']","['61,744', 'i']","['20,560', 'i']","['14,514', 'i']","['11,669', 'i']"
3189,r070,"United States -> California -> Public -> U. California, Santa Barbara",United States,California,Public,"U. California, Santa Barbara",4,"['20,848', '']","['15,742', 'i']","['1,872', 'i']","['681', 'i']","['2,553', 'i']","['15,321', '']","['12,427', 'i']","['1,872', 'i']","['681', 'i']","['341', 'i']"
3189,r071,"United States -> California -> Public -> U. California, Santa Cruz",United States,California,Public,"U. California, Santa Cruz",4,"['11,302', '']","['8,054', 'i']","['1,907', 'i']","['1,341', 'i']","['0', 'i']","['10,398', '']","['7,268', 'i']","['1,789', 'i']","['1,341', 'i']","['0', 'i']"
3189,r072,United States -> California -> Private,United States,California,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3189,r073,United States -> California -> Private -> Azusa Pacific U.,United States,California,Private,Azusa Pacific U.,4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3189,r074,United States -> California -> Private -> Biola U.,United States,California,Private,Biola U.,4,"['91', 'i']","['47', 'i']","['14', 'i']","['23', 'i']","['7', 'i']","['78', 'i']","['43', 'i']","['10', 'i']","['20', 'i']","['5', 'i']"
3189,r075,United States -> California -> Private -> California Institute of Technology,United States,California,Private,California Institute of Technology,4,"['37,257', '']","['31,131', '']","['1,335', '']","['4,062', '']","['729', '']","['34,421', '']","['28,666', '']","['1,281', '']","['3,761', '']","['713', '']"
3189,r076,United States -> California -> Private -> California Lutheran U.,United States,California,Private,California Lutheran U.,4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3189,r077,United States -> California -> Private -> Chapman U.,United States,California,Private,Chapman U.,4,"['1,044', '']","['982', '']","['0', '']","['62', '']","['0', '']","['1,011', '']","['949', '']","['0', '']","['62', '']","['0', '']"
3189,r078,United States -> California -> Private -> Charles R. Drew U. of Medicine and Science,United States,California,Private,Charles R. Drew U. of Medicine and Science,4,"['1,237', '']","['81', '']","['0', '']","['1,156', '']","['0', '']","['1,237', '']","['81', '']","['0', '']","['1,156', '']","['0', '']"
3189,r079,United States -> California -> Private -> Claremont Graduate U.,United States,California,Private,Claremont Graduate U.,4,"['430', '']","['75', '']","['88', '']","['113', '']","['154', '']","['214', '']","['18', '']","['0', '']","['113', '']","['83', '']"
3189,r080,United States -> California -> Private -> Claremont McKenna C.,United States,California,Private,Claremont McKenna C.,4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3189,r081,United States -> California -> Private -> Harvey Mudd C.,United States,California,Private,Harvey Mudd C.,4,"['146', '']","['124', '']","['0', '']","['0', '']","['22', '']","['146', '']","['124', '']","['0', '']","['0', '']","['22', '']"
3189,r082,United States -> California -> Private -> Keck Graduate Institute,United States,California,Private,Keck Graduate Institute,4,"['389', 'i']","['122', 'i']","['256', 'i']","['0', 'i']","['11', 'i']","['389', 'i']","['122', 'i']","['256', 'i']","['0', 'i']","['11', 'i']"
3189,r083,United States -> California -> Private -> La Sierra U.,United States,California,Private,La Sierra U.,4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3189,r084,United States -> California -> Private -> Loma Linda U.,United States,California,Private,Loma Linda U.,4,"['860', 'i']","['576', 'i']","['0', 'i']","['75', 'i']","['209', 'i']","['602', 'i']","['572', 'i']","['0', 'i']","['30', 'i']","['0', 'i']"
3189,r085,United States -> California -> Private -> Loyola Marymount U.,United States,California,Private,Loyola Marymount U.,4,"['239', '']","['239', '']","['0', '']","['0', '']","['0', '']","['239', '']","['239', '']","['0', '']","['0', '']","['0', '']"
3189,r086,United States -> California -> Private -> Marshall B. Ketchum U.,United States,California,Private,Marshall B. Ketchum U.,4,"['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
3189,r087,United States -> California -> Private -> Mills C.,United States,California,Private,Mills C.,4,"['226', '']","['0', '']","['0', '']","['226', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3189,r088,United States -> California -> Private -> Occidental C.,United States,California,Private,Occidental C.,4,"['213', '']","['137', '']","['0', '']","['76', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3189,r089,United States -> California -> Private -> Pepperdine U.,United States,California,Private,Pepperdine U.,4,"['NA', '']","['NA', '']","['NA', '']","['NA', '']","['NA', '']","['NA', '']","['NA', '']","['NA', '']","['NA', '']","['NA', '']"
3189,r090,United States -> California -> Private -> Pomona C.,United States,California,Private,Pomona C.,4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3189,r091,United States -> California -> Private -> Santa Clara U.,United States,California,Private,Santa Clara U.,4,"['76', '']","['36', '']","['0', '']","['0', '']","['40', '']","['33', '']","['33', '']","['0', '']","['0', '']","['0', '']"
3189,r092,United States -> California -> Private -> Scripps Research Institute,United States,California,Private,Scripps Research Institute,4,"['44,230', '']","['17,106', '']","['16,684', '']","['10,284', '']","['156', '']","['43,374', '']","['16,733', '']","['16,684', '']","['9,827', '']","['130', '']"
3189,r093,United States -> California -> Private -> Stanford U.,United States,California,Private,Stanford U.,4,"['78,624', '']","['52,632', '']","['7,765', '']","['7,518', '']","['10,709', '']","['57,949', '']","['40,729', '']","['3,874', '']","['5,955', '']","['7,391', '']"
3189,r094,United States -> California -> Private -> Touro U.,United States,California,Private,Touro U.,4,"['203', '']","['203', '']","['0', '']","['0', '']","['0', '']","['203', '']","['203', '']","['0', '']","['0', '']","['0', '']"
3189,r095,United States -> California -> Private -> U. of the Pacific,United States,California,Private,U. of the Pacific,4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3189,r096,United States -> California -> Private -> U. San Diego,United States,California,Private,U. San Diego,4,"['505', '']","['293', '']","['0', '']","['212', '']","['0', '']","['406', '']","['194', '']","['0', '']","['212', '']","['0', '']"
3189,r097,United States -> California -> Private -> U. San Francisco,United States,California,Private,U. San Francisco,4,"['96', '']","['40', '']","['0', '']","['40', '']","['16', '']","['48', '']","['32', '']","['0', '']","['0', '']","['16', '']"
3189,r098,United States -> California -> Private -> U. Southern California,United States,California,Private,U. Southern California,4,"['126,571', '']","['76,872', '']","['20,686', '']","['23,972', '']","['5,041', '']","['95,496', '']","['58,227', '']","['15,587', '']","['17,890', '']","['3,792', '']"
3189,r099,United States -> California -> Private -> Western U. of Health Sciences,United States,California,Private,Western U. of Health Sciences,4,"['294', '']","['288', '']","['0', '']","['0', '']","['6', '']","['294', '']","['288', '']","['0', '']","['0', '']","['6', '']"
3189,r100,United States -> Colorado,United States,Colorado,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3189,r101,United States -> Colorado -> Public,United States,Colorado,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3189,r102,United States -> Colorado -> Public -> Colorado School of Mines,United States,Colorado,Public,Colorado School of Mines,4,"['8,154', '']","['5,252', '']","['2,417', '']","['398', '']","['87', '']","['7,930', '']","['5,166', '']","['2,279', '']","['398', '']","['87', '']"
3189,r103,"United States -> Colorado -> Public -> Colorado State U., Fort Collins",United States,Colorado,Public,"Colorado State U., Fort Collins",4,"['25,766', '']","['20,419', '']","['2,936', '']","['1,551', '']","['860', '']","['24,023', '']","['19,188', '']","['2,732', '']","['1,374', '']","['729', '']"
3189,r104,"United States -> Colorado -> Public -> Colorado State U., Pueblo",United States,Colorado,Public,"Colorado State U., Pueblo",4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3189,r105,United States -> Colorado -> Public -> Fort Lewis C.,United States,Colorado,Public,Fort Lewis C.,4,"['31', '']","['31', '']","['0', '']","['0', '']","['0', '']","['31', '']","['31', '']","['0', '']","['0', '']","['0', '']"
3189,r106,United States -> Colorado -> Public -> U. Colorado Boulder,United States,Colorado,Public,U. Colorado Boulder,4,"['54,077', '']","['32,314', '']","['11,110', '']","['3,087', '']","['7,566', '']","['42,554', '']","['26,954', '']","['6,633', '']","['2,613', '']","['6,354', '']"
3189,r107,United States -> Colorado -> Public -> U. Colorado Colorado Springs,United States,Colorado,Public,U. Colorado Colorado Springs,4,"['170', '']","['170', '']","['0', '']","['0', '']","['0', '']","['156', '']","['156', '']","['0', '']","['0', '']","['0', '']"
3189,r108,United States -> Colorado -> Public -> U. Colorado Denver and Anschutz Medical Campus,United States,Colorado,Public,U. Colorado Denver and Anschutz Medical Campus,4,"['53,983', '']","['24,786', '']","['4,736', '']","['18,636', '']","['5,825', '']","['44,216', '']","['21,183', '']","['3,156', '']","['15,402', '']","['4,475', '']"
3189,r109,United States -> Colorado -> Public -> U. Northern Colorado,United States,Colorado,Public,U. Northern Colorado,4,"['13', '']","['13', '']","['0', '']","['0', '']","['0', '']","['13', '']","['13', '']","['0', '']","['0', '']","['0', '']"
3189,r110,United States -> Colorado -> Public -> U.S. Air Force Academy,United States,Colorado,Public,U.S. Air Force Academy,4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3189,r111,United States -> Colorado -> Private,United States,Colorado,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3189,r112,United States -> Colorado -> Private -> Colorado C.,United States,Colorado,Private,Colorado C.,4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3189,r113,United States -> Colorado -> Private -> U. Denver,United States,Colorado,Private,U. Denver,4,"['5,457', '']","['1,788', '']","['966', '']","['2,696', '']","['7', '']","['4,959', '']","['1,637', '']","['867', '']","['2,448', '']","['7', '']"
3189,r114,United States -> Connecticut,United States,Connecticut,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3189,r115,United States -> Connecticut -> Public,United States,Connecticut,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
