table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_2016,field_2017,field_2018,field_2019_total,field_2019_principal_investigators,field_2019_other_personnel
3191,r011,Alabama -> Private,Alabama,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r012,Alabama -> Private -> Tuskegee U.,Alabama,Private,Tuskegee U.,3,"['47', '']","['47', '']","['47', '']","['47', '']","['7', '']","['40', '']"
3191,r013,Alaska,Alaska,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r014,Alaska -> Public,Alaska,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r015,"Alaska -> Public -> U. Alaska, Anchorage",Alaska,Public,"U. Alaska, Anchorage",3,"['274', '']","['283', '']","['255', '']","['270', '']","['59', '']","['211', '']"
3191,r016,"Alaska -> Public -> U. Alaska, Fairbanks",Alaska,Public,"U. Alaska, Fairbanks",3,"['1,258', '']","['1,183', '']","['1,159', '']","['1,156', '']","['220', '']","['936', '']"
3191,r017,"Alaska -> Public -> U. Alaska, Southeast",Alaska,Public,"U. Alaska, Southeast",3,"['23', '']","['26', '']","['19', '']","['21', '']","['2', '']","['19', '']"
3191,r018,Alaska -> Private,Alaska,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r019,Alaska -> Private -> Alaska Pacific U.,Alaska,Private,Alaska Pacific U.,3,"['69', '']","['44', '']","['45', '']","['59', '']","['22', '']","['37', '']"
3191,r020,Arizona,Arizona,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r021,Arizona -> Public,Arizona,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r022,Arizona -> Public -> Arizona State U.,Arizona,Public,Arizona State U.,3,"['7,292', '']","['8,792', '']","['8,736', '']","['9,783', '']","['1,155', '']","['8,628', '']"
3191,r023,Arizona -> Public -> Dine C.,Arizona,Public,Dine C.,3,"['ne', '']","['ne', '']","['77', '']","['58', '']","['8', '']","['50', '']"
3191,r024,Arizona -> Public -> Northern Arizona U.,Arizona,Public,Northern Arizona U.,3,"['922', 'i']","['907', '']","['1,096', '']","['1,250', '']","['228', '']","['1,022', '']"
3191,r025,Arizona -> Public -> U. Arizona,Arizona,Public,U. Arizona,3,"['7,884', '']","['7,968', '']","['8,412', '']","['8,681', '']","['1,539', '']","['7,142', '']"
3191,r026,Arizona -> Private,Arizona,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r027,Arizona -> Private -> Southwest C. of Naturopathic Medicine and Health Sciences,Arizona,Private,Southwest C. of Naturopathic Medicine and Health Sciences,3,"['ne', '']","['ne', '']","['ne', '']","['3', '']","['1', '']","['2', '']"
3191,r028,Arkansas,Arkansas,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r029,Arkansas -> Public,Arkansas,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r030,"Arkansas -> Public -> Arkansas State U., Jonesboro",Arkansas,Public,"Arkansas State U., Jonesboro",3,"['314', '']","['279', '']","['265', '']","['295', '']","['40', '']","['255', '']"
3191,r031,Arkansas -> Public -> U. Arkansas for Medical Sciences,Arkansas,Public,U. Arkansas for Medical Sciences,3,"['1,213', '']","['1,145', '']","['1,099', '']","['1,163', '']","['428', '']","['735', '']"
3191,r032,"Arkansas -> Public -> U. Arkansas, Fayetteville",Arkansas,Public,"U. Arkansas, Fayetteville",3,"['3,456', '']","['3,625', '']","['2,522', '']","['2,526', '']","['354', '']","['2,172', '']"
3191,r033,"Arkansas -> Public -> U. Arkansas, Little Rock",Arkansas,Public,"U. Arkansas, Little Rock",3,"['226', '']","['219', '']","['261', '']","['251', '']","['25', '']","['226', '']"
3191,r034,"Arkansas -> Public -> U. Arkansas, Pine Bluff",Arkansas,Public,"U. Arkansas, Pine Bluff",3,"['270', '']","['269', '']","['229', '']","['200', '']","['16', '']","['184', '']"
3191,r035,Arkansas -> Public -> U. Central Arkansas,Arkansas,Public,U. Central Arkansas,3,"['166', '']","['134', '']","['163', '']","['167', '']","['27', '']","['140', '']"
3191,r036,California,California,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r037,California -> Public,California,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r038,"California -> Public -> California Polytechnic State U., San Luis Obispo",California,Public,"California Polytechnic State U., San Luis Obispo",3,"['731', '']","['795', '']","['886', '']","['971', '']","['160', '']","['811', '']"
3191,r039,"California -> Public -> California State Polytechnic U., Pomona",California,Public,"California State Polytechnic U., Pomona",3,"['385', '']","['414', '']","['418', '']","['412', '']","['62', '']","['350', '']"
3191,r040,"California -> Public -> California State U., Bakersfield",California,Public,"California State U., Bakersfield",3,"['115', '']","['195', '']","['142', '']","['354', '']","['27', '']","['327', '']"
3191,r041,"California -> Public -> California State U., Channel Islands",California,Public,"California State U., Channel Islands",3,"['76', '']","['18', '']","['30', '']","['32', '']","['7', '']","['25', '']"
3191,r042,"California -> Public -> California State U., Chico",California,Public,"California State U., Chico",3,"['181', '']","['177', '']","['157', '']","['209', '']","['56', '']","['153', '']"
3191,r043,"California -> Public -> California State U., Dominguez Hills",California,Public,"California State U., Dominguez Hills",3,"['167', '']","['82', '']","['93', '']","['101', '']","['6', '']","['95', '']"
3191,r044,"California -> Public -> California State U., Fresno",California,Public,"California State U., Fresno",3,"['413', '']","['433', '']","['436', '']","['437', '']","['95', '']","['342', '']"
3191,r045,"California -> Public -> California State U., Fullerton",California,Public,"California State U., Fullerton",3,"['511', '']","['360', '']","['367', '']","['574', '']","['54', '']","['520', '']"
3191,r046,"California -> Public -> California State U., Long Beach",California,Public,"California State U., Long Beach",3,"['567', '']","['893', '']","['874', '']","['744', '']","['106', '']","['638', '']"
3191,r047,"California -> Public -> California State U., Los Angeles",California,Public,"California State U., Los Angeles",3,"['96', '']","['181', '']","['265', '']","['272', '']","['65', '']","['207', '']"
3191,r048,"California -> Public -> California State U., Maritime Academy",California,Public,"California State U., Maritime Academy",3,"['11', '']","['8', '']","['36', '']","['36', '']","['9', '']","['27', '']"
3191,r049,"California -> Public -> California State U., Monterey Bay",California,Public,"California State U., Monterey Bay",3,"['163', '']","['148', '']","['151', '']","['175', '']","['25', '']","['150', '']"
3191,r050,"California -> Public -> California State U., Northridge",California,Public,"California State U., Northridge",3,"['469', '']","['451', '']","['530', '']","['642', '']","['88', '']","['554', '']"
3191,r051,"California -> Public -> California State U., Sacramento",California,Public,"California State U., Sacramento",3,"['365', '']","['517', '']","['515', '']","['904', '']","['78', '']","['826', '']"
3191,r052,"California -> Public -> California State U., San Bernardino",California,Public,"California State U., San Bernardino",3,"['377', '']","['686', '']","['976', '']","['710', '']","['65', '']","['645', '']"
3191,r053,"California -> Public -> California State U., San Marcos",California,Public,"California State U., San Marcos",3,"['213', '']","['215', '']","['301', '']","['302', '']","['64', '']","['238', '']"
3191,r054,"California -> Public -> California State U., Stanislaus",California,Public,"California State U., Stanislaus",3,"['65', '']","['105', '']","['112', '']","['135', '']","['44', '']","['91', '']"
3191,r055,California -> Public -> Humboldt State U.,California,Public,Humboldt State U.,3,"['878', '']","['939', '']","['1,064', '']","['1,017', '']","['57', '']","['960', '']"
3191,r056,California -> Public -> Naval Postgraduate School,California,Public,Naval Postgraduate School,3,"['612', '']","['581', '']","['452', '']","['422', '']","['218', '']","['204', '']"
3191,r057,California -> Public -> San Diego State U.,California,Public,San Diego State U.,3,"['1,464', '']","['1,507', '']","['1,385', '']","['1,428', '']","['367', '']","['1,061', '']"
3191,r058,California -> Public -> San Francisco State U.,California,Public,San Francisco State U.,3,"['747', '']","['732', '']","['731', '']","['1,026', '']","['455', '']","['571', '']"
3191,r059,California -> Public -> San Jose State U.,California,Public,San Jose State U.,3,"['647', '']","['674', '']","['765', '']","['747', '']","['102', '']","['645', '']"
3191,r060,"California -> Public -> U. California, Berkeley",California,Public,"U. California, Berkeley",3,"['9,755', '']","['9,439', '']","['9,574', '']","['9,575', '']","['1,144', '']","['8,431', '']"
3191,r061,"California -> Public -> U. California, Davis",California,Public,"U. California, Davis",3,"['10,723', '']","['10,561', '']","['10,552', '']","['10,727', '']","['1,197', '']","['9,530', '']"
3191,r062,"California -> Public -> U. California, Irvine",California,Public,"U. California, Irvine",3,"['4,551', '']","['4,559', '']","['4,789', '']","['4,882', '']","['711', '']","['4,171', '']"
3191,r063,"California -> Public -> U. California, Los Angeles",California,Public,"U. California, Los Angeles",3,"['11,748', '']","['11,759', '']","['11,949', '']","['11,582', '']","['1,335', '']","['10,247', '']"
3191,r064,"California -> Public -> U. California, Merced",California,Public,"U. California, Merced",3,"['723', '']","['819', '']","['926', '']","['926', '']","['171', '']","['755', '']"
3191,r065,"California -> Public -> U. California, Office of the President",California,Public,"U. California, Office of the President",3,"['102', '']","['90', '']","['87', '']","['95', '']","['0', '']","['95', '']"
3191,r066,"California -> Public -> U. California, Riverside",California,Public,"U. California, Riverside",3,"['2,695', '']","['2,771', '']","['2,826', '']","['3,004', '']","['446', '']","['2,558', '']"
3191,r067,"California -> Public -> U. California, San Diego",California,Public,"U. California, San Diego",3,"['10,745', '']","['10,843', '']","['10,935', '']","['11,195', '']","['1,130', '']","['10,065', '']"
3191,r068,"California -> Public -> U. California, San Francisco",California,Public,"U. California, San Francisco",3,"['8,727', '']","['8,939', '']","['9,163', '']","['9,463', '']","['601', '']","['8,862', '']"
3191,r069,"California -> Public -> U. California, Santa Barbara",California,Public,"U. California, Santa Barbara",3,"['3,450', '']","['3,302', '']","['3,447', '']","['3,770', '']","['419', '']","['3,351', '']"
3191,r070,"California -> Public -> U. California, Santa Cruz",California,Public,"U. California, Santa Cruz",3,"['2,429', '']","['2,299', '']","['2,297', '']","['2,319', '']","['242', '']","['2,077', '']"
3191,r071,California -> Private,California,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r072,California -> Private -> Azusa Pacific U.,California,Private,Azusa Pacific U.,3,"['546', '']","['511', '']","['466', '']","['287', '']","['46', '']","['241', '']"
3191,r073,California -> Private -> Biola U.,California,Private,Biola U.,3,"['123', 'i']","['240', 'i']","['240', 'i']","['248', 'i']","['73', 'i']","['175', 'i']"
3191,r074,California -> Private -> California Institute of Technology,California,Private,California Institute of Technology,3,"['2,350', '']","['2,467', '']","['1,955', '']","['2,450', '']","['323', '']","['2,127', '']"
3191,r075,California -> Private -> California Lutheran U.,California,Private,California Lutheran U.,3,"['ne', '']","['ne', '']","['ne', '']","['11', '']","['8', '']","['3', '']"
3191,r076,California -> Private -> Chapman U.,California,Private,Chapman U.,3,"['168', '']","['210', '']","['170', '']","['217', '']","['69', '']","['148', '']"
3191,r077,California -> Private -> Charles R. Drew U. of Medicine and Science,California,Private,Charles R. Drew U. of Medicine and Science,3,"['185', '']","['185', '']","['210', '']","['63', '']","['39', '']","['24', '']"
3191,r078,California -> Private -> Claremont Graduate U.,California,Private,Claremont Graduate U.,3,"['86', 'i']","['86', 'i']","['86', 'i']","['86', '']","['22', '']","['64', '']"
3191,r079,California -> Private -> Claremont McKenna C.,California,Private,Claremont McKenna C.,3,"['30', 'i']","['434', 'i']","['434', 'i']","['434', '']","['26', '']","['408', '']"
3191,r080,California -> Private -> Harvey Mudd C.,California,Private,Harvey Mudd C.,3,"['286', '']","['255', '']","['224', '']","['176', '']","['56', '']","['120', '']"
3191,r081,California -> Private -> Keck Graduate Institute,California,Private,Keck Graduate Institute,3,"['48', 'i']","['249', 'i']","['70', 'i']","['78', 'i']","['74', 'i']","['4', 'i']"
3191,r082,California -> Private -> La Sierra U.,California,Private,La Sierra U.,3,"['47', '']","['49', '']","['28', '']","['31', '']","['17', '']","['14', '']"
3191,r083,California -> Private -> Loma Linda U.,California,Private,Loma Linda U.,3,"['279', '']","['313', '']","['313', 'i']","['228', 'i']","['104', 'i']","['124', 'i']"
3191,r084,California -> Private -> Loyola Marymount U.,California,Private,Loyola Marymount U.,3,"['407', '']","['428', '']","['433', '']","['423', '']","['89', '']","['334', '']"
3191,r085,California -> Private -> Marshall B. Ketchum U.,California,Private,Marshall B. Ketchum U.,3,"['13', 'i']","['124', 'i']","['123', 'i']","['139', 'i']","['44', 'i']","['95', 'i']"
3191,r086,California -> Private -> Mills C.,California,Private,Mills C.,3,"['11', '']","['14', '']","['13', '']","['22', '']","['6', '']","['16', '']"
3191,r087,California -> Private -> Occidental C.,California,Private,Occidental C.,3,"['56', '']","['59', '']","['78', '']","['95', '']","['12', '']","['83', '']"
3191,r088,California -> Private -> Pepperdine U.,California,Private,Pepperdine U.,3,"['143', 'i']","['236', 'i']","['219', 'i']","['201', 'i']","['52', 'i']","['149', 'i']"
3191,r089,California -> Private -> Pomona C.,California,Private,Pomona C.,3,"['361', '']","['328', '']","['310', '']","['266', '']","['35', '']","['231', '']"
3191,r090,California -> Private -> Santa Clara U.,California,Private,Santa Clara U.,3,"['121', 'i']","['205', 'i']","['214', 'i']","['212', 'i']","['49', '']","['163', 'i']"
3191,r091,California -> Private -> Scripps Research Institute,California,Private,Scripps Research Institute,3,"['2,145', '']","['2,498', '']","['2,122', '']","['1,934', '']","['211', '']","['1,723', '']"
3191,r092,California -> Private -> Stanford U.,California,Private,Stanford U.,3,"['9,476', '']","['9,773', '']","['10,767', '']","['11,169', '']","['1,714', '']","['9,455', '']"
3191,r093,California -> Private -> Touro U.,California,Private,Touro U.,3,"['40', '']","['35', '']","['44', '']","['39', '']","['14', '']","['25', '']"
3191,r094,California -> Private -> U. of the Pacific,California,Private,U. of the Pacific,3,"['84', '']","['54', '']","['75', '']","['61', '']","['20', '']","['41', '']"
3191,r095,California -> Private -> U. San Diego,California,Private,U. San Diego,3,"['246', '']","['141', '']","['161', '']","['188', '']","['50', '']","['138', '']"
3191,r096,California -> Private -> U. San Francisco,California,Private,U. San Francisco,3,"['262', '']","['272', '']","['245', '']","['225', '']","['22', '']","['203', '']"
3191,r097,California -> Private -> U. Southern California,California,Private,U. Southern California,3,"['6,689', '']","['6,973', '']","['8,696', '']","['11,344', '']","['1,680', '']","['9,664', '']"
3191,r098,California -> Private -> Western U. of Health Sciences,California,Private,Western U. of Health Sciences,3,"['74', '']","['77', '']","['79', '']","['80', '']","['17', '']","['63', '']"
3191,r099,Colorado,Colorado,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r100,Colorado -> Public,Colorado,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r101,Colorado -> Public -> Colorado School of Mines,Colorado,Public,Colorado School of Mines,3,"['1,391', '']","['1,152', '']","['1,483', '']","['1,585', '']","['220', '']","['1,365', '']"
3191,r102,"Colorado -> Public -> Colorado State U., Fort Collins",Colorado,Public,"Colorado State U., Fort Collins",3,"['9,193', 'i']","['4,806', 'i']","['5,061', 'i']","['5,533', 'i']","['1,096', '']","['4,437', 'i']"
3191,r103,"Colorado -> Public -> Colorado State U., Pueblo",Colorado,Public,"Colorado State U., Pueblo",3,"['ne', '']","['ne', '']","['ne', '']","['22', 'i']","['2', 'i']","['20', 'i']"
3191,r104,Colorado -> Public -> Fort Lewis C.,Colorado,Public,Fort Lewis C.,3,"['ne', '']","['ne', '']","['ne', '']","['156', '']","['26', '']","['130', '']"
3191,r105,Colorado -> Public -> U. Colorado Boulder,Colorado,Public,U. Colorado Boulder,3,"['3,091', '']","['3,132', '']","['5,789', '']","['5,977', '']","['1,351', '']","['4,626', '']"
3191,r106,Colorado -> Public -> U. Colorado Colorado Springs,Colorado,Public,U. Colorado Colorado Springs,3,"['247', '']","['219', '']","['177', '']","['179', '']","['53', '']","['126', '']"
3191,r107,Colorado -> Public -> U. Colorado Denver and Anschutz Medical Campus,Colorado,Public,U. Colorado Denver and Anschutz Medical Campus,3,"['5,419', '']","['5,466', '']","['5,488', '']","['5,604', '']","['1,016', '']","['4,588', '']"
3191,r108,Colorado -> Public -> U. Northern Colorado,Colorado,Public,U. Northern Colorado,3,"['235', '']","['234', '']","['291', '']","['267', '']","['48', '']","['219', '']"
3191,r109,Colorado -> Public -> U.S. Air Force Academy,Colorado,Public,U.S. Air Force Academy,3,"['704', 'i']","['703', 'i']","['618', 'i']","['677', 'i']","['136', '']","['541', 'i']"
3191,r110,Colorado -> Private,Colorado,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r111,Colorado -> Private -> Colorado C.,Colorado,Private,Colorado C.,3,"['48', '']","['63', '']","['68', '']","['49', '']","['15', '']","['34', '']"
3191,r112,Colorado -> Private -> U. Denver,Colorado,Private,U. Denver,3,"['348', '']","['443', '']","['696', '']","['806', '']","['121', '']","['685', '']"
3191,r113,Connecticut,Connecticut,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r114,Connecticut -> Public,Connecticut,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r115,Connecticut -> Public -> Central Connecticut State U.,Connecticut,Public,Central Connecticut State U.,3,"['114', '']","['105', '']","['ne', '']","['142', '']","['63', '']","['79', '']"
3191,r116,Connecticut -> Public -> Eastern Connecticut State U.,Connecticut,Public,Eastern Connecticut State U.,3,"['70', '']","['70', '']","['82', '']","['75', '']","['30', '']","['45', '']"
3191,r117,Connecticut -> Public -> Southern Connecticut State U.,Connecticut,Public,Southern Connecticut State U.,3,"['175', '']","['165', '']","['165', '']","['255', '']","['133', '']","['122', '']"
3191,r118,Connecticut -> Public -> U. Connecticut,Connecticut,Public,U. Connecticut,3,"['4,892', '']","['5,034', '']","['5,388', '']","['5,363', '']","['798', '']","['4,565', '']"
3191,r119,Connecticut -> Private,Connecticut,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r120,Connecticut -> Private -> Connecticut C.,Connecticut,Private,Connecticut C.,3,"['17', '']","['15', '']","['14', '']","['21', '']","['10', '']","['11', '']"
3191,r121,Connecticut -> Private -> Fairfield U.,Connecticut,Private,Fairfield U.,3,"['92', 'i']","['92', 'i']","['92', 'i']","['92', '']","['10', '']","['82', '']"
3191,r122,"Connecticut -> Private -> Trinity C., Hartford",Connecticut,Private,"Trinity C., Hartford",3,"['57', '']","['55', '']","['53', '']","['62', '']","['9', '']","['53', '']"
3191,r123,Connecticut -> Private -> U. Hartford,Connecticut,Private,U. Hartford,3,"['41', 'i']","['41', 'i']","['35', 'i']","['40', '']","['19', '']","['21', '']"
3191,r124,Connecticut -> Private -> U. New Haven,Connecticut,Private,U. New Haven,3,"['198', '']","['308', '']","['461', '']","['450', '']","['56', '']","['394', '']"
3191,r125,Connecticut -> Private -> Wesleyan U.,Connecticut,Private,Wesleyan U.,3,"['204', '']","['200', '']","['243', '']","['232', '']","['30', '']","['202', '']"
3191,r126,Connecticut -> Private -> Yale U.,Connecticut,Private,Yale U.,3,"['8,425', '']","['7,882', '']","['7,119', '']","['6,475', '']","['1,194', '']","['5,281', '']"
3191,r127,Delaware,Delaware,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r128,Delaware -> Public,Delaware,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r129,Delaware -> Public -> Delaware State U.,Delaware,Public,Delaware State U.,3,"['278', '']","['227', '']","['236', '']","['236', 'i']","['37', 'i']","['199', 'i']"
3191,r130,Delaware -> Public -> U. Delaware,Delaware,Public,U. Delaware,3,"['3,071', '']","['3,083', '']","['3,007', '']","['3,093', '']","['611', '']","['2,482', '']"
3191,r131,District of Columbia,District of Columbia,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r132,District of Columbia -> Public,District of Columbia,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r133,District of Columbia -> Public -> National Defense U.,District of Columbia,Public,National Defense U.,3,"['46', '']","['47', '']","['30', '']","['26', '']","['19', '']","['7', '']"
3191,r134,District of Columbia -> Public -> U. of the District of Columbia,District of Columbia,Public,U. of the District of Columbia,3,"['92', '']","['106', '']","['92', '']","['121', '']","['24', '']","['97', '']"
3191,r135,District of Columbia -> Private,District of Columbia,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r136,District of Columbia -> Private -> American U.,District of Columbia,Private,American U.,3,"['1,116', '']","['1,132', '']","['1,066', '']","['1,311', '']","['173', '']","['1,138', '']"
3191,r137,District of Columbia -> Private -> Catholic U. of America,District of Columbia,Private,Catholic U. of America,3,"['406', '']","['450', '']","['205', '']","['235', '']","['67', '']","['168', '']"
3191,r138,District of Columbia -> Private -> Gallaudet U.,District of Columbia,Private,Gallaudet U.,3,"['82', '']","['142', '']","['116', '']","['107', '']","['13', '']","['94', '']"
3191,r139,District of Columbia -> Private -> George Washington U.,District of Columbia,Private,George Washington U.,3,"['2,797', '']","['2,806', '']","['2,695', '']","['3,039', '']","['917', '']","['2,122', '']"
3191,r140,District of Columbia -> Private -> Georgetown U.,District of Columbia,Private,Georgetown U.,3,"['2,281', '']","['2,413', '']","['2,584', '']","['2,710', '']","['373', '']","['2,337', '']"
3191,r141,District of Columbia -> Private -> Howard U.,District of Columbia,Private,Howard U.,3,"['710', '']","['660', '']","['682', '']","['629', '']","['115', '']","['514', '']"
3191,r142,Florida,Florida,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r143,Florida -> Public,Florida,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r144,Florida -> Public -> Florida A&M U.,Florida,Public,Florida A&M U.,3,"['1,572', '']","['1,437', '']","['899', '']","['908', '']","['108', '']","['800', '']"
3191,r145,Florida -> Public -> Florida Atlantic U.,Florida,Public,Florida Atlantic U.,3,"['416', '']","['563', '']","['719', '']","['826', '']","['195', '']","['631', '']"
3191,r146,Florida -> Public -> Florida Gulf Coast U.,Florida,Public,Florida Gulf Coast U.,3,"['572', '']","['542', '']","['509', '']","['552', '']","['105', '']","['447', '']"
3191,r147,Florida -> Public -> Florida International U.,Florida,Public,Florida International U.,3,"['3,307', '']","['3,641', '']","['4,220', '']","['4,401', '']","['517', '']","['3,884', '']"
3191,r148,Florida -> Public -> Florida Polytechnic U.,Florida,Public,Florida Polytechnic U.,3,"['ne', '']","['ne', '']","['ne', '']","['79', '']","['48', '']","['31', '']"
3191,r149,Florida -> Public -> Florida State U.,Florida,Public,Florida State U.,3,"['5,129', '']","['4,690', '']","['4,639', '']","['4,305', '']","['584', '']","['3,721', '']"
3191,r150,Florida -> Public -> U. Central Florida,Florida,Public,U. Central Florida,3,"['3,269', '']","['3,362', '']","['3,509', '']","['3,740', '']","['560', '']","['3,180', '']"
3191,r151,Florida -> Public -> U. Florida,Florida,Public,U. Florida,3,"['9,744', 'i']","['9,372', 'i']","['9,569', 'i']","['10,316', 'i']","['1,706', 'i']","['8,610', 'i']"
3191,r152,Florida -> Public -> U. North Florida,Florida,Public,U. North Florida,3,"['341', '']","['347', '']","['342', '']","['382', '']","['31', '']","['351', '']"
3191,r153,"Florida -> Public -> U. South Florida, Saint Petersburg",Florida,Public,"U. South Florida, Saint Petersburg",3,"['240', '']","['152', '']","['136', '']","['146', '']","['91', '']","['55', '']"
3191,r154,"Florida -> Public -> U. South Florida, Sarasota-Manatee",Florida,Public,"U. South Florida, Sarasota-Manatee",3,"['66', '']","['63', '']","['63', '']","['61', '']","['37', '']","['24', '']"
3191,r155,"Florida -> Public -> U. South Florida, Tampa",Florida,Public,"U. South Florida, Tampa",3,"['4,197', '']","['4,327', '']","['2,272', '']","['3,501', '']","['1,221', '']","['2,280', '']"
3191,r156,Florida -> Public -> U. West Florida,Florida,Public,U. West Florida,3,"['387', '']","['592', '']","['286', '']","['339', '']","['50', '']","['289', '']"
3191,r157,Florida -> Private,Florida,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r158,Florida -> Private -> Bethune-Cookman U.,Florida,Private,Bethune-Cookman U.,3,"['ne', '']","['ne', '']","['50', '']","['60', '']","['15', '']","['45', '']"
3191,r159,Florida -> Private -> Embry-Riddle Aeronautical U.,Florida,Private,Embry-Riddle Aeronautical U.,3,"['148', '']","['140', '']","['194', '']","['183', '']","['113', '']","['70', '']"
3191,r160,Florida -> Private -> Florida Institute of Technology,Florida,Private,Florida Institute of Technology,3,"['431', '']","['463', '']","['426', '']","['433', '']","['75', '']","['358', '']"
3191,r161,Florida -> Private -> Nova Southeastern U.,Florida,Private,Nova Southeastern U.,3,"['339', '']","['361', '']","['327', '']","['420', '']","['58', '']","['362', '']"
3191,r162,Florida -> Private -> U. Miami,Florida,Private,U. Miami,3,"['3,829', '']","['3,943', '']","['3,842', '']","['3,948', '']","['821', '']","['3,127', '']"
3191,r163,Georgia,Georgia,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r164,Georgia -> Public,Georgia,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3191,r165,Georgia -> Public -> Albany State U.,Georgia,Public,Albany State U.,3,"['53', '']","['40', '']","['43', '']","['32', '']","['14', '']","['18', '']"
3191,r166,Georgia -> Public -> Augusta U.,Georgia,Public,Augusta U.,3,"['1,502', '']","['1,544', '']","['1,525', '']","['1,420', '']","['320', '']","['1,100', '']"
3191,r167,Georgia -> Public -> Fort Valley State U.,Georgia,Public,Fort Valley State U.,3,"['210', '']","['225', '']","['182', '']","['132', '']","['9', '']","['123', '']"
