table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_total_agricultural_sciences_and_natural_resources_conservation_2016,field_total_agricultural_sciences_and_natural_resources_conservation_2017,field_total_agricultural_sciences_and_natural_resources_conservation_2018,field_total_agricultural_sciences_and_natural_resources_conservation_2019,field__agricultural_sciences_2019,field__natural_resources_and_conservation_2019,field_federally_financed_agricultural_sciences_and_natural_resources_conservation_2016,field_federally_financed_agricultural_sciences_and_natural_resources_conservation_2017,field_federally_financed_agricultural_sciences_and_natural_resources_conservation_2018,field_federally_financed_agricultural_sciences_and_natural_resources_conservation_2019,field__agricultural_sciences_2019,field__natural_resources_and_conservation_2019
3160,r014,All institutions -> Washington State U.,All institutions,Washington State U.,2,13,"['101,892', '']","['101,501', '']","['100,525', '']","['106,954', '']","['105,278', '']","['1,676', '']","['32,593', '']","['37,255', '']","['27,763', '']","['26,881', '']","['26,750', '']","['131', '']"
3160,r015,All institutions -> Virginia Polytechnic Institute and State U.,All institutions,Virginia Polytechnic Institute and State U.,2,14,"['108,244', '']","['100,934', '']","['96,684', '']","['100,295', '']","['73,691', '']","['26,604', '']","['34,106', '']","['28,301', '']","['27,335', '']","['29,316', '']","['19,431', '']","['9,885', '']"
3160,r016,All institutions -> U. Georgia,All institutions,U. Georgia,2,15,"['89,453', '']","['88,456', '']","['87,780', '']","['100,059', '']","['100,006', '']","['53', '']","['30,029', '']","['32,284', '']","['30,145', '']","['30,966', '']","['30,966', '']","['0', '']"
3160,r017,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,16,"['90,511', '']","['87,362', '']","['101,090', '']","['96,302', '']","['95,580', '']","['722', '']","['38,689', '']","['37,207', '']","['37,751', '']","['37,565', '']","['37,503', '']","['62', '']"
3160,r018,All institutions -> Oregon State U.,All institutions,Oregon State U.,2,17,"['84,438', '']","['87,700', '']","['93,555', '']","['93,606', '']","['75,734', '']","['17,872', '']","['33,999', '']","['33,957', '']","['35,539', '']","['37,641', '']","['27,710', '']","['9,931', '']"
3160,r019,All institutions -> Kansas State U.,All institutions,Kansas State U.,2,18,"['81,470', '']","['85,334', '']","['83,800', '']","['85,363', '']","['85,363', '']","['0', '']","['23,135', '']","['26,666', '']","['24,565', '']","['23,652', '']","['23,652', '']","['0', '']"
3160,r020,All institutions -> North Dakota State U.,All institutions,North Dakota State U.,2,19,"['88,979', '']","['85,322', '']","['81,580', '']","['82,904', '']","['73,697', '']","['9,207', '']","['12,346', '']","['10,367', '']","['10,765', '']","['9,164', '']","['7,844', '']","['1,320', '']"
3160,r021,"All institutions -> U. Missouri, Columbia",All institutions,"U. Missouri, Columbia",2,20,"['76,235', '']","['76,428', '']","['77,947', '']","['79,531', '']","['64,824', '']","['14,707', '']","['21,518', '']","['21,436', '']","['21,533', '']","['20,725', '']","['14,064', '']","['6,661', '']"
3160,r022,"All institutions -> Louisiana State U., Baton Rouge",All institutions,"Louisiana State U., Baton Rouge",2,21,"['78,195', '']","['69,367', '']","['75,245', '']","['76,202', '']","['67,304', '']","['8,898', '']","['11,025', '']","['8,616', '']","['9,274', '']","['9,992', '']","['7,781', '']","['2,211', '']"
3160,r023,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,22,"['74,146', '']","['81,700', '']","['75,751', '']","['75,409', '']","['74,783', '']","['626', '']","['23,810', '']","['22,497', '']","['19,797', '']","['19,524', '']","['19,490', '']","['34', '']"
3160,r024,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,23,"['62,909', '']","['66,885', '']","['72,256', '']","['73,608', '']","['5,966', '']","['67,642', '']","['20,547', '']","['22,549', '']","['24,148', '']","['24,607', '']","['155', '']","['24,452', '']"
3160,r025,"All institutions -> U. Arkansas, Fayetteville",All institutions,"U. Arkansas, Fayetteville",2,24,"['68,947', '']","['66,852', '']","['68,912', '']","['72,044', '']","['70,041', '']","['2,003', '']","['12,386', '']","['10,712', '']","['12,676', '']","['13,421', '']","['12,120', '']","['1,301', '']"
3160,r026,All institutions -> Iowa State U.,All institutions,Iowa State U.,2,25,"['55,997', '']","['54,421', '']","['66,427', '']","['67,222', '']","['58,811', '']","['8,411', '']","['18,928', '']","['18,605', '']","['22,454', '']","['20,865', '']","['17,610', '']","['3,255', '']"
3160,r027,All institutions -> U. Maryland<sup>a</sup>,All institutions,U. Maryland<sup>a</sup>,2,26,"['na', '']","['na', '']","['na', '']","['65,185', '']","['62,507', '']","['2,678', '']","['na', '']","['na', '']","['na', '']","['31,021', '']","['28,732', '']","['2,289', '']"
3160,r028,All institutions -> U. Arizona,All institutions,U. Arizona,2,27,"['50,236', '']","['54,655', '']","['57,804', '']","['64,228', '']","['51,474', '']","['12,754', '']","['16,072', '']","['16,698', '']","['16,560', '']","['20,132', '']","['14,380', '']","['5,752', '']"
3160,r029,All institutions -> U. Kentucky,All institutions,U. Kentucky,2,28,"['62,745', '']","['62,780', '']","['68,360', '']","['62,898', '']","['62,898', '']","['0', '']","['17,148', '']","['13,651', '']","['15,775', '']","['13,561', '']","['13,561', '']","['0', '']"
3160,r030,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,29,"['62,247', '']","['59,046', '']","['61,032', '']","['62,584', '']","['50,853', '']","['11,731', '']","['24,590', '']","['19,604', '']","['20,534', '']","['22,364', '']","['16,632', '']","['5,732', '']"
3160,r031,"All institutions -> Rutgers, State U. New Jersey, New Brunswick",All institutions,"Rutgers, State U. New Jersey, New Brunswick",2,30,"['42,342', '']","['52,210', '']","['47,795', '']","['55,587', '']","['55,587', '']","['0', '']","['10,979', '']","['13,684', '']","['28,189', '']","['27,297', '']","['27,297', '']","['0', '']"
3160,r032,"All institutions -> Auburn U., Auburn",All institutions,"Auburn U., Auburn",2,31,"['58,753', '']","['47,872', '']","['58,627', '']","['55,586', '']","['54,306', '']","['1,280', '']","['11,202', '']","['11,398', '']","['12,367', '']","['12,167', '']","['11,485', '']","['682', '']"
3160,r033,All institutions -> Utah State U.,All institutions,Utah State U.,2,32,"['54,332', '']","['52,451', '']","['53,684', '']","['54,897', '']","['38,695', '']","['16,202', '']","['24,544', '']","['26,086', '']","['22,532', '']","['23,462', '']","['15,262', '']","['8,200', '']"
3160,r034,All institutions -> U. Idaho,All institutions,U. Idaho,2,33,"['45,053', '']","['48,686', '']","['51,255', '']","['51,993', '']","['43,426', '']","['8,567', '']","['15,303', '']","['14,922', '']","['16,203', '']","['17,193', '']","['14,649', '']","['2,544', '']"
3160,r035,"All institutions -> U. Tennessee, Knoxville, Institute of Agriculture",All institutions,"U. Tennessee, Knoxville, Institute of Agriculture",2,34,"['46,753', '']","['52,103', '']","['50,891', '']","['50,685', '']","['41,602', '']","['9,083', '']","['10,555', '']","['17,293', '']","['15,831', '']","['16,389', '']","['11,316', '']","['5,073', '']"
3160,r036,"All institutions -> Oklahoma State U., Stillwater",All institutions,"Oklahoma State U., Stillwater",2,35,"['66,158', '']","['32,827', '']","['35,797', '']","['47,191', '']","['37,016', '']","['10,175', '']","['11,322', '']","['3,434', '']","['3,467', '']","['8,452', '']","['5,061', '']","['3,391', '']"
3160,r037,"All institutions -> Montana State U., Bozeman",All institutions,"Montana State U., Bozeman",2,36,"['26,397', '']","['38,297', '']","['38,318', '']","['40,480', '']","['40,178', '']","['302', '']","['8,443', '']","['8,684', '']","['8,331', '']","['11,189', '']","['11,038', '']","['151', '']"
3160,r038,All institutions -> South Dakota State U.,All institutions,South Dakota State U.,2,37,"['27,233', '']","['30,661', '']","['36,049', '']","['39,655', '']","['35,585', '']","['4,070', '']","['10,613', '']","['9,255', '']","['10,460', '']","['13,850', '']","['11,450', '']","['2,400', '']"
3160,r039,All institutions -> New Mexico State U.,All institutions,New Mexico State U.,2,38,"['30,424', '']","['26,810', '']","['28,609', '']","['31,401', '']","['31,352', '']","['49', '']","['7,852', '']","['5,424', '']","['6,412', '']","['8,008', '']","['7,971', '']","['37', '']"
3160,r040,All institutions -> Texas Tech U.,All institutions,Texas Tech U.,2,39,"['27,332', '']","['31,234', '']","['32,593', '']","['31,174', '']","['26,680', '']","['4,494', '']","['3,349', '']","['3,526', '']","['3,171', '']","['2,939', '']","['2,181', '']","['758', '']"
3160,r041,All institutions -> U. Delaware,All institutions,U. Delaware,2,40,"['31,939', '']","['31,177', '']","['27,344', '']","['29,062', '']","['29,062', '']","['0', '']","['12,770', '']","['10,871', '']","['6,739', '']","['8,129', '']","['8,129', '']","['0', '']"
3160,r042,All institutions -> U. Maine,All institutions,U. Maine,2,41,"['18,532', '']","['25,718', '']","['27,061', '']","['27,537', '']","['18,217', '']","['9,320', '']","['7,040', '']","['7,561', '']","['12,443', '']","['13,365', '']","['8,533', '']","['4,832', '']"
3160,r043,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,42,"['34,141', '']","['35,434', '']","['28,894', '']","['25,620', '']","['319', '']","['25,301', '']","['22,467', '']","['21,865', '']","['17,313', '']","['13,468', '']","['0', '']","['13,468', '']"
3160,r044,All institutions -> Clemson U.,All institutions,Clemson U.,2,43,"['17,647', '']","['21,253', '']","['23,563', '']","['24,183', '']","['24,150', '']","['33', '']","['4,474', '']","['6,783', '']","['6,461', '']","['6,713', '']","['6,713', '']","['0', '']"
3160,r045,All institutions -> West Virginia U.,All institutions,West Virginia U.,2,44,"['27,704', '']","['26,080', '']","['23,351', '']","['23,859', '']","['14,302', '']","['9,557', '']","['11,034', '']","['9,198', '']","['8,788', '']","['8,696', '']","['4,791', '']","['3,905', '']"
3160,r046,All institutions -> U. Wyoming,All institutions,U. Wyoming,2,45,"['25,570', '']","['15,934', '']","['14,331', '']","['23,815', 'i']","['10,856', 'i']","['12,959', 'i']","['13,093', '']","['10,756', '']","['8,453', '']","['15,768', '']","['7,174', '']","['8,594', '']"
3160,r047,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,46,"['20,299', '']","['20,403', '']","['22,338', '']","['23,814', '']","['2,065', '']","['21,749', '']","['6,597', '']","['7,351', '']","['8,495', '']","['9,692', '']","['0', '']","['9,692', '']"
3160,r048,All institutions -> U. New Hampshire,All institutions,U. New Hampshire,2,47,"['26,660', '']","['27,747', '']","['22,317', '']","['22,422', '']","['15,181', '']","['7,241', '']","['14,937', '']","['15,632', '']","['14,809', '']","['9,797', '']","['4,461', '']","['5,336', '']"
3160,r049,"All institutions -> U. California, Riverside",All institutions,"U. California, Riverside",2,48,"['17,790', '']","['18,553', '']","['19,160', '']","['22,199', '']","['22,199', '']","['0', '']","['5,700', '']","['5,357', '']","['4,930', '']","['5,489', '']","['5,489', '']","['0', '']"
3160,r050,"All institutions -> U. Massachusetts, Amherst",All institutions,"U. Massachusetts, Amherst",2,49,"['23,585', '']","['20,446', '']","['19,423', '']","['18,524', '']","['10,311', '']","['8,213', '']","['12,347', '']","['10,938', '']","['10,141', '']","['9,335', '']","['5,090', '']","['4,245', '']"
3160,r051,"All institutions -> U. Minnesota, Duluth",All institutions,"U. Minnesota, Duluth",2,50,"['18,651', '']","['18,418', '']","['18,181', '']","['18,103', '']","['0', '']","['18,103', '']","['3,691', '']","['4,116', '']","['3,409', '']","['3,593', '']","['0', '']","['3,593', '']"
3160,r052,"All institutions -> U. Montana, Missoula",All institutions,"U. Montana, Missoula",2,51,"['15,054', '']","['19,807', '']","['16,488', '']","['17,211', '']","['311', '']","['16,900', '']","['7,599', '']","['9,007', '']","['8,872', '']","['8,856', '']","['0', '']","['8,856', '']"
3160,r053,"All institutions -> U. Hawaii, Manoa",All institutions,"U. Hawaii, Manoa",2,52,"['18,661', '']","['20,653', '']","['16,823', '']","['16,788', '']","['15,200', '']","['1,588', '']","['8,082', '']","['8,476', '']","['8,052', '']","['7,688', '']","['6,690', '']","['998', '']"
3160,r054,All institutions -> U. Vermont,All institutions,U. Vermont,2,53,"['15,272', '']","['15,856', '']","['19,587', '']","['16,668', '']","['13,453', '']","['3,215', '']","['7,206', '']","['7,708', '']","['10,857', '']","['7,045', '']","['6,847', '']","['198', '']"
3160,r055,"All institutions -> U. Alaska, Fairbanks",All institutions,"U. Alaska, Fairbanks",2,54,"['12,184', '']","['10,797', '']","['17,027', '']","['16,511', '']","['14,651', '']","['1,860', '']","['3,367', '']","['3,479', '']","['4,575', '']","['3,161', '']","['3,075', '']","['86', '']"
3160,r056,"All institutions -> SUNY, C. of Environmental Science and Forestry",All institutions,"SUNY, C. of Environmental Science and Forestry",2,55,"['9,386', '']","['11,975', '']","['13,834', '']","['16,314', '']","['2,982', '']","['13,332', '']","['3,578', '']","['3,341', '']","['3,370', '']","['4,073', '']","['919', '']","['3,154', '']"
3160,r057,All institutions -> North Carolina Agricultural and Technical State U.,All institutions,North Carolina Agricultural and Technical State U.,2,56,"['17,393', '']","['18,011', '']","['16,218', '']","['15,671', '']","['13,060', '']","['2,611', '']","['7,557', '']","['8,353', '']","['6,899', '']","['6,070', '']","['3,829', '']","['2,241', '']"
3160,r058,All institutions -> Texas A&M U.-Kingsville,All institutions,Texas A&M U.-Kingsville,2,57,"['13,979', '']","['13,938', '']","['13,610', '']","['15,316', '']","['15,316', '']","['0', '']","['3,363', '']","['3,419', '']","['3,324', '']","['4,350', '']","['4,350', '']","['0', '']"
3160,r059,All institutions -> U. Connecticut,All institutions,U. Connecticut,2,58,"['12,637', '']","['13,206', '']","['12,197', '']","['12,984', '']","['10,079', '']","['2,905', '']","['4,321', '']","['4,538', '']","['4,187', '']","['4,634', '']","['3,289', '']","['1,345', '']"
3160,r060,"All institutions -> U. Nevada, Reno",All institutions,"U. Nevada, Reno",2,59,"['13,707', '']","['15,083', '']","['12,534', '']","['12,216', '']","['8,118', '']","['4,098', '']","['3,467', '']","['4,359', '']","['5,220', '']","['4,520', '']","['3,172', '']","['1,348', '']"
3160,r061,All institutions -> Yale U.,All institutions,Yale U.,2,60,"['11,055', '']","['12,615', '']","['12,498', '']","['11,773', '']","['0', '']","['11,773', '']","['5,417', '']","['6,808', '']","['6,526', '']","['5,609', '']","['0', '']","['5,609', '']"
3160,r062,All institutions -> Florida A&M U.,All institutions,Florida A&M U.,2,61,"['10,755', '']","['12,736', '']","['9,811', '']","['11,244', '']","['10,801', '']","['443', '']","['8,323', '']","['10,081', '']","['7,776', '']","['8,761', '']","['8,343', '']","['418', '']"
3160,r063,"All institutions -> Southern Illinois U., Carbondale",All institutions,"Southern Illinois U., Carbondale",2,62,"['13,927', '']","['11,039', '']","['11,463', '']","['10,934', '']","['10,750', '']","['184', '']","['3,549', '']","['2,371', '']","['2,604', '']","['2,946', '']","['2,946', '']","['0', '']"
3160,r064,All institutions -> Tennessee State U.,All institutions,Tennessee State U.,2,63,"['10,918', '']","['10,309', '']","['10,896', '']","['9,543', '']","['9,282', '']","['261', '']","['5,777', '']","['4,745', '']","['4,488', '']","['4,697', '']","['4,511', '']","['186', '']"
3160,r065,All institutions -> Duke U.,All institutions,Duke U.,2,64,"['10,756', '']","['8,074', '']","['7,897', '']","['9,051', '']","['0', '']","['9,051', '']","['6,711', '']","['4,965', '']","['5,548', '']","['5,576', '']","['0', '']","['5,576', '']"
3160,r066,"All institutions -> Southern Illinois U., Edwardsville",All institutions,"Southern Illinois U., Edwardsville",2,65,"['6,332', '']","['4,891', '']","['5,702', '']","['8,809', '']","['8,783', '']","['26', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3160,r067,All institutions -> Langston U.,All institutions,Langston U.,2,66,"['9,770', '']","['8,933', 'i']","['8,851', 'i']","['8,768', '']","['8,768', '']","['0', '']","['7,770', '']","['6,631', 'i']","['5,953', 'i']","['5,274', '']","['5,274', '']","['0', '']"
3160,r068,All institutions -> Princeton U.,All institutions,Princeton U.,2,67,"['2,716', '']","['5,785', '']","['5,555', '']","['8,634', '']","['0', '']","['8,634', '']","['36', '']","['407', '']","['822', '']","['2,189', '']","['0', '']","['2,189', '']"
3160,r069,All institutions -> Alcorn State U.,All institutions,Alcorn State U.,2,68,"['4,727', '']","['9,516', '']","['8,690', '']","['8,578', '']","['8,141', '']","['437', '']","['3,556', '']","['5,009', '']","['4,728', '']","['4,752', '']","['4,360', '']","['392', '']"
3160,r070,All institutions -> Kentucky State U.,All institutions,Kentucky State U.,2,69,"['6,842', '']","['7,647', 'i']","['8,599', '']","['8,139', '']","['8,042', '']","['97', '']","['4,930', '']","['4,878', 'i']","['5,092', '']","['4,398', '']","['4,301', '']","['97', '']"
3160,r071,All institutions -> Prairie View A&M U.,All institutions,Prairie View A&M U.,2,70,"['7,844', '']","['7,857', '']","['7,543', '']","['7,912', '']","['7,851', '']","['61', '']","['5,278', '']","['5,317', '']","['4,765', '']","['5,178', '']","['5,117', '']","['61', '']"
3160,r072,All institutions -> U. Maryland Center for Environmental Science,All institutions,U. Maryland Center for Environmental Science,2,71,"['1,023', '']","['5,254', '']","['7,286', '']","['7,704', '']","['1,083', '']","['6,621', '']","['703', '']","['3,440', '']","['5,158', '']","['6,187', '']","['506', '']","['5,681', '']"
3160,r073,"All institutions -> California Polytechnic State U., San Luis Obispo",All institutions,"California Polytechnic State U., San Luis Obispo",2,72,"['2,495', '']","['3,041', '']","['2,649', '']","['7,625', '']","['7,016', '']","['609', '']","['393', '']","['522', '']","['738', '']","['807', '']","['617', '']","['190', '']"
3160,r074,"All institutions -> U. Arkansas, Pine Bluff",All institutions,"U. Arkansas, Pine Bluff",2,73,"['6,525', '']","['6,579', '']","['6,848', '']","['7,621', '']","['7,621', '']","['0', '']","['2,994', '']","['3,113', '']","['3,104', '']","['3,746', '']","['3,746', '']","['0', '']"
3160,r075,"All institutions -> U. Illinois, Chicago",All institutions,"U. Illinois, Chicago",2,74,"['2,898', '']","['4,706', '']","['5,009', '']","['7,486', '']","['0', '']","['7,486', '']","['918', '']","['723', '']","['744', '']","['883', '']","['0', '']","['883', '']"
3160,r076,"All institutions -> U. California, Santa Barbara",All institutions,"U. California, Santa Barbara",2,75,"['6,688', '']","['10,621', '']","['9,162', '']","['7,124', '']","['0', '']","['7,124', '']","['2,427', '']","['4,353', '']","['2,041', '']","['994', '']","['0', '']","['994', '']"
3160,r077,All institutions -> Delaware State U.,All institutions,Delaware State U.,2,76,"['7,701', '']","['7,455', '']","['6,186', '']","['6,824', '']","['6,823', '']","['1', '']","['5,046', '']","['5,535', '']","['3,750', '']","['3,414', '']","['3,414', '']","['0', '']"
3160,r078,All institutions -> Virginia State U.,All institutions,Virginia State U.,2,77,"['4,927', '']","['5,785', '']","['6,767', '']","['6,814', '']","['6,814', '']","['0', '']","['3,482', '']","['3,391', '']","['3,807', '']","['4,029', '']","['4,029', '']","['0', '']"
3160,r079,All institutions -> U. Guam,All institutions,U. Guam,2,78,"['2,454', '']","['2,942', '']","['5,838', '']","['6,611', '']","['2,405', '']","['4,206', '']","['2,350', '']","['2,741', '']","['3,771', '']","['4,168', '']","['1,570', '']","['2,598', '']"
3160,r080,All institutions -> Northern Arizona U.,All institutions,Northern Arizona U.,2,79,"['6,497', '']","['8,196', '']","['6,524', '']","['6,576', '']","['2,275', '']","['4,301', '']","['2,614', '']","['4,070', '']","['2,195', '']","['3,163', '']","['274', '']","['2,889', '']"
3160,r081,All institutions -> U. Kansas,All institutions,U. Kansas,2,80,"['1,645', '']","['2,383', '']","['7,908', '']","['6,528', '']","['858', '']","['5,670', '']","['914', '']","['1,397', '']","['2,817', '']","['3,368', '']","['240', '']","['3,128', '']"
3160,r082,All institutions -> Tarleton State U.,All institutions,Tarleton State U.,2,81,"['5,311', '']","['5,724', '']","['6,209', '']","['6,470', '']","['6,409', '']","['61', '']","['3,663', '']","['3,759', '']","['4,016', '']","['4,293', '']","['4,253', '']","['40', '']"
3160,r083,All institutions -> Humboldt State U.,All institutions,Humboldt State U.,2,82,"['3,193', '']","['3,081', '']","['4,917', '']","['5,983', '']","['178', '']","['5,805', '']","['804', '']","['855', '']","['1,187', '']","['1,313', '']","['137', '']","['1,176', '']"
3160,r084,All institutions -> Tuskegee U.,All institutions,Tuskegee U.,2,83,"['8,663', 'i']","['8,663', 'i']","['7,041', '']","['5,756', '']","['5,756', '']","['0', '']","['4,451', '']","['4,451', '']","['4,451', '']","['4,984', '']","['4,984', '']","['0', '']"
3160,r085,"All institutions -> U. South Carolina, Columbia",All institutions,"U. South Carolina, Columbia",2,84,"['4,050', '']","['6,408', '']","['7,158', '']","['5,470', '']","['0', '']","['5,470', '']","['2,287', '']","['3,193', '']","['3,911', '']","['3,297', '']","['0', '']","['3,297', '']"
3160,r086,"All institutions -> Southern U. and A&M C., Agricultural Research and Extension Center",All institutions,"Southern U. and A&M C., Agricultural Research and Extension Center",2,85,"['4,704', '']","['5,000', 'i']","['5,296', '']","['4,541', '']","['4,014', '']","['527', '']","['2,415', '']","['2,736', 'i']","['3,057', '']","['3,057', '']","['3,057', '']","['0', '']"
3160,r087,All institutions -> U. New Mexico,All institutions,U. New Mexico,2,86,"['0', '']","['300', '']","['3,635', '']","['4,418', '']","['18', '']","['4,400', '']","['0', '']","['300', '']","['2,341', '']","['2,810', '']","['14', '']","['2,796', '']"
3160,r088,All institutions -> Fort Valley State U.,All institutions,Fort Valley State U.,2,87,"['4,415', '']","['4,790', '']","['3,344', '']","['4,136', '']","['4,136', '']","['0', '']","['4,206', '']","['4,551', '']","['3,174', '']","['4,066', '']","['4,066', '']","['0', '']"
3160,r089,All institutions -> Stanford U.,All institutions,Stanford U.,2,88,"['5,686', '']","['3,933', '']","['3,797', '']","['3,933', '']","['0', '']","['3,933', '']","['151', '']","['249', '']","['407', '']","['1,197', '']","['0', '']","['1,197', '']"
3160,r090,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,89,"['3,781', '']","['3,787', '']","['4,177', '']","['3,831', '']","['3,831', '']","['0', '']","['443', '']","['174', '']","['225', '']","['166', '']","['166', '']","['0', '']"
3160,r091,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,90,"['12,323', '']","['8,924', '']","['4,104', '']","['3,793', '']","['0', '']","['3,793', '']","['4,753', '']","['3,509', '']","['1,615', '']","['1,413', '']","['0', '']","['1,413', '']"
3160,r092,All institutions -> U. of the Virgin Islands,All institutions,U. of the Virgin Islands,2,91,"['3,088', '']","['3,993', '']","['4,043', '']","['3,751', '']","['3,728', '']","['23', '']","['3,088', '']","['2,769', '']","['3,139', '']","['2,692', '']","['2,669', '']","['23', '']"
3160,r093,"All institutions -> California State U., Fresno",All institutions,"California State U., Fresno",2,92,"['3,357', '']","['2,957', '']","['2,867', '']","['3,686', '']","['3,686', '']","['0', '']","['270', '']","['227', '']","['405', '']","['405', '']","['405', '']","['0', '']"
3160,r094,All institutions -> Portland State U.,All institutions,Portland State U.,2,93,"['4,195', '']","['3,298', '']","['3,921', '']","['3,626', '']","['111', '']","['3,515', '']","['3,087', '']","['2,242', '']","['2,389', '']","['1,921', '']","['82', '']","['1,839', '']"
3160,r095,All institutions -> West Virginia State U.,All institutions,West Virginia State U.,2,94,"['3,447', '']","['3,966', '']","['3,483', '']","['3,551', '']","['3,090', '']","['461', '']","['2,559', '']","['2,972', '']","['2,650', '']","['2,576', '']","['2,165', '']","['411', '']"
