table_id,row_id,_b_sex_and_field_b_full_path,_b_sex_and_field_b_level_1,_b_sex_and_field_b_level_2,_b_sex_and_field_b_level_3,_b_sex_and_field_b_level_4,_b_sex_and_field_b_hierarchy_depth,field_all_recipients,field_recipients_with_definite_commitments,field_location_of_definite_commitments_united_states_total,field_location_of_definite_commitments_united_states_postdoctoral_study,field_location_of_definite_commitments_united_states_academic_employment,field_location_of_definite_commitments_united_states_industry_employmenta,field_location_of_definite_commitments_united_states_otherb,field_location_of_definite_commitments_abroad,field_location_of_definite_commitments_unknown
4689,r021,"All doctorate recipients<sup>c</sup> -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All doctorate recipients<sup>c</sup>,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,399,263,245,75,28,87,55,18,0
4689,r022,All doctorate recipients<sup>c</sup> -> Engineering -> Bioengineering and biomedical engineering,All doctorate recipients<sup>c</sup>,Engineering,Bioengineering and biomedical engineering,,3,1083,631,590,310,29,225,26,40,1
4689,r023,All doctorate recipients<sup>c</sup> -> Engineering -> Chemical engineering,All doctorate recipients<sup>c</sup>,Engineering,Chemical engineering,,3,994,598,551,221,11,305,14,46,1
4689,r024,All doctorate recipients<sup>c</sup> -> Engineering -> Civil engineering,All doctorate recipients<sup>c</sup>,Engineering,Civil engineering,,3,796,461,395,161,39,141,54,65,1
4689,r025,"All doctorate recipients<sup>c</sup> -> Engineering -> Electrical, electronics, and communications engineering",All doctorate recipients<sup>c</sup>,Engineering,"Electrical, electronics, and communications engineering",,3,1973,1348,1225,293,58,788,86,122,1
4689,r026,All doctorate recipients<sup>c</sup> -> Engineering -> Industrial and manufacturing engineering,All doctorate recipients<sup>c</sup>,Engineering,Industrial and manufacturing engineering,,3,304,186,157,30,36,79,12,29,0
4689,r027,All doctorate recipients<sup>c</sup> -> Engineering -> Materials science engineering,All doctorate recipients<sup>c</sup>,Engineering,Materials science engineering,,3,880,513,473,214,10,222,27,40,0
4689,r028,All doctorate recipients<sup>c</sup> -> Engineering -> Mechanical engineering,All doctorate recipients<sup>c</sup>,Engineering,Mechanical engineering,,3,1634,1007,918,377,61,415,65,89,0
4689,r029,All doctorate recipients<sup>c</sup> -> Engineering -> Other engineering,All doctorate recipients<sup>c</sup>,Engineering,Other engineering,,3,2413,1600,1431,468,122,690,151,169,0
4689,r030,All doctorate recipients<sup>c</sup> -> Education,All doctorate recipients<sup>c</sup>,Education,,,2,4716,3110,2907,281,1433,198,995,203,0
4689,r031,All doctorate recipients<sup>c</sup> -> Education -> Education administration,All doctorate recipients<sup>c</sup>,Education,Education administration,,3,927,645,624,13,246,31,334,21,0
4689,r032,All doctorate recipients<sup>c</sup> -> Education -> Education research,All doctorate recipients<sup>c</sup>,Education,Education research,,3,2312,1543,1442,184,749,124,385,101,0
4689,r033,All doctorate recipients<sup>c</sup> -> Education -> Teacher education,All doctorate recipients<sup>c</sup>,Education,Teacher education,,3,113,66,59,,33,,20,7,0
4689,r034,All doctorate recipients<sup>c</sup> -> Education -> Teaching fields,All doctorate recipients<sup>c</sup>,Education,Teaching fields,,3,940,603,544,55,301,25,163,59,0
4689,r035,All doctorate recipients<sup>c</sup> -> Education -> Other education,All doctorate recipients<sup>c</sup>,Education,Other education,,3,424,253,238,,104,,93,15,0
4689,r036,All doctorate recipients<sup>c</sup> -> Humanities and arts,All doctorate recipients<sup>c</sup>,Humanities and arts,,,2,4939,2604,2320,421,1328,138,433,284,0
4689,r037,All doctorate recipients<sup>c</sup> -> Humanities and arts -> Foreign languages and literature,All doctorate recipients<sup>c</sup>,Humanities and arts,Foreign languages and literature,,3,564,302,264,37,185,11,31,38,0
4689,r038,All doctorate recipients<sup>c</sup> -> Humanities and arts -> History,All doctorate recipients<sup>c</sup>,Humanities and arts,History,,3,887,509,452,115,221,26,90,57,0
4689,r039,All doctorate recipients<sup>c</sup> -> Humanities and arts -> Letters,All doctorate recipients<sup>c</sup>,Humanities and arts,Letters,,3,1392,714,659,94,446,38,81,55,0
4689,r040,All doctorate recipients<sup>c</sup> -> Humanities and arts -> Other humanities and arts,All doctorate recipients<sup>c</sup>,Humanities and arts,Other humanities and arts,,3,2096,1079,945,175,476,63,231,134,0
4689,r041,All doctorate recipients<sup>c</sup> -> Other<sup>d</sup>,All doctorate recipients<sup>c</sup>,Other<sup>d</sup>,,,2,3006,2007,1726,179,1113,227,207,280,1
4689,r042,All doctorate recipients<sup>c</sup> -> Other<sup>d</sup> -> Business management and administration,All doctorate recipients<sup>c</sup>,Other<sup>d</sup>,Business management and administration,,3,1466,1049,881,46,646,123,66,167,1
4689,r043,All doctorate recipients<sup>c</sup> -> Other<sup>d</sup> -> Communication,All doctorate recipients<sup>c</sup>,Other<sup>d</sup>,Communication,,3,593,381,342,46,239,35,22,39,0
4689,r044,All doctorate recipients<sup>c</sup> -> Other<sup>d</sup> -> Non-S&E fields nec,All doctorate recipients<sup>c</sup>,Other<sup>d</sup>,Non-S&E fields nec,,3,947,577,503,87,228,69,119,74,0
4689,r045,All doctorate recipients<sup>c</sup> -> Male,All doctorate recipients<sup>c</sup>,Male,,,2,29886,19286,17085,6641,3451,5167,1826,2192,9
4689,r046,All doctorate recipients<sup>c</sup> -> Male -> Life sciences,All doctorate recipients<sup>c</sup>,Male,Life sciences,,3,5553,3493,3161,1929,417,599,216,331,1
4689,r047,All doctorate recipients<sup>c</sup> -> Male -> Life sciences -> Agricultural sciences and natural resources,All doctorate recipients<sup>c</sup>,Male,Life sciences,Agricultural sciences and natural resources,4,746,482,385,180,81,67,57,97,0
4689,r048,All doctorate recipients<sup>c</sup> -> Male -> Life sciences -> Biological and biomedical sciences,All doctorate recipients<sup>c</sup>,Male,Life sciences,Biological and biomedical sciences,4,3892,2403,2247,1543,181,437,86,156,0
4689,r049,All doctorate recipients<sup>c</sup> -> Male -> Life sciences -> Health sciences,All doctorate recipients<sup>c</sup>,Male,Life sciences,Health sciences,4,915,608,529,206,155,95,73,78,1
4689,r050,All doctorate recipients<sup>c</sup> -> Male -> Physical sciences and earth sciences,All doctorate recipients<sup>c</sup>,Male,Physical sciences and earth sciences,,3,4177,2750,2455,1445,148,735,127,295,0
4689,r051,All doctorate recipients<sup>c</sup> -> Male -> Physical sciences and earth sciences -> Chemistry,All doctorate recipients<sup>c</sup>,Male,Physical sciences and earth sciences,Chemistry,4,1669,1040,961,569,51,312,29,79,0
4689,r052,"All doctorate recipients<sup>c</sup> -> Male -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences",All doctorate recipients<sup>c</sup>,Male,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",4,737,503,435,276,36,81,42,68,0
4689,r053,All doctorate recipients<sup>c</sup> -> Male -> Physical sciences and earth sciences -> Physics and astronomy,All doctorate recipients<sup>c</sup>,Male,Physical sciences and earth sciences,Physics and astronomy,4,1771,1207,1059,600,61,342,56,148,0
4689,r054,All doctorate recipients<sup>c</sup> -> Male -> Mathematics and computer sciences,All doctorate recipients<sup>c</sup>,Male,Mathematics and computer sciences,,3,3297,2319,2029,557,358,998,116,287,3
4689,r055,All doctorate recipients<sup>c</sup> -> Male -> Mathematics and computer sciences -> Computer and information sciences,All doctorate recipients<sup>c</sup>,Male,Mathematics and computer sciences,Computer and information sciences,4,1859,1344,1194,226,201,694,73,148,2
4689,r056,All doctorate recipients<sup>c</sup> -> Male -> Mathematics and computer sciences -> Mathematics and statistics,All doctorate recipients<sup>c</sup>,Male,Mathematics and computer sciences,Mathematics and statistics,4,1438,975,835,331,157,304,43,139,1
4689,r057,All doctorate recipients<sup>c</sup> -> Male -> Psychology and social sciences,All doctorate recipients<sup>c</sup>,Male,Psychology and social sciences,,3,3588,2443,2084,734,667,313,370,358,1
4689,r058,All doctorate recipients<sup>c</sup> -> Male -> Psychology and social sciences -> Psychology,All doctorate recipients<sup>c</sup>,Male,Psychology and social sciences,Psychology,4,1082,738,704,395,127,96,86,34,0
4689,r059,All doctorate recipients<sup>c</sup> -> Male -> Psychology and social sciences -> Anthropology,All doctorate recipients<sup>c</sup>,Male,Psychology and social sciences,Anthropology,4,145,77,64,17,,,14,13,0
4689,r060,All doctorate recipients<sup>c</sup> -> Male -> Psychology and social sciences -> Economics,All doctorate recipients<sup>c</sup>,Male,Psychology and social sciences,Economics,4,809,611,450,87,148,120,95,161,0
4689,r061,All doctorate recipients<sup>c</sup> -> Male -> Psychology and social sciences -> Political science and government,All doctorate recipients<sup>c</sup>,Male,Psychology and social sciences,Political science and government,4,388,263,231,70,,,35,31,1
4689,r062,All doctorate recipients<sup>c</sup> -> Male -> Psychology and social sciences -> Sociology,All doctorate recipients<sup>c</sup>,Male,Psychology and social sciences,Sociology,4,243,176,153,46,81,7,19,23,0
4689,r063,All doctorate recipients<sup>c</sup> -> Male -> Psychology and social sciences -> Other social sciences,All doctorate recipients<sup>c</sup>,Male,Psychology and social sciences,Other social sciences,4,921,578,482,119,176,66,121,96,0
4689,r064,All doctorate recipients<sup>c</sup> -> Male -> Engineering,All doctorate recipients<sup>c</sup>,Male,Engineering,,3,7882,5028,4516,1613,263,2262,378,509,3
4689,r065,"All doctorate recipients<sup>c</sup> -> Male -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All doctorate recipients<sup>c</sup>,Male,Engineering,"Aerospace, aeronautical, and astronautical engineering",4,329,210,197,61,21,73,42,13,0
4689,r066,All doctorate recipients<sup>c</sup> -> Male -> Engineering -> Bioengineering and biomedical engineering,All doctorate recipients<sup>c</sup>,Male,Engineering,Bioengineering and biomedical engineering,4,653,381,349,184,15,134,16,31,1
4689,r067,All doctorate recipients<sup>c</sup> -> Male -> Engineering -> Chemical engineering,All doctorate recipients<sup>c</sup>,Male,Engineering,Chemical engineering,4,695,413,377,150,,,13,36,0
4689,r068,All doctorate recipients<sup>c</sup> -> Male -> Engineering -> Civil engineering,All doctorate recipients<sup>c</sup>,Male,Engineering,Civil engineering,4,586,339,289,128,,,37,49,1
4689,r069,"All doctorate recipients<sup>c</sup> -> Male -> Engineering -> Electrical, electronics, and communications engineering",All doctorate recipients<sup>c</sup>,Male,Engineering,"Electrical, electronics, and communications engineering",4,1630,1125,1015,252,41,650,72,109,1
4689,r070,All doctorate recipients<sup>c</sup> -> Male -> Engineering -> Industrial and manufacturing engineering,All doctorate recipients<sup>c</sup>,Male,Engineering,Industrial and manufacturing engineering,4,209,129,106,24,22,52,8,23,0
4689,r071,All doctorate recipients<sup>c</sup> -> Male -> Engineering -> Materials science engineering,All doctorate recipients<sup>c</sup>,Male,Engineering,Materials science engineering,4,638,382,350,162,,,18,32,0
4689,r072,All doctorate recipients<sup>c</sup> -> Male -> Engineering -> Mechanical engineering,All doctorate recipients<sup>c</sup>,Male,Engineering,Mechanical engineering,4,1373,855,771,319,46,350,56,84,0
4689,r073,All doctorate recipients<sup>c</sup> -> Male -> Engineering -> Other engineering,All doctorate recipients<sup>c</sup>,Male,Engineering,Other engineering,4,1769,1194,1062,333,79,534,116,132,0
4689,r074,All doctorate recipients<sup>c</sup> -> Male -> Education,All doctorate recipients<sup>c</sup>,Male,Education,,3,1456,973,894,73,465,62,294,79,0
4689,r075,All doctorate recipients<sup>c</sup> -> Male -> Education -> Education administration,All doctorate recipients<sup>c</sup>,Male,Education,Education administration,4,346,243,235,,99,,118,8,0
4689,r076,All doctorate recipients<sup>c</sup> -> Male -> Education -> Education research,All doctorate recipients<sup>c</sup>,Male,Education,Education research,4,675,459,415,50,224,37,104,44,0
4689,r077,All doctorate recipients<sup>c</sup> -> Male -> Education -> Teacher education,All doctorate recipients<sup>c</sup>,Male,Education,Teacher education,4,28,16,16,0,12,,,0,0
4689,r078,All doctorate recipients<sup>c</sup> -> Male -> Education -> Teaching fields,All doctorate recipients<sup>c</sup>,Male,Education,Teaching fields,4,292,190,168,15,102,,,22,0
4689,r079,All doctorate recipients<sup>c</sup> -> Male -> Education -> Other education,All doctorate recipients<sup>c</sup>,Male,Education,Other education,4,115,65,60,,28,,23,5,0
4689,r080,All doctorate recipients<sup>c</sup> -> Male -> Humanities and arts,All doctorate recipients<sup>c</sup>,Male,Humanities and arts,,3,2516,1322,1157,221,611,87,238,165,0
4689,r081,All doctorate recipients<sup>c</sup> -> Male -> Humanities and arts -> Foreign languages and literature,All doctorate recipients<sup>c</sup>,Male,Humanities and arts,Foreign languages and literature,4,223,122,102,17,73,5,7,20,0
4689,r082,All doctorate recipients<sup>c</sup> -> Male -> Humanities and arts -> History,All doctorate recipients<sup>c</sup>,Male,Humanities and arts,History,4,512,284,253,65,115,20,53,31,0
4689,r083,All doctorate recipients<sup>c</sup> -> Male -> Humanities and arts -> Letters,All doctorate recipients<sup>c</sup>,Male,Humanities and arts,Letters,4,589,299,273,41,173,21,38,26,0
4689,r084,All doctorate recipients<sup>c</sup> -> Male -> Humanities and arts -> Other humanities and arts,All doctorate recipients<sup>c</sup>,Male,Humanities and arts,Other humanities and arts,4,1192,617,529,98,250,41,140,88,0
4689,r085,All doctorate recipients<sup>c</sup> -> Male -> Other<sup>d</sup>,All doctorate recipients<sup>c</sup>,Male,Other<sup>d</sup>,,3,1417,958,789,69,522,111,87,168,1
4689,r086,All doctorate recipients<sup>c</sup> -> Male -> Other<sup>d</sup> -> Business management and administration,All doctorate recipients<sup>c</sup>,Male,Other<sup>d</sup>,Business management and administration,4,851,618,507,27,369,72,39,110,1
4689,r087,All doctorate recipients<sup>c</sup> -> Male -> Other<sup>d</sup> -> Communication,All doctorate recipients<sup>c</sup>,Male,Other<sup>d</sup>,Communication,4,230,139,125,15,84,16,10,14,0
4689,r088,All doctorate recipients<sup>c</sup> -> Male -> Other<sup>d</sup> -> Non-S&E fields nec,All doctorate recipients<sup>c</sup>,Male,Other<sup>d</sup>,Non-S&E fields nec,4,336,201,157,27,69,23,38,44,0
4689,r089,All doctorate recipients<sup>c</sup> -> Female,All doctorate recipients<sup>c</sup>,Female,,,2,25392,16003,14760,5648,4293,2664,2155,1238,5
4689,r090,All doctorate recipients<sup>c</sup> -> Female -> Life sciences,All doctorate recipients<sup>c</sup>,Female,Life sciences,,3,7007,4291,3980,2243,674,675,388,309,2
4689,r091,All doctorate recipients<sup>c</sup> -> Female -> Life sciences -> Agricultural sciences and natural resources,All doctorate recipients<sup>c</sup>,Female,Life sciences,Agricultural sciences and natural resources,4,725,437,380,174,78,68,60,56,1
4689,r092,All doctorate recipients<sup>c</sup> -> Female -> Life sciences -> Biological and biomedical sciences,All doctorate recipients<sup>c</sup>,Female,Life sciences,Biological and biomedical sciences,4,4526,2778,2608,1725,250,477,156,169,1
4689,r093,All doctorate recipients<sup>c</sup> -> Female -> Life sciences -> Health sciences,All doctorate recipients<sup>c</sup>,Female,Life sciences,Health sciences,4,1756,1076,992,344,346,130,172,84,0
4689,r094,All doctorate recipients<sup>c</sup> -> Female -> Physical sciences and earth sciences,All doctorate recipients<sup>c</sup>,Female,Physical sciences and earth sciences,,3,2068,1297,1193,659,104,327,103,104,0
4689,r095,All doctorate recipients<sup>c</sup> -> Female -> Physical sciences and earth sciences -> Chemistry,All doctorate recipients<sup>c</sup>,Female,Physical sciences and earth sciences,Chemistry,4,1092,652,610,298,53,224,35,42,0
4689,r096,"All doctorate recipients<sup>c</sup> -> Female -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences",All doctorate recipients<sup>c</sup>,Female,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",4,506,342,306,187,34,34,51,36,0
4689,r097,All doctorate recipients<sup>c</sup> -> Female -> Physical sciences and earth sciences -> Physics and astronomy,All doctorate recipients<sup>c</sup>,Female,Physical sciences and earth sciences,Physics and astronomy,4,470,303,277,174,17,69,17,26,0
4689,r098,All doctorate recipients<sup>c</sup> -> Female -> Mathematics and computer sciences,All doctorate recipients<sup>c</sup>,Female,Mathematics and computer sciences,,3,1095,769,690,181,167,289,53,78,1
4689,r099,All doctorate recipients<sup>c</sup> -> Female -> Mathematics and computer sciences -> Computer and information sciences,All doctorate recipients<sup>c</sup>,Female,Mathematics and computer sciences,Computer and information sciences,4,502,343,303,56,70,154,23,40,0
4689,r100,All doctorate recipients<sup>c</sup> -> Female -> Mathematics and computer sciences -> Mathematics and statistics,All doctorate recipients<sup>c</sup>,Female,Mathematics and computer sciences,Mathematics and statistics,4,593,426,387,125,97,135,30,38,1
4689,r101,All doctorate recipients<sup>c</sup> -> Female -> Psychology and social sciences,All doctorate recipients<sup>c</sup>,Female,Psychology and social sciences,,3,5358,3599,3315,1511,941,380,483,283,1
4689,r102,All doctorate recipients<sup>c</sup> -> Female -> Psychology and social sciences -> Psychology,All doctorate recipients<sup>c</sup>,Female,Psychology and social sciences,Psychology,4,2797,1917,1869,1149,290,206,224,48,0
4689,r103,All doctorate recipients<sup>c</sup> -> Female -> Psychology and social sciences -> Anthropology,All doctorate recipients<sup>c</sup>,Female,Psychology and social sciences,Anthropology,4,303,169,142,54,,,25,27,0
4689,r104,All doctorate recipients<sup>c</sup> -> Female -> Psychology and social sciences -> Economics,All doctorate recipients<sup>c</sup>,Female,Psychology and social sciences,Economics,4,407,309,243,41,86,74,42,66,0
4689,r105,All doctorate recipients<sup>c</sup> -> Female -> Psychology and social sciences -> Political science and government,All doctorate recipients<sup>c</sup>,Female,Psychology and social sciences,Political science and government,4,249,181,155,56,,,19,26,0
4689,r106,All doctorate recipients<sup>c</sup> -> Female -> Psychology and social sciences -> Sociology,All doctorate recipients<sup>c</sup>,Female,Psychology and social sciences,Sociology,4,364,252,231,60,131,18,22,20,1
4689,r107,All doctorate recipients<sup>c</sup> -> Female -> Psychology and social sciences -> Other social sciences,All doctorate recipients<sup>c</sup>,Female,Psychology and social sciences,Other social sciences,4,1238,771,675,151,309,64,151,96,0
4689,r108,All doctorate recipients<sup>c</sup> -> Female -> Engineering,All doctorate recipients<sup>c</sup>,Female,Engineering,,3,2593,1579,1469,536,131,690,112,109,1
4689,r109,"All doctorate recipients<sup>c</sup> -> Female -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All doctorate recipients<sup>c</sup>,Female,Engineering,"Aerospace, aeronautical, and astronautical engineering",4,70,53,48,14,7,14,13,5,0
4689,r110,All doctorate recipients<sup>c</sup> -> Female -> Engineering -> Bioengineering and biomedical engineering,All doctorate recipients<sup>c</sup>,Female,Engineering,Bioengineering and biomedical engineering,4,430,250,241,126,14,91,10,9,0
4689,r111,All doctorate recipients<sup>c</sup> -> Female -> Engineering -> Chemical engineering,All doctorate recipients<sup>c</sup>,Female,Engineering,Chemical engineering,4,299,185,174,71,,,1,10,1
4689,r112,All doctorate recipients<sup>c</sup> -> Female -> Engineering -> Civil engineering,All doctorate recipients<sup>c</sup>,Female,Engineering,Civil engineering,4,210,122,106,33,,,17,16,0
4689,r113,"All doctorate recipients<sup>c</sup> -> Female -> Engineering -> Electrical, electronics, and communications engineering",All doctorate recipients<sup>c</sup>,Female,Engineering,"Electrical, electronics, and communications engineering",4,343,223,210,41,17,138,14,13,0
4689,r114,All doctorate recipients<sup>c</sup> -> Female -> Engineering -> Industrial and manufacturing engineering,All doctorate recipients<sup>c</sup>,Female,Engineering,Industrial and manufacturing engineering,4,95,57,51,6,14,27,4,6,0
4689,r115,All doctorate recipients<sup>c</sup> -> Female -> Engineering -> Materials science engineering,All doctorate recipients<sup>c</sup>,Female,Engineering,Materials science engineering,4,242,131,123,52,,,9,8,0
4689,r116,All doctorate recipients<sup>c</sup> -> Female -> Engineering -> Mechanical engineering,All doctorate recipients<sup>c</sup>,Female,Engineering,Mechanical engineering,4,261,152,147,58,15,65,9,5,0
4689,r117,All doctorate recipients<sup>c</sup> -> Female -> Engineering -> Other engineering,All doctorate recipients<sup>c</sup>,Female,Engineering,Other engineering,4,643,406,369,135,43,156,35,37,0
4689,r118,All doctorate recipients<sup>c</sup> -> Female -> Education,All doctorate recipients<sup>c</sup>,Female,Education,,3,3259,2137,2013,208,968,136,701,124,0
4689,r119,All doctorate recipients<sup>c</sup> -> Female -> Education -> Education administration,All doctorate recipients<sup>c</sup>,Female,Education,Education administration,4,580,402,389,,147,,216,13,0
4689,r120,All doctorate recipients<sup>c</sup> -> Female -> Education -> Education research,All doctorate recipients<sup>c</sup>,Female,Education,Education research,4,1637,1084,1027,134,525,87,281,57,0
4689,r121,All doctorate recipients<sup>c</sup> -> Female -> Education -> Teacher education,All doctorate recipients<sup>c</sup>,Female,Education,Teacher education,4,85,50,43,,21,,,7,0
4689,r122,All doctorate recipients<sup>c</sup> -> Female -> Education -> Teaching fields,All doctorate recipients<sup>c</sup>,Female,Education,Teaching fields,4,648,413,376,40,199,,,37,0
4689,r123,All doctorate recipients<sup>c</sup> -> Female -> Education -> Other education,All doctorate recipients<sup>c</sup>,Female,Education,Other education,4,309,188,178,22,76,10,70,10,0
4689,r124,All doctorate recipients<sup>c</sup> -> Female -> Humanities and arts,All doctorate recipients<sup>c</sup>,Female,Humanities and arts,,3,2423,1282,1163,200,717,51,195,119,0
4689,r125,All doctorate recipients<sup>c</sup> -> Female -> Humanities and arts -> Foreign languages and literature,All doctorate recipients<sup>c</sup>,Female,Humanities and arts,Foreign languages and literature,4,341,180,162,20,112,6,24,18,0
4689,r126,All doctorate recipients<sup>c</sup> -> Female -> Humanities and arts -> History,All doctorate recipients<sup>c</sup>,Female,Humanities and arts,History,4,375,225,199,50,106,6,37,26,0
4689,r127,All doctorate recipients<sup>c</sup> -> Female -> Humanities and arts -> Letters,All doctorate recipients<sup>c</sup>,Female,Humanities and arts,Letters,4,803,415,386,53,273,17,43,29,0
4689,r128,All doctorate recipients<sup>c</sup> -> Female -> Humanities and arts -> Other humanities and arts,All doctorate recipients<sup>c</sup>,Female,Humanities and arts,Other humanities and arts,4,904,462,416,77,226,22,91,46,0
4689,r129,All doctorate recipients<sup>c</sup> -> Female -> Other<sup>d</sup>,All doctorate recipients<sup>c</sup>,Female,Other<sup>d</sup>,,3,1589,1049,937,110,591,116,120,112,0
4689,r130,All doctorate recipients<sup>c</sup> -> Female -> Other<sup>d</sup> -> Business management and administration,All doctorate recipients<sup>c</sup>,Female,Other<sup>d</sup>,Business management and administration,4,615,431,374,19,277,51,27,57,0
4689,r131,All doctorate recipients<sup>c</sup> -> Female -> Other<sup>d</sup> -> Communication,All doctorate recipients<sup>c</sup>,Female,Other<sup>d</sup>,Communication,4,363,242,217,31,155,19,12,25,0
4689,r132,All doctorate recipients<sup>c</sup> -> Female -> Other<sup>d</sup> -> Non-S&E fields nec,All doctorate recipients<sup>c</sup>,Female,Other<sup>d</sup>,Non-S&E fields nec,4,611,376,346,60,159,46,81,30,0
