table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_hierarchy_depth,field_all_other_fieldsa,field_business_management_and_administration,field_communication,field_non_s_e_fields_nec
2849,r030,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Married,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Marital status (%),Married,4,50.7,53.2,43.9,48.4
2849,r031,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Marital status (%),Marriage-like relationship,4,3.7,2.5,7.3,4.5
2849,r032,"All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Marital status (%),"Separated, divorced, widowed",4,3.7,3.8,3.9,3.3
2849,r033,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Marital status (%),Unknown,4,16.9,14.8,17.1,22.4
2849,r034,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Bachelor's in same field as doctorate (%)<sup>c</sup>,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Bachelor's in same field as doctorate (%)<sup>c</sup>,,3,34.5,34.7,44.4,28.1
2849,r035,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Master's earned (%),All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Master's earned (%),,3,79.1,78.1,83.9,78.8
2849,r036,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Age at doctorate (median years),All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Age at doctorate (median years),,3,35.0,34.3,33.9,37.4
2849,r037,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years),All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Time to doctorate (median years),,3,,,,
2849,r038,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> From bachelor's,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Time to doctorate (median years),From bachelor's,4,11.2,11.0,10.0,13.6
2849,r039,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Time to doctorate (median years),From graduate school start,4,9.0,8.8,8.0,10.9
2849,r040,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> From doctoral program start<sup>d</sup>,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Time to doctorate (median years),From doctoral program start<sup>d</sup>,4,5.0,5.0,5.0,5.8
2849,r041,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number),All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),,,2,1620,662,338,620
2849,r042,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Citizenship (%),All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Citizenship (%),,3,,,,
2849,r043,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Citizenship (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Citizenship (%),U.S. citizen or permanent resident,4,62.7,54.1,67.8,69.0
2849,r044,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Citizenship (%) -> Temporary visa holder,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Citizenship (%),Temporary visa holder,4,30.9,39.1,27.5,24.0
2849,r045,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Citizenship (%) -> Unknown,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Citizenship (%),Unknown,4,6.4,6.8,4.7,6.9
2849,r046,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Marital status (%),All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Marital status (%),,3,,,,
2849,r047,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Marital status (%),Never married,4,25.0,24.2,29.6,23.4
2849,r048,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Married,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Marital status (%),Married,4,46.2,49.1,41.7,45.6
2849,r049,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Marital status (%),Marriage-like relationship,4,5.0,3.8,7.4,5.0
2849,r050,"All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Marital status (%),"Separated, divorced, widowed",4,7.3,7.7,5.9,7.7
2849,r051,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Marital status (%),Unknown,4,16.4,15.3,15.4,18.2
2849,r052,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Bachelor's in same field as doctorate (%)<sup>c</sup>,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Bachelor's in same field as doctorate (%)<sup>c</sup>,,3,35.1,38.4,42.6,27.6
2849,r053,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Master's earned (%),All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Master's earned (%),,3,81.4,77.9,84.6,83.4
2849,r054,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Age at doctorate (median years),All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Age at doctorate (median years),,3,34.8,33.7,34.0,36.5
2849,r055,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years),All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Time to doctorate (median years),,3,,,,
2849,r056,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years) -> From bachelor's,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Time to doctorate (median years),From bachelor's,4,11.6,11.0,10.8,13.3
2849,r057,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Time to doctorate (median years),From graduate school start,4,9.8,9.0,8.3,11.3
2849,r058,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years) -> From doctoral program start<sup>d</sup>,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Time to doctorate (median years),From doctoral program start<sup>d</sup>,4,5.3,5.0,5.0,5.8
