table_id,row_id,class_prevalence_2015_2017_2019_full_path,class_prevalence_2015_2017_2019_level_1,class_prevalence_2015_2017_2019_level_2,class_prevalence_2015_2017_2019_hierarchy_depth,field_response_very_satisfied_2015,field_response_very_satisfied_2017,field_response_very_satisfied_2019,field_response_somewhat_satisfied_2015,field_response_somewhat_satisfied_2017,field_response_somewhat_satisfied_2019,field_response_dissatisfied_2015,field_response_dissatisfied_2017,field_response_dissatisfied_2019
6776,r011,"Class 2 (22.8, 23.8, 25.7%): Very Satisfied With Everything","Class 2 (22.8, 23.8, 25.7%): Very Satisfied With Everything",,1,,,,,,,,,
6776,r012,"Class 2 (22.8, 23.8, 25.7%): Very Satisfied With Everything -> Salary","Class 2 (22.8, 23.8, 25.7%): Very Satisfied With Everything",Salary,2,0.783,0.763,0.743,0.21,0.227,0.245,0.007,0.01,0.012
6776,r013,"Class 2 (22.8, 23.8, 25.7%): Very Satisfied With Everything -> Benefits","Class 2 (22.8, 23.8, 25.7%): Very Satisfied With Everything",Benefits,2,0.844,0.815,0.82,0.137,0.154,0.152,0.02,0.031,0.028
6776,r014,"Class 2 (22.8, 23.8, 25.7%): Very Satisfied With Everything -> Security","Class 2 (22.8, 23.8, 25.7%): Very Satisfied With Everything",Security,2,0.847,0.836,0.845,0.135,0.144,0.134,0.018,0.02,0.021
6776,r015,"Class 2 (22.8, 23.8, 25.7%): Very Satisfied With Everything -> Location","Class 2 (22.8, 23.8, 25.7%): Very Satisfied With Everything",Location,2,0.812,0.818,0.82,0.157,0.153,0.149,0.031,0.029,0.031
6776,r016,"Class 2 (22.8, 23.8, 25.7%): Very Satisfied With Everything -> Advancement","Class 2 (22.8, 23.8, 25.7%): Very Satisfied With Everything",Advancement,2,0.737,0.742,0.733,0.25,0.243,0.249,0.014,0.014,0.018
6776,r017,"Class 2 (22.8, 23.8, 25.7%): Very Satisfied With Everything -> Challenge","Class 2 (22.8, 23.8, 25.7%): Very Satisfied With Everything",Challenge,2,0.955,0.963,0.967,0.043,0.037,0.032,0.001,0.0,0.001
6776,r018,"Class 2 (22.8, 23.8, 25.7%): Very Satisfied With Everything -> Responsibility","Class 2 (22.8, 23.8, 25.7%): Very Satisfied With Everything",Responsibility,2,0.978,0.983,0.985,0.021,0.015,0.015,0.0,0.002,0.0
6776,r019,"Class 2 (22.8, 23.8, 25.7%): Very Satisfied With Everything -> Independence","Class 2 (22.8, 23.8, 25.7%): Very Satisfied With Everything",Independence,2,0.952,0.955,0.952,0.047,0.043,0.045,0.002,0.003,0.003
6776,r020,"Class 2 (22.8, 23.8, 25.7%): Very Satisfied With Everything -> Contribution","Class 2 (22.8, 23.8, 25.7%): Very Satisfied With Everything",Contribution,2,0.868,0.881,0.877,0.124,0.111,0.11,0.008,0.008,0.013
6776,r021,"Class 3 (13.8, 16.2, 17.2%): Very Satisfied With Benefits","Class 3 (13.8, 16.2, 17.2%): Very Satisfied With Benefits",,1,,,,,,,,,
6776,r022,"Class 3 (13.8, 16.2, 17.2%): Very Satisfied With Benefits -> Salary","Class 3 (13.8, 16.2, 17.2%): Very Satisfied With Benefits",Salary,2,0.631,0.589,0.544,0.346,0.39,0.427,0.023,0.021,0.029
6776,r023,"Class 3 (13.8, 16.2, 17.2%): Very Satisfied With Benefits -> Benefits","Class 3 (13.8, 16.2, 17.2%): Very Satisfied With Benefits",Benefits,2,0.828,0.802,0.774,0.169,0.191,0.221,0.003,0.008,0.004
6776,r024,"Class 3 (13.8, 16.2, 17.2%): Very Satisfied With Benefits -> Security","Class 3 (13.8, 16.2, 17.2%): Very Satisfied With Benefits",Security,2,0.604,0.616,0.658,0.301,0.291,0.281,0.096,0.093,0.061
6776,r025,"Class 3 (13.8, 16.2, 17.2%): Very Satisfied With Benefits -> Location","Class 3 (13.8, 16.2, 17.2%): Very Satisfied With Benefits",Location,2,0.579,0.597,0.603,0.304,0.296,0.302,0.118,0.108,0.095
6776,r026,"Class 3 (13.8, 16.2, 17.2%): Very Satisfied With Benefits -> Advancement","Class 3 (13.8, 16.2, 17.2%): Very Satisfied With Benefits",Advancement,2,0.15,0.157,0.15,0.598,0.634,0.636,0.253,0.209,0.214
6776,r027,"Class 3 (13.8, 16.2, 17.2%): Very Satisfied With Benefits -> Challenge","Class 3 (13.8, 16.2, 17.2%): Very Satisfied With Benefits",Challenge,2,0.351,0.322,0.329,0.551,0.591,0.584,0.098,0.087,0.087
6776,r028,"Class 3 (13.8, 16.2, 17.2%): Very Satisfied With Benefits -> Responsibility","Class 3 (13.8, 16.2, 17.2%): Very Satisfied With Benefits",Responsibility,2,0.325,0.316,0.318,0.612,0.637,0.627,0.064,0.047,0.055
6776,r029,"Class 3 (13.8, 16.2, 17.2%): Very Satisfied With Benefits -> Independence","Class 3 (13.8, 16.2, 17.2%): Very Satisfied With Benefits",Independence,2,0.539,0.549,0.568,0.382,0.392,0.375,0.079,0.059,0.057
6776,r030,"Class 3 (13.8, 16.2, 17.2%): Very Satisfied With Benefits -> Contribution","Class 3 (13.8, 16.2, 17.2%): Very Satisfied With Benefits",Contribution,2,0.398,0.422,0.434,0.507,0.5,0.481,0.094,0.079,0.086
6776,r031,"Class 4 (16.1, 16.1, 15.0%): Dissatisfied With Opportunities For Advancement","Class 4 (16.1, 16.1, 15.0%): Dissatisfied With Opportunities For Advancement",,1,,,,,,,,,
6776,r032,"Class 4 (16.1, 16.1, 15.0%): Dissatisfied With Opportunities For Advancement -> Salary","Class 4 (16.1, 16.1, 15.0%): Dissatisfied With Opportunities For Advancement",Salary,2,0.087,0.096,0.103,0.398,0.414,0.391,0.515,0.491,0.506
6776,r033,"Class 4 (16.1, 16.1, 15.0%): Dissatisfied With Opportunities For Advancement -> Benefits","Class 4 (16.1, 16.1, 15.0%): Dissatisfied With Opportunities For Advancement",Benefits,2,0.188,0.206,0.201,0.435,0.432,0.423,0.377,0.362,0.376
6776,r034,"Class 4 (16.1, 16.1, 15.0%): Dissatisfied With Opportunities For Advancement -> Security","Class 4 (16.1, 16.1, 15.0%): Dissatisfied With Opportunities For Advancement",Security,2,0.196,0.199,0.218,0.339,0.362,0.348,0.465,0.439,0.434
6776,r035,"Class 4 (16.1, 16.1, 15.0%): Dissatisfied With Opportunities For Advancement -> Location","Class 4 (16.1, 16.1, 15.0%): Dissatisfied With Opportunities For Advancement",Location,2,0.347,0.347,0.35,0.361,0.361,0.349,0.293,0.292,0.301
6776,r036,"Class 4 (16.1, 16.1, 15.0%): Dissatisfied With Opportunities For Advancement -> Advancement","Class 4 (16.1, 16.1, 15.0%): Dissatisfied With Opportunities For Advancement",Advancement,2,0.009,0.013,0.012,0.121,0.141,0.127,0.87,0.846,0.861
6776,r037,"Class 4 (16.1, 16.1, 15.0%): Dissatisfied With Opportunities For Advancement -> Challenge","Class 4 (16.1, 16.1, 15.0%): Dissatisfied With Opportunities For Advancement",Challenge,2,0.098,0.078,0.076,0.37,0.358,0.344,0.533,0.564,0.58
6776,r038,"Class 4 (16.1, 16.1, 15.0%): Dissatisfied With Opportunities For Advancement -> Responsibility","Class 4 (16.1, 16.1, 15.0%): Dissatisfied With Opportunities For Advancement",Responsibility,2,0.038,0.039,0.039,0.465,0.456,0.416,0.497,0.505,0.546
6776,r039,"Class 4 (16.1, 16.1, 15.0%): Dissatisfied With Opportunities For Advancement -> Independence","Class 4 (16.1, 16.1, 15.0%): Dissatisfied With Opportunities For Advancement",Independence,2,0.243,0.235,0.236,0.404,0.431,0.399,0.353,0.335,0.366
6776,r040,"Class 4 (16.1, 16.1, 15.0%): Dissatisfied With Opportunities For Advancement -> Contribution","Class 4 (16.1, 16.1, 15.0%): Dissatisfied With Opportunities For Advancement",Contribution,2,0.198,0.189,0.191,0.468,0.465,0.446,0.334,0.346,0.364
6776,r041,"Class 5 (16.8, 16.1, 15.9%): Somewhat Satisfied With Everything","Class 5 (16.8, 16.1, 15.9%): Somewhat Satisfied With Everything",,1,,,,,,,,,
6776,r042,"Class 5 (16.8, 16.1, 15.9%): Somewhat Satisfied With Everything -> Salary","Class 5 (16.8, 16.1, 15.9%): Somewhat Satisfied With Everything",Salary,2,0.032,0.034,0.027,0.75,0.769,0.761,0.218,0.197,0.212
6776,r043,"Class 5 (16.8, 16.1, 15.9%): Somewhat Satisfied With Everything -> Benefits","Class 5 (16.8, 16.1, 15.9%): Somewhat Satisfied With Everything",Benefits,2,0.102,0.104,0.082,0.753,0.747,0.769,0.146,0.149,0.15
6776,r044,"Class 5 (16.8, 16.1, 15.9%): Somewhat Satisfied With Everything -> Security","Class 5 (16.8, 16.1, 15.9%): Somewhat Satisfied With Everything",Security,2,0.254,0.232,0.231,0.621,0.638,0.642,0.126,0.129,0.127
6776,r045,"Class 5 (16.8, 16.1, 15.9%): Somewhat Satisfied With Everything -> Location","Class 5 (16.8, 16.1, 15.9%): Somewhat Satisfied With Everything",Location,2,0.323,0.31,0.292,0.55,0.556,0.574,0.126,0.134,0.134
6776,r046,"Class 5 (16.8, 16.1, 15.9%): Somewhat Satisfied With Everything -> Advancement","Class 5 (16.8, 16.1, 15.9%): Somewhat Satisfied With Everything",Advancement,2,0.021,0.018,0.01,0.675,0.699,0.673,0.303,0.284,0.317
6776,r047,"Class 5 (16.8, 16.1, 15.9%): Somewhat Satisfied With Everything -> Challenge","Class 5 (16.8, 16.1, 15.9%): Somewhat Satisfied With Everything",Challenge,2,0.121,0.092,0.077,0.802,0.846,0.848,0.076,0.062,0.075
6776,r048,"Class 5 (16.8, 16.1, 15.9%): Somewhat Satisfied With Everything -> Responsibility","Class 5 (16.8, 16.1, 15.9%): Somewhat Satisfied With Everything",Responsibility,2,0.03,0.015,0.015,0.935,0.952,0.939,0.035,0.033,0.046
6776,r049,"Class 5 (16.8, 16.1, 15.9%): Somewhat Satisfied With Everything -> Independence","Class 5 (16.8, 16.1, 15.9%): Somewhat Satisfied With Everything",Independence,2,0.304,0.282,0.263,0.661,0.675,0.686,0.035,0.043,0.051
6776,r050,"Class 5 (16.8, 16.1, 15.9%): Somewhat Satisfied With Everything -> Contribution","Class 5 (16.8, 16.1, 15.9%): Somewhat Satisfied With Everything",Contribution,2,0.216,0.21,0.203,0.733,0.743,0.734,0.051,0.048,0.063
