table_id,row_id,_b_ffrdc_b_full_path,_b_ffrdc_b_level_1,_b_ffrdc_b_level_2,_b_ffrdc_b_level_3,_b_ffrdc_b_hierarchy_depth,field_total,field_dhs,field_doc,field_dod,field_doe,field_hhs_,field_nasa,field_nsf,field_othera
10812,r035,All FFRDCs -> Administered by nonprofit institutions<sup>c</sup> -> Homeland Security Operational Analysis Center,All FFRDCs,Administered by nonprofit institutions<sup>c</sup>,Homeland Security Operational Analysis Center,3,8066,8066,0,0,0,0,0,0,0
10812,r036,All FFRDCs -> Administered by nonprofit institutions<sup>c</sup> -> Homeland Security Systems Engineering and Development Institute,All FFRDCs,Administered by nonprofit institutions<sup>c</sup>,Homeland Security Systems Engineering and Development Institute,3,13827,10877,0,0,0,0,0,0,2950
10812,r037,All FFRDCs -> Administered by nonprofit institutions<sup>c</sup> -> Judiciary Engineering and Modernization Center,All FFRDCs,Administered by nonprofit institutions<sup>c</sup>,Judiciary Engineering and Modernization Center,3,75756,0,0,0,0,0,0,0,75756
10812,r038,"All FFRDCs -> Administered by nonprofit institutions<sup>c</sup> -> NSEC&#8212;Bedford, MA",All FFRDCs,Administered by nonprofit institutions<sup>c</sup>,"NSEC&#8212;Bedford, MA",3,126297,0,0,49979,0,0,0,0,76319
10812,r039,"All FFRDCs -> Administered by nonprofit institutions<sup>c</sup> -> NSEC&#8212;McLean, VA",All FFRDCs,Administered by nonprofit institutions<sup>c</sup>,"NSEC&#8212;McLean, VA",3,150384,0,0,150384,0,0,0,0,0
10812,r040,All FFRDCs -> Administered by nonprofit institutions<sup>c</sup> -> National Biodefense Analysis and Countermeasures Center,All FFRDCs,Administered by nonprofit institutions<sup>c</sup>,National Biodefense Analysis and Countermeasures Center,3,2,0,0,2,0,0,0,0,0
10812,r041,All FFRDCs -> Administered by nonprofit institutions<sup>c</sup> -> National Cybersecurity Center of Excellence,All FFRDCs,Administered by nonprofit institutions<sup>c</sup>,National Cybersecurity Center of Excellence,3,16866,0,13058,3808,0,0,0,0,0
10812,r042,All FFRDCs -> Administered by nonprofit institutions<sup>c</sup> -> National Defense Research Institute,All FFRDCs,Administered by nonprofit institutions<sup>c</sup>,National Defense Research Institute,3,14774,0,0,14774,0,0,0,0,0
10812,r043,All FFRDCs -> Administered by nonprofit institutions<sup>c</sup> -> National Renewable Energy Laboratory,All FFRDCs,Administered by nonprofit institutions<sup>c</sup>,National Renewable Energy Laboratory,3,427283,0,0,6179,421104,0,0,0,0
10812,r044,All FFRDCs -> Administered by nonprofit institutions<sup>c</sup> -> Oak Ridge National Laboratory,All FFRDCs,Administered by nonprofit institutions<sup>c</sup>,Oak Ridge National Laboratory,3,1281667,2400,0,6794,1262292,598,0,0,9584
10812,r045,All FFRDCs -> Administered by nonprofit institutions<sup>c</sup> -> Pacific Northwest National Laboratory,All FFRDCs,Administered by nonprofit institutions<sup>c</sup>,Pacific Northwest National Laboratory,3,559924,2901,0,22903,511965,15736,0,0,6420
10812,r046,All FFRDCs -> Administered by nonprofit institutions<sup>c</sup> -> Project Air Force,All FFRDCs,Administered by nonprofit institutions<sup>c</sup>,Project Air Force,3,50582,0,0,50582,0,0,0,0,0
10812,r047,All FFRDCs -> Administered by nonprofit institutions<sup>c</sup> -> Science and Technology Policy Institute,All FFRDCs,Administered by nonprofit institutions<sup>c</sup>,Science and Technology Policy Institute,3,16277,767,0,10000,0,0,530,4980,0
10812,r048,All FFRDCs -> Administered by nonprofit institutions<sup>c</sup> -> Systems and Analyses Center,All FFRDCs,Administered by nonprofit institutions<sup>c</sup>,Systems and Analyses Center,3,256470,0,0,256470,0,0,0,0,0
