table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_other_agency_r_d_expendituresa,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
7997,r020,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,19,"['35,132', '']","['47', '']","['15,326', '']","['4,410', '']","['182', '']","['198', '']","['402', '']","['3,414', '']","['66', '']","['3,636', '']","['7,451', '']"
7997,r021,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,20,"['35,129', '']","['337', '']","['4,890', '']","['6,310', '']","['81', '']","['0', '']","['298', '']","['7,314', '']","['1,450', '']","['12,881', '']","['1,568', '']"
7997,r022,All institutions -> New Jersey Institute of Technology,All institutions,New Jersey Institute of Technology,2,21,"['35,098', '']","['102', '']","['0', '']","['0', '']","['0', '']","['126', '']","['0', '']","['76', '']","['0', '']","['31,734', '']","['3,060', '']"
7997,r023,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,22,"['34,184', '']","['480', '']","['385', '']","['10,164', '']","['0', '']","['187', '']","['912', '']","['14,362', '']","['20', '']","['4,372', '']","['3,302', '']"
7997,r024,All institutions -> Clemson U.,All institutions,Clemson U.,2,23,"['33,462', '']","['482', '']","['0', '']","['6,753', '']","['122', '']","['1,655', '']","['345', '']","['3,469', '']","['0', '']","['17,757', '']","['2,879', '']"
7997,r025,"All institutions -> U. Louisiana, Lafayette",All institutions,"U. Louisiana, Lafayette",2,24,"['33,039', '']","['1,136', '']","['3,015', '']","['4,602', '']","['72', '']","['3,141', '']","['0', '']","['1,724', '']","['0', '']","['3,748', '']","['15,601', '']"
7997,r026,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,25,"['32,917', '']","['1,148', '']","['231', '']","['6,757', '']","['0', '']","['409', '']","['0', '']","['844', '']","['0', '']","['15,818', '']","['7,710', '']"
7997,r027,All institutions -> Virginia Polytechnic Institute and State U.,All institutions,Virginia Polytechnic Institute and State U.,2,26,"['30,102', '']","['18', '']","['262', '']","['7,769', '']","['548', '']","['137', '']","['1,306', '']","['358', '']","['0', '']","['18,529', '']","['1,175', '']"
7997,r028,All institutions -> Iowa State U.,All institutions,Iowa State U.,2,27,"['29,860', '']","['17', '']","['303', '']","['2,117', '']","['4,271', '']","['192', '']","['520', '']","['2,675', '']","['0', '']","['16,769', '']","['2,996', '']"
7997,r029,All institutions -> U. Miami,All institutions,U. Miami,2,28,"['29,467', '']","['14', '']","['22,933', '']","['2,552', '']","['0', '']","['2,496', '']","['962', '']","['0', '']","['0', '']","['148', '']","['362', '']"
7997,r030,All institutions -> Mississippi State U.,All institutions,Mississippi State U.,2,29,"['28,531', '']","['6', '']","['11,110', '']","['6,269', '']","['49', '']","['0', '']","['0', '']","['5,420', '']","['0', '']","['4,037', '']","['1,640', '']"
7997,r031,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,30,"['28,380', '']","['529', '']","['313', '']","['1,444', '']","['0', '']","['0', '']","['1,482', '']","['5,322', '']","['4,855', '']","['3,446', '']","['10,989', '']"
7997,r032,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,31,"['28,339', '']","['893', '']","['776', '']","['11,788', '']","['0', '']","['7', '']","['484', '']","['444', '']","['363', '']","['12,282', '']","['1,302', '']"
7997,r033,All institutions -> Duke U.,All institutions,Duke U.,2,32,"['28,157', '']","['0', '']","['772', '']","['21,629', '']","['0', '']","['136', '']","['0', '']","['1,911', '']","['0', '']","['3,444', '']","['265', '']"
7997,r034,All institutions -> Wichita State U.,All institutions,Wichita State U.,2,33,"['27,030', '']","['0', '']","['0', '']","['3,925', '']","['0', '']","['0', '']","['207', '']","['9', '']","['0', '']","['21,616', '']","['1,273', '']"
7997,r035,All institutions -> North Carolina State U.,All institutions,North Carolina State U.,2,34,"['26,077', '']","['410', '']","['7,633', '']","['1,940', '']","['1,791', '']","['37', '']","['199', '']","['778', '']","['204', '']","['12,050', '']","['1,035', '']"
7997,r036,All institutions -> Oregon State U.,All institutions,Oregon State U.,2,35,"['26,072', '']","['2', '']","['7,593', '']","['11,056', '']","['20', '']","['496', '']","['175', '']","['1,230', '']","['163', '']","['4,110', '']","['1,227', '']"
7997,r037,All institutions -> U. Rhode Island,All institutions,U. Rhode Island,2,36,"['24,909', '']","['0', '']","['19,354', '']","['990', '']","['0', '']","['737', '']","['0', '']","['93', '']","['675', '']","['1,449', '']","['1,611', '']"
7997,r038,"All institutions -> U. Hawaii, Manoa",All institutions,"U. Hawaii, Manoa",2,37,"['24,630', '']","['27', '']","['16,018', '']","['5,050', '']","['0', '']","['1', '']","['2', '']","['388', '']","['966', '']","['2,123', '']","['55', '']"
7997,r039,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,38,"['24,614', '']","['829', '']","['3,565', '']","['618', '']","['783', '']","['684', '']","['276', '']","['939', '']","['0', '']","['6,577', '']","['10,343', '']"
7997,r040,"All institutions -> U. Missouri, Columbia",All institutions,"U. Missouri, Columbia",2,39,"['24,420', '']","['86', '']","['0', '']","['7,358', '']","['280', '']","['41', '']","['0', '']","['174', '']","['0', '']","['2,376', '']","['14,105', '']"
7997,r041,All institutions -> Woods Hole Oceanographic Institution,All institutions,Woods Hole Oceanographic Institution,2,40,"['24,160', '']","['0', '']","['20,649', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['3,511', '']","['0', '']"
7997,r042,All institutions -> U. Kansas,All institutions,U. Kansas,2,41,"['23,999', '']","['46', '']","['696', '']","['692', '']","['0', '']","['0', '']","['949', '']","['29', '']","['0', '']","['1,682', '']","['19,905', '']"
7997,r043,All institutions -> Florida State U.,All institutions,Florida State U.,2,42,"['23,856', '']","['361', '']","['1,462', '']","['1,636', '']","['2', '']","['133', '']","['215', '']","['730', '']","['0', '']","['2,023', '']","['17,294', '']"
7997,r044,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,43,"['23,495', '']","['0', '']","['283', '']","['6,582', '']","['0', '']","['6,016', '']","['239', '']","['1,449', '']","['839', '']","['4,607', '']","['3,480', '']"
7997,r045,"All institutions -> Rutgers, State U. New Jersey, New Brunswick",All institutions,"Rutgers, State U. New Jersey, New Brunswick",2,44,"['22,581', '']","['0', '']","['6,458', '']","['5,534', '']","['181', '']","['20', '']","['4', '']","['948', '']","['0', '']","['6,751', '']","['2,685', '']"
7997,r046,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,45,"['22,423', '']","['110', '']","['2,265', '']","['8,692', '']","['0', '']","['972', '']","['0', '']","['2,668', '']","['0', '']","['5,047', '']","['2,669', '']"
7997,r047,All institutions -> U. New Hampshire,All institutions,U. New Hampshire,2,46,"['22,010', '']","['0', '']","['12,690', '']","['3,549', '']","['0', '']","['43', '']","['222', '']","['1,260', '']","['0', '']","['2,137', '']","['2,109', '']"
7997,r048,All institutions -> Florida International U.,All institutions,Florida International U.,2,47,"['21,489', '']","['561', '']","['5,732', '']","['817', '']","['0', '']","['2,759', '']","['2,195', '']","['1,534', '']","['85', '']","['3,018', '']","['4,788', '']"
7997,r049,"All institutions -> U. Alaska, Fairbanks",All institutions,"U. Alaska, Fairbanks",2,48,"['21,397', '']","['846', '']","['13,325', '']","['4,560', '']","['0', '']","['0', '']","['0', '']","['164', '']","['641', '']","['1,728', '']","['133', '']"
7997,r050,All institutions -> U. Connecticut,All institutions,U. Connecticut,2,49,"['20,682', '']","['307', '']","['4,013', '']","['3,398', '']","['0', '']","['0', '']","['3,688', '']","['279', '']","['0', '']","['8,670', '']","['327', '']"
7997,r051,All institutions -> Washington State U.,All institutions,Washington State U.,2,50,"['20,347', '']","['24', '']","['1,006', '']","['2,922', '']","['19', '']","['416', '']","['210', '']","['979', '']","['64', '']","['3,144', '']","['11,563', '']"
7997,r052,All institutions -> U. Southern California,All institutions,U. Southern California,2,51,"['17,912', '']","['866', '']","['2,997', '']","['868', '']","['0', '']","['0', '']","['739', '']","['6,593', '']","['0', '']","['2,068', '']","['3,781', '']"
7997,r053,"All institutions -> U. Virginia, Charlottesville",All institutions,"U. Virginia, Charlottesville",2,52,"['17,700', '']","['2,682', '']","['553', '']","['2,454', '']","['136', '']","['123', '']","['53', '']","['547', '']","['0', '']","['1,306', '']","['9,846', '']"
7997,r054,All institutions -> U. Southern Mississippi,All institutions,U. Southern Mississippi,2,53,"['17,523', '']","['0', '']","['14,693', '']","['1,465', '']","['0', '']","['315', '']","['0', '']","['443', '']","['0', '']","['583', '']","['24', '']"
7997,r055,All institutions -> William & Mary,All institutions,William & Mary,2,54,"['17,463', '']","['91', '']","['9,106', '']","['225', '']","['0', '']","['0', '']","['13', '']","['4,306', '']","['0', '']","['0', '']","['3,722', '']"
7997,r056,All institutions -> U. Arizona,All institutions,U. Arizona,2,55,"['15,927', '']","['402', '']","['5,155', '']","['4,245', '']","['33', '']","['2,166', '']","['0', '']","['1,388', '']","['301', '']","['1,451', '']","['786', '']"
7997,r057,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,56,"['15,761', '']","['0', '']","['1,352', '']","['4,173', '']","['0', '']","['0', '']","['214', '']","['1,322', '']","['3,514', '']","['766', '']","['4,420', '']"
7997,r058,All institutions -> George Mason U.,All institutions,George Mason U.,2,57,"['15,671', '']","['3,257', '']","['2,523', '']","['779', '']","['113', '']","['31', '']","['368', '']","['2,672', '']","['0', '']","['4,292', '']","['1,636', '']"
7997,r059,"All institutions -> Auburn U., Auburn",All institutions,"Auburn U., Auburn",2,58,"['15,649', '']","['483', '']","['313', '']","['3,546', '']","['0', '']","['2', '']","['0', '']","['8', '']","['408', '']","['10,733', '']","['156', '']"
7997,r060,All institutions -> Florida A&M U.,All institutions,Florida A&M U.,2,59,"['15,572', '']","['2', '']","['3,631', '']","['5,350', '']","['0', '']","['14', '']","['0', '']","['0', '']","['0', '']","['1,674', '']","['4,901', '']"
7997,r061,All institutions -> Harvard U.,All institutions,Harvard U.,2,60,"['15,342', '']","['245', '']","['2,313', '']","['1,737', '']","['946', '']","['1,295', '']","['102', '']","['3,310', '']","['41', '']","['1,862', '']","['3,491', '']"
7997,r062,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,61,"['15,179', '']","['543', '']","['3,253', '']","['322', '']","['0', '']","['1,420', '']","['0', '']","['2,682', '']","['73', '']","['5,537', '']","['1,349', '']"
7997,r063,All institutions -> Virginia Commonwealth U.,All institutions,Virginia Commonwealth U.,2,62,"['15,063', '']","['0', '']","['21', '']","['4,908', '']","['48', '']","['63', '']","['521', '']","['11', '']","['0', '']","['593', '']","['8,898', '']"
7997,r064,All institutions -> U. Iowa,All institutions,U. Iowa,2,63,"['15,046', '']","['12', '']","['10', '']","['5,564', '']","['0', '']","['118', '']","['313', '']","['1,066', '']","['0', '']","['6,861', '']","['1,102', '']"
7997,r065,All institutions -> Vanderbilt U. and Vanderbilt U. Medical Center,All institutions,Vanderbilt U. and Vanderbilt U. Medical Center,2,64,"['14,980', '']","['299', '']","['0', '']","['977', '']","['0', '']","['568', '']","['37', '']","['2,687', '']","['0', '']","['1,900', '']","['8,512', '']"
7997,r066,"All institutions -> U. Nevada, Reno",All institutions,"U. Nevada, Reno",2,65,"['14,977', '']","['176', '']","['2,936', '']","['7,210', '']","['0', '']","['85', '']","['0', '']","['686', '']","['0', '']","['3,448', '']","['436', '']"
7997,r067,All institutions -> Cornell U.,All institutions,Cornell U.,2,66,"['14,436', '']","['56', '']","['1,017', '']","['10,091', '']","['0', '']","['14', '']","['426', '']","['371', '']","['0', '']","['1,587', '']","['874', '']"
7997,r068,All institutions -> Texas State U.,All institutions,Texas State U.,2,67,"['14,195', '']","['4', '']","['881', '']","['634', '']","['0', '']","['0', '']","['0', '']","['1,169', '']","['0', '']","['483', '']","['11,024', '']"
7997,r069,"All institutions -> U. Texas, Arlington",All institutions,"U. Texas, Arlington",2,68,"['14,027', '']","['229', '']","['0', '']","['62', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['11,675', '']","['2,061', '']"
7997,r070,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,69,"['13,915', '']","['196', '']","['48', '']","['11,376', '']","['10', '']","['0', '']","['0', '']","['92', '']","['267', '']","['1,301', '']","['625', '']"
7997,r071,"All institutions -> U. Nebraska, Lincoln",All institutions,"U. Nebraska, Lincoln",2,70,"['13,906', '']","['0', '']","['178', '']","['2,945', '']","['53', '']","['0', '']","['2,457', '']","['132', '']","['0', '']","['7,153', '']","['988', '']"
7997,r072,"All institutions -> Montana State U., Bozeman",All institutions,"Montana State U., Bozeman",2,71,"['13,829', '']","['59', '']","['308', '']","['1,847', '']","['72', '']","['11', '']","['0', '']","['755', '']","['100', '']","['8,203', '']","['2,474', '']"
7997,r073,All institutions -> U. Georgia,All institutions,U. Georgia,2,72,"['13,783', '']","['32', '']","['2,922', '']","['6,200', '']","['0', '']","['0', '']","['2,395', '']","['428', '']","['21', '']","['1,173', '']","['612', '']"
7997,r074,All institutions -> Georgia State U.,All institutions,Georgia State U.,2,73,"['13,770', '']","['84', '']","['294', '']","['478', '']","['0', '']","['0', '']","['213', '']","['1,486', '']","['0', '']","['0', '']","['11,215', '']"
7997,r075,All institutions -> Princeton U.,All institutions,Princeton U.,2,74,"['13,732', '']","['0', '']","['9,440', '']","['2,073', '']","['0', '']","['0', '']","['0', '']","['1,711', '']","['0', '']","['102', '']","['406', '']"
7997,r076,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,75,"['13,641', '']","['57', '']","['0', '']","['6,064', '']","['0', '']","['31', '']","['436', '']","['2,335', '']","['0', '']","['625', '']","['4,093', '']"
7997,r077,All institutions -> Georgetown U.,All institutions,Georgetown U.,2,76,"['13,435', '']","['521', '']","['0', '']","['4,894', '']","['0', '']","['5,687', '']","['0', '']","['1,846', '']","['0', '']","['0', '']","['487', '']"
7997,r078,"All institutions -> U. Alabama, Tuscaloosa",All institutions,"U. Alabama, Tuscaloosa",2,77,"['13,250', '']","['3,031', '']","['188', '']","['101', '']","['0', '']","['0', '']","['45', '']","['559', '']","['0', '']","['7,184', '']","['2,142', '']"
7997,r079,All institutions -> Carnegie Mellon U.,All institutions,Carnegie Mellon U.,2,78,"['13,238', '']","['5,065', '']","['0', '']","['0', '']","['228', '']","['362', '']","['509', '']","['0', '']","['0', '']","['7,074', '']","['0', '']"
7997,r080,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,79,"['12,619', '']","['58', '']","['299', '']","['2,932', '']","['0', '']","['151', '']","['3,519', '']","['170', '']","['0', '']","['3,119', '']","['2,371', '']"
7997,r081,All institutions -> Northeastern U.,All institutions,Northeastern U.,2,80,"['12,613', '']","['49', '']","['655', '']","['154', '']","['0', '']","['113', '']","['87', '']","['3,845', '']","['0', '']","['7,039', '']","['671', '']"
7997,r082,All institutions -> U. Oregon,All institutions,U. Oregon,2,81,"['12,557', '']","['80', '']","['1,935', '']","['240', '']","['0', '']","['27', '']","['1,743', '']","['279', '']","['0', '']","['0', '']","['8,253', '']"
7997,r083,"All institutions -> U. California, Santa Cruz",All institutions,"U. California, Santa Cruz",2,82,"['11,628', '']","['1', '']","['5,114', '']","['6,040', '']","['0', '']","['39', '']","['0', '']","['78', '']","['0', '']","['283', '']","['73', '']"
7997,r084,All institutions -> Kansas State U.,All institutions,Kansas State U.,2,83,"['11,583', '']","['118', '']","['150', '']","['4,912', '']","['12', '']","['10', '']","['30', '']","['426', '']","['1,228', '']","['4,345', '']","['352', '']"
7997,r085,"All institutions -> Indiana U., Bloomington",All institutions,"Indiana U., Bloomington",2,84,"['11,355', '']","['3,745', '']","['614', '']","['797', '']","['0', '']","['268', '']","['240', '']","['4,801', '']","['0', '']","['20', '']","['870', '']"
7997,r086,All institutions -> U. Baltimore,All institutions,U. Baltimore,2,85,"['11,222', '']","['14', '']","['0', '']","['0', '']","['0', '']","['45', '']","['0', '']","['481', '']","['0', '']","['0', '']","['10,682', '']"
7997,r087,All institutions -> Brandeis U.,All institutions,Brandeis U.,2,86,"['11,165', '']","['111', '']","['0', '']","['627', '']","['4', '']","['0', '']","['0', '']","['1,827', '']","['0', '']","['0', '']","['8,596', '']"
7997,r088,All institutions -> George Washington U.,All institutions,George Washington U.,2,87,"['11,142', '']","['285', '']","['0', '']","['3,199', '']","['0', '']","['67', '']","['0', '']","['4,958', '']","['608', '']","['201', '']","['1,824', '']"
7997,r089,All institutions -> U. Central Florida,All institutions,U. Central Florida,2,88,"['11,047', '']","['2,442', '']","['0', '']","['1,111', '']","['0', '']","['778', '']","['1,181', '']","['117', '']","['0', '']","['1,791', '']","['3,627', '']"
7997,r090,All institutions -> Medical U. South Carolina,All institutions,Medical U. South Carolina,2,89,"['10,928', '']","['0', '']","['0', '']","['10,928', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7997,r091,"All institutions -> Louisiana State U., Baton Rouge",All institutions,"Louisiana State U., Baton Rouge",2,90,"['10,926', '']","['135', '']","['4,349', '']","['1,492', '']","['182', '']","['275', '']","['101', '']","['358', '']","['0', '']","['3,336', '']","['698', '']"
7997,r092,All institutions -> Yale U.,All institutions,Yale U.,2,91,"['10,703', '']","['135', '']","['76', '']","['4,535', '']","['0', '']","['0', '']","['228', '']","['54', '']","['0', '']","['160', '']","['5,515', '']"
7997,r093,"All institutions -> U. Illinois, Chicago",All institutions,"U. Illinois, Chicago",2,92,"['10,663', '']","['44', '']","['29', '']","['5,089', '']","['0', '']","['0', '']","['530', '']","['1,202', '']","['0', '']","['476', '']","['3,293', '']"
7997,r094,All institutions -> New York U.,All institutions,New York U.,2,93,"['10,466', '']","['145', '']","['0', '']","['1,106', '']","['561', '']","['0', '']","['312', '']","['2,201', '']","['0', '']","['2,831', '']","['3,310', '']"
7997,r095,All institutions -> U. Maine,All institutions,U. Maine,2,94,"['10,425', '']","['41', '']","['5,211', '']","['1,079', '']","['0', '']","['16', '']","['0', '']","['137', '']","['0', '']","['3,388', '']","['553', '']"
7997,r096,"All institutions -> U. North Carolina, Greensboro",All institutions,"U. North Carolina, Greensboro",2,95,"['10,304', '']","['395', '']","['0', '']","['194', '']","['31', '']","['0', '']","['413', '']","['28', '']","['0', '']","['0', '']","['9,243', '']"
7997,r097,All institutions -> U. Notre Dame,All institutions,U. Notre Dame,2,96,"['10,264', '']","['2,644', '']","['0', '']","['404', '']","['0', '']","['168', '']","['438', '']","['1,050', '']","['131', '']","['1,103', '']","['4,326', '']"
7997,r098,All institutions -> U. Colorado Anschutz Medical Campus<sup>e</sup>,All institutions,U. Colorado Anschutz Medical Campus<sup>e</sup>,2,97,"['10,084', '']","['0', '']","['0', '']","['10,001', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['83', '']","['0', '']"
7997,r099,"All institutions -> U. Massachusetts, Amherst",All institutions,"U. Massachusetts, Amherst",2,98,"['10,014', '']","['1,367', '']","['465', '']","['1,545', '']","['0', '']","['12', '']","['0', '']","['77', '']","['0', '']","['5,602', '']","['946', '']"
7997,r100,"All institutions -> SUNY, U. Buffalo",All institutions,"SUNY, U. Buffalo",2,99,"['10,000', '']","['129', '']","['186', '']","['5,686', '']","['0', '']","['481', '']","['507', '']","['125', '']","['0', '']","['954', '']","['1,932', '']"
7997,r101,"All institutions -> U. Montana, Missoula",All institutions,"U. Montana, Missoula",2,100,"['9,946', '']","['0', '']","['316', '']","['7,572', '']","['0', '']","['443', '']","['0', '']","['1,451', '']","['0', '']","['0', '']","['164', '']"
7997,r102,All institutions -> U. Kentucky,All institutions,U. Kentucky,2,101,"['9,817', '']","['177', '']","['885', '']","['839', '']","['0', '']","['0', '']","['466', '']","['73', '']","['1,206', '']","['5,736', '']","['435', '']"
7997,r103,All institutions -> Northwestern U.,All institutions,Northwestern U.,2,102,"['9,435', '']","['0', '']","['78', '']","['1,827', '']","['0', '']","['4,479', '']","['0', '']","['901', '']","['161', '']","['1,234', '']","['755', '']"
7997,r104,All institutions -> U. Cincinnati,All institutions,U. Cincinnati,2,103,"['9,236', '']","['17', '']","['31', '']","['3,745', '']","['0', '']","['0', '']","['91', '']","['1,650', '']","['0', '']","['2,562', '']","['1,140', '']"
7997,r105,All institutions -> Embry-Riddle Aeronautical U.,All institutions,Embry-Riddle Aeronautical U.,2,104,"['9,172', '']","['1,046', '']","['201', '']","['0', '']","['0', '']","['0', '']","['0', '']","['79', '']","['0', '']","['7,784', '']","['62', '']"
7997,r106,"All institutions -> U. California, Irvine",All institutions,"U. California, Irvine",2,105,"['8,954', '']","['280', '']","['5', '']","['706', '']","['3', '']","['115', '']","['380', '']","['291', '']","['0', '']","['756', '']","['6,418', '']"
7997,r107,All institutions -> U. West Florida,All institutions,U. West Florida,2,106,"['8,936', '']","['0', '']","['0', '']","['156', '']","['0', '']","['622', '']","['0', '']","['4', '']","['0', '']","['0', '']","['8,154', '']"
7997,r108,All institutions -> U. Maryland Center for Environmental Science,All institutions,U. Maryland Center for Environmental Science,2,107,"['8,806', '']","['0', '']","['5,259', '']","['3,191', '']","['0', '']","['195', '']","['0', '']","['0', '']","['0', '']","['0', '']","['161', '']"
7997,r109,All institutions -> Boston U.,All institutions,Boston U.,2,108,"['8,774', '']","['499', '']","['864', '']","['5,736', '']","['0', '']","['118', '']","['225', '']","['117', '']","['1', '']","['494', '']","['720', '']"
7997,r110,"All institutions -> U. Tennessee, Knoxville",All institutions,"U. Tennessee, Knoxville",2,109,"['8,737', '']","['53', '']","['355', '']","['3,234', '']","['0', '']","['216', '']","['0', '']","['821', '']","['371', '']","['3,378', '']","['309', '']"
7997,r111,All institutions -> Stanford U.,All institutions,Stanford U.,2,110,"['8,564', '']","['114', '']","['338', '']","['1,025', '']","['0', '']","['51', '']","['109', '']","['1,500', '']","['0', '']","['3,316', '']","['2,111', '']"
7997,r112,All institutions -> North Dakota State U.,All institutions,North Dakota State U.,2,111,"['8,284', '']","['0', '']","['55', '']","['2,649', '']","['0', '']","['65', '']","['41', '']","['75', '']","['48', '']","['673', '']","['4,678', '']"
