table_id,row_id,sex_and_field_full_path,sex_and_field_level_1,sex_and_field_level_2,sex_and_field_level_3,sex_and_field_level_4,sex_and_field_hierarchy_depth,field_all_recipients,field_recipients_with_definite_commitments,field_location_of_definite_commitments_united_states_total,field_location_of_definite_commitments_united_states_postdoctoral_study,field_location_of_definite_commitments_united_states_academic_employment,field_location_of_definite_commitments_united_states_industry_employmenta,field_location_of_definite_commitments_united_states_otherb,field_location_of_definite_commitments_abroad,field_location_of_definite_commitments_unknown
2836,r045,All doctorate recipients<sup>c</sup> -> Male,All doctorate recipients<sup>c</sup>,Male,,,2,30151,19272,16963,6567,3567,5033,1796,2288,21
2836,r046,All doctorate recipients<sup>c</sup> -> Male -> Life sciences,All doctorate recipients<sup>c</sup>,Male,Life sciences,,3,5819,3699,3375,2121,387,627,240,323,1
2836,r047,All doctorate recipients<sup>c</sup> -> Male -> Life sciences -> Agricultural sciences and natural resources,All doctorate recipients<sup>c</sup>,Male,Life sciences,Agricultural sciences and natural resources,4,761,482,395,199,66,84,46,86,1
2836,r048,All doctorate recipients<sup>c</sup> -> Male -> Life sciences -> Biological and biomedical sciences,All doctorate recipients<sup>c</sup>,Male,Life sciences,Biological and biomedical sciences,4,4200,2652,2483,1718,180,458,127,169,0
2836,r049,All doctorate recipients<sup>c</sup> -> Male -> Life sciences -> Health sciences,All doctorate recipients<sup>c</sup>,Male,Life sciences,Health sciences,4,858,565,497,204,141,85,67,68,0
2836,r050,All doctorate recipients<sup>c</sup> -> Male -> Physical sciences and earth sciences,All doctorate recipients<sup>c</sup>,Male,Physical sciences and earth sciences,,3,4368,2772,2436,1392,151,760,133,332,4
2836,r051,All doctorate recipients<sup>c</sup> -> Male -> Physical sciences and earth sciences -> Chemistry,All doctorate recipients<sup>c</sup>,Male,Physical sciences and earth sciences,Chemistry,4,1790,1101,1012,591,47,344,30,86,3
2836,r052,"All doctorate recipients<sup>c</sup> -> Male -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences",All doctorate recipients<sup>c</sup>,Male,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",4,740,463,386,233,39,67,47,77,0
2836,r053,All doctorate recipients<sup>c</sup> -> Male -> Physical sciences and earth sciences -> Physics and astronomy,All doctorate recipients<sup>c</sup>,Male,Physical sciences and earth sciences,Physics and astronomy,4,1838,1208,1038,568,65,349,56,169,1
2836,r054,All doctorate recipients<sup>c</sup> -> Male -> Mathematics and computer sciences,All doctorate recipients<sup>c</sup>,Male,Mathematics and computer sciences,,3,3144,2216,1934,531,344,950,109,278,4
2836,r055,All doctorate recipients<sup>c</sup> -> Male -> Mathematics and computer sciences -> Computer and information sciences,All doctorate recipients<sup>c</sup>,Male,Mathematics and computer sciences,Computer and information sciences,4,1717,1241,1116,216,175,662,63,122,3
2836,r056,All doctorate recipients<sup>c</sup> -> Male -> Mathematics and computer sciences -> Mathematics and statistics,All doctorate recipients<sup>c</sup>,Male,Mathematics and computer sciences,Mathematics and statistics,4,1427,975,818,315,169,288,46,156,1
2836,r057,All doctorate recipients<sup>c</sup> -> Male -> Psychology and social sciences,All doctorate recipients<sup>c</sup>,Male,Psychology and social sciences,,3,3672,2488,2092,709,716,320,347,393,3
2836,r058,All doctorate recipients<sup>c</sup> -> Male -> Psychology and social sciences -> Psychology,All doctorate recipients<sup>c</sup>,Male,Psychology and social sciences,Psychology,4,1118,759,725,388,140,101,96,34,0
2836,r059,All doctorate recipients<sup>c</sup> -> Male -> Psychology and social sciences -> Anthropology,All doctorate recipients<sup>c</sup>,Male,Psychology and social sciences,Anthropology,4,155,79,62,30,21,6,5,17,0
2836,r060,All doctorate recipients<sup>c</sup> -> Male -> Psychology and social sciences -> Economics,All doctorate recipients<sup>c</sup>,Male,Psychology and social sciences,Economics,4,818,625,442,71,177,122,72,182,1
2836,r061,All doctorate recipients<sup>c</sup> -> Male -> Psychology and social sciences -> Political science and government,All doctorate recipients<sup>c</sup>,Male,Psychology and social sciences,Political science and government,4,433,294,248,83,111,21,33,45,1
2836,r062,All doctorate recipients<sup>c</sup> -> Male -> Psychology and social sciences -> Sociology,All doctorate recipients<sup>c</sup>,Male,Psychology and social sciences,Sociology,4,229,161,151,42,85,9,15,10,0
2836,r063,All doctorate recipients<sup>c</sup> -> Male -> Psychology and social sciences -> Other social sciences,All doctorate recipients<sup>c</sup>,Male,Psychology and social sciences,Other social sciences,4,919,570,464,95,182,61,126,105,1
2836,r064,All doctorate recipients<sup>c</sup> -> Male -> Engineering,All doctorate recipients<sup>c</sup>,Male,Engineering,,3,7833,4895,4311,1478,304,2147,382,576,8
2836,r065,"All doctorate recipients<sup>c</sup> -> Male -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All doctorate recipients<sup>c</sup>,Male,Engineering,"Aerospace, aeronautical, and astronautical engineering",4,323,217,,51,,78,47,,0
2836,r066,All doctorate recipients<sup>c</sup> -> Male -> Engineering -> Bioengineering and biomedical engineering,All doctorate recipients<sup>c</sup>,Male,Engineering,Bioengineering and biomedical engineering,4,720,416,384,221,16,136,11,32,0
2836,r067,All doctorate recipients<sup>c</sup> -> Male -> Engineering -> Chemical engineering,All doctorate recipients<sup>c</sup>,Male,Engineering,Chemical engineering,4,665,413,364,146,7,198,13,47,2
2836,r068,All doctorate recipients<sup>c</sup> -> Male -> Engineering -> Civil engineering,All doctorate recipients<sup>c</sup>,Male,Engineering,Civil engineering,4,542,307,247,88,30,105,24,59,1
2836,r069,"All doctorate recipients<sup>c</sup> -> Male -> Engineering -> Electrical, electronics, and communications engineering",All doctorate recipients<sup>c</sup>,Male,Engineering,"Electrical, electronics, and communications engineering",4,1501,982,881,190,40,567,84,99,2
2836,r070,All doctorate recipients<sup>c</sup> -> Male -> Engineering -> Industrial and manufacturing engineering,All doctorate recipients<sup>c</sup>,Male,Engineering,Industrial and manufacturing engineering,4,172,115,,22,,54,10,,0
2836,r071,All doctorate recipients<sup>c</sup> -> Male -> Engineering -> Materials science engineering,All doctorate recipients<sup>c</sup>,Male,Engineering,Materials science engineering,4,701,405,369,175,7,163,24,34,2
2836,r072,All doctorate recipients<sup>c</sup> -> Male -> Engineering -> Mechanical engineering,All doctorate recipients<sup>c</sup>,Male,Engineering,Mechanical engineering,4,1283,786,697,274,57,301,65,88,1
2836,r073,All doctorate recipients<sup>c</sup> -> Male -> Engineering -> Other engineering,All doctorate recipients<sup>c</sup>,Male,Engineering,Other engineering,4,1926,1254,1070,311,110,545,104,184,0
2836,r074,All doctorate recipients<sup>c</sup> -> Male -> Education,All doctorate recipients<sup>c</sup>,Male,Education,,3,1422,950,870,73,451,44,302,80,0
2836,r075,All doctorate recipients<sup>c</sup> -> Male -> Education -> Education administration,All doctorate recipients<sup>c</sup>,Male,Education,Education administration,4,342,230,221,,,5,128,9,0
2836,r076,All doctorate recipients<sup>c</sup> -> Male -> Education -> Education research,All doctorate recipients<sup>c</sup>,Male,Education,Education research,4,653,447,403,44,236,29,94,44,0
2836,r077,All doctorate recipients<sup>c</sup> -> Male -> Education -> Teacher education,All doctorate recipients<sup>c</sup>,Male,Education,Teacher education,4,20,11,11,0,,,5,0,0
2836,r078,All doctorate recipients<sup>c</sup> -> Male -> Education -> Teaching fields,All doctorate recipients<sup>c</sup>,Male,Education,Teaching fields,4,260,179,159,,88,,48,20,0
2836,r079,All doctorate recipients<sup>c</sup> -> Male -> Education -> Other education,All doctorate recipients<sup>c</sup>,Male,Education,Other education,4,147,83,76,,38,,27,7,0
2836,r080,All doctorate recipients<sup>c</sup> -> Male -> Humanities and arts,All doctorate recipients<sup>c</sup>,Male,Humanities and arts,,3,2479,1293,1129,206,640,63,220,164,0
2836,r081,All doctorate recipients<sup>c</sup> -> Male -> Humanities and arts -> Foreign languages and literature,All doctorate recipients<sup>c</sup>,Male,Humanities and arts,Foreign languages and literature,4,215,127,103,19,68,5,11,24,0
2836,r082,All doctorate recipients<sup>c</sup> -> Male -> Humanities and arts -> History,All doctorate recipients<sup>c</sup>,Male,Humanities and arts,History,4,529,289,247,74,119,8,46,42,0
2836,r083,All doctorate recipients<sup>c</sup> -> Male -> Humanities and arts -> Letters,All doctorate recipients<sup>c</sup>,Male,Humanities and arts,Letters,4,560,279,261,37,185,9,30,18,0
2836,r084,All doctorate recipients<sup>c</sup> -> Male -> Humanities and arts -> Other humanities and arts,All doctorate recipients<sup>c</sup>,Male,Humanities and arts,Other humanities and arts,4,1175,598,518,76,268,41,133,80,0
2836,r085,All doctorate recipients<sup>c</sup> -> Male -> Other<sup>d</sup>,All doctorate recipients<sup>c</sup>,Male,Other<sup>d</sup>,,3,1414,959,816,57,574,122,63,142,1
2836,r086,All doctorate recipients<sup>c</sup> -> Male -> Other<sup>d</sup> -> Business management and administration,All doctorate recipients<sup>c</sup>,Male,Other<sup>d</sup>,Business management and administration,4,874,640,530,21,391,90,28,109,1
2836,r087,All doctorate recipients<sup>c</sup> -> Male -> Other<sup>d</sup> -> Communication,All doctorate recipients<sup>c</sup>,Male,Other<sup>d</sup>,Communication,4,205,126,117,12,87,13,5,9,0
2836,r088,All doctorate recipients<sup>c</sup> -> Male -> Other<sup>d</sup> -> Non-S&E fields nec,All doctorate recipients<sup>c</sup>,Male,Other<sup>d</sup>,Non-S&E fields nec,4,335,193,169,24,96,19,30,24,0
2836,r089,All doctorate recipients<sup>c</sup> -> Female,All doctorate recipients<sup>c</sup>,Female,,,2,25542,15817,14551,5524,4451,2443,2133,1256,10
2836,r090,All doctorate recipients<sup>c</sup> -> Female -> Life sciences,All doctorate recipients<sup>c</sup>,Female,Life sciences,,3,6961,4243,3956,2205,695,646,410,286,1
2836,r091,All doctorate recipients<sup>c</sup> -> Female -> Life sciences -> Agricultural sciences and natural resources,All doctorate recipients<sup>c</sup>,Female,Life sciences,Agricultural sciences and natural resources,4,730,407,357,163,82,77,35,50,0
2836,r092,All doctorate recipients<sup>c</sup> -> Female -> Life sciences -> Biological and biomedical sciences,All doctorate recipients<sup>c</sup>,Female,Life sciences,Biological and biomedical sciences,4,4501,2734,2571,1708,262,434,167,163,0
2836,r093,All doctorate recipients<sup>c</sup> -> Female -> Life sciences -> Health sciences,All doctorate recipients<sup>c</sup>,Female,Life sciences,Health sciences,4,1730,1102,1028,334,351,135,208,73,1
2836,r094,All doctorate recipients<sup>c</sup> -> Female -> Physical sciences and earth sciences,All doctorate recipients<sup>c</sup>,Female,Physical sciences and earth sciences,,3,2213,1366,1234,662,125,355,92,132,0
2836,r095,All doctorate recipients<sup>c</sup> -> Female -> Physical sciences and earth sciences -> Chemistry,All doctorate recipients<sup>c</sup>,Female,Physical sciences and earth sciences,Chemistry,4,1151,669,620,302,59,233,26,49,0
2836,r096,"All doctorate recipients<sup>c</sup> -> Female -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences",All doctorate recipients<sup>c</sup>,Female,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",4,533,360,321,180,38,48,55,39,0
2836,r097,All doctorate recipients<sup>c</sup> -> Female -> Physical sciences and earth sciences -> Physics and astronomy,All doctorate recipients<sup>c</sup>,Female,Physical sciences and earth sciences,Physics and astronomy,4,529,337,293,180,28,74,11,44,0
2836,r098,All doctorate recipients<sup>c</sup> -> Female -> Mathematics and computer sciences,All doctorate recipients<sup>c</sup>,Female,Mathematics and computer sciences,,3,1095,757,669,195,172,248,54,88,0
2836,r099,All doctorate recipients<sup>c</sup> -> Female -> Mathematics and computer sciences -> Computer and information sciences,All doctorate recipients<sup>c</sup>,Female,Mathematics and computer sciences,Computer and information sciences,4,510,337,298,60,79,127,32,39,0
2836,r100,All doctorate recipients<sup>c</sup> -> Female -> Mathematics and computer sciences -> Mathematics and statistics,All doctorate recipients<sup>c</sup>,Female,Mathematics and computer sciences,Mathematics and statistics,4,585,420,371,135,93,121,22,49,0
2836,r101,All doctorate recipients<sup>c</sup> -> Female -> Psychology and social sciences,All doctorate recipients<sup>c</sup>,Female,Psychology and social sciences,,3,5399,3527,3223,1461,909,360,493,301,3
2836,r102,All doctorate recipients<sup>c</sup> -> Female -> Psychology and social sciences -> Psychology,All doctorate recipients<sup>c</sup>,Female,Psychology and social sciences,Psychology,4,2818,1882,1813,1103,279,201,230,67,2
2836,r103,All doctorate recipients<sup>c</sup> -> Female -> Psychology and social sciences -> Anthropology,All doctorate recipients<sup>c</sup>,Female,Psychology and social sciences,Anthropology,4,290,160,136,50,59,8,19,24,0
2836,r104,All doctorate recipients<sup>c</sup> -> Female -> Psychology and social sciences -> Economics,All doctorate recipients<sup>c</sup>,Female,Psychology and social sciences,Economics,4,429,304,218,41,76,62,39,86,0
2836,r105,All doctorate recipients<sup>c</sup> -> Female -> Psychology and social sciences -> Political science and government,All doctorate recipients<sup>c</sup>,Female,Psychology and social sciences,Political science and government,4,274,188,163,49,83,9,22,25,0
2836,r106,All doctorate recipients<sup>c</sup> -> Female -> Psychology and social sciences -> Sociology,All doctorate recipients<sup>c</sup>,Female,Psychology and social sciences,Sociology,4,404,296,272,80,142,19,31,24,0
2836,r107,All doctorate recipients<sup>c</sup> -> Female -> Psychology and social sciences -> Other social sciences,All doctorate recipients<sup>c</sup>,Female,Psychology and social sciences,Other social sciences,4,1184,697,621,138,270,61,152,75,1
2836,r108,All doctorate recipients<sup>c</sup> -> Female -> Engineering,All doctorate recipients<sup>c</sup>,Female,Engineering,,3,2468,1424,1310,477,142,576,115,110,4
2836,r109,"All doctorate recipients<sup>c</sup> -> Female -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All doctorate recipients<sup>c</sup>,Female,Engineering,"Aerospace, aeronautical, and astronautical engineering",4,56,38,,8,,15,5,,1
2836,r110,All doctorate recipients<sup>c</sup> -> Female -> Engineering -> Bioengineering and biomedical engineering,All doctorate recipients<sup>c</sup>,Female,Engineering,Bioengineering and biomedical engineering,4,444,232,216,121,13,74,8,16,0
2836,r111,All doctorate recipients<sup>c</sup> -> Female -> Engineering -> Chemical engineering,All doctorate recipients<sup>c</sup>,Female,Engineering,Chemical engineering,4,316,183,170,51,9,102,8,13,0
2836,r112,All doctorate recipients<sup>c</sup> -> Female -> Engineering -> Civil engineering,All doctorate recipients<sup>c</sup>,Female,Engineering,Civil engineering,4,159,90,78,23,12,32,11,11,1
2836,r113,"All doctorate recipients<sup>c</sup> -> Female -> Engineering -> Electrical, electronics, and communications engineering",All doctorate recipients<sup>c</sup>,Female,Engineering,"Electrical, electronics, and communications engineering",4,297,160,152,31,14,93,14,6,2
2836,r114,All doctorate recipients<sup>c</sup> -> Female -> Engineering -> Industrial and manufacturing engineering,All doctorate recipients<sup>c</sup>,Female,Engineering,Industrial and manufacturing engineering,4,62,40,,5,,16,5,,0
2836,r115,All doctorate recipients<sup>c</sup> -> Female -> Engineering -> Materials science engineering,All doctorate recipients<sup>c</sup>,Female,Engineering,Materials science engineering,4,290,177,165,67,6,80,12,12,0
2836,r116,All doctorate recipients<sup>c</sup> -> Female -> Engineering -> Mechanical engineering,All doctorate recipients<sup>c</sup>,Female,Engineering,Mechanical engineering,4,250,145,134,57,13,44,20,11,0
2836,r117,All doctorate recipients<sup>c</sup> -> Female -> Engineering -> Other engineering,All doctorate recipients<sup>c</sup>,Female,Engineering,Other engineering,4,594,359,323,114,57,120,32,36,0
2836,r118,All doctorate recipients<sup>c</sup> -> Female -> Education,All doctorate recipients<sup>c</sup>,Female,Education,,3,3213,2115,2007,196,1030,103,678,107,1
2836,r119,All doctorate recipients<sup>c</sup> -> Female -> Education -> Education administration,All doctorate recipients<sup>c</sup>,Female,Education,Education administration,4,497,341,334,,,16,170,7,0
2836,r120,All doctorate recipients<sup>c</sup> -> Female -> Education -> Education research,All doctorate recipients<sup>c</sup>,Female,Education,Education research,4,1650,1100,1045,123,542,67,313,54,1
2836,r121,All doctorate recipients<sup>c</sup> -> Female -> Education -> Teacher education,All doctorate recipients<sup>c</sup>,Female,Education,Teacher education,4,84,58,53,,,,24,5,0
2836,r122,All doctorate recipients<sup>c</sup> -> Female -> Education -> Teaching fields,All doctorate recipients<sup>c</sup>,Female,Education,Teaching fields,4,700,451,417,,252,,109,34,0
2836,r123,All doctorate recipients<sup>c</sup> -> Female -> Education -> Other education,All doctorate recipients<sup>c</sup>,Female,Education,Other education,4,282,165,158,18,73,5,62,7,0
2836,r124,All doctorate recipients<sup>c</sup> -> Female -> Humanities and arts,All doctorate recipients<sup>c</sup>,Female,Humanities and arts,,3,2573,1348,1247,244,753,81,169,101,0
2836,r125,All doctorate recipients<sup>c</sup> -> Female -> Humanities and arts -> Foreign languages and literature,All doctorate recipients<sup>c</sup>,Female,Humanities and arts,Foreign languages and literature,4,394,218,201,24,139,6,32,17,0
2836,r126,All doctorate recipients<sup>c</sup> -> Female -> Humanities and arts -> History,All doctorate recipients<sup>c</sup>,Female,Humanities and arts,History,4,383,216,196,57,100,12,27,20,0
2836,r127,All doctorate recipients<sup>c</sup> -> Female -> Humanities and arts -> Letters,All doctorate recipients<sup>c</sup>,Female,Humanities and arts,Letters,4,827,431,406,65,271,24,46,25,0
2836,r128,All doctorate recipients<sup>c</sup> -> Female -> Humanities and arts -> Other humanities and arts,All doctorate recipients<sup>c</sup>,Female,Humanities and arts,Other humanities and arts,4,969,483,444,98,243,39,64,39,0
2836,r129,All doctorate recipients<sup>c</sup> -> Female -> Other<sup>d</sup>,All doctorate recipients<sup>c</sup>,Female,Other<sup>d</sup>,,3,1620,1037,905,84,625,74,122,131,1
2836,r130,All doctorate recipients<sup>c</sup> -> Female -> Other<sup>d</sup> -> Business management and administration,All doctorate recipients<sup>c</sup>,Female,Other<sup>d</sup>,Business management and administration,4,662,469,411,24,313,40,34,58,0
2836,r131,All doctorate recipients<sup>c</sup> -> Female -> Other<sup>d</sup> -> Communication,All doctorate recipients<sup>c</sup>,Female,Other<sup>d</sup>,Communication,4,338,210,185,18,142,9,16,25,0
2836,r132,All doctorate recipients<sup>c</sup> -> Female -> Other<sup>d</sup> -> Non-S&E fields nec,All doctorate recipients<sup>c</sup>,Female,Other<sup>d</sup>,Non-S&E fields nec,4,620,358,309,42,170,25,72,48,1
