table_id,row_id,state_or_territory_control_and_institution_full_path,state_or_territory_control_and_institution_level_1,state_or_territory_control_and_institution_level_2,state_or_territory_control_and_institution_level_3,state_or_territory_control_and_institution_hierarchy_depth,field_started_in_fy_2006_or_fy_2007,field_started_in_fy_2008_or_fy_2009,field_started_in_fy_2010_or_fy_2011,field_started_in_fy_2012_or_fy_2013,field_started_in_fy_2014_or_fy_2015,field_started_in_fy_2016_or_fy_2017,field_started_in_fy_2018_or_fy_2019,field_planned_to_start_in_fy_2020_or_fy_2021,field_deferred_projects_included_in_institutional_plan,field_deferred_projects_not_included_in_institutional_plan
3034,r011,Alabama -> Private -> Tuskegee U.,Alabama,Private,Tuskegee U.,3,"['3,836', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3034,r012,Alaska,Alaska,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3034,r013,Alaska -> Public,Alaska,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3034,r014,"Alaska -> Public -> U. Alaska, Anchorage",Alaska,Public,"U. Alaska, Anchorage",3,"['25,000', '']","['NA', '']","['NA', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3034,r015,"Alaska -> Public -> U. Alaska, Fairbanks",Alaska,Public,"U. Alaska, Fairbanks",3,"['NA', '']","['0', '']","['45,000', '']","['32,450', '']","['4,017', '']","['41,500', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3034,r016,"Alaska -> Public -> U. Alaska, Southeast",Alaska,Public,"U. Alaska, Southeast",3,"['ne', '']","['NA', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['13,000', '']","['0', '']","['0', '']"
3034,r017,Alaska -> Private,Alaska,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3034,r018,Alaska -> Private -> Alaska Pacific U.,Alaska,Private,Alaska Pacific U.,3,"['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3034,r019,Arizona,Arizona,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3034,r020,Arizona -> Public,Arizona,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3034,r021,Arizona -> Public -> Arizona State U.,Arizona,Public,Arizona State U.,3,"['0', '']","['0', '']","['94,499', '']","['2,256', '']","['0', '']","['60,000', '']","['55,500', '']","['192,000', '']","['0', '']","['0', '']"
3034,r022,Arizona -> Public -> Dine C.,Arizona,Public,Dine C.,3,"['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
3034,r023,Arizona -> Public -> Northern Arizona U.,Arizona,Public,Northern Arizona U.,3,"['0', '']","['0', '']","['0', '']","['8,400', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3034,r024,Arizona -> Public -> U. Arizona,Arizona,Public,U. Arizona,3,"['18,605', '']","['4,446', '']","['48,635', '']","['8,483', '']","['201,093', '']","['0', '']","['17,400', '']","['180,000', '']","['0', '']","['0', '']"
3034,r025,Arkansas,Arkansas,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3034,r026,Arkansas -> Public,Arkansas,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3034,r027,"Arkansas -> Public -> Arkansas State U., Jonesboro",Arkansas,Public,"Arkansas State U., Jonesboro",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3034,r028,Arkansas -> Public -> U. Arkansas for Medical Sciences,Arkansas,Public,U. Arkansas for Medical Sciences,3,"['0', '']","['13,491', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3034,r029,"Arkansas -> Public -> U. Arkansas, Fayetteville",Arkansas,Public,"U. Arkansas, Fayetteville",3,"['8,300', '']","['48,800', '']","['750', '']","['993', '']","['0', '']","['6,948', '']","['13,800', '']","['61,800', '']","['107,700', '']","['0', '']"
3034,r030,"Arkansas -> Public -> U. Arkansas, Little Rock",Arkansas,Public,"U. Arkansas, Little Rock",3,"['0', '']","['5,400', '']","['9,059', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3034,r031,"Arkansas -> Public -> U. Arkansas, Pine Bluff",Arkansas,Public,"U. Arkansas, Pine Bluff",3,"['0', '']","['0', '']","['0', '']","['0', '']","['4,000', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3034,r032,Arkansas -> Public -> U. Central Arkansas,Arkansas,Public,U. Central Arkansas,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['706', '']","['0', '']","['375', '']","['0', '']","['0', '']"
3034,r033,California,California,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3034,r034,California -> Public,California,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3034,r035,"California -> Public -> California Polytechnic State U., San Luis Obispo",California,Public,"California Polytechnic State U., San Luis Obispo",3,"['788', '']","['0', '']","['12,250', '']","['0', '']","['0', '']","['0', '']","['71,500', '']","['67,000', '']","['0', '']","['0', '']"
3034,r036,"California -> Public -> California State Polytechnic U., Pomona",California,Public,"California State Polytechnic U., Pomona",3,"['461', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3034,r037,"California -> Public -> California State U., Bakersfield",California,Public,"California State U., Bakersfield",3,"['4,000', '']","['1,210', '']","['2,500', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3034,r038,"California -> Public -> California State U., Channel Islands",California,Public,"California State U., Channel Islands",3,"['ne', '']","['ne', '']","['ne', '']","['ne', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3034,r039,"California -> Public -> California State U., Chico",California,Public,"California State U., Chico",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['15,382', '']","['0', '']","['0', '']","['0', '']"
3034,r040,"California -> Public -> California State U., Dominguez Hills",California,Public,"California State U., Dominguez Hills",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['12,798', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3034,r041,"California -> Public -> California State U., Fresno",California,Public,"California State U., Fresno",3,"['0', '']","['0', '']","['0', '']","['364', '']","['2,798', '']","['8,021', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3034,r042,"California -> Public -> California State U., Fullerton",California,Public,"California State U., Fullerton",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3034,r043,"California -> Public -> California State U., Long Beach",California,Public,"California State U., Long Beach",3,"['0', '']","['17,500', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3034,r044,"California -> Public -> California State U., Los Angeles",California,Public,"California State U., Los Angeles",3,"['0', '']","['8,833', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3034,r045,"California -> Public -> California State U., Maritime Academy",California,Public,"California State U., Maritime Academy",3,"['ne', '']","['ne', '']","['ne', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3034,r046,"California -> Public -> California State U., Monterey Bay",California,Public,"California State U., Monterey Bay",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['734', '']","['0', '']","['0', '']","['0', '']"
3034,r047,"California -> Public -> California State U., Northridge",California,Public,"California State U., Northridge",3,"['9,700', '']","['0', '']","['0', '']","['0', '']","['594', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3034,r048,"California -> Public -> California State U., Sacramento",California,Public,"California State U., Sacramento",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['8,530', '']","['4,400', '']","['0', '']","['0', '']"
3034,r049,"California -> Public -> California State U., San Bernardino",California,Public,"California State U., San Bernardino",3,"['0', '']","['0', '']","['1,379', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3034,r050,"California -> Public -> California State U., San Marcos",California,Public,"California State U., San Marcos",3,"['ne', '']","['ne', '']","['NA', '']","['482', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3034,r051,"California -> Public -> California State U., Stanislaus",California,Public,"California State U., Stanislaus",3,"['ne', '']","['ne', '']","['ne', '']","['0', '']","['ne', '']","['0', '']","['0', '']","['0', '']","['0', '']","['789', '']"
3034,r052,California -> Public -> Humboldt State U.,California,Public,Humboldt State U.,3,"['0', '']","['NA', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3034,r053,California -> Public -> San Diego State U.,California,Public,San Diego State U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['18,231', '']","['0', '']","['0', '']","['142,500', '']","['0', '']"
3034,r054,California -> Public -> San Francisco State U.,California,Public,San Francisco State U.,3,"['NA', '']","['2,119', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3034,r055,California -> Public -> San Jose State U.,California,Public,San Jose State U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['43,661', '']","['0', '']","['0', '']","['0', '']"
3034,r056,"California -> Public -> U. California, Berkeley",California,Public,"U. California, Berkeley",3,"['1,811', '']","['178,506', '']","['149,474', '']","['60,530', '']","['0', '']","['55,000', '']","['0', '']","['0', '']","['465,000', '']","['0', '']"
3034,r057,"California -> Public -> U. California, Davis",California,Public,"U. California, Davis",3,"['463,085', '']","['0', '']","['186,219', '']","['4,890', '']","['10,788', '']","['12,782', '']","['13,533', '']","['53,361', '']","['260,000', '']","['0', '']"
3034,r058,"California -> Public -> U. California, Irvine",California,Public,"U. California, Irvine",3,"['133,707', '']","['56,830', '']","['5,163', '']","['0', '']","['0', '']","['0', '']","['43,060', '']","['44,133', '']","['38,400', '']","['0', '']"
3034,r059,"California -> Public -> U. California, Los Angeles",California,Public,"U. California, Los Angeles",3,"['155,378', '']","['0', '']","['0', '']","['101,200', '']","['177,400', '']","['4,980', '']","['177,400', '']","['24,000', '']","['0', '']","['0', '']"
3034,r060,"California -> Public -> U. California, Merced",California,Public,"U. California, Merced",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['73,221', '']","['0', '']","['0', '']","['0', '']"
3034,r061,"California -> Public -> U. California, Riverside",California,Public,"U. California, Riverside",3,"['49,371', '']","['80,856', '']","['37,550', '']","['648', '']","['0', '']","['66,980', '']","['27,405', '']","['100,000', '']","['100,000', '']","['0', '']"
3034,r062,"California -> Public -> U. California, San Diego",California,Public,"U. California, San Diego",3,"['73,608', '']","['0', '']","['353,395', '']","['106,596', '']","['0', '']","['121,424', '']","['3,689', '']","['67,000', '']","['0', '']","['0', '']"
3034,r063,"California -> Public -> U. California, San Francisco",California,Public,"U. California, San Francisco",3,"['135,000', '']","['275,590', '']","['173,000', '']","['118,600', '']","['0', '']","['106,700', '']","['0', '']","['772,800', '']","['0', '']","['0', '']"
3034,r064,"California -> Public -> U. California, Santa Barbara",California,Public,"U. California, Santa Barbara",3,"['10,793', '']","['12,239', '']","['2,157', '']","['0', '']","['74,704', '']","['821', '']","['65,010', '']","['0', '']","['325,030', '']","['0', '']"
3034,r065,"California -> Public -> U. California, Santa Cruz",California,Public,"U. California, Santa Cruz",3,"['0', '']","['77,491', '']","['0', '']","['0', '']","['80,531', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3034,r066,California -> Private,California,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3034,r067,California -> Private -> Azusa Pacific U.,California,Private,Azusa Pacific U.,3,"['ne', '']","['ne', '']","['ne', '']","['0', 'i']","['0', '']","['0', '']","['250', '']","['0', '']","['0', '']","['0', '']"
3034,r068,California -> Private -> Biola U.,California,Private,Biola U.,3,"['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3034,r069,California -> Private -> California Institute of Technology,California,Private,California Institute of Technology,3,"['45,622', '']","['35,250', '']","['0', '']","['28,748', '']","['0', '']","['0', '']","['108,187', '']","['0', '']","['0', '']","['0', '']"
3034,r070,California -> Private -> Chapman U.,California,Private,Chapman U.,3,"['ne', '']","['ne', '']","['0', '']","['0', '']","['0', 'i']","['30,179', '']","['0', '']","['27,500', '']","['0', '']","['0', '']"
3034,r071,California -> Private -> Charles R. Drew U. of Medicine and Science,California,Private,Charles R. Drew U. of Medicine and Science,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3034,r072,California -> Private -> Claremont Graduate U.,California,Private,Claremont Graduate U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3034,r073,California -> Private -> Claremont McKenna C.,California,Private,Claremont McKenna C.,3,"['ne', '']","['ne', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['350', '']","['0', '']","['0', '']"
3034,r074,California -> Private -> Harvey Mudd C.,California,Private,Harvey Mudd C.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['9,504', '']","['0', '']","['0', '']","['0', '']"
3034,r075,California -> Private -> Keck Graduate Institute,California,Private,Keck Graduate Institute,3,"['ne', '']","['ne', '']","['ne', '']","['0', '']","['0', '']","['0', 'i']","['0', '']","['0', '']","['0', '']","['0', '']"
3034,r076,California -> Private -> Loma Linda U.,California,Private,Loma Linda U.,3,"['0', '']","['2,854', '']","['0', '']","['6,127', '']","['0', '']","['0', '']","['0', '']","['0', '']","['70,000', '']","['0', '']"
3034,r077,California -> Private -> Loyola Marymount U.,California,Private,Loyola Marymount U.,3,"['0', '']","['0', '']","['0', '']","['13,200', '']","['0', '']","['0', '']","['0', '']","['0', '']","['40,400', '']","['0', '']"
3034,r078,California -> Private -> Marshall B. Ketchum U.,California,Private,Marshall B. Ketchum U.,3,"['ne', '']","['ne', '']","['ne', '']","['ne', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3034,r079,California -> Private -> Occidental C.,California,Private,Occidental C.,3,"['0', '']","['0', '']","['2,262', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3034,r080,California -> Private -> Pomona C.,California,Private,Pomona C.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['50,235', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3034,r081,California -> Private -> Santa Clara U.,California,Private,Santa Clara U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
3034,r082,California -> Private -> Scripps Research Institute,California,Private,Scripps Research Institute,3,"['ne', '']","['ne', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['130,000', '']","['0', '']"
3034,r083,California -> Private -> Stanford U.,California,Private,Stanford U.,3,"['118,762', '']","['189,185', '']","['14,058', '']","['151,274', '']","['0', '']","['407,686', '']","['119,909', '']","['0', '']","['0', '']","['0', '']"
3034,r084,California -> Private -> Touro U.,California,Private,Touro U.,3,"['ne', '']","['ne', '']","['ne', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3034,r085,California -> Private -> U. of the Pacific,California,Private,U. of the Pacific,3,"['13,000', '']","['6,600', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3034,r086,California -> Private -> U. San Diego,California,Private,U. San Diego,3,"['ne', '']","['ne', '']","['0', '']","['0', '']","['2,500', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3034,r087,California -> Private -> U. San Francisco,California,Private,U. San Francisco,3,"['0', '']","['0', '']","['17,770', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3034,r088,California -> Private -> U. Southern California,California,Private,U. Southern California,3,"['0', '']","['36,800', '']","['19,329', '']","['13,872', '']","['150,000', '']","['0', '']","['36,853', '']","['267,898', '']","['0', '']","['0', '']"
3034,r089,California -> Private -> Western U. of Health Sciences,California,Private,Western U. of Health Sciences,3,"['315', '']","['5,507', '']","['400', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3034,r090,Colorado,Colorado,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3034,r091,Colorado -> Public,Colorado,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3034,r092,Colorado -> Public -> Colorado School of Mines,Colorado,Public,Colorado School of Mines,3,"['0', '']","['0', '']","['9,144', '']","['0', '']","['7,827', '']","['25,626', '']","['0', '']","['12,968', '']","['0', '']","['0', '']"
3034,r093,"Colorado -> Public -> Colorado State U., Fort Collins",Colorado,Public,"Colorado State U., Fort Collins",3,"['5,549', '']","['55,083', '']","['6,314', '']","['31,207', '']","['96,519', '']","['51,108', '']","['27,513', '']","['0', '']","['0', '']","['0', '']"
3034,r094,"Colorado -> Public -> Colorado State U., Pueblo",Colorado,Public,"Colorado State U., Pueblo",3,"['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
3034,r095,Colorado -> Public -> Fort Lewis C.,Colorado,Public,Fort Lewis C.,3,"['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['0', '']","['31,000', '']","['0', '']","['0', '']"
3034,r096,Colorado -> Public -> U. Colorado Boulder,Colorado,Public,U. Colorado Boulder,3,"['0', '']","['13,377', '']","['126,425', '']","['0', '']","['81,500', '']","['35,352', '']","['9,199', '']","['0', '']","['0', '']","['0', '']"
3034,r097,Colorado -> Public -> U. Colorado Colorado Springs,Colorado,Public,U. Colorado Colorado Springs,3,"['5,026', '']","['0', '']","['0', '']","['10,588', '']","['0', '']","['0', '']","['3,079', '']","['0', '']","['0', '']","['0', '']"
3034,r098,Colorado -> Public -> U. Colorado Denver and Anschutz Medical Campus,Colorado,Public,U. Colorado Denver and Anschutz Medical Campus,3,"['0', '']","['59,480', '']","['13,260', '']","['0', '']","['8,398', '']","['0', '']","['110,849', '']","['0', '']","['383,399', '']","['0', '']"
3034,r099,Colorado -> Public -> U. Northern Colorado,Colorado,Public,U. Northern Colorado,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3034,r100,Colorado -> Private,Colorado,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3034,r101,Colorado -> Private -> Colorado C.,Colorado,Private,Colorado C.,3,"['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['0', '']","['0', '']","['0', '']","['0', 'i']","['0', '']"
3034,r102,Colorado -> Private -> U. Denver,Colorado,Private,U. Denver,3,"['0', '']","['0', '']","['0', '']","['0', '']","['22,522', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3034,r103,Connecticut,Connecticut,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3034,r104,Connecticut -> Public,Connecticut,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3034,r105,Connecticut -> Public -> Central Connecticut State U.,Connecticut,Public,Central Connecticut State U.,3,"['ne', '']","['ne', '']","['ne', '']","['0', '']","['ne', '']","['0', '']","['0', '']","['62,700', '']","['0', '']","['0', '']"
3034,r106,Connecticut -> Public -> Southern Connecticut State U.,Connecticut,Public,Southern Connecticut State U.,3,"['NA', '']","['0', '']","['ne', '']","['56,762', '']","['0', '']","['0', '']","['0', '']","['56,000', '']","['0', '']","['0', '']"
3034,r107,Connecticut -> Public -> U. Connecticut,Connecticut,Public,U. Connecticut,3,"['0', '']","['0', '']","['0', '']","['5,439', '']","['119,803', '']","['0', '']","['3,338', '']","['167,062', '']","['0', '']","['0', '']"
3034,r108,Connecticut -> Private,Connecticut,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3034,r109,Connecticut -> Private -> Connecticut C.,Connecticut,Private,Connecticut C.,3,"['NA', '']","['ne', '']","['NA', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3034,r110,Connecticut -> Private -> Fairfield U.,Connecticut,Private,Fairfield U.,3,"['NA', '']","['NA', '']","['NA', '']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
3034,r111,"Connecticut -> Private -> Trinity C., Hartford",Connecticut,Private,"Trinity C., Hartford",3,"['ne', '']","['ne', '']","['0', '']","['0', '']","['0', '']","['1,705', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3034,r112,Connecticut -> Private -> U. New Haven,Connecticut,Private,U. New Haven,3,"['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['0', '']","['3,467', '']","['500', '']","['0', '']","['0', '']"
3034,r113,Connecticut -> Private -> Wesleyan U.,Connecticut,Private,Wesleyan U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['80,000', '']","['0', '']"
3034,r114,Connecticut -> Private -> Yale U.,Connecticut,Private,Yale U.,3,"['17,025', '']","['33,492', '']","['0', '']","['0', '']","['0', '']","['261,337', '']","['0', '']","['43,000', '']","['0', '']","['0', '']"
3034,r115,Delaware,Delaware,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3034,r116,Delaware -> Public,Delaware,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3034,r117,Delaware -> Public -> Delaware State U.,Delaware,Public,Delaware State U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['11,970', '']","['0', '']","['0', '']","['3,800', '']","['24,500', '']","['0', '']"
3034,r118,Delaware -> Public -> U. Delaware,Delaware,Public,U. Delaware,3,"['2,723', '']","['0', '']","['62,800', '']","['3,678', '']","['4,680', '']","['0', '']","['81,192', '']","['9,666', '']","['0', '']","['0', '']"
3034,r119,District of Columbia,District of Columbia,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3034,r120,District of Columbia -> Public,District of Columbia,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3034,r121,District of Columbia -> Public -> U. of the District of Columbia,District of Columbia,Public,U. of the District of Columbia,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3034,r122,District of Columbia -> Private,District of Columbia,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3034,r123,District of Columbia -> Private -> American U.,District of Columbia,Private,American U.,3,"['0', '']","['10,500', '']","['0', '']","['0', '']","['4,058', '']","['0', '']","['12,973', '']","['0', '']","['0', '']","['0', '']"
3034,r124,District of Columbia -> Private -> Catholic U. of America,District of Columbia,Private,Catholic U. of America,3,"['0', '']","['NA', '']","['NA', '']","['0', '']","['0', '']","['0', '']","['0', '']","['60,000', '']","['0', '']","['0', '']"
3034,r125,District of Columbia -> Private -> Gallaudet U.,District of Columbia,Private,Gallaudet U.,3,"['NA', '']","['NA', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3034,r126,District of Columbia -> Private -> George Washington U.,District of Columbia,Private,George Washington U.,3,"['0', '']","['0', '']","['49,646', '']","['32,250', '']","['0', '']","['0', '']","['0', '']","['0', 'i']","['0', 'i']","['0', 'i']"
