table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2021,field_2022,field_2023_all_non_s_e_fields,field_2023_business_management_and_business_administration,field_2023_communication_and_communications_technologies,field_2023_education,field_2023_humanities,field_2023_law,field_2023_social_work,field_2023_visual_and_performing_arts,field_2023_non_s_e_nec
12705,r017,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,16,"['58,429', '']","['65,643', '']","['75,276', '']","['20,960', '']","['2,868', '']","['36,785', '']","['7,594', '']","['3,207', '']","['0', '']","['3,767', '']","['95', '']"
12705,r018,All institutions -> U. Southern California,All institutions,U. Southern California,2,17,"['40,040', '']","['61,177', '']","['74,487', '']","['1,227', '']","['11,396', '']","['14,155', '']","['6,226', '']","['308', '']","['13,695', '']","['3,463', '']","['24,017', '']"
12705,r019,All institutions -> U. Georgia,All institutions,U. Georgia,2,18,"['64,523', '']","['70,657', '']","['73,671', '']","['22,368', '']","['4,290', '']","['9,678', '']","['9,016', '']","['4,784', '']","['7,090', '']","['6,080', '']","['10,365', '']"
12705,r020,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,19,"['45,359', '']","['56,417', '']","['73,449', '']","['3,237', '']","['2,315', '']","['18,326', '']","['6,323', '']","['207', '']","['19,167', '']","['1,867', '']","['22,007', '']"
12705,r021,All institutions -> Georgia State U.,All institutions,Georgia State U.,2,20,"['71,402', '']","['66,267', '']","['72,569', '']","['13,975', '']","['8,935', '']","['35,346', '']","['2,900', '']","['2,042', '']","['3,466', '']","['1,068', '']","['4,837', '']"
12705,r022,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,21,"['55,952', '']","['63,268', '']","['72,281', '']","['14,802', '']","['2,298', '']","['10,916', '']","['2,996', '']","['0', '']","['0', '']","['261', '']","['41,008', '']"
12705,r023,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,22,"['59,506', '']","['73,945', '']","['71,409', '']","['6,451', '']","['372', '']","['28,063', '']","['3,231', '']","['2,259', '']","['10,083', '']","['2,023', '']","['18,927', '']"
12705,r024,All institutions -> Texas State U.,All institutions,Texas State U.,2,23,"['31,997', '']","['52,359', '']","['71,212', '']","['5,041', '']","['0', '']","['10,165', '']","['3,898', '']","['43,956', '']","['0', '']","['0', '']","['8,152', '']"
12705,r025,All institutions -> U. Maryland<sup>a</sup>,All institutions,U. Maryland<sup>a</sup>,2,24,"['54,635', '']","['63,141', '']","['70,305', '']","['1,696', '']","['723', '']","['11,573', '']","['3,586', '']","['5,587', '']","['24,783', '']","['442', '']","['21,915', '']"
12705,r026,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,25,"['73,658', '']","['68,040', '']","['70,290', '']","['135', '']","['13,754', '']","['33,686', '']","['3,400', '']","['631', '']","['16,267', '']","['566', '']","['1,851', '']"
12705,r027,All institutions -> U. South Florida,All institutions,U. South Florida,2,26,"['65,052', '']","['65,953', '']","['67,509', '']","['9,338', '']","['2,971', '']","['39,082', '']","['6,169', '']","['0', '']","['832', '']","['3,629', '']","['5,488', '']"
12705,r028,All institutions -> George Washington U.,All institutions,George Washington U.,2,27,"['17,607', '']","['18,306', '']","['67,284', '']","['16,771', '']","['11', '']","['8,030', '']","['4,297', '']","['12,487', '']","['0', '']","['874', '']","['24,814', '']"
12705,r029,All institutions -> Clemson U.,All institutions,Clemson U.,2,28,"['53,989', '']","['59,137', '']","['66,338', '']","['3,126', '']","['290', '']","['7,090', '']","['378', '']","['0', '']","['0', '']","['11', '']","['55,443', '']"
12705,r030,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,29,"['39,523', '']","['56,295', '']","['65,005', '']","['12,832', '']","['268', '']","['33,033', '']","['2,322', '']","['445', '']","['129', '']","['392', '']","['15,584', '']"
12705,r031,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,30,"['55,440', '']","['62,587', '']","['62,808', '']","['2,238', '']","['2,191', '']","['8,561', '']","['8,459', '']","['11,739', '']","['26,479', '']","['92', '']","['3,049', '']"
12705,r032,"All institutions -> U. Oklahoma, Norman and Health Science Center",All institutions,"U. Oklahoma, Norman and Health Science Center",2,31,"['45,990', '']","['54,089', '']","['62,775', '']","['11,976', '']","['2,157', '']","['19,608', '']","['5,551', '']","['1,746', '']","['2,016', '']","['4,466', '']","['15,255', '']"
12705,r033,All institutions -> Cornell U.,All institutions,Cornell U.,2,32,"['40,205', '']","['49,756', '']","['59,047', '']","['20,570', '']","['7,256', '']","['457', '']","['3,039', '']","['1,195', '']","['0', '']","['337', '']","['26,193', '']"
12705,r034,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,33,"['37,274', '']","['39,370', '']","['55,669', '']","['6,979', '']","['5,949', '']","['18,459', '']","['6,910', '']","['0', '']","['3,022', '']","['472', '']","['13,878', '']"
12705,r035,All institutions -> U. Notre Dame,All institutions,U. Notre Dame,2,34,"['25,936', '']","['38,564', '']","['54,778', '']","['6,220', '']","['0', '']","['75', '']","['9,657', '']","['3,013', '']","['0', '']","['835', '']","['34,978', '']"
12705,r036,All institutions -> Texas Tech U.,All institutions,Texas Tech U.,2,35,"['46,832', '']","['57,545', '']","['53,851', '']","['17,782', '']","['3,236', '']","['19,222', '']","['4,292', '']","['1,943', '']","['0', '']","['3,300', '']","['4,076', '']"
12705,r037,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,36,"['40,402', '']","['26,391', '']","['53,426', '']","['7,971', '']","['1,076', '']","['15,476', '']","['3,211', '']","['0', '']","['0', '']","['1,813', '']","['23,879', '']"
12705,r038,All institutions -> U. Florida,All institutions,U. Florida,2,37,"['40,461', '']","['44,949', '']","['52,838', '']","['3,096', '']","['3,447', '']","['24,176', '']","['6,905', '']","['173', '']","['2', '']","['3,047', '']","['11,992', '']"
12705,r039,All institutions -> Georgetown U.,All institutions,Georgetown U.,2,38,"['30,603', '']","['44,734', '']","['52,739', '']","['15,598', '']","['311', '']","['912', '']","['4,199', '']","['30,362', '']","['0', '']","['0', '']","['1,357', '']"
12705,r040,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,39,"['38,218', '']","['42,387', '']","['51,985', '']","['19,599', '']","['460', '']","['16,727', '']","['3,936', '']","['3,061', '']","['1,237', '']","['356', '']","['6,609', '']"
12705,r041,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,40,"['52,737', '']","['48,875', '']","['49,982', '']","['8,591', '']","['0', '']","['27,583', '']","['1,233', '']","['0', '']","['165', '']","['150', '']","['12,260', '']"
12705,r042,All institutions -> Stanford U.,All institutions,Stanford U.,2,41,"['44,474', '']","['44,597', '']","['48,715', '']","['549', '']","['831', '']","['44,601', '']","['629', '']","['1,778', '']","['0', '']","['255', '']","['72', '']"
12705,r043,"All institutions -> U. Missouri, Columbia",All institutions,"U. Missouri, Columbia",2,42,"['34,279', '']","['34,489', '']","['47,845', '']","['613', '']","['2,678', '']","['29,269', '']","['589', '']","['186', '']","['892', '']","['381', '']","['13,237', '']"
12705,r044,"All institutions -> U. South Carolina, Columbia",All institutions,"U. South Carolina, Columbia",2,43,"['46,932', '']","['44,972', '']","['47,718', '']","['8,523', '']","['1,891', '']","['10,184', '']","['6,825', '']","['651', '']","['2,053', '']","['4,188', '']","['13,403', '']"
12705,r045,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,44,"['35,349', '']","['38,841', '']","['46,838', '']","['4,621', '']","['445', '']","['6,389', '']","['5,829', '']","['1,327', '']","['8,660', '']","['1,922', '']","['17,645', '']"
12705,r046,All institutions -> Boston U.,All institutions,Boston U.,2,45,"['26,605', '']","['34,597', '']","['46,736', '']","['7,238', '']","['743', '']","['15,922', '']","['12,128', '']","['4,380', '']","['5,062', '']","['421', '']","['842', '']"
12705,r047,"All institutions -> Brigham Young U., Provo",All institutions,"Brigham Young U., Provo",2,46,"['4,163', '']","['4,876', '']","['46,372', '']","['12,233', '']","['189', '']","['4,831', '']","['15,055', '']","['2,507', '']","['342', '']","['3,646', '']","['7,569', '']"
12705,r048,"All institutions -> Auburn U., Auburn",All institutions,"Auburn U., Auburn",2,47,"['36,980', '']","['41,056', '']","['46,129', '']","['18,798', '']","['1,197', '']","['4,525', '']","['7,322', '']","['0', '']","['440', '']","['1', '']","['13,846', '']"
12705,r049,All institutions -> Washington State U.,All institutions,Washington State U.,2,48,"['33,017', '']","['45,834', '']","['44,791', '']","['10,765', '']","['5,474', '']","['25,115', '']","['1,501', '']","['197', '']","['695', '']","['75', '']","['969', '']"
12705,r050,"All institutions -> U. Louisiana, Lafayette",All institutions,"U. Louisiana, Lafayette",2,49,"['32,651', '']","['40,623', '']","['44,707', '']","['13,885', '']","['1,362', '']","['14,497', '']","['10,219', '']","['0', '']","['261', '']","['2,640', '']","['1,843', '']"
12705,r051,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,50,"['34,537', '']","['37,651', '']","['44,362', '']","['7,865', '']","['1,933', '']","['25,309', '']","['5,123', '']","['2,113', '']","['959', '']","['1,060', '']","['0', '']"
12705,r052,All institutions -> Dartmouth C. and Dartmouth Hitchcock Medical Center,All institutions,Dartmouth C. and Dartmouth Hitchcock Medical Center,2,51,"['37,247', '']","['38,778', '']","['42,799', '']","['16,524', '']","['0', '']","['162', '']","['17,174', '']","['0', '']","['0', '']","['2,103', '']","['6,836', '']"
12705,r053,"All institutions -> U. Texas, San Antonio",All institutions,"U. Texas, San Antonio",2,52,"['47,330', '']","['35,646', '']","['42,732', '']","['7,685', '']","['1,226', '']","['9,169', '']","['4,052', '']","['0', '']","['3,947', '']","['865', '']","['15,788', '']"
12705,r054,"All institutions -> Indiana U., Bloomington",All institutions,"Indiana U., Bloomington",2,53,"['36,185', '']","['38,886', '']","['42,637', '']","['7,071', '']","['1,607', '']","['5,036', '']","['3,064', '']","['1,254', '']","['0', '']","['6,723', '']","['17,882', '']"
12705,r055,"All institutions -> U. Alabama, Tuscaloosa",All institutions,"U. Alabama, Tuscaloosa",2,54,"['29,799', '']","['40,440', '']","['41,017', '']","['11,919', '']","['2,675', '']","['9,731', '']","['4,813', '']","['2,076', '']","['4,557', '']","['2,803', '']","['2,443', '']"
12705,r056,"All institutions -> U. Nebraska, Lincoln and Medical Center<sup>b</sup>",All institutions,"U. Nebraska, Lincoln and Medical Center<sup>b</sup>",2,55,"['na', '']","['na', '']","['40,293', '']","['10,061', '']","['1,236', '']","['5,254', '']","['7,620', '']","['3,353', '']","['0', '']","['5,593', '']","['7,176', '']"
12705,r057,All institutions -> American U.,All institutions,American U.,2,56,"['36,404', '']","['35,931', '']","['40,180', '']","['6,441', '']","['4,990', '']","['3,826', '']","['2,498', '']","['10,116', '']","['0', '']","['689', '']","['11,620', '']"
12705,r058,All institutions -> Northwestern U.,All institutions,Northwestern U.,2,57,"['25,077', '']","['32,235', '']","['39,291', '']","['15,511', '']","['3,353', '']","['12,464', '']","['4,761', '']","['1,509', '']","['0', '']","['1,693', '']","['0', '']"
12705,r059,"All institutions -> Rutgers, State U. New Jersey, New Brunswick",All institutions,"Rutgers, State U. New Jersey, New Brunswick",2,58,"['28,675', '']","['30,129', '']","['38,303', '']","['3,973', '']","['1,685', '']","['13,108', '']","['4,978', '']","['0', '']","['4,965', '']","['142', '']","['9,452', '']"
12705,r060,"All institutions -> Oklahoma State U., Stillwater",All institutions,"Oklahoma State U., Stillwater",2,59,"['46,863', '']","['35,302', '']","['38,120', '']","['16,683', '']","['2,257', '']","['2,801', '']","['6,006', '']","['0', '']","['0', '']","['1,064', '']","['9,309', '']"
12705,r061,"All institutions -> U. California, Irvine",All institutions,"U. California, Irvine",2,60,"['36,272', '']","['31,745', '']","['36,821', '']","['1,038', '']","['0', '']","['24,019', '']","['8,202', '']","['1,472', '']","['0', '']","['2,090', '']","['0', '']"
12705,r062,All institutions -> U. Iowa,All institutions,U. Iowa,2,61,"['31,735', '']","['33,562', '']","['36,288', '']","['8,882', '']","['1,045', '']","['11,668', '']","['6,479', '']","['1,063', '']","['603', '']","['475', '']","['6,073', '']"
12705,r063,"All institutions -> Washington U., Saint Louis",All institutions,"Washington U., Saint Louis",2,62,"['28,558', '']","['30,865', '']","['35,829', '']","['253', '']","['0', '']","['212', '']","['444', '']","['78', '']","['34,695', '']","['70', '']","['77', '']"
12705,r064,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,63,"['28,679', '']","['36,566', '']","['35,426', '']","['1,850', '']","['835', '']","['29,644', '']","['1,319', '']","['334', '']","['105', '']","['0', '']","['1,339', '']"
12705,r065,All institutions -> U. Houston,All institutions,U. Houston,2,64,"['24,693', '']","['31,473', '']","['35,336', '']","['2,080', '']","['724', '']","['8,475', '']","['3,313', '']","['1,466', '']","['7,271', '']","['621', '']","['11,386', '']"
12705,r066,All institutions -> San Diego State U.,All institutions,San Diego State U.,2,65,"['21,399', '']","['27,673', '']","['35,318', '']","['8,089', '']","['1,730', '']","['8,097', '']","['5,693', '']","['0', '']","['4,790', '']","['2,509', '']","['4,410', '']"
12705,r067,All institutions -> U. Arizona,All institutions,U. Arizona,2,66,"['28,655', '']","['30,072', '']","['34,451', '']","['10,608', '']","['557', '']","['7,794', '']","['4,539', '']","['3,647', '']","['0', '']","['5,012', '']","['2,294', '']"
12705,r068,"All institutions -> U. Tennessee, Knoxville",All institutions,"U. Tennessee, Knoxville",2,67,"['28,899', '']","['31,439', '']","['34,040', '']","['11,544', '']","['3,195', '']","['3,838', '']","['6,436', '']","['2,317', '']","['1,288', '']","['2,233', '']","['3,189', '']"
12705,r069,All institutions -> Iowa State U.,All institutions,Iowa State U.,2,68,"['25,604', '']","['24,896', '']","['32,542', '']","['17,186', '']","['822', '']","['2,654', '']","['7,180', '']","['0', '']","['0', '']","['1,829', '']","['2,871', '']"
12705,r070,All institutions -> U. Memphis,All institutions,U. Memphis,2,69,"['16,971', '']","['17,033', '']","['32,482', '']","['3,297', '']","['379', '']","['2,783', '']","['3,119', '']","['886', '']","['1,029', '']","['1,882', '']","['19,107', '']"
12705,r071,All institutions -> U. Cincinnati,All institutions,U. Cincinnati,2,70,"['20,882', '']","['23,750', '']","['31,433', '']","['3,618', '']","['151', '']","['7,338', '']","['4,379', '']","['228', '']","['0', '']","['208', '']","['15,511', '']"
12705,r072,All institutions -> U. Oregon,All institutions,U. Oregon,2,71,"['30,203', '']","['31,289', '']","['30,648', '']","['3,784', '']","['1,626', '']","['15,173', '']","['881', '']","['1,178', '']","['0', '']","['504', '']","['7,502', '']"
12705,r073,All institutions -> Northeastern U.,All institutions,Northeastern U.,2,72,"['12,311', '']","['20,199', '']","['30,558', '']","['9,626', '']","['1,929', '']","['6,130', '']","['1,530', '']","['3,717', '']","['0', '']","['794', '']","['6,832', '']"
12705,r074,"All institutions -> U. North Texas, Denton",All institutions,"U. North Texas, Denton",2,73,"['24,514', '']","['27,017', '']","['30,187', '']","['10,208', '']","['305', '']","['3,432', '']","['5,063', '']","['0', '']","['0', '']","['6,750', '']","['4,429', '']"
12705,r075,"All institutions -> U. Arkansas, Fayetteville",All institutions,"U. Arkansas, Fayetteville",2,74,"['22,171', '']","['20,062', '']","['29,354', '']","['4,149', '']","['87', '']","['10,448', '']","['0', '']","['584', '']","['1,575', '']","['10', '']","['12,501', '']"
12705,r076,All institutions -> U. Central Florida,All institutions,U. Central Florida,2,75,"['36,435', '']","['35,796', '']","['28,938', '']","['12,125', '']","['1,008', '']","['7,946', '']","['2,906', '']","['317', '']","['1,736', '']","['1,311', '']","['1,589', '']"
12705,r077,All institutions -> U. Mississippi,All institutions,U. Mississippi,2,76,"['11,646', '']","['29,426', '']","['28,700', '']","['12,179', '']","['755', '']","['3,272', '']","['4,564', '']","['3,641', '']","['291', '']","['1,499', '']","['2,499', '']"
12705,r078,All institutions -> Boston C.,All institutions,Boston C.,2,77,"['19,430', '']","['22,395', '']","['27,605', '']","['258', '']","['81', '']","['17,200', '']","['712', '']","['192', '']","['8,160', '']","['70', '']","['932', '']"
12705,r079,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,78,"['28,320', '']","['23,468', '']","['27,565', '']","['1,273', '']","['4,985', '']","['15,197', '']","['471', '']","['14', '']","['0', '']","['1,089', '']","['4,536', '']"
12705,r080,All institutions -> George Mason U.,All institutions,George Mason U.,2,79,"['21,002', '']","['27,597', '']","['27,200', '']","['2,749', '']","['1,854', '']","['4,465', '']","['2,674', '']","['14,990', '']","['45', '']","['281', '']","['142', '']"
12705,r081,"All institutions -> U. Massachusetts, Boston",All institutions,"U. Massachusetts, Boston",2,80,"['26,602', '']","['27,462', '']","['27,187', '']","['662', '']","['44', '']","['24,972', '']","['872', '']","['0', '']","['224', '']","['412', '']","['1', '']"
12705,r082,"All institutions -> SUNY, U. Buffalo",All institutions,"SUNY, U. Buffalo",2,81,"['18,083', '']","['22,651', '']","['26,090', '']","['8,572', '']","['451', '']","['15,297', '']","['825', '']","['327', '']","['246', '']","['54', '']","['318', '']"
12705,r083,All institutions -> Florida International U.,All institutions,Florida International U.,2,82,"['30,202', '']","['31,959', '']","['25,466', '']","['9,996', '']","['1,043', '']","['4,550', '']","['4,497', '']","['1,245', '']","['484', '']","['1,859', '']","['1,792', '']"
12705,r084,All institutions -> Virginia Polytechnic Institute and State U.,All institutions,Virginia Polytechnic Institute and State U.,2,83,"['10,563', '']","['18,633', '']","['24,597', '']","['4,983', '']","['103', '']","['2,639', '']","['306', '']","['0', '']","['0', '']","['743', '']","['15,823', '']"
12705,r085,"All institutions -> SUNY, U. Albany",All institutions,"SUNY, U. Albany",2,84,"['14,148', '']","['24,923', '']","['24,414', '']","['5,055', '']","['1,248', '']","['6,319', '']","['5,787', '']","['0', '']","['2,512', '']","['1,156', '']","['2,337', '']"
12705,r086,"All institutions -> Montana State U., Bozeman",All institutions,"Montana State U., Bozeman",2,85,"['18,838', '']","['19,869', '']","['24,358', '']","['2,007', '']","['70', '']","['5,062', '']","['1,799', '']","['0', '']","['0', '']","['1,201', '']","['14,219', '']"
12705,r087,All institutions -> U. Delaware,All institutions,U. Delaware,2,86,"['6,877', '']","['24,548', '']","['23,965', '']","['1,010', '']","['2,106', '']","['6,682', '']","['11,270', '']","['0', '']","['0', '']","['2,377', '']","['520', '']"
12705,r088,All institutions -> U. Denver,All institutions,U. Denver,2,87,"['17,378', '']","['20,867', '']","['23,859', '']","['0', '']","['32', '']","['6,544', '']","['507', '']","['292', '']","['14,695', '']","['774', '']","['1,015', '']"
12705,r089,"All institutions -> U. North Carolina, Charlotte",All institutions,"U. North Carolina, Charlotte",2,88,"['4,419', '']","['4,862', '']","['23,809', '']","['4,995', '']","['744', '']","['6,292', '']","['5,061', '']","['0', '']","['986', '']","['1,281', '']","['4,450', '']"
12705,r090,All institutions -> Baylor U.,All institutions,Baylor U.,2,89,"['6,722', '']","['14,487', '']","['23,664', '']","['3,838', '']","['658', '']","['1,689', '']","['14,572', '']","['0', '']","['1,267', '']","['814', '']","['826', '']"
12705,r091,"All institutions -> CUNY, Graduate Center",All institutions,"CUNY, Graduate Center",2,90,"['913', '']","['3,628', '']","['23,377', '']","['1,049', '']","['0', '']","['3,196', '']","['12,030', '']","['0', '']","['359', '']","['4,455', '']","['2,288', '']"
12705,r092,"All institutions -> Louisiana State U., Baton Rouge",All institutions,"Louisiana State U., Baton Rouge",2,91,"['13,166', '']","['11,158', '']","['23,348', '']","['1,594', '']","['751', '']","['687', '']","['737', '']","['663', '']","['1,021', '']","['3,378', '']","['14,517', '']"
12705,r093,All institutions -> U. West Florida,All institutions,U. West Florida,2,92,"['25,768', '']","['24,425', '']","['23,286', '']","['21,053', '']","['17', '']","['2,026', '']","['0', '']","['25', '']","['53', '']","['14', '']","['98', '']"
12705,r094,All institutions -> Illinois State U.,All institutions,Illinois State U.,2,93,"['16,488', '']","['17,699', '']","['23,274', '']","['111', '']","['29', '']","['20,573', '']","['187', '']","['0', '']","['780', '']","['61', '']","['1,533', '']"
12705,r095,"All institutions -> U. Texas, Arlington",All institutions,"U. Texas, Arlington",2,94,"['20,484', '']","['20,034', '']","['22,730', '']","['4,337', '']","['109', '']","['1,927', '']","['809', '']","['0', '']","['6,195', '']","['222', '']","['9,131', '']"
12705,r096,All institutions -> Southern Methodist U.,All institutions,Southern Methodist U.,2,95,"['15,962', '']","['20,226', '']","['22,513', '']","['3,667', '']","['46', '']","['9,063', '']","['1,529', '']","['4,023', '']","['0', '']","['3,190', '']","['995', '']"
12705,r097,"All institutions -> U. Texas, El Paso",All institutions,"U. Texas, El Paso",2,96,"['22,518', '']","['23,509', '']","['22,347', '']","['5,534', '']","['1,711', '']","['5,959', '']","['3,213', '']","['0', '']","['1,073', '']","['1,652', '']","['3,205', '']"
12705,r098,All institutions -> East Tennessee State U.,All institutions,East Tennessee State U.,2,97,"['1,053', 'i']","['967', 'i']","['22,267', '']","['253', '']","['0', '']","['244', '']","['0', '']","['0', '']","['0', '']","['0', '']","['21,770', '']"
12705,r099,All institutions -> San Jose State U.,All institutions,San Jose State U.,2,98,"['11,569', '']","['16,508', '']","['22,249', '']","['12,327', '']","['362', '']","['3,649', '']","['4,891', '']","['0', '']","['188', '']","['4', '']","['828', '']"
12705,r100,"All institutions -> U. Illinois, Chicago",All institutions,"U. Illinois, Chicago",2,99,"['17,681', '']","['17,810', '']","['22,085', '']","['714', '']","['357', '']","['4,476', '']","['8,933', '']","['6', '']","['3,783', '']","['638', '']","['3,178', '']"
12705,r101,"All institutions -> U. Massachusetts, Amherst",All institutions,"U. Massachusetts, Amherst",2,100,"['12,637', '']","['21,731', '']","['21,006', '']","['1,649', '']","['505', '']","['5,455', '']","['2,625', '']","['15', '']","['0', '']","['507', '']","['10,250', '']"
12705,r102,All institutions -> Mississippi State U.,All institutions,Mississippi State U.,2,101,"['17,231', '']","['20,002', '']","['20,458', '']","['8,461', '']","['883', '']","['4,109', '']","['3,342', '']","['253', '']","['471', '']","['950', '']","['1,989', '']"
12705,r103,"All institutions -> U. North Carolina, Greensboro",All institutions,"U. North Carolina, Greensboro",2,102,"['18,041', '']","['19,100', '']","['19,228', '']","['92', '']","['13', '']","['15,748', '']","['619', '']","['0', '']","['1,054', '']","['101', '']","['1,601', '']"
12705,r104,"All institutions -> SUNY, Binghamton U.",All institutions,"SUNY, Binghamton U.",2,103,"['14,075', '']","['20,383', '']","['19,194', '']","['1,784', '']","['331', '']","['2,474', '']","['9,164', '']","['0', '']","['285', '']","['2,565', '']","['2,591', '']"
12705,r105,"All institutions -> CUNY, City C.",All institutions,"CUNY, City C.",2,104,"['2,183', '']","['4,998', '']","['18,951', '']","['0', '']","['0', '']","['1,398', '']","['27', '']","['289', '']","['8,378', '']","['53', '']","['8,806', '']"
12705,r106,"All institutions -> U. Nevada, Reno",All institutions,"U. Nevada, Reno",2,105,"['16,820', '']","['15,943', '']","['18,178', '']","['5,123', '']","['284', '']","['3,750', '']","['1,024', '']","['3,986', '']","['260', '']","['1,773', '']","['1,978', '']"
