table_id,row_id,policy_area_full_path,policy_area_level_1,policy_area_level_2,policy_area_hierarchy_depth,field_1981_n_1_611_,field_1983_n_1_615_,field_1985_n_1_986_,field_1988_n_2_041_a,field_1990_n_2_005_,field_1992_n_1_995_,field_1997_n_2_000_,field_1999_n_1_882_,field_2001_n_1_574_,field_2002_n_1_358_b,field_2004_n_1_401_c,field_2006_n_2_992_d,field_2008_n_3_558_e,field_2010_n_4_901_f,field_2012_n_4_820_g,field_2014_n_2_130_h,field_2016_n_2_867_i,field_2018_n_1_175_j
2267,r059,Supporting scientific research -> Too much,Supporting scientific research,Too much,2,18,na,18,15,16,19,14,14,14,13,12,11,11,12,12,10,11,7
2267,r060,Supporting scientific research -> Don't know,Supporting scientific research,Don't know,2,4,na,7,4,6,4,7,6,7,6,5,7,7,5,6,6,6,6
2267,r061,Assistance to big cities,Assistance to big cities,,1,,,,,,,,,,,,,,,,,,
2267,r062,Assistance to big cities -> Too little,Assistance to big cities,Too little,2,na,na,na,na,na,na,na,na,na,41,40,32,31,28,27,26,35,35
2267,r063,Assistance to big cities -> About right,Assistance to big cities,About right,2,na,na,na,na,na,na,na,na,na,37,38,36,38,38,38,39,35,35
2267,r064,Assistance to big cities -> Too much,Assistance to big cities,Too much,2,na,na,na,na,na,na,na,na,na,13,12,22,20,24,24,25,22,19
2267,r065,Assistance to big cities -> Don't know,Assistance to big cities,Don't know,2,na,na,na,na,na,na,na,na,na,9,10,10,11,10,11,10,9,11
2267,r066,Mass transportation,Mass transportation,,1,,,,,,,,,,,,,,,,,,
2267,r067,Mass transportation -> Too little,Mass transportation,Too little,2,na,na,na,na,na,na,na,na,na,34,35,39,45,40,38,37,35,37
2267,r068,Mass transportation -> About right,Mass transportation,About right,2,na,na,na,na,na,na,na,na,na,50,50,47,42,46,46,48,52,48
2267,r069,Mass transportation -> Too much,Mass transportation,Too much,2,na,na,na,na,na,na,na,na,na,10,10,8,8,9,10,9,8,8
2267,r070,Mass transportation -> Don't know,Mass transportation,Don't know,2,na,na,na,na,na,na,na,na,na,6,6,6,5,4,6,6,5,7
2267,r071,Parks and recreation,Parks and recreation,,1,,,,,,,,,,,,,,,,,,
2267,r072,Parks and recreation -> Too little,Parks and recreation,Too little,2,na,na,na,na,na,na,na,na,na,34,31,33,30,32,31,32,34,34
2267,r073,Parks and recreation -> About right,Parks and recreation,About right,2,na,na,na,na,na,na,na,na,na,58,60,59,63,60,61,62,59,59
2267,r074,Parks and recreation -> Too much,Parks and recreation,Too much,2,na,na,na,na,na,na,na,na,na,5,7,6,5,6,6,5,6,4
2267,r075,Parks and recreation -> Don't know,Parks and recreation,Don't know,2,na,na,na,na,na,na,na,na,na,3,2,2,2,2,2,2,2,2
2267,r076,National defense,National defense,,1,,,,,,,,,,,,,,,,,,
2267,r077,National defense -> Too little,National defense,Too little,2,34,19,11,11,15,15,23,31,29,33,33,26,23,25,24,31,36,29
2267,r078,National defense -> About right,National defense,About right,2,38,31,36,35,42,42,42,40,41,44,38,33,34,39,40,36,34,39
2267,r079,National defense -> Too much,National defense,Too much,2,26,47,50,52,40,40,32,25,25,20,26,39,40,33,32,30,26,27
2267,r080,National defense -> Don't know,National defense,Don't know,2,2,3,3,3,3,2,4,4,5,3,3,3,3,3,3,3,3,4
2267,r081,Welfare,Welfare,,1,,,,,,,,,,,,,,,,,,
2267,r082,Welfare -> Too little,Welfare,Too little,2,na,na,na,na,na,na,na,na,na,20,23,24,23,22,20,18,22,23
2267,r083,Welfare -> About right,Welfare,About right,2,na,na,na,na,na,na,na,na,na,37,34,36,37,35,33,34,33,36
2267,r084,Welfare -> Too much,Welfare,Too much,2,na,na,na,na,na,na,na,na,na,40,40,37,36,41,43,45,42,36
2267,r085,Welfare -> Don't know,Welfare,Don't know,2,na,na,na,na,na,na,na,na,na,3,2,3,4,3,3,3,3,5
2267,r086,Space exploration,Space exploration,,1,,,,,,,,,,,,,,,,,,
2267,r087,Space exploration -> Too little,Space exploration,Too little,2,18,17,9,17,9,12,14,15,11,12,14,14,14,16,22,24,21,21
2267,r088,Space exploration -> About right,Space exploration,About right,2,37,42,43,38,37,36,38,36,38,47,43,45,45,44,41,41,45,45
2267,r089,Space exploration -> Too much,Space exploration,Too much,2,42,39,45,43,52,50,45,46,48,35,37,35,36,35,29,28,25,23
2267,r090,Space exploration -> Don't know,Space exploration,Don't know,2,2,2,2,2,2,1,3,3,3,6,6,6,6,5,7,7,9,11
2267,r091,Assistance to other countries,Assistance to other countries,,1,,,,,,,,,,,,,,,,,,
2267,r092,Assistance to other countries -> Too little,Assistance to other countries,Too little,2,na,na,na,na,na,na,na,na,na,7,10,11,11,8,7,6,9,15
2267,r093,Assistance to other countries -> About right,Assistance to other countries,About right,2,na,na,na,na,na,na,na,na,na,27,26,24,26,28,23,23,28,31
2267,r094,Assistance to other countries -> Too much,Assistance to other countries,Too much,2,na,na,na,na,na,na,na,na,na,63,61,62,59,60,65,68,58,48
2267,r095,Assistance to other countries -> Don't know,Assistance to other countries,Don't know,2,na,na,na,na,na,na,na,na,na,3,4,4,4,3,4,3,4,6
