table_id,row_id,_b_mechanism_of_support_and_sex_b_full_path,_b_mechanism_of_support_and_sex_b_level_1,_b_mechanism_of_support_and_sex_b_level_2,_b_mechanism_of_support_and_sex_b_level_3,_b_mechanism_of_support_and_sex_b_hierarchy_depth,field_all_sources,field_federal_dod,field_federal_doe,field_federal_hhs_nih,field_federal_hhs_other,field_federal_nasa,field_federal_nsf,field_federal_usda,field_federal_other,field_domestic,field_foreign,field_institutional,field_self_support
6021,r022,"Master's students, imputation rate (%) -> All full-time master's students -> Research assistantships","Master's students, imputation rate (%)",All full-time master's students,Research assistantships,3,9.5,7.9,3.6,10.4,2.9,8.1,9.8,5.7,6.4,8.1,10.5,11.2,na
6021,r023,"Master's students, imputation rate (%) -> All full-time master's students -> Teaching assistantships","Master's students, imputation rate (%)",All full-time master's students,Teaching assistantships,3,10.3,na,0.0,na,0.0,0.0,3.4,2.7,17.6,23.9,2.6,10.4,na
6021,r024,"Master's students, imputation rate (%) -> All full-time master's students -> Traineeships","Master's students, imputation rate (%)",All full-time master's students,Traineeships,3,5.3,5.6,-,1.7,16.3,-,0.0,33.3,1.7,3.1,0.0,5.9,na
6021,r025,"Master's students, imputation rate (%) -> All full-time master's students -> Other types of support","Master's students, imputation rate (%)",All full-time master's students,Other types of support,3,11.0,2.1,12.9,13.8,4.1,0.0,5.4,7.0,15.4,14.1,18.1,9.5,11.1
6021,r026,"Master's students, imputation rate (%) -> Male","Master's students, imputation rate (%)",Male,,2,4.2,3.6,5.4,8.7,4.2,5.3,9.6,6.6,9.6,9.9,12.0,10.8,12.1
6021,r027,"Master's students, imputation rate (%) -> Female","Master's students, imputation rate (%)",Female,,2,3.7,5.6,1.5,10.0,8.0,8.7,7.4,5.4,13.8,10.1,16.9,10.9,12.0
6021,r028,"Master's students, number imputed<sup>a</sup>","Master's students, number imputed<sup>a</sup>",,,1,,,,,,,,,,,,,
6021,r029,"Master's students, number imputed<sup>a</sup> -> All full-time master's students","Master's students, number imputed<sup>a</sup>",All full-time master's students,,2,6582,108,21,86,35,19,177,63,531,448,142,6139,18824
6021,r030,"Master's students, number imputed<sup>a</sup> -> All full-time master's students -> Fellowships","Master's students, number imputed<sup>a</sup>",All full-time master's students,Fellowships,3,1064,8,1,5,7,0,28,1,55,18,4,937,na
6021,r031,"Master's students, number imputed<sup>a</sup> -> All full-time master's students -> Research assistantships","Master's students, number imputed<sup>a</sup>",All full-time master's students,Research assistantships,3,1825,65,16,64,9,19,133,51,88,177,20,1217,na
6021,r032,"Master's students, number imputed<sup>a</sup> -> All full-time master's students -> Teaching assistantships","Master's students, number imputed<sup>a</sup>",All full-time master's students,Teaching assistantships,3,2231,na,0,na,0,0,6,2,35,39,3,2180,na
6021,r033,"Master's students, number imputed<sup>a</sup> -> All full-time master's students -> Traineeships","Master's students, number imputed<sup>a</sup>",All full-time master's students,Traineeships,3,120,1,0,2,16,0,0,3,5,5,0,88,na
6021,r034,"Master's students, number imputed<sup>a</sup> -> All full-time master's students -> Other types of support","Master's students, number imputed<sup>a</sup>",All full-time master's students,Other types of support,3,21450,36,4,15,3,0,14,6,354,214,115,1770,18824
6021,r035,"Master's students, number imputed<sup>a</sup> -> Male","Master's students, number imputed<sup>a</sup>",Male,,2,4691,75,19,33,7,10,117,30,187,232,74,2886,9214
6021,r036,"Master's students, number imputed<sup>a</sup> -> Female","Master's students, number imputed<sup>a</sup>",Female,,2,4816,33,2,53,28,9,62,33,344,217,68,3272,11144
