table_id,row_id,education_system_full_path,education_system_level_1,education_system_level_2,education_system_hierarchy_depth,field_average_score,field_percentilea_10th_percentile_score,field_percentilea_90th_percentile_score,field_percentilea_90th_10th_percentile_score_gap,field_oecd_country_and_education_system
4097,r042,<b>OECD average             </b> -> Israel,<b>OECD average             </b>,Israel,2,"['463', '*']",315,600,"['285', '*']",Yes
4097,r043,<b>OECD average             </b> -> Turkey<sup>b</sup>,<b>OECD average             </b>,Turkey<sup>b</sup>,2,"['454', '*']",343,571,"['228', '&nbsp;']",Yes
4097,r044,<b>OECD average             </b> -> Ukraine,<b>OECD average             </b>,Ukraine,2,"['453', '*']",331,573,"['242', '&nbsp;']",No
4097,r045,<b>OECD average             </b> -> Greece,<b>OECD average             </b>,Greece,2,"['451', '*']",334,565,"['231', '&nbsp;']",Yes
4097,r046,<b>OECD average             </b> -> Cyprus,<b>OECD average             </b>,Cyprus,2,"['451', '*']",325,571,"['246', '&nbsp;']",No
4097,r047,<b>OECD average             </b> -> Serbia,<b>OECD average             </b>,Serbia,2,"['448', '*']",324,576,"['251', '&nbsp;']",No
4097,r048,<b>OECD average             </b> -> Malaysia<sup>b</sup>,<b>OECD average             </b>,Malaysia<sup>b</sup>,2,"['440', '*']",335,550,"['214', '*']",No
4097,r049,<b>OECD average             </b> -> Albania,<b>OECD average             </b>,Albania,2,"['437', '*']",332,544,"['211', '*']",No
4097,r050,<b>OECD average             </b> -> Bulgaria<sup>b</sup>,<b>OECD average             </b>,Bulgaria<sup>b</sup>,2,"['436', '*']",311,563,"['251', '&nbsp;']",No
4097,r051,<b>OECD average             </b> -> United Arab Emirates,<b>OECD average             </b>,United Arab Emirates,2,"['435', '*']",299,574,"['275', '*']",No
4097,r052,<b>OECD average             </b> -> Brunei Darussalam,<b>OECD average             </b>,Brunei Darussalam,2,"['430', '*']",316,555,"['239', '&nbsp;']",No
4097,r053,<b>OECD average             </b> -> Romania<sup>b</sup>,<b>OECD average             </b>,Romania<sup>b</sup>,2,"['430', '*']",310,554,"['244', '&nbsp;']",No
4097,r054,"<b>OECD average             </b> -> Montenegro, Republic of",<b>OECD average             </b>,"Montenegro, Republic of",2,"['430', '*']",324,538,"['214', '*']",No
4097,r055,<b>OECD average             </b> -> Kazakhstan,<b>OECD average             </b>,Kazakhstan,2,"['423', '*']",314,535,"['221', '*']",No
4097,r056,"<b>OECD average             </b> -> Moldova, Republic of",<b>OECD average             </b>,"Moldova, Republic of",2,"['421', '*']",300,543,"['244', '&nbsp;']",No
4097,r057,<b>OECD average             </b> -> Baku (Azerbaijan)<sup>c</sup>,<b>OECD average             </b>,Baku (Azerbaijan)<sup>c</sup>,2,"['420', '*']",306,535,"['229', '&nbsp;']",No
4097,r058,<b>OECD average             </b> -> Thailand<sup>b</sup>,<b>OECD average             </b>,Thailand<sup>b</sup>,2,"['419', '*']",310,535,"['226', '&nbsp;']",No
4097,r059,<b>OECD average             </b> -> Uruguay,<b>OECD average             </b>,Uruguay,2,"['418', '*']",307,529,"['221', '*']",No
4097,r060,<b>OECD average             </b> -> Chile,<b>OECD average             </b>,Chile,2,"['417', '*']",311,528,"['218', '*']",Yes
4097,r061,<b>OECD average             </b> -> Qatar,<b>OECD average             </b>,Qatar,2,"['414', '*']",290,544,"['253', '&nbsp;']",No
4097,r062,<b>OECD average             </b> -> Mexico<sup>b</sup>,<b>OECD average             </b>,Mexico<sup>b</sup>,2,"['409', '*']",311,510,"['199', '*']",Yes
4097,r063,<b>OECD average             </b> -> Bosnia and Herzegovina,<b>OECD average             </b>,Bosnia and Herzegovina,2,"['406', '*']",303,514,"['211', '*']",No
4097,r064,<b>OECD average             </b> -> Costa Rica<sup>b</sup>,<b>OECD average             </b>,Costa Rica<sup>b</sup>,2,"['402', '*']",308,499,"['191', '*']",No
4097,r065,<b>OECD average             </b> -> Peru<sup>b</sup>,<b>OECD average             </b>,Peru<sup>b</sup>,2,"['400', '*']",293,511,"['217', '*']",No
4097,r066,<b>OECD average             </b> -> Jordan<sup>b</sup>,<b>OECD average             </b>,Jordan<sup>b</sup>,2,"['400', '*']",291,508,"['217', '*']",No
4097,r067,<b>OECD average             </b> -> Georgia,<b>OECD average             </b>,Georgia,2,"['398', '*']",286,515,"['228', '&nbsp;']",No
4097,r068,<b>OECD average             </b> -> North Macedonia,<b>OECD average             </b>,North Macedonia,2,"['394', '*']",275,516,"['241', '&nbsp;']",No
4097,r069,<b>OECD average             </b> -> Lebanon,<b>OECD average             </b>,Lebanon,2,"['393', '*']",256,533,"['276', '*']",No
4097,r070,<b>OECD average             </b> -> Colombia<sup>b</sup>,<b>OECD average             </b>,Colombia<sup>b</sup>,2,"['391', '*']",290,499,"['209', '*']",Yes
4097,r071,<b>OECD average             </b> -> Brazil<sup>b</sup>,<b>OECD average             </b>,Brazil<sup>b</sup>,2,"['384', '*']",277,501,"['224', '*']",No
4097,r072,<b>OECD average             </b> -> Argentina,<b>OECD average             </b>,Argentina,2,"['379', '*']",272,489,"['217', '*']",No
4097,r073,<b>OECD average             </b> -> Indonesia,<b>OECD average             </b>,Indonesia,2,"['379', '*']",281,480,"['198', '*']",No
4097,r074,<b>OECD average             </b> -> Saudi Arabia,<b>OECD average             </b>,Saudi Arabia,2,"['373', '*']",273,475,"['202', '*']",No
4097,r075,<b>OECD average             </b> -> Morocco<sup>b</sup>,<b>OECD average             </b>,Morocco<sup>b</sup>,2,"['368', '*']",273,469,"['196', '*']",No
4097,r076,<b>OECD average             </b> -> Kosovo,<b>OECD average             </b>,Kosovo,2,"['366', '*']",269,465,"['197', '*']",No
4097,r077,<b>OECD average             </b> -> Panama<sup>b</sup>,<b>OECD average             </b>,Panama<sup>b</sup>,2,"['353', '*']",255,454,"['199', '*']",No
4097,r078,<b>OECD average             </b> -> Philippines<sup>b</sup>,<b>OECD average             </b>,Philippines<sup>b</sup>,2,"['353', '*']",255,456,"['201', '*']",No
4097,r079,<b>OECD average             </b> -> Dominican Republic<sup>b</sup>,<b>OECD average             </b>,Dominican Republic<sup>b</sup>,2,"['325', '*']",236,417,"['181', '*']",No
