table_id,row_id,selected_characteristic_full_path,selected_characteristic_level_1,selected_characteristic_level_2,selected_characteristic_level_3,selected_characteristic_level_4,selected_characteristic_hierarchy_depth,field_number_of_early_career_doctorates,field_able_to_manage_demands_of_position_disagree,field_able_to_manage_demands_of_position_neither_agree_nor_disagree,field_able_to_manage_demands_of_position_agree,field_work_schedule_allowed_maintenance_of_desired_quality_of_life_disagree,field_work_schedule_allowed_maintenance_of_desired_quality_of_life_neither_agree_nor_disagree,field_work_schedule_allowed_maintenance_of_desired_quality_of_life_agree,field_supervisor_understood_relationship_between_personal_and_professional_responsibilities_disagree,field_supervisor_understood_relationship_between_personal_and_professional_responsibilities_neither_agree_nor_disagree,field_supervisor_understood_relationship_between_personal_and_professional_responsibilities_agree,field_demands_at_home_have_slowed_progress_of_professional_activities_disagree,field_demands_at_home_have_slowed_progress_of_professional_activities_neither_agree_nor_disagree,field_demands_at_home_have_slowed_progress_of_professional_activities_agree
3821,r011,All early career doctorates -> Citizenship and sex -> Temporary visa holder -> Male,All early career doctorates,Citizenship and sex,Temporary visa holder,Male,4,21000,9.1,6.9,84.0,20.1,11.5,68.4,8.2,17.2,74.6,36.7,23.5,39.8
3821,r012,All early career doctorates -> Ethnicity and race,All early career doctorates,Ethnicity and race,,,2,,,,,,,,,,,,,
3821,r013,All early career doctorates -> Ethnicity and race -> Hispanic or Latino,All early career doctorates,Ethnicity and race,Hispanic or Latino,,3,13600,10.6,6.7,82.8,24.6,9.0,66.4,12.4,21.5,66.1,30.4,24.9,44.7
3821,r014,All early career doctorates -> Ethnicity and race -> Not Hispanic or Latino,All early career doctorates,Ethnicity and race,Not Hispanic or Latino,,3,,,,,,,,,,,,,
3821,r015,All early career doctorates -> Ethnicity and race -> Not Hispanic or Latino -> Asian,All early career doctorates,Ethnicity and race,Not Hispanic or Latino,Asian,4,37600,8.0,7.7,84.3,18.0,10.2,71.8,7.8,20.5,71.7,31.5,26.9,41.6
3821,r016,All early career doctorates -> Ethnicity and race -> Not Hispanic or Latino -> Black or African American,All early career doctorates,Ethnicity and race,Not Hispanic or Latino,Black or African American,4,10100,9.4,1.9,88.6,19.6,8.3,72.1,10.0,28.8,61.2,49.7,17.9,32.3
3821,r017,All early career doctorates -> Ethnicity and race -> Not Hispanic or Latino -> White,All early career doctorates,Ethnicity and race,Not Hispanic or Latino,White,4,120800,9.8,5.0,85.2,21.8,8.5,69.7,10.6,22.1,67.2,33.8,19.5,46.7
3821,r018,All early career doctorates -> Ethnicity and race -> Not Hispanic or Latino -> Other race and ethnicity,All early career doctorates,Ethnicity and race,Not Hispanic or Latino,Other race and ethnicity,4,4700,14.2,8.2,77.6,24.4,9.5,66.2,13.1,28.3,58.5,39.4,23.3,37.3
3821,r019,All early career doctorates -> Age quartile,All early career doctorates,Age quartile,,,2,,,,,,,,,,,,,
3821,r020,All early career doctorates -> Age quartile -> 32 years and under,All early career doctorates,Age quartile,32 years and under,,3,38400,7.6,6.7,85.7,18.4,9.6,72.0,9.5,17.6,72.9,41.4,23.3,35.3
3821,r021,All early career doctorates -> Age quartile -> 33&#8211;35 year,All early career doctorates,Age quartile,33&#8211;35 year,,3,51100,10.4,5.0,84.6,21.4,8.2,70.4,9.7,22.3,68.0,29.5,20.2,50.3
3821,r022,All early career doctorates -> Age quartile -> 36&#8211;40 years,All early career doctorates,Age quartile,36&#8211;40 years,,3,41900,9.6,6.7,83.7,21.2,10.5,68.4,10.2,22.5,67.2,28.6,19.6,51.8
3821,r023,All early career doctorates -> Age quartile -> 41 years or older,All early career doctorates,Age quartile,41 years or older,,3,55300,10.2,4.6,85.2,22.9,7.8,69.3,11.2,25.3,63.5,37.5,22.5,40.0
3821,r024,All early career doctorates -> Marital status,All early career doctorates,Marital status,,,2,,,,,,,,,,,,,
3821,r025,All early career doctorates -> Marital status -> Never married,All early career doctorates,Marital status,Never married,,3,29500,10.5,9.1,80.4,27.6,10.4,62.0,11.1,27.5,61.4,48.2,26.8,24.9
3821,r026,All early career doctorates -> Marital status -> Married,All early career doctorates,Marital status,Married,,3,135400,9.1,5.1,85.8,19.4,8.3,72.2,9.5,20.5,70.0,30.2,19.8,50.0
3821,r027,All early career doctorates -> Marital status -> Marriage-like relationship,All early career doctorates,Marital status,Marriage-like relationship,,3,11500,12.0,4.9,83.1,24.9,11.8,63.3,14.5,27.8,57.8,39.9,25.7,34.4
3821,r028,"All early career doctorates -> Marital status -> Separated, divorced, widowed",All early career doctorates,Marital status,"Separated, divorced, widowed",,3,10300,10.6,3.1,86.3,21.9,8.4,69.7,12.3,24.1,63.6,38.2,22.2,39.5
3821,r029,All early career doctorates -> Dependents,All early career doctorates,Dependents,,,2,,,,,,,,,,,,,
3821,r030,All early career doctorates -> Dependents -> With dependents,All early career doctorates,Dependents,With dependents,,3,96800,9.6,5.3,85.1,18.5,8.5,73.0,9.6,19.3,71.1,23.1,16.9,60.0
3821,r031,All early career doctorates -> Dependents -> Without dependents,All early career doctorates,Dependents,Without dependents,,3,90000,9.6,5.9,84.5,24.0,9.3,66.7,10.9,25.4,63.7,46.0,26.2,27.9
3821,r032,All early career doctorates -> Disability status,All early career doctorates,Disability status,,,2,,,,,,,,,,,,,
3821,r033,All early career doctorates -> Disability status -> With disability,All early career doctorates,Disability status,With disability,,3,51700,13.9,6.6,79.5,27.5,10.6,61.9,12.8,23.1,64.1,30.8,20.6,48.7
3821,r034,All early career doctorates -> Disability status -> Without disability,All early career doctorates,Disability status,Without disability,,3,135000,7.9,5.2,86.9,18.8,8.2,73.0,9.2,21.9,68.8,35.4,21.7,42.9
