table_id,row_id,time_period,value_added_by_industry_level_1,value_added_by_industry_level_2,value_added_by_industry_hierarchy_depth,value
10756,r035_3,,NAICS 2012,Industry title,2,Motor vehicle steering and suspension component (except spring) manufacturing
10756,r036_2,,NAICS 2012,Industry code,2,33634
10756,r036_3,,NAICS 2012,Industry title,2,Motor vehicle brake system manufacturing
10756,r037_2,,NAICS 2012,Industry code,2,33635
10756,r037_3,,NAICS 2012,Industry title,2,Motor vehicle transmission and power train parts manufacturing
10756,r038_2,,NAICS 2012,Industry code,2,33636
10756,r038_3,,NAICS 2012,Industry title,2,Motor vehicle seating and interior trim manufacturing
10756,r039_2,,NAICS 2012,Industry code,2,33639
10756,r039_3,,NAICS 2012,Industry title,2,Other motor vehicle parts manufacturing
10756,r040_1,,"Value added, by industry",Industry title,2,All other transportation equipment manufacturing
10756,r040_2,,NAICS 2012,Industry code,2,3365
10756,r040_3,,NAICS 2012,Industry title,2,Railroad rolling stock manufacturing
10756,r040_4,,"ISIC, Rev.4",Industry code,2,30X
10756,r040_5,,"ISIC, Rev.4",Industry title,2,"Manufacture of railroad, military vehicles and transport nec (ISIC 302, 304, and 309)"
10756,r041_2,,NAICS 2012,Industry code,2,3369
10756,r041_3,,NAICS 2012,Industry title,2,Other transportation equipment manufacturing
10756,r042_1,,"Value added, by industry",Industry title,2,Medical equipment and supplies manufacturing
10756,r042_2,,NAICS 2012,Industry code,2,3391
10756,r042_3,,NAICS 2012,Industry title,2,Medical equipment and supplies manufacturing
10756,r042_4,,"ISIC, Rev.4",Industry code,2,325
10756,r042_5,,"ISIC, Rev.4",Industry title,2,Manufacture of medical and dental instruments and supplies 
10756,r043_1,,"Value added, by industry",Industry title,2,Computer systems design and related services
10756,r043_2,,NAICS 2012,Industry code,2,5415
10756,r043_3,,NAICS 2012,Industry title,2,Computer systems design and related services
10756,r043_4,,"ISIC, Rev.4",Industry code,2,J62–J63
10756,r043_5,,"ISIC, Rev.4",Industry title,2,IT and other information services
10756,r044_1,,"Value added, by industry",Industry title,2,"Data processing, internet publishing and other information services"
10756,r044_2,,NAICS 2012,Industry code,2,518
10756,r044_3,,NAICS 2012,Industry title,2,"Data processing, hosting and related services"
10756,r045_2,,NAICS 2012,Industry code,2,519
10756,r045_3,,NAICS 2012,Industry title,2,Other information services
