table_id,row_id,business_sector,abbreviation_if_applicable_,nice_class,class_description
10583,r022,Household equipment,na,21,"Household or kitchen utensils and containers; cookware and tableware, except forks, knives, and spoons; combs and sponges; brushes, except paintbrushes; brush-making materials; articles for cleaning purposes; unworked or semi-worked glass, except building glass; glassware, porcelain, and earthenware."
10583,r023,,,,
10583,r024,,,13,Firearms; ammunition and projectiles; explosives; fireworks.
10583,r025,,,15,Musical instruments; music stands and stands for musical instruments; conductors' batons.
10583,r026,,,16,"Paper and cardboard; printed matter; bookbinding material; photographs; stationery and office requisites, except furniture; adhesives for stationery or household purposes; drawing materials and materials for artists; paintbrushes; instructional and teaching materials; plastic sheets, films, and bags for wrapping and packaging; printers' type, printing blocks."
10583,r027,,,28,"Games, toys, and playthings; video game apparatus; gymnastic and sporting articles; decorations for Christmas trees."
10583,r028,"Leisure, education, and training",Leisure and education,41,Education; providing of training; entertainment; sporting and cultural activities.
10583,r029,,,,
10583,r030,,,35,Advertising; business management; business administration; office functions. 
10583,r031,"Management, communications, real estate, and financial services",Business services,36,Insurance; financial affairs; monetary affairs; real estate affairs.
10583,r032,,,,
10583,r033,,,3,"Non-medicated cosmetics and toiletry preparations; non-medicated dentifrices; perfumery, essential oils; bleaching preparations and other substances for laundry use; cleaning, polishing, scouring, and abrasive preparations. "
10583,r034,,,5,"Pharmaceuticals, medical, and veterinary preparations; sanitary preparations for medical purposes; dietetic food and substances adapted for medical or veterinary use, food for babies; dietary supplements for human beings and animals; plasters, materials for dressings; material for stopping teeth, dental wax; disinfectants; preparations for destroying vermin; fungicides, herbicides. "
10583,r035,,,10,"Surgical, medical, dental, and veterinary apparatus and instruments; artificial limbs, eyes, and teeth; orthopedic articles; suture materials; therapeutic and assistive devices adapted for the disabled; massage apparatus; apparatus, devices, and articles for nursing infants; sexual activity apparatus, devices, and articles."
10583,r036,"Pharmaceuticals, health, and cosmetics",Health,44,"Medical services; veterinary services; hygienic and beauty care for human beings or animals; agriculture, horticulture, and forestry services. "
10583,r037,,,,
10583,r038,,,9,"Scientific, research, navigation, surveying, photographic, cinematographic, audiovisual, optical, weighing, measuring, signaling, detecting, testing, inspecting, life-saving, and teaching apparatus and instruments; apparatus and instruments for conducting, switching, transforming, accumulating, regulating, or controlling the distribution or use of electricity; apparatus and instruments for recording, transmitting, reproducing, or processing sound, images, or data; recorded and downloadable media, computer software, blank digital or analogue recording and storage media; mechanisms for coin-operated apparatus; cash registers, calculating devices; computers and computer peripheral devices; diving suits, divers' masks, ear plugs for divers, nose clips for divers and swimmers, gloves for divers, breathing apparatus for underwater swimming; fire-extinguishing apparatus."
10583,r039,,,38,Telecommunications.
10583,r040,,,42,Scientific and technological services and research and design relating thereto; industrial analysis and industrial research services; design and development of computer hardware and software.
10583,r041,"Scientific research, information, and communication technology",Research and technology,45,Legal services; security services for the physical protection of tangible property and individuals; personal and social services rendered by others to meet the needs of individuals.
10583,r042,,,,
10583,r043,,,14,"Precious metals and their alloys; jewelry, precious and semi-precious stones; horological and chronometric instruments."
10583,r044,,,18,"Leather and imitations of leather; animal skins and hides; luggage and carrying bags; umbrellas and parasols; walking sticks; whips, harnesses, and saddlery; collars, leashes, and clothing for animals."
10583,r045,,,22,"Ropes and string; nets; tents and tarpaulins; awnings of textile or synthetic materials; sails; sacks for the transport and storage of materials in bulk; padding, cushioning, and stuffing materials, except of paper, cardboard, rubber, or plastics; raw fibrous textile materials and substitutes therefor."
10583,r046,,,23,Yarns and threads for textile use.
10583,r047,,,24,Textiles and substitutes for textiles; household linen; curtains of textile or plastic.
10583,r048,,,25,"Clothing, footwear, headwear."
10583,r049,,,26,"Lace, braid and embroidery, and haberdashery ribbons and bows; buttons, hooks and eyes, pins and needles; artificial flowers; hair decorations; false hair."
10583,r050,,,27,"Carpets, rugs, mats and matting, linoleum, and other materials for covering existing floors; wall hangings, not of textile."
10583,r051,Textiles—clothing and accessories,Clothing,34,Tobacco and tobacco substitutes; cigarettes and cigars; electronic cigarettes and oral vaporizers for smokers; smokers' articles; matches.
10583,r052,,,,
10583,r053,,,7,"Machines, machine tools, power-operated tools; motors and engines, except for land vehicles; machine coupling and transmission components, except for land vehicles; agricultural implements, other than hand-operated hand tools; incubators for eggs; automatic vending machines. "
10583,r054,,,12,"Vehicles; apparatus for locomotion by land, air, or water."
10583,r055,Transportation and logistics,Transportation,39,Transport; packaging and storage of goods; travel arrangement.
