table_id,row_id,_b_field_of_doctorate_b_full_path,_b_field_of_doctorate_b_level_1,_b_field_of_doctorate_b_level_2,_b_field_of_doctorate_b_level_3,_b_field_of_doctorate_b_level_4,_b_field_of_doctorate_b_hierarchy_depth,field_female_doctorate_recipients,field_doctorate_recipients_with_definite_commitments,field_location_of_definite_commitments_united_states_total,field_location_of_definite_commitments_united_states_postdoctoral_study,field_location_of_definite_commitments_united_states_academic_employment,field_location_of_definite_commitments_united_states_industry_employmenta,field_location_of_definite_commitments_united_states_otherb,field_location_of_definite_commitments_abroad,field_location_of_definite_commitments_unknown
9608,r014,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Pharmacology and toxicology,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,Pharmacology and toxicology,4,227,169,161,76,,72,,8,0
9608,r015,"Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Physiology, oncology, and cancer biology",Female doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,"Physiology, oncology, and cancer biology",4,400,279,261,160,27,59,15,18,0
9608,r016,"Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Biological and biomedical sciences, other",Female doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,"Biological and biomedical sciences, other",4,810,484,449,255,48,113,33,35,0
9608,r017,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Computer and information sciences,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Computer and information sciences,,3,534,365,330,76,69,155,30,35,0
9608,r018,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Computer and information sciences -> Computer science,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Computer and information sciences,Computer science,4,337,239,214,46,43,108,17,25,0
9608,r019,"Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Computer and information sciences -> Computer and information sciences, other",Female doctorate recipients reporting postgraduation commitments,Science and engineering,Computer and information sciences,"Computer and information sciences, other",4,197,126,116,30,26,47,13,10,0
9608,r020,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Engineering,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Engineering,,3,2931,1872,1760,603,158,852,147,111,1
9608,r021,"Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Engineering -> Biological, biomedical, and biosystems engineering",Female doctorate recipients reporting postgraduation commitments,Science and engineering,Engineering,"Biological, biomedical, and biosystems engineering",4,560,333,322,142,21,142,17,11,0
9608,r022,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Engineering -> Chemical and petroleum engineering,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Engineering,Chemical and petroleum engineering,4,415,262,248,71,13,155,9,14,0
9608,r023,"Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Engineering -> Civil, environmental, and transportation engineering",Female doctorate recipients reporting postgraduation commitments,Science and engineering,Engineering,"Civil, environmental, and transportation engineering",4,418,271,255,106,34,85,30,16,0
9608,r024,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Engineering -> Electrical and computer engineering,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Engineering,Electrical and computer engineering,4,397,260,243,49,21,155,18,17,0
9608,r025,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Engineering -> Engineering technologies,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Engineering,Engineering technologies,4,75,58,52,14,,31,,6,0
9608,r026,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Engineering -> Industrial engineering and operations research,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Engineering,Industrial engineering and operations research,4,186,118,103,25,19,48,11,14,1
9608,r027,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Engineering -> Materials and mining engineering,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Engineering,Materials and mining engineering,4,288,191,180,62,,95,,11,0
9608,r028,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Engineering -> Mechanical engineering,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Engineering,Mechanical engineering,4,297,191,181,77,16,71,17,10,0
9608,r029,"Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Engineering -> Engineering, other",Female doctorate recipients reporting postgraduation commitments,Science and engineering,Engineering,"Engineering, other",4,295,188,176,57,22,70,27,12,0
9608,r030,"Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Geosciences, atmospheric, and ocean sciences",Female doctorate recipients reporting postgraduation commitments,Science and engineering,"Geosciences, atmospheric, and ocean sciences",,3,538,360,332,209,27,46,50,28,0
9608,r031,"Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Geological and earth sciences",Female doctorate recipients reporting postgraduation commitments,Science and engineering,"Geosciences, atmospheric, and ocean sciences",Geological and earth sciences,4,277,177,159,91,15,24,29,18,0
9608,r032,"Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Ocean, marine, and atmospheric sciences",Female doctorate recipients reporting postgraduation commitments,Science and engineering,"Geosciences, atmospheric, and ocean sciences","Ocean, marine, and atmospheric sciences",4,261,183,173,118,12,22,21,10,0
9608,r033,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Health sciences,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Health sciences,,3,1934,1270,1193,338,411,212,232,76,1
9608,r034,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Health sciences -> Nursing and nursing science,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Health sciences,Nursing and nursing science,4,550,376,359,,,28,86,17,0
9608,r035,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Health sciences -> Pharmacy and pharmaceutical sciences,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Health sciences,Pharmacy and pharmaceutical sciences,4,236,146,134,,,79,7,12,0
9608,r036,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Health sciences -> Public health,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Health sciences,Public health,4,543,375,350,140,84,40,86,25,0
9608,r037,"Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Health sciences -> Health sciences, other",Female doctorate recipients reporting postgraduation commitments,Science and engineering,Health sciences,"Health sciences, other",4,605,373,350,91,141,65,53,22,1
9608,r038,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Mathematics and statistics,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Mathematics and statistics,,3,621,435,383,151,63,144,25,51,1
9608,r039,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Mathematics and statistics -> Applied mathematics,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Mathematics and statistics,Applied mathematics,4,141,99,90,37,10,35,8,9,0
9608,r040,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Mathematics and statistics -> Mathematics,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Mathematics and statistics,Mathematics,4,227,160,133,73,34,19,7,26,1
9608,r041,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Mathematics and statistics -> Statistics,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Mathematics and statistics,Statistics,4,253,176,160,41,19,90,10,16,0
9608,r042,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Multidisciplinary/ interdisciplinary sciences,,3,656,427,384,144,73,126,41,41,2
9608,r043,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Interdisciplinary computer sciences,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Multidisciplinary/ interdisciplinary sciences,Interdisciplinary computer sciences,4,154,105,92,18,16,49,9,12,1
9608,r044,"Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Multidisciplinary/ interdisciplinary sciences, other",Female doctorate recipients reporting postgraduation commitments,Science and engineering,Multidisciplinary/ interdisciplinary sciences,"Multidisciplinary/ interdisciplinary sciences, other",4,502,322,292,126,57,77,32,29,1
9608,r045,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Physical sciences,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Physical sciences,,3,1777,1173,1092,510,76,451,55,80,1
9608,r046,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Physical sciences -> Astronomy and astrophysics,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Physical sciences,Astronomy and astrophysics,4,106,80,74,56,7,8,3,6,0
9608,r047,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Physical sciences -> Chemistry,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Physical sciences,Chemistry,4,1137,739,709,291,,336,,29,1
9608,r048,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Physical sciences -> Materials sciences,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Physical sciences,Materials sciences,4,130,91,84,38,,38,,7,0
9608,r049,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Physical sciences -> Physics,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Physical sciences,Physics,4,404,263,225,125,14,69,17,38,0
9608,r050,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Psychology,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Psychology,,3,2918,2017,1958,1210,278,230,240,57,2
9608,r051,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Psychology -> Clinical psychology,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Psychology,Clinical psychology,4,910,693,,599,,26,43,,2
9608,r052,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Psychology -> Counseling and applied psychology,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Psychology,Counseling and applied psychology,4,1090,765,744,356,135,119,134,21,0
9608,r053,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Psychology -> Research and experimental psychology,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Psychology,Research and experimental psychology,4,572,387,,183,,64,36,,0
9608,r054,"Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Psychology -> Psychology, other",Female doctorate recipients reporting postgraduation commitments,Science and engineering,Psychology,"Psychology, other",4,346,172,164,72,44,21,27,8,0
9608,r055,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Social sciences,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Social sciences,,3,2641,1794,1568,498,529,237,304,224,2
9608,r056,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Social sciences -> Anthropology,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Social sciences,Anthropology,4,281,169,148,76,37,17,18,21,0
9608,r057,"Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Social sciences -> Area, ethnic, cultural, gender, and group studies",Female doctorate recipients reporting postgraduation commitments,Science and engineering,Social sciences,"Area, ethnic, cultural, gender, and group studies",4,283,186,175,57,78,12,28,11,0
9608,r058,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Social sciences -> Economics,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Social sciences,Economics,4,497,383,310,71,90,88,61,72,1
9608,r059,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Social sciences -> Political science and government,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Social sciences,Political science and government,4,279,198,171,58,66,21,26,27,0
9608,r060,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Social sciences -> Public policy analysis,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Social sciences,Public policy analysis,4,276,183,175,41,45,23,66,8,0
9608,r061,"Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Social sciences -> Sociology, demography, and population studies",Female doctorate recipients reporting postgraduation commitments,Science and engineering,Social sciences,"Sociology, demography, and population studies",4,388,275,251,95,86,28,42,23,1
9608,r062,"Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Social sciences -> Social sciences, other",Female doctorate recipients reporting postgraduation commitments,Science and engineering,Social sciences,"Social sciences, other",4,637,400,338,100,127,48,63,62,0
9608,r063,Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering,Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,,,2,6826,4231,3857,578,1967,363,949,373,1
9608,r064,Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Business,Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,Business,,3,620,440,372,28,262,54,28,68,0
9608,r065,Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Business -> Business administration and management,Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,Business,Business administration and management,4,206,124,113,8,69,20,16,11,0
9608,r066,"Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Business -> Business, other",Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,Business,"Business, other",4,414,316,259,20,193,34,12,57,0
9608,r067,Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Education,Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,Education,,3,2765,1772,1678,151,802,126,599,94,0
9608,r068,Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Education -> Education leadership and administration,Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,Education,Education leadership and administration,4,789,552,534,29,259,30,216,18,0
9608,r069,Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Education -> Education research,Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,Education,Education research,4,841,524,492,49,224,59,160,32,0
9608,r070,Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Education -> Teacher education,Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,Education,Teacher education,4,803,508,475,42,244,26,163,33,0
9608,r071,"Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Education -> Education, other",Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,Education,"Education, other",4,332,188,177,31,75,11,60,11,0
9608,r072,Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Humanities,Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,Humanities,,3,1658,972,859,211,433,68,147,112,1
9608,r073,"Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Humanities -> English language and literature, letters",Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,Humanities,"English language and literature, letters",4,668,385,356,68,204,29,55,28,1
9608,r074,"Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Humanities -> Foreign languages, literatures, and linguistics",Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,Humanities,"Foreign languages, literatures, and linguistics",4,315,168,142,29,77,13,23,26,0
9608,r075,Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Humanities -> History,Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,Humanities,History,4,350,231,202,69,79,11,43,29,0
9608,r076,Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Humanities -> Philosophy and religious studies,Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,Humanities,Philosophy and religious studies,4,226,140,119,36,62,7,14,21,0
9608,r077,"Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Humanities -> Humanities, other",Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,Humanities,"Humanities, other",4,99,48,40,9,11,8,12,8,0
9608,r078,Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Visual and performing arts,Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,Visual and performing arts,,3,479,246,214,50,101,26,37,32,0
9608,r079,Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Visual and performing arts -> Performing arts,Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,Visual and performing arts,Performing arts,4,228,110,94,17,48,13,16,16,0
9608,r080,"Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Visual and performing arts -> Visual arts, media studies, and design",Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,Visual and performing arts,"Visual arts, media studies, and design",4,251,136,120,33,53,13,21,16,0
9608,r081,Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Other non-science and engineering,Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,Other non-science and engineering,,3,1304,801,734,138,369,89,138,67,0
9608,r082,Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Other non-science and engineering -> Communications and journalism,Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,Other non-science and engineering,Communications and journalism,4,387,253,237,44,147,25,21,16,0
9608,r083,Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Other non-science and engineering -> Multidisciplinary/ interdisciplinary studies,Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,Other non-science and engineering,Multidisciplinary/ interdisciplinary studies,4,220,122,103,12,51,14,26,19,0
9608,r084,Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Other non-science and engineering -> Public administration and social services,Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,Other non-science and engineering,Public administration and social services,4,316,196,189,28,73,25,63,7,0
9608,r085,"Female doctorate recipients reporting postgraduation commitments -> Non-science and engineering -> Other non-science and engineering -> Non-science and engineering, other",Female doctorate recipients reporting postgraduation commitments,Non-science and engineering,Other non-science and engineering,"Non-science and engineering, other",4,381,230,205,54,98,25,28,25,0
