table_id,row_id,_b_primary_source_of_support_race_ethnicity_and_sex_b_full_path,_b_primary_source_of_support_race_ethnicity_and_sex_b_level_1,_b_primary_source_of_support_race_ethnicity_and_sex_b_level_2,_b_primary_source_of_support_race_ethnicity_and_sex_b_level_3,_b_primary_source_of_support_race_ethnicity_and_sex_b_level_4,_b_primary_source_of_support_race_ethnicity_and_sex_b_level_5,_b_primary_source_of_support_race_ethnicity_and_sex_b_level_6,_b_primary_source_of_support_race_ethnicity_and_sex_b_hierarchy_depth,field_all_s_e,field_science_all_science,field_science_life_sciencesa,field_science_physical_sciences_and_earth_sciences_,field_science_mathematics_and_computer_sciences,field_science_psychology_and_social_sciences,field_engineering
9332,r018,All recipients<sup>b</sup> (number) -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> Personal or family funds,All recipients<sup>b</sup> (number),Not Hispanic or Latino,American Indian or Alaska Native (number),Personal or family funds,,,4,22.42,23.92,27.27,,,26.47,
9332,r019,All recipients<sup>b</sup> (number) -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> Teaching assistantship,All recipients<sup>b</sup> (number),Not Hispanic or Latino,American Indian or Alaska Native (number),Teaching assistantship,,,4,9.73,10.63,4.96,25.0,,11.03,
9332,r020,"All recipients<sup>b</sup> (number) -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> Research assistantship, traineeship, or internship",All recipients<sup>b</sup> (number),Not Hispanic or Latino,American Indian or Alaska Native (number),"Research assistantship, traineeship, or internship",,,4,14.45,13.62,16.53,22.22,,9.56,21.05
9332,r021,"All recipients<sup>b</sup> (number) -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> Fellowship, scholarship, or dissertation grant",All recipients<sup>b</sup> (number),Not Hispanic or Latino,American Indian or Alaska Native (number),"Fellowship, scholarship, or dissertation grant",,,4,34.22,33.22,33.88,33.33,,33.82,42.11
9332,r022,All recipients<sup>b</sup> (number) -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> Other<sup>c</sup>,All recipients<sup>b</sup> (number),Not Hispanic or Latino,American Indian or Alaska Native (number),Other<sup>c</sup>,,,4,19.17,18.6,17.36,,,19.12,23.68
9332,r023,All recipients<sup>b</sup> (number) -> Not Hispanic or Latino -> Asian (number),All recipients<sup>b</sup> (number),Not Hispanic or Latino,Asian (number),,,,3,13625,10204,4923,1670,1275,2336,3421
9332,r024,All recipients<sup>b</sup> (number) -> Not Hispanic or Latino -> Asian (number) -> All sources,All recipients<sup>b</sup> (number),Not Hispanic or Latino,Asian (number),All sources,,,4,100.0,100.0,100.0,100.0,100.0,100.0,100.0
9332,r025,All recipients<sup>b</sup> (number) -> Not Hispanic or Latino -> Asian (number) -> All sources -> Personal or family funds,All recipients<sup>b</sup> (number),Not Hispanic or Latino,Asian (number),All sources,Personal or family funds,,5,9.08,10.11,9.83,2.63,7.61,17.42,5.99
9332,r026,All recipients<sup>b</sup> (number) -> Not Hispanic or Latino -> Asian (number) -> All sources -> Teaching assistantship,All recipients<sup>b</sup> (number),Not Hispanic or Latino,Asian (number),All sources,Teaching assistantship,,5,15.64,17.97,8.98,22.63,30.9,26.54,8.68
9332,r027,"All recipients<sup>b</sup> (number) -> Not Hispanic or Latino -> Asian (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients<sup>b</sup> (number),Not Hispanic or Latino,Asian (number),All sources,"Research assistantship, traineeship, or internship",,5,35.52,30.73,33.01,45.99,31.14,14.81,49.78
9332,r028,"All recipients<sup>b</sup> (number) -> Not Hispanic or Latino -> Asian (number) -> All sources -> Fellowship, scholarship, or dissertation grant",All recipients<sup>b</sup> (number),Not Hispanic or Latino,Asian (number),All sources,"Fellowship, scholarship, or dissertation grant",,5,29.28,30.98,38.09,20.36,18.9,30.18,24.23
9332,r029,All recipients<sup>b</sup> (number) -> Not Hispanic or Latino -> Asian (number) -> All sources -> Other<sup>c</sup>,All recipients<sup>b</sup> (number),Not Hispanic or Latino,Asian (number),All sources,Other<sup>c</sup>,,5,10.48,10.2,10.1,8.38,11.45,11.04,11.31
9332,r030,All recipients<sup>b</sup> (number) -> Not Hispanic or Latino -> Black or African American (number),All recipients<sup>b</sup> (number),Not Hispanic or Latino,Black or African American (number),,,,3,7107,6259,2779,449,310,2721,848
9332,r031,All recipients<sup>b</sup> (number) -> Not Hispanic or Latino -> Black or African American (number) -> All sources,All recipients<sup>b</sup> (number),Not Hispanic or Latino,Black or African American (number),All sources,,,4,100.0,100.0,100.0,100.0,100.0,100.0,100.0
9332,r032,All recipients<sup>b</sup> (number) -> Not Hispanic or Latino -> Black or African American (number) -> All sources -> Personal or family funds,All recipients<sup>b</sup> (number),Not Hispanic or Latino,Black or African American (number),All sources,Personal or family funds,,5,30.77,33.33,28.93,5.79,17.74,44.14,11.91
9332,r033,All recipients<sup>b</sup> (number) -> Not Hispanic or Latino -> Black or African American (number) -> All sources -> Teaching assistantship,All recipients<sup>b</sup> (number),Not Hispanic or Latino,Black or African American (number),All sources,Teaching assistantship,,5,10.89,11.2,6.59,25.84,24.19,12.02,8.61
9332,r034,"All recipients<sup>b</sup> (number) -> Not Hispanic or Latino -> Black or African American (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients<sup>b</sup> (number),Not Hispanic or Latino,Black or African American (number),All sources,"Research assistantship, traineeship, or internship",,5,16.53,15.15,19.79,24.05,15.81,8.86,26.77
9332,r035,"All recipients<sup>b</sup> (number) -> Not Hispanic or Latino -> Black or African American (number) -> All sources -> Fellowship, scholarship, or dissertation grant",All recipients<sup>b</sup> (number),Not Hispanic or Latino,Black or African American (number),All sources,"Fellowship, scholarship, or dissertation grant",,5,28.77,27.54,32.89,34.52,29.03,20.76,37.85
9332,r036,All recipients<sup>b</sup> (number) -> Not Hispanic or Latino -> Black or African American (number) -> All sources -> Other<sup>c</sup>,All recipients<sup>b</sup> (number),Not Hispanic or Latino,Black or African American (number),All sources,Other<sup>c</sup>,,5,13.03,12.78,11.8,9.8,13.23,14.22,14.86
9332,r037,All recipients<sup>b</sup> (number) -> Not Hispanic or Latino -> White (number),All recipients<sup>b</sup> (number),Not Hispanic or Latino,White (number),,,,3,86498,72556,30011,14059,5960,22526,13942
9332,r038,All recipients<sup>b</sup> (number) -> Not Hispanic or Latino -> White (number) -> All sources,All recipients<sup>b</sup> (number),Not Hispanic or Latino,White (number),All sources,,,4,100.0,100.0,100.0,100.0,100.0,100.0,100.0
9332,r039,All recipients<sup>b</sup> (number) -> Not Hispanic or Latino -> White (number) -> All sources -> Personal or family funds,All recipients<sup>b</sup> (number),Not Hispanic or Latino,White (number),All sources,Personal or family funds,,5,13.79,15.07,13.35,4.37,9.51,25.52,7.13
9332,r040,All recipients<sup>b</sup> (number) -> Not Hispanic or Latino -> White (number) -> All sources -> Teaching assistantship,All recipients<sup>b</sup> (number),Not Hispanic or Latino,White (number),All sources,Teaching assistantship,,5,18.62,20.78,12.99,21.79,37.85,26.01,7.37
9332,r041,"All recipients<sup>b</sup> (number) -> Not Hispanic or Latino -> White (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients<sup>b</sup> (number),Not Hispanic or Latino,White (number),All sources,"Research assistantship, traineeship, or internship",,5,33.03,30.49,33.04,47.4,26.14,17.67,46.29
9332,r042,"All recipients<sup>b</sup> (number) -> Not Hispanic or Latino -> White (number) -> All sources -> Fellowship, scholarship, or dissertation grant",All recipients<sup>b</sup> (number),Not Hispanic or Latino,White (number),All sources,"Fellowship, scholarship, or dissertation grant",,5,25.34,24.95,31.48,20.48,16.76,21.22,27.34
9332,r043,All recipients<sup>b</sup> (number) -> Not Hispanic or Latino -> White (number) -> All sources -> Other<sup>c</sup>,All recipients<sup>b</sup> (number),Not Hispanic or Latino,White (number),All sources,Other<sup>c</sup>,,5,9.22,8.71,9.15,5.96,9.73,9.58,11.87
9332,r044,All recipients<sup>b</sup> (number) -> Not Hispanic or Latino -> More than one race (number),All recipients<sup>b</sup> (number),Not Hispanic or Latino,More than one race (number),,,,3,4169,3550,1445,626,317,1162,619
9332,r045,All recipients<sup>b</sup> (number) -> Not Hispanic or Latino -> More than one race (number) -> All sources,All recipients<sup>b</sup> (number),Not Hispanic or Latino,More than one race (number),All sources,,,4,100.0,100.0,100.0,100.0,100.0,100.0,100.0
9332,r046,All recipients<sup>b</sup> (number) -> Not Hispanic or Latino -> More than one race (number) -> All sources -> Personal or family funds,All recipients<sup>b</sup> (number),Not Hispanic or Latino,More than one race (number),All sources,Personal or family funds,,5,14.03,15.72,11.76,5.11,10.09,27.88,4.36
9332,r047,All recipients<sup>b</sup> (number) -> Not Hispanic or Latino -> More than one race (number) -> All sources -> Teaching assistantship,All recipients<sup>b</sup> (number),Not Hispanic or Latino,More than one race (number),All sources,Teaching assistantship,,5,17.58,19.55,10.8,22.84,37.22,23.84,6.3
9332,r048,"All recipients<sup>b</sup> (number) -> Not Hispanic or Latino -> More than one race (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients<sup>b</sup> (number),Not Hispanic or Latino,More than one race (number),All sources,"Research assistantship, traineeship, or internship",,5,28.9,26.34,31.07,40.89,23.97,13.25,43.62
9332,r049,"All recipients<sup>b</sup> (number) -> Not Hispanic or Latino -> More than one race (number) -> All sources -> Fellowship, scholarship, or dissertation grant",All recipients<sup>b</sup> (number),Not Hispanic or Latino,More than one race (number),All sources,"Fellowship, scholarship, or dissertation grant",,5,33.61,32.96,41.11,26.84,22.4,29.0,37.32
9332,r050,All recipients<sup>b</sup> (number) -> Not Hispanic or Latino -> More than one race (number) -> All sources -> Other<sup>c</sup>,All recipients<sup>b</sup> (number),Not Hispanic or Latino,More than one race (number),All sources,Other<sup>c</sup>,,5,5.88,5.44,5.26,4.31,6.31,6.02,8.4
9332,r051,All recipients<sup>b</sup> (number) -> Not Hispanic or Latino -> Other race or race not reported (number),All recipients<sup>b</sup> (number),Not Hispanic or Latino,Other race or race not reported (number),,,,3,1422,1143,450,179,139,375,279
9332,r052,All recipients<sup>b</sup> (number) -> Not Hispanic or Latino -> Other race or race not reported (number) -> All sources,All recipients<sup>b</sup> (number),Not Hispanic or Latino,Other race or race not reported (number),All sources,,,4,100.0,100.0,100.0,100.0,100.0,100.0,100.0
9332,r053,All recipients<sup>b</sup> (number) -> Not Hispanic or Latino -> Other race or race not reported (number) -> All sources -> Personal or family funds,All recipients<sup>b</sup> (number),Not Hispanic or Latino,Other race or race not reported (number),All sources,Personal or family funds,,5,12.24,13.65,12.0,,,21.87,
9332,r054,All recipients<sup>b</sup> (number) -> Not Hispanic or Latino -> Other race or race not reported (number) -> All sources -> Teaching assistantship,All recipients<sup>b</sup> (number),Not Hispanic or Latino,Other race or race not reported (number),All sources,Teaching assistantship,,5,11.88,14.26,6.67,15.08,,18.93,
9332,r055,"All recipients<sup>b</sup> (number) -> Not Hispanic or Latino -> Other race or race not reported (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients<sup>b</sup> (number),Not Hispanic or Latino,Other race or race not reported (number),All sources,"Research assistantship, traineeship, or internship",,5,20.11,17.67,20.67,35.75,,7.2,30.11
9332,r056,"All recipients<sup>b</sup> (number) -> Not Hispanic or Latino -> Other race or race not reported (number) -> All sources -> Fellowship, scholarship, or dissertation grant",All recipients<sup>b</sup> (number),Not Hispanic or Latino,Other race or race not reported (number),All sources,"Fellowship, scholarship, or dissertation grant",,5,19.69,20.38,26.0,12.29,,18.4,16.85
9332,r057,All recipients<sup>b</sup> (number) -> Not Hispanic or Latino -> Other race or race not reported (number) -> All sources -> Other<sup>c</sup>,All recipients<sup>b</sup> (number),Not Hispanic or Latino,Other race or race not reported (number),All sources,Other<sup>c</sup>,,5,36.08,34.03,34.67,,,33.6,44.44
9332,r058,All recipients<sup>b</sup> (number) -> Ethnicity not reported (number),All recipients<sup>b</sup> (number),Ethnicity not reported (number),,,,,2,1980,1611,589,232,182,608,369
9332,r059,All recipients<sup>b</sup> (number) -> Ethnicity not reported (number) -> All sources,All recipients<sup>b</sup> (number),Ethnicity not reported (number),All sources,,,,3,100.0,100.0,100.0,100.0,100.0,100.0,100.0
9332,r060,All recipients<sup>b</sup> (number) -> Ethnicity not reported (number) -> All sources -> Personal or family funds,All recipients<sup>b</sup> (number),Ethnicity not reported (number),All sources,Personal or family funds,,,4,5.1,5.71,6.96,1.29,4.4,6.58,2.44
9332,r061,All recipients<sup>b</sup> (number) -> Ethnicity not reported (number) -> All sources -> Teaching assistantship,All recipients<sup>b</sup> (number),Ethnicity not reported (number),All sources,Teaching assistantship,,,4,4.49,4.9,2.89,6.03,8.24,5.43,2.71
9332,r062,"All recipients<sup>b</sup> (number) -> Ethnicity not reported (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients<sup>b</sup> (number),Ethnicity not reported (number),All sources,"Research assistantship, traineeship, or internship",,,4,7.12,6.39,6.79,12.93,6.59,3.45,10.3
9332,r063,"All recipients<sup>b</sup> (number) -> Ethnicity not reported (number) -> All sources -> Fellowship, scholarship, or dissertation grant",All recipients<sup>b</sup> (number),Ethnicity not reported (number),All sources,"Fellowship, scholarship, or dissertation grant",,,4,6.16,5.77,7.81,4.74,6.04,4.11,7.86
9332,r064,All recipients<sup>b</sup> (number) -> Ethnicity not reported (number) -> All sources -> Other<sup>c</sup>,All recipients<sup>b</sup> (number),Ethnicity not reported (number),All sources,Other<sup>c</sup>,,,4,77.12,77.22,75.55,75.0,74.73,80.43,76.69
9332,r065,All recipients<sup>b</sup> (number) -> Female (number),All recipients<sup>b</sup> (number),Female (number),,,,,2,60066,54394,25021,6511,2275,20587,5672
9332,r066,All recipients<sup>b</sup> (number) -> Female (number) -> All sources,All recipients<sup>b</sup> (number),Female (number),All sources,,,,3,100.0,100.0,100.0,100.0,100.0,100.0,100.0
9332,r067,All recipients<sup>b</sup> (number) -> Female (number) -> All sources -> Personal or family funds,All recipients<sup>b</sup> (number),Female (number),All sources,Personal or family funds,,,4,17.77,19.04,16.19,4.1,9.93,28.23,5.66
9332,r068,All recipients<sup>b</sup> (number) -> Female (number) -> All sources -> Teaching assistantship,All recipients<sup>b</sup> (number),Female (number),All sources,Teaching assistantship,,,4,16.45,17.37,10.72,21.86,35.16,22.05,7.65
9332,r069,"All recipients<sup>b</sup> (number) -> Female (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients<sup>b</sup> (number),Female (number),All sources,"Research assistantship, traineeship, or internship",,,4,26.72,25.41,29.14,40.42,22.24,16.48,39.26
9332,r070,"All recipients<sup>b</sup> (number) -> Female (number) -> All sources -> Fellowship, scholarship, or dissertation grant",All recipients<sup>b</sup> (number),Female (number),All sources,"Fellowship, scholarship, or dissertation grant",,,4,28.72,27.89,33.57,27.68,22.42,21.67,36.58
9332,r071,All recipients<sup>b</sup> (number) -> Female (number) -> All sources -> Other<sup>c</sup>,All recipients<sup>b</sup> (number),Female (number),All sources,Other<sup>c</sup>,,,4,10.35,10.3,10.38,5.94,10.24,11.58,10.84
9332,r072,All recipients<sup>b</sup> (number) -> Female (number) -> Hispanic or Latino<sup>d</sup> (number),All recipients<sup>b</sup> (number),Female (number),Hispanic or Latino<sup>d</sup> (number),,,,3,5124,4685,2042,487,112,2044,439
9332,r073,All recipients<sup>b</sup> (number) -> Female (number) -> Hispanic or Latino<sup>d</sup> (number) -> All sources,All recipients<sup>b</sup> (number),Female (number),Hispanic or Latino<sup>d</sup> (number),All sources,,,4,100.0,100.0,100.0,100.0,100.0,100.0,100.0
9332,r074,All recipients<sup>b</sup> (number) -> Female (number) -> Hispanic or Latino<sup>d</sup> (number) -> All sources -> Personal or family funds,All recipients<sup>b</sup> (number),Female (number),Hispanic or Latino<sup>d</sup> (number),All sources,Personal or family funds,,5,18.74,19.62,14.2,4.72,6.25,29.31,9.34
9332,r075,All recipients<sup>b</sup> (number) -> Female (number) -> Hispanic or Latino<sup>d</sup> (number) -> All sources -> Teaching assistantship,All recipients<sup>b</sup> (number),Female (number),Hispanic or Latino<sup>d</sup> (number),All sources,Teaching assistantship,,5,13.51,14.15,8.42,17.86,28.57,18.2,6.61
9332,r076,"All recipients<sup>b</sup> (number) -> Female (number) -> Hispanic or Latino<sup>d</sup> (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients<sup>b</sup> (number),Female (number),Hispanic or Latino<sup>d</sup> (number),All sources,"Research assistantship, traineeship, or internship",,5,19.18,18.59,23.16,29.16,21.43,11.35,25.51
9332,r077,"All recipients<sup>b</sup> (number) -> Female (number) -> Hispanic or Latino<sup>d</sup> (number) -> All sources -> Fellowship, scholarship, or dissertation grant",All recipients<sup>b</sup> (number),Female (number),Hispanic or Latino<sup>d</sup> (number),All sources,"Fellowship, scholarship, or dissertation grant",,5,36.9,35.94,44.91,40.45,30.36,26.22,47.15
9332,r078,All recipients<sup>b</sup> (number) -> Female (number) -> Hispanic or Latino<sup>d</sup> (number) -> All sources -> Other<sup>c</sup>,All recipients<sup>b</sup> (number),Female (number),Hispanic or Latino<sup>d</sup> (number),All sources,Other<sup>c</sup>,,5,11.67,11.7,9.3,7.8,13.39,14.92,11.39
9332,r079,All recipients<sup>b</sup> (number) -> Female (number) -> Not Hispanic or Latino,All recipients<sup>b</sup> (number),Female (number),Not Hispanic or Latino,,,,3,,,,,,,
9332,r080,All recipients<sup>b</sup> (number) -> Female (number) -> Not Hispanic or Latino -> American Indian or Alaska Native (number),All recipients<sup>b</sup> (number),Female (number),Not Hispanic or Latino,American Indian or Alaska Native (number),,,4,188,176,73,14,,86,
9332,r081,All recipients<sup>b</sup> (number) -> Female (number) -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> All sources,All recipients<sup>b</sup> (number),Female (number),Not Hispanic or Latino,American Indian or Alaska Native (number),All sources,,5,100.0,100.0,100.0,100.0,100.0,100.0,100.0
9332,r082,All recipients<sup>b</sup> (number) -> Female (number) -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> All sources -> Personal or family funds,All recipients<sup>b</sup> (number),Female (number),Not Hispanic or Latino,American Indian or Alaska Native (number),All sources,Personal or family funds,6,23.4,24.43,27.4,,,25.58,
9332,r083,All recipients<sup>b</sup> (number) -> Female (number) -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> All sources -> Teaching assistantship,All recipients<sup>b</sup> (number),Female (number),Not Hispanic or Latino,American Indian or Alaska Native (number),All sources,Teaching assistantship,6,6.91,7.39,,,,9.3,
9332,r084,"All recipients<sup>b</sup> (number) -> Female (number) -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients<sup>b</sup> (number),Female (number),Not Hispanic or Latino,American Indian or Alaska Native (number),All sources,"Research assistantship, traineeship, or internship",6,11.7,11.93,17.81,,,6.98,
9332,r085,"All recipients<sup>b</sup> (number) -> Female (number) -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> All sources -> Fellowship, scholarship, or dissertation grant",All recipients<sup>b</sup> (number),Female (number),Not Hispanic or Latino,American Indian or Alaska Native (number),All sources,"Fellowship, scholarship, or dissertation grant",6,38.83,38.07,32.88,,,38.37,
9332,r086,All recipients<sup>b</sup> (number) -> Female (number) -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> All sources -> Other<sup>c</sup>,All recipients<sup>b</sup> (number),Female (number),Not Hispanic or Latino,American Indian or Alaska Native (number),All sources,Other<sup>c</sup>,6,19.15,18.18,,,,19.77,
9332,r087,All recipients<sup>b</sup> (number) -> Female (number) -> Not Hispanic or Latino -> Asian (number),All recipients<sup>b</sup> (number),Female (number),Not Hispanic or Latino,Asian (number),,,4,6733,5617,2906,665,437,1609,1116
9332,r088,All recipients<sup>b</sup> (number) -> Female (number) -> Not Hispanic or Latino -> Asian (number) -> All sources,All recipients<sup>b</sup> (number),Female (number),Not Hispanic or Latino,Asian (number),All sources,,5,100.0,100.0,100.0,100.0,100.0,100.0,100.0
9332,r089,All recipients<sup>b</sup> (number) -> Female (number) -> Not Hispanic or Latino -> Asian (number) -> All sources -> Personal or family funds,All recipients<sup>b</sup> (number),Female (number),Not Hispanic or Latino,Asian (number),All sources,Personal or family funds,6,10.55,11.73,10.56,3.16,8.01,18.4,4.57
9332,r090,All recipients<sup>b</sup> (number) -> Female (number) -> Not Hispanic or Latino -> Asian (number) -> All sources -> Teaching assistantship,All recipients<sup>b</sup> (number),Female (number),Not Hispanic or Latino,Asian (number),All sources,Teaching assistantship,6,15.88,17.27,9.36,20.6,35.7,25.17,8.87
9332,r091,"All recipients<sup>b</sup> (number) -> Female (number) -> Not Hispanic or Latino -> Asian (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients<sup>b</sup> (number),Female (number),Not Hispanic or Latino,Asian (number),All sources,"Research assistantship, traineeship, or internship",6,32.14,29.02,33.28,42.56,28.15,15.97,47.85
9332,r092,"All recipients<sup>b</sup> (number) -> Female (number) -> Not Hispanic or Latino -> Asian (number) -> All sources -> Fellowship, scholarship, or dissertation grant",All recipients<sup>b</sup> (number),Female (number),Not Hispanic or Latino,Asian (number),All sources,"Fellowship, scholarship, or dissertation grant",6,31.92,32.17,37.27,27.07,17.85,28.96,30.65
9332,r093,All recipients<sup>b</sup> (number) -> Female (number) -> Not Hispanic or Latino -> Asian (number) -> All sources -> Other<sup>c</sup>,All recipients<sup>b</sup> (number),Female (number),Not Hispanic or Latino,Asian (number),All sources,Other<sup>c</sup>,6,9.52,9.81,9.53,6.62,10.3,11.5,8.06
9332,r094,All recipients<sup>b</sup> (number) -> Female (number) -> Not Hispanic or Latino -> Black or African American (number),All recipients<sup>b</sup> (number),Female (number),Not Hispanic or Latino,Black or African American (number),,,4,4358,4078,1899,184,116,1879,280
9332,r095,All recipients<sup>b</sup> (number) -> Female (number) -> Not Hispanic or Latino -> Black or African American (number) -> All sources,All recipients<sup>b</sup> (number),Female (number),Not Hispanic or Latino,Black or African American (number),All sources,,5,100.0,100.0,100.0,100.0,100.0,100.0,100.0
9332,r096,All recipients<sup>b</sup> (number) -> Female (number) -> Not Hispanic or Latino -> Black or African American (number) -> All sources -> Personal or family funds,All recipients<sup>b</sup> (number),Female (number),Not Hispanic or Latino,Black or African American (number),All sources,Personal or family funds,6,34.17,36.02,30.54,5.98,20.69,45.45,7.14
9332,r097,All recipients<sup>b</sup> (number) -> Female (number) -> Not Hispanic or Latino -> Black or African American (number) -> All sources -> Teaching assistantship,All recipients<sup>b</sup> (number),Female (number),Not Hispanic or Latino,Black or African American (number),All sources,Teaching assistantship,6,9.27,9.49,5.9,21.74,25.0,10.96,6.07
9332,r098,"All recipients<sup>b</sup> (number) -> Female (number) -> Not Hispanic or Latino -> Black or African American (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients<sup>b</sup> (number),Female (number),Not Hispanic or Latino,Black or African American (number),All sources,"Research assistantship, traineeship, or internship",6,15.14,14.3,18.59,20.65,13.79,9.37,27.5
