table_id,row_id,_b_field_and_demographic_characteristic_b_full_path,_b_field_and_demographic_characteristic_b_level_1,_b_field_and_demographic_characteristic_b_level_2,_b_field_and_demographic_characteristic_b_level_3,_b_field_and_demographic_characteristic_b_level_4,_b_field_and_demographic_characteristic_b_hierarchy_depth,field_one_or_more_limitations_of_any_type_number,field_one_or_more_limitations_of_any_type_percent,field_visual_limitations_number,field_visual_limitations_percent,field_hearing_limitations_number,field_hearing_limitations_percent,field_walking_limitations_number,field_walking_limitations_percent,field_lifting_limitations_number,field_lifting_limitations_percent,field_cognitive_limitations_number,field_cognitive_limitations_percent
11664,r011,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences,Doctorate recipients reporting functional limitation status,Field of doctorate,Science and engineering,Multidisciplinary/ interdisciplinary sciences,4,196,13.1,70,4.7,30,2.0,5,0.3,10,0.7,114,7.6
11664,r012,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Science and engineering -> Physical sciences,Doctorate recipients reporting functional limitation status,Field of doctorate,Science and engineering,Physical sciences,4,669,13.9,186,3.9,93,1.9,22,0.5,37,0.8,450,9.3
11664,r013,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Science and engineering -> Psychology,Doctorate recipients reporting functional limitation status,Field of doctorate,Science and engineering,Psychology,4,539,17.1,115,3.6,48,1.5,22,0.7,38,1.2,409,13.0
11664,r014,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Science and engineering -> Social sciences,Doctorate recipients reporting functional limitation status,Field of doctorate,Science and engineering,Social sciences,4,707,15.8,212,4.7,85,1.9,42,0.9,57,1.3,480,10.7
11664,r015,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Non-science and engineering,Doctorate recipients reporting functional limitation status,Field of doctorate,Non-science and engineering,,3,1668,16.6,578,5.7,244,2.4,128,1.3,162,1.6,1016,10.1
11664,r016,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Non-science and engineering -> Business,Doctorate recipients reporting functional limitation status,Field of doctorate,Non-science and engineering,Business,4,137,10.9,61,4.8,23,1.8,9,0.7,13,1.0,63,5.0
11664,r017,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Non-science and engineering -> Education,Doctorate recipients reporting functional limitation status,Field of doctorate,Non-science and engineering,Education,4,526,15.5,223,6.6,93,2.7,51,1.5,52,1.5,277,8.2
11664,r018,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Non-science and engineering -> Humanities,Doctorate recipients reporting functional limitation status,Field of doctorate,Non-science and engineering,Humanities,4,541,19.0,149,5.2,62,2.2,42,1.5,52,1.8,377,13.3
11664,r019,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Non-science and engineering -> Visual and performing arts,Doctorate recipients reporting functional limitation status,Field of doctorate,Non-science and engineering,Visual and performing arts,4,138,19.5,38,5.4,20,2.8,5,0.7,12,1.7,98,13.9
11664,r020,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Non-science and engineering -> Other non-science and engineering,Doctorate recipients reporting functional limitation status,Field of doctorate,Non-science and engineering,Other non-science and engineering,4,326,17.5,107,5.7,46,2.5,21,1.1,33,1.8,201,10.8
11664,r021,Doctorate recipients reporting functional limitation status -> Sex,Doctorate recipients reporting functional limitation status,Sex,,,2,,,,,,,,,,,,
11664,r022,Doctorate recipients reporting functional limitation status -> Sex -> Male,Doctorate recipients reporting functional limitation status,Sex,Male,,3,3269,12.3,1169,4.4,488,1.8,152,0.6,178,0.7,1966,7.4
11664,r023,Doctorate recipients reporting functional limitation status -> Sex -> Female,Doctorate recipients reporting functional limitation status,Sex,Female,,3,3867,16.2,1123,4.7,458,1.9,201,0.8,356,1.5,2608,10.9
11664,r024,Doctorate recipients reporting functional limitation status -> Citizenship status<sup>a</sup>,Doctorate recipients reporting functional limitation status,Citizenship status<sup>a</sup>,,,2,,,,,,,,,,,,
11664,r025,Doctorate recipients reporting functional limitation status -> Citizenship status<sup>a</sup> -> U.S. citizen or permanent resident,Doctorate recipients reporting functional limitation status,Citizenship status<sup>a</sup>,U.S. citizen or permanent resident,,3,5331,16.2,1229,3.7,752,2.3,280,0.9,354,1.1,3845,11.7
11664,r026,Doctorate recipients reporting functional limitation status -> Citizenship status<sup>a</sup> -> Temporary visa holder,Doctorate recipients reporting functional limitation status,Citizenship status<sup>a</sup>,Temporary visa holder,,3,1803,10.2,1063,6.0,193,1.1,70,0.4,178,1.0,728,4.1
